1c#apb#apb32#app3239/h  -1.414 -1.331  -1.326 -1.266  -1.183 -1.143  -1.033 -1.028  -0.889 -0.907  -0.766 -0.763  -0.638 -0.625  -0.504 -0.491  -0.382 -0.348  -0.266 -0.199  -0.161 -0.042  -0.067 0.121  0.027 0.285  0.122 0.448  0.217 0.612  0.310 0.776  0.403 0.940  0.477 1.114  0.551 1.287  0.642 1.453  0.736 1.617  0.759 1.671  0.656 1.515  0.559 1.353  0.458 1.193  0.370 1.026  0.283 0.858  0.202 0.688  0.124 0.516  0.050 0.343  -0.015 0.165  -0.079 -0.013  -0.140 -0.191  -0.202 -0.370  -0.251 -0.552  -0.295 -0.735  -0.321 -0.922  -0.315 -1.008  -0.206 -0.854  -0.125 -0.683  -0.030 -0.520  0.073 -0.362  0.191 -0.215  0.328 -0.085  0.434 -0.105  0.463 -0.292  0.459 -0.480  0.480 -0.666  0.547 -0.840  0.689 -0.945
1c#apb#apb32#app3239/n  -1.819 0.178  -1.737 0.277  -1.606 0.310  -1.483 0.366  -1.361 0.427  -1.229 0.455  -1.095 0.481  -0.969 0.525  -0.847 0.586  -0.726 0.647  -0.592 0.669  -0.458 0.690  -0.326 0.720  -0.194 0.740  -0.065 0.697  0.006 0.591  0.041 0.461  0.053 0.329  0.008 0.201  -0.037 0.073  -0.090 -0.052  -0.147 -0.175  -0.205 -0.298  -0.266 -0.420  -0.327 -0.541  -0.365 -0.671  -0.408 -0.765  -0.321 -0.670  -0.225 -0.574  -0.133 -0.474  -0.039 -0.376  0.064 -0.288  0.168 -0.201  0.264 -0.105  0.356 -0.005  0.449 0.094  0.559 0.173  0.674 0.241  0.800 0.232  0.873 0.124  0.919 -0.004  0.975 -0.128  1.032 -0.251  1.101 -0.368  1.172 -0.483  1.270 -0.572  1.384 -0.645  1.504 -0.709  1.632 -0.749  1.767 -0.762
1c#apb#apb32#app3239/s  -1.367 -0.924  -1.496 -0.791  -1.415 -0.614  -1.331 -0.426  -1.179 -0.291  -1.037 -0.145  -0.912 0.018  -0.782 0.177  -0.649 0.334  -0.515 0.490  -0.380 0.645  -0.248 0.803  -0.121 0.965  0.017 1.115  0.179 1.242  0.366 1.326  0.546 1.252  0.655 1.080  0.669 0.875  0.681 0.670  0.681 0.464  0.681 0.258  0.671 0.053  0.659 -0.152  0.612 -0.352  0.556 -0.549  0.411 -0.694  0.221 -0.768  0.019 -0.799  -0.171 -0.737  -0.354 -0.645  -0.511 -0.512  -0.626 -0.345  -0.723 -0.164  -0.841 -0.002  -0.771 0.171  -0.580 0.123  -0.424 -0.010  -0.258 -0.129  -0.130 -0.280  0.045 -0.381  0.222 -0.462  0.422 -0.416  0.622 -0.367  0.822 -0.322  1.026 -0.290  1.222 -0.232  1.416 -0.163  1.604 -0.080  1.800 -0.019
1c#apb#apb32#app3239/o  0.298 0.843  0.254 1.045  0.059 1.059  -0.132 0.973  -0.317 0.869  -0.490 0.753  -0.615 0.582  -0.735 0.407  -0.846 0.226  -0.936 0.037  -0.988 -0.168  -1.028 -0.374  -0.998 -0.584  -0.955 -0.790  -0.874 -0.986  -0.753 -1.153  -0.595 -1.294  -0.402 -1.379  -0.205 -1.385  -0.009 -1.306  0.178 -1.205  0.364 -1.104  0.537 -0.982  0.685 -0.836  0.796 -0.656  0.890 -0.467  0.945 -0.265  0.903 -0.058  0.822 0.136  0.709 0.312  0.547 0.448  0.380 0.577  0.193 0.678  0.007 0.778  -0.179 0.880  -0.378 0.939  -0.589 0.956  -0.721 0.860  -0.650 0.673  -0.504 0.520  -0.347 0.378  -0.172 0.264  0.022 0.179  0.218 0.101  0.426 0.059  0.634 0.018  0.839 -0.033  1.041 -0.097  1.241 -0.166  1.431 -0.261
1c#apb#apb32#app3239/n  -1.185 0.884  -1.203 1.024  -1.100 1.089  -0.976 1.144  -0.836 1.138  -0.705 1.086  -0.577 1.026  -0.456 0.956  -0.351 0.862  -0.275 0.746  -0.220 0.617  -0.220 0.476  -0.220 0.335  -0.220 0.194  -0.227 0.054  -0.247 -0.086  -0.298 -0.213  -0.379 -0.329  -0.471 -0.435  -0.561 -0.544  -0.642 -0.659  -0.717 -0.775  -0.737 -0.784  -0.638 -0.684  -0.571 -0.561  -0.505 -0.436  -0.419 -0.325  -0.333 -0.213  -0.267 -0.089  -0.201 0.036  -0.122 0.152  -0.027 0.257  0.075 0.353  0.190 0.415  0.316 0.367  0.411 0.263  0.492 0.148  0.556 0.023  0.610 -0.107  0.673 -0.231  0.773 -0.331  0.872 -0.431  0.977 -0.525  1.083 -0.618  1.189 -0.711  1.307 -0.789  1.423 -0.868  1.533 -0.956  1.656 -1.009  1.766 -0.935
1c#apb#apb32#app3239/o  -0.067 0.379  -0.186 0.531  -0.363 0.610  -0.524 0.567  -0.647 0.420  -0.745 0.249  -0.804 0.061  -0.877 -0.122  -0.923 -0.311  -0.936 -0.508  -0.940 -0.705  -0.890 -0.892  -0.806 -1.070  -0.710 -1.242  -0.562 -1.372  -0.373 -1.407  -0.176 -1.415  0.018 -1.390  0.197 -1.316  0.337 -1.177  0.438 -1.009  0.525 -0.832  0.599 -0.648  0.637 -0.459  0.626 -0.262  0.618 -0.065  0.618 0.132  0.610 0.328  0.541 0.513  0.469 0.696  0.354 0.857  0.239 1.017  0.055 1.090  -0.138 1.111  -0.335 1.107  -0.515 1.027  -0.649 0.885  -0.657 0.691  -0.536 0.558  -0.371 0.449  -0.183 0.390  0.005 0.330  0.197 0.284  0.390 0.245  0.584 0.218  0.781 0.238  0.977 0.259  1.171 0.296  1.365 0.332  1.562 0.332
1c#apb#apb32#app3239/r  -1.146 -1.188  -1.225 -1.135  -1.190 -1.022  -1.130 -0.918  -1.054 -0.825  -1.003 -0.719  -0.965 -0.605  -0.926 -0.492  -0.864 -0.389  -0.802 -0.286  -0.743 -0.182  -0.698 -0.070  -0.652 0.041  -0.607 0.152  -0.559 0.262  -0.506 0.369  -0.452 0.476  -0.398 0.584  -0.342 0.690  -0.284 0.795  -0.225 0.900  -0.159 0.997  -0.059 1.063  0.047 1.118  0.161 1.156  0.275 1.128  0.373 1.070  0.435 0.967  0.480 0.858  0.501 0.740  0.522 0.622  0.532 0.503  0.532 0.383  0.532 0.263  0.522 0.144  0.498 0.026  0.475 -0.092  0.452 -0.210  0.444 -0.329  0.436 -0.449  0.442 -0.568  0.476 -0.678  0.573 -0.730  0.692 -0.718  0.810 -0.698  0.928 -0.674  1.045 -0.647  1.157 -0.604  1.268 -0.560  1.380 -0.517
1c#apb#apb32#app3239/k  -1.276 -0.945  -1.102 -0.771  -0.908 -0.613  -0.727 -0.441  -0.555 -0.259  -0.396 -0.066  -0.240 0.130  -0.087 0.328  0.055 0.534  0.189 0.745  0.303 0.967  0.413 1.192  0.538 1.409  0.647 1.633  0.683 1.749  0.544 1.541  0.412 1.329  0.281 1.115  0.147 0.904  0.011 0.694  -0.121 0.481  -0.246 0.265  -0.372 0.048  -0.481 -0.177  -0.586 -0.404  -0.686 -0.634  -0.780 -0.866  -0.917 -0.986  -0.889 -0.740  -0.777 -0.516  -0.633 -0.312  -0.478 -0.117  -0.292 0.050  -0.089 0.192  0.138 0.295  0.387 0.299  0.597 0.177  0.695 -0.049  0.570 -0.243  0.330 -0.308  0.080 -0.308  -0.162 -0.305  -0.075 -0.529  0.133 -0.668  0.364 -0.764  0.597 -0.854  0.831 -0.945  1.068 -1.024  1.308 -1.095  1.554 -1.138
1c#apb#apb32#app3239/i  -1.111 -1.270  -1.163 -1.161  -1.091 -1.056  -1.014 -0.919  -0.898 -0.812  -0.793 -0.691  -0.687 -0.573  -0.582 -0.454  -0.480 -0.331  -0.384 -0.204  -0.295 -0.072  -0.219 0.066  -0.201 0.172  -0.161 0.191  -0.064 0.292  -0.012 0.383  -0.024 0.272  -0.042 0.114  -0.016 -0.041  0.030 -0.194  0.087 -0.341  0.186 -0.466  0.296 -0.581  0.411 -0.690  0.537 -0.788  0.690 -0.830  0.828 -0.890  0.968 -0.892  1.014 -0.919  0.939 -0.778  0.864 -0.638  0.790 -0.497  0.715 -0.356  0.640 -0.216  0.565 -0.075  0.490 0.065  0.416 0.206  0.341 0.346  0.266 0.487  0.191 0.627  0.117 0.768  0.042 0.908  -0.033 1.049  -0.108 1.190  -0.183 1.330  -0.257 1.471  -0.332 1.611  -0.408 1.751  -0.474 1.786  -0.390 1.651
1c#apb#apb32#app3239/m  -1.814 0.087  -1.878 0.121  -1.731 0.172  -1.586 0.242  -1.440 0.310  -1.285 0.358  -1.129 0.398  -0.972 0.438  -0.822 0.498  -0.664 0.520  -0.515 0.466  -0.478 0.326  -0.505 0.167  -0.549 0.012  -0.597 -0.143  -0.604 -0.304  -0.604 -0.466  -0.594 -0.605  -0.545 -0.505  -0.528 -0.378  -0.471 -0.227  -0.398 -0.085  -0.303 0.045  -0.188 0.160  -0.069 0.269  0.054 0.374  0.206 0.427  0.328 0.363  0.399 0.218  0.457 0.067  0.508 -0.086  0.555 -0.241  0.590 -0.399  0.614 -0.559  0.631 -0.716  0.582 -0.573  0.568 -0.413  0.592 -0.254  0.664 -0.109  0.741 0.033  0.842 0.159  0.949 0.281  1.066 0.379  1.212 0.309  1.293 0.181  1.348 0.029  1.415 -0.118  1.474 -0.269  1.560 -0.405  1.620 -0.555
1c#apb#apb32#app3239/m  -1.549 0.211  -1.703 0.235  -1.680 0.288  -1.519 0.336  -1.356 0.380  -1.195 0.426  -1.034 0.477  -0.871 0.513  -0.707 0.550  -0.547 0.588  -0.404 0.505  -0.361 0.349  -0.385 0.186  -0.445 0.029  -0.515 -0.123  -0.598 -0.270  -0.663 -0.424  -0.709 -0.586  -0.754 -0.718  -0.669 -0.580  -0.570 -0.444  -0.470 -0.309  -0.371 -0.173  -0.256 -0.050  -0.140 0.072  -0.021 0.191  0.113 0.287  0.269 0.304  0.303 0.144  0.289 -0.024  0.281 -0.191  0.304 -0.358  0.332 -0.524  0.303 -0.588  0.321 -0.424  0.388 -0.271  0.476 -0.128  0.580 0.004  0.686 0.135  0.796 0.261  0.923 0.366  1.080 0.424  1.195 0.363  1.273 0.214  1.354 0.067  1.449 -0.072  1.542 -0.212  1.637 -0.351  1.755 -0.470  1.841 -0.614
1c#apb#apb32#app3239/e  -1.049 -1.115  -1.178 -1.018  -1.267 -0.907  -1.279 -0.803  -1.168 -0.686  -1.029 -0.597  -0.887 -0.514  -0.744 -0.434  -0.599 -0.358  -0.454 -0.281  -0.310 -0.201  -0.166 -0.121  -0.025 -0.038  0.111 0.055  0.246 0.148  0.383 0.240  0.520 0.329  0.658 0.418  0.780 0.527  0.891 0.648  0.994 0.775  1.079 0.916  1.096 1.075  1.025 1.195  0.868 1.214  0.708 1.185  0.555 1.125  0.401 1.066  0.254 0.993  0.109 0.916  -0.027 0.828  -0.140 0.708  -0.253 0.589  -0.361 0.466  -0.454 0.330  -0.547 0.195  -0.577 0.040  -0.577 -0.125  -0.508 -0.271  -0.428 -0.414  -0.326 -0.539  -0.199 -0.643  -0.071 -0.747  0.079 -0.807  0.237 -0.853  0.397 -0.883  0.562 -0.892  0.726 -0.901  0.890 -0.911  1.054 -0.921
1c#apb#apb32#app3239/r  -1.363 -0.833  -1.396 -0.763  -1.302 -0.720  -1.241 -0.625  -1.172 -0.538  -1.112 -0.444  -1.058 -0.345  -1.007 -0.245  -0.962 -0.142  -0.922 -0.036  -0.883 0.069  -0.824 0.164  -0.760 0.257  -0.700 0.352  -0.650 0.453  -0.600 0.554  -0.542 0.649  -0.463 0.729  -0.383 0.808  -0.284 0.860  -0.182 0.907  -0.072 0.887  0.039 0.866  0.150 0.846  0.248 0.796  0.326 0.718  0.376 0.618  0.403 0.509  0.428 0.399  0.402 0.291  0.364 0.185  0.310 0.087  0.263 -0.015  0.227 -0.122  0.203 -0.232  0.210 -0.333  0.292 -0.410  0.378 -0.484  0.489 -0.500  0.600 -0.516  0.712 -0.511  0.824 -0.501  0.936 -0.491  1.049 -0.483  1.161 -0.478  1.274 -0.472  1.386 -0.467  1.497 -0.450  1.608 -0.432  1.720 -0.415
