2#apa#apa13#app1369/f  -0.385 -0.026  -0.220 -0.114  -0.023 -0.104  0.119 0.038  0.267 0.133  0.320 0.322  0.408 0.486  0.496 0.651  0.584 0.816  0.584 1.017  0.673 1.182  0.673 1.383  0.594 1.552  0.572 1.737  0.408 1.700  0.276 1.605  0.170 1.437  0.043 1.284  -0.035 1.114  -0.121 0.933  -0.121 0.732  -0.121 0.531  -0.121 0.329  -0.111 0.131  -0.033 -0.052  -0.016 -0.251  0.047 -0.442  0.056 -0.642  0.144 -0.822  0.144 -1.023  0.144 -1.225  0.144 -1.426  0.068 -1.453  -0.079 -1.317  -0.227 -1.180  -0.374 -1.043  -0.522 -0.906  -0.669 -0.769  -0.817 -0.632  -0.964 -0.495  -1.061 -0.378  -0.859 -0.378  -0.666 -0.414  -0.478 -0.466  -0.308 -0.543  -0.112 -0.554  0.090 -0.554  0.275 -0.620  0.471 -0.642  0.673 -0.642
2#apa#apa13#app1369/d  -0.007 1.875  0.074 1.797  0.155 1.720  0.236 1.595  0.236 1.436  0.236 1.278  0.236 1.119  0.236 0.960  0.245 0.804  0.316 0.662  0.317 0.504  0.317 0.345  0.317 0.186  0.398 0.061  0.398 -0.097  0.416 -0.248  0.528 -0.360  0.479 -0.311  0.479 -0.153  0.426 -0.016  0.314 0.096  0.202 0.208  0.090 0.320  -0.062 0.337  -0.220 0.337  -0.379 0.337  -0.517 0.267  -0.649 0.179  -0.762 0.068  -0.874 -0.044  -0.983 -0.158  -1.054 -0.300  -1.060 -0.457  -1.060 -0.616  -1.060 -0.774  -0.938 -0.858  -0.790 -0.914  -0.639 -0.959  -0.480 -0.959  -0.321 -0.959  -0.163 -0.959  -0.004 -0.959  0.154 -0.959  0.296 -0.888  0.438 -0.817  0.592 -0.797  0.747 -0.784  0.890 -0.716  1.049 -0.716  1.207 -0.716
2#apa#apa13#app1369/k  -0.311 1.676  -0.250 1.825  -0.224 1.887  -0.224 1.712  -0.224 1.538  -0.224 1.363  -0.224 1.189  -0.224 1.014  -0.224 0.840  -0.224 0.665  -0.224 0.491  -0.224 0.316  -0.224 0.142  -0.224 -0.033  -0.224 -0.208  -0.224 -0.382  -0.224 -0.557  -0.224 -0.731  -0.206 -0.815  -0.142 -0.652  -0.077 -0.490  -0.012 -0.328  0.053 -0.166  0.118 -0.004  0.183 0.158  0.247 0.320  0.269 0.452  0.094 0.452  -0.081 0.452  -0.246 0.430  -0.393 0.365  -0.481 0.277  -0.594 0.149  -0.661 -0.009  -0.661 -0.184  -0.582 -0.326  -0.458 -0.449  -0.335 -0.573  -0.212 -0.696  -0.075 -0.802  0.081 -0.880  0.240 -0.946  0.414 -0.946  0.585 -0.973  0.755 -1.016  0.922 -1.066  1.087 -1.121  1.262 -1.121  1.437 -1.121  1.611 -1.121
2#apa#apa13#app1369/n  -1.059 0.891  -0.932 0.874  -0.932 0.730  -0.932 0.586  -0.932 0.442  -0.932 0.298  -0.932 0.154  -0.932 0.011  -0.932 -0.133  -0.932 -0.277  -0.932 -0.421  -0.932 -0.565  -0.932 -0.709  -0.932 -0.852  -0.932 -0.996  -0.798 -1.006  -0.662 -0.988  -0.560 -0.887  -0.458 -0.785  -0.357 -0.683  -0.271 -0.570  -0.207 -0.441  -0.125 -0.325  -0.023 -0.223  0.078 -0.122  0.087 0.020  0.151 0.149  0.206 0.280  0.233 0.412  0.332 0.515  0.332 0.659  0.359 0.791  0.459 0.894  0.479 1.017  0.623 1.017  0.712 0.962  0.712 0.819  0.712 0.675  0.760 0.542  0.824 0.414  0.838 0.273  0.840 0.130  0.904 0.001  0.965 -0.129  0.976 -0.270  1.040 -0.398  1.112 -0.521  1.214 -0.623  1.280 -0.751  1.344 -0.880
2#apa#apa13#app1369/e  -0.883 -0.863  -0.723 -0.863  -0.563 -0.863  -0.402 -0.863  -0.284 -0.761  -0.171 -0.647  -0.058 -0.534  0.075 -0.446  0.218 -0.375  0.297 -0.239  0.376 -0.100  0.485 0.016  0.536 0.168  0.586 0.320  0.676 0.448  0.730 0.586  0.730 0.746  0.730 0.907  0.730 1.067  0.655 1.197  0.515 1.246  0.355 1.246  0.195 1.246  0.034 1.246  -0.126 1.246  -0.243 1.142  -0.395 1.122  -0.531 1.082  -0.603 0.939  -0.635 0.786  -0.723 0.662  -0.759 0.517  -0.759 0.356  -0.759 0.196  -0.759 0.036  -0.701 -0.111  -0.629 -0.254  -0.558 -0.398  -0.471 -0.531  -0.353 -0.638  -0.219 -0.727  -0.086 -0.816  0.052 -0.897  0.196 -0.968  0.317 -1.071  0.461 -1.111  0.621 -1.111  0.781 -1.111  0.942 -1.111  1.102 -1.111
2#apa#apa13#app1369/w  -1.555 -0.085  -1.452 -0.131  -1.395 -0.249  -1.356 -0.363  -1.242 -0.404  -1.111 -0.404  -0.980 -0.404  -0.849 -0.404  -0.753 -0.321  -0.677 -0.221  -0.610 -0.132  -0.517 -0.058  -0.462 0.050  -0.438 0.171  -0.438 0.302  -0.438 0.433  -0.438 0.564  -0.482 0.589  -0.517 0.473  -0.517 0.342  -0.517 0.211  -0.517 0.080  -0.517 -0.051  -0.517 -0.182  -0.469 -0.293  -0.377 -0.386  -0.284 -0.478  -0.189 -0.564  -0.058 -0.564  0.073 -0.564  0.204 -0.564  0.332 -0.546  0.457 -0.505  0.577 -0.455  0.696 -0.404  0.820 -0.374  0.928 -0.306  0.986 -0.189  1.072 -0.091  1.162 0.003  1.221 0.120  1.303 0.220  1.317 0.345  1.317 0.476  1.317 0.607  1.317 0.738  1.263 0.847  1.195 0.957  1.115 1.053  0.998 1.111
2#apa#apa13#app1369/t  0.373 1.934  0.373 1.744  0.373 1.554  0.373 1.365  0.373 1.175  0.373 0.985  0.373 0.795  0.373 0.605  0.373 0.416  0.373 0.226  0.373 0.036  0.373 -0.154  0.373 -0.344  0.373 -0.534  0.373 -0.723  0.373 -0.913  0.450 -1.071  0.471 -1.252  0.433 -1.341  0.310 -1.197  0.186 -1.053  0.063 -0.909  -0.061 -0.765  -0.184 -0.621  -0.308 -0.476  -0.431 -0.332  -0.555 -0.188  -0.679 -0.044  -0.802 0.100  -0.926 0.244  -1.049 0.388  -1.173 0.532  -1.286 0.650  -1.286 0.460  -1.283 0.273  -1.102 0.213  -0.941 0.124  -0.783 0.023  -0.602 -0.018  -0.417 -0.048  -0.237 -0.108  -0.049 -0.116  0.135 -0.143  0.308 -0.213  0.498 -0.213  0.687 -0.213  0.877 -0.213  1.067 -0.213  1.257 -0.213  1.447 -0.213
2#apa#apa13#app1369/h  -0.494 2.063  -0.494 1.928  -0.494 1.794  -0.494 1.660  -0.494 1.525  -0.494 1.391  -0.494 1.257  -0.494 1.122  -0.494 0.988  -0.494 0.854  -0.494 0.719  -0.494 0.585  -0.494 0.451  -0.494 0.316  -0.494 0.182  -0.494 0.048  -0.471 -0.083  -0.428 -0.210  -0.399 -0.340  -0.399 -0.474  -0.386 -0.606  -0.326 -0.726  -0.305 -0.855  -0.248 -0.976  -0.161 -1.051  -0.116 -0.961  -0.024 -0.865  0.036 -0.746  0.072 -0.620  0.139 -0.513  0.209 -0.400  0.267 -0.279  0.309 -0.152  0.352 -0.024  0.355 0.110  0.404 0.224  0.519 0.270  0.544 0.160  0.544 0.026  0.544 -0.108  0.544 -0.243  0.544 -0.377  0.544 -0.511  0.591 -0.626  0.638 -0.741  0.638 -0.875  0.676 -0.994  0.786 -1.051  0.893 -1.117  1.016 -1.146
2#apa#apa13#app1369/a  -0.217 0.508  -0.217 0.651  -0.249 0.787  -0.313 0.915  -0.409 1.022  -0.543 1.045  -0.686 1.045  -0.830 1.045  -0.969 1.040  -0.998 0.909  -1.076 0.798  -1.076 0.654  -1.076 0.511  -1.076 0.367  -1.076 0.223  -1.076 0.080  -1.013 -0.049  -0.969 -0.182  -0.888 -0.244  -0.779 -0.327  -0.657 -0.400  -0.527 -0.459  -0.383 -0.459  -0.240 -0.459  -0.100 -0.450  0.003 -0.352  0.146 -0.352  0.267 -0.297  0.369 -0.196  0.488 -0.137  0.535 -0.040  0.629 0.064  0.642 0.202  0.642 0.346  0.553 0.400  0.535 0.275  0.535 0.131  0.535 -0.012  0.535 -0.156  0.535 -0.299  0.599 -0.416  0.642 -0.542  0.727 -0.651  0.849 -0.724  0.975 -0.791  1.077 -0.891  1.206 -0.956  1.337 -1.013  1.473 -1.058  1.609 -1.104
2#apa#apa13#app1369/t  0.014 1.871  0.014 1.687  0.014 1.503  0.014 1.319  0.014 1.135  0.014 0.950  0.020 0.768  0.103 0.603  0.113 0.421  0.113 0.237  0.113 0.053  0.113 -0.131  0.116 -0.315  0.213 -0.459  0.228 -0.639  0.310 -0.804  0.312 -0.988  0.312 -1.172  0.411 -1.315  0.342 -1.338  0.208 -1.212  0.074 -1.085  -0.060 -0.959  -0.194 -0.832  -0.328 -0.706  -0.462 -0.579  -0.596 -0.453  -0.730 -0.326  -0.864 -0.200  -0.998 -0.073  -1.131 0.053  -1.265 0.180  -1.342 0.283  -1.158 0.283  -0.974 0.283  -0.799 0.243  -0.629 0.184  -0.444 0.184  -0.260 0.184  -0.076 0.184  0.108 0.184  0.292 0.184  0.477 0.184  0.655 0.161  0.822 0.085  1.006 0.085  1.190 0.085  1.354 0.036  1.517 -0.014  1.701 -0.014
2#apa#apa13#app1369/s  0.734 1.063  0.583 1.063  0.454 1.013  0.331 0.947  0.180 0.947  0.030 0.947  -0.120 0.947  -0.270 0.947  -0.408 0.895  -0.544 0.832  -0.694 0.832  -0.821 0.776  -0.947 0.717  -1.097 0.717  -1.093 0.592  -0.959 0.525  -0.818 0.486  -0.668 0.486  -0.531 0.427  -0.397 0.359  -0.262 0.292  -0.121 0.255  0.029 0.255  0.177 0.245  0.312 0.178  0.434 0.094  0.550 0.001  0.684 -0.066  0.801 -0.158  0.907 -0.264  0.995 -0.383  1.063 -0.518  1.080 -0.664  1.057 -0.805  0.964 -0.917  0.911 -1.013  0.760 -1.013  0.610 -1.013  0.460 -1.013  0.318 -0.978  0.183 -0.911  0.036 -0.898  -0.114 -0.898  -0.264 -0.898  -0.403 -0.849  -0.538 -0.783  -0.684 -0.766  -0.818 -0.699  -0.961 -0.667  -1.112 -0.667
2#apa#apa13#app1369/o  -1.063 0.621  -1.151 0.533  -1.174 0.419  -1.174 0.295  -1.174 0.172  -1.174 0.048  -1.174 -0.075  -1.174 -0.199  -1.131 -0.305  -1.043 -0.392  -0.956 -0.480  -0.846 -0.536  -0.736 -0.591  -0.619 -0.631  -0.501 -0.670  -0.383 -0.704  -0.260 -0.704  -0.136 -0.704  -0.012 -0.704  0.111 -0.704  0.235 -0.704  0.359 -0.704  0.482 -0.704  0.604 -0.697  0.715 -0.642  0.823 -0.583  0.910 -0.496  1.028 -0.483  1.117 -0.399  1.144 -0.286  1.144 -0.163  1.144 -0.039  1.144 0.085  1.123 0.200  1.036 0.287  0.948 0.375  0.861 0.462  0.757 0.510  0.634 0.510  0.519 0.547  0.408 0.602  0.298 0.657  0.187 0.713  0.077 0.768  -0.034 0.823  -0.145 0.879  -0.255 0.934  -0.375 0.952  -0.498 0.952  -0.622 0.952
2#apa#apa13#app1369/m  -1.361 0.720  -1.338 0.576  -1.271 0.442  -1.264 0.294  -1.264 0.145  -1.264 -0.005  -1.264 -0.154  -1.227 -0.289  -1.167 -0.413  -1.084 -0.529  -0.950 -0.521  -0.875 -0.403  -0.808 -0.281  -0.771 -0.147  -0.665 -0.041  -0.584 0.075  -0.522 0.199  -0.416 0.304  -0.311 0.410  -0.205 0.516  -0.099 0.621  -0.001 0.572  -0.004 0.423  -0.070 0.289  -0.160 0.172  -0.195 0.037  -0.195 -0.113  -0.185 -0.252  -0.036 -0.252  0.114 -0.252  0.193 -0.182  0.302 -0.132  0.369 0.002  0.463 0.115  0.569 0.221  0.675 0.327  0.776 0.377  0.875 0.428  0.971 0.375  0.971 0.225  0.971 0.076  0.982 -0.069  1.068 -0.183  1.125 -0.309  1.231 -0.415  1.356 -0.493  1.457 -0.581  1.546 -0.641  1.696 -0.641  1.845 -0.641
2#apa#apa13#app1369/e  -0.273 -0.385  -0.130 -0.352  -0.006 -0.275  0.123 -0.209  0.261 -0.166  0.376 -0.065  0.486 0.045  0.620 0.084  0.690 0.224  0.714 0.375  0.714 0.531  0.714 0.687  0.589 0.727  0.478 0.838  0.361 0.931  0.204 0.931  0.048 0.931  -0.108 0.931  -0.264 0.931  -0.416 0.895  -0.568 0.857  -0.717 0.815  -0.829 0.707  -0.969 0.637  -1.094 0.548  -1.205 0.437  -1.260 0.304  -1.260 0.148  -1.260 -0.008  -1.260 -0.165  -1.150 -0.275  -1.010 -0.345  -0.865 -0.401  -0.714 -0.439  -0.562 -0.477  -0.417 -0.532  -0.278 -0.602  -0.122 -0.604  0.025 -0.644  0.165 -0.714  0.321 -0.714  0.477 -0.714  0.633 -0.714  0.789 -0.714  0.946 -0.714  1.102 -0.714  1.258 -0.714  1.398 -0.646  1.545 -0.604  1.701 -0.604
