2#tos#f3#f3012066/!  0.400 1.570  0.326 1.570  0.316 1.523  0.353 1.486  0.353 1.412  0.353 1.337  0.345 1.264  0.321 1.193  0.307 1.121  0.307 1.047  0.307 0.972  0.273 0.907  0.235 0.843  0.196 0.779  0.157 0.716  0.116 0.654  0.074 0.592  0.059 0.519  0.045 0.446  0.030 0.373  0.001 0.305  -0.033 0.238  -0.066 0.171  -0.099 0.105  -0.113 0.033  -0.113 -0.041  -0.113 -0.116  -0.113 -0.190  -0.126 -0.258  -0.188 -0.299  -0.250 -0.340  -0.253 -0.413  -0.253 -0.488  -0.247 -0.562  -0.233 -0.635  -0.219 -0.708  -0.206 -0.782  -0.192 -0.855  -0.178 -0.928  -0.164 -1.001  -0.151 -1.075  -0.137 -1.148  -0.123 -1.221  -0.132 -1.275  -0.160 -1.322  -0.188 -1.369  -0.206 -1.425  -0.206 -1.499  -0.206 -1.574  -0.206 -1.648
2#tos#f3#f3012066/@  0.159 0.031  -0.048 0.032  -0.227 0.100  -0.429 0.080  -0.493 -0.101  -0.493 -0.308  -0.438 -0.498  -0.390 -0.667  -0.317 -0.826  -0.161 -0.756  -0.047 -0.585  0.021 -0.399  0.053 -0.209  -0.013 -0.376  -0.013 -0.583  0.034 -0.771  0.204 -0.861  0.411 -0.861  0.574 -0.778  0.733 -0.684  0.886 -0.545  1.014 -0.383  1.072 -0.194  1.153 -0.007  1.186 0.196  1.222 0.395  1.222 0.602  1.190 0.799  1.090 0.980  0.925 1.094  0.745 1.159  0.540 1.163  0.333 1.163  0.126 1.163  -0.081 1.163  -0.231 1.040  -0.381 0.923  -0.523 0.833  -0.703 0.744  -0.819 0.580  -0.973 0.443  -1.052 0.266  -1.076 0.062  -1.067 -0.144  -1.042 -0.348  -0.967 -0.524  -0.939 -0.719  -0.814 -0.842  -0.660 -0.974  -0.493 -1.066
2#tos#f3#f3012066/[  0.574 1.209  0.647 1.263  0.680 1.325  0.680 1.317  0.586 1.316  0.499 1.279  0.440 1.209  0.397 1.123  0.351 1.040  0.284 0.973  0.206 0.919  0.120 0.876  0.039 0.830  0.009 0.739  -0.033 0.656  -0.101 0.588  -0.189 0.571  -0.275 0.537  -0.355 0.484  -0.438 0.437  -0.527 0.411  -0.598 0.386  -0.544 0.343  -0.504 0.264  -0.438 0.196  -0.418 0.105  -0.385 0.017  -0.385 -0.078  -0.385 -0.174  -0.385 -0.270  -0.385 -0.365  -0.385 -0.461  -0.385 -0.557  -0.385 -0.652  -0.385 -0.748  -0.385 -0.844  -0.320 -0.899  -0.243 -0.955  -0.176 -1.022  -0.108 -1.090  -0.040 -1.158  0.027 -1.225  0.117 -1.239  0.213 -1.239  0.308 -1.239  0.404 -1.239  0.500 -1.239  0.595 -1.239  0.691 -1.239  0.787 -1.239
2#tos#f3#f3012066/_  -1.241 0.166  -1.316 0.166  -1.372 0.147  -1.400 0.100  -1.475 0.100  -1.457 0.100  -1.382 0.100  -1.307 0.100  -1.233 0.100  -1.158 0.100  -1.083 0.100  -1.008 0.100  -0.933 0.100  -0.858 0.100  -0.784 0.100  -0.709 0.100  -0.634 0.100  -0.559 0.100  -0.484 0.100  -0.409 0.100  -0.335 0.100  -0.260 0.100  -0.185 0.100  -0.110 0.100  -0.035 0.100  0.040 0.100  0.113 0.090  0.186 0.072  0.258 0.054  0.331 0.035  0.402 0.012  0.473 -0.012  0.545 -0.031  0.619 -0.031  0.694 -0.031  0.769 -0.031  0.821 -0.073  0.863 -0.136  0.904 -0.198  0.963 -0.228  1.038 -0.228  1.113 -0.228  1.188 -0.228  1.262 -0.228  1.337 -0.228  1.412 -0.228  1.487 -0.228  1.562 -0.228  1.637 -0.228  1.711 -0.228
2#tos#f3#f3012066/`  0.243 1.580  0.188 1.526  0.133 1.471  0.079 1.416  0.024 1.362  -0.031 1.307  -0.086 1.252  -0.140 1.197  -0.195 1.143  -0.250 1.088  -0.305 1.033  -0.331 0.966  -0.331 0.889  -0.331 0.812  -0.331 0.734  -0.331 0.657  -0.331 0.579  -0.331 0.502  -0.331 0.425  -0.331 0.347  -0.331 0.270  -0.331 0.192  -0.321 0.117  -0.296 0.043  -0.272 -0.030  -0.247 -0.104  -0.223 -0.177  -0.198 -0.251  -0.174 -0.324  -0.149 -0.398  -0.125 -0.471  -0.100 -0.544  -0.076 -0.618  -0.051 -0.691  0.004 -0.738  0.073 -0.773  0.143 -0.807  0.212 -0.842  0.281 -0.876  0.350 -0.911  0.420 -0.946  0.489 -0.980  0.530 -1.032  0.530 -1.110  0.530 -1.187  0.530 -1.265  0.530 -1.342  0.530 -1.419  0.530 -1.497  0.530 -1.574
2#tos#f3#f3012066/{  0.677 1.230  0.630 1.270  0.542 1.270  0.455 1.270  0.367 1.270  0.279 1.270  0.192 1.269  0.109 1.242  0.023 1.230  -0.047 1.189  -0.109 1.127  -0.173 1.069  -0.207 1.015  -0.207 0.928  -0.207 0.840  -0.207 0.752  -0.207 0.665  -0.204 0.578  -0.176 0.494  -0.167 0.408  -0.167 0.321  -0.167 0.233  -0.110 0.169  -0.069 0.094  -0.036 0.014  -0.006 -0.061  -0.058 -0.096  -0.107 -0.096  -0.086 -0.163  -0.046 -0.211  -0.046 -0.298  -0.080 -0.372  -0.086 -0.457  -0.119 -0.531  -0.126 -0.616  -0.140 -0.701  -0.167 -0.784  -0.167 -0.872  -0.167 -0.960  -0.167 -1.047  -0.167 -1.135  -0.148 -1.218  -0.099 -1.289  -0.033 -1.342  0.037 -1.385  0.099 -1.447  0.138 -1.511  0.222 -1.539  0.308 -1.543  0.396 -1.543
2#tos#f3#f3012066/|  -0.037 1.430  -0.110 1.430  -0.183 1.430  -0.256 1.430  -0.308 1.415  -0.285 1.346  -0.262 1.276  -0.244 1.206  -0.244 1.133  -0.244 1.060  -0.244 0.987  -0.220 0.924  -0.169 0.872  -0.117 0.821  -0.065 0.769  -0.014 0.717  0.032 0.663  0.032 0.590  0.032 0.517  0.035 0.445  0.047 0.373  0.059 0.300  0.071 0.228  0.083 0.156  0.095 0.084  0.101 0.012  0.101 -0.061  0.101 -0.134  0.101 -0.207  0.101 -0.280  0.101 -0.353  0.101 -0.426  0.101 -0.499  0.101 -0.572  0.101 -0.645  0.101 -0.718  0.101 -0.791  0.101 -0.864  0.101 -0.937  0.101 -1.010  0.101 -1.083  0.101 -1.156  0.101 -1.229  0.101 -1.302  0.101 -1.375  0.101 -1.448  0.101 -1.521  0.101 -1.594  0.101 -1.667  0.101 -1.740
2#tos#f3#f3012066/~  -1.140 0.062  -1.140 -0.041  -1.158 -0.126  -1.262 -0.126  -1.329 -0.090  -1.319 0.009  -1.266 0.091  -1.266 0.194  -1.219 0.251  -1.116 0.251  -1.032 0.297  -1.003 0.388  -0.930 0.461  -0.843 0.502  -0.743 0.512  -0.650 0.559  -0.548 0.565  -0.445 0.565  -0.342 0.565  -0.263 0.505  -0.224 0.439  -0.173 0.366  -0.140 0.268  -0.135 0.166  -0.135 0.062  -0.062 -0.011  -0.009 -0.092  0.022 -0.188  0.086 -0.252  0.184 -0.261  0.230 -0.353  0.276 -0.446  0.344 -0.503  0.447 -0.503  0.551 -0.503  0.644 -0.528  0.731 -0.566  0.835 -0.566  0.938 -0.564  1.030 -0.518  1.109 -0.454  1.182 -0.380  1.217 -0.283  1.251 -0.187  1.337 -0.130  1.423 -0.072  1.464 0.020  1.497 0.118  1.529 0.216  1.562 0.314
2#tos#f3#f3012066/0  -0.125 0.785  -0.262 0.757  -0.399 0.730  -0.537 0.720  -0.676 0.720  -0.709 0.614  -0.825 0.590  -0.904 0.530  -0.904 0.391  -0.904 0.252  -0.904 0.112  -0.904 -0.027  -0.904 -0.166  -0.904 -0.305  -0.861 -0.427  -0.774 -0.530  -0.774 -0.669  -0.703 -0.779  -0.619 -0.888  -0.537 -0.995  -0.421 -1.073  -0.290 -1.097  -0.150 -1.097  -0.011 -1.097  0.128 -1.097  0.267 -1.097  0.329 -1.019  0.401 -0.919  0.517 -0.841  0.597 -0.728  0.679 -0.616  0.756 -0.502  0.818 -0.378  0.871 -0.249  0.913 -0.117  0.913 0.023  0.913 0.162  0.913 0.301  0.913 0.440  0.913 0.580  0.913 0.719  0.815 0.818  0.757 0.927  0.630 0.979  0.491 0.979  0.351 0.979  0.212 0.979  0.107 0.925  0.014 0.850  -0.125 0.850
2#tos#f3#f3012066/1  0.061 1.544  0.061 1.614  0.061 1.571  0.061 1.501  0.061 1.431  0.061 1.361  0.061 1.292  0.061 1.222  0.061 1.152  0.055 1.083  0.046 1.013  0.038 0.944  0.029 0.875  0.020 0.805  0.012 0.736  0.003 0.667  -0.006 0.598  -0.014 0.528  -0.023 0.459  -0.023 0.389  -0.023 0.319  -0.023 0.250  -0.023 0.180  -0.023 0.110  -0.023 0.040  -0.023 -0.030  -0.023 -0.099  -0.023 -0.169  -0.023 -0.239  -0.023 -0.309  -0.023 -0.379  -0.023 -0.448  -0.023 -0.518  -0.023 -0.588  -0.023 -0.658  -0.023 -0.728  -0.023 -0.798  -0.023 -0.867  -0.023 -0.937  -0.023 -1.007  -0.023 -1.077  -0.023 -1.147  -0.023 -1.216  -0.023 -1.286  -0.023 -1.356  -0.023 -1.426  -0.023 -1.496  -0.023 -1.565  -0.023 -1.635  -0.023 -1.705
2#tos#f3#f3012066/6  0.340 1.996  0.268 1.901  0.265 1.776  0.209 1.664  0.196 1.542  0.196 1.416  0.196 1.291  0.117 1.198  0.028 1.109  -0.046 1.010  -0.102 0.898  -0.158 0.786  -0.191 0.665  -0.222 0.543  -0.252 0.422  -0.282 0.300  -0.322 0.184  -0.411 0.095  -0.500 0.006  -0.524 -0.109  -0.524 -0.235  -0.524 -0.360  -0.524 -0.485  -0.524 -0.611  -0.524 -0.736  -0.524 -0.862  -0.524 -0.987  -0.512 -1.108  -0.411 -1.168  -0.286 -1.168  -0.161 -1.168  -0.035 -1.168  0.085 -1.133  0.204 -1.096  0.311 -1.052  0.400 -0.964  0.489 -0.875  0.586 -0.808  0.627 -0.724  0.627 -0.598  0.627 -0.473  0.598 -0.377  0.478 -0.367  0.422 -0.255  0.340 -0.162  0.215 -0.161  0.148 -0.066  0.092 0.046  0.036 0.158  -0.020 0.270
2#tos#f3#f3012066/7  -0.655 1.206  -0.655 1.064  -0.655 0.923  -0.655 0.781  -0.655 0.640  -0.655 0.498  -0.655 0.356  -0.655 0.215  -0.685 0.086  -0.732 -0.036  -0.732 -0.178  -0.732 -0.319  -0.732 -0.395  -0.732 -0.254  -0.730 -0.113  -0.667 0.014  -0.574 0.119  -0.499 0.230  -0.468 0.366  -0.423 0.501  -0.363 0.584  -0.221 0.584  -0.139 0.680  -0.034 0.739  0.107 0.739  0.180 0.851  0.294 0.895  0.436 0.895  0.578 0.895  0.668 0.798  0.668 0.657  0.668 0.515  0.668 0.373  0.668 0.232  0.668 0.090  0.628 -0.042  0.590 -0.175  0.590 -0.316  0.590 -0.458  0.590 -0.599  0.590 -0.741  0.545 -0.875  0.513 -1.012  0.513 -1.153  0.513 -1.295  0.513 -1.436  0.513 -1.578  0.513 -1.719  0.463 -1.849  0.435 -1.984
2#tos#f3#f3012066/D  -0.277 1.125  -0.151 1.200  -0.151 1.099  -0.163 0.900  -0.214 0.707  -0.249 0.508  -0.291 0.312  -0.340 0.116  -0.340 -0.086  -0.355 -0.282  -0.466 -0.450  -0.466 -0.652  -0.466 -0.853  -0.459 -0.723  -0.451 -0.521  -0.444 -0.320  -0.436 -0.119  -0.428 0.083  -0.420 0.284  -0.413 0.486  -0.405 0.687  -0.262 0.747  -0.214 0.901  -0.214 1.103  -0.097 1.188  0.103 1.185  0.267 1.073  0.414 0.937  0.561 0.800  0.750 0.747  0.864 0.605  0.974 0.440  1.067 0.262  1.170 0.096  1.170 -0.106  1.170 -0.307  1.083 -0.473  0.977 -0.642  0.826 -0.763  0.632 -0.802  0.445 -0.877  0.324 -1.019  0.125 -1.052  -0.075 -1.078  -0.276 -1.078  -0.478 -1.078  -0.679 -1.078  -0.881 -1.078  -1.082 -1.078  -1.284 -1.078
2#tos#f3#f3012066/H  -0.937 0.941  -1.039 0.788  -1.041 0.606  -1.041 0.423  -1.041 0.239  -1.040 0.056  -0.996 -0.121  -0.989 -0.304  -0.973 -0.486  -0.937 -0.665  -0.937 -0.848  -0.937 -1.024  -0.914 -0.842  -0.891 -0.660  -0.869 -0.478  -0.846 -0.297  -0.834 -0.114  -0.776 0.015  -0.611 0.060  -0.428 0.060  -0.245 0.060  -0.062 0.060  0.122 0.060  0.305 0.060  0.480 0.041  0.648 -0.002  0.824 -0.043  0.976 -0.015  0.952 0.166  0.928 0.348  0.904 0.530  0.881 0.711  0.857 0.893  0.833 1.075  0.714 1.148  0.565 1.114  0.565 0.931  0.565 0.748  0.565 0.565  0.565 0.382  0.587 0.202  0.617 0.024  0.617 -0.160  0.617 -0.343  0.617 -0.526  0.617 -0.709  0.617 -0.892  0.617 -1.076  0.617 -1.259  0.617 -1.442
2#tos#f3#f3012066/I  -0.117 1.693  -0.117 1.623  -0.117 1.553  -0.111 1.484  -0.079 1.421  -0.049 1.357  -0.026 1.291  -0.004 1.224  0.015 1.157  0.015 1.086  0.015 1.016  0.015 0.945  0.015 0.875  0.015 0.805  0.015 0.734  0.015 0.664  0.015 0.593  0.015 0.523  0.015 0.453  0.015 0.382  0.015 0.312  0.015 0.241  0.015 0.171  0.015 0.101  0.015 0.030  0.015 -0.040  0.015 -0.110  0.015 -0.181  0.015 -0.251  0.015 -0.322  0.015 -0.392  0.015 -0.462  0.015 -0.533  0.015 -0.603  0.015 -0.674  0.015 -0.744  0.015 -0.814  0.015 -0.885  0.015 -0.955  0.015 -1.026  0.015 -1.096  0.015 -1.166  0.015 -1.237  0.015 -1.307  0.015 -1.378  0.015 -1.448  0.015 -1.518  0.015 -1.589  0.015 -1.537  0.015 -1.466
2#tos#f3#f3012066/M  -0.697 0.945  -0.605 0.934  -0.605 0.674  -0.559 0.422  -0.559 0.163  -0.559 -0.097  -0.559 -0.356  -0.559 -0.616  -0.559 -0.875  -0.559 -1.135  -0.605 -1.376  -0.789 -1.423  -0.805 -1.164  -0.822 -0.905  -0.838 -0.646  -0.854 -0.387  -0.870 -0.128  -0.886 0.131  -0.903 0.390  -0.919 0.649  -0.860 0.861  -0.718 0.966  -0.494 0.880  -0.309 0.708  -0.172 0.497  -0.101 0.248  -0.009 0.045  0.178 -0.063  0.373 0.091  0.557 0.275  0.740 0.458  0.907 0.649  0.807 0.808  0.726 0.590  0.554 0.435  0.379 0.257  0.311 0.013  0.231 -0.001  0.407 0.190  0.583 0.381  0.770 0.540  0.990 0.579  0.999 0.328  0.999 0.068  1.041 -0.186  1.045 -0.445  1.045 -0.705  1.045 -0.964  1.045 -1.224  1.045 -1.483
2#tos#f3#f3012066/N  -0.576 1.124  -0.623 0.967  -0.623 0.763  -0.675 0.568  -0.718 0.372  -0.718 0.168  -0.758 -0.032  -0.766 -0.235  -0.766 -0.440  -0.766 -0.644  -0.766 -0.848  -0.766 -1.053  -0.766 -1.257  -0.700 -1.175  -0.670 -0.972  -0.640 -0.770  -0.609 -0.568  -0.579 -0.366  -0.549 -0.164  -0.518 0.038  -0.488 0.241  -0.458 0.443  -0.434 0.645  -0.339 0.755  -0.220 0.840  -0.117 0.710  -0.023 0.531  0.058 0.344  0.157 0.166  0.183 -0.031  0.272 -0.210  0.370 -0.389  0.449 -0.577  0.514 -0.771  0.605 -0.954  0.720 -1.120  0.820 -1.042  0.846 -0.842  0.846 -0.638  0.846 -0.433  0.846 -0.229  0.872 -0.027  0.894 0.175  0.894 0.380  0.894 0.584  0.894 0.788  0.894 0.993  0.894 1.197  0.921 1.397  0.941 1.598
2#tos#f3#f3012066/O  -0.205 0.714  -0.293 0.761  -0.381 0.687  -0.497 0.633  -0.573 0.533  -0.640 0.418  -0.667 0.296  -0.698 0.176  -0.792 0.081  -0.805 -0.047  -0.805 -0.180  -0.805 -0.314  -0.805 -0.447  -0.805 -0.580  -0.762 -0.707  -0.729 -0.836  -0.683 -0.961  -0.590 -1.051  -0.483 -1.131  -0.396 -1.178  -0.262 -1.178  -0.129 -1.178  0.005 -1.178  0.130 -1.136  0.254 -1.087  0.349 -0.993  0.433 -0.890  0.503 -0.777  0.563 -0.658  0.622 -0.538  0.677 -0.417  0.709 -0.288  0.737 -0.157  0.763 -0.026  0.764 0.107  0.810 0.230  0.810 0.363  0.810 0.496  0.806 0.629  0.732 0.740  0.658 0.851  0.558 0.933  0.520 1.041  0.391 1.073  0.348 1.173  0.224 1.217  0.092 1.222  -0.042 1.222  -0.166 1.208  -0.252 1.130
2#tos#f3#f3012066/Q  0.088 0.399  0.088 0.623  0.088 0.847  0.088 1.071  -0.077 1.039  -0.235 0.880  -0.388 0.717  -0.486 0.519  -0.576 0.319  -0.710 0.139  -0.843 -0.041  -0.918 -0.242  -0.940 -0.464  -0.969 -0.686  -0.969 -0.910  -0.913 -1.121  -0.763 -1.274  -0.563 -1.362  -0.339 -1.362  -0.132 -1.308  0.076 -1.234  0.254 -1.125  0.397 -0.953  0.547 -0.789  0.635 -0.585  0.746 -0.391  0.800 -0.173  0.843 0.045  0.843 0.269  0.843 0.493  0.843 0.717  0.797 0.936  0.630 1.076  0.523 1.272  0.355 1.405  0.151 1.355  0.081 1.197  -0.077 1.039  -0.139 0.831  -0.171 0.610  -0.204 0.388  -0.237 0.166  -0.270 -0.055  -0.303 -0.277  -0.234 -0.467  -0.027 -0.550  0.184 -0.623  0.402 -0.662  0.541 -0.786  0.641 -0.910
