2#tos#f2#f2049060/\"  -0.474 0.682  -0.637 0.682  -0.693 0.576  -0.802 0.523  -0.802 0.360  -0.802 0.197  -0.802 0.035  -0.802 -0.128  -0.802 -0.291  -0.802 -0.453  -0.802 -0.616  -0.802 -0.779  -0.802 -0.941  -0.777 -1.094  -0.693 -1.222  -0.625 -1.356  -0.583 -1.502  -0.509 -1.368  -0.432 -1.225  -0.355 -1.082  -0.277 -0.938  -0.200 -0.795  -0.123 -0.652  -0.046 -0.509  0.031 -0.365  0.108 -0.222  0.185 -0.079  0.262 0.064  0.340 0.207  0.417 0.351  0.494 0.494  0.571 0.637  0.648 0.780  0.725 0.924  0.802 1.067  0.879 1.210  0.934 1.332  0.789 1.259  0.730 1.132  0.620 1.079  0.620 0.917  0.620 0.754  0.620 0.591  0.620 0.429  0.620 0.266  0.620 0.103  0.620 -0.060  0.620 -0.222  0.547 -0.339  0.402 -0.412
2#tos#f2#f2049060/^  -1.329 -0.482  -1.395 -0.548  -1.414 -0.595  -1.329 -0.586  -1.329 -0.493  -1.305 -0.416  -1.218 -0.381  -1.131 -0.347  -1.046 -0.310  -1.004 -0.226  -0.938 -0.165  -0.860 -0.113  -0.801 -0.045  -0.759 0.039  -0.717 0.123  -0.633 0.137  -0.556 0.178  -0.490 0.244  -0.426 0.311  -0.384 0.395  -0.310 0.428  -0.258 0.505  -0.206 0.583  -0.171 0.644  -0.134 0.588  -0.046 0.565  0.034 0.519  0.104 0.458  0.182 0.406  0.262 0.358  0.350 0.328  0.416 0.282  0.416 0.189  0.458 0.137  0.552 0.137  0.645 0.137  0.734 0.119  0.815 0.074  0.867 -0.004  0.919 -0.082  1.005 -0.115  1.093 -0.145  1.159 -0.211  1.231 -0.270  1.314 -0.312  1.407 -0.313  1.443 -0.376  1.526 -0.418  1.599 -0.445  1.655 -0.482
2#tos#f2#f2049060/_  -1.364 0.076  -1.437 0.076  -1.510 0.076  -1.522 0.015  -1.467 -0.003  -1.394 -0.003  -1.321 -0.003  -1.249 -0.003  -1.176 -0.003  -1.103 -0.003  -1.030 -0.003  -0.961 -0.012  -0.909 -0.063  -0.844 -0.082  -0.771 -0.082  -0.698 -0.082  -0.626 -0.082  -0.553 -0.082  -0.480 -0.082  -0.407 -0.082  -0.334 -0.082  -0.261 -0.082  -0.188 -0.082  -0.116 -0.082  -0.043 -0.082  0.030 -0.082  0.103 -0.082  0.176 -0.082  0.249 -0.082  0.321 -0.082  0.394 -0.082  0.467 -0.082  0.538 -0.075  0.599 -0.035  0.659 0.005  0.720 0.046  0.784 0.076  0.856 0.076  0.929 0.076  1.002 0.076  1.075 0.076  1.148 0.076  1.221 0.076  1.294 0.076  1.361 0.098  1.426 0.131  1.493 0.155  1.566 0.155  1.639 0.155  1.712 0.155
2#tos#f2#f2049060/{  0.648 1.451  0.489 1.451  0.330 1.451  0.171 1.451  0.012 1.451  -0.147 1.451  -0.299 1.419  -0.376 1.307  -0.369 1.149  -0.279 1.032  -0.215 0.902  -0.102 0.789  0.025 0.697  0.160 0.639  0.261 0.533  0.415 0.498  0.496 0.397  0.507 0.245  0.507 0.086  0.488 -0.069  0.394 -0.173  0.262 -0.223  0.140 -0.314  -0.019 -0.314  -0.178 -0.314  -0.337 -0.314  -0.488 -0.301  -0.584 -0.176  -0.587 -0.019  -0.545 0.124  -0.481 0.241  -0.340 0.242  -0.305 0.119  -0.305 -0.041  -0.305 -0.200  -0.305 -0.359  -0.305 -0.518  -0.305 -0.677  -0.296 -0.835  -0.270 -0.990  -0.234 -1.113  -0.166 -1.231  -0.073 -1.358  0.022 -1.479  0.166 -1.514  0.326 -1.514  0.465 -1.451  0.565 -1.334  0.645 -1.206  0.719 -1.091
2#tos#f2#f2049060/|  0.123 1.584  0.050 1.584  -0.023 1.584  -0.062 1.529  -0.088 1.462  -0.088 1.389  -0.088 1.317  -0.088 1.244  -0.088 1.171  -0.088 1.098  -0.088 1.025  -0.088 0.952  -0.088 0.879  -0.088 0.806  -0.088 0.734  -0.088 0.661  -0.088 0.588  -0.088 0.515  -0.088 0.442  -0.088 0.369  -0.088 0.296  -0.088 0.223  -0.088 0.150  -0.088 0.078  -0.073 0.007  -0.054 -0.063  -0.034 -0.134  -0.015 -0.204  0.005 -0.274  0.024 -0.344  0.044 -0.415  0.063 -0.485  0.083 -0.555  0.102 -0.625  0.122 -0.695  0.141 -0.766  0.161 -0.836  0.156 -0.887  0.123 -0.927  0.115 -0.993  0.070 -1.020  0.070 -1.093  0.070 -1.166  0.070 -1.239  0.070 -1.312  0.070 -1.385  0.070 -1.458  0.070 -1.530  0.070 -1.603  0.070 -1.676
2#tos#f2#f2049060/0  -0.062 0.932  -0.191 0.889  -0.281 0.804  -0.324 0.667  -0.396 0.569  -0.499 0.513  -0.499 0.365  -0.589 0.271  -0.637 0.132  -0.681 -0.007  -0.718 -0.148  -0.720 -0.296  -0.762 -0.426  -0.762 -0.574  -0.762 -0.722  -0.718 -0.852  -0.622 -0.959  -0.577 -1.087  -0.499 -1.187  -0.396 -1.257  -0.266 -1.301  -0.118 -1.301  0.029 -1.301  0.114 -1.237  0.224 -1.169  0.328 -1.067  0.403 -0.940  0.471 -0.809  0.551 -0.685  0.565 -0.543  0.653 -0.428  0.699 -0.288  0.746 -0.147  0.770 -0.003  0.770 0.144  0.770 0.292  0.770 0.440  0.770 0.588  0.770 0.736  0.700 0.863  0.655 0.985  0.551 1.059  0.433 1.143  0.287 1.151  0.139 1.151  -0.009 1.151  -0.104 1.066  -0.240 1.020  -0.324 0.956  -0.412 0.845
2#tos#f2#f2049060/1  0.584 1.540  0.584 1.469  0.540 1.442  0.503 1.408  0.467 1.350  0.452 1.283  0.452 1.211  0.431 1.145  0.396 1.083  0.353 1.026  0.310 0.969  0.269 0.911  0.238 0.847  0.206 0.783  0.176 0.719  0.149 0.652  0.123 0.586  0.097 0.520  0.087 0.449  0.077 0.379  0.067 0.308  0.057 0.237  0.032 0.171  0.001 0.108  -0.031 0.044  -0.063 -0.020  -0.079 -0.087  -0.079 -0.159  -0.079 -0.230  -0.079 -0.301  -0.084 -0.371  -0.116 -0.435  -0.148 -0.499  -0.180 -0.563  -0.212 -0.626  -0.249 -0.687  -0.285 -0.749  -0.322 -0.810  -0.344 -0.875  -0.344 -0.946  -0.344 -1.017  -0.344 -1.089  -0.346 -1.160  -0.372 -1.226  -0.398 -1.292  -0.425 -1.358  -0.432 -1.428  -0.432 -1.499  -0.432 -1.571  -0.432 -1.642
2#tos#f2#f2049060/7  0.209 1.021  0.102 0.910  -0.009 0.824  -0.114 0.714  -0.201 0.585  -0.268 0.471  -0.415 0.422  -0.431 0.278  -0.548 0.183  -0.625 0.050  -0.749 -0.044  -0.786 -0.186  -0.690 -0.064  -0.595 0.059  -0.500 0.181  -0.404 0.304  -0.309 0.427  -0.214 0.549  -0.118 0.672  -0.013 0.773  0.099 0.844  0.230 0.901  0.380 0.915  0.535 0.915  0.676 0.879  0.813 0.862  0.920 0.813  1.022 0.742  1.027 0.588  0.982 0.448  0.878 0.353  0.748 0.267  0.655 0.148  0.578 0.013  0.507 -0.125  0.396 -0.230  0.286 -0.338  0.200 -0.467  0.126 -0.603  0.054 -0.741  -0.033 -0.870  -0.125 -0.994  -0.225 -1.113  -0.322 -1.234  -0.414 -1.359  -0.491 -1.493  -0.572 -1.626  -0.664 -1.751  -0.763 -1.871  -0.822 -2.001
2#tos#f2#f2049060/9  0.734 0.247  0.693 0.119  0.564 0.061  0.399 0.045  0.245 -0.018  0.080 -0.036  -0.084 -0.066  -0.249 -0.084  -0.394 -0.171  -0.545 -0.238  -0.714 -0.238  -0.879 -0.213  -0.924 -0.076  -0.924 0.092  -0.912 0.255  -0.780 0.358  -0.679 0.492  -0.559 0.612  -0.440 0.731  -0.289 0.807  -0.138 0.883  -0.014 0.995  0.132 1.078  0.296 1.096  0.462 1.123  0.630 1.137  0.799 1.137  0.936 1.105  0.936 0.937  0.898 0.777  0.832 0.640  0.700 0.537  0.581 0.418  0.572 0.252  0.441 0.149  0.318 0.034  0.235 -0.105  0.196 -0.269  0.133 -0.425  0.032 -0.560  -0.069 -0.695  -0.163 -0.835  -0.196 -0.994  -0.221 -1.152  -0.340 -1.272  -0.398 -1.416  -0.450 -1.570  -0.479 -1.730  -0.480 -1.898  -0.520 -2.058
2#tos#f2#f2049060/B  0.186 1.399  0.186 1.181  0.039 0.977  -0.103 0.746  -0.223 0.536  -0.360 0.329  -0.484 0.109  -0.652 -0.099  -0.759 -0.347  -0.812 -0.614  -0.865 -0.880  -0.982 -1.104  -0.991 -1.199  -0.895 -0.945  -0.800 -0.691  -0.705 -0.437  -0.610 -0.183  -0.514 0.072  -0.419 0.326  -0.324 0.580  -0.228 0.834  -0.150 1.049  0.042 1.142  0.300 1.173  0.572 1.173  0.817 1.072  1.015 0.915  1.129 0.682  1.129 0.411  0.953 0.240  0.707 0.156  0.467 0.080  0.216 -0.018  -0.052 -0.033  -0.210 0.051  0.028 0.178  0.297 0.193  0.568 0.193  0.763 0.112  0.922 -0.090  0.978 -0.345  0.932 -0.591  0.692 -0.714  0.517 -0.890  0.273 -1.007  0.014 -1.079  -0.246 -1.154  -0.515 -1.164  -0.786 -1.164  -1.058 -1.164
2#tos#f2#f2049060/D  0.403 1.265  0.335 1.139  0.183 1.079  0.127 0.917  -0.046 0.832  -0.108 0.663  -0.270 0.561  -0.397 0.416  -0.509 0.258  -0.620 0.100  -0.705 -0.074  -0.783 -0.251  -0.887 -0.414  -0.990 -0.577  -1.044 -0.760  -1.107 -0.891  -1.025 -0.815  -0.917 -0.654  -0.809 -0.494  -0.700 -0.333  -0.592 -0.173  -0.484 -0.012  -0.376 0.149  -0.268 0.309  -0.160 0.470  -0.052 0.631  0.087 0.760  0.217 0.824  0.398 0.856  0.591 0.856  0.785 0.856  0.960 0.822  1.095 0.708  1.212 0.559  1.252 0.381  1.252 0.187  1.192 0.009  1.070 -0.138  0.971 -0.305  0.843 -0.449  0.705 -0.582  0.624 -0.732  0.451 -0.820  0.284 -0.918  0.104 -0.984  -0.080 -1.042  -0.269 -1.063  -0.463 -1.063  -0.656 -1.063  -0.824 -1.000
2#tos#f2#f2049060/E  -0.233 1.143  -0.294 1.143  -0.066 1.143  0.159 1.178  0.382 1.215  0.610 1.215  0.831 1.251  0.711 1.242  0.484 1.229  0.257 1.217  0.145 1.088  0.026 0.927  -0.066 0.729  -0.175 0.536  -0.305 0.350  -0.348 0.148  -0.534 0.030  -0.634 -0.173  -0.753 -0.366  -0.858 -0.568  -0.976 -0.760  -1.027 -0.979  -1.099 -1.177  -0.896 -1.202  -0.669 -1.196  -0.445 -1.156  -0.229 -1.094  -0.014 -1.049  0.197 -0.986  0.422 -0.963  0.644 -0.911  0.868 -0.877  1.092 -0.841  1.049 -0.766  0.854 -0.649  0.658 -0.532  0.463 -0.415  0.268 -0.298  0.073 -0.180  -0.123 -0.063  -0.318 0.054  -0.513 0.171  -0.666 0.186  -0.527 0.097  -0.299 0.097  -0.072 0.097  0.156 0.097  0.379 0.142  0.600 0.197  0.813 0.277
2#tos#f2#f2049060/G  1.167 0.954  0.952 1.026  0.709 1.063  0.450 1.063  0.191 1.063  -0.067 1.060  -0.291 0.931  -0.487 0.769  -0.719 0.687  -0.897 0.501  -1.088 0.328  -1.265 0.141  -1.356 -0.102  -1.402 -0.353  -1.376 -0.608  -1.214 -0.783  -0.956 -0.792  -0.700 -0.819  -0.441 -0.819  -0.236 -0.711  -0.001 -0.628  0.243 -0.543  0.458 -0.406  0.631 -0.226  0.732 -0.020  0.732 0.239  0.515 0.339  0.264 0.375  0.006 0.375  -0.253 0.375  -0.512 0.375  -0.482 0.308  -0.223 0.303  0.035 0.303  0.294 0.303  0.552 0.321  0.809 0.339  1.059 0.375  1.160 0.375  1.000 0.259  0.841 0.121  0.680 -0.047  0.588 -0.265  0.427 -0.447  0.263 -0.646  0.103 -0.850  -0.052 -1.057  -0.187 -1.278  -0.299 -1.509  -0.353 -1.760
2#tos#f2#f2049060/I  -0.213 1.183  -0.308 1.091  -0.464 1.071  -0.363 1.071  -0.204 1.071  -0.046 1.076  0.110 1.099  0.269 1.099  0.427 1.099  0.586 1.099  0.745 1.099  0.776 1.176  0.627 1.125  0.545 1.033  0.479 0.911  0.393 0.779  0.348 0.638  0.275 0.500  0.201 0.360  0.102 0.237  0.055 0.086  -0.001 -0.063  -0.073 -0.203  -0.165 -0.332  -0.234 -0.474  -0.308 -0.614  -0.398 -0.744  -0.499 -0.866  -0.545 -1.015  -0.659 -0.946  -0.784 -0.848  -0.909 -0.750  -1.024 -0.780  -1.166 -0.764  -1.019 -0.752  -0.860 -0.752  -0.702 -0.752  -0.543 -0.752  -0.384 -0.752  -0.226 -0.752  -0.067 -0.752  0.088 -0.734  0.237 -0.678  0.393 -0.652  0.550 -0.640  0.703 -0.608  0.846 -0.542  0.992 -0.500  1.146 -0.469  1.274 -0.416
2#tos#f2#f2049060/P  -0.164 0.863  -0.312 0.863  -0.443 0.880  -0.351 0.944  -0.209 0.968  -0.061 0.968  0.086 0.968  0.234 0.968  0.381 0.968  0.522 0.938  0.649 0.863  0.778 0.793  0.915 0.738  1.011 0.632  1.019 0.487  1.019 0.339  1.019 0.192  0.959 0.060  0.877 -0.063  0.767 -0.154  0.645 -0.216  0.506 -0.250  0.358 -0.250  0.230 -0.188  0.149 -0.116  0.044 -0.050  0.005 0.068  -0.060 0.189  -0.060 0.336  -0.060 0.484  -0.025 0.573  -0.025 0.426  -0.095 0.307  -0.095 0.159  -0.169 0.056  -0.234 -0.072  -0.258 -0.211  -0.350 -0.326  -0.430 -0.450  -0.502 -0.578  -0.568 -0.710  -0.634 -0.842  -0.692 -0.978  -0.759 -1.108  -0.841 -1.231  -0.888 -1.370  -0.895 -1.516  -0.946 -1.649  -1.015 -1.778  -1.035 -1.921
2#tos#f2#f2049060/T  -0.962 0.341  -1.095 0.341  -1.193 0.374  -1.066 0.406  -0.933 0.407  -0.801 0.407  -0.675 0.443  -0.549 0.473  -0.417 0.481  -0.286 0.503  -0.154 0.506  -0.030 0.549  0.098 0.572  0.231 0.572  0.363 0.572  0.496 0.572  0.628 0.572  0.761 0.572  0.893 0.572  1.014 0.599  1.144 0.605  1.277 0.605  1.161 0.592  1.029 0.577  0.897 0.562  0.766 0.548  0.634 0.533  0.502 0.518  0.377 0.491  0.260 0.465  0.252 0.341  0.161 0.274  0.161 0.141  0.112 0.019  0.048 -0.096  -0.003 -0.218  -0.051 -0.341  -0.089 -0.467  -0.140 -0.589  -0.220 -0.695  -0.275 -0.815  -0.311 -0.942  -0.333 -1.072  -0.399 -1.187  -0.462 -1.303  -0.512 -1.425  -0.547 -1.553  -0.566 -1.682  -0.566 -1.814  -0.632 -1.906
2#tos#f2#f2049060/U  -0.139 1.070  -0.254 1.070  -0.370 1.070  -0.427 0.999  -0.489 0.905  -0.549 0.815  -0.614 0.724  -0.642 0.612  -0.699 0.516  -0.722 0.404  -0.758 0.297  -0.810 0.194  -0.838 0.086  -0.838 -0.030  -0.838 -0.145  -0.838 -0.260  -0.838 -0.376  -0.838 -0.491  -0.838 -0.607  -0.838 -0.722  -0.769 -0.786  -0.696 -0.833  -0.594 -0.883  -0.491 -0.911  -0.375 -0.911  -0.260 -0.911  -0.145 -0.911  -0.029 -0.911  0.083 -0.897  0.186 -0.845  0.273 -0.771  0.366 -0.717  0.430 -0.621  0.498 -0.530  0.557 -0.430  0.622 -0.336  0.692 -0.243  0.749 -0.144  0.801 -0.041  0.864 0.054  0.918 0.155  0.948 0.264  0.963 0.377  1.005 0.484  1.064 0.583  1.104 0.686  1.104 0.801  1.104 0.917  1.104 1.032  1.104 1.147
2#tos#f2#f2049060/Z  -1.017 1.219  -1.143 1.076  -0.977 1.134  -0.737 1.163  -0.498 1.213  -0.255 1.219  -0.011 1.219  0.232 1.219  0.476 1.219  0.578 1.054  0.539 0.829  0.386 0.687  0.245 0.502  0.067 0.365  -0.071 0.166  -0.223 -0.013  -0.406 -0.168  -0.552 -0.363  -0.665 -0.574  -0.857 -0.716  -1.003 -0.847  -1.053 -0.878  -0.824 -0.842  -0.581 -0.842  -0.372 -0.758  -0.128 -0.758  0.116 -0.758  0.360 -0.758  0.603 -0.758  0.847 -0.758  1.091 -0.758  1.335 -0.758  1.528 -0.695  1.448 -0.571  1.224 -0.475  1.000 -0.380  0.775 -0.284  0.551 -0.189  0.327 -0.093  0.102 0.002  -0.122 0.098  -0.346 0.193  -0.570 0.289  -0.717 0.220  -0.677 -0.004  -0.456 -0.071  -0.243 -0.184  -0.003 -0.211  0.224 -0.285  0.455 -0.337
2#tos#f2#f2049060/b  0.664 1.925  0.525 1.878  0.494 1.707  0.362 1.575  0.267 1.427  0.155 1.278  0.079 1.109  0.003 0.939  -0.046 0.759  -0.112 0.585  -0.193 0.418  -0.289 0.258  -0.359 0.085  -0.436 -0.084  -0.504 -0.257  -0.554 -0.436  -0.626 -0.607  -0.694 -0.780  -0.724 -0.963  -0.800 -1.118  -0.835 -1.102  -0.767 -0.929  -0.698 -0.755  -0.630 -0.582  -0.562 -0.408  -0.494 -0.234  -0.426 -0.061  -0.358 0.113  -0.293 0.248  -0.163 0.367  0.001 0.421  0.182 0.442  0.369 0.442  0.555 0.442  0.721 0.414  0.808 0.281  0.895 0.154  0.951 0.024  0.951 -0.162  0.886 -0.309  0.805 -0.445  0.673 -0.546  0.601 -0.711  0.421 -0.758  0.266 -0.826  0.146 -0.960  -0.031 -1.019  -0.212 -1.058  -0.394 -1.090  -0.580 -1.090
