3#apb#apb40#app4051/4  -0.205 0.812  -0.341 0.890  -0.480 0.767  -0.593 0.620  -0.691 0.463  -0.769 0.294  -0.842 0.123  -0.909 -0.051  -0.975 -0.225  -0.984 -0.401  -0.845 -0.495  -0.662 -0.464  -0.490 -0.396  -0.320 -0.320  -0.148 -0.249  0.027 -0.187  0.203 -0.125  0.382 -0.076  0.564 -0.041  0.747 -0.033  0.931 -0.064  1.088 -0.163  1.060 0.008  1.023 0.190  0.986 0.373  0.949 0.555  0.912 0.737  0.876 0.920  0.839 1.102  0.802 1.285  0.725 1.255  0.623 1.099  0.537 0.936  0.467 0.763  0.398 0.590  0.327 0.419  0.230 0.260  0.133 0.101  0.036 -0.058  -0.061 -0.216  -0.161 -0.373  -0.261 -0.530  -0.361 -0.687  -0.458 -0.846  -0.545 -1.010  -0.632 -1.174  -0.716 -1.340  -0.785 -1.513  -0.840 -1.690  -0.790 -1.832
3#apb#apb40#app4051/5  -0.183 0.905  -0.151 1.063  -0.173 0.867  -0.250 0.682  -0.344 0.506  -0.442 0.332  -0.537 0.156  -0.623 -0.023  -0.574 -0.169  -0.378 -0.133  -0.191 -0.065  -0.007 0.013  0.179 0.086  0.367 0.153  0.556 0.209  0.747 0.152  0.905 0.050  1.006 -0.121  1.006 -0.321  0.973 -0.513  0.886 -0.694  0.785 -0.864  0.653 -1.014  0.507 -1.150  0.350 -1.272  0.173 -1.364  -0.014 -1.429  -0.213 -1.454  -0.399 -1.389  -0.565 -1.282  -0.677 -1.136  -0.661 -0.937  -0.645 -0.738  -0.628 -0.538  -0.612 -0.339  -0.596 -0.140  -0.579 0.059  -0.563 0.259  -0.547 0.458  -0.530 0.657  -0.514 0.856  -0.514 0.969  -0.315 0.984  -0.116 1.006  0.082 1.029  0.279 1.063  0.476 1.100  0.673 1.134  0.871 1.156  1.070 1.178
3#apb#apb40#app4051/7  -0.894 0.691  -0.833 0.752  -0.757 0.805  -0.675 0.845  -0.587 0.874  -0.498 0.902  -0.410 0.930  -0.321 0.955  -0.229 0.962  -0.137 0.969  -0.044 0.976  0.048 0.983  0.141 0.990  0.229 0.964  0.318 0.937  0.407 0.911  0.495 0.884  0.555 0.813  0.614 0.741  0.670 0.669  0.663 0.577  0.656 0.485  0.648 0.392  0.641 0.300  0.620 0.212  0.567 0.137  0.513 0.061  0.460 -0.015  0.406 -0.090  0.353 -0.166  0.299 -0.241  0.245 -0.317  0.192 -0.392  0.138 -0.468  0.084 -0.544  0.031 -0.619  -0.023 -0.695  -0.076 -0.771  -0.129 -0.847  -0.181 -0.923  -0.234 -0.999  -0.287 -1.075  -0.340 -1.151  -0.387 -1.231  -0.428 -1.314  -0.470 -1.397  -0.511 -1.479  -0.521 -1.569  -0.514 -1.661  -0.508 -1.753
3#apb#apb40#app4051/N  0.183 0.608  0.098 0.540  -0.013 0.395  -0.130 0.255  -0.247 0.115  -0.364 -0.025  -0.491 -0.156  -0.618 -0.287  -0.745 -0.419  -0.859 -0.561  -0.967 -0.709  -1.075 -0.856  -1.186 -1.000  -1.294 -1.147  -1.240 -1.022  -1.141 -0.869  -1.036 -0.719  -0.928 -0.573  -0.819 -0.426  -0.725 -0.270  -0.631 -0.113  -0.538 0.044  -0.455 0.207  -0.371 0.369  -0.288 0.531  -0.171 0.672  -0.052 0.807  0.063 0.732  0.080 0.550  0.089 0.368  0.095 0.186  0.104 0.003  0.118 -0.179  0.167 -0.349  0.264 -0.504  0.405 -0.610  0.577 -0.649  0.743 -0.593  0.881 -0.475  0.984 -0.325  1.068 -0.165  1.119 0.010  1.153 0.189  1.165 0.371  1.176 0.553  1.167 0.735  1.156 0.917  1.154 1.100  1.170 1.281  1.205 1.460
3#apb#apb40#app4051/S  1.034 1.168  1.023 1.260  0.946 1.304  0.863 1.322  0.783 1.276  0.702 1.230  0.622 1.184  0.548 1.128  0.475 1.072  0.402 1.015  0.329 0.959  0.256 0.902  0.187 0.841  0.120 0.777  0.054 0.713  -0.013 0.649  -0.080 0.584  -0.145 0.520  -0.184 0.436  -0.223 0.352  -0.261 0.268  -0.273 0.182  -0.246 0.094  -0.215 0.007  -0.158 -0.066  -0.101 -0.138  -0.028 -0.192  0.054 -0.236  0.129 -0.289  0.200 -0.348  0.256 -0.420  0.278 -0.503  0.257 -0.593  0.209 -0.666  0.139 -0.727  0.070 -0.788  -0.010 -0.834  -0.094 -0.870  -0.179 -0.907  -0.264 -0.943  -0.351 -0.977  -0.437 -1.010  -0.523 -1.043  -0.611 -1.071  -0.701 -1.091  -0.791 -1.111  -0.883 -1.126  -0.974 -1.137  -1.060 -1.103  -1.134 -1.051
3#apb#apb40#app4051/a  0.633 0.531  0.721 0.639  0.810 0.747  0.875 0.868  0.919 1.000  0.878 1.129  0.744 1.137  0.605 1.137  0.476 1.100  0.357 1.027  0.238 0.955  0.119 0.882  -0.000 0.810  -0.106 0.719  -0.208 0.625  -0.311 0.531  -0.413 0.436  -0.516 0.342  -0.618 0.248  -0.713 0.145  -0.806 0.042  -0.900 -0.061  -0.994 -0.164  -1.088 -0.267  -1.130 -0.396  -1.155 -0.533  -1.181 -0.670  -1.116 -0.790  -1.045 -0.910  -0.920 -0.965  -0.789 -1.012  -0.653 -0.994  -0.517 -0.965  -0.380 -0.936  -0.255 -0.882  -0.141 -0.803  -0.027 -0.723  0.087 -0.643  0.201 -0.562  0.314 -0.481  0.427 -0.399  0.540 -0.318  0.649 -0.231  0.752 -0.138  0.855 -0.044  0.948 0.046  0.948 -0.093  0.951 -0.232  0.962 -0.371  0.972 -0.510
3#apb#apb40#app4051/l  0.967 1.392  0.941 1.328  0.916 1.263  0.882 1.203  0.845 1.144  0.808 1.085  0.771 1.026  0.733 0.968  0.696 0.909  0.659 0.850  0.617 0.795  0.574 0.740  0.531 0.686  0.488 0.631  0.445 0.576  0.402 0.522  0.359 0.467  0.316 0.412  0.274 0.357  0.231 0.303  0.187 0.249  0.142 0.195  0.098 0.142  0.054 0.088  0.010 0.034  -0.034 -0.020  -0.078 -0.073  -0.122 -0.127  -0.166 -0.181  -0.210 -0.235  -0.253 -0.289  -0.294 -0.345  -0.336 -0.401  -0.377 -0.457  -0.418 -0.513  -0.459 -0.569  -0.500 -0.625  -0.541 -0.681  -0.583 -0.737  -0.621 -0.795  -0.657 -0.855  -0.693 -0.914  -0.728 -0.974  -0.764 -1.033  -0.800 -1.093  -0.830 -1.155  -0.849 -1.222  -0.868 -1.289  -0.882 -1.356  -0.882 -1.426
3#apb#apb40#app4051/i  -0.246 -0.841  -0.246 -0.919  -0.246 -0.997  -0.282 -1.065  -0.325 -1.130  -0.376 -1.190  -0.431 -1.245  -0.495 -1.291  -0.545 -1.258  -0.553 -1.186  -0.536 -1.110  -0.519 -1.033  -0.490 -0.961  -0.457 -0.890  -0.424 -0.819  -0.390 -0.748  -0.357 -0.677  -0.324 -0.606  -0.290 -0.535  -0.257 -0.464  -0.223 -0.393  -0.190 -0.322  -0.157 -0.251  -0.123 -0.180  -0.090 -0.109  -0.056 -0.038  -0.023 0.033  0.010 0.104  0.044 0.175  0.077 0.246  0.111 0.317  0.144 0.387  0.177 0.458  0.211 0.529  0.244 0.600  0.277 0.671  0.311 0.742  0.344 0.813  0.378 0.884  0.411 0.955  0.444 1.026  0.478 1.097  0.511 1.168  0.545 1.239  0.578 1.310  0.611 1.381  0.645 1.452  0.672 1.525  0.675 1.573  0.753 1.573
3#apb#apb40#app4051/n  -0.240 0.032  -0.308 -0.102  -0.416 -0.211  -0.531 -0.312  -0.652 -0.407  -0.774 -0.501  -0.889 -0.603  -1.005 -0.704  -1.127 -0.796  -1.252 -0.885  -1.266 -0.917  -1.165 -0.802  -1.044 -0.708  -0.923 -0.613  -0.830 -0.492  -0.743 -0.365  -0.656 -0.239  -0.569 -0.112  -0.477 0.011  -0.382 0.132  -0.288 0.254  -0.194 0.375  -0.099 0.496  0.000 0.613  0.102 0.728  0.204 0.843  0.305 0.959  0.407 1.074  0.527 1.170  0.650 1.262  0.786 1.330  0.873 1.277  0.910 1.128  0.904 0.976  0.883 0.824  0.863 0.672  0.837 0.520  0.806 0.370  0.774 0.220  0.742 0.069  0.704 -0.079  0.653 -0.224  0.601 -0.369  0.549 -0.513  0.492 -0.656  0.435 -0.798  0.375 -0.940  0.345 -1.061  0.484 -0.997  0.621 -0.929
3#apb#apb40#app4051/a  0.774 0.952  0.864 1.073  0.999 1.140  1.031 1.252  1.000 1.252  0.849 1.252  0.719 1.201  0.609 1.098  0.498 0.995  0.388 0.892  0.276 0.791  0.161 0.693  0.046 0.596  -0.069 0.498  -0.184 0.400  -0.297 0.301  -0.404 0.194  -0.510 0.088  -0.617 -0.019  -0.724 -0.126  -0.830 -0.232  -0.929 -0.346  -1.028 -0.460  -1.126 -0.575  -1.216 -0.694  -1.275 -0.833  -1.267 -0.977  -1.130 -0.994  -0.985 -0.966  -0.846 -0.907  -0.707 -0.849  -0.568 -0.790  -0.433 -0.723  -0.305 -0.644  -0.177 -0.564  -0.049 -0.485  0.080 -0.406  0.201 -0.317  0.317 -0.220  0.432 -0.123  0.547 -0.025  0.661 0.073  0.786 0.144  0.711 0.048  0.644 -0.087  0.591 -0.226  0.578 -0.376  0.566 -0.526  0.634 -0.657  0.714 -0.785
3#apb#apb40#app4051/s  0.521 0.829  0.607 0.914  0.693 1.000  0.775 1.088  0.825 1.195  0.734 1.203  0.615 1.177  0.501 1.139  0.392 1.086  0.282 1.034  0.173 0.982  0.063 0.930  -0.046 0.878  -0.153 0.820  -0.258 0.759  -0.363 0.699  -0.468 0.638  -0.573 0.577  -0.674 0.512  -0.755 0.421  -0.836 0.331  -0.908 0.236  -0.925 0.116  -0.905 0.008  -0.819 -0.077  -0.733 -0.163  -0.618 -0.194  -0.499 -0.218  -0.380 -0.242  -0.261 -0.264  -0.140 -0.273  -0.019 -0.281  0.102 -0.289  0.218 -0.313  0.322 -0.375  0.426 -0.438  0.514 -0.516  0.574 -0.622  0.597 -0.730  0.556 -0.844  0.514 -0.958  0.448 -1.053  0.348 -1.122  0.248 -1.191  0.148 -1.260  0.044 -1.322  -0.064 -1.376  -0.172 -1.430  -0.281 -1.484  -0.389 -1.539
3#apb#apb40#app4051/S  0.582 0.815  0.565 0.927  0.547 1.039  0.545 1.151  0.537 1.261  0.457 1.341  0.357 1.339  0.249 1.306  0.140 1.274  0.039 1.229  -0.052 1.161  -0.142 1.093  -0.233 1.025  -0.323 0.957  -0.395 0.874  -0.449 0.775  -0.504 0.676  -0.558 0.577  -0.536 0.471  -0.498 0.365  -0.461 0.258  -0.387 0.174  -0.309 0.092  -0.232 0.009  -0.149 -0.067  -0.056 -0.131  0.036 -0.196  0.129 -0.261  0.223 -0.322  0.321 -0.380  0.418 -0.437  0.513 -0.497  0.603 -0.567  0.670 -0.652  0.664 -0.752  0.597 -0.843  0.500 -0.894  0.394 -0.935  0.289 -0.976  0.181 -1.009  0.072 -1.038  -0.038 -1.066  -0.147 -1.095  -0.258 -1.114  -0.370 -1.132  -0.481 -1.149  -0.594 -1.161  -0.706 -1.169  -0.819 -1.173  -0.932 -1.173
3#apb#apb40#app4051/t  -0.898 -0.101  -0.993 -0.014  -0.875 0.065  -0.750 0.131  -0.619 0.184  -0.478 0.187  -0.336 0.187  -0.195 0.178  -0.054 0.158  0.086 0.138  0.227 0.126  0.369 0.126  0.511 0.123  0.651 0.107  0.780 0.050  0.792 0.169  0.790 0.311  0.788 0.453  0.785 0.595  0.783 0.736  0.781 0.878  0.778 1.020  0.776 1.162  0.774 1.304  0.705 1.220  0.627 1.102  0.550 0.983  0.482 0.859  0.413 0.735  0.344 0.611  0.275 0.487  0.205 0.363  0.135 0.240  0.065 0.117  -0.004 -0.007  -0.074 -0.130  -0.138 -0.257  -0.200 -0.384  -0.262 -0.512  -0.324 -0.640  -0.385 -0.767  -0.456 -0.890  -0.531 -1.010  -0.606 -1.131  -0.681 -1.251  -0.761 -1.368  -0.842 -1.485  -0.922 -1.602  -1.003 -1.718  -1.084 -1.835
3#apb#apb40#app4051/.  -1.081 1.134  -1.006 1.134  -0.931 1.134  -0.856 1.134  -0.781 1.134  -0.706 1.134  -0.631 1.134  -0.572 1.095  -0.519 1.042  -0.466 0.989  -0.413 0.936  -0.360 0.883  -0.307 0.830  -0.254 0.777  -0.201 0.724  -0.148 0.671  -0.095 0.618  -0.042 0.565  0.011 0.512  0.064 0.459  0.117 0.406  0.170 0.353  0.223 0.300  0.276 0.247  0.327 0.193  0.327 0.118  0.327 0.043  0.327 -0.032  0.327 -0.107  0.327 -0.182  0.327 -0.257  0.327 -0.332  0.327 -0.407  0.327 -0.482  0.327 -0.557  0.327 -0.632  0.327 -0.707  0.327 -0.782  0.327 -0.856  0.327 -0.931  0.327 -1.006  0.327 -1.081  0.327 -1.156  0.327 -1.231  0.327 -1.306  0.327 -1.381  0.327 -1.456  0.327 -1.531  0.327 -1.606  0.327 -1.681
3#apb#apb40#app4051/1  0.930 1.416  0.884 1.364  0.837 1.312  0.791 1.259  0.745 1.207  0.699 1.155  0.653 1.103  0.622 1.041  0.592 0.978  0.563 0.915  0.533 0.852  0.504 0.789  0.474 0.726  0.444 0.663  0.415 0.600  0.385 0.537  0.355 0.475  0.317 0.417  0.277 0.360  0.237 0.303  0.196 0.247  0.156 0.190  0.115 0.134  0.075 0.077  0.034 0.020  -0.006 -0.036  -0.047 -0.093  -0.087 -0.150  -0.128 -0.206  -0.169 -0.262  -0.210 -0.318  -0.251 -0.374  -0.292 -0.430  -0.333 -0.487  -0.374 -0.543  -0.416 -0.599  -0.457 -0.655  -0.498 -0.711  -0.537 -0.768  -0.569 -0.830  -0.602 -0.891  -0.634 -0.953  -0.666 -1.015  -0.698 -1.077  -0.730 -1.138  -0.763 -1.199  -0.799 -1.259  -0.835 -1.319  -0.868 -1.379  -0.868 -1.449
3#apb#apb40#app4051/2  -0.157 1.443  -0.052 1.422  0.055 1.413  0.163 1.413  0.269 1.404  0.373 1.376  0.474 1.342  0.552 1.269  0.631 1.196  0.684 1.108  0.705 1.003  0.726 0.897  0.715 0.794  0.681 0.692  0.647 0.590  0.613 0.487  0.558 0.397  0.488 0.315  0.418 0.233  0.349 0.152  0.279 0.070  0.199 -0.002  0.113 -0.066  0.027 -0.131  -0.059 -0.195  -0.145 -0.260  -0.230 -0.326  -0.314 -0.394  -0.398 -0.461  -0.482 -0.528  -0.568 -0.592  -0.662 -0.644  -0.756 -0.696  -0.850 -0.748  -0.937 -0.812  -0.988 -0.878  -0.917 -0.946  -0.809 -0.946  -0.701 -0.946  -0.594 -0.940  -0.487 -0.928  -0.380 -0.916  -0.273 -0.904  -0.166 -0.891  -0.061 -0.873  0.044 -0.848  0.149 -0.823  0.253 -0.799  0.358 -0.774  0.463 -0.749
3#apb#apb40#app4051/B  0.066 0.719  -0.109 0.631  -0.214 0.429  -0.353 0.249  -0.499 0.074  -0.647 -0.099  -0.800 -0.268  -0.953 -0.438  -1.102 -0.610  -1.256 -0.776  -1.330 -0.762  -1.195 -0.579  -1.055 -0.398  -0.902 -0.230  -0.748 -0.062  -0.590 0.103  -0.425 0.259  -0.259 0.416  -0.096 0.575  0.060 0.741  0.217 0.907  0.383 1.062  0.568 1.195  0.753 1.328  0.964 1.412  1.061 1.268  0.973 1.059  0.876 0.854  0.743 0.668  0.611 0.483  0.457 0.315  0.302 0.148  0.143 -0.015  -0.019 -0.177  -0.045 -0.246  0.163 -0.152  0.374 -0.069  0.594 -0.007  0.817 0.006  0.948 -0.127  0.901 -0.341  0.807 -0.548  0.646 -0.709  0.475 -0.858  0.284 -0.983  0.090 -1.101  -0.111 -1.209  -0.314 -1.313  -0.522 -1.407  -0.732 -1.417
3#apb#apb40#app4051/i  0.422 0.482  0.332 0.392  0.241 0.302  0.151 0.211  0.065 0.118  -0.009 0.014  -0.083 -0.090  -0.157 -0.193  -0.232 -0.297  -0.307 -0.400  -0.386 -0.500  -0.465 -0.600  -0.544 -0.700  -0.623 -0.800  -0.686 -0.910  -0.743 -1.025  -0.800 -1.139  -0.782 -1.258  -0.692 -1.318  -0.565 -1.332  -0.444 -1.296  -0.324 -1.253  -0.254 -1.160  -0.213 -1.040  -0.172 -0.919  -0.132 -0.798  -0.091 -0.677  -0.050 -0.556  -0.009 -0.436  0.032 -0.315  0.073 -0.194  0.114 -0.073  0.155 0.047  0.196 0.168  0.237 0.289  0.278 0.410  0.319 0.530  0.360 0.651  0.401 0.772  0.442 0.893  0.483 1.013  0.524 1.134  0.565 1.255  0.606 1.376  0.647 1.496  0.611 1.599  0.502 1.644  0.390 1.599  0.319 1.504  0.301 1.378
3#apb#apb40#app4051/g  0.988 1.511  0.861 1.511  0.735 1.488  0.610 1.465  0.499 1.404  0.390 1.338  0.282 1.272  0.180 1.196  0.090 1.106  0.000 1.016  -0.090 0.925  -0.162 0.821  -0.229 0.713  -0.203 0.598  -0.097 0.537  0.024 0.499  0.149 0.474  0.270 0.436  0.385 0.383  0.455 0.288  0.495 0.167  0.523 0.046  0.490 -0.077  0.457 -0.200  0.424 -0.323  0.368 -0.436  0.302 -0.546  0.237 -0.655  0.171 -0.764  0.087 -0.860  0.002 -0.955  -0.083 -1.050  -0.175 -1.137  -0.271 -1.221  -0.367 -1.305  -0.487 -1.343  -0.595 -1.320  -0.668 -1.219  -0.711 -1.099  -0.751 -0.979  -0.726 -0.854  -0.701 -0.729  -0.661 -0.609  -0.600 -0.497  -0.540 -0.385  -0.479 -0.273  -0.378 -0.197  -0.273 -0.126  -0.168 -0.054  -0.062 0.018
