2#apb#apb14#app1463/P  -0.565 0.361  -0.496 0.201  -0.433 0.038  -0.373 -0.126  -0.313 -0.289  -0.253 -0.453  -0.192 -0.616  -0.134 -0.781  -0.077 -0.945  -0.033 -1.114  0.003 -1.284  -0.006 -1.457  -0.079 -1.599  -0.231 -1.543  -0.356 -1.425  -0.459 -1.285  -0.541 -1.131  -0.587 -0.967  -0.601 -0.793  -0.612 -0.620  -0.605 -0.445  -0.599 -0.271  -0.573 -0.099  -0.538 0.071  -0.503 0.242  -0.438 0.404  -0.372 0.565  -0.291 0.717  -0.174 0.846  -0.057 0.975  0.083 1.073  0.240 1.148  0.398 1.221  0.571 1.242  0.744 1.263  0.907 1.215  1.067 1.145  1.172 1.007  1.159 0.851  1.091 0.692  0.978 0.559  0.865 0.426  0.720 0.334  0.564 0.256  0.407 0.181  0.242 0.126  0.076 0.070  -0.093 0.030  -0.265 0.004  -0.437 -0.021
2#apb#apb14#app1463/s  0.384 1.589  0.427 1.578  0.356 1.488  0.286 1.397  0.209 1.312  0.127 1.231  0.046 1.149  -0.035 1.068  -0.116 0.987  -0.201 0.908  -0.285 0.830  -0.370 0.752  -0.454 0.674  -0.530 0.588  -0.606 0.502  -0.674 0.409  -0.641 0.308  -0.568 0.233  -0.456 0.208  -0.344 0.184  -0.231 0.165  -0.116 0.165  -0.001 0.165  0.114 0.165  0.228 0.159  0.340 0.131  0.451 0.103  0.560 0.067  0.666 0.022  0.721 -0.072  0.761 -0.180  0.726 -0.286  0.682 -0.392  0.637 -0.498  0.563 -0.586  0.489 -0.673  0.415 -0.761  0.335 -0.842  0.237 -0.903  0.140 -0.964  0.042 -1.025  -0.056 -1.085  -0.160 -1.134  -0.264 -1.182  -0.368 -1.231  -0.475 -1.274  -0.584 -1.311  -0.693 -1.347  -0.803 -1.381  -0.913 -1.412
2#apb#apb14#app1463/i  -0.137 -0.138  -0.090 -0.231  -0.086 -0.335  -0.091 -0.438  -0.119 -0.539  -0.147 -0.640  -0.173 -0.740  -0.192 -0.843  -0.212 -0.946  -0.244 -1.044  -0.287 -1.139  -0.321 -1.237  -0.352 -1.337  -0.401 -1.426  -0.402 -1.375  -0.375 -1.275  -0.347 -1.174  -0.319 -1.073  -0.291 -0.973  -0.264 -0.872  -0.236 -0.771  -0.208 -0.671  -0.180 -0.570  -0.153 -0.470  -0.125 -0.369  -0.097 -0.268  -0.069 -0.168  -0.042 -0.067  -0.014 0.034  0.014 0.134  0.041 0.235  0.069 0.335  0.097 0.436  0.125 0.537  0.152 0.637  0.180 0.738  0.208 0.838  0.236 0.939  0.263 1.040  0.291 1.140  0.319 1.241  0.347 1.342  0.374 1.442  0.402 1.543  0.430 1.643  0.455 1.572  0.475 1.470  0.502 1.370  0.525 1.275  0.468 1.188
2#apb#apb14#app1463/s  0.208 1.670  0.171 1.558  0.134 1.447  0.080 1.346  -0.003 1.263  -0.086 1.181  -0.169 1.098  -0.251 1.015  -0.334 0.932  -0.417 0.849  -0.500 0.766  -0.583 0.683  -0.666 0.600  -0.751 0.521  -0.852 0.461  -0.880 0.373  -0.799 0.300  -0.694 0.248  -0.588 0.200  -0.473 0.179  -0.357 0.157  -0.242 0.136  -0.127 0.114  -0.011 0.096  0.105 0.081  0.221 0.065  0.337 0.050  0.453 0.031  0.568 0.008  0.683 -0.015  0.774 -0.078  0.849 -0.168  0.881 -0.268  0.856 -0.383  0.830 -0.497  0.759 -0.588  0.680 -0.675  0.602 -0.762  0.521 -0.847  0.425 -0.914  0.329 -0.980  0.232 -1.047  0.136 -1.114  0.029 -1.161  -0.081 -1.201  -0.191 -1.241  -0.298 -1.289  -0.401 -1.345  -0.503 -1.401  -0.606 -1.457
2#apb#apb14#app1463/t  -0.239 1.537  -0.116 1.429  -0.022 1.294  0.036 1.146  0.046 0.982  0.056 0.817  0.063 0.653  0.070 0.488  0.077 0.323  0.085 0.159  0.093 -0.006  0.101 -0.170  0.119 -0.334  0.148 -0.496  0.176 -0.658  0.189 -0.823  0.201 -0.987  0.176 -1.149  0.141 -1.310  0.038 -1.285  -0.091 -1.183  -0.220 -1.080  -0.349 -0.978  -0.478 -0.876  -0.607 -0.773  -0.736 -0.671  -0.865 -0.568  -0.995 -0.466  -1.124 -0.364  -1.253 -0.261  -1.214 -0.149  -1.089 -0.046  -0.932 0.006  -0.776 0.058  -0.623 0.118  -0.470 0.179  -0.313 0.226  -0.151 0.257  0.011 0.288  0.173 0.319  0.334 0.352  0.496 0.384  0.658 0.414  0.821 0.439  0.984 0.463  1.147 0.482  1.312 0.482  1.477 0.482  1.637 0.449  1.797 0.409
2#apb#apb14#app1463/a  0.201 0.951  0.135 1.065  -0.003 1.065  -0.117 0.997  -0.227 0.915  -0.337 0.832  -0.438 0.740  -0.535 0.642  -0.633 0.545  -0.730 0.448  -0.816 0.342  -0.894 0.229  -0.972 0.116  -1.034 -0.004  -1.057 -0.139  -1.079 -0.275  -1.084 -0.412  -1.082 -0.549  -1.050 -0.680  -0.918 -0.696  -0.791 -0.652  -0.679 -0.572  -0.585 -0.475  -0.506 -0.362  -0.427 -0.249  -0.340 -0.143  -0.253 -0.037  -0.168 0.070  -0.114 0.197  -0.059 0.323  -0.005 0.449  0.087 0.550  0.194 0.583  0.317 0.521  0.425 0.437  0.534 0.353  0.615 0.245  0.680 0.124  0.745 0.003  0.806 -0.120  0.863 -0.245  0.921 -0.370  0.986 -0.490  1.057 -0.608  1.133 -0.721  1.238 -0.811  1.342 -0.900  1.446 -0.990  1.551 -1.078  1.659 -1.164
2#apb#apb14#app1463/n  -1.081 0.666  -1.058 0.608  -1.038 0.507  -1.038 0.403  -1.038 0.298  -1.041 0.194  -1.048 0.090  -1.054 -0.014  -1.057 -0.118  -1.031 -0.219  -1.006 -0.320  -0.995 -0.423  -0.995 -0.528  -0.978 -0.531  -0.906 -0.459  -0.827 -0.391  -0.765 -0.307  -0.703 -0.223  -0.641 -0.140  -0.570 -0.063  -0.499 0.014  -0.429 0.090  -0.352 0.161  -0.271 0.226  -0.190 0.292  -0.108 0.357  -0.018 0.406  0.080 0.442  0.178 0.478  0.276 0.515  0.375 0.529  0.477 0.505  0.578 0.481  0.680 0.457  0.762 0.397  0.838 0.326  0.915 0.255  0.991 0.184  1.052 0.100  1.110 0.013  1.168 -0.073  1.198 -0.173  1.223 -0.274  1.249 -0.375  1.267 -0.477  1.278 -0.581  1.278 -0.685  1.263 -0.788  1.237 -0.889  1.262 -0.946
2#apb#apb14#app1463/t  -0.491 1.131  -0.341 1.206  -0.203 1.117  -0.137 0.962  -0.072 0.808  -0.042 0.644  -0.022 0.477  -0.002 0.311  0.005 0.143  0.010 -0.024  0.016 -0.192  0.035 -0.359  0.057 -0.525  0.078 -0.691  0.096 -0.858  0.116 -1.024  0.144 -1.190  0.150 -1.357  0.150 -1.525  0.060 -1.426  -0.040 -1.292  -0.141 -1.158  -0.242 -1.024  -0.343 -0.890  -0.444 -0.756  -0.545 -0.622  -0.646 -0.488  -0.747 -0.354  -0.847 -0.220  -0.948 -0.086  -1.049 0.048  -1.074 0.181  -0.967 0.309  -0.819 0.388  -0.669 0.459  -0.506 0.498  -0.342 0.537  -0.176 0.547  -0.008 0.547  0.160 0.547  0.327 0.552  0.495 0.559  0.662 0.564  0.830 0.556  0.997 0.548  1.164 0.534  1.331 0.517  1.496 0.488  1.659 0.450  1.826 0.434
2#apb#apb14#app1463/B  -0.910 0.772  -0.877 0.584  -0.857 0.370  -0.827 0.157  -0.804 -0.056  -0.804 -0.271  -0.804 -0.486  -0.802 -0.698  -0.873 -0.688  -0.952 -0.488  -1.031 -0.289  -1.110 -0.089  -1.188 0.111  -1.242 0.310  -1.135 0.494  -0.982 0.644  -0.797 0.753  -0.602 0.838  -0.395 0.895  -0.183 0.922  0.032 0.929  0.238 0.878  0.438 0.804  0.590 0.652  0.603 0.443  0.510 0.258  0.363 0.107  0.178 -0.003  -0.026 -0.069  -0.229 -0.138  -0.154 -0.081  0.056 -0.034  0.265 0.015  0.477 0.047  0.691 0.067  0.906 0.060  1.119 0.042  1.327 -0.010  1.509 -0.117  1.623 -0.290  1.566 -0.486  1.411 -0.629  1.202 -0.679  0.993 -0.726  0.781 -0.763  0.569 -0.798  0.356 -0.821  0.141 -0.830  -0.073 -0.820  -0.286 -0.795
2#apb#apb14#app1463/r  -0.933 0.695  -0.876 0.595  -0.819 0.495  -0.761 0.394  -0.724 0.287  -0.706 0.172  -0.688 0.058  -0.670 -0.056  -0.648 -0.169  -0.618 -0.281  -0.589 -0.393  -0.560 -0.505  -0.533 -0.617  -0.524 -0.732  -0.515 -0.848  -0.514 -0.963  -0.528 -1.077  -0.570 -1.176  -0.634 -1.090  -0.634 -0.974  -0.628 -0.860  -0.589 -0.751  -0.550 -0.642  -0.511 -0.533  -0.460 -0.429  -0.408 -0.326  -0.357 -0.222  -0.305 -0.119  -0.249 -0.019  -0.163 0.058  -0.076 0.135  0.010 0.212  0.097 0.288  0.183 0.365  0.277 0.433  0.371 0.499  0.466 0.566  0.560 0.633  0.664 0.670  0.780 0.670  0.895 0.670  1.011 0.670  1.125 0.661  1.237 0.633  1.350 0.605  1.462 0.577  1.564 0.524  1.663 0.465  1.762 0.405  1.861 0.346
2#apb#apb14#app1463/o  -0.780 0.582  -0.814 0.471  -0.847 0.359  -0.883 0.249  -0.920 0.139  -0.957 0.029  -0.981 -0.084  -0.998 -0.199  -1.014 -0.314  -0.997 -0.427  -0.967 -0.539  -0.921 -0.644  -0.850 -0.735  -0.778 -0.825  -0.664 -0.851  -0.551 -0.877  -0.437 -0.898  -0.321 -0.906  -0.206 -0.914  -0.090 -0.914  0.022 -0.886  0.135 -0.858  0.247 -0.830  0.343 -0.767  0.435 -0.696  0.527 -0.625  0.613 -0.548  0.692 -0.463  0.771 -0.377  0.850 -0.292  0.891 -0.185  0.924 -0.074  0.956 0.037  0.978 0.149  0.949 0.261  0.919 0.373  0.890 0.486  0.853 0.594  0.774 0.679  0.695 0.764  0.616 0.849  0.531 0.927  0.426 0.976  0.321 1.026  0.216 1.076  0.111 1.125  -0.004 1.136  -0.119 1.142  -0.235 1.148  -0.351 1.154
2#apb#apb14#app1463/k  -0.809 1.311  -0.708 1.138  -0.679 0.942  -0.662 0.742  -0.660 0.541  -0.660 0.341  -0.665 0.140  -0.672 -0.060  -0.680 -0.260  -0.691 -0.461  -0.704 -0.661  -0.723 -0.860  -0.752 -0.958  -0.653 -0.783  -0.555 -0.608  -0.457 -0.434  -0.358 -0.259  -0.260 -0.084  -0.162 0.091  -0.063 0.266  0.035 0.440  0.133 0.615  0.232 0.790  0.330 0.965  0.428 1.140  0.527 1.314  0.526 1.254  0.462 1.064  0.366 0.888  0.271 0.711  0.156 0.547  0.040 0.383  -0.085 0.227  -0.219 0.078  -0.350 -0.074  -0.472 -0.233  -0.554 -0.404  -0.427 -0.531  -0.239 -0.599  -0.045 -0.645  0.155 -0.666  0.353 -0.697  0.551 -0.730  0.749 -0.762  0.947 -0.793  1.146 -0.820  1.345 -0.845  1.542 -0.880  1.739 -0.918  1.933 -0.902
2#apb#apb14#app1463/e  -1.181 0.458  -1.077 0.458  -1.035 0.270  -1.011 0.077  -1.011 -0.117  -1.006 -0.310  -0.936 -0.491  -0.847 -0.663  -0.741 -0.822  -0.581 -0.933  -0.410 -1.023  -0.232 -1.101  -0.046 -1.154  0.142 -1.202  0.335 -1.215  0.529 -1.228  0.722 -1.233  0.758 -1.141  0.641 -0.986  0.523 -0.832  0.406 -0.677  0.289 -0.523  0.171 -0.368  0.054 -0.213  -0.063 -0.059  -0.180 0.096  -0.298 0.251  -0.415 0.405  -0.455 0.571  -0.387 0.753  -0.271 0.905  -0.139 1.047  0.034 1.131  0.215 1.193  0.410 1.193  0.602 1.183  0.785 1.119  0.963 1.047  1.101 0.910  1.116 0.733  1.036 0.568  0.894 0.435  0.733 0.335  0.549 0.271  0.365 0.210  0.175 0.175  -0.016 0.139  -0.208 0.119  -0.403 0.119  -0.597 0.119
2#apb#apb14#app1463/r  -0.783 0.570  -0.720 0.461  -0.657 0.352  -0.594 0.243  -0.531 0.134  -0.468 0.024  -0.417 -0.091  -0.367 -0.206  -0.317 -0.322  -0.267 -0.437  -0.226 -0.556  -0.188 -0.676  -0.150 -0.796  -0.111 -0.916  -0.108 -1.042  -0.110 -1.167  -0.162 -1.282  -0.231 -1.360  -0.333 -1.289  -0.411 -1.189  -0.477 -1.084  -0.517 -0.965  -0.550 -0.844  -0.543 -0.719  -0.536 -0.593  -0.530 -0.467  -0.492 -0.347  -0.454 -0.227  -0.416 -0.107  -0.374 0.012  -0.306 0.117  -0.237 0.222  -0.168 0.328  -0.099 0.433  -0.019 0.529  0.073 0.616  0.164 0.702  0.256 0.789  0.358 0.858  0.478 0.896  0.598 0.934  0.718 0.971  0.844 0.978  0.969 0.986  1.095 0.988  1.218 0.965  1.342 0.942  1.465 0.913  1.586 0.879  1.707 0.844
2#apb#apb14#app1463/A  -1.009 1.041  -0.874 1.040  -0.764 0.864  -0.715 0.658  -0.668 0.452  -0.635 0.243  -0.603 0.034  -0.582 -0.176  -0.574 -0.387  -0.565 -0.599  -0.545 -0.809  -0.524 -1.019  -0.504 -1.230  -0.506 -1.423  -0.582 -1.226  -0.616 -1.020  -0.625 -0.809  -0.605 -0.598  -0.584 -0.388  -0.547 -0.180  -0.510 0.028  -0.467 0.235  -0.400 0.436  -0.333 0.636  -0.263 0.836  -0.188 1.033  -0.106 1.227  0.035 1.385  0.223 1.347  0.358 1.184  0.456 1.000  0.533 0.803  0.605 0.605  0.649 0.398  0.694 0.191  0.746 -0.013  0.819 -0.212  0.891 -0.411  0.975 -0.604  1.055 -0.800  1.121 -1.000  1.153 -0.907  1.091 -0.705  1.003 -0.516  0.874 -0.348  0.712 -0.218  0.529 -0.113  0.328 -0.046  0.126 0.014  -0.079 0.069
2#apb#apb14#app1463/r  -0.752 0.764  -0.722 0.652  -0.692 0.540  -0.662 0.428  -0.649 0.312  -0.638 0.197  -0.626 0.081  -0.614 -0.035  -0.587 -0.148  -0.561 -0.261  -0.534 -0.374  -0.507 -0.487  -0.501 -0.602  -0.501 -0.719  -0.501 -0.835  -0.501 -0.951  -0.501 -1.067  -0.501 -1.184  -0.521 -1.297  -0.544 -1.228  -0.523 -1.113  -0.503 -0.999  -0.455 -0.893  -0.406 -0.788  -0.356 -0.683  -0.305 -0.579  -0.248 -0.477  -0.191 -0.376  -0.134 -0.275  -0.076 -0.174  -0.019 -0.073  0.046 0.024  0.110 0.120  0.175 0.217  0.239 0.314  0.304 0.410  0.376 0.500  0.461 0.580  0.545 0.660  0.630 0.739  0.715 0.819  0.816 0.873  0.922 0.923  1.027 0.972  1.138 0.988  1.254 0.979  1.370 0.971  1.470 0.916  1.567 0.852  1.664 0.787
2#apb#apb14#app1463/t  -0.379 1.052  -0.319 0.914  -0.258 0.775  -0.228 0.628  -0.207 0.478  -0.186 0.329  -0.168 0.178  -0.150 0.028  -0.132 -0.122  -0.119 -0.272  -0.106 -0.423  -0.093 -0.574  -0.092 -0.725  -0.092 -0.876  -0.104 -1.026  -0.125 -1.176  -0.212 -1.293  -0.300 -1.236  -0.379 -1.107  -0.458 -0.978  -0.537 -0.849  -0.616 -0.720  -0.695 -0.591  -0.774 -0.463  -0.853 -0.334  -0.932 -0.205  -1.011 -0.076  -1.090 0.053  -1.055 0.151  -0.922 0.221  -0.787 0.289  -0.642 0.332  -0.497 0.374  -0.351 0.416  -0.201 0.420  -0.050 0.420  0.102 0.420  0.253 0.426  0.403 0.442  0.553 0.458  0.704 0.474  0.854 0.464  1.004 0.448  1.155 0.432  1.305 0.420  1.456 0.420  1.608 0.420  1.758 0.415  1.907 0.388  2.056 0.362
2#apb#apb14#app1463/D  -1.770 0.210  -1.658 0.351  -1.523 0.469  -1.379 0.578  -1.222 0.665  -1.057 0.736  -0.887 0.793  -0.709 0.822  -0.531 0.852  -0.352 0.836  -0.173 0.816  0.006 0.790  0.181 0.747  0.356 0.703  0.524 0.642  0.681 0.554  0.838 0.465  0.987 0.364  1.133 0.258  1.234 0.118  1.297 -0.051  1.318 -0.229  1.281 -0.397  1.185 -0.550  1.061 -0.676  0.917 -0.785  0.758 -0.868  0.591 -0.935  0.419 -0.985  0.241 -1.017  0.062 -1.015  -0.118 -0.999  -0.296 -0.972  -0.301 -0.798  -0.299 -0.617  -0.297 -0.437  -0.295 -0.257  -0.293 -0.076  -0.291 0.104  -0.289 0.284  -0.287 0.465  -0.256 0.574  -0.163 0.422  -0.097 0.256  -0.069 0.078  -0.053 -0.101  -0.053 -0.281  -0.075 -0.459  -0.116 -0.635  -0.160 -0.810
2#apb#apb14#app1463/i  -0.591 0.361  -0.506 0.281  -0.420 0.202  -0.350 0.111  -0.300 0.005  -0.250 -0.100  -0.216 -0.211  -0.190 -0.325  -0.164 -0.439  -0.154 -0.554  -0.154 -0.671  -0.154 -0.788  -0.187 -0.899  -0.222 -1.011  -0.247 -1.125  -0.280 -1.233  -0.362 -1.316  -0.437 -1.406  -0.445 -1.390  -0.406 -1.280  -0.367 -1.170  -0.328 -1.061  -0.288 -0.951  -0.249 -0.841  -0.210 -0.731  -0.171 -0.621  -0.132 -0.511  -0.093 -0.401  -0.053 -0.291  -0.014 -0.181  0.025 -0.071  0.064 0.039  0.103 0.149  0.142 0.259  0.181 0.369  0.221 0.479  0.260 0.589  0.299 0.699  0.338 0.809  0.377 0.919  0.416 1.029  0.456 1.139  0.495 1.249  0.534 1.359  0.573 1.469  0.612 1.579  0.651 1.689  0.702 1.707  0.741 1.601  0.751 1.485
