3#apb#apb27#app2741/a  0.097 0.847  0.272 0.948  0.402 1.092  0.535 1.209  0.414 1.234  0.260 1.103  0.100 0.981  -0.071 0.872  -0.220 0.737  -0.363 0.594  -0.506 0.451  -0.649 0.308  -0.790 0.164  -0.911 0.002  -1.032 -0.159  -1.131 -0.334  -1.209 -0.520  -1.254 -0.717  -1.236 -0.911  -1.152 -1.093  -0.994 -1.214  -0.796 -1.203  -0.608 -1.128  -0.457 -0.998  -0.314 -0.855  -0.175 -0.709  -0.037 -0.561  0.101 -0.413  0.231 -0.258  0.361 -0.104  0.491 0.051  0.604 0.218  0.714 0.388  0.825 0.557  0.931 0.729  1.037 0.901  1.020 0.930  0.894 0.772  0.777 0.607  0.663 0.441  0.557 0.269  0.466 0.089  0.376 -0.092  0.290 -0.275  0.209 -0.460  0.136 -0.648  0.097 -0.845  0.165 -1.014  0.344 -1.024  0.536 -0.960
3#apb#apb27#app2741/l  0.083 1.629  0.078 1.648  0.064 1.578  0.052 1.508  0.040 1.438  0.025 1.368  0.010 1.299  -0.006 1.229  -0.007 1.158  -0.007 1.087  -0.012 1.016  -0.023 0.946  -0.035 0.876  -0.047 0.806  -0.053 0.735  -0.053 0.664  -0.053 0.593  -0.053 0.521  -0.053 0.450  -0.053 0.379  -0.053 0.308  -0.053 0.237  -0.053 0.165  -0.053 0.094  -0.053 0.023  -0.053 -0.048  -0.053 -0.119  -0.053 -0.191  -0.053 -0.262  -0.049 -0.333  -0.045 -0.404  -0.041 -0.475  -0.037 -0.546  -0.033 -0.617  -0.029 -0.688  -0.024 -0.759  -0.020 -0.830  -0.015 -0.901  -0.010 -0.972  -0.007 -1.044  -0.007 -1.115  -0.007 -1.186  -0.005 -1.257  0.004 -1.328  0.013 -1.398  0.051 -1.455  0.109 -1.486  0.178 -1.475  0.243 -1.447  0.309 -1.419
3#apb#apb27#app2741/m  -0.703 0.964  -0.783 0.863  -0.881 0.704  -0.946 0.526  -0.997 0.343  -1.040 0.158  -1.060 -0.030  -1.068 -0.219  -1.054 -0.407  -1.025 -0.594  -0.994 -0.752  -0.910 -0.635  -0.858 -0.461  -0.870 -0.272  -0.875 -0.083  -0.832 0.100  -0.755 0.273  -0.647 0.429  -0.516 0.564  -0.375 0.692  -0.237 0.820  -0.089 0.837  -0.056 0.651  -0.044 0.462  -0.060 0.274  -0.060 0.084  -0.060 -0.106  -0.074 -0.294  -0.104 -0.482  -0.146 -0.661  -0.074 -0.539  0.071 -0.418  0.222 -0.303  0.369 -0.183  0.509 -0.055  0.643 0.079  0.777 0.213  0.908 0.351  1.036 0.490  1.185 0.599  1.260 0.441  1.270 0.253  1.270 0.063  1.261 -0.126  1.248 -0.315  1.230 -0.502  1.192 -0.682  1.206 -0.871  1.206 -1.061  1.334 -1.181
3#apb#apb27#app2741/n  -0.216 1.222  -0.202 1.186  -0.261 1.039  -0.318 0.892  -0.372 0.743  -0.424 0.594  -0.471 0.443  -0.517 0.292  -0.579 0.147  -0.645 0.003  -0.699 -0.145  -0.749 -0.295  -0.809 -0.441  -0.879 -0.582  -0.919 -0.735  -0.946 -0.890  -0.946 -1.048  -0.946 -1.098  -0.896 -0.952  -0.818 -0.814  -0.732 -0.682  -0.637 -0.556  -0.553 -0.422  -0.473 -0.286  -0.400 -0.146  -0.350 0.004  -0.300 0.154  -0.217 0.288  -0.134 0.423  -0.059 0.561  0.026 0.684  0.165 0.760  0.311 0.801  0.469 0.801  0.627 0.801  0.780 0.765  0.919 0.695  1.036 0.589  1.076 0.448  1.098 0.292  1.128 0.139  1.094 -0.016  1.076 -0.172  1.076 -0.330  1.027 -0.479  0.974 -0.628  0.928 -0.779  0.897 -0.934  0.879 -1.090  0.879 -1.248
3#apb#apb27#app2741/o  -0.214 0.761  -0.113 0.861  0.004 0.931  0.137 0.976  0.258 1.048  0.314 1.115  0.201 1.074  0.074 1.010  -0.038 0.923  -0.145 0.830  -0.251 0.735  -0.357 0.640  -0.463 0.545  -0.569 0.451  -0.669 0.350  -0.758 0.239  -0.847 0.128  -0.892 -0.006  -0.937 -0.141  -0.953 -0.281  -0.953 -0.423  -0.936 -0.564  -0.909 -0.703  -0.839 -0.823  -0.751 -0.936  -0.642 -1.023  -0.518 -1.092  -0.385 -1.139  -0.248 -1.177  -0.108 -1.186  0.034 -1.173  0.165 -1.129  0.287 -1.056  0.410 -0.984  0.533 -0.913  0.624 -0.806  0.710 -0.692  0.741 -0.554  0.773 -0.415  0.807 -0.277  0.842 -0.139  0.842 0.003  0.842 0.145  0.812 0.284  0.780 0.423  0.744 0.560  0.703 0.696  0.660 0.832  0.615 0.967  0.578 1.104
3#apb#apb27#app2741/p  -0.151 0.800  -0.221 0.867  -0.286 0.703  -0.309 0.530  -0.323 0.355  -0.342 0.180  -0.349 0.005  -0.332 -0.170  -0.318 -0.345  -0.318 -0.521  -0.318 -0.697  -0.318 -0.872  -0.318 -1.048  -0.318 -1.224  -0.354 -1.396  -0.373 -1.569  -0.384 -1.736  -0.392 -1.611  -0.410 -1.436  -0.417 -1.261  -0.423 -1.085  -0.430 -0.909  -0.437 -0.734  -0.443 -0.558  -0.450 -0.382  -0.456 -0.206  -0.463 -0.031  -0.471 0.145  -0.481 0.321  -0.440 0.488  -0.366 0.646  -0.253 0.781  -0.113 0.879  0.050 0.945  0.219 0.994  0.391 1.026  0.566 1.037  0.742 1.032  0.916 1.016  1.076 0.943  1.227 0.854  1.311 0.708  1.214 0.573  1.065 0.480  0.910 0.398  0.751 0.323  0.583 0.272  0.412 0.232  0.253 0.159  0.090 0.096
3#apb#apb27#app2741/q  0.328 1.177  0.349 1.221  0.205 1.264  0.064 1.264  -0.073 1.203  -0.215 1.147  -0.362 1.101  -0.491 1.018  -0.610 0.925  -0.733 0.840  -0.830 0.725  -0.892 0.607  -0.872 0.484  -0.936 0.378  -0.937 0.236  -0.936 0.088  -0.880 -0.037  -0.806 -0.171  -0.673 -0.249  -0.530 -0.307  -0.392 -0.375  -0.248 -0.400  -0.109 -0.340  0.024 -0.260  0.158 -0.184  0.236 -0.053  0.332 0.067  0.395 0.207  0.463 0.345  0.527 0.485  0.522 0.526  0.502 0.541  0.473 0.548  0.455 0.394  0.441 0.240  0.429 0.086  0.418 -0.068  0.407 -0.222  0.396 -0.377  0.386 -0.531  0.376 -0.685  0.372 -0.840  0.374 -0.994  0.405 -1.146  0.430 -1.298  0.437 -1.452  0.437 -1.607  0.419 -1.760  0.395 -1.911  0.372 -1.851
3#apb#apb27#app2741/r  -0.470 1.027  -0.412 1.110  -0.343 0.999  -0.304 0.865  -0.282 0.728  -0.278 0.589  -0.278 0.450  -0.288 0.311  -0.306 0.173  -0.325 0.035  -0.343 -0.103  -0.366 -0.240  -0.389 -0.377  -0.412 -0.515  -0.435 -0.652  -0.458 -0.789  -0.486 -0.925  -0.519 -1.060  -0.534 -1.198  -0.534 -1.337  -0.534 -1.469  -0.534 -1.330  -0.534 -1.190  -0.510 -1.054  -0.476 -0.919  -0.470 -0.781  -0.470 -0.641  -0.453 -0.504  -0.419 -0.369  -0.385 -0.234  -0.344 -0.101  -0.300 0.031  -0.265 0.165  -0.246 0.302  -0.166 0.386  -0.028 0.395  0.104 0.439  0.241 0.460  0.379 0.474  0.517 0.494  0.653 0.521  0.790 0.547  0.929 0.560  1.067 0.572  1.204 0.596  1.339 0.630  1.472 0.670  1.603 0.718  1.730 0.771  1.869 0.771
3#apb#apb27#app2741/s  0.978 0.418  0.992 0.542  0.913 0.658  0.804 0.738  0.678 0.802  0.545 0.844  0.406 0.869  0.267 0.897  0.130 0.929  -0.008 0.962  -0.145 0.994  -0.283 1.026  -0.420 1.057  -0.560 1.076  -0.701 1.076  -0.818 1.004  -0.886 0.891  -0.820 0.767  -0.752 0.644  -0.648 0.548  -0.542 0.454  -0.430 0.369  -0.314 0.288  -0.198 0.208  -0.076 0.137  0.050 0.074  0.176 0.011  0.289 -0.075  0.400 -0.161  0.497 -0.263  0.589 -0.370  0.680 -0.479  0.751 -0.598  0.787 -0.734  0.787 -0.875  0.722 -0.989  0.608 -1.069  0.472 -1.103  0.332 -1.117  0.191 -1.117  0.051 -1.105  -0.087 -1.073  -0.225 -1.042  -0.359 -1.000  -0.493 -0.955  -0.630 -0.925  -0.771 -0.925  -0.893 -0.883  -0.983 -0.775  -1.050 -0.651
3#apb#apb27#app2741/t  0.479 1.698  0.538 1.857  0.451 1.699  0.365 1.540  0.304 1.370  0.240 1.202  0.173 1.034  0.121 0.861  0.075 0.687  0.052 0.508  0.016 0.332  -0.041 0.160  -0.098 -0.011  -0.160 -0.180  -0.246 -0.339  -0.289 -0.512  -0.321 -0.690  -0.333 -0.866  -0.273 -1.036  -0.153 -1.161  0.007 -1.243  0.180 -1.295  0.360 -1.300  0.537 -1.271  0.711 -1.223  0.872 -1.149  0.999 -1.021  0.918 -0.873  0.762 -0.782  0.606 -0.691  0.450 -0.600  0.294 -0.509  0.138 -0.418  -0.018 -0.327  -0.174 -0.237  -0.329 -0.146  -0.485 -0.055  -0.641 0.036  -0.797 0.127  -0.953 0.218  -1.109 0.309  -1.038 0.472  -0.884 0.555  -0.706 0.583  -0.527 0.578  -0.359 0.517  -0.191 0.452  -0.019 0.399  0.157 0.370  0.338 0.370
3#apb#apb27#app2741/u  -0.440 1.179  -0.413 1.287  -0.386 1.394  -0.329 1.487  -0.301 1.423  -0.336 1.318  -0.359 1.210  -0.370 1.099  -0.381 0.989  -0.409 0.882  -0.438 0.774  -0.467 0.667  -0.485 0.558  -0.502 0.448  -0.518 0.339  -0.547 0.232  -0.585 0.128  -0.622 0.023  -0.641 -0.084  -0.641 -0.195  -0.641 -0.306  -0.641 -0.417  -0.641 -0.528  -0.583 -0.619  -0.517 -0.708  -0.468 -0.807  -0.402 -0.893  -0.315 -0.962  -0.222 -1.022  -0.123 -1.060  -0.013 -1.046  0.097 -1.032  0.207 -1.016  0.312 -0.985  0.406 -0.927  0.500 -0.868  0.574 -0.786  0.646 -0.702  0.707 -0.610  0.756 -0.511  0.806 -0.411  0.847 -0.308  0.882 -0.203  0.916 -0.097  0.945 0.010  0.974 0.117  1.002 0.224  1.026 0.332  1.051 0.441  1.084 0.546
3#apb#apb27#app2741/v  -0.646 0.511  -0.646 0.621  -0.646 0.730  -0.646 0.832  -0.667 0.726  -0.705 0.623  -0.749 0.523  -0.786 0.421  -0.786 0.311  -0.786 0.202  -0.786 0.092  -0.786 -0.018  -0.786 -0.127  -0.786 -0.237  -0.786 -0.347  -0.769 -0.455  -0.752 -0.563  -0.735 -0.672  -0.713 -0.779  -0.690 -0.886  -0.619 -0.970  -0.536 -1.035  -0.429 -1.034  -0.325 -1.007  -0.237 -0.941  -0.149 -0.875  -0.062 -0.809  0.015 -0.731  0.093 -0.654  0.170 -0.576  0.245 -0.496  0.319 -0.415  0.394 -0.335  0.464 -0.251  0.524 -0.159  0.585 -0.068  0.646 0.023  0.707 0.114  0.766 0.207  0.824 0.300  0.882 0.393  0.940 0.486  0.997 0.580  1.053 0.674  1.110 0.768  1.166 0.862  1.211 0.962  1.255 1.062  1.290 1.166  1.351 1.254
3#apb#apb27#app2741/w  -0.807 0.848  -0.712 0.987  -0.601 1.113  -0.505 1.251  -0.436 1.349  -0.520 1.203  -0.596 1.052  -0.653 0.894  -0.706 0.734  -0.756 0.573  -0.801 0.410  -0.838 0.246  -0.851 0.079  -0.851 -0.090  -0.851 -0.259  -0.833 -0.425  -0.807 -0.592  -0.807 -0.760  -0.783 -0.901  -0.657 -0.789  -0.524 -0.685  -0.435 -0.542  -0.347 -0.399  -0.233 -0.274  -0.121 -0.148  -0.019 -0.013  0.079 0.123  0.164 0.269  0.199 0.275  0.158 0.112  0.124 -0.054  0.112 -0.221  0.112 -0.390  0.113 -0.558  0.150 -0.723  0.211 -0.879  0.346 -0.969  0.507 -0.931  0.652 -0.846  0.776 -0.734  0.880 -0.602  0.968 -0.459  1.056 -0.314  1.141 -0.169  1.217 -0.019  1.285 0.136  1.353 0.290  1.424 0.443  1.487 0.599  1.535 0.760
3#apb#apb27#app2741/x  0.809 0.624  0.971 0.740  1.099 0.891  1.227 1.043  1.331 0.955  1.219 0.809  1.083 0.664  0.949 0.517  0.808 0.376  0.662 0.240  0.500 0.124  0.338 0.009  0.184 -0.118  0.032 -0.247  -0.126 -0.369  -0.288 -0.485  -0.449 -0.603  -0.602 -0.730  -0.755 -0.858  -0.921 -0.969  -1.083 -1.084  -1.082 -1.054  -0.923 -0.939  -0.873 -0.746  -0.823 -0.553  -0.773 -0.360  -0.723 -0.167  -0.673 0.026  -0.623 0.219  -0.573 0.412  -0.523 0.605  -0.473 0.798  -0.423 0.991  -0.372 1.184  -0.346 1.244  -0.311 1.049  -0.272 0.854  -0.241 0.657  -0.213 0.460  -0.185 0.263  -0.129 0.072  -0.070 -0.119  0.004 -0.304  0.087 -0.485  0.205 -0.642  0.346 -0.783  0.487 -0.924  0.647 -1.037  0.831 -1.111  1.029 -1.136
3#apb#apb27#app2741/y  -0.601 1.396  -0.572 1.269  -0.575 1.125  -0.568 0.982  -0.533 0.841  -0.506 0.698  -0.472 0.557  -0.432 0.417  -0.368 0.288  -0.241 0.298  -0.116 0.370  0.003 0.453  0.122 0.538  0.238 0.625  0.347 0.721  0.441 0.831  0.528 0.948  0.591 1.075  0.619 1.216  0.542 1.108  0.495 0.971  0.477 0.828  0.477 0.683  0.477 0.537  0.477 0.392  0.477 0.247  0.477 0.101  0.473 -0.044  0.464 -0.189  0.456 -0.334  0.448 -0.479  0.437 -0.624  0.417 -0.768  0.402 -0.913  0.392 -1.058  0.368 -1.201  0.331 -1.341  0.253 -1.447  0.133 -1.371  0.022 -1.276  -0.096 -1.193  -0.212 -1.105  -0.323 -1.012  -0.440 -0.926  -0.561 -0.845  -0.686 -0.772  -0.818 -0.710  -0.952 -0.655  -1.092 -0.619  -1.219 -0.636
3#apb#apb27#app2741/z  -0.633 0.657  -0.683 0.674  -0.806 0.680  -0.782 0.647  -0.782 0.666  -0.700 0.748  -0.540 0.781  -0.374 0.794  -0.210 0.829  -0.045 0.858  0.122 0.869  0.289 0.881  0.455 0.904  0.621 0.928  0.788 0.910  0.948 0.916  1.001 0.777  0.950 0.630  0.811 0.538  0.680 0.434  0.519 0.386  0.367 0.319  0.226 0.229  0.080 0.147  -0.070 0.072  -0.208 -0.021  -0.337 -0.128  -0.469 -0.231  -0.613 -0.317  -0.753 -0.409  -0.888 -0.508  -1.023 -0.608  -1.156 -0.709  -1.151 -0.780  -0.983 -0.780  -0.815 -0.780  -0.648 -0.780  -0.480 -0.785  -0.313 -0.795  -0.146 -0.804  0.022 -0.804  0.190 -0.804  0.357 -0.804  0.525 -0.804  0.693 -0.804  0.860 -0.800  1.027 -0.790  1.195 -0.780  1.358 -0.743  1.522 -0.705
