3#app#app06#app0637/o  -0.361 0.442  -0.361 0.582  -0.361 0.723  -0.295 0.836  -0.252 0.959  -0.173 1.067  -0.143 1.195  -0.052 1.298  0.048 1.397  0.177 1.425  0.208 1.315  0.294 1.260  0.333 1.129  0.395 1.003  0.410 0.866  0.472 0.740  0.512 0.609  0.512 0.468  0.515 0.328  0.577 0.202  0.621 0.072  0.621 -0.068  0.621 -0.209  0.621 -0.350  0.621 -0.490  0.621 -0.631  0.613 -0.768  0.514 -0.867  0.491 -0.999  0.403 -1.103  0.370 -1.230  0.261 -1.305  0.120 -1.305  -0.021 -1.305  -0.161 -1.305  -0.252 -1.256  -0.309 -1.139  -0.409 -1.040  -0.508 -0.940  -0.580 -0.829  -0.580 -0.689  -0.625 -0.559  -0.688 -0.433  -0.689 -0.293  -0.689 -0.152  -0.689 -0.011  -0.689 0.129  -0.689 0.270  -0.689 0.410  -0.689 0.551
3#app#app06#app0637/P  -0.294 0.432  -0.207 0.348  -0.207 0.178  -0.131 0.085  -0.069 -0.053  -0.034 -0.209  -0.020 -0.376  0.057 -0.526  0.139 -0.662  0.201 -0.818  0.226 -0.982  0.275 -1.140  0.312 -1.301  0.399 -1.435  0.399 -1.605  0.370 -1.705  0.311 -1.559  0.191 -1.439  0.071 -1.319  0.052 -1.157  -0.044 -1.026  -0.139 -0.884  -0.207 -0.735  -0.226 -0.570  -0.294 -0.416  -0.340 -0.257  -0.416 -0.105  -0.467 0.053  -0.467 0.223  -0.467 0.393  -0.467 0.563  -0.467 0.733  -0.412 0.890  -0.371 1.048  -0.294 1.186  -0.192 1.314  -0.121 1.454  -0.004 1.558  0.166 1.558  0.312 1.534  0.327 1.370  0.399 1.230  0.399 1.060  0.399 0.890  0.399 0.720  0.336 0.565  0.312 0.401  0.231 0.264  0.111 0.144  -0.034 0.085
3#app#app06#app0637/O  -0.540 0.569  -0.540 0.710  -0.522 0.843  -0.423 0.942  -0.286 0.953  -0.284 1.092  -0.261 1.209  -0.120 1.209  0.020 1.209  0.143 1.166  0.243 1.067  0.342 0.967  0.442 0.868  0.484 0.744  0.550 0.631  0.612 0.516  0.659 0.394  0.741 0.287  0.741 0.147  0.776 0.021  0.869 -0.082  0.869 -0.223  0.869 -0.363  0.869 -0.504  0.841 -0.638  0.778 -0.764  0.741 -0.896  0.692 -1.017  0.584 -1.096  0.443 -1.096  0.303 -1.096  0.162 -1.096  0.021 -1.096  -0.120 -1.096  -0.260 -1.096  -0.367 -1.013  -0.489 -0.968  -0.540 -0.879  -0.612 -0.768  -0.696 -0.657  -0.759 -0.531  -0.796 -0.399  -0.796 -0.258  -0.796 -0.117  -0.796 0.023  -0.796 0.164  -0.796 0.305  -0.794 0.445  -0.731 0.571  -0.668 0.697
3#app#app06#app0637/W  -1.318 0.645  -1.318 0.454  -1.312 0.266  -1.177 0.131  -1.052 -0.011  -0.967 -0.182  -0.844 -0.326  -0.796 -0.497  -0.698 -0.647  -0.592 -0.773  -0.450 -0.875  -0.450 -1.066  -0.326 -1.133  -0.249 -1.292  -0.202 -1.216  -0.202 -1.025  -0.202 -0.835  -0.202 -0.644  -0.202 -0.453  -0.202 -0.262  -0.202 -0.071  -0.202 0.120  -0.202 0.311  -0.202 0.502  -0.080 0.642  0.047 0.582  0.138 0.430  0.171 0.252  0.171 0.061  0.295 -0.006  0.295 -0.197  0.295 -0.387  0.370 -0.547  0.419 -0.718  0.465 -0.798  0.543 -0.639  0.543 -0.448  0.543 -0.257  0.543 -0.066  0.543 0.124  0.543 0.315  0.592 0.495  0.667 0.668  0.730 0.832  0.816 0.995  0.863 1.180  0.909 1.365  0.945 1.543  1.039 1.695  1.163 1.762
3#app#app06#app0637/*  0.279 1.070  0.279 0.772  0.221 0.498  0.108 0.246  0.108 -0.052  0.108 -0.350  0.108 -0.648  0.108 -0.947  0.046 -1.219  -0.064 -1.472  -0.064 -1.770  -0.243 -1.791  -0.285 -1.496  -0.327 -1.200  -0.369 -0.905  -0.411 -0.610  -0.453 -0.315  -0.496 -0.019  -0.538 0.276  -0.580 0.571  -0.622 0.866  -0.664 1.161  -0.706 1.457  -0.749 1.752  -0.578 1.532  -0.401 1.407  -0.190 1.196  0.021 0.986  0.110 0.725  0.279 0.496  0.411 0.253  0.451 -0.029  0.590 -0.269  0.793 -0.484  0.891 -0.741  0.946 -0.975  0.690 -0.822  0.434 -0.668  0.178 -0.515  -0.077 -0.361  -0.333 -0.208  -0.589 -0.055  -0.638 0.042  -0.511 0.213  -0.219 0.229  0.014 0.384  0.312 0.384  0.611 0.384  0.875 0.466  1.136 0.556
3#app#app06#app0637/,  0.089 1.732  0.089 1.660  0.089 1.588  0.089 1.515  0.089 1.443  0.089 1.371  0.089 1.298  0.089 1.226  0.089 1.154  0.089 1.081  0.089 1.009  0.089 0.937  0.089 0.864  0.089 0.792  0.089 0.720  0.089 0.647  0.089 0.575  0.089 0.503  0.089 0.430  0.089 0.358  0.089 0.286  0.089 0.213  0.089 0.141  0.089 0.069  0.089 -0.004  0.089 -0.076  0.089 -0.148  0.089 -0.221  0.089 -0.293  0.089 -0.365  0.089 -0.438  0.089 -0.510  0.089 -0.582  0.062 -0.648  0.029 -0.713  -0.003 -0.778  -0.035 -0.842  -0.068 -0.907  -0.100 -0.972  -0.133 -1.037  -0.144 -1.106  -0.144 -1.179  -0.144 -1.251  -0.175 -1.292  -0.247 -1.292  -0.320 -1.292  -0.377 -1.308  -0.377 -1.380  -0.377 -1.452  -0.377 -1.525
3#app#app06#app0637/*  0.409 1.919  0.409 1.606  0.409 1.293  0.245 1.047  0.245 0.734  0.160 0.441  0.082 0.146  0.082 -0.167  0.082 -0.481  0.082 -0.794  0.143 -1.082  0.245 -1.353  0.245 -1.666  0.140 -1.389  0.032 -1.096  -0.076 -0.802  -0.185 -0.508  -0.293 -0.214  -0.401 0.080  -0.510 0.374  -0.618 0.668  -0.726 0.962  -0.834 1.256  -0.898 1.300  -0.817 1.021  -0.711 0.752  -0.489 0.530  -0.268 0.308  -0.037 0.100  0.243 -0.040  0.377 -0.271  0.640 -0.436  0.861 -0.657  1.131 -0.763  1.404 -0.858  1.396 -0.803  1.101 -0.699  0.806 -0.595  0.510 -0.490  0.215 -0.386  -0.081 -0.282  -0.376 -0.178  -0.671 -0.073  -0.967 0.031  -1.186 0.122  -0.872 0.122  -0.611 0.246  -0.313 0.286  -0.000 0.286  0.245 0.449
3#app#app06#app0637/K  -0.871 1.284  -0.743 1.203  -0.743 0.994  -0.692 0.797  -0.615 0.605  -0.562 0.409  -0.487 0.217  -0.487 0.008  -0.422 -0.191  -0.360 -0.389  -0.360 -0.599  -0.328 -0.795  -0.232 -0.964  -0.213 -1.165  -0.104 -1.329  -0.105 -1.523  -0.146 -1.318  -0.187 -1.113  -0.228 -0.908  -0.269 -0.703  -0.310 -0.497  -0.351 -0.292  -0.232 -0.212  -0.232 -0.003  -0.232 0.206  -0.122 0.370  -0.079 0.566  0.015 0.753  0.108 0.940  0.231 1.106  0.378 1.254  0.526 1.402  0.657 1.527  0.564 1.340  0.470 1.153  0.377 0.965  0.283 0.778  0.190 0.591  0.096 0.404  0.024 0.212  0.025 0.003  0.152 -0.153  0.231 -0.330  0.379 -0.478  0.527 -0.626  0.664 -0.778  0.732 -0.959  0.880 -1.107  1.028 -1.255  1.176 -1.403
3#app#app06#app0637/E  -0.172 0.803  -0.172 0.526  -0.172 0.250  -0.150 -0.022  -0.074 -0.281  -0.074 -0.558  0.023 -0.794  0.105 -1.037  0.219 -1.267  0.217 -1.344  0.090 -1.120  -0.112 -0.978  -0.270 -0.755  -0.400 -0.532  -0.523 -0.292  -0.661 -0.062  -0.728 0.187  -0.758 0.451  -0.843 0.693  -0.856 0.964  -0.758 1.200  -0.661 1.380  -0.394 1.389  -0.157 1.292  0.079 1.194  0.341 1.255  0.581 1.361  0.685 1.453  0.534 1.220  0.384 0.988  0.234 0.755  0.083 0.523  -0.067 0.291  -0.217 0.058  -0.367 -0.173  -0.143 -0.046  0.082 0.080  0.319 0.217  0.596 0.217  0.654 0.202  0.536 -0.049  0.418 -0.299  0.300 -0.550  0.182 -0.800  0.065 -1.051  -0.053 -1.301  0.113 -1.444  0.389 -1.444  0.650 -1.404  0.903 -1.346
3#app#app06#app0637/R  -0.290 1.187  -0.204 1.057  -0.204 0.840  -0.204 0.623  -0.204 0.406  -0.204 0.189  -0.126 -0.010  -0.107 -0.222  -0.030 -0.421  0.048 -0.619  0.057 -0.834  0.057 -1.051  0.144 -1.232  0.113 -1.418  -0.030 -1.293  -0.174 -1.187  -0.282 -1.001  -0.377 -0.822  -0.464 -0.641  -0.551 -0.460  -0.610 -0.257  -0.638 -0.046  -0.638 0.171  -0.638 0.387  -0.638 0.604  -0.607 0.814  -0.551 1.018  -0.456 1.195  -0.360 1.369  -0.174 1.477  0.019 1.534  0.148 1.443  0.318 1.347  0.357 1.147  0.404 0.950  0.404 0.733  0.404 0.516  0.318 0.335  0.231 0.154  0.084 -0.002  -0.026 -0.120  0.128 -0.273  0.281 -0.426  0.373 -0.605  0.526 -0.759  0.578 -0.954  0.736 -1.055  0.857 -1.167  1.012 -1.288  1.186 -1.331
3#app#app06#app0637/P  -0.365 0.587  -0.267 0.657  -0.193 0.498  -0.112 0.343  -0.032 0.172  -0.020 -0.013  0.057 -0.170  0.057 -0.359  0.111 -0.535  0.142 -0.717  0.142 -0.907  0.226 -1.061  0.226 -1.250  0.284 -1.415  0.311 -1.593  0.249 -1.633  0.153 -1.526  0.051 -1.436  -0.083 -1.302  -0.175 -1.188  -0.303 -1.060  -0.387 -0.891  -0.484 -0.731  -0.534 -0.562  -0.596 -0.388  -0.619 -0.204  -0.619 -0.015  -0.619 0.174  -0.619 0.363  -0.583 0.538  -0.481 0.694  -0.450 0.876  -0.365 1.030  -0.277 1.183  -0.143 1.316  -0.001 1.432  0.153 1.516  0.342 1.516  0.432 1.395  0.564 1.261  0.564 1.072  0.604 0.889  0.649 0.707  0.649 0.518  0.646 0.330  0.564 0.175  0.480 0.070  0.374 -0.026  0.240 -0.160  0.057 -0.174
3#app#app06#app0637/L  -0.229 1.715  -0.229 1.641  -0.229 1.567  -0.229 1.494  -0.229 1.420  -0.215 1.350  -0.182 1.284  -0.149 1.218  -0.116 1.152  -0.116 1.078  -0.116 1.004  -0.116 0.931  -0.116 0.857  -0.116 0.783  -0.116 0.710  -0.116 0.636  -0.097 0.570  -0.045 0.518  -0.003 0.462  -0.003 0.388  -0.003 0.314  -0.003 0.240  -0.003 0.167  -0.003 0.093  -0.003 0.019  -0.003 -0.054  -0.003 -0.128  -0.003 -0.202  -0.003 -0.275  -0.003 -0.349  -0.003 -0.423  -0.003 -0.496  -0.003 -0.570  -0.003 -0.644  0.044 -0.698  0.096 -0.750  0.109 -0.818  0.109 -0.892  0.109 -0.966  0.109 -1.039  0.109 -1.113  0.109 -1.187  0.156 -1.213  0.222 -1.222  0.222 -1.295  0.222 -1.369  0.226 -1.438  0.300 -1.438  0.334 -1.477  0.334 -1.551
3#app#app06#app0637/U  -0.663 1.000  -0.663 1.012  -0.663 0.825  -0.663 0.638  -0.762 0.492  -0.762 0.305  -0.762 0.118  -0.762 -0.069  -0.762 -0.256  -0.762 -0.443  -0.732 -0.618  -0.663 -0.776  -0.663 -0.963  -0.616 -1.131  -0.550 -1.283  -0.365 -1.281  -0.325 -1.104  -0.266 -0.931  -0.166 -0.785  -0.127 -0.607  -0.067 -0.434  -0.037 -0.260  0.072 -0.111  0.131 0.062  0.176 0.242  0.230 0.420  0.230 0.607  0.230 0.794  0.330 0.940  0.330 1.127  0.330 1.314  0.403 1.470  0.429 1.545  0.429 1.358  0.429 1.171  0.429 0.984  0.429 0.797  0.429 0.610  0.429 0.423  0.470 0.241  0.515 0.060  0.528 -0.126  0.528 -0.313  0.528 -0.500  0.528 -0.687  0.528 -0.874  0.627 -1.019  0.627 -1.206  0.727 -1.294  0.727 -1.481
3#app#app06#app0637/N  -1.049 1.696  -0.952 1.576  -0.952 1.358  -0.902 1.161  -0.787 0.979  -0.734 0.774  -0.622 0.589  -0.563 0.396  -0.466 0.219  -0.436 0.014  -0.369 -0.176  -0.334 -0.379  -0.272 -0.571  -0.272 -0.789  -0.272 -1.006  -0.272 -1.224  -0.272 -1.441  -0.220 -1.413  -0.175 -1.241  -0.175 -1.023  -0.260 -0.841  -0.272 -0.628  -0.272 -0.411  -0.272 -0.193  -0.272 0.024  -0.272 0.242  -0.272 0.460  -0.272 0.677  -0.272 0.748  -0.175 0.571  -0.077 0.394  0.020 0.216  0.084 0.014  0.214 -0.156  0.303 -0.336  0.408 -0.510  0.506 -0.688  0.603 -0.808  0.701 -0.927  0.814 -0.813  0.894 -0.628  0.894 -0.410  0.894 -0.193  0.894 0.025  0.894 0.242  0.894 0.460  0.894 0.677  0.894 0.895  0.981 1.092  0.991 1.307
3#app#app06#app0637/K  -0.828 1.461  -0.759 1.265  -0.700 1.066  -0.700 0.842  -0.572 0.670  -0.572 0.446  -0.572 0.222  -0.572 -0.002  -0.503 -0.209  -0.445 -0.420  -0.445 -0.644  -0.373 -0.851  -0.247 -1.033  -0.190 -1.233  -0.111 -1.424  -0.122 -1.329  -0.208 -1.123  -0.294 -0.916  -0.381 -0.709  -0.467 -0.502  -0.553 -0.295  -0.639 -0.088  -0.700 -0.008  -0.572 -0.035  -0.442 0.060  -0.284 0.219  -0.126 0.377  0.033 0.536  0.191 0.694  0.350 0.852  0.533 0.951  0.704 1.079  0.862 1.238  0.896 1.271  0.737 1.112  0.579 0.954  0.420 0.795  0.262 0.637  0.103 0.479  0.065 0.270  0.074 0.050  0.193 -0.125  0.300 -0.305  0.459 -0.463  0.617 -0.621  0.703 -0.810  0.881 -0.886  0.958 -1.078  1.117 -1.218  1.341 -1.218
3#app#app06#app0637/*  0.702 1.587  0.553 1.335  0.553 1.021  0.553 0.708  0.549 0.396  0.405 0.142  0.348 -0.159  0.256 -0.451  0.168 -0.728  0.108 -1.017  -0.040 -1.269  -0.040 -1.583  -0.208 -1.610  -0.294 -1.308  -0.380 -1.006  -0.467 -0.705  -0.553 -0.403  -0.639 -0.101  -0.725 0.200  -0.811 0.502  -0.898 0.803  -0.984 1.105  -1.070 1.407  -0.860 1.290  -0.634 1.116  -0.455 0.963  -0.233 0.742  -0.117 0.476  0.105 0.254  0.385 0.113  0.506 -0.146  0.702 -0.379  0.850 -0.544  0.998 -0.710  1.173 -0.935  1.124 -0.850  0.843 -0.709  0.562 -0.569  0.282 -0.429  0.001 -0.289  -0.279 -0.148  -0.560 -0.008  -0.840 0.132  -1.032 0.252  -0.719 0.252  -0.405 0.252  -0.091 0.252  0.223 0.252  0.536 0.252  0.850 0.252
3#app#app06#app0637/.  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.936  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.936  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
