3#apb#apb38#app3815/K  -0.441 1.467  -0.445 1.334  -0.441 1.124  -0.435 0.915  -0.421 0.705  -0.416 0.496  -0.421 0.286  -0.426 0.076  -0.428 -0.134  -0.428 -0.344  -0.428 -0.553  -0.428 -0.763  -0.428 -0.973  -0.428 -1.183  -0.428 -1.393  -0.421 -1.602  -0.405 -1.609  -0.388 -1.400  -0.371 -1.191  -0.353 -0.981  -0.336 -0.772  -0.318 -0.563  -0.301 -0.354  -0.283 -0.145  -0.214 0.012  -0.100 0.187  0.037 0.345  0.174 0.505  0.309 0.665  0.442 0.827  0.586 0.980  0.742 1.119  0.882 1.276  1.037 1.411  0.904 1.249  0.771 1.086  0.639 0.924  0.506 0.761  0.373 0.599  0.240 0.436  0.107 0.274  -0.025 0.111  -0.122 -0.062  -0.071 -0.261  0.042 -0.437  0.166 -0.606  0.309 -0.759  0.456 -0.909  0.619 -1.038  0.805 -1.135
3#apb#apb38#app3815/c  0.818 1.572  0.767 1.507  0.716 1.441  0.664 1.375  0.613 1.309  0.559 1.246  0.504 1.184  0.448 1.121  0.393 1.058  0.338 0.996  0.283 0.933  0.228 0.871  0.173 0.808  0.122 0.742  0.075 0.674  0.027 0.605  -0.020 0.536  -0.067 0.467  -0.114 0.399  -0.162 0.330  -0.213 0.265  -0.269 0.203  -0.325 0.141  -0.381 0.079  -0.438 0.018  -0.493 -0.044  -0.537 -0.115  -0.581 -0.186  -0.626 -0.257  -0.631 -0.333  -0.611 -0.414  -0.591 -0.495  -0.557 -0.571  -0.514 -0.642  -0.471 -0.714  -0.428 -0.785  -0.377 -0.848  -0.308 -0.896  -0.239 -0.943  -0.170 -0.990  -0.102 -1.037  -0.033 -1.085  0.036 -1.132  0.108 -1.170  0.191 -1.180  0.274 -1.189  0.357 -1.199  0.439 -1.209  0.522 -1.219  0.605 -1.228
3#apb#apb38#app3815/D  -0.710 0.370  -0.713 0.214  -0.653 0.060  -0.583 -0.091  -0.526 -0.247  -0.469 -0.404  -0.414 -0.560  -0.347 -0.713  -0.285 -0.867  -0.226 -1.023  -0.167 -1.178  -0.122 -1.122  -0.189 -0.970  -0.257 -0.818  -0.325 -0.666  -0.392 -0.514  -0.460 -0.363  -0.528 -0.211  -0.596 -0.059  -0.663 0.093  -0.731 0.245  -0.799 0.397  -0.865 0.549  -0.854 0.714  -0.780 0.861  -0.676 0.991  -0.544 1.091  -0.385 1.137  -0.220 1.153  -0.054 1.158  0.111 1.150  0.273 1.110  0.430 1.057  0.584 0.994  0.728 0.911  0.824 0.777  0.915 0.638  0.987 0.491  1.016 0.327  1.028 0.161  1.029 -0.004  1.009 -0.170  0.970 -0.331  0.922 -0.490  0.851 -0.640  0.774 -0.788  0.691 -0.932  0.583 -1.058  0.474 -1.184  0.331 -1.248
3#apb#apb38#app3815/o  1.092 1.136  1.003 1.207  0.906 1.224  0.800 1.183  0.693 1.143  0.589 1.099  0.495 1.034  0.401 0.969  0.308 0.904  0.211 0.845  0.109 0.794  0.007 0.743  -0.095 0.692  -0.197 0.641  -0.298 0.588  -0.384 0.514  -0.470 0.439  -0.556 0.364  -0.642 0.290  -0.722 0.209  -0.790 0.118  -0.858 0.027  -0.927 -0.064  -0.970 -0.169  -1.006 -0.277  -1.042 -0.385  -1.003 -0.483  -0.941 -0.580  -0.880 -0.676  -0.792 -0.741  -0.690 -0.792  -0.588 -0.843  -0.486 -0.894  -0.373 -0.897  -0.259 -0.897  -0.145 -0.897  -0.031 -0.897  0.074 -0.862  0.175 -0.808  0.275 -0.755  0.376 -0.702  0.477 -0.648  0.576 -0.592  0.675 -0.537  0.775 -0.481  0.874 -0.425  0.954 -0.346  1.027 -0.259  1.100 -0.171  1.173 -0.084
3#apb#apb38#app3815/n  -0.991 0.725  -1.029 0.599  -1.059 0.473  -1.050 0.343  -1.042 0.212  -1.019 0.084  -0.983 -0.041  -0.948 -0.167  -0.901 -0.289  -0.854 -0.412  -0.821 -0.537  -0.804 -0.667  -0.787 -0.796  -0.783 -0.927  -0.738 -0.939  -0.679 -0.822  -0.617 -0.707  -0.550 -0.595  -0.483 -0.483  -0.422 -0.368  -0.375 -0.246  -0.328 -0.124  -0.288 0.001  -0.250 0.126  -0.207 0.249  -0.158 0.371  -0.089 0.479  -0.003 0.578  0.078 0.680  0.157 0.785  0.266 0.850  0.367 0.930  0.492 0.956  0.613 0.921  0.708 0.835  0.784 0.729  0.848 0.615  0.908 0.499  0.945 0.374  0.981 0.248  1.013 0.121  1.045 -0.005  1.075 -0.133  1.105 -0.260  1.133 -0.387  1.133 -0.518  1.133 -0.649  1.133 -0.780  1.162 -0.904  1.180 -1.030
3#apb#apb38#app3815/a  0.571 1.091  0.430 1.044  0.288 0.999  0.144 0.960  0.003 0.916  -0.135 0.860  -0.273 0.805  -0.403 0.735  -0.525 0.650  -0.648 0.566  -0.771 0.483  -0.895 0.400  -1.013 0.311  -1.112 0.200  -1.203 0.085  -1.242 -0.059  -1.280 -0.202  -1.294 -0.347  -1.257 -0.484  -1.135 -0.570  -1.013 -0.654  -0.870 -0.693  -0.726 -0.731  -0.577 -0.731  -0.429 -0.731  -0.311 -0.643  -0.196 -0.549  -0.076 -0.461  0.049 -0.382  0.170 -0.297  0.270 -0.186  0.369 -0.076  0.412 0.063  0.441 0.209  0.441 0.358  0.462 0.503  0.519 0.609  0.562 0.467  0.620 0.330  0.680 0.195  0.742 0.059  0.803 -0.076  0.889 -0.198  0.970 -0.322  1.045 -0.450  1.120 -0.579  1.206 -0.700  1.293 -0.821  1.380 -0.941  1.508 -1.017
3#apb#apb38#app3815/l  -0.131 1.676  -0.153 1.610  -0.174 1.543  -0.174 1.473  -0.174 1.403  -0.174 1.333  -0.147 1.269  -0.120 1.205  -0.092 1.140  -0.065 1.076  -0.042 1.011  -0.030 0.942  -0.019 0.873  -0.007 0.804  0.004 0.735  0.016 0.666  0.024 0.596  0.031 0.527  0.038 0.457  0.045 0.387  0.052 0.318  0.059 0.248  0.066 0.178  0.072 0.109  0.078 0.039  0.084 -0.031  0.090 -0.100  0.096 -0.170  0.102 -0.240  0.103 -0.309  0.096 -0.379  0.088 -0.448  0.081 -0.518  0.074 -0.588  0.066 -0.657  0.059 -0.727  0.051 -0.796  0.043 -0.866  0.036 -0.935  0.028 -1.005  0.020 -1.074  0.020 -1.144  0.020 -1.214  0.020 -1.284  0.020 -1.354  0.006 -1.423  -0.009 -1.491  -0.026 -1.559  -0.057 -1.621  -0.088 -1.684
3#apb#apb38#app3815/d  0.068 -0.134  -0.084 -0.169  -0.229 -0.259  -0.361 -0.377  -0.502 -0.484  -0.655 -0.572  -0.795 -0.681  -0.941 -0.780  -0.969 -0.925  -0.877 -1.063  -0.714 -1.132  -0.543 -1.175  -0.367 -1.189  -0.190 -1.193  -0.013 -1.204  0.164 -1.204  0.339 -1.179  0.440 -1.090  0.426 -0.913  0.413 -0.736  0.399 -0.560  0.386 -0.383  0.372 -0.206  0.359 -0.030  0.346 0.147  0.332 0.324  0.319 0.500  0.305 0.677  0.292 0.854  0.278 1.030  0.265 1.207  0.251 1.384  0.238 1.560  0.224 1.737  0.136 1.818  0.144 1.643  0.155 1.466  0.168 1.289  0.190 1.114  0.217 0.939  0.180 0.766  0.149 0.592  0.125 0.416  0.089 0.243  0.042 0.072  -0.018 -0.094  -0.088 -0.257  -0.145 -0.424  -0.183 -0.595  -0.143 -0.767
3#apb#apb38#app3815/N  -1.164 -1.475  -1.185 -1.355  -1.149 -1.211  -1.104 -1.070  -1.055 -0.930  -1.007 -0.791  -0.958 -0.651  -0.907 -0.512  -0.847 -0.377  -0.786 -0.242  -0.724 -0.107  -0.660 0.026  -0.596 0.159  -0.530 0.292  -0.456 0.420  -0.383 0.549  -0.309 0.677  -0.234 0.804  -0.158 0.932  -0.079 1.057  -0.028 1.064  -0.012 0.916  -0.003 0.769  -0.010 0.621  -0.013 0.473  -0.007 0.325  -0.001 0.178  0.009 0.030  0.020 -0.118  0.037 -0.265  0.064 -0.410  0.096 -0.554  0.138 -0.696  0.205 -0.827  0.336 -0.811  0.446 -0.717  0.528 -0.593  0.608 -0.469  0.686 -0.343  0.763 -0.216  0.830 -0.084  0.895 0.049  0.939 0.190  0.983 0.331  1.026 0.473  1.069 0.614  1.114 0.756  1.149 0.899  1.178 1.044  1.244 1.176
3#apb#apb38#app3815/e  0.086 0.104  0.207 0.089  0.328 0.073  0.419 0.151  0.507 0.236  0.562 0.345  0.616 0.454  0.669 0.564  0.721 0.674  0.770 0.786  0.800 0.904  0.826 1.023  0.798 1.138  0.709 1.214  0.589 1.190  0.472 1.159  0.371 1.091  0.271 1.022  0.171 0.952  0.072 0.879  -0.026 0.807  -0.124 0.734  -0.212 0.651  -0.294 0.561  -0.376 0.470  -0.458 0.380  -0.535 0.285  -0.612 0.190  -0.688 0.095  -0.740 -0.013  -0.777 -0.129  -0.814 -0.246  -0.834 -0.365  -0.847 -0.487  -0.851 -0.607  -0.803 -0.720  -0.756 -0.832  -0.685 -0.927  -0.593 -1.007  -0.500 -1.087  -0.384 -1.122  -0.267 -1.158  -0.150 -1.193  -0.028 -1.194  0.094 -1.194  0.216 -1.194  0.338 -1.192  0.460 -1.188  0.582 -1.183  0.704 -1.179
3#apb#apb38#app3815/w  -1.247 0.463  -1.247 0.350  -1.248 0.236  -1.254 0.123  -1.260 0.010  -1.266 -0.102  -1.272 -0.215  -1.272 -0.328  -1.262 -0.441  -1.224 -0.541  -1.124 -0.497  -1.036 -0.427  -0.949 -0.354  -0.863 -0.281  -0.778 -0.207  -0.691 -0.134  -0.602 -0.064  -0.513 0.005  -0.421 0.072  -0.327 0.135  -0.233 0.197  -0.128 0.233  -0.017 0.256  0.096 0.262  0.175 0.197  0.218 0.094  0.243 -0.016  0.235 -0.128  0.234 -0.241  0.246 -0.354  0.269 -0.464  0.332 -0.555  0.429 -0.591  0.527 -0.541  0.605 -0.460  0.681 -0.375  0.754 -0.289  0.827 -0.203  0.890 -0.109  0.953 -0.015  1.009 0.083  1.062 0.183  1.115 0.283  1.168 0.383  1.221 0.483  1.279 0.580  1.338 0.677  1.395 0.774  1.443 0.876  1.491 0.979
3#apb#apb38#app3815/t  0.510 0.463  0.390 0.358  0.310 0.221  0.284 0.065  0.270 -0.093  0.288 -0.252  0.303 -0.411  0.311 -0.570  0.320 -0.729  0.328 -0.888  0.352 -1.045  0.396 -1.197  0.504 -1.285  0.466 -1.153  0.341 -1.055  0.215 -0.957  0.090 -0.858  -0.036 -0.760  -0.161 -0.662  -0.287 -0.563  -0.412 -0.465  -0.538 -0.367  -0.663 -0.268  -0.789 -0.170  -0.914 -0.072  -1.040 0.026  -1.165 0.125  -1.291 0.223  -1.417 0.321  -1.437 0.394  -1.280 0.412  -1.121 0.425  -0.962 0.438  -0.804 0.455  -0.646 0.476  -0.488 0.497  -0.329 0.515  -0.170 0.528  -0.011 0.540  0.148 0.553  0.305 0.574  0.462 0.605  0.618 0.636  0.774 0.668  0.933 0.681  1.092 0.691  1.251 0.700  1.410 0.718  1.567 0.744  1.724 0.770
3#apb#apb38#app3815/o  0.570 1.340  0.460 1.300  0.350 1.260  0.246 1.209  0.144 1.153  0.048 1.089  -0.027 1.000  -0.102 0.911  -0.178 0.822  -0.266 0.745  -0.354 0.670  -0.443 0.595  -0.521 0.509  -0.590 0.415  -0.659 0.321  -0.728 0.227  -0.799 0.134  -0.870 0.042  -0.941 -0.051  -0.985 -0.157  -1.018 -0.269  -1.021 -0.383  -1.010 -0.499  -0.945 -0.587  -0.857 -0.664  -0.760 -0.728  -0.658 -0.784  -0.553 -0.834  -0.439 -0.857  -0.325 -0.880  -0.210 -0.895  -0.096 -0.875  0.019 -0.855  0.134 -0.835  0.247 -0.808  0.361 -0.780  0.467 -0.737  0.563 -0.671  0.658 -0.604  0.719 -0.505  0.779 -0.405  0.840 -0.305  0.901 -0.206  0.962 -0.107  1.017 -0.004  1.069 0.100  1.121 0.205  1.173 0.309  1.225 0.413  1.278 0.517
3#apb#apb38#app3815/n  -0.898 0.969  -0.804 0.873  -0.786 0.738  -0.786 0.601  -0.766 0.467  -0.740 0.333  -0.719 0.198  -0.712 0.062  -0.712 -0.074  -0.721 -0.210  -0.752 -0.343  -0.784 -0.476  -0.812 -0.609  -0.840 -0.743  -0.857 -0.877  -0.843 -1.013  -0.828 -0.966  -0.785 -0.836  -0.740 -0.707  -0.695 -0.579  -0.646 -0.452  -0.574 -0.336  -0.501 -0.220  -0.431 -0.103  -0.361 0.015  -0.292 0.132  -0.206 0.238  -0.117 0.341  -0.019 0.434  0.098 0.506  0.211 0.581  0.316 0.669  0.424 0.749  0.557 0.782  0.691 0.801  0.825 0.789  0.944 0.727  1.018 0.613  1.064 0.485  1.094 0.352  1.116 0.218  1.116 0.081  1.116 -0.055  1.116 -0.192  1.116 -0.329  1.125 -0.465  1.135 -0.601  1.165 -0.734  1.200 -0.866  1.283 -0.970
