2#app#app37#app3730/!  -0.115 1.749  -0.115 1.670  -0.115 1.592  -0.115 1.514  -0.115 1.435  -0.115 1.357  -0.115 1.279  -0.115 1.200  -0.115 1.122  -0.070 1.062  -0.015 1.007  -0.008 0.932  -0.008 0.853  -0.008 0.775  -0.008 0.697  -0.008 0.618  -0.008 0.540  -0.008 0.462  -0.008 0.383  -0.008 0.305  -0.008 0.227  -0.008 0.148  -0.008 0.070  0.024 0.005  0.079 -0.050  0.099 -0.020  0.098 0.015  0.093 -0.063  0.088 -0.141  0.083 -0.219  0.078 -0.297  0.073 -0.375  0.069 -0.454  0.064 -0.532  0.059 -0.610  0.054 -0.688  0.049 -0.766  0.044 -0.844  0.039 -0.923  0.034 -1.001  0.030 -1.079  0.025 -1.157  0.020 -1.235  0.015 -1.313  0.010 -1.391  0.005 -1.470  0.000 -1.548  -0.005 -1.626  -0.008 -1.647  -0.008 -1.568
2#app#app37#app3730/~  -1.127 -1.241  -1.127 -1.112  -1.127 -0.983  -1.127 -0.854  -1.127 -0.725  -1.127 -0.596  -1.040 -0.554  -0.911 -0.554  -0.784 -0.552  -0.784 -0.423  -0.784 -0.294  -0.784 -0.164  -0.784 -0.035  -0.784 0.094  -0.694 0.133  -0.565 0.133  -0.440 0.137  -0.440 0.267  -0.440 0.396  -0.440 0.525  -0.440 0.654  -0.440 0.783  -0.348 0.820  -0.219 0.820  -0.097 0.814  -0.097 0.684  -0.097 0.555  -0.046 0.477  0.083 0.477  0.212 0.477  0.247 0.382  0.247 0.253  0.247 0.124  0.247 -0.005  0.247 -0.134  0.300 -0.210  0.429 -0.210  0.558 -0.210  0.687 -0.210  0.816 -0.210  0.945 -0.210  1.074 -0.210  1.203 -0.210  1.316 -0.172  1.408 -0.080  1.499 0.011  1.590 0.102  1.621 0.218  1.621 0.348  1.621 0.477
2#app#app37#app3730/  -1.725 -0.431  -1.637 -0.431  -1.549 -0.431  -1.461 -0.431  -1.373 -0.431  -1.285 -0.431  -1.197 -0.431  -1.109 -0.431  -1.021 -0.431  -0.933 -0.431  -0.845 -0.431  -0.757 -0.431  -0.669 -0.431  -0.581 -0.431  -0.493 -0.431  -0.405 -0.431  -0.317 -0.431  -0.229 -0.431  -0.141 -0.431  -0.053 -0.431  0.000 -0.396  0.000 -0.308  0.000 -0.220  0.000 -0.132  0.000 -0.044  0.000 0.044  0.000 0.132  0.000 0.220  0.000 0.308  0.000 0.396  0.053 0.431  0.141 0.431  0.229 0.431  0.317 0.431  0.405 0.431  0.493 0.431  0.581 0.431  0.669 0.431  0.757 0.431  0.845 0.431  0.933 0.431  1.021 0.431  1.109 0.431  1.197 0.431  1.285 0.431  1.373 0.431  1.461 0.431  1.549 0.431  1.637 0.431  1.725 0.431
2#app#app37#app3730/_  -1.738 -0.142  -1.664 -0.142  -1.590 -0.142  -1.516 -0.142  -1.442 -0.142  -1.368 -0.142  -1.295 -0.142  -1.221 -0.142  -1.147 -0.142  -1.073 -0.142  -0.999 -0.142  -0.925 -0.142  -0.851 -0.142  -0.777 -0.142  -0.703 -0.142  -0.629 -0.142  -0.555 -0.142  -0.481 -0.142  -0.407 -0.142  -0.333 -0.142  -0.259 -0.142  -0.185 -0.142  -0.111 -0.142  -0.054 -0.103  -0.001 -0.051  0.051 0.001  0.103 0.054  0.161 0.093  0.235 0.093  0.309 0.093  0.383 0.093  0.457 0.093  0.531 0.093  0.605 0.093  0.679 0.093  0.753 0.093  0.827 0.093  0.901 0.093  0.974 0.093  1.048 0.093  1.122 0.093  1.196 0.093  1.270 0.093  1.318 0.119  1.318 0.193  1.318 0.267  1.331 0.328  1.405 0.328  1.479 0.328  1.553 0.328
2#app#app37#app3730/+  0.078 2.060  0.078 1.900  0.078 1.741  0.078 1.581  0.078 1.421  0.078 1.262  0.078 1.102  0.078 0.942  0.078 0.783  0.078 0.623  0.078 0.463  0.078 0.304  0.078 0.144  0.078 -0.016  0.078 -0.175  0.078 -0.335  0.078 -0.495  0.078 -0.654  0.078 -0.814  0.078 -0.974  0.078 -1.133  -0.044 -1.077  -0.181 -0.995  -0.318 -0.913  -0.455 -0.830  -0.592 -0.748  -0.729 -0.666  -0.866 -0.584  -1.003 -0.502  -1.140 -0.420  -1.240 -0.348  -1.080 -0.348  -0.920 -0.348  -0.761 -0.348  -0.601 -0.348  -0.446 -0.337  -0.333 -0.224  -0.220 -0.111  -0.073 -0.080  0.087 -0.080  0.246 -0.080  0.406 -0.080  0.566 -0.080  0.725 -0.080  0.885 -0.080  1.045 -0.080  1.204 -0.080  1.364 -0.080  1.416 0.028  1.416 0.187
2#app#app37#app3730/=  -1.367 0.401  -1.201 0.401  -1.036 0.401  -0.870 0.401  -0.705 0.401  -0.540 0.401  -0.374 0.401  -0.209 0.401  -0.043 0.401  0.101 0.452  0.218 0.569  0.335 0.686  0.403 0.823  0.403 0.989  0.449 1.109  0.614 1.109  0.780 1.109  0.945 1.109  1.111 1.109  0.995 0.992  0.878 0.875  0.761 0.758  0.644 0.641  0.527 0.524  0.410 0.407  0.293 0.290  0.176 0.173  0.059 0.056  -0.058 -0.061  -0.175 -0.178  -0.292 -0.295  -0.409 -0.412  -0.526 -0.529  -0.643 -0.646  -0.760 -0.763  -0.877 -0.880  -0.994 -0.997  -0.874 -1.015  -0.709 -1.015  -0.543 -1.015  -0.378 -1.015  -0.212 -1.015  -0.047 -1.015  0.119 -1.015  0.284 -1.015  0.450 -1.015  0.615 -1.015  0.757 -0.992  0.757 -0.827  0.757 -0.661
2#app#app37#app3730/[  0.566 1.329  0.467 1.329  0.369 1.329  0.271 1.329  0.219 1.283  0.190 1.214  0.091 1.214  -0.007 1.214  -0.105 1.214  -0.204 1.214  -0.285 1.172  -0.355 1.103  -0.360 1.007  -0.308 0.930  -0.244 0.858  -0.244 0.760  -0.244 0.661  -0.244 0.563  -0.244 0.465  -0.244 0.366  -0.244 0.268  -0.246 0.170  -0.316 0.101  -0.360 0.021  -0.360 -0.078  -0.360 -0.176  -0.360 -0.274  -0.360 -0.373  -0.360 -0.471  -0.360 -0.569  -0.360 -0.668  -0.360 -0.766  -0.360 -0.864  -0.360 -0.963  -0.283 -0.985  -0.185 -0.985  -0.086 -0.985  0.012 -0.985  0.108 -0.990  0.178 -1.059  0.259 -1.100  0.334 -1.077  0.340 -0.985  0.438 -0.985  0.537 -0.985  0.635 -0.985  0.733 -0.985  0.832 -0.985  0.913 -0.967  0.913 -0.869
2#app#app37#app3730/]  -0.618 0.993  -0.553 1.058  -0.487 1.119  -0.396 1.119  -0.305 1.119  -0.214 1.119  -0.122 1.119  -0.055 1.177  0.009 1.242  0.099 1.245  0.191 1.245  0.264 1.228  0.264 1.137  0.264 1.045  0.264 0.954  0.264 0.863  0.264 0.772  0.264 0.680  0.246 0.597  0.181 0.532  0.138 0.459  0.138 0.367  0.138 0.276  0.138 0.185  0.138 0.094  0.138 0.002  0.138 -0.089  0.138 -0.180  0.138 -0.271  0.138 -0.363  0.138 -0.454  0.157 -0.537  0.221 -0.602  0.264 -0.675  0.264 -0.767  0.264 -0.858  0.264 -0.949  0.252 -1.035  0.188 -1.100  0.123 -1.164  0.059 -1.229  -0.014 -1.275  -0.105 -1.275  -0.196 -1.275  -0.287 -1.275  -0.379 -1.275  -0.470 -1.275  -0.561 -1.275  -0.652 -1.275  -0.744 -1.275
2#app#app37#app3730/{  0.542 1.445  0.432 1.445  0.321 1.445  0.211 1.445  0.129 1.376  0.038 1.331  -0.030 1.288  -0.069 1.216  -0.179 1.216  -0.259 1.186  -0.259 1.076  -0.259 0.966  -0.259 0.855  -0.249 0.749  -0.171 0.671  -0.072 0.644  0.038 0.644  0.084 0.580  0.144 0.530  0.199 0.474  0.199 0.363  0.199 0.253  0.199 0.143  0.199 0.032  0.163 -0.042  0.084 -0.074  0.057 -0.157  -0.030 -0.180  -0.044 -0.285  -0.122 -0.363  -0.223 -0.386  -0.259 -0.459  -0.259 -0.570  -0.325 -0.614  -0.374 -0.676  -0.316 -0.729  -0.206 -0.729  -0.095 -0.729  -0.030 -0.774  -0.030 -0.884  -0.030 -0.995  -0.030 -1.105  -0.030 -1.215  -0.030 -1.326  -0.030 -1.436  -0.014 -1.530  0.097 -1.530  0.207 -1.530  0.317 -1.530  0.427 -1.530
2#app#app37#app3730/}  -0.274 1.369  -0.270 1.265  -0.162 1.265  -0.054 1.265  0.054 1.265  0.162 1.265  0.270 1.265  0.378 1.265  0.456 1.236  0.456 1.128  0.419 1.057  0.352 1.016  0.352 0.908  0.304 0.848  0.211 0.812  0.135 0.736  0.059 0.659  -0.018 0.583  -0.094 0.507  -0.169 0.430  -0.174 0.327  -0.274 0.318  -0.274 0.210  -0.274 0.103  -0.254 0.014  -0.146 0.014  -0.065 -0.013  -0.065 -0.121  -0.065 -0.228  -0.103 -0.298  -0.169 -0.340  -0.215 -0.402  -0.239 -0.437  -0.160 -0.507  -0.056 -0.516  0.021 -0.592  0.097 -0.669  0.143 -0.757  0.143 -0.865  0.143 -0.973  0.143 -1.081  0.143 -1.189  0.100 -1.279  0.039 -1.362  0.022 -1.462  -0.055 -1.539  -0.158 -1.549  -0.169 -1.646  -0.270 -1.653  -0.378 -1.653
2#app#app37#app3730/\\  -0.816 1.418  -0.816 1.344  -0.816 1.269  -0.766 1.244  -0.692 1.244  -0.642 1.220  -0.642 1.146  -0.642 1.072  -0.591 1.019  -0.538 0.967  -0.486 0.914  -0.446 0.853  -0.413 0.786  -0.380 0.720  -0.347 0.654  -0.314 0.587  -0.295 0.517  -0.295 0.443  -0.292 0.370  -0.259 0.304  -0.225 0.237  -0.192 0.171  -0.159 0.105  -0.126 0.038  -0.076 -0.016  -0.023 -0.068  0.029 -0.120  0.082 -0.173  0.134 -0.225  0.186 -0.278  0.225 -0.336  0.225 -0.410  0.225 -0.484  0.274 -0.538  0.326 -0.591  0.378 -0.643  0.398 -0.709  0.398 -0.783  0.413 -0.851  0.466 -0.904  0.518 -0.956  0.570 -1.008  0.623 -1.061  0.675 -1.113  0.728 -1.166  0.795 -1.183  0.869 -1.183  0.918 -1.208  0.918 -1.282  0.918 -1.356
2#app#app37#app3730/,  0.064 1.719  0.064 1.647  0.064 1.576  0.064 1.505  0.064 1.434  0.064 1.362  0.064 1.291  0.064 1.220  0.064 1.149  0.064 1.078  0.064 1.006  0.064 0.935  0.064 0.864  0.064 0.793  0.064 0.721  0.064 0.650  0.064 0.579  0.064 0.508  0.064 0.436  0.064 0.365  0.064 0.294  0.064 0.223  0.064 0.151  0.064 0.080  0.064 0.009  0.064 -0.062  0.064 -0.134  0.064 -0.205  0.064 -0.276  0.064 -0.347  0.064 -0.418  0.064 -0.490  0.064 -0.561  0.064 -0.632  0.064 -0.703  0.064 -0.775  0.064 -0.846  0.064 -0.917  0.064 -0.988  0.024 -1.043  -0.027 -1.093  -0.077 -1.144  -0.127 -1.194  -0.178 -1.244  -0.228 -1.295  -0.278 -1.345  -0.329 -1.395  -0.379 -1.446  -0.430 -1.496  -0.480 -1.547
2#app#app37#app3730/  0.980 1.374  0.929 1.323  0.879 1.273  0.829 1.223  0.819 1.156  0.819 1.085  0.792 1.025  0.742 0.975  0.691 0.924  0.641 0.874  0.591 0.824  0.541 0.773  0.492 0.722  0.461 0.658  0.429 0.594  0.397 0.531  0.365 0.467  0.333 0.404  0.302 0.340  0.270 0.276  0.238 0.213  0.206 0.149  0.174 0.086  0.125 0.035  0.074 -0.015  0.024 -0.066  -0.026 -0.116  -0.076 -0.166  -0.127 -0.216  -0.177 -0.267  -0.227 -0.317  -0.278 -0.367  -0.328 -0.418  -0.378 -0.468  -0.428 -0.518  -0.479 -0.568  -0.529 -0.619  -0.579 -0.669  -0.630 -0.719  -0.632 -0.789  -0.632 -0.860  -0.666 -0.917  -0.717 -0.968  -0.767 -1.018  -0.817 -1.068  -0.868 -1.118  -0.918 -1.169  -0.955 -1.225  -0.955 -1.296  -0.955 -1.367
2#app#app37#app3730/?  -0.498 0.662  -0.398 0.662  -0.373 0.738  -0.322 0.787  -0.230 0.805  -0.159 0.876  -0.088 0.947  -0.017 1.018  0.054 1.089  0.125 1.160  0.224 1.162  0.324 1.162  0.424 1.162  0.479 1.162  0.379 1.162  0.377 1.064  0.377 0.964  0.377 0.863  0.360 0.770  0.289 0.699  0.252 0.615  0.236 0.521  0.165 0.450  0.127 0.366  0.127 0.266  0.127 0.166  0.030 0.163  0.002 0.090  0.002 -0.010  0.002 -0.110  0.002 -0.210  0.002 -0.310  0.002 -0.411  -0.009 -0.510  -0.030 -0.607  -0.052 -0.705  -0.074 -0.803  -0.096 -0.901  -0.117 -0.998  -0.139 -1.096  -0.161 -1.194  -0.182 -1.292  -0.204 -1.390  -0.226 -1.487  -0.248 -1.585  -0.248 -1.487  -0.248 -1.536  -0.248 -1.636  -0.248 -1.686  -0.248 -1.586
2#app#app37#app3730/'  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.936  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.936  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
2#app#app37#app3730/\"  -0.522 1.127  -0.522 1.321  -0.522 1.515  -0.522 1.463  -0.522 1.269  -0.522 1.075  -0.522 0.880  -0.522 0.686  -0.522 0.491  -0.522 0.297  -0.522 0.102  -0.522 -0.092  -0.522 -0.286  -0.522 -0.481  -0.522 -0.675  -0.522 -0.870  -0.522 -1.064  -0.522 -1.258  -0.522 -1.453  -0.516 -1.621  -0.429 -1.447  -0.342 -1.274  -0.255 -1.100  -0.168 -0.926  -0.081 -0.752  0.005 -0.578  0.092 -0.404  0.179 -0.230  0.266 -0.056  0.353 0.118  0.440 0.291  0.527 0.465  0.614 0.639  0.701 0.813  0.788 0.987  0.858 1.088  0.858 0.894  0.858 0.699  0.696 0.667  0.502 0.667  0.398 0.576  0.398 0.382  0.398 0.187  0.398 -0.007  0.398 -0.201  0.398 -0.396  0.398 -0.590  0.398 -0.785  0.398 -0.979  0.398 -1.174
2#app#app37#app3730/<  0.999 1.441  0.910 1.352  0.822 1.263  0.719 1.209  0.594 1.209  0.488 1.162  0.399 1.073  0.311 0.984  0.222 0.896  0.134 0.807  0.045 0.719  -0.044 0.630  -0.132 0.541  -0.246 0.514  -0.371 0.514  -0.392 0.409  -0.392 0.284  -0.515 0.282  -0.636 0.270  -0.724 0.181  -0.813 0.093  -0.920 0.050  -1.046 0.050  -1.087 -0.034  -1.087 -0.159  -0.985 -0.182  -0.860 -0.182  -0.734 -0.182  -0.624 -0.197  -0.624 -0.322  -0.590 -0.414  -0.465 -0.414  -0.392 -0.466  -0.392 -0.591  -0.321 -0.645  -0.196 -0.645  -0.070 -0.645  0.055 -0.645  0.180 -0.645  0.305 -0.645  0.431 -0.645  0.550 -0.660  0.638 -0.749  0.727 -0.837  0.836 -0.877  0.961 -0.877  0.999 -0.965  0.999 -1.090  1.105 -1.109  1.230 -1.109
2#app#app37#app3730/|  0.063 1.266  0.063 1.338  0.063 1.411  0.063 1.483  0.063 1.498  0.063 1.425  0.063 1.352  0.063 1.280  0.063 1.207  0.063 1.135  0.063 1.062  0.063 0.990  0.063 0.917  0.063 0.844  0.063 0.772  0.063 0.699  0.063 0.627  0.063 0.554  0.063 0.481  0.063 0.409  0.063 0.336  0.063 0.264  0.063 0.191  0.063 0.118  0.043 0.050  0.011 -0.014  -0.022 -0.079  -0.054 -0.144  -0.068 -0.214  -0.068 -0.286  -0.068 -0.359  -0.068 -0.432  -0.068 -0.504  -0.068 -0.577  -0.068 -0.649  -0.068 -0.722  -0.068 -0.794  -0.068 -0.867  -0.068 -0.940  -0.068 -1.012  -0.068 -1.085  -0.068 -1.157  -0.068 -1.230  -0.068 -1.303  -0.068 -1.375  -0.068 -1.448  -0.068 -1.520  -0.068 -1.593  -0.068 -1.666  -0.068 -1.738
2#app#app37#app3730/>  -0.609 0.861  -0.666 0.975  -0.723 1.088  -0.779 1.201  -0.836 1.315  -0.840 1.206  -0.827 1.092  -0.700 1.092  -0.609 1.056  -0.609 0.930  -0.551 0.861  -0.424 0.861  -0.321 0.804  -0.232 0.714  -0.140 0.630  -0.013 0.630  0.105 0.609  0.195 0.519  0.284 0.430  0.374 0.340  0.463 0.250  0.556 0.168  0.683 0.168  0.776 0.135  0.776 0.008  0.776 -0.118  0.776 -0.245  0.855 -0.294  0.982 -0.294  1.007 -0.395  1.007 -0.521  0.884 -0.524  0.757 -0.524  0.630 -0.524  0.516 -0.554  0.426 -0.644  0.337 -0.733  0.219 -0.755  0.092 -0.755  -0.035 -0.755  -0.147 -0.769  -0.147 -0.896  -0.184 -0.986  -0.311 -0.986  -0.437 -0.986  -0.564 -0.986  -0.609 -1.068  -0.609 -1.195  -0.713 -1.217  -0.840 -1.217
