1c#apa#apa13#app1353/x  1.379 1.331  1.309 1.212  1.160 1.112  1.098 0.973  0.941 0.893  0.842 0.734  0.743 0.575  0.629 0.426  0.544 0.257  0.409 0.122  0.275 -0.012  0.158 -0.158  0.073 -0.328  -0.058 -0.464  -0.192 -0.598  -0.313 -0.742  -0.398 -0.912  -0.453 -1.056  -0.530 -1.169  -0.536 -1.230  -0.554 -1.041  -0.572 -0.852  -0.590 -0.664  -0.608 -0.475  -0.626 -0.286  -0.644 -0.097  -0.662 0.092  -0.680 0.281  -0.698 0.470  -0.716 0.659  -0.734 0.848  -0.752 1.036  -0.755 1.212  -0.590 1.152  -0.530 0.987  -0.490 0.814  -0.376 0.665  -0.291 0.496  -0.167 0.356  -0.121 0.172  -0.075 -0.012  0.017 -0.170  0.120 -0.327  0.216 -0.489  0.350 -0.623  0.484 -0.757  0.591 -0.911  0.691 -1.056  0.783 -1.154  0.902 -1.294
1c#apa#apa13#app1353/d  -0.028 2.081  -0.028 1.939  -0.028 1.796  0.005 1.662  0.060 1.533  0.060 1.391  0.077 1.252  0.141 1.125  0.204 0.998  0.236 0.864  0.253 0.725  0.316 0.598  0.380 0.471  0.413 0.336  0.467 0.207  0.501 0.073  0.524 -0.060  0.589 -0.175  0.636 -0.306  0.677 -0.439  0.677 -0.551  0.608 -0.477  0.554 -0.389  0.412 -0.389  0.312 -0.288  0.211 -0.188  0.111 -0.087  -0.010 -0.036  -0.116 0.052  -0.258 0.052  -0.400 0.052  -0.521 0.000  -0.648 -0.038  -0.748 -0.139  -0.849 -0.239  -0.910 -0.356  -0.910 -0.498  -0.910 -0.640  -0.882 -0.771  -0.764 -0.830  -0.655 -0.909  -0.530 -0.976  -0.395 -1.007  -0.253 -1.007  -0.111 -1.008  0.027 -1.043  0.165 -1.077  0.305 -1.095  0.447 -1.095  0.589 -1.095
1c#apa#apa13#app1353/t  0.050 1.702  0.151 1.557  0.151 1.370  0.156 1.185  0.240 1.017  0.252 0.834  0.316 0.662  0.353 0.484  0.353 0.297  0.386 0.118  0.455 -0.053  0.455 -0.240  0.455 -0.427  0.455 -0.613  0.455 -0.800  0.494 -0.971  0.556 -1.132  0.490 -1.185  0.341 -1.072  0.193 -0.959  0.044 -0.846  -0.105 -0.732  -0.253 -0.619  -0.402 -0.506  -0.551 -0.393  -0.699 -0.279  -0.848 -0.166  -0.996 -0.053  -1.145 0.060  -1.294 0.174  -1.442 0.287  -1.547 0.385  -1.362 0.379  -1.215 0.284  -1.042 0.222  -0.865 0.182  -0.678 0.182  -0.509 0.107  -0.328 0.081  -0.141 0.081  0.045 0.081  0.228 0.055  0.405 -0.004  0.590 -0.020  0.775 -0.026  0.953 -0.085  1.134 -0.121  1.321 -0.121  1.503 -0.139  1.670 -0.223
1c#apa#apa13#app1353/h  -0.718 1.768  -0.632 1.734  -0.632 1.614  -0.632 1.495  -0.632 1.375  -0.632 1.255  -0.618 1.139  -0.565 1.032  -0.547 0.917  -0.547 0.797  -0.547 0.677  -0.547 0.558  -0.547 0.438  -0.547 0.318  -0.497 0.210  -0.461 0.099  -0.461 -0.020  -0.461 -0.140  -0.461 -0.260  -0.461 -0.379  -0.436 -0.488  -0.375 -0.583  -0.375 -0.703  -0.375 -0.822  -0.375 -0.842  -0.316 -0.747  -0.289 -0.638  -0.207 -0.553  -0.123 -0.468  -0.038 -0.384  0.046 -0.299  0.070 -0.189  0.159 -0.110  0.266 -0.057  0.373 -0.003  0.480 0.050  0.599 0.052  0.654 -0.013  0.724 -0.104  0.748 -0.213  0.826 -0.301  0.826 -0.420  0.880 -0.517  0.912 -0.624  0.928 -0.737  0.998 -0.828  1.053 -0.892  1.086 -0.980  1.170 -1.065  1.255 -1.149
1c#apa#apa13#app1353/e  -0.303 -0.191  -0.152 -0.191  -0.000 -0.191  0.118 -0.158  0.162 -0.050  0.298 -0.011  0.406 0.094  0.542 0.161  0.677 0.229  0.785 0.335  0.820 0.472  0.820 0.624  0.820 0.775  0.820 0.926  0.718 1.035  0.582 1.073  0.430 1.073  0.279 1.073  0.127 1.073  -0.024 1.073  -0.176 1.073  -0.320 1.056  -0.427 0.949  -0.534 0.842  -0.641 0.735  -0.748 0.627  -0.855 0.520  -0.865 0.373  -0.931 0.237  -0.999 0.102  -1.005 -0.048  -1.005 -0.200  -0.991 -0.346  -0.884 -0.453  -0.777 -0.560  -0.724 -0.689  -0.636 -0.753  -0.484 -0.753  -0.345 -0.802  -0.209 -0.870  -0.092 -0.963  0.030 -1.033  0.181 -1.033  0.333 -1.033  0.484 -1.033  0.636 -1.033  0.787 -1.033  0.939 -1.033  1.090 -1.033  1.242 -1.033
1c#apa#apa13#app1353/s  0.730 1.233  0.632 1.135  0.516 1.082  0.378 1.082  0.239 1.082  0.108 1.066  0.010 0.968  -0.113 0.930  -0.251 0.930  -0.372 0.889  -0.470 0.791  -0.603 0.778  -0.710 0.702  -0.817 0.627  -0.937 0.609  -0.937 0.470  -0.937 0.332  -0.807 0.324  -0.669 0.324  -0.530 0.324  -0.392 0.324  -0.254 0.324  -0.115 0.324  0.023 0.324  0.161 0.324  0.300 0.324  0.427 0.313  0.427 0.175  0.549 0.111  0.672 0.050  0.730 -0.053  0.730 -0.191  0.730 -0.330  0.730 -0.468  0.730 -0.606  0.730 -0.745  0.730 -0.883  0.636 -0.982  0.538 -1.080  0.440 -1.178  0.308 -1.192  0.169 -1.192  0.031 -1.192  -0.107 -1.192  -0.245 -1.192  -0.384 -1.192  -0.522 -1.192  -0.660 -1.192  -0.786 -1.178  -0.786 -1.040
1c#apa#apa13#app1353/n  -1.339 0.968  -1.339 0.830  -1.263 0.724  -1.171 0.624  -1.171 0.486  -1.089 0.382  -1.002 0.280  -1.002 0.142  -0.880 0.126  -0.834 0.035  -0.834 -0.103  -0.803 -0.210  -0.666 -0.211  -0.666 -0.349  -0.666 -0.486  -0.588 -0.547  -0.497 -0.500  -0.485 -0.367  -0.388 -0.269  -0.329 -0.156  -0.312 -0.025  -0.214 0.072  -0.160 0.188  -0.129 0.295  0.008 0.296  0.008 0.433  0.084 0.540  0.176 0.640  0.176 0.777  0.292 0.800  0.430 0.800  0.513 0.745  0.513 0.607  0.513 0.469  0.513 0.331  0.513 0.193  0.513 0.056  0.542 -0.071  0.639 -0.168  0.681 -0.288  0.715 -0.412  0.813 -0.510  0.910 -0.607  1.008 -0.705  1.105 -0.802  1.203 -0.900  1.300 -0.997  1.415 -1.052  1.553 -1.052  1.691 -1.052
1c#apa#apa13#app1353/a  -0.300 1.192  -0.410 1.082  -0.552 1.047  -0.695 0.994  -0.835 0.924  -0.955 0.828  -1.065 0.717  -1.175 0.607  -1.286 0.497  -1.318 0.354  -1.318 0.198  -1.318 0.042  -1.318 -0.114  -1.209 -0.225  -1.099 -0.335  -0.973 -0.408  -0.836 -0.453  -0.721 -0.553  -0.565 -0.553  -0.409 -0.553  -0.253 -0.553  -0.097 -0.553  0.051 -0.523  0.191 -0.453  0.336 -0.408  0.473 -0.362  0.588 -0.262  0.736 -0.244  0.847 -0.134  0.863 0.016  0.964 0.130  1.009 0.267  0.935 0.393  0.809 0.465  0.653 0.465  0.497 0.465  0.341 0.465  0.282 0.368  0.282 0.212  0.282 0.056  0.339 -0.086  0.409 -0.226  0.530 -0.314  0.670 -0.383  0.790 -0.480  0.900 -0.590  1.011 -0.698  1.166 -0.704  1.306 -0.774  1.445 -0.844
1c#apa#apa13#app1353/z  -0.957 1.024  -0.952 0.902  -0.824 0.902  -0.697 0.902  -0.570 0.902  -0.443 0.902  -0.325 0.925  -0.235 1.015  -0.112 1.024  0.015 1.024  0.142 1.024  0.268 1.019  0.382 0.963  0.496 0.906  0.622 0.902  0.626 0.778  0.620 0.653  0.530 0.563  0.414 0.537  0.297 0.494  0.183 0.437  0.139 0.338  0.060 0.267  -0.060 0.227  -0.181 0.187  -0.282 0.116  -0.382 0.050  -0.498 0.022  -0.588 -0.068  -0.592 -0.194  -0.592 -0.321  -0.592 -0.448  -0.592 -0.575  -0.582 -0.700  -0.525 -0.814  -0.467 -0.924  -0.340 -0.928  -0.227 -0.985  -0.113 -1.042  0.013 -1.046  0.140 -1.046  0.267 -1.046  0.395 -1.046  0.522 -1.046  0.649 -1.046  0.768 -1.066  0.858 -1.156  0.980 -1.168  1.107 -1.168  1.234 -1.168
1c#apa#apa13#app1353/z  -1.370 0.977  -1.284 0.891  -1.179 0.850  -1.058 0.850  -0.936 0.850  -0.815 0.850  -0.693 0.850  -0.572 0.850  -0.450 0.850  -0.329 0.850  -0.207 0.850  -0.085 0.850  0.036 0.850  0.158 0.850  0.279 0.850  0.365 0.764  0.470 0.723  0.591 0.723  0.659 0.670  0.659 0.548  0.616 0.470  0.506 0.443  0.420 0.357  0.334 0.271  0.239 0.197  0.131 0.142  0.025 0.086  0.025 -0.036  -0.095 -0.038  -0.183 -0.118  -0.269 -0.204  -0.355 -0.290  -0.355 -0.411  -0.355 -0.533  -0.355 -0.655  -0.355 -0.776  -0.285 -0.869  -0.187 -0.925  -0.076 -0.951  0.010 -1.037  0.125 -1.052  0.247 -1.052  0.342 -1.115  0.437 -1.179  0.559 -1.179  0.680 -1.179  0.802 -1.179  0.923 -1.179  1.045 -1.179  1.166 -1.179
1c#apa#apa13#app1353/y  1.331 1.162  1.219 1.050  1.197 0.901  1.090 0.787  0.978 0.675  0.867 0.563  0.770 0.441  0.699 0.299  0.609 0.171  0.497 0.059  0.385 -0.052  0.273 -0.164  0.161 -0.276  0.049 -0.388  -0.063 -0.500  -0.175 -0.612  -0.287 -0.724  -0.398 -0.836  -0.510 -0.948  -0.594 -1.080  -0.665 -1.222  -0.735 -1.363  -0.806 -1.505  -0.791 -1.377  -0.766 -1.221  -0.741 -1.064  -0.717 -0.908  -0.692 -0.752  -0.667 -0.595  -0.642 -0.439  -0.618 -0.283  -0.593 -0.126  -0.568 0.030  -0.544 0.186  -0.519 0.343  -0.494 0.499  -0.470 0.655  -0.445 0.812  -0.420 0.968  -0.342 0.959  -0.218 0.864  -0.076 0.794  0.074 0.760  0.201 0.684  0.327 0.592  0.469 0.521  0.620 0.492  0.766 0.440  0.908 0.369  1.063 0.358
1c#apa#apa13#app1353/z  -0.245 1.325  -0.135 1.325  -0.025 1.325  0.085 1.325  0.196 1.325  0.296 1.315  0.296 1.205  0.296 1.095  0.296 0.984  0.296 0.874  0.277 0.783  0.167 0.783  0.057 0.783  0.026 0.704  -0.029 0.648  -0.130 0.627  -0.208 0.550  -0.286 0.472  -0.364 0.394  -0.442 0.316  -0.520 0.238  -0.598 0.160  -0.676 0.082  -0.754 0.004  -0.786 -0.092  -0.786 -0.203  -0.786 -0.313  -0.786 -0.423  -0.786 -0.533  -0.734 -0.622  -0.657 -0.700  -0.549 -0.705  -0.461 -0.760  -0.383 -0.838  -0.274 -0.841  -0.164 -0.841  -0.054 -0.841  0.057 -0.841  0.167 -0.841  0.277 -0.841  0.387 -0.841  0.497 -0.841  0.607 -0.841  0.718 -0.841  0.828 -0.841  0.938 -0.841  1.048 -0.841  1.158 -0.841  1.269 -0.841  1.379 -0.841
1c#apa#apa13#app1353/o  -0.816 0.636  -0.816 0.496  -0.897 0.390  -0.982 0.286  -0.982 0.146  -0.982 0.007  -0.982 -0.133  -0.982 -0.272  -0.942 -0.395  -0.843 -0.494  -0.816 -0.622  -0.741 -0.686  -0.601 -0.686  -0.486 -0.710  -0.486 -0.850  -0.348 -0.851  -0.208 -0.851  -0.069 -0.851  0.071 -0.851  0.210 -0.851  0.349 -0.847  0.473 -0.784  0.598 -0.722  0.729 -0.686  0.836 -0.653  0.843 -0.521  0.982 -0.521  1.086 -0.435  1.166 -0.329  1.166 -0.189  1.166 -0.050  1.166 0.090  1.103 0.203  1.004 0.302  0.906 0.400  0.795 0.471  0.660 0.481  0.561 0.580  0.463 0.678  0.364 0.777  0.235 0.801  0.095 0.801  -0.044 0.801  -0.181 0.814  -0.305 0.876  -0.430 0.938  -0.563 0.966  -0.703 0.966  -0.842 0.966  -0.982 0.966
1c#apa#apa13#app1353/m  -1.549 0.522  -1.545 0.380  -1.443 0.278  -1.411 0.146  -1.364 0.013  -1.299 -0.116  -1.273 -0.254  -1.208 -0.371  -1.094 -0.445  -0.950 -0.445  -0.821 -0.407  -0.721 -0.304  -0.715 -0.162  -0.613 -0.060  -0.583 0.072  -0.583 0.216  -0.583 0.360  -0.497 0.469  -0.444 0.453  -0.444 0.308  -0.444 0.164  -0.444 0.020  -0.444 -0.125  -0.344 -0.168  -0.199 -0.168  -0.055 -0.168  0.089 -0.168  0.197 -0.080  0.299 0.022  0.401 0.124  0.503 0.226  0.639 0.246  0.747 0.333  0.849 0.435  0.958 0.522  1.075 0.549  1.075 0.627  1.075 0.482  1.075 0.338  1.038 0.209  0.937 0.107  0.937 -0.038  0.937 -0.182  0.937 -0.326  0.963 -0.445  1.097 -0.467  1.200 -0.570  1.213 -0.708  1.345 -0.721  1.489 -0.721
1c#apa#apa13#app1353/b  -0.453 2.051  -0.453 1.890  -0.453 1.728  -0.453 1.566  -0.453 1.405  -0.453 1.243  -0.453 1.081  -0.453 0.920  -0.453 0.758  -0.453 0.596  -0.453 0.435  -0.453 0.273  -0.453 0.111  -0.453 -0.050  -0.453 -0.212  -0.453 -0.374  -0.453 -0.535  -0.453 -0.697  -0.453 -0.669  -0.453 -0.508  -0.453 -0.346  -0.453 -0.184  -0.453 -0.023  -0.453 0.139  -0.453 0.301  -0.400 0.335  -0.270 0.260  -0.108 0.260  0.053 0.260  0.207 0.240  0.324 0.132  0.485 0.132  0.625 0.078  0.739 -0.036  0.853 -0.151  0.973 -0.252  1.083 -0.304  1.083 -0.466  1.083 -0.627  1.083 -0.789  1.041 -0.933  0.915 -1.020  0.754 -1.020  0.592 -1.020  0.430 -1.020  0.269 -1.020  0.107 -1.020  -0.055 -1.020  -0.211 -1.006  -0.325 -0.892
1c#apa#apa13#app1353/i  0.102 -0.395  0.102 -0.494  0.078 -0.584  0.020 -0.660  0.020 -0.759  0.020 -0.859  0.020 -0.958  0.020 -1.058  0.020 -1.158  0.060 -1.217  0.102 -1.275  0.177 -1.300  0.195 -1.382  0.262 -1.355  0.245 -1.257  0.227 -1.159  0.210 -1.060  0.193 -0.962  0.176 -0.864  0.158 -0.766  0.141 -0.668  0.124 -0.570  0.106 -0.472  0.089 -0.374  0.072 -0.276  0.054 -0.177  0.037 -0.079  0.020 0.019  0.002 0.117  -0.015 0.215  -0.032 0.313  -0.050 0.411  -0.067 0.509  -0.084 0.607  -0.101 0.706  -0.119 0.804  -0.136 0.902  -0.153 1.000  -0.171 1.098  -0.188 1.196  -0.205 1.294  -0.223 1.392  -0.227 1.492  -0.227 1.591  -0.227 1.632  -0.227 1.532  -0.227 1.433  -0.169 1.357  -0.144 1.268  -0.062 1.250
1c#apa#apa13#app1353/e  -1.164 0.177  -1.046 0.124  -0.940 0.060  -0.887 -0.057  -0.717 -0.057  -0.547 -0.057  -0.376 -0.057  -0.246 0.039  -0.084 0.060  0.086 0.060  0.219 0.151  0.339 0.272  0.460 0.392  0.614 0.430  0.714 0.559  0.714 0.729  0.697 0.890  0.545 0.966  0.383 0.999  0.212 0.999  0.067 0.938  -0.080 0.881  -0.243 0.863  -0.369 0.751  -0.521 0.675  -0.685 0.647  -0.808 0.533  -0.886 0.381  -0.981 0.243  -1.046 0.099  -1.046 -0.071  -0.999 -0.222  -0.879 -0.342  -0.736 -0.409  -0.567 -0.414  -0.415 -0.491  -0.262 -0.567  -0.110 -0.643  0.060 -0.644  0.231 -0.644  0.384 -0.714  0.544 -0.761  0.714 -0.761  0.882 -0.778  1.043 -0.832  1.206 -0.879  1.376 -0.879  1.547 -0.879  1.717 -0.879  1.887 -0.879
