1c#apa#apa00#app0070/t  0.420 1.977  0.277 1.938  0.211 1.806  0.125 1.682  0.107 1.530  0.047 1.395  0.002 1.254  0.002 1.095  0.002 0.935  0.002 0.776  -0.045 0.627  -0.102 0.481  -0.102 0.322  -0.102 0.162  -0.102 0.003  -0.102 -0.157  -0.102 -0.316  -0.102 -0.476  -0.102 -0.635  -0.102 -0.795  -0.102 -0.954  -0.044 -1.055  0.011 -1.159  0.171 -1.159  0.330 -1.159  0.490 -1.159  0.649 -1.159  0.809 -1.159  0.864 -1.055  0.876 -1.010  0.743 -0.922  0.611 -0.833  0.478 -0.745  0.345 -0.656  0.212 -0.568  0.080 -0.479  -0.053 -0.391  -0.186 -0.302  -0.318 -0.214  -0.451 -0.126  -0.584 -0.037  -0.716 0.051  -0.849 0.140  -0.887 0.200  -0.730 0.202  -0.672 0.304  -0.546 0.383  -0.399 0.417  -0.256 0.489  -0.102 0.513
1c#apa#apa00#app0070/p  -0.274 1.132  -0.274 0.945  -0.274 0.758  -0.274 0.570  -0.274 0.383  -0.274 0.196  -0.274 0.009  -0.274 -0.178  -0.274 -0.366  -0.274 -0.553  -0.274 -0.740  -0.274 -0.927  -0.170 -1.071  -0.170 -1.258  -0.091 -1.427  -0.065 -1.608  0.011 -1.763  0.036 -1.852  0.024 -1.665  0.011 -1.479  -0.001 -1.292  -0.014 -1.105  -0.026 -0.918  -0.038 -0.732  -0.051 -0.545  -0.063 -0.358  -0.076 -0.171  -0.088 0.016  -0.101 0.202  -0.113 0.389  -0.126 0.576  -0.138 0.763  -0.151 0.949  -0.163 1.136  -0.170 1.323  -0.104 1.445  0.070 1.414  0.227 1.341  0.396 1.297  0.558 1.236  0.665 1.096  0.665 0.908  0.665 0.721  0.665 0.534  0.553 0.393  0.421 0.261  0.289 0.129  0.126 0.070  -0.007 -0.062  -0.170 -0.121
1c#apa#apa00#app0070/h  -0.337 1.923  -0.352 1.782  -0.417 1.654  -0.448 1.517  -0.448 1.373  -0.448 1.229  -0.448 1.085  -0.448 0.941  -0.448 0.797  -0.448 0.653  -0.448 0.509  -0.448 0.365  -0.448 0.221  -0.448 0.077  -0.448 -0.067  -0.448 -0.211  -0.448 -0.355  -0.448 -0.499  -0.448 -0.643  -0.448 -0.787  -0.448 -0.931  -0.558 -0.942  -0.539 -0.803  -0.474 -0.674  -0.448 -0.536  -0.448 -0.392  -0.419 -0.260  -0.337 -0.150  -0.337 -0.006  -0.270 0.110  -0.143 0.153  -0.110 0.264  0.034 0.264  0.178 0.264  0.322 0.264  0.457 0.243  0.564 0.153  0.658 0.103  0.717 -0.016  0.769 -0.139  0.769 -0.283  0.866 -0.387  0.879 -0.525  0.879 -0.669  0.879 -0.813  0.960 -0.923  0.990 -1.055  1.008 -1.192  1.109 -1.294  1.211 -1.395
1c#apa#apa00#app0070/w  -1.094 1.074  -1.094 1.130  -1.094 0.965  -1.056 0.815  -0.984 0.680  -0.984 0.514  -0.984 0.349  -0.932 0.196  -0.873 0.045  -0.873 -0.121  -0.849 -0.276  -0.763 -0.406  -0.763 -0.571  -0.654 -0.691  -0.653 -0.751  -0.546 -0.693  -0.542 -0.531  -0.542 -0.366  -0.506 -0.215  -0.432 -0.081  -0.432 0.084  -0.390 0.232  -0.321 0.369  -0.309 0.522  -0.163 0.474  -0.100 0.335  -0.086 0.176  0.010 0.050  0.010 -0.115  0.109 -0.239  0.187 -0.384  0.278 -0.520  0.342 -0.659  0.434 -0.786  0.583 -0.824  0.712 -0.914  0.877 -0.914  0.911 -0.770  0.985 -0.622  1.012 -0.464  1.115 -0.342  1.115 -0.176  1.115 -0.011  1.115 0.154  1.115 0.320  1.115 0.485  1.123 0.648  1.197 0.796  1.225 0.955  1.336 1.074
1c#apa#apa00#app0070/o  0.371 1.340  0.236 1.340  0.195 1.246  0.142 1.164  0.010 1.156  -0.085 1.060  -0.181 0.965  -0.276 0.869  -0.387 0.811  -0.519 0.803  -0.615 0.707  -0.687 0.602  -0.687 0.467  -0.776 0.369  -0.863 0.270  -0.863 0.135  -0.863 -0.000  -0.863 -0.135  -0.863 -0.271  -0.863 -0.406  -0.780 -0.506  -0.687 -0.603  -0.687 -0.738  -0.618 -0.844  -0.522 -0.940  -0.404 -1.005  -0.284 -1.065  -0.163 -1.125  -0.028 -1.128  0.107 -1.128  0.242 -1.128  0.375 -1.123  0.471 -1.028  0.547 -0.925  0.547 -0.789  0.668 -0.775  0.723 -0.696  0.723 -0.560  0.723 -0.425  0.723 -0.290  0.723 -0.155  0.723 -0.020  0.723 0.115  0.723 0.250  0.723 0.385  0.723 0.520  0.709 0.649  0.614 0.745  0.547 0.852  0.547 0.988
1c#apa#apa00#app0070/r  -0.418 1.460  -0.418 1.323  -0.418 1.186  -0.418 1.050  -0.418 0.913  -0.418 0.777  -0.418 0.640  -0.418 0.504  -0.418 0.367  -0.418 0.230  -0.418 0.094  -0.418 -0.043  -0.418 -0.179  -0.418 -0.316  -0.418 -0.453  -0.418 -0.589  -0.418 -0.726  -0.382 -0.847  -0.285 -0.944  -0.243 -1.063  -0.243 -1.200  -0.243 -1.336  -0.243 -1.473  -0.243 -1.410  -0.182 -1.335  -0.069 -1.312  -0.069 -1.175  -0.069 -1.039  -0.069 -0.902  -0.069 -0.766  -0.069 -0.629  -0.069 -0.492  -0.069 -0.356  -0.021 -0.239  0.076 -0.143  0.106 -0.018  0.146 0.102  0.242 0.198  0.281 0.319  0.312 0.443  0.408 0.539  0.505 0.636  0.602 0.732  0.698 0.829  0.795 0.926  0.891 1.022  0.991 1.110  1.128 1.110  1.232 1.188  1.329 1.285
1c#apa#apa00#app0070/k  -0.434 2.122  -0.434 1.910  -0.434 1.698  -0.434 1.486  -0.434 1.274  -0.434 1.063  -0.434 0.851  -0.413 0.644  -0.318 0.454  -0.315 0.243  -0.315 0.031  -0.315 -0.181  -0.315 -0.393  -0.315 -0.605  -0.315 -0.817  -0.315 -1.029  -0.325 -1.237  -0.434 -1.403  -0.554 -1.436  -0.554 -1.224  -0.554 -1.012  -0.554 -0.800  -0.541 -0.590  -0.474 -0.389  -0.396 -0.193  -0.293 -0.009  -0.162 0.155  -0.058 0.328  0.044 0.438  0.197 0.567  0.372 0.656  0.571 0.687  0.783 0.687  0.995 0.687  1.001 0.481  0.941 0.328  0.762 0.296  0.637 0.209  0.425 0.209  0.263 0.089  0.051 0.089  0.044 -0.116  0.044 -0.328  0.164 -0.421  0.251 -0.596  0.330 -0.748  0.501 -0.847  0.653 -0.993  0.843 -1.088  1.001 -1.227
1c#apa#apa00#app0070/e  -1.576 -0.073  -1.399 -0.073  -1.223 -0.073  -1.047 -0.073  -0.871 -0.073  -0.695 -0.073  -0.518 -0.073  -0.342 -0.073  -0.166 -0.073  0.010 -0.073  0.186 -0.073  0.328 0.012  0.455 0.129  0.631 0.129  0.761 0.243  0.900 0.332  1.052 0.356  1.052 0.532  1.052 0.709  0.946 0.841  0.822 0.966  0.697 1.090  0.542 1.140  0.365 1.140  0.189 1.140  0.041 1.112  0.039 0.938  -0.137 0.938  -0.161 0.785  -0.288 0.736  -0.363 0.635  -0.396 0.467  -0.475 0.309  -0.554 0.151  -0.565 -0.022  -0.565 -0.198  -0.565 -0.375  -0.491 -0.477  -0.363 -0.525  -0.363 -0.701  -0.363 -0.877  -0.241 -1.003  -0.098 -1.083  0.067 -1.109  0.192 -1.234  0.347 -1.285  0.523 -1.285  0.699 -1.285  0.876 -1.285  1.052 -1.285
1c#apa#apa00#app0070/d  0.039 -0.175  -0.105 -0.075  -0.290 -0.075  -0.457 -0.094  -0.560 -0.179  -0.692 -0.310  -0.823 -0.441  -0.873 -0.609  -0.953 -0.776  -0.953 -0.962  -0.953 -1.147  -0.887 -1.267  -0.702 -1.267  -0.557 -1.168  -0.457 -1.024  -0.365 -0.877  -0.258 -0.794  -0.186 -0.625  -0.144 -0.451  -0.042 -0.296  0.039 -0.135  0.051 0.048  0.134 0.213  0.139 0.398  0.211 0.566  0.294 0.732  0.337 0.908  0.372 1.085  0.437 1.255  0.437 1.441  0.437 1.626  0.535 1.711  0.437 1.624  0.437 1.439  0.337 1.294  0.332 1.111  0.238 0.964  0.238 0.779  0.238 0.593  0.238 0.408  0.238 0.222  0.238 0.037  0.261 -0.145  0.320 -0.321  0.337 -0.504  0.420 -0.655  0.437 -0.833  0.542 -0.975  0.673 -1.106  0.834 -1.167
1c#apa#apa00#app0070/v  -0.595 1.571  -0.595 1.441  -0.595 1.312  -0.595 1.182  -0.595 1.052  -0.595 0.923  -0.595 0.793  -0.595 0.664  -0.595 0.534  -0.568 0.409  -0.527 0.286  -0.486 0.163  -0.445 0.040  -0.440 -0.089  -0.440 -0.219  -0.440 -0.348  -0.440 -0.478  -0.440 -0.608  -0.440 -0.737  -0.320 -0.746  -0.286 -0.842  -0.286 -0.972  -0.286 -1.101  -0.286 -1.231  -0.286 -1.360  -0.160 -1.364  -0.131 -1.262  -0.077 -1.155  0.014 -1.064  0.023 -0.938  0.064 -0.818  0.122 -0.702  0.182 -0.587  0.274 -0.495  0.332 -0.390  0.332 -0.260  0.332 -0.131  0.422 -0.038  0.513 0.053  0.605 0.145  0.641 0.260  0.641 0.389  0.662 0.510  0.753 0.602  0.845 0.694  0.937 0.785  0.999 0.898  1.057 1.014  1.129 1.108  1.259 1.108
1c#apa#apa00#app0070/e  0.082 0.116  0.206 0.116  0.237 0.210  0.300 0.271  0.415 0.294  0.502 0.382  0.608 0.426  0.702 0.457  0.702 0.581  0.826 0.581  0.857 0.675  0.857 0.800  0.824 0.891  0.702 0.893  0.702 1.017  0.606 1.046  0.482 1.046  0.368 1.022  0.280 0.934  0.173 0.891  0.052 0.877  -0.059 0.821  -0.170 0.766  -0.270 0.695  -0.358 0.607  -0.472 0.581  -0.538 0.524  -0.557 0.407  -0.645 0.319  -0.693 0.215  -0.693 0.091  -0.693 -0.034  -0.693 -0.158  -0.693 -0.282  -0.675 -0.404  -0.635 -0.522  -0.596 -0.639  -0.557 -0.757  -0.538 -0.879  -0.514 -0.993  -0.426 -1.081  -0.338 -1.169  -0.250 -1.256  -0.135 -1.278  -0.073 -1.341  -0.051 -1.456  0.037 -1.544  0.143 -1.588  0.267 -1.588  0.392 -1.588
1c#apa#apa00#app0070/n  -0.687 1.191  -0.687 1.058  -0.687 0.926  -0.687 0.794  -0.687 0.661  -0.687 0.529  -0.687 0.397  -0.687 0.264  -0.687 0.132  -0.687 0.000  -0.781 -0.094  -0.857 -0.194  -0.857 -0.327  -0.857 -0.459  -0.857 -0.591  -0.857 -0.724  -0.857 -0.842  -0.857 -0.710  -0.755 -0.679  -0.687 -0.615  -0.661 -0.509  -0.528 -0.509  -0.517 -0.388  -0.517 -0.256  -0.485 -0.137  -0.391 -0.044  -0.297 0.050  -0.204 0.144  -0.177 0.265  -0.121 0.341  0.006 0.354  0.100 0.447  0.206 0.511  0.338 0.511  0.471 0.511  0.603 0.511  0.717 0.467  0.811 0.373  0.904 0.280  0.998 0.186  1.091 0.092  1.183 -0.002  1.183 -0.134  1.252 -0.238  1.345 -0.332  1.439 -0.425  1.523 -0.523  1.523 -0.655  1.599 -0.756  1.693 -0.849
1c#apa#apa00#app0070/a  -1.154 0.449  -1.049 0.554  -0.944 0.660  -0.878 0.781  -0.811 0.864  -0.685 0.918  -0.571 1.002  -0.463 1.043  -0.412 1.140  -0.263 1.140  -0.114 1.140  0.035 1.140  0.184 1.140  0.332 1.140  0.481 1.140  0.504 1.013  0.504 0.865  0.399 0.759  0.365 0.624  0.286 0.508  0.227 0.384  0.159 0.277  0.026 0.210  -0.049 0.108  -0.102 -0.019  -0.187 -0.132  -0.215 -0.270  -0.320 -0.375  -0.325 -0.522  -0.325 -0.670  -0.325 -0.819  -0.325 -0.968  -0.325 -1.117  -0.325 -1.266  -0.257 -1.347  -0.109 -1.347  0.040 -1.347  0.189 -1.347  0.338 -1.347  0.365 -1.225  0.459 -1.115  0.542 -0.994  0.608 -0.861  0.642 -0.720  0.642 -0.571  0.642 -0.422  0.642 -0.273  0.642 -0.125  0.642 0.024  0.642 0.173
