1b#apa#apa03#app0369/A  -0.298 0.660  -0.298 0.386  -0.451 0.174  -0.451 -0.101  -0.605 -0.312  -0.682 -0.569  -0.758 -0.826  -0.758 -1.101  -0.896 -1.318  -0.911 -1.587  -0.758 -1.482  -0.758 -1.207  -0.605 -0.996  -0.605 -0.721  -0.451 -0.510  -0.395 -0.244  -0.308 0.017  -0.298 0.290  -0.298 0.565  -0.171 0.787  -0.145 1.051  -0.092 1.274  0.029 1.427  0.304 1.427  0.579 1.427  0.776 1.349  0.929 1.227  0.929 0.953  0.929 0.678  0.776 0.466  0.769 0.194  0.622 -0.020  0.622 -0.295  0.622 -0.570  0.622 -0.845  0.622 -1.120  0.480 -1.020  0.297 -0.814  0.115 -0.609  -0.068 -0.403  -0.251 -0.198  -0.433 0.008  -0.593 0.188  -0.376 0.047  -0.159 0.186  0.080 0.272  0.321 0.354  0.559 0.444  0.808 0.507  1.082 0.507
1b#apa#apa03#app0369/L  0.363 1.677  0.363 1.572  0.338 1.477  0.264 1.402  0.189 1.328  0.187 1.224  0.165 1.127  0.090 1.053  0.016 0.978  -0.059 0.904  -0.133 0.829  -0.208 0.755  -0.282 0.680  -0.342 0.599  -0.342 0.494  -0.397 0.444  -0.503 0.444  -0.518 0.354  -0.532 0.254  -0.606 0.180  -0.681 0.105  -0.694 0.006  -0.694 -0.100  -0.694 -0.205  -0.694 -0.311  -0.694 -0.416  -0.694 -0.521  -0.694 -0.627  -0.694 -0.732  -0.646 -0.789  -0.541 -0.789  -0.435 -0.789  -0.330 -0.789  -0.225 -0.789  -0.119 -0.789  -0.014 -0.789  0.092 -0.789  0.197 -0.789  0.302 -0.789  0.403 -0.769  0.497 -0.722  0.591 -0.675  0.686 -0.628  0.788 -0.613  0.893 -0.613  0.998 -0.613  1.104 -0.613  1.209 -0.613  1.314 -0.613  1.420 -0.613
1b#apa#apa03#app0369/M  -0.678 0.339  -0.535 0.293  -0.629 0.197  -0.678 0.057  -0.810 -0.078  -0.843 -0.254  -0.964 -0.393  -0.964 -0.583  -0.964 -0.772  -1.076 -0.915  -1.107 -1.092  -1.107 -1.183  -1.011 -1.089  -0.964 -0.947  -0.831 -0.813  -0.821 -0.628  -0.765 -0.461  -0.678 -0.308  -0.598 -0.152  -0.535 0.012  -0.431 0.158  -0.392 0.332  -0.264 0.468  -0.250 0.651  -0.177 0.768  -0.107 0.887  0.036 0.888  0.036 0.699  0.036 0.509  0.036 0.320  0.036 0.130  0.149 0.054  0.334 0.065  0.469 0.197  0.658 0.197  0.751 0.294  0.893 0.340  0.927 0.516  1.071 0.625  1.179 0.706  1.307 0.768  1.300 0.603  1.179 0.463  1.179 0.274  1.179 0.084  1.179 -0.105  1.135 -0.276  1.036 -0.425  1.036 -0.614  1.036 -0.804
1b#apa#apa03#app0369/N  -0.630 0.491  -0.630 0.318  -0.675 0.163  -0.772 0.029  -0.821 -0.125  -0.914 -0.260  -0.966 -0.412  -1.056 -0.549  -1.112 -0.700  -1.197 -0.838  -1.113 -0.927  -0.939 -0.927  -0.907 -0.785  -0.772 -0.747  -0.722 -0.594  -0.630 -0.458  -0.630 -0.284  -0.554 -0.142  -0.488 0.005  -0.408 0.145  -0.308 0.284  -0.230 0.440  -0.204 0.608  -0.100 0.738  -0.062 0.654  -0.062 0.480  -0.062 0.306  -0.062 0.132  -0.062 -0.041  -0.062 -0.215  0.059 -0.339  0.081 -0.503  0.204 -0.626  0.371 -0.644  0.545 -0.644  0.647 -0.572  0.750 -0.502  0.885 -0.406  0.931 -0.251  0.931 -0.077  1.053 0.046  1.073 0.212  1.073 0.385  1.073 0.559  1.143 0.704  1.215 0.848  1.215 1.022  1.215 1.196  1.334 1.320  1.356 1.485
1b#apa#apa03#app0369/O  -0.721 0.528  -0.622 0.430  -0.630 0.331  -0.721 0.229  -0.725 0.091  -0.824 -0.007  -0.865 -0.129  -0.865 -0.269  -0.865 -0.408  -0.865 -0.548  -0.865 -0.687  -0.809 -0.770  -0.721 -0.822  -0.674 -0.915  -0.547 -0.944  -0.448 -1.043  -0.315 -1.059  -0.176 -1.059  -0.036 -1.059  0.073 -0.986  0.183 -0.915  0.322 -0.915  0.453 -0.894  0.552 -0.796  0.681 -0.770  0.791 -0.700  0.866 -0.592  0.866 -0.452  0.866 -0.313  0.866 -0.173  0.866 -0.034  0.866 0.106  0.866 0.245  0.866 0.384  0.803 0.509  0.741 0.634  0.679 0.759  0.616 0.883  0.525 0.961  0.433 1.009  0.390 1.105  0.250 1.105  0.111 1.105  -0.028 1.105  -0.168 1.105  -0.288 1.086  -0.303 0.961  -0.433 0.951  -0.437 0.817  -0.577 0.817
1b#apa#apa03#app0369/P  -0.403 0.378  -0.403 0.211  -0.444 0.061  -0.540 -0.066  -0.540 -0.233  -0.540 -0.400  -0.540 -0.567  -0.644 -0.690  -0.678 -0.843  -0.678 -1.010  -0.678 -1.177  -0.678 -1.344  -0.776 -1.413  -0.793 -1.289  -0.762 -1.125  -0.731 -0.961  -0.700 -0.797  -0.670 -0.633  -0.639 -0.469  -0.608 -0.305  -0.577 -0.141  -0.547 0.023  -0.516 0.187  -0.485 0.351  -0.454 0.515  -0.424 0.679  -0.350 0.791  -0.207 0.849  -0.073 0.929  0.094 0.929  0.261 0.929  0.428 0.929  0.595 0.929  0.761 0.929  0.928 0.929  1.095 0.929  1.124 0.791  1.251 0.751  1.251 0.584  1.251 0.417  1.251 0.250  1.232 0.102  1.079 0.068  0.955 -0.036  0.802 -0.071  0.678 -0.173  0.511 -0.173  0.344 -0.173  0.178 -0.173  0.011 -0.173
1b#apa#apa03#app0369/Q  -0.423 0.696  -0.624 0.696  -0.825 0.696  -0.881 0.552  -1.082 0.552  -1.144 0.415  -1.289 0.358  -1.289 0.158  -1.289 -0.043  -1.289 -0.243  -1.196 -0.406  -1.054 -0.547  -0.876 -0.601  -0.728 -0.729  -0.586 -0.871  -0.393 -0.890  -0.193 -0.890  0.008 -0.890  0.208 -0.890  0.409 -0.890  0.592 -0.815  0.762 -0.713  0.874 -0.559  0.874 -0.358  0.874 -0.158  0.874 0.043  0.874 0.244  0.849 0.434  0.715 0.581  0.626 0.761  0.507 0.919  0.365 1.061  0.193 1.129  -0.008 1.129  -0.208 1.129  -0.234 1.008  -0.163 0.820  -0.093 0.632  -0.023 0.444  0.048 0.257  0.118 0.069  0.254 -0.024  0.442 -0.038  0.511 -0.169  0.586 -0.295  0.715 -0.442  0.755 -0.626  0.874 -0.777  0.962 -0.890  1.018 -1.034
1b#apa#apa03#app0369/R  -0.576 0.284  -0.576 0.072  -0.579 -0.138  -0.716 -0.294  -0.716 -0.506  -0.716 -0.718  -0.716 -0.930  -0.716 -1.142  -0.716 -1.354  -0.712 -1.220  -0.685 -1.010  -0.659 -0.800  -0.633 -0.589  -0.607 -0.379  -0.580 -0.168  -0.554 0.042  -0.528 0.252  -0.501 0.463  -0.475 0.673  -0.449 0.883  -0.325 0.983  -0.157 1.027  -0.040 1.123  0.172 1.123  0.384 1.123  0.596 1.123  0.808 1.123  1.020 1.123  1.232 1.123  1.241 0.920  1.241 0.708  1.056 0.611  0.886 0.488  0.701 0.424  0.545 0.287  0.335 0.284  0.164 0.185  -0.030 0.138  -0.220 0.043  -0.386 -0.085  -0.337 -0.234  -0.146 -0.286  0.004 -0.435  0.154 -0.585  0.321 -0.694  0.402 -0.825  0.542 -0.897  0.677 -0.974  0.750 -1.114  0.822 -1.253
1b#apa#apa03#app0369/S  0.987 0.799  0.824 0.799  0.661 0.799  0.498 0.799  0.350 0.836  0.234 0.949  0.071 0.949  -0.092 0.949  -0.255 0.949  -0.418 0.949  -0.581 0.949  -0.744 0.949  -0.907 0.949  -1.038 0.872  -1.110 0.739  -1.110 0.576  -1.049 0.438  -0.923 0.350  -0.775 0.313  -0.659 0.200  -0.500 0.189  -0.385 0.074  -0.232 0.050  -0.069 0.050  0.093 0.046  0.208 -0.070  0.358 -0.100  0.521 -0.100  0.684 -0.100  0.847 -0.100  1.010 -0.100  1.137 -0.136  1.102 -0.285  0.987 -0.400  0.973 -0.549  0.810 -0.549  0.687 -0.590  0.650 -0.737  0.533 -0.849  0.388 -0.867  0.357 -0.999  0.194 -0.999  0.031 -0.999  -0.132 -0.999  -0.295 -0.999  -0.458 -0.999  -0.621 -0.999  -0.784 -0.999  -0.947 -0.999  -1.110 -0.999
1b#apa#apa03#app0369/T  0.171 -0.110  0.289 -0.135  0.289 -0.278  0.212 -0.345  0.171 -0.447  0.081 -0.553  0.053 -0.684  -0.005 -0.814  -0.064 -0.943  -0.064 -1.086  -0.064 -1.229  -0.064 -1.372  -0.064 -1.515  -0.108 -1.391  -0.153 -1.255  -0.198 -1.120  -0.243 -0.984  -0.289 -0.848  -0.334 -0.712  -0.379 -0.577  -0.424 -0.441  -0.470 -0.305  -0.515 -0.169  -0.560 -0.033  -0.605 0.102  -0.651 0.238  -0.696 0.374  -0.741 0.510  -0.787 0.646  -0.832 0.781  -0.877 0.917  -0.810 0.872  -0.709 0.771  -0.590 0.714  -0.447 0.714  -0.303 0.714  -0.160 0.714  -0.017 0.714  0.126 0.714  0.269 0.714  0.412 0.714  0.555 0.714  0.699 0.714  0.842 0.714  0.985 0.714  1.128 0.714  1.271 0.714  1.414 0.714  1.557 0.714  1.700 0.714
1b#apa#apa03#app0369/U  -0.199 1.140  -0.067 1.140  -0.092 1.140  -0.199 1.115  -0.199 0.983  -0.303 0.955  -0.385 0.904  -0.385 0.772  -0.476 0.677  -0.570 0.584  -0.571 0.452  -0.571 0.320  -0.595 0.212  -0.727 0.212  -0.756 0.109  -0.756 -0.024  -0.756 -0.156  -0.885 -0.159  -0.942 -0.235  -0.942 -0.367  -0.942 -0.499  -0.871 -0.602  -0.777 -0.695  -0.756 -0.819  -0.707 -0.902  -0.575 -0.902  -0.442 -0.902  -0.310 -0.902  -0.178 -0.902  -0.046 -0.902  0.086 -0.902  0.219 -0.902  0.351 -0.902  0.446 -0.813  0.540 -0.720  0.543 -0.589  0.596 -0.478  0.689 -0.385  0.783 -0.291  0.876 -0.198  0.915 -0.082  0.915 0.051  0.915 0.183  0.988 0.285  1.081 0.378  1.100 0.503  1.137 0.620  1.230 0.713  1.286 0.822  1.286 0.955
1b#apa#apa03#app0369/V  -0.673 1.078  -0.673 0.960  -0.673 0.842  -0.673 0.724  -0.673 0.606  -0.673 0.488  -0.673 0.370  -0.673 0.252  -0.673 0.134  -0.673 0.016  -0.673 -0.102  -0.673 -0.219  -0.673 -0.337  -0.673 -0.455  -0.673 -0.573  -0.673 -0.691  -0.673 -0.809  -0.673 -0.927  -0.673 -1.045  -0.602 -1.091  -0.484 -1.091  -0.366 -1.091  -0.279 -1.060  -0.279 -0.942  -0.209 -0.894  -0.091 -0.894  -0.005 -0.817  0.078 -0.734  0.162 -0.650  0.245 -0.567  0.312 -0.477  0.312 -0.359  0.356 -0.259  0.439 -0.176  0.510 -0.087  0.510 0.031  0.510 0.149  0.510 0.267  0.577 0.357  0.661 0.440  0.730 0.533  0.783 0.639  0.836 0.744  0.889 0.850  0.963 0.940  1.046 1.023  1.101 1.118  1.101 1.236  1.180 1.275  1.298 1.275
1b#apa#apa03#app0369/W  -1.130 0.606  -1.138 0.466  -1.240 0.364  -1.262 0.229  -1.262 0.086  -1.262 -0.058  -1.262 -0.202  -1.262 -0.345  -1.222 -0.449  -1.078 -0.449  -0.935 -0.449  -0.866 -0.374  -0.779 -0.318  -0.664 -0.248  -0.563 -0.146  -0.470 -0.041  -0.453 0.096  -0.351 0.197  -0.338 0.336  -0.334 0.478  -0.233 0.580  -0.100 0.606  -0.075 0.487  -0.075 0.344  -0.075 0.200  -0.075 0.056  -0.075 -0.087  -0.075 -0.231  -0.075 -0.375  -0.026 -0.498  0.076 -0.600  0.177 -0.701  0.316 -0.713  0.460 -0.713  0.598 -0.700  0.700 -0.598  0.801 -0.497  0.849 -0.373  0.911 -0.255  1.026 -0.186  1.112 -0.128  1.112 0.016  1.170 0.136  1.244 0.249  1.244 0.392  1.288 0.518  1.376 0.625  1.376 0.769  1.406 0.900  1.508 1.001
1b#apa#apa03#app0369/X  -1.016 0.825  -0.892 0.702  -0.768 0.578  -0.708 0.428  -0.629 0.286  -0.506 0.162  -0.401 0.031  -0.367 -0.130  -0.247 -0.256  -0.221 -0.404  -0.060 -0.438  0.064 -0.561  0.188 -0.685  0.311 -0.809  0.435 -0.932  0.559 -1.056  0.686 -1.172  0.831 -1.140  0.843 -0.965  0.856 -0.791  0.868 -0.616  0.880 -0.442  0.893 -0.268  0.905 -0.093  0.918 0.081  0.930 0.256  0.943 0.430  0.955 0.605  0.968 0.779  0.980 0.954  0.833 0.979  0.675 0.962  0.636 0.825  0.461 0.825  0.310 0.768  0.175 0.672  0.000 0.672  -0.151 0.615  -0.282 0.501  -0.438 0.423  -0.575 0.324  -0.653 0.168  -0.754 0.034  -0.910 -0.044  -1.041 -0.148  -1.119 -0.304  -1.214 -0.449  -1.323 -0.579  -1.353 -0.741  -1.476 -0.865
1b#apa#apa03#app0369/Y  -0.632 1.006  -0.632 0.834  -0.658 0.674  -0.779 0.553  -0.785 0.384  -0.785 0.213  -0.785 0.041  -0.785 -0.130  -0.701 -0.217  -0.632 -0.320  -0.511 -0.370  -0.340 -0.370  -0.169 -0.370  -0.020 -0.347  0.021 -0.217  0.175 -0.175  0.300 -0.065  0.462 -0.041  0.583 0.080  0.704 0.201  0.825 0.322  0.897 0.464  0.897 0.635  0.972 0.775  1.050 0.915  1.050 1.086  1.050 1.257  0.980 1.218  0.877 1.081  0.774 0.944  0.671 0.807  0.569 0.670  0.466 0.533  0.363 0.396  0.260 0.259  0.157 0.122  0.055 -0.016  -0.048 -0.153  -0.151 -0.290  -0.254 -0.427  -0.326 -0.574  -0.375 -0.725  -0.479 -0.853  -0.521 -0.982  -0.632 -1.043  -0.632 -1.214  -0.632 -1.385  -0.632 -1.557  -0.632 -1.728  -0.632 -1.899
1b#apa#apa03#app0369/Z  -0.853 1.184  -0.834 1.061  -0.693 1.061  -0.551 1.061  -0.410 1.061  -0.269 1.061  -0.127 1.061  0.014 1.061  0.156 1.061  0.297 1.061  0.438 1.061  0.501 0.982  0.403 0.938  0.378 0.823  0.283 0.720  0.255 0.591  0.170 0.484  0.070 0.385  -0.030 0.285  -0.130 0.185  -0.230 0.085  -0.330 -0.015  -0.360 -0.144  -0.477 -0.169  -0.579 -0.264  -0.709 -0.292  -0.729 -0.413  -0.853 -0.431  -0.887 -0.538  -0.976 -0.591  -0.904 -0.661  -0.763 -0.661  -0.622 -0.661  -0.517 -0.750  -0.390 -0.784  -0.248 -0.784  -0.107 -0.784  0.034 -0.784  0.176 -0.784  0.317 -0.784  0.458 -0.784  0.600 -0.784  0.741 -0.784  0.760 -0.661  0.901 -0.661  1.042 -0.661  1.184 -0.661  1.325 -0.661  1.467 -0.661  1.608 -0.661
