2#app#app33#app3319/A  -0.305 1.579  -0.305 1.479  -0.305 1.215  -0.305 0.952  -0.305 0.688  -0.305 0.424  -0.338 0.166  -0.387 -0.090  -0.387 -0.354  -0.387 -0.618  -0.387 -0.881  -0.470 -1.111  -0.552 -1.341  -0.552 -1.315  -0.552 -1.051  -0.508 -0.797  -0.467 -0.543  -0.415 -0.284  -0.387 -0.023  -0.317 0.229  -0.305 0.491  -0.280 0.750  -0.223 1.005  -0.165 1.259  -0.094 1.508  0.072 1.612  0.211 1.450  0.329 1.214  0.434 0.975  0.448 0.714  0.532 0.463  0.598 0.211  0.598 -0.053  0.674 -0.299  0.680 -0.561  0.762 -0.806  0.762 -1.069  0.762 -1.333  0.762 -1.486  0.601 -1.286  0.421 -1.093  0.242 -0.899  0.063 -0.706  -0.117 -0.513  -0.296 -0.320  -0.302 -0.225  -0.116 -0.038  0.071 0.148  0.305 0.218  0.516 0.347
2#app#app33#app3319/n  -0.500 1.093  -0.500 0.938  -0.500 0.784  -0.500 0.629  -0.545 0.493  -0.610 0.366  -0.610 0.211  -0.610 0.056  -0.610 -0.098  -0.610 -0.253  -0.610 -0.408  -0.610 -0.562  -0.610 -0.717  -0.610 -0.872  -0.610 -1.026  -0.651 -1.164  -0.721 -1.290  -0.721 -1.246  -0.721 -1.091  -0.687 -0.945  -0.618 -0.806  -0.610 -0.653  -0.560 -0.519  -0.469 -0.397  -0.400 -0.259  -0.389 -0.107  -0.361 0.041  -0.291 0.180  -0.222 0.318  -0.145 0.450  -0.036 0.560  0.067 0.674  0.136 0.813  0.228 0.934  0.363 0.982  0.518 0.982  0.654 0.937  0.781 0.871  0.877 0.777  0.941 0.638  0.981 0.499  1.052 0.374  1.052 0.220  1.115 0.080  1.163 -0.064  1.228 -0.191  1.274 -0.327  1.274 -0.482  1.274 -0.636  1.274 -0.791
2#app#app33#app3319/a  0.420 -0.127  0.294 -0.056  0.294 0.140  0.294 0.336  0.294 0.532  0.294 0.729  0.260 0.911  0.169 1.069  0.169 1.265  0.169 1.461  0.141 1.629  0.043 1.530  -0.077 1.384  -0.212 1.243  -0.300 1.068  -0.420 0.915  -0.493 0.739  -0.540 0.549  -0.591 0.360  -0.679 0.184  -0.800 0.033  -0.835 -0.149  -0.900 -0.318  -0.960 -0.489  -0.960 -0.685  -0.960 -0.882  -0.960 -1.078  -0.859 -1.232  -0.672 -1.256  -0.476 -1.256  -0.333 -1.129  -0.261 -1.005  -0.080 -0.941  0.043 -0.821  0.047 -0.629  0.169 -0.554  0.183 -0.364  0.321 -0.225  0.420 -0.070  0.421 0.126  0.560 0.264  0.671 0.335  0.671 0.139  0.671 -0.057  0.671 -0.253  0.796 -0.398  0.796 -0.594  0.921 -0.665  0.997 -0.829  1.172 -0.879
2#app#app33#app3319/n  -0.231 1.041  -0.287 0.937  -0.342 0.832  -0.440 0.770  -0.450 0.613  -0.545 0.492  -0.581 0.341  -0.655 0.199  -0.754 0.079  -0.754 -0.081  -0.754 -0.241  -0.754 -0.402  -0.754 -0.562  -0.754 -0.722  -0.754 -0.883  -0.754 -1.043  -0.754 -1.203  -0.652 -1.261  -0.650 -1.103  -0.650 -0.942  -0.650 -0.782  -0.568 -0.656  -0.545 -0.505  -0.489 -0.368  -0.440 -0.227  -0.421 -0.072  -0.349 0.072  -0.278 0.215  -0.206 0.359  -0.134 0.502  -0.026 0.619  0.088 0.732  0.201 0.845  0.324 0.937  0.484 0.937  0.644 0.937  0.805 0.937  0.847 0.800  0.920 0.670  0.971 0.522  1.025 0.374  1.055 0.219  1.106 0.067  1.129 -0.090  1.129 -0.250  1.129 -0.410  1.129 -0.571  1.129 -0.731  1.129 -0.891  1.129 -1.052
2#app#app33#app3319/d  0.694 1.845  0.694 1.697  0.633 1.564  0.540 1.451  0.535 1.306  0.504 1.162  0.468 1.019  0.412 0.883  0.376 0.744  0.376 0.596  0.376 0.448  0.376 0.301  0.376 0.153  0.376 0.005  0.376 -0.142  0.376 -0.290  0.376 -0.438  0.456 -0.552  0.456 -0.700  0.456 -0.556  0.456 -0.408  0.456 -0.260  0.456 -0.113  0.456 0.035  0.456 0.183  0.401 0.308  0.376 0.445  0.275 0.492  0.128 0.492  -0.007 0.449  -0.130 0.367  -0.258 0.294  -0.390 0.228  -0.511 0.151  -0.577 0.019  -0.680 -0.087  -0.784 -0.191  -0.863 -0.314  -0.929 -0.446  -0.977 -0.583  -0.977 -0.730  -0.977 -0.878  -0.977 -1.026  -0.924 -1.152  -0.791 -1.192  -0.659 -1.258  -0.531 -1.306  -0.397 -1.338  -0.249 -1.338  -0.101 -1.338
2#app#app33#app3319/h  -0.092 1.790  -0.013 1.862  0.053 1.776  0.011 1.634  -0.051 1.495  -0.107 1.353  -0.164 1.212  -0.201 1.065  -0.238 0.917  -0.238 0.765  -0.277 0.622  -0.329 0.480  -0.366 0.332  -0.383 0.182  -0.411 0.035  -0.456 -0.110  -0.464 -0.261  -0.528 -0.397  -0.528 -0.550  -0.528 -0.702  -0.541 -0.851  -0.601 -0.989  -0.648 -1.043  -0.601 -0.938  -0.601 -0.786  -0.548 -0.647  -0.528 -0.499  -0.477 -0.359  -0.381 -0.243  -0.287 -0.125  -0.208 0.003  -0.101 0.111  0.014 0.208  0.145 0.284  0.275 0.337  0.427 0.337  0.574 0.324  0.634 0.197  0.700 0.060  0.707 -0.090  0.779 -0.212  0.779 -0.364  0.779 -0.517  0.779 -0.669  0.707 -0.791  0.707 -0.943  0.707 -1.095  0.707 -1.247  0.707 -1.400  0.707 -1.552
2#app#app33#app3319/i  0.250 0.475  0.159 0.384  0.068 0.293  -0.023 0.202  -0.046 0.082  -0.066 -0.038  -0.150 -0.134  -0.191 -0.256  -0.232 -0.378  -0.243 -0.505  -0.254 -0.632  -0.311 -0.747  -0.342 -0.869  -0.342 -0.997  -0.342 -1.126  -0.342 -1.255  -0.284 -1.360  -0.243 -1.472  -0.243 -1.596  -0.213 -1.471  -0.182 -1.345  -0.152 -1.220  -0.122 -1.095  -0.092 -0.970  -0.061 -0.844  -0.031 -0.719  -0.001 -0.594  0.029 -0.468  0.060 -0.343  0.090 -0.218  0.120 -0.092  0.150 0.033  0.181 0.158  0.211 0.283  0.241 0.409  0.271 0.534  0.302 0.659  0.332 0.785  0.362 0.910  0.392 1.035  0.423 1.160  0.427 1.265  0.313 1.301  0.222 1.393  0.122 1.463  0.010 1.505  -0.095 1.561  -0.145 1.641  -0.038 1.652  0.053 1.561
2#app#app33#app3319/d  0.675 1.855  0.616 1.889  0.567 1.732  0.489 1.576  0.411 1.419  0.352 1.255  0.299 1.089  0.257 0.920  0.215 0.751  0.214 0.576  0.214 0.401  0.214 0.227  0.214 0.052  0.214 -0.122  0.214 -0.297  0.214 -0.471  0.214 -0.646  0.214 -0.820  0.276 -0.969  0.306 -1.051  0.393 -0.913  0.432 -0.748  0.491 -0.588  0.491 -0.413  0.491 -0.239  0.491 -0.064  0.491 0.110  0.429 0.259  0.370 0.410  0.247 0.533  0.086 0.566  -0.089 0.566  -0.257 0.531  -0.423 0.476  -0.505 0.324  -0.619 0.195  -0.775 0.117  -0.865 -0.028  -0.973 -0.162  -0.983 -0.332  -0.983 -0.507  -0.983 -0.682  -0.923 -0.842  -0.819 -0.979  -0.658 -1.023  -0.500 -1.091  -0.356 -1.166  -0.189 -1.183  -0.028 -1.217  0.122 -1.276
2#app#app33#app3319/e  -0.607 0.222  -0.505 0.120  -0.370 0.130  -0.263 0.222  -0.119 0.222  0.026 0.222  0.159 0.234  0.206 0.331  0.351 0.331  0.496 0.331  0.640 0.331  0.785 0.331  0.930 0.331  1.075 0.331  1.090 0.385  1.034 0.507  1.034 0.652  1.015 0.788  0.912 0.891  0.808 0.988  0.663 0.988  0.518 0.988  0.374 0.988  0.229 0.988  0.159 0.913  0.081 0.801  -0.040 0.724  -0.170 0.659  -0.234 0.530  -0.311 0.409  -0.413 0.307  -0.515 0.204  -0.612 0.098  -0.658 -0.039  -0.703 -0.177  -0.790 -0.289  -0.826 -0.419  -0.826 -0.563  -0.826 -0.708  -0.826 -0.853  -0.814 -0.993  -0.712 -1.095  -0.610 -1.198  -0.475 -1.223  -0.373 -1.325  -0.268 -1.423  -0.131 -1.469  0.007 -1.514  0.139 -1.573  0.268 -1.638
2#app#app33#app3319/o  0.126 0.587  0.126 0.732  0.070 0.820  -0.075 0.820  -0.219 0.820  -0.322 0.720  -0.424 0.618  -0.545 0.542  -0.674 0.478  -0.779 0.379  -0.803 0.245  -0.865 0.115  -0.930 -0.014  -0.994 -0.143  -1.035 -0.278  -1.035 -0.422  -1.035 -0.567  -1.021 -0.705  -0.919 -0.807  -0.817 -0.909  -0.681 -0.929  -0.579 -1.031  -0.437 -1.039  -0.293 -1.039  -0.149 -1.039  -0.004 -1.039  0.140 -1.039  0.272 -1.009  0.374 -0.907  0.477 -0.806  0.591 -0.776  0.632 -0.649  0.734 -0.547  0.832 -0.441  0.896 -0.312  0.939 -0.178  0.939 -0.033  0.939 0.111  0.939 0.255  0.925 0.397  0.879 0.534  0.834 0.671  0.823 0.814  0.699 0.882  0.568 0.936  0.438 0.972  0.327 1.052  0.183 1.052  0.038 1.052  -0.106 1.052
2#app#app33#app3319/u  -0.581 1.231  -0.581 1.113  -0.581 0.996  -0.581 0.878  -0.649 0.789  -0.706 0.694  -0.727 0.586  -0.810 0.502  -0.830 0.393  -0.830 0.276  -0.830 0.158  -0.830 0.040  -0.830 -0.077  -0.830 -0.195  -0.830 -0.312  -0.813 -0.426  -0.760 -0.531  -0.708 -0.636  -0.626 -0.720  -0.542 -0.803  -0.459 -0.887  -0.376 -0.970  -0.277 -1.015  -0.159 -1.015  -0.042 -1.015  0.076 -1.015  0.193 -1.015  0.305 -1.001  0.389 -0.918  0.472 -0.835  0.555 -0.752  0.638 -0.669  0.666 -0.563  0.666 -0.445  0.666 -0.328  0.692 -0.216  0.744 -0.111  0.791 -0.004  0.791 0.113  0.791 0.231  0.791 0.349  0.791 0.466  0.791 0.584  0.791 0.702  0.791 0.819  0.791 0.937  0.740 1.033  0.666 1.120  0.659 1.231  0.542 1.231
2#app#app33#app3319/s  0.125 1.102  0.112 1.210  -0.008 1.210  -0.129 1.210  -0.249 1.210  -0.352 1.165  -0.446 1.102  -0.566 1.102  -0.687 1.102  -0.739 1.034  -0.820 0.994  -0.847 0.901  -0.773 0.811  -0.688 0.726  -0.590 0.669  -0.486 0.632  -0.394 0.561  -0.283 0.538  -0.198 0.453  -0.077 0.453  0.036 0.435  0.121 0.349  0.206 0.264  0.307 0.200  0.415 0.146  0.449 0.047  0.449 -0.073  0.525 -0.163  0.610 -0.248  0.665 -0.346  0.690 -0.460  0.744 -0.568  0.773 -0.682  0.773 -0.802  0.773 -0.923  0.773 -1.043  0.699 -1.133  0.592 -1.167  0.472 -1.167  0.351 -1.167  0.230 -1.167  0.111 -1.160  0.004 -1.106  -0.106 -1.059  -0.218 -1.040  -0.304 -0.955  -0.389 -0.869  -0.498 -0.843  -0.523 -0.747  -0.631 -0.735
2#app#app33#app3319/l  -0.181 1.524  -0.110 1.524  -0.039 1.524  0.021 1.497  0.071 1.447  0.081 1.380  0.081 1.309  0.081 1.238  0.081 1.167  0.081 1.096  0.081 1.025  0.081 0.954  0.081 0.883  0.081 0.812  0.081 0.741  0.081 0.670  0.081 0.600  0.081 0.529  0.081 0.458  0.080 0.387  0.058 0.320  0.036 0.252  0.013 0.185  -0.006 0.117  -0.006 0.046  -0.006 -0.025  -0.006 -0.096  -0.006 -0.167  -0.006 -0.238  -0.006 -0.308  -0.006 -0.379  -0.006 -0.450  -0.006 -0.521  -0.006 -0.592  -0.006 -0.663  -0.006 -0.734  -0.006 -0.805  -0.006 -0.876  -0.018 -0.944  -0.050 -1.008  -0.081 -1.071  -0.094 -1.139  -0.094 -1.210  -0.094 -1.281  -0.094 -1.352  -0.094 -1.423  -0.094 -1.494  -0.094 -1.565  -0.094 -1.636  -0.094 -1.707
2#app#app33#app3319/y  -0.168 1.215  -0.271 1.065  -0.280 0.883  -0.280 0.698  -0.168 0.594  -0.038 0.539  0.146 0.539  0.284 0.651  0.396 0.757  0.452 0.928  0.522 1.087  0.565 1.264  0.559 1.446  0.396 1.496  0.293 1.346  0.210 1.182  0.171 1.006  0.118 0.831  0.114 0.647  0.114 0.462  0.114 0.278  0.114 0.094  0.153 -0.084  0.171 -0.266  0.205 -0.446  0.257 -0.623  0.283 -0.803  0.283 -0.987  0.283 -1.172  0.283 -1.356  0.235 -1.529  0.085 -1.603  -0.100 -1.603  -0.256 -1.517  -0.381 -1.401  -0.528 -1.298  -0.658 -1.168  -0.718 -1.017  -0.787 -0.876  -0.787 -0.691  -0.751 -0.515  -0.668 -0.351  -0.567 -0.199  -0.434 -0.073  -0.269 0.009  -0.092 0.041  0.082 0.088  0.253 0.144  0.437 0.144  0.621 0.144
