1c#apb#apb17#app1793/a  0.317 0.070  0.387 0.252  0.496 0.413  0.612 0.570  0.750 0.708  0.836 0.881  0.893 1.067  0.889 1.260  0.792 1.392  0.601 1.350  0.434 1.249  0.267 1.147  0.105 1.039  -0.041 0.909  -0.187 0.779  -0.332 0.649  -0.463 0.504  -0.595 0.360  -0.727 0.216  -0.858 0.072  -0.952 -0.099  -1.046 -0.271  -1.139 -0.442  -1.216 -0.621  -1.286 -0.804  -1.204 -0.971  -1.064 -1.103  -0.891 -1.128  -0.704 -1.071  -0.539 -0.972  -0.380 -0.857  -0.222 -0.743  -0.084 -0.605  0.049 -0.462  0.179 -0.317  0.287 -0.154  0.395 0.008  0.483 0.182  0.565 0.360  0.602 0.480  0.527 0.301  0.459 0.118  0.393 -0.066  0.339 -0.253  0.292 -0.442  0.277 -0.637  0.286 -0.829  0.353 -1.012  0.468 -1.166  0.599 -1.311
1c#apb#apb17#app1793/l  0.129 0.613  0.163 0.689  0.197 0.765  0.230 0.841  0.265 0.918  0.302 0.992  0.340 1.067  0.377 1.142  0.402 1.221  0.418 1.303  0.432 1.288  0.452 1.211  0.434 1.129  0.417 1.047  0.399 0.966  0.382 0.884  0.364 0.802  0.336 0.724  0.304 0.647  0.272 0.570  0.239 0.493  0.207 0.416  0.174 0.339  0.142 0.262  0.110 0.185  0.078 0.107  0.048 0.030  0.018 -0.048  -0.012 -0.126  -0.043 -0.204  -0.073 -0.282  -0.103 -0.360  -0.134 -0.437  -0.167 -0.514  -0.200 -0.590  -0.234 -0.667  -0.267 -0.743  -0.301 -0.820  -0.334 -0.897  -0.368 -0.973  -0.401 -1.050  -0.434 -1.127  -0.466 -1.203  -0.499 -1.280  -0.532 -1.357  -0.564 -1.434  -0.588 -1.514  -0.612 -1.594  -0.636 -1.674  -0.660 -1.754
1c#apb#apb17#app1793/m  -0.629 0.726  -0.623 0.592  -0.664 0.412  -0.690 0.228  -0.753 0.055  -0.831 -0.114  -0.914 -0.280  -0.997 -0.446  -1.111 -0.592  -1.212 -0.747  -1.285 -0.802  -1.244 -0.626  -1.177 -0.453  -1.104 -0.282  -1.024 -0.115  -0.936 0.049  -0.816 0.187  -0.678 0.312  -0.525 0.417  -0.363 0.497  -0.177 0.497  0.003 0.454  0.134 0.332  0.170 0.150  0.195 -0.034  0.149 -0.213  0.063 -0.374  -0.051 -0.521  -0.186 -0.646  -0.285 -0.515  -0.249 -0.339  -0.154 -0.180  -0.049 -0.027  0.057 0.126  0.208 0.233  0.361 0.338  0.529 0.416  0.698 0.495  0.868 0.568  1.040 0.633  1.225 0.616  1.393 0.546  1.514 0.419  1.586 0.247  1.558 0.069  1.513 -0.111  1.468 -0.292  1.393 -0.461  1.324 -0.632  1.275 -0.811
1c#apb#apb17#app1793/n  -0.433 0.644  -0.349 0.768  -0.326 0.748  -0.332 0.599  -0.380 0.457  -0.427 0.314  -0.489 0.178  -0.553 0.042  -0.617 -0.094  -0.683 -0.229  -0.750 -0.363  -0.817 -0.497  -0.884 -0.632  -0.951 -0.766  -1.018 -0.900  -1.067 -1.041  -1.068 -0.942  -1.017 -0.801  -0.963 -0.661  -0.908 -0.522  -0.826 -0.396  -0.745 -0.270  -0.663 -0.144  -0.580 -0.019  -0.495 0.105  -0.410 0.229  -0.325 0.352  -0.203 0.439  -0.081 0.526  0.042 0.614  0.173 0.685  0.305 0.757  0.444 0.803  0.594 0.803  0.744 0.803  0.886 0.775  1.011 0.692  1.117 0.591  1.198 0.464  1.270 0.335  1.270 0.185  1.258 0.037  1.221 -0.109  1.182 -0.254  1.122 -0.391  1.063 -0.529  0.993 -0.661  0.908 -0.785  0.823 -0.908  0.738 -1.032
1c#apb#apb17#app1793/o  -0.281 0.993  -0.302 1.020  -0.376 0.927  -0.428 0.820  -0.476 0.711  -0.524 0.602  -0.571 0.493  -0.618 0.383  -0.664 0.274  -0.710 0.164  -0.756 0.054  -0.799 -0.057  -0.834 -0.171  -0.870 -0.284  -0.905 -0.398  -0.931 -0.514  -0.949 -0.632  -0.967 -0.750  -0.919 -0.846  -0.833 -0.927  -0.719 -0.962  -0.605 -0.997  -0.491 -1.029  -0.383 -0.981  -0.274 -0.932  -0.166 -0.883  -0.057 -0.834  0.049 -0.781  0.139 -0.703  0.228 -0.624  0.317 -0.545  0.407 -0.466  0.495 -0.387  0.574 -0.297  0.652 -0.207  0.730 -0.118  0.809 -0.028  0.879 0.067  0.930 0.175  0.980 0.283  1.031 0.390  1.075 0.499  1.066 0.618  1.056 0.737  1.028 0.850  0.975 0.957  0.921 1.063  0.808 1.081  0.689 1.090  0.571 1.099
1c#apb#apb17#app1793/p  -0.182 0.412  -0.214 0.250  -0.268 0.094  -0.327 -0.061  -0.385 -0.215  -0.443 -0.370  -0.514 -0.519  -0.585 -0.669  -0.657 -0.817  -0.731 -0.965  -0.814 -1.108  -0.900 -1.248  -0.942 -1.361  -0.998 -1.234  -1.014 -1.070  -0.991 -0.906  -0.951 -0.747  -0.895 -0.592  -0.838 -0.436  -0.752 -0.297  -0.652 -0.165  -0.552 -0.034  -0.441 0.088  -0.319 0.199  -0.196 0.310  -0.074 0.421  0.057 0.522  0.188 0.622  0.320 0.722  0.454 0.819  0.604 0.887  0.755 0.955  0.907 1.018  1.067 1.061  1.226 1.072  1.358 0.998  1.387 0.835  1.321 0.690  1.237 0.547  1.132 0.423  1.003 0.320  0.873 0.217  0.740 0.120  0.599 0.034  0.457 -0.052  0.313 -0.130  0.151 -0.163  -0.012 -0.186  -0.177 -0.186  -0.321 -0.106
1c#apb#apb17#app1793/q  0.275 0.844  0.388 0.972  0.487 1.112  0.548 1.270  0.418 1.286  0.264 1.212  0.117 1.127  -0.008 1.010  -0.134 0.894  -0.260 0.777  -0.339 0.626  -0.376 0.476  -0.220 0.497  -0.070 0.580  0.072 0.675  0.214 0.772  0.353 0.872  0.486 0.979  0.628 1.031  0.698 0.889  0.659 0.728  0.575 0.579  0.482 0.435  0.384 0.295  0.266 0.171  0.148 0.048  0.029 -0.076  -0.090 -0.199  -0.208 -0.323  -0.326 -0.447  -0.442 -0.574  -0.557 -0.700  -0.664 -0.833  -0.766 -0.971  -0.853 -1.118  -0.903 -1.275  -0.866 -1.439  -0.734 -1.529  -0.568 -1.513  -0.409 -1.450  -0.259 -1.368  -0.117 -1.273  0.002 -1.152  0.112 -1.021  0.212 -0.882  0.304 -0.739  0.304 -0.568  0.295 -0.398  0.260 -0.231  0.187 -0.077
1c#apb#apb17#app1793/r  -0.150 0.749  -0.091 0.645  -0.108 0.525  -0.124 0.404  -0.136 0.282  -0.148 0.161  -0.187 0.046  -0.231 -0.068  -0.274 -0.181  -0.314 -0.296  -0.348 -0.414  -0.381 -0.531  -0.415 -0.648  -0.470 -0.756  -0.533 -0.860  -0.596 -0.965  -0.700 -1.021  -0.813 -1.069  -0.900 -1.154  -0.969 -1.070  -0.969 -0.948  -0.958 -0.828  -0.920 -0.712  -0.881 -0.596  -0.796 -0.511  -0.706 -0.429  -0.616 -0.346  -0.527 -0.264  -0.429 -0.191  -0.330 -0.120  -0.231 -0.048  -0.133 0.023  -0.034 0.095  0.066 0.164  0.168 0.231  0.271 0.297  0.373 0.364  0.475 0.430  0.577 0.496  0.681 0.560  0.788 0.618  0.895 0.677  1.002 0.736  1.108 0.795  1.215 0.853  1.328 0.898  1.444 0.936  1.560 0.975  1.675 1.013  1.791 1.052
1c#apb#apb17#app1793/s  0.630 1.161  0.673 1.290  0.645 1.308  0.511 1.292  0.382 1.255  0.259 1.199  0.136 1.143  0.016 1.080  -0.102 1.015  -0.221 0.950  -0.323 0.861  -0.424 0.771  -0.522 0.678  -0.609 0.574  -0.690 0.467  -0.637 0.393  -0.504 0.368  -0.371 0.344  -0.238 0.319  -0.105 0.292  0.028 0.266  0.159 0.236  0.286 0.187  0.412 0.139  0.538 0.090  0.668 0.051  0.797 0.012  0.887 -0.077  0.954 -0.194  0.918 -0.315  0.857 -0.436  0.782 -0.544  0.671 -0.621  0.560 -0.698  0.448 -0.775  0.325 -0.828  0.197 -0.871  0.068 -0.914  -0.060 -0.956  -0.189 -0.999  -0.319 -1.035  -0.450 -1.068  -0.581 -1.101  -0.713 -1.133  -0.823 -1.058  -0.934 -0.980  -1.060 -0.930  -1.066 -0.812  -0.998 -0.718  -0.870 -0.675
1c#apb#apb17#app1793/t  0.791 1.534  0.781 1.381  0.737 1.233  0.691 1.086  0.634 0.943  0.576 0.800  0.519 0.656  0.443 0.522  0.366 0.389  0.289 0.255  0.211 0.122  0.141 -0.015  0.074 -0.155  0.008 -0.294  -0.058 -0.434  -0.130 -0.570  -0.210 -0.701  -0.291 -0.833  -0.375 -0.962  -0.464 -1.088  -0.552 -1.215  -0.614 -1.356  -0.665 -1.369  -0.704 -1.220  -0.743 -1.071  -0.782 -0.921  -0.821 -0.772  -0.859 -0.623  -0.898 -0.474  -0.937 -0.324  -0.976 -0.175  -1.015 -0.026  -1.017 0.095  -0.863 0.098  -0.709 0.110  -0.555 0.121  -0.405 0.154  -0.258 0.201  -0.111 0.247  0.036 0.294  0.187 0.324  0.340 0.346  0.493 0.368  0.645 0.389  0.797 0.417  0.947 0.453  1.097 0.488  1.247 0.523  1.402 0.524  1.556 0.524
1c#apb#apb17#app1793/u  -0.289 1.163  -0.339 1.008  -0.400 0.856  -0.487 0.716  -0.576 0.578  -0.665 0.440  -0.759 0.304  -0.852 0.169  -0.945 0.033  -1.023 -0.111  -1.092 -0.260  -1.162 -0.409  -1.225 -0.561  -1.286 -0.713  -1.295 -0.876  -1.189 -0.935  -1.030 -0.898  -0.870 -0.858  -0.725 -0.783  -0.584 -0.699  -0.443 -0.614  -0.320 -0.507  -0.203 -0.390  -0.087 -0.274  0.027 -0.156  0.136 -0.033  0.245 0.091  0.354 0.214  0.463 0.337  0.575 0.457  0.687 0.578  0.799 0.698  0.915 0.815  1.032 0.931  1.120 1.031  1.067 0.883  0.976 0.746  0.904 0.598  0.842 0.446  0.779 0.294  0.709 0.146  0.630 0.002  0.563 -0.147  0.523 -0.307  0.490 -0.467  0.511 -0.630  0.630 -0.705  0.791 -0.734  0.956 -0.734  1.120 -0.734
1c#apb#apb17#app1793/v  -1.175 -0.134  -1.105 -0.045  -1.035 0.045  -0.962 0.132  -0.881 0.212  -0.816 0.304  -0.756 0.401  -0.715 0.470  -0.698 0.378  -0.667 0.268  -0.643 0.158  -0.643 0.044  -0.643 -0.070  -0.648 -0.183  -0.661 -0.296  -0.658 -0.407  -0.622 -0.515  -0.587 -0.623  -0.555 -0.733  -0.512 -0.836  -0.449 -0.931  -0.382 -1.023  -0.323 -1.118  -0.232 -1.050  -0.150 -0.971  -0.069 -0.891  -0.007 -0.796  0.051 -0.698  0.110 -0.601  0.175 -0.508  0.240 -0.414  0.304 -0.321  0.368 -0.226  0.430 -0.131  0.491 -0.035  0.553 0.060  0.615 0.155  0.673 0.253  0.730 0.351  0.787 0.450  0.844 0.548  0.901 0.647  0.961 0.743  1.022 0.839  1.084 0.935  1.145 1.030  1.200 1.130  1.251 1.232  1.301 1.334  1.352 1.435
1c#apb#apb17#app1793/w  -1.201 0.418  -1.113 0.514  -1.052 0.628  -1.033 0.514  -1.028 0.384  -1.028 0.253  -1.034 0.123  -1.045 -0.007  -1.066 -0.136  -1.093 -0.264  -1.109 -0.392  -1.086 -0.520  -1.053 -0.646  -0.968 -0.723  -0.849 -0.686  -0.741 -0.616  -0.653 -0.520  -0.564 -0.424  -0.486 -0.319  -0.415 -0.210  -0.345 -0.100  -0.273 0.009  -0.198 0.117  -0.124 0.224  -0.043 0.326  0.043 0.424  0.125 0.366  0.163 0.241  0.188 0.114  0.188 -0.017  0.199 -0.147  0.220 -0.276  0.260 -0.399  0.345 -0.479  0.474 -0.493  0.605 -0.493  0.720 -0.448  0.821 -0.365  0.919 -0.280  1.007 -0.183  1.094 -0.086  1.154 0.030  1.213 0.147  1.271 0.264  1.324 0.383  1.377 0.502  1.430 0.622  1.463 0.748  1.487 0.876  1.511 1.004
1c#apb#apb17#app1793/x  -1.792 0.987  -1.667 0.938  -1.525 0.868  -1.383 0.797  -1.239 0.732  -1.093 0.668  -0.948 0.605  -0.822 0.512  -0.706 0.404  -0.590 0.295  -0.474 0.187  -0.341 0.101  -0.206 0.017  -0.072 -0.067  0.057 -0.159  0.179 -0.259  0.302 -0.360  0.410 -0.476  0.517 -0.593  0.625 -0.709  0.737 -0.822  0.885 -0.859  0.951 -0.763  0.956 -0.604  0.962 -0.446  0.968 -0.287  0.973 -0.129  0.979 0.030  0.984 0.188  0.990 0.347  0.995 0.505  1.001 0.664  0.977 0.760  0.858 0.656  0.740 0.549  0.628 0.437  0.516 0.325  0.404 0.212  0.286 0.106  0.166 0.002  0.047 -0.102  -0.074 -0.205  -0.202 -0.298  -0.330 -0.392  -0.458 -0.486  -0.581 -0.585  -0.703 -0.687  -0.825 -0.788  -0.961 -0.869  -1.100 -0.946
1c#apb#apb17#app1793/y  -0.837 1.453  -0.777 1.329  -0.733 1.196  -0.695 1.061  -0.658 0.926  -0.624 0.790  -0.590 0.654  -0.533 0.527  -0.457 0.409  -0.385 0.289  -0.318 0.165  -0.252 0.041  -0.164 -0.068  -0.084 -0.181  -0.005 -0.243  0.089 -0.146  0.161 -0.026  0.234 0.095  0.306 0.215  0.379 0.335  0.451 0.455  0.524 0.575  0.597 0.696  0.669 0.816  0.742 0.936  0.805 1.038  0.758 0.905  0.711 0.773  0.665 0.640  0.621 0.507  0.568 0.378  0.501 0.254  0.435 0.131  0.366 0.008  0.297 -0.114  0.228 -0.237  0.160 -0.359  0.092 -0.482  0.024 -0.605  -0.044 -0.728  -0.109 -0.852  -0.175 -0.976  -0.240 -1.101  -0.289 -1.232  -0.327 -1.366  -0.366 -1.501  -0.404 -1.636  -0.423 -1.776  -0.439 -1.915  -0.456 -2.054
1c#apb#apb17#app1793/z  -1.475 0.214  -1.420 0.336  -1.368 0.469  -1.242 0.516  -1.105 0.575  -0.971 0.639  -0.820 0.650  -0.670 0.661  -0.521 0.684  -0.374 0.718  -0.227 0.752  -0.079 0.781  0.068 0.811  0.217 0.835  0.368 0.835  0.519 0.835  0.563 0.712  0.495 0.578  0.397 0.464  0.292 0.356  0.173 0.264  0.053 0.172  -0.064 0.078  -0.176 -0.024  -0.288 -0.125  -0.392 -0.234  -0.487 -0.350  -0.583 -0.467  -0.660 -0.596  -0.734 -0.728  -0.782 -0.868  -0.685 -0.941  -0.537 -0.909  -0.390 -0.878  -0.246 -0.835  -0.110 -0.771  0.027 -0.707  0.163 -0.642  0.305 -0.590  0.447 -0.541  0.590 -0.491  0.732 -0.442  0.874 -0.392  1.017 -0.342  1.159 -0.292  1.301 -0.243  1.445 -0.195  1.589 -0.152  1.734 -0.110  1.879 -0.067
