2#app#app34#app3468/b  -0.898 1.483  -0.898 1.302  -0.841 1.144  -0.756 0.998  -0.756 0.817  -0.756 0.635  -0.756 0.454  -0.701 0.295  -0.614 0.150  -0.614 -0.031  -0.614 -0.212  -0.614 -0.394  -0.614 -0.575  -0.614 -0.756  -0.601 -0.641  -0.473 -0.588  -0.473 -0.407  -0.473 -0.225  -0.451 -0.053  -0.331 0.078  -0.331 0.260  -0.240 0.350  -0.190 0.481  -0.161 0.633  0.000 0.682  0.143 0.775  0.235 0.864  0.364 0.917  0.537 0.898  0.668 0.775  0.802 0.728  0.863 0.572  0.943 0.424  1.019 0.274  1.085 0.120  1.085 -0.061  1.085 -0.243  1.085 -0.424  1.085 -0.605  0.982 -0.744  0.943 -0.909  0.777 -0.924  0.596 -0.924  0.445 -0.998  0.292 -1.066  0.111 -1.066  -0.071 -1.066  -0.252 -1.066  -0.433 -1.066  -0.614 -1.066
2#app#app34#app3468/l  -0.202 1.485  -0.202 1.561  -0.202 1.612  -0.202 1.536  -0.202 1.461  -0.202 1.385  -0.202 1.309  -0.202 1.234  -0.202 1.158  -0.202 1.082  -0.202 1.006  -0.202 0.931  -0.202 0.855  -0.195 0.782  -0.141 0.729  -0.088 0.675  -0.062 0.610  -0.062 0.534  -0.062 0.458  -0.062 0.383  -0.062 0.307  -0.062 0.231  -0.062 0.155  -0.056 0.081  -0.023 0.013  0.011 -0.054  0.045 -0.122  0.077 -0.190  0.077 -0.266  0.077 -0.342  0.077 -0.418  0.077 -0.493  0.077 -0.569  0.077 -0.645  0.077 -0.721  0.077 -0.796  0.077 -0.872  0.143 -0.882  0.216 -0.884  0.216 -0.960  0.216 -1.036  0.216 -1.111  0.216 -1.187  0.216 -1.263  0.216 -1.339  0.216 -1.414  0.216 -1.490  0.216 -1.566  0.216 -1.514  0.216 -1.439
2#app#app34#app3468/s  0.135 1.198  0.003 1.198  -0.129 1.198  -0.261 1.198  -0.393 1.198  -0.506 1.154  -0.599 1.061  -0.726 1.049  -0.760 0.951  -0.817 0.843  -0.911 0.749  -1.004 0.656  -1.059 0.547  -1.059 0.415  -1.045 0.289  -0.951 0.196  -0.837 0.154  -0.705 0.154  -0.573 0.154  -0.441 0.154  -0.309 0.154  -0.177 0.154  -0.046 0.154  0.086 0.154  0.218 0.154  0.350 0.154  0.468 0.119  0.561 0.026  0.684 0.004  0.791 -0.055  0.881 -0.150  0.881 -0.282  1.001 -0.294  1.030 -0.396  1.030 -0.528  1.030 -0.660  0.995 -0.777  0.901 -0.870  0.778 -0.891  0.646 -0.891  0.583 -0.959  0.531 -1.040  0.400 -1.040  0.268 -1.040  0.136 -1.040  0.004 -1.040  -0.095 -0.960  -0.198 -0.891  -0.330 -0.891  -0.462 -0.891
2#app#app34#app3468/w  -1.503 0.617  -1.376 0.595  -1.344 0.459  -1.250 0.349  -1.250 0.200  -1.250 0.051  -1.167 -0.014  -1.076 -0.109  -1.010 -0.242  -0.998 -0.388  -0.985 -0.532  -0.880 -0.637  -0.774 -0.742  -0.745 -0.879  -0.615 -0.897  -0.493 -0.870  -0.493 -0.722  -0.442 -0.594  -0.367 -0.476  -0.321 -0.346  -0.240 -0.231  -0.240 -0.082  -0.240 0.067  -0.167 0.186  -0.114 0.312  -0.114 0.461  0.005 0.491  0.154 0.491  0.264 0.453  0.307 0.322  0.422 0.239  0.517 0.185  0.571 0.058  0.676 -0.047  0.769 -0.157  0.797 -0.295  0.895 -0.403  0.928 -0.519  1.022 -0.463  1.022 -0.314  1.022 -0.165  1.022 -0.017  1.036 0.126  1.141 0.232  1.148 0.378  1.148 0.527  1.148 0.675  1.148 0.824  1.148 0.973  1.148 0.870
2#app#app34#app3468/a  0.647 0.597  0.647 0.765  0.483 0.768  0.476 0.929  0.319 0.940  0.196 1.048  0.054 1.111  -0.113 1.111  -0.281 1.111  -0.429 1.063  -0.548 0.944  -0.714 0.940  -0.724 0.782  -0.724 0.614  -0.874 0.597  -0.895 0.450  -0.996 0.324  -1.067 0.186  -1.067 0.018  -1.067 -0.150  -1.067 -0.318  -1.067 -0.486  -1.031 -0.638  -0.912 -0.757  -0.793 -0.876  -0.655 -0.945  -0.487 -0.945  -0.319 -0.945  -0.168 -0.904  -0.050 -0.786  0.113 -0.774  0.238 -0.669  0.305 -0.529  0.354 -0.382  0.473 -0.263  0.476 -0.097  0.589 0.024  0.647 0.168  0.647 0.335  0.647 0.348  0.647 0.180  0.647 0.012  0.647 -0.155  0.692 -0.305  0.811 -0.423  0.819 -0.588  0.927 -0.711  1.045 -0.829  1.165 -0.945  1.333 -0.945
2#app#app34#app3468/x  -0.967 1.218  -0.834 1.084  -0.700 0.951  -0.572 0.814  -0.487 0.645  -0.403 0.477  -0.279 0.336  -0.192 0.184  -0.150 0.012  -0.016 -0.121  0.002 -0.302  0.160 -0.333  0.196 -0.486  0.300 -0.631  0.433 -0.765  0.567 -0.898  0.700 -1.032  0.778 -1.030  0.778 -0.841  0.778 -0.652  0.778 -0.464  0.778 -0.275  0.778 -0.086  0.778 0.102  0.778 0.291  0.778 0.480  0.778 0.668  0.778 0.857  0.778 1.046  0.766 1.206  0.632 1.072  0.584 0.904  0.469 0.830  0.312 0.753  0.196 0.612  0.177 0.442  -0.004 0.430  -0.088 0.261  -0.173 0.092  -0.295 -0.049  -0.428 -0.182  -0.562 -0.316  -0.695 -0.449  -0.829 -0.583  -0.962 -0.716  -1.096 -0.849  -1.229 -0.983  -1.355 -1.119  -1.350 -1.303  -1.161 -1.303
2#app#app34#app3468/m  -1.223 0.587  -1.223 0.432  -1.164 0.300  -1.108 0.167  -1.108 0.011  -1.076 -0.131  -0.994 -0.253  -0.994 -0.409  -0.994 -0.565  -0.994 -0.721  -0.994 -0.693  -0.994 -0.537  -0.994 -0.381  -0.922 -0.255  -0.880 -0.117  -0.880 0.039  -0.834 0.176  -0.765 0.304  -0.694 0.430  -0.556 0.473  -0.400 0.473  -0.263 0.428  -0.152 0.318  -0.042 0.208  0.035 0.084  0.098 -0.046  0.150 -0.181  0.159 -0.328  0.264 -0.378  0.264 -0.534  0.264 -0.423  0.264 -0.267  0.264 -0.111  0.294 0.016  0.379 0.087  0.458 0.210  0.569 0.320  0.679 0.430  0.817 0.473  0.966 0.457  1.081 0.359  1.237 0.359  1.294 0.259  1.408 0.217  1.408 0.062  1.518 0.016  1.522 -0.136  1.578 -0.269  1.637 -0.400  1.637 -0.556
2#app#app34#app3468/e  -0.592 -0.304  -0.466 -0.178  -0.316 -0.110  -0.137 -0.110  -0.010 -0.059  0.025 0.084  0.204 0.084  0.382 0.084  0.560 0.084  0.738 0.084  0.917 0.084  0.959 0.220  1.079 0.277  1.152 0.383  1.152 0.561  1.100 0.717  0.974 0.844  0.848 0.970  0.704 1.053  0.526 1.053  0.347 1.053  0.169 1.053  -0.009 1.053  -0.187 1.053  -0.204 0.891  -0.350 0.859  -0.490 0.767  -0.592 0.630  -0.611 0.471  -0.786 0.468  -0.786 0.289  -0.786 0.111  -0.786 -0.067  -0.921 -0.110  -0.980 -0.230  -0.980 -0.408  -0.980 -0.586  -0.907 -0.692  -0.786 -0.749  -0.756 -0.915  -0.630 -1.041  -0.468 -1.079  -0.289 -1.079  -0.111 -1.079  0.067 -1.079  0.246 -1.079  0.424 -1.079  0.602 -1.079  0.780 -1.079  0.959 -1.079
2#app#app34#app3468/r  -0.519 0.740  -0.519 0.592  -0.519 0.444  -0.519 0.296  -0.417 0.190  -0.312 0.085  -0.295 -0.056  -0.295 -0.204  -0.295 -0.353  -0.295 -0.501  -0.295 -0.649  -0.295 -0.797  -0.295 -0.945  -0.254 -1.052  -0.106 -1.052  -0.071 -1.166  -0.071 -1.314  -0.071 -1.462  -0.182 -1.500  -0.295 -1.465  -0.295 -1.317  -0.295 -1.169  -0.295 -1.021  -0.295 -0.873  -0.295 -0.724  -0.295 -0.576  -0.295 -0.428  -0.295 -0.280  -0.271 -0.156  -0.123 -0.156  -0.071 -0.059  -0.071 0.089  -0.071 0.237  -0.071 0.385  -0.054 0.516  0.094 0.516  0.153 0.606  0.167 0.740  0.315 0.740  0.377 0.827  0.387 0.964  0.535 0.964  0.601 1.047  0.608 1.188  0.756 1.188  0.825 1.268  0.828 1.413  0.977 1.413  1.125 1.413  1.273 1.413
2#app#app34#app3468/c  0.996 1.223  0.888 1.223  0.779 1.223  0.671 1.223  0.562 1.223  0.476 1.201  0.476 1.092  0.410 1.049  0.302 1.049  0.225 0.972  0.149 0.895  0.048 0.876  -0.056 0.865  -0.132 0.788  -0.209 0.711  -0.286 0.634  -0.362 0.558  -0.391 0.461  -0.394 0.356  -0.503 0.356  -0.564 0.309  -0.564 0.200  -0.628 0.118  -0.705 0.042  -0.738 -0.053  -0.738 -0.162  -0.738 -0.270  -0.738 -0.379  -0.738 -0.487  -0.738 -0.596  -0.718 -0.685  -0.610 -0.685  -0.564 -0.748  -0.564 -0.856  -0.458 -0.858  -0.349 -0.858  -0.241 -0.858  -0.132 -0.858  -0.024 -0.858  0.085 -0.858  0.193 -0.858  0.302 -0.858  0.410 -0.858  0.519 -0.858  0.627 -0.858  0.736 -0.858  0.844 -0.858  0.953 -0.858  1.061 -0.858  1.170 -0.858
2#app#app34#app3468/i  -0.164 0.226  -0.047 0.226  0.012 0.168  0.012 0.051  0.012 -0.065  0.012 -0.182  0.012 -0.299  0.012 -0.416  0.012 -0.532  0.012 -0.649  0.012 -0.766  0.012 -0.882  0.012 -0.999  0.090 -1.084  0.173 -1.166  0.188 -1.276  0.188 -1.393  0.188 -1.510  0.178 -1.440  0.166 -1.324  0.154 -1.208  0.142 -1.092  0.129 -0.976  0.117 -0.860  0.105 -0.744  0.093 -0.628  0.081 -0.512  0.068 -0.395  0.056 -0.279  0.044 -0.163  0.032 -0.047  0.019 0.069  0.007 0.185  -0.005 0.301  -0.017 0.417  -0.029 0.533  -0.042 0.649  -0.054 0.765  -0.066 0.881  -0.078 0.997  -0.090 1.113  -0.103 1.229  -0.115 1.346  -0.127 1.462  -0.139 1.578  -0.152 1.694  -0.165 1.808  -0.282 1.808  -0.339 1.749  -0.339 1.632
2#app#app34#app3468/f  0.759 1.692  0.634 1.692  0.508 1.692  0.383 1.692  0.273 1.656  0.184 1.568  0.096 1.479  0.083 1.359  0.076 1.241  -0.030 1.221  -0.030 1.096  -0.030 0.971  -0.030 0.846  -0.030 0.720  -0.088 0.619  -0.142 0.516  -0.142 0.391  -0.142 0.266  -0.142 0.141  -0.072 0.045  -0.030 -0.063  -0.030 -0.188  -0.030 -0.314  -0.030 -0.439  -0.030 -0.564  -0.019 -0.685  0.070 -0.773  0.083 -0.893  0.083 -1.018  0.083 -1.143  0.083 -1.269  0.039 -1.350  -0.030 -1.407  -0.048 -1.396  -0.081 -1.275  -0.114 -1.154  -0.147 -1.033  -0.180 -0.912  -0.213 -0.792  -0.246 -0.671  -0.279 -0.550  -0.312 -0.429  -0.345 -0.308  -0.368 -0.261  -0.318 -0.336  -0.193 -0.336  -0.067 -0.336  0.058 -0.336  0.183 -0.336  0.308 -0.336
2#app#app34#app3468/u  -0.782 1.187  -0.782 1.075  -0.810 0.975  -0.889 0.896  -0.965 0.816  -0.965 0.704  -0.965 0.593  -0.965 0.481  -0.965 0.369  -0.965 0.258  -0.965 0.146  -0.965 0.034  -0.965 -0.077  -0.873 -0.097  -0.782 -0.117  -0.782 -0.229  -0.782 -0.341  -0.782 -0.452  -0.682 -0.464  -0.570 -0.464  -0.459 -0.464  -0.415 -0.532  -0.415 -0.644  -0.307 -0.648  -0.195 -0.648  -0.084 -0.648  0.028 -0.648  0.140 -0.648  0.251 -0.648  0.363 -0.648  0.475 -0.648  0.503 -0.564  0.515 -0.464  0.626 -0.464  0.738 -0.464  0.850 -0.464  0.935 -0.399  1.013 -0.320  1.053 -0.225  1.053 -0.113  1.053 -0.002  1.053 0.110  1.053 0.222  1.053 0.333  1.053 0.445  1.053 0.557  1.053 0.668  1.053 0.780  1.053 0.892  1.053 1.003
2#app#app34#app3468/l  -0.031 1.724  -0.031 1.652  -0.031 1.581  -0.031 1.509  -0.031 1.438  -0.031 1.366  -0.031 1.295  -0.031 1.223  -0.031 1.152  -0.031 1.080  -0.031 1.009  -0.031 0.937  -0.031 0.866  -0.031 0.794  -0.031 0.723  -0.031 0.651  -0.031 0.580  -0.031 0.508  -0.031 0.436  -0.031 0.365  -0.031 0.293  -0.031 0.222  -0.031 0.150  -0.031 0.079  -0.031 0.007  -0.031 -0.064  -0.031 -0.136  -0.031 -0.207  -0.031 -0.279  -0.031 -0.350  0.009 -0.405  0.059 -0.456  0.100 -0.511  0.100 -0.582  0.100 -0.654  0.100 -0.725  0.100 -0.797  0.100 -0.868  0.100 -0.940  0.100 -1.011  0.100 -1.083  0.097 -1.153  0.046 -1.204  -0.004 -1.254  -0.031 -1.315  -0.031 -1.386  -0.031 -1.458  -0.031 -1.529  -0.031 -1.601  -0.031 -1.672
