2#tos#f2#f2017063/!  0.514 1.593  0.482 1.528  0.479 1.457  0.479 1.385  0.445 1.347  0.445 1.275  0.438 1.206  0.387 1.155  0.376 1.087  0.361 1.020  0.317 0.962  0.274 0.905  0.272 0.833  0.272 0.761  0.244 0.701  0.193 0.649  0.142 0.598  0.116 0.532  0.095 0.463  0.075 0.394  0.054 0.325  0.033 0.256  0.018 0.185  0.004 0.115  -0.017 0.046  -0.050 -0.018  -0.082 -0.083  -0.108 -0.149  -0.108 -0.221  -0.113 -0.292  -0.129 -0.363  -0.145 -0.433  -0.161 -0.503  -0.177 -0.574  -0.194 -0.644  -0.210 -0.714  -0.226 -0.784  -0.242 -0.855  -0.259 -0.925  -0.275 -0.995  -0.291 -1.066  -0.307 -1.136  -0.316 -1.207  -0.347 -1.263  -0.407 -1.303  -0.454 -1.357  -0.497 -1.414  -0.523 -1.478  -0.457 -1.484  -0.419 -1.518
2#tos#f2#f2017063/;  -0.036 1.678  -0.068 1.613  -0.085 1.545  -0.085 1.473  -0.085 1.401  -0.081 1.333  -0.036 1.307  -0.036 1.235  -0.029 1.163  -0.022 1.091  -0.015 1.020  -0.009 0.948  -0.002 0.876  0.005 0.805  0.012 0.733  0.019 0.661  0.026 0.590  0.032 0.518  0.039 0.446  0.046 0.375  0.053 0.303  0.060 0.232  0.062 0.160  0.062 0.088  0.062 0.016  0.056 -0.054  0.016 -0.114  -0.024 -0.174  -0.013 -0.237  0.013 -0.303  0.013 -0.375  0.039 -0.441  0.062 -0.507  0.062 -0.579  0.062 -0.651  0.062 -0.723  0.062 -0.795  0.062 -0.867  0.059 -0.938  0.037 -1.007  0.014 -1.075  0.013 -1.147  0.013 -1.219  0.009 -1.290  -0.008 -1.360  -0.026 -1.430  -0.054 -1.495  -0.097 -1.552  -0.140 -1.610  -0.184 -1.667
2#tos#f2#f2017063/<  0.808 1.439  0.771 1.384  0.680 1.384  0.588 1.384  0.534 1.347  0.515 1.275  0.478 1.220  0.424 1.183  0.372 1.113  0.307 1.048  0.252 0.978  0.223 0.891  0.190 0.806  0.148 0.724  0.098 0.648  0.047 0.572  -0.026 0.518  -0.102 0.467  -0.153 0.394  -0.198 0.315  -0.248 0.239  -0.305 0.170  -0.387 0.129  -0.434 0.053  -0.487 -0.020  -0.552 -0.085  -0.597 -0.164  -0.618 -0.250  -0.699 -0.261  -0.728 -0.324  -0.688 -0.390  -0.608 -0.435  -0.539 -0.492  -0.457 -0.533  -0.380 -0.584  -0.304 -0.634  -0.256 -0.710  -0.197 -0.773  -0.115 -0.814  -0.033 -0.855  0.017 -0.927  0.076 -0.991  0.154 -1.036  0.195 -1.118  0.243 -1.196  0.294 -1.272  0.353 -1.341  0.417 -1.406  0.450 -1.490  0.479 -1.577
2#tos#f2#f2017063/>  -0.542 1.216  -0.641 1.176  -0.740 1.136  -0.839 1.097  -0.942 1.078  -0.912 0.993  -0.851 0.907  -0.759 0.872  -0.652 0.872  -0.546 0.872  -0.542 0.769  -0.477 0.702  -0.382 0.655  -0.286 0.607  -0.191 0.559  -0.091 0.528  0.015 0.526  0.116 0.492  0.217 0.458  0.313 0.410  0.415 0.391  0.522 0.391  0.608 0.341  0.683 0.266  0.779 0.239  0.863 0.185  0.902 0.117  0.902 0.010  0.827 -0.022  0.765 -0.066  0.752 -0.165  0.657 -0.213  0.586 -0.289  0.527 -0.378  0.462 -0.462  0.387 -0.537  0.311 -0.613  0.227 -0.678  0.138 -0.737  0.059 -0.805  -0.000 -0.894  -0.060 -0.983  -0.124 -1.069  -0.188 -1.154  -0.252 -1.239  -0.293 -1.337  -0.326 -1.438  -0.391 -1.521  -0.466 -1.596  -0.542 -1.672
2#tos#f2#f2017063/[  0.530 1.360  0.445 1.360  0.405 1.288  0.331 1.271  0.246 1.271  0.161 1.271  0.077 1.267  0.002 1.229  -0.003 1.147  -0.079 1.138  -0.163 1.138  -0.225 1.115  -0.225 1.030  -0.225 0.945  -0.218 0.864  -0.181 0.794  -0.181 0.709  -0.181 0.625  -0.181 0.540  -0.181 0.455  -0.181 0.370  -0.181 0.285  -0.181 0.201  -0.181 0.116  -0.181 0.031  -0.181 -0.054  -0.181 -0.138  -0.181 -0.223  -0.181 -0.308  -0.181 -0.393  -0.181 -0.477  -0.181 -0.562  -0.181 -0.647  -0.181 -0.732  -0.181 -0.816  -0.181 -0.901  -0.181 -0.986  -0.181 -1.071  -0.181 -1.156  -0.113 -1.173  -0.028 -1.173  0.056 -1.173  0.141 -1.173  0.226 -1.173  0.303 -1.199  0.373 -1.246  0.453 -1.261  0.538 -1.261  0.623 -1.261  0.708 -1.261
2#tos#f2#f2017063/_  -0.851 0.325  -0.851 0.237  -0.851 0.150  -0.851 0.062  -0.919 0.043  -1.006 0.043  -1.094 0.043  -1.181 0.043  -1.269 0.043  -1.273 -0.040  -1.273 -0.127  -1.273 -0.215  -1.209 -0.239  -1.122 -0.239  -1.034 -0.239  -0.947 -0.239  -0.859 -0.239  -0.772 -0.239  -0.684 -0.239  -0.597 -0.239  -0.509 -0.239  -0.422 -0.239  -0.335 -0.239  -0.247 -0.239  -0.160 -0.239  -0.072 -0.239  0.012 -0.227  0.085 -0.178  0.157 -0.130  0.230 -0.081  0.303 -0.033  0.376 0.016  0.455 0.043  0.542 0.043  0.630 0.043  0.717 0.043  0.805 0.043  0.892 0.043  0.980 0.043  1.042 0.105  1.103 0.166  1.165 0.228  1.227 0.290  1.300 0.325  1.388 0.325  1.475 0.325  1.563 0.325  1.650 0.325  1.738 0.325  1.825 0.325
2#tos#f2#f2017063/`  -0.297 1.297  -0.368 1.273  -0.440 1.249  -0.512 1.226  -0.584 1.202  -0.655 1.178  -0.727 1.154  -0.736 1.084  -0.736 1.009  -0.736 0.933  -0.735 0.858  -0.682 0.805  -0.628 0.751  -0.575 0.698  -0.521 0.644  -0.468 0.591  -0.421 0.532  -0.379 0.469  -0.337 0.407  -0.295 0.344  -0.253 0.281  -0.211 0.218  -0.169 0.155  -0.121 0.097  -0.067 0.044  -0.014 -0.009  0.039 -0.063  0.093 -0.116  0.145 -0.171  0.187 -0.233  0.229 -0.296  0.271 -0.359  0.313 -0.422  0.355 -0.485  0.397 -0.548  0.436 -0.612  0.455 -0.685  0.473 -0.758  0.491 -0.832  0.510 -0.905  0.528 -0.978  0.546 -1.052  0.565 -1.125  0.589 -1.192  0.661 -1.216  0.733 -1.240  0.805 -1.264  0.876 -1.288  0.948 -1.312  1.020 -1.336
2#tos#f2#f2017063/{  0.270 1.375  0.242 1.436  0.209 1.491  0.157 1.527  0.087 1.508  0.057 1.432  0.026 1.375  -0.004 1.316  -0.004 1.228  -0.004 1.139  -0.004 1.051  0.008 0.967  0.042 0.888  0.057 0.802  0.064 0.714  0.096 0.632  0.145 0.559  0.148 0.471  0.148 0.383  0.148 0.294  0.148 0.206  0.148 0.117  0.148 0.029  0.102 -0.041  0.057 -0.116  0.012 -0.177  -0.073 -0.185  -0.152 -0.208  -0.240 -0.208  -0.270 -0.147  -0.217 -0.200  -0.160 -0.265  -0.126 -0.340  -0.126 -0.428  -0.126 -0.516  -0.126 -0.605  -0.126 -0.693  -0.126 -0.782  -0.095 -0.863  -0.095 -0.952  -0.095 -1.040  -0.095 -1.129  -0.095 -1.217  -0.095 -1.305  -0.095 -1.394  -0.095 -1.482  -0.053 -1.559  0.000 -1.629  0.055 -1.698  0.118 -1.760
2#tos#f2#f2017063/|  0.062 1.613  0.062 1.542  0.000 1.516  -0.053 1.483  -0.053 1.413  -0.053 1.342  -0.053 1.271  -0.015 1.239  -0.015 1.168  -0.015 1.097  -0.015 1.027  -0.015 0.956  -0.015 0.885  -0.015 0.815  -0.006 0.746  0.016 0.678  0.024 0.609  0.024 0.538  0.024 0.468  0.024 0.397  0.024 0.326  0.024 0.256  0.024 0.185  0.024 0.114  0.024 0.044  0.024 -0.027  0.024 -0.098  0.024 -0.168  0.024 -0.239  0.024 -0.310  0.024 -0.380  0.024 -0.451  0.024 -0.522  0.012 -0.590  -0.015 -0.654  -0.015 -0.725  -0.015 -0.795  -0.015 -0.866  -0.015 -0.937  -0.015 -1.007  -0.015 -1.078  -0.015 -1.149  -0.015 -1.219  -0.015 -1.290  -0.015 -1.361  -0.015 -1.431  -0.015 -1.502  -0.015 -1.573  -0.015 -1.643  -0.015 -1.714
2#tos#f2#f2017063/~  -0.931 0.279  -0.931 0.156  -0.931 0.032  -0.988 -0.035  -1.111 -0.035  -1.235 -0.035  -1.254 -0.140  -1.323 -0.140  -1.199 -0.140  -1.082 -0.110  -0.972 -0.055  -0.896 0.035  -0.841 0.146  -0.785 0.256  -0.730 0.367  -0.648 0.458  -0.617 0.569  -0.617 0.693  -0.512 0.711  -0.480 0.803  -0.356 0.803  -0.233 0.803  -0.109 0.803  -0.045 0.707  0.011 0.597  0.079 0.494  0.147 0.391  0.216 0.288  0.222 0.166  0.222 0.042  0.222 -0.081  0.242 -0.202  0.281 -0.319  0.320 -0.436  0.326 -0.559  0.346 -0.664  0.469 -0.664  0.593 -0.664  0.717 -0.664  0.840 -0.664  0.964 -0.664  1.088 -0.664  1.211 -0.664  1.299 -0.605  1.354 -0.494  1.409 -0.384  1.465 -0.273  1.520 -0.162  1.575 -0.052  1.688 -0.035
2#tos#f2#f2017063/1  0.033 0.947  0.010 0.860  -0.038 0.779  -0.086 0.699  -0.075 0.653  -0.065 0.737  0.006 0.787  0.090 0.829  0.165 0.883  0.213 0.963  0.229 1.053  0.229 1.146  0.263 1.226  0.327 1.288  0.327 1.195  0.304 1.108  0.252 1.030  0.229 0.943  0.229 0.849  0.177 0.771  0.131 0.691  0.131 0.598  0.131 0.504  0.112 0.412  0.094 0.320  0.082 0.228  0.082 0.134  0.082 0.040  0.044 -0.042  -0.008 -0.120  -0.032 -0.210  -0.050 -0.302  -0.069 -0.394  -0.092 -0.485  -0.114 -0.576  -0.128 -0.668  -0.141 -0.761  -0.154 -0.854  -0.163 -0.947  -0.177 -1.037  -0.229 -1.115  -0.262 -1.199  -0.262 -1.292  -0.262 -1.386  -0.262 -1.480  -0.262 -1.574  -0.262 -1.667  -0.262 -1.761  -0.262 -1.855  -0.262 -1.949
2#tos#f2#f2017063/4  0.697 1.578  0.524 1.465  0.381 1.455  0.278 1.320  0.148 1.161  -0.002 1.024  -0.155 0.882  -0.303 0.735  -0.386 0.550  -0.518 0.411  -0.634 0.237  -0.772 0.092  -0.921 -0.032  -1.048 -0.168  -1.212 -0.278  -1.376 -0.403  -1.241 -0.468  -1.032 -0.468  -0.829 -0.501  -0.623 -0.520  -0.414 -0.520  -0.232 -0.587  -0.039 -0.625  0.170 -0.625  0.379 -0.625  0.588 -0.625  0.750 -0.673  0.792 -0.526  0.779 -0.318  0.765 -0.109  0.752 0.099  0.738 0.308  0.725 0.517  0.712 0.725  0.698 0.934  0.503 0.948  0.343 0.869  0.286 0.669  0.278 0.461  0.261 0.254  0.209 0.051  0.151 -0.150  0.090 -0.349  0.024 -0.548  0.015 -0.755  -0.006 -0.963  -0.037 -1.169  -0.037 -1.378  -0.076 -1.581  -0.142 -1.779
2#tos#f2#f2017063/6  0.458 1.998  0.425 1.882  0.331 1.810  0.309 1.700  0.243 1.617  0.210 1.514  0.207 1.390  0.177 1.270  0.130 1.158  0.062 1.055  0.022 0.938  -0.017 0.820  -0.072 0.711  -0.146 0.612  -0.196 0.503  -0.213 0.381  -0.231 0.258  -0.238 0.135  -0.253 0.014  -0.292 -0.104  -0.331 -0.221  -0.411 -0.313  -0.486 -0.406  -0.486 -0.529  -0.486 -0.653  -0.486 -0.777  -0.486 -0.901  -0.486 -1.024  -0.486 -1.148  -0.399 -1.184  -0.276 -1.184  -0.152 -1.184  -0.038 -1.151  0.064 -1.081  0.151 -0.994  0.272 -0.986  0.357 -0.914  0.438 -0.827  0.555 -0.788  0.558 -0.666  0.558 -0.542  0.499 -0.470  0.444 -0.360  0.363 -0.290  0.239 -0.290  0.126 -0.247  0.013 -0.208  -0.090 -0.140  -0.164 -0.091  -0.288 -0.091
2#tos#f2#f2017063/8  0.490 0.767  0.616 0.838  0.626 1.006  0.624 1.175  0.548 1.282  0.393 1.324  0.270 1.401  0.100 1.401  -0.071 1.401  -0.213 1.333  -0.351 1.234  -0.396 1.080  -0.417 0.915  -0.417 0.744  -0.417 0.574  -0.384 0.417  -0.296 0.283  -0.235 0.164  -0.159 0.017  -0.038 -0.100  0.082 -0.184  0.137 -0.331  0.194 -0.478  0.308 -0.601  0.308 -0.771  0.308 -0.942  0.259 -1.101  0.162 -1.238  0.028 -1.327  -0.074 -1.441  -0.241 -1.454  -0.412 -1.454  -0.563 -1.409  -0.643 -1.319  -0.689 -1.167  -0.689 -0.997  -0.628 -0.842  -0.537 -0.698  -0.434 -0.565  -0.336 -0.426  -0.223 -0.300  -0.135 -0.153  0.002 -0.094  0.136 -0.022  0.239 0.114  0.346 0.247  0.484 0.314  0.615 0.416  0.777 0.470  0.943 0.495
2#tos#f2#f2017063/A  -0.788 -1.075  -0.952 -1.147  -1.067 -1.229  -0.981 -1.090  -0.936 -0.906  -0.881 -0.734  -0.745 -0.612  -0.695 -0.425  -0.609 -0.251  -0.522 -0.078  -0.469 0.109  -0.357 0.266  -0.252 0.427  -0.180 0.607  -0.106 0.785  -0.043 0.961  -0.043 1.155  0.028 1.336  0.079 1.513  0.236 1.561  0.414 1.577  0.515 1.484  0.562 1.336  0.567 1.142  0.608 0.955  0.608 0.760  0.668 0.578  0.701 0.387  0.701 0.193  0.701 -0.001  0.701 -0.196  0.701 -0.390  0.701 -0.584  0.701 -0.779  0.675 -0.962  0.608 -1.129  0.526 -1.164  0.416 -1.004  0.305 -0.844  0.195 -0.684  0.084 -0.525  -0.027 -0.365  -0.137 -0.205  -0.248 -0.045  -0.420 -0.008  -0.575 -0.125  -0.533 -0.144  -0.339 -0.144  -0.145 -0.144  0.050 -0.144
2#tos#f2#f2017063/B  0.381 1.282  0.185 1.179  0.085 0.932  -0.001 0.675  -0.109 0.429  -0.145 0.176  -0.317 -0.014  -0.385 -0.269  -0.508 -0.503  -0.594 -0.760  -0.698 -1.000  -0.852 -1.191  -0.882 -1.378  -0.799 -1.121  -0.717 -0.863  -0.634 -0.605  -0.551 -0.347  -0.468 -0.089  -0.386 0.169  -0.303 0.427  -0.220 0.685  -0.138 0.942  -0.077 1.184  0.017 1.247  0.279 1.282  0.550 1.282  0.821 1.282  0.921 1.111  0.872 0.849  0.727 0.694  0.586 0.470  0.357 0.350  0.153 0.204  -0.065 0.105  -0.275 0.105  -0.012 0.154  0.259 0.154  0.530 0.154  0.789 0.105  0.970 -0.042  0.970 -0.313  0.864 -0.540  0.659 -0.713  0.477 -0.902  0.218 -0.974  0.002 -1.108  -0.254 -1.186  -0.520 -1.220  -0.770 -1.269  -0.992 -1.220
2#tos#f2#f2017063/C  0.802 1.063  0.743 1.014  0.655 1.034  0.625 1.112  0.557 1.152  0.468 1.205  0.361 1.210  0.264 1.162  0.157 1.159  0.054 1.125  -0.045 1.082  -0.103 1.000  -0.145 0.902  -0.221 0.825  -0.283 0.737  -0.336 0.644  -0.370 0.541  -0.450 0.474  -0.532 0.407  -0.579 0.309  -0.620 0.209  -0.660 0.109  -0.671 0.003  -0.733 -0.080  -0.769 -0.173  -0.769 -0.281  -0.769 -0.389  -0.769 -0.497  -0.769 -0.606  -0.743 -0.708  -0.694 -0.804  -0.615 -0.852  -0.507 -0.852  -0.399 -0.852  -0.291 -0.852  -0.183 -0.852  -0.075 -0.852  0.033 -0.852  0.141 -0.852  0.250 -0.852  0.337 -0.802  0.446 -0.802  0.554 -0.802  0.651 -0.755  0.755 -0.728  0.860 -0.704  0.969 -0.704  1.077 -0.704  1.146 -0.665  1.195 -0.606
2#tos#f2#f2017063/E  -0.313 1.306  -0.082 1.306  0.126 1.384  0.313 1.456  0.521 1.510  0.733 1.581  0.755 1.557  0.566 1.423  0.377 1.290  0.188 1.156  -0.001 1.022  -0.198 0.912  -0.313 0.796  -0.313 0.564  -0.353 0.339  -0.353 0.108  -0.394 -0.114  -0.431 -0.337  -0.431 -0.569  -0.494 -0.789  -0.545 -1.008  -0.537 -1.112  -0.493 -0.884  -0.449 -0.657  -0.405 -0.429  -0.361 -0.202  -0.317 0.025  -0.148 0.109  0.071 0.164  0.272 0.238  0.497 0.278  0.712 0.321  0.680 0.212  0.516 0.048  0.352 -0.116  0.188 -0.279  0.024 -0.443  -0.139 -0.607  -0.303 -0.771  -0.467 -0.935  -0.577 -1.129  -0.680 -1.214  -0.449 -1.214  -0.228 -1.165  -0.065 -1.015  0.159 -0.958  0.381 -0.899  0.585 -0.816  0.800 -0.742  1.025 -0.702
2#tos#f2#f2017063/F  -0.612 0.753  -0.620 0.712  -0.457 0.712  -0.304 0.753  -0.148 0.771  -0.028 0.878  0.132 0.910  0.280 0.976  0.439 0.996  0.585 1.068  0.745 1.082  0.904 1.117  1.067 1.117  1.075 1.063  0.945 0.969  0.794 0.905  0.644 0.842  0.494 0.778  0.344 0.715  0.193 0.651  0.043 0.588  -0.112 0.550  -0.152 0.404  -0.195 0.249  -0.207 0.089  -0.241 -0.070  -0.247 -0.232  -0.323 -0.373  -0.366 -0.529  -0.369 -0.692  -0.369 -0.855  -0.437 -1.002  -0.504 -1.151  -0.531 -1.309  -0.571 -1.466  -0.571 -1.629  -0.553 -1.564  -0.512 -1.406  -0.471 -1.248  -0.430 -1.090  -0.389 -0.932  -0.348 -0.774  -0.307 -0.616  -0.217 -0.503  -0.054 -0.503  0.097 -0.452  0.253 -0.422  0.393 -0.345  0.535 -0.265  0.684 -0.219
