2#apb#apb38#app3818/T  0.213 0.696  0.116 0.689  0.120 0.542  0.131 0.395  0.149 0.248  0.164 0.102  0.164 -0.046  0.164 -0.193  0.160 -0.340  0.152 -0.487  0.143 -0.635  0.131 -0.781  0.117 -0.928  0.104 -1.075  0.104 -1.222  0.099 -1.370  0.088 -1.517  0.089 -1.663  0.052 -1.567  0.004 -1.427  -0.043 -1.288  -0.091 -1.148  -0.138 -1.008  -0.186 -0.869  -0.233 -0.729  -0.281 -0.590  -0.328 -0.450  -0.375 -0.311  -0.423 -0.171  -0.470 -0.032  -0.518 0.108  -0.565 0.248  -0.613 0.387  -0.660 0.527  -0.708 0.666  -0.778 0.766  -0.651 0.834  -0.513 0.884  -0.370 0.922  -0.228 0.961  -0.084 0.993  0.060 1.026  0.204 1.052  0.351 1.066  0.498 1.081  0.644 1.103  0.789 1.125  0.936 1.142  1.082 1.154  1.228 1.131
2#apb#apb38#app3818/i  0.183 0.386  0.107 0.298  0.031 0.209  -0.036 0.115  -0.070 0.004  -0.104 -0.108  -0.139 -0.219  -0.170 -0.331  -0.181 -0.447  -0.193 -0.563  -0.205 -0.679  -0.216 -0.795  -0.228 -0.911  -0.237 -1.028  -0.224 -1.143  -0.211 -1.259  -0.190 -1.373  -0.153 -1.484  -0.127 -1.490  -0.113 -1.374  -0.099 -1.258  -0.085 -1.142  -0.071 -1.027  -0.057 -0.911  -0.043 -0.795  -0.029 -0.679  -0.015 -0.563  -0.001 -0.448  0.013 -0.332  0.027 -0.216  0.041 -0.100  0.055 0.016  0.069 0.131  0.083 0.247  0.097 0.363  0.111 0.479  0.124 0.595  0.138 0.710  0.152 0.826  0.166 0.942  0.180 1.058  0.194 1.174  0.208 1.289  0.192 1.395  0.109 1.477  0.097 1.578  0.129 1.690  0.172 1.797  0.230 1.899  0.288 2.000
2#apb#apb38#app3818/n  -1.233 0.087  -1.182 0.001  -1.130 -0.084  -1.074 -0.167  -1.019 -0.251  -0.988 -0.345  -0.958 -0.440  -0.921 -0.533  -0.896 -0.629  -0.878 -0.728  -0.878 -0.675  -0.878 -0.575  -0.878 -0.475  -0.861 -0.377  -0.830 -0.282  -0.798 -0.188  -0.760 -0.095  -0.715 -0.006  -0.670 0.084  -0.615 0.166  -0.553 0.244  -0.481 0.313  -0.401 0.373  -0.321 0.433  -0.239 0.490  -0.153 0.542  -0.067 0.593  0.019 0.645  0.112 0.668  0.212 0.668  0.306 0.640  0.395 0.595  0.483 0.548  0.570 0.499  0.657 0.449  0.724 0.376  0.788 0.299  0.853 0.222  0.918 0.147  0.983 0.071  1.054 0.001  1.136 -0.057  1.217 -0.115  1.279 -0.190  1.329 -0.277  1.379 -0.364  1.441 -0.442  1.504 -0.520  1.508 -0.619  1.508 -0.719
2#apb#apb38#app3818/s  0.704 1.274  0.638 1.325  0.523 1.316  0.412 1.284  0.315 1.225  0.223 1.154  0.126 1.092  0.024 1.037  -0.077 0.982  -0.181 0.930  -0.284 0.878  -0.387 0.826  -0.481 0.759  -0.573 0.688  -0.664 0.618  -0.766 0.564  -0.872 0.516  -0.955 0.444  -0.991 0.338  -0.956 0.229  -0.870 0.157  -0.768 0.104  -0.659 0.065  -0.549 0.027  -0.438 -0.003  -0.327 -0.036  -0.222 -0.084  -0.117 -0.133  -0.012 -0.181  0.094 -0.229  0.200 -0.272  0.314 -0.293  0.427 -0.316  0.520 -0.384  0.614 -0.452  0.705 -0.523  0.792 -0.599  0.829 -0.708  0.818 -0.822  0.765 -0.922  0.695 -1.013  0.594 -1.068  0.492 -1.124  0.384 -1.162  0.273 -1.195  0.162 -1.228  0.049 -1.252  -0.066 -1.265  -0.181 -1.278  -0.296 -1.291
2#apb#apb38#app3818/o  0.932 1.012  0.937 1.109  0.813 1.102  0.688 1.039  0.563 0.976  0.427 0.942  0.292 0.908  0.156 0.874  0.032 0.812  -0.085 0.737  -0.203 0.661  -0.321 0.585  -0.439 0.510  -0.559 0.439  -0.679 0.367  -0.793 0.289  -0.865 0.170  -0.937 0.050  -1.009 -0.070  -1.050 -0.204  -1.090 -0.338  -1.107 -0.469  -1.038 -0.591  -0.967 -0.711  -0.875 -0.817  -0.783 -0.922  -0.681 -1.010  -0.544 -1.035  -0.406 -1.060  -0.268 -1.079  -0.128 -1.079  0.012 -1.079  0.148 -1.062  0.276 -1.006  0.404 -0.949  0.498 -0.853  0.576 -0.736  0.653 -0.620  0.692 -0.487  0.719 -0.350  0.744 -0.213  0.724 -0.075  0.705 0.064  0.685 0.202  0.657 0.339  0.610 0.470  0.562 0.602  0.511 0.732  0.441 0.853  0.372 0.974
2#apb#apb38#app3818/n  -0.951 0.455  -0.975 0.362  -0.970 0.246  -0.957 0.130  -0.944 0.014  -0.931 -0.102  -0.910 -0.216  -0.885 -0.330  -0.861 -0.444  -0.857 -0.561  -0.857 -0.677  -0.840 -0.791  -0.799 -0.900  -0.741 -1.000  -0.707 -0.894  -0.678 -0.781  -0.650 -0.668  -0.622 -0.555  -0.591 -0.442  -0.552 -0.333  -0.512 -0.223  -0.489 -0.109  -0.470 0.006  -0.431 0.113  -0.360 0.205  -0.287 0.296  -0.200 0.373  -0.113 0.451  -0.032 0.534  0.046 0.622  0.129 0.700  0.237 0.746  0.349 0.774  0.462 0.801  0.575 0.785  0.676 0.728  0.765 0.656  0.829 0.559  0.898 0.466  0.985 0.388  1.072 0.311  1.148 0.222  1.219 0.130  1.282 0.033  1.335 -0.071  1.377 -0.180  1.414 -0.290  1.455 -0.399  1.471 -0.513  1.447 -0.627
2#apb#apb38#app3818/Y  0.155 -2.087  0.129 -1.962  0.144 -1.836  0.162 -1.709  0.176 -1.582  0.185 -1.455  0.185 -1.327  0.185 -1.199  0.192 -1.071  0.204 -0.944  0.216 -0.816  0.224 -0.689  0.232 -0.561  0.241 -0.433  0.230 -0.307  0.269 -0.321  0.206 -0.279  0.118 -0.187  0.045 -0.081  -0.034 0.019  -0.129 0.105  -0.221 0.193  -0.312 0.284  -0.409 0.365  -0.518 0.432  -0.618 0.511  -0.713 0.597  -0.800 0.691  -0.887 0.785  -0.901 0.858  -0.780 0.818  -0.672 0.749  -0.558 0.692  -0.440 0.642  -0.340 0.563  -0.242 0.481  -0.136 0.410  -0.028 0.341  0.081 0.278  0.209 0.278  0.314 0.333  0.359 0.452  0.410 0.569  0.435 0.695  0.461 0.820  0.492 0.944  0.538 1.063  0.591 1.179  0.648 1.294  0.705 1.408
2#apb#apb38#app3818/o  -0.425 0.782  -0.499 0.702  -0.573 0.622  -0.647 0.542  -0.720 0.463  -0.776 0.371  -0.818 0.271  -0.860 0.170  -0.899 0.069  -0.931 -0.035  -0.963 -0.139  -0.995 -0.243  -0.965 -0.345  -0.928 -0.448  -0.891 -0.550  -0.837 -0.644  -0.782 -0.738  -0.728 -0.832  -0.649 -0.894  -0.543 -0.919  -0.437 -0.943  -0.332 -0.960  -0.229 -0.924  -0.127 -0.887  -0.024 -0.851  0.073 -0.804  0.161 -0.741  0.250 -0.678  0.338 -0.614  0.425 -0.550  0.494 -0.466  0.563 -0.381  0.632 -0.297  0.686 -0.204  0.724 -0.102  0.762 -0.000  0.800 0.101  0.832 0.205  0.837 0.313  0.843 0.422  0.849 0.530  0.854 0.639  0.855 0.748  0.848 0.856  0.841 0.965  0.834 1.073  0.817 1.180  0.785 1.284  0.753 1.388  0.721 1.492
2#apb#apb38#app3818/r  0.102 -1.295  0.059 -1.359  0.017 -1.424  -0.043 -1.469  -0.109 -1.437  -0.158 -1.377  -0.208 -1.318  -0.227 -1.248  -0.227 -1.171  -0.227 -1.093  -0.227 -1.016  -0.233 -0.940  -0.252 -0.865  -0.271 -0.790  -0.290 -0.715  -0.308 -0.640  -0.327 -0.565  -0.337 -0.488  -0.347 -0.412  -0.356 -0.335  -0.366 -0.259  -0.376 -0.182  -0.371 -0.105  -0.359 -0.029  -0.347 0.047  -0.336 0.124  -0.315 0.197  -0.278 0.265  -0.241 0.333  -0.204 0.400  -0.165 0.467  -0.119 0.529  -0.072 0.590  -0.026 0.652  0.020 0.714  0.070 0.772  0.127 0.824  0.185 0.876  0.242 0.928  0.299 0.980  0.359 1.029  0.422 1.073  0.486 1.117  0.549 1.160  0.613 1.204  0.680 1.238  0.757 1.244  0.834 1.250  0.911 1.256  0.988 1.262
2#apb#apb38#app3818/k  -0.747 1.108  -0.852 0.976  -0.919 0.827  -0.952 0.662  -0.989 0.497  -1.017 0.332  -1.017 0.164  -1.013 -0.005  -1.003 -0.173  -0.974 -0.337  -0.924 -0.498  -0.865 -0.656  -0.799 -0.811  -0.676 -0.920  -0.578 -0.823  -0.490 -0.680  -0.401 -0.536  -0.312 -0.393  -0.224 -0.250  -0.133 -0.108  -0.032 0.027  0.060 0.167  0.140 0.316  0.245 0.446  0.359 0.570  0.465 0.700  0.568 0.834  0.703 0.932  0.844 1.023  0.977 1.127  1.006 1.123  0.910 0.984  0.814 0.846  0.719 0.707  0.623 0.568  0.527 0.430  0.431 0.291  0.336 0.153  0.240 0.014  0.144 -0.124  0.158 -0.291  0.182 -0.458  0.231 -0.615  0.330 -0.751  0.403 -0.902  0.476 -1.053  0.572 -1.191  0.685 -1.314  0.818 -1.417  0.953 -1.518
2#apb#apb38#app3818/Z  -1.208 0.700  -1.254 0.723  -1.161 0.811  -1.054 0.880  -0.939 0.938  -0.813 0.959  -0.685 0.974  -0.557 0.987  -0.429 0.997  -0.301 1.006  -0.173 1.002  -0.045 0.989  0.083 0.975  0.208 0.947  0.332 0.913  0.455 0.875  0.564 0.807  0.672 0.738  0.773 0.658  0.856 0.566  0.891 0.442  0.861 0.322  0.813 0.202  0.743 0.096  0.660 -0.001  0.576 -0.099  0.477 -0.181  0.375 -0.259  0.273 -0.337  0.166 -0.409  0.055 -0.474  -0.056 -0.539  -0.166 -0.605  -0.270 -0.680  -0.375 -0.755  -0.480 -0.830  -0.584 -0.904  -0.698 -0.962  -0.587 -0.989  -0.458 -0.993  -0.330 -0.993  -0.202 -0.981  -0.075 -0.963  0.053 -0.948  0.181 -0.936  0.310 -0.929  0.438 -0.929  0.567 -0.929  0.695 -0.929  0.821 -0.955
2#apb#apb38#app3818/i  -0.107 -0.201  -0.157 -0.283  -0.165 -0.380  -0.174 -0.477  -0.175 -0.574  -0.159 -0.669  -0.143 -0.765  -0.131 -0.862  -0.131 -0.959  -0.131 -1.056  -0.128 -1.153  -0.116 -1.250  -0.090 -1.338  -0.015 -1.399  0.018 -1.364  0.022 -1.267  0.026 -1.170  0.031 -1.073  0.035 -0.975  0.039 -0.878  0.044 -0.781  0.048 -0.684  0.052 -0.587  0.057 -0.490  0.061 -0.393  0.065 -0.296  0.069 -0.198  0.074 -0.101  0.078 -0.004  0.082 0.093  0.087 0.190  0.091 0.287  0.095 0.384  0.100 0.481  0.104 0.579  0.108 0.676  0.112 0.773  0.117 0.870  0.121 0.967  0.125 1.064  0.130 1.161  0.134 1.258  0.124 1.349  0.046 1.407  -0.032 1.465  -0.083 1.544  -0.122 1.634  -0.117 1.727  -0.084 1.817  -0.034 1.901
2#apb#apb38#app3818/m  -0.991 0.495  -1.058 0.399  -1.111 0.299  -1.111 0.181  -1.111 0.064  -1.099 -0.053  -1.084 -0.169  -1.059 -0.284  -1.027 -0.397  -1.008 -0.511  -1.008 -0.629  -0.989 -0.743  -0.927 -0.809  -0.858 -0.715  -0.802 -0.611  -0.747 -0.508  -0.692 -0.404  -0.637 -0.300  -0.583 -0.196  -0.530 -0.091  -0.478 0.014  -0.423 0.118  -0.365 0.220  -0.307 0.321  -0.224 0.405  -0.130 0.472  -0.025 0.432  0.061 0.353  0.113 0.251  0.155 0.141  0.207 0.036  0.270 -0.063  0.337 -0.159  0.427 -0.149  0.516 -0.072  0.583 0.024  0.650 0.121  0.715 0.218  0.803 0.292  0.907 0.345  1.015 0.393  1.132 0.393  1.244 0.359  1.351 0.315  1.442 0.240  1.533 0.166  1.616 0.083  1.699 -0.000  1.768 -0.095  1.837 -0.190
2#apb#apb38#app3818/m  -1.294 0.125  -1.367 0.029  -1.382 -0.091  -1.363 -0.213  -1.342 -0.335  -1.310 -0.453  -1.250 -0.561  -1.202 -0.672  -1.103 -0.685  -1.027 -0.588  -0.967 -0.480  -0.912 -0.369  -0.857 -0.259  -0.802 -0.149  -0.740 -0.042  -0.674 0.062  -0.595 0.156  -0.500 0.234  -0.403 0.311  -0.303 0.380  -0.184 0.402  -0.088 0.327  -0.013 0.230  0.004 0.109  0.004 -0.013  -0.029 -0.132  -0.036 -0.255  0.028 -0.251  0.095 -0.147  0.143 -0.034  0.196 0.077  0.272 0.175  0.353 0.268  0.435 0.360  0.539 0.426  0.645 0.490  0.753 0.549  0.872 0.575  0.995 0.574  1.109 0.541  1.200 0.458  1.271 0.357  1.311 0.244  1.328 0.121  1.342 -0.001  1.355 -0.124  1.364 -0.247  1.364 -0.371  1.371 -0.493  1.395 -0.615
2#apb#apb38#app3818/e  -0.542 0.231  -0.473 0.118  -0.334 0.095  -0.192 0.108  -0.065 0.176  0.057 0.252  0.176 0.335  0.291 0.422  0.399 0.518  0.507 0.614  0.616 0.710  0.724 0.805  0.807 0.923  0.879 1.047  0.900 1.185  0.792 1.235  0.656 1.198  0.525 1.136  0.395 1.074  0.264 1.012  0.146 0.932  0.044 0.830  -0.058 0.728  -0.160 0.626  -0.263 0.524  -0.365 0.421  -0.460 0.313  -0.553 0.202  -0.645 0.091  -0.725 -0.030  -0.802 -0.152  -0.873 -0.277  -0.909 -0.417  -0.946 -0.557  -0.925 -0.699  -0.869 -0.824  -0.762 -0.922  -0.633 -0.984  -0.499 -1.037  -0.359 -1.075  -0.220 -1.113  -0.077 -1.131  0.067 -1.149  0.210 -1.142  0.354 -1.124  0.497 -1.104  0.639 -1.080  0.781 -1.054  0.921 -1.016  1.060 -0.978
2#apb#apb38#app3818/r  -0.303 0.120  -0.364 0.036  -0.432 -0.043  -0.480 -0.134  -0.513 -0.233  -0.520 -0.337  -0.520 -0.441  -0.520 -0.546  -0.520 -0.650  -0.520 -0.755  -0.520 -0.859  -0.520 -0.964  -0.520 -1.068  -0.520 -1.173  -0.546 -1.266  -0.559 -1.234  -0.559 -1.129  -0.549 -1.026  -0.534 -0.922  -0.519 -0.819  -0.499 -0.716  -0.480 -0.613  -0.461 -0.511  -0.424 -0.413  -0.387 -0.315  -0.351 -0.217  -0.305 -0.124  -0.256 -0.031  -0.207 0.061  -0.155 0.152  -0.088 0.231  -0.020 0.311  0.047 0.391  0.117 0.468  0.188 0.546  0.258 0.623  0.332 0.697  0.406 0.770  0.484 0.839  0.577 0.886  0.671 0.933  0.769 0.966  0.870 0.993  0.971 1.020  1.073 1.043  1.175 1.065  1.277 1.087  1.381 1.093  1.486 1.100  1.590 1.106
