2#apa#apa15#app1587/S  0.158 1.016  0.158 1.146  0.069 1.186  -0.061 1.186  -0.191 1.186  -0.320 1.186  -0.421 1.116  -0.513 1.024  -0.604 0.933  -0.698 0.846  -0.828 0.846  -0.860 0.749  -0.860 0.620  -0.844 0.507  -0.714 0.507  -0.595 0.459  -0.480 0.401  -0.364 0.343  -0.238 0.314  -0.110 0.289  0.017 0.263  0.144 0.238  0.271 0.213  0.398 0.187  0.526 0.167  0.655 0.167  0.785 0.167  0.872 0.098  0.930 -0.018  0.988 -0.134  1.007 -0.259  1.007 -0.389  1.003 -0.517  0.911 -0.608  0.816 -0.696  0.708 -0.768  0.600 -0.840  0.493 -0.912  0.385 -0.984  0.266 -1.021  0.137 -1.021  0.007 -1.021  -0.123 -1.021  -0.252 -1.021  -0.382 -1.021  -0.512 -1.021  -0.641 -1.021  -0.771 -1.021  -0.901 -1.021  -1.030 -1.021
2#apa#apa15#app1587/h  -1.004 1.688  -1.004 1.567  -0.989 1.448  -0.950 1.333  -0.912 1.218  -0.874 1.103  -0.836 0.988  -0.792 0.876  -0.738 0.768  -0.684 0.659  -0.629 0.551  -0.575 0.443  -0.521 0.334  -0.467 0.226  -0.418 0.116  -0.388 -0.001  -0.359 -0.119  -0.329 -0.236  -0.300 -0.354  -0.271 -0.471  -0.241 -0.589  -0.229 -0.708  -0.229 -0.829  -0.144 -0.915  -0.059 -1.001  -0.036 -0.935  -0.036 -0.814  -0.036 -0.693  -0.036 -0.572  -0.036 -0.451  -0.036 -0.330  -0.036 -0.209  -0.036 -0.087  0.027 0.008  0.113 0.093  0.209 0.113  0.318 0.058  0.426 0.004  0.534 -0.050  0.648 -0.090  0.763 -0.128  0.878 -0.166  0.993 -0.205  1.108 -0.243  1.198 -0.321  1.284 -0.407  1.351 -0.505  1.405 -0.614  1.460 -0.722  1.514 -0.830
2#apa#apa15#app1587/e  -1.268 -0.412  -1.126 -0.412  -0.985 -0.412  -0.963 -0.293  -0.963 -0.151  -0.895 -0.039  -0.795 0.061  -0.695 0.161  -0.595 0.261  -0.495 0.361  -0.395 0.461  -0.295 0.560  -0.196 0.660  -0.096 0.760  -0.049 0.882  -0.049 1.023  -0.087 1.073  -0.187 0.973  -0.287 0.873  -0.354 0.760  -0.354 0.618  -0.379 0.502  -0.520 0.502  -0.659 0.499  -0.659 0.358  -0.659 0.217  -0.659 0.076  -0.659 -0.066  -0.588 -0.178  -0.488 -0.278  -0.388 -0.377  -0.262 -0.412  -0.120 -0.412  0.013 -0.443  0.140 -0.506  0.266 -0.570  0.392 -0.633  0.519 -0.696  0.627 -0.649  0.727 -0.549  0.827 -0.449  0.953 -0.412  1.094 -0.412  1.235 -0.412  1.376 -0.412  1.517 -0.412  1.659 -0.412  1.800 -0.412  1.941 -0.412  2.082 -0.412
2#apa#apa15#app1587/d  -0.046 2.072  0.019 1.943  0.083 1.814  0.147 1.685  0.174 1.547  0.174 1.403  0.174 1.259  0.174 1.115  0.174 0.971  0.174 0.827  0.191 0.685  0.226 0.545  0.261 0.405  0.296 0.265  0.331 0.125  0.366 -0.015  0.393 -0.156  0.393 -0.300  0.393 -0.444  0.393 -0.588  0.393 -0.732  0.488 -0.782  0.613 -0.762  0.613 -0.618  0.613 -0.474  0.613 -0.330  0.613 -0.186  0.555 -0.065  0.453 0.037  0.334 0.097  0.189 0.097  0.045 0.097  -0.099 0.097  -0.243 0.097  -0.352 0.010  -0.453 -0.091  -0.555 -0.193  -0.657 -0.295  -0.759 -0.397  -0.861 -0.499  -0.924 -0.617  -0.924 -0.762  -0.924 -0.906  -0.878 -1.017  -0.741 -1.062  -0.604 -1.108  -0.467 -1.153  -0.331 -1.199  -0.190 -1.221  -0.046 -1.221
2#apa#apa15#app1587/t  -0.564 1.644  -0.523 1.481  -0.482 1.318  -0.441 1.155  -0.401 0.992  -0.360 0.829  -0.352 0.662  -0.352 0.494  -0.330 0.331  -0.254 0.181  -0.179 0.030  -0.104 -0.120  -0.029 -0.271  0.046 -0.421  0.070 -0.583  0.070 -0.751  0.070 -0.920  0.070 -1.088  0.070 -1.256  0.148 -1.392  0.267 -1.511  0.341 -1.391  0.410 -1.237  0.478 -1.083  0.546 -0.930  0.614 -0.776  0.683 -0.623  0.751 -0.469  0.819 -0.315  0.888 -0.162  0.956 -0.008  1.024 0.145  1.092 0.299  1.043 0.377  0.875 0.377  0.707 0.377  0.539 0.377  0.371 0.377  0.203 0.377  0.035 0.377  -0.133 0.377  -0.301 0.377  -0.470 0.377  -0.638 0.377  -0.805 0.369  -0.968 0.328  -1.131 0.288  -1.294 0.247  -1.457 0.206  -1.620 0.165
2#apa#apa15#app1587/h  -0.732 1.751  -0.732 1.616  -0.732 1.481  -0.732 1.346  -0.706 1.217  -0.646 1.097  -0.585 0.976  -0.525 0.856  -0.491 0.729  -0.491 0.594  -0.491 0.459  -0.491 0.324  -0.491 0.189  -0.491 0.055  -0.491 -0.080  -0.491 -0.215  -0.491 -0.350  -0.491 -0.485  -0.491 -0.620  -0.491 -0.755  -0.491 -0.890  -0.491 -1.024  -0.483 -1.126  -0.422 -1.005  -0.362 -0.884  -0.302 -0.764  -0.250 -0.641  -0.250 -0.506  -0.229 -0.377  -0.168 -0.256  -0.108 -0.135  -0.048 -0.015  0.039 0.064  0.174 0.064  0.233 0.140  0.233 0.275  0.326 0.258  0.447 0.198  0.567 0.137  0.688 0.077  0.809 0.017  0.929 -0.044  1.050 -0.104  1.171 -0.164  1.244 -0.272  1.304 -0.393  1.365 -0.513  1.425 -0.634  1.438 -0.766  1.438 -0.901
2#apa#apa15#app1587/e  -1.149 -0.860  -1.002 -0.860  -0.854 -0.860  -0.743 -0.774  -0.638 -0.670  -0.534 -0.565  -0.430 -0.461  -0.325 -0.357  -0.221 -0.253  -0.117 -0.148  -0.013 -0.044  0.092 0.060  0.133 0.191  0.133 0.338  0.161 0.479  0.227 0.611  0.293 0.743  0.359 0.875  0.425 1.007  0.454 1.148  0.454 1.295  0.395 1.384  0.248 1.384  0.100 1.384  -0.047 1.384  -0.188 1.377  -0.188 1.229  -0.188 1.082  -0.188 0.934  -0.188 0.787  -0.188 0.639  -0.188 0.492  -0.188 0.344  -0.188 0.197  -0.188 0.049  -0.188 -0.098  -0.188 -0.246  -0.188 -0.393  -0.187 -0.541  -0.082 -0.645  0.022 -0.749  0.126 -0.853  0.230 -0.958  0.335 -1.062  0.439 -1.166  0.567 -1.238  0.699 -1.304  0.831 -1.370  0.963 -1.436  1.095 -1.502
2#apa#apa15#app1587/h  -0.719 1.713  -0.719 1.584  -0.719 1.455  -0.719 1.326  -0.719 1.196  -0.716 1.067  -0.695 0.940  -0.674 0.812  -0.652 0.685  -0.631 0.557  -0.610 0.430  -0.589 0.302  -0.567 0.175  -0.546 0.047  -0.525 -0.080  -0.509 -0.208  -0.509 -0.337  -0.509 -0.467  -0.509 -0.596  -0.509 -0.725  -0.509 -0.854  -0.509 -0.984  -0.509 -0.911  -0.495 -0.788  -0.403 -0.696  -0.312 -0.605  -0.221 -0.514  -0.129 -0.422  -0.090 -0.309  -0.090 -0.180  -0.035 -0.064  0.023 0.052  0.080 0.168  0.161 0.246  0.291 0.246  0.420 0.246  0.548 0.241  0.664 0.183  0.779 0.126  0.895 0.068  1.000 -0.005  1.091 -0.097  1.168 -0.194  1.168 -0.323  1.168 -0.452  1.168 -0.582  1.168 -0.711  1.195 -0.829  1.286 -0.921  1.377 -1.012
2#apa#apa15#app1587/o  -0.103 -0.342  -0.103 -0.144  -0.038 0.027  0.102 0.167  0.202 0.324  0.202 0.523  0.202 0.721  0.202 0.919  0.202 1.117  0.108 1.088  -0.032 0.948  -0.103 0.779  -0.103 0.580  -0.208 0.414  -0.318 0.249  -0.428 0.084  -0.538 -0.081  -0.648 -0.246  -0.738 -0.420  -0.801 -0.608  -0.864 -0.796  -0.927 -0.985  -0.989 -1.173  -1.017 -1.366  -1.015 -1.561  -0.850 -1.451  -0.685 -1.341  -0.521 -1.231  -0.356 -1.121  -0.191 -1.011  -0.037 -0.887  0.103 -0.747  0.243 -0.606  0.383 -0.466  0.524 -0.326  0.664 -0.186  0.804 -0.046  0.944 0.094  1.084 0.235  1.117 0.419  1.117 0.618  1.117 0.816  0.980 0.877  0.782 0.877  0.584 0.877  0.385 0.877  0.187 0.877  -0.011 0.877  -0.209 0.877  -0.408 0.877
2#apa#apa15#app1587/m  -1.302 -0.776  -1.302 -0.661  -1.302 -0.545  -1.302 -0.429  -1.302 -0.313  -1.302 -0.197  -1.302 -0.081  -1.302 0.034  -1.255 0.131  -1.173 0.213  -1.091 0.295  -1.006 0.370  -0.891 0.370  -0.775 0.370  -0.659 0.370  -0.543 0.370  -0.431 0.360  -0.350 0.278  -0.285 0.186  -0.248 0.076  -0.211 -0.034  -0.175 -0.144  -0.155 -0.257  -0.155 -0.372  -0.155 -0.488  -0.074 -0.409  0.001 -0.322  0.052 -0.218  0.104 -0.115  0.170 -0.021  0.252 0.061  0.334 0.143  0.416 0.225  0.498 0.306  0.587 0.370  0.703 0.370  0.785 0.451  0.875 0.514  0.991 0.514  1.043 0.410  1.095 0.307  1.154 0.208  1.236 0.126  1.303 0.034  1.355 -0.070  1.407 -0.173  1.421 -0.286  1.421 -0.401  1.421 -0.517  1.421 -0.633
2#apa#apa15#app1587/u  -0.631 1.003  -0.727 1.003  -0.823 1.003  -0.905 0.988  -0.905 0.892  -0.905 0.796  -0.905 0.700  -0.905 0.604  -0.905 0.508  -0.905 0.412  -0.905 0.315  -0.905 0.219  -0.886 0.126  -0.855 0.035  -0.825 -0.056  -0.794 -0.147  -0.764 -0.238  -0.734 -0.330  -0.703 -0.421  -0.673 -0.512  -0.642 -0.603  -0.571 -0.637  -0.475 -0.637  -0.379 -0.637  -0.282 -0.637  -0.186 -0.637  -0.090 -0.637  0.006 -0.637  0.102 -0.637  0.197 -0.633  0.283 -0.590  0.369 -0.547  0.455 -0.504  0.541 -0.461  0.627 -0.418  0.713 -0.375  0.786 -0.314  0.854 -0.246  0.922 -0.178  0.990 -0.110  1.058 -0.042  1.126 0.026  1.194 0.094  1.262 0.162  1.283 0.249  1.283 0.345  1.283 0.441  1.283 0.538  1.283 0.634  1.283 0.730
2#apa#apa15#app1587/n  -0.726 -1.109  -0.829 -1.109  -0.933 -1.109  -0.933 -1.005  -0.933 -0.902  -0.933 -0.798  -0.933 -0.695  -0.933 -0.591  -0.933 -0.488  -0.933 -0.384  -0.933 -0.281  -0.887 -0.188  -0.840 -0.096  -0.794 -0.003  -0.748 0.089  -0.726 0.188  -0.726 0.291  -0.687 0.379  -0.614 0.452  -0.541 0.525  -0.447 0.548  -0.343 0.548  -0.312 0.619  -0.312 0.723  -0.240 0.755  -0.137 0.755  -0.033 0.755  0.070 0.755  0.174 0.755  0.277 0.755  0.373 0.723  0.466 0.676  0.558 0.630  0.651 0.584  0.723 0.525  0.723 0.422  0.736 0.322  0.793 0.236  0.851 0.150  0.908 0.064  0.965 -0.022  1.023 -0.108  1.080 -0.195  1.138 -0.281  1.138 -0.384  1.138 -0.488  1.138 -0.591  1.138 -0.695  1.138 -0.798  1.138 -0.902
2#apa#apa15#app1587/c  0.840 0.524  0.732 0.524  0.624 0.524  0.578 0.587  0.578 0.695  0.578 0.803  0.578 0.911  0.578 1.019  0.499 1.048  0.391 1.048  0.283 1.048  0.175 1.048  0.067 1.048  -0.041 1.048  -0.149 1.048  -0.242 1.012  -0.319 0.936  -0.395 0.860  -0.470 0.782  -0.504 0.680  -0.538 0.577  -0.573 0.475  -0.607 0.372  -0.641 0.270  -0.675 0.167  -0.709 0.065  -0.730 -0.040  -0.730 -0.148  -0.730 -0.256  -0.730 -0.364  -0.730 -0.472  -0.690 -0.563  -0.613 -0.640  -0.537 -0.716  -0.458 -0.789  -0.362 -0.838  -0.265 -0.886  -0.168 -0.934  -0.072 -0.983  0.025 -1.031  0.129 -1.046  0.237 -1.046  0.345 -1.046  0.453 -1.046  0.561 -1.046  0.670 -1.046  0.778 -1.046  0.886 -1.046  0.994 -1.046  1.102 -1.046
2#apa#apa15#app1587/u  -0.962 0.774  -0.962 0.681  -0.962 0.588  -0.962 0.495  -0.962 0.403  -0.962 0.310  -0.962 0.217  -0.962 0.124  -0.962 0.031  -0.962 -0.062  -0.962 -0.155  -0.962 -0.248  -0.962 -0.340  -0.962 -0.433  -0.962 -0.526  -0.959 -0.616  -0.866 -0.616  -0.774 -0.616  -0.681 -0.615  -0.591 -0.593  -0.501 -0.570  -0.411 -0.548  -0.320 -0.525  -0.230 -0.503  -0.140 -0.480  -0.050 -0.458  0.040 -0.435  0.130 -0.413  0.220 -0.390  0.310 -0.368  0.400 -0.345  0.474 -0.293  0.539 -0.227  0.605 -0.162  0.671 -0.096  0.736 -0.030  0.802 0.035  0.868 0.101  0.933 0.167  0.999 0.233  1.065 0.298  1.130 0.364  1.196 0.430  1.262 0.495  1.262 0.588  1.262 0.681  1.262 0.773  1.262 0.866  1.262 0.959  1.262 1.052
2#apa#apa15#app1587/l  -0.152 1.690  -0.152 1.620  -0.152 1.551  -0.152 1.481  -0.152 1.411  -0.152 1.342  -0.152 1.272  -0.152 1.203  -0.152 1.133  -0.152 1.063  -0.152 0.994  -0.152 0.924  -0.152 0.855  -0.141 0.786  -0.127 0.718  -0.113 0.650  -0.100 0.582  -0.086 0.513  -0.072 0.445  -0.059 0.377  -0.045 0.309  -0.032 0.240  -0.018 0.172  -0.004 0.104  0.009 0.036  0.023 -0.033  0.037 -0.101  0.050 -0.169  0.064 -0.237  0.078 -0.305  0.091 -0.374  0.105 -0.442  0.119 -0.510  0.129 -0.579  0.129 -0.648  0.129 -0.718  0.129 -0.787  0.129 -0.857  0.129 -0.927  0.129 -0.996  0.129 -1.066  0.129 -1.135  0.129 -1.205  0.129 -1.274  0.129 -1.344  0.129 -1.414  0.129 -1.483  0.129 -1.553  0.129 -1.622  0.129 -1.692
2#apa#apa15#app1587/u  -0.945 1.080  -0.945 0.988  -0.945 0.896  -0.945 0.805  -0.945 0.713  -0.945 0.621  -0.945 0.529  -0.945 0.437  -0.945 0.345  -0.945 0.254  -0.945 0.162  -0.945 0.070  -0.945 -0.022  -0.944 -0.114  -0.879 -0.178  -0.814 -0.243  -0.749 -0.308  -0.685 -0.373  -0.620 -0.438  -0.555 -0.503  -0.490 -0.568  -0.425 -0.633  -0.360 -0.698  -0.273 -0.710  -0.181 -0.710  -0.089 -0.710  -0.006 -0.681  0.070 -0.630  0.147 -0.579  0.223 -0.528  0.299 -0.477  0.376 -0.426  0.452 -0.375  0.529 -0.324  0.605 -0.273  0.681 -0.222  0.758 -0.171  0.834 -0.120  0.901 -0.057  0.966 0.008  1.031 0.072  1.096 0.137  1.154 0.207  1.195 0.289  1.236 0.371  1.277 0.453  1.318 0.535  1.360 0.617  1.401 0.700  1.442 0.782
2#apa#apa15#app1587/s  -0.088 1.048  -0.193 1.048  -0.298 1.048  -0.404 1.048  -0.509 1.048  -0.595 1.004  -0.669 0.929  -0.744 0.855  -0.833 0.817  -0.938 0.817  -1.014 0.787  -1.014 0.682  -1.008 0.579  -0.933 0.505  -0.859 0.431  -0.785 0.357  -0.681 0.354  -0.576 0.354  -0.471 0.354  -0.366 0.354  -0.263 0.340  -0.161 0.314  -0.059 0.289  0.043 0.263  0.145 0.238  0.247 0.212  0.349 0.187  0.451 0.161  0.552 0.136  0.641 0.087  0.715 0.013  0.790 -0.061  0.837 -0.147  0.837 -0.252  0.837 -0.357  0.837 -0.462  0.837 -0.567  0.791 -0.661  0.744 -0.755  0.697 -0.849  0.651 -0.943  0.603 -1.036  0.528 -1.111  0.454 -1.185  0.380 -1.259  0.287 -1.308  0.193 -1.355  0.099 -1.402  0.005 -1.449  -0.088 -1.496
2#apa#apa15#app1587/.  -0.088 1.048  -0.193 1.048  -0.298 1.048  -0.404 1.048  -0.509 1.048  -0.595 1.004  -0.669 0.929  -0.744 0.855  -0.833 0.817  -0.938 0.817  -1.014 0.787  -1.014 0.682  -1.008 0.579  -0.933 0.505  -0.859 0.431  -0.785 0.357  -0.681 0.354  -0.576 0.354  -0.471 0.354  -0.366 0.354  -0.263 0.340  -0.161 0.314  -0.059 0.289  0.043 0.263  0.145 0.238  0.247 0.212  0.349 0.187  0.451 0.161  0.552 0.136  0.641 0.087  0.715 0.013  0.790 -0.061  0.837 -0.147  0.837 -0.252  0.837 -0.357  0.837 -0.462  0.837 -0.567  0.791 -0.661  0.744 -0.755  0.697 -0.849  0.651 -0.943  0.603 -1.036  0.528 -1.111  0.454 -1.185  0.380 -1.259  0.287 -1.308  0.193 -1.355  0.099 -1.402  0.005 -1.449  -0.088 -1.496
2#apa#apa15#app1587/\"  -0.471 0.914  -0.625 0.914  -0.761 0.896  -0.761 0.742  -0.761 0.588  -0.761 0.434  -0.761 0.280  -0.761 0.126  -0.761 -0.028  -0.761 -0.182  -0.761 -0.336  -0.761 -0.490  -0.761 -0.644  -0.761 -0.798  -0.761 -0.952  -0.761 -1.106  -0.761 -1.260  -0.755 -1.393  -0.669 -1.265  -0.584 -1.137  -0.498 -1.009  -0.413 -0.881  -0.328 -0.752  -0.242 -0.624  -0.157 -0.496  -0.071 -0.368  0.014 -0.240  0.099 -0.112  0.185 0.016  0.270 0.144  0.356 0.273  0.441 0.401  0.526 0.529  0.612 0.657  0.697 0.785  0.783 0.913  0.868 1.041  0.954 1.169  0.977 1.092  0.977 0.938  0.977 0.784  0.977 0.630  0.977 0.476  0.971 0.323  0.902 0.186  0.833 0.048  0.764 -0.090  0.695 -0.228  0.687 -0.380  0.687 -0.534
