3#app#app12#app1259/w  -0.887 1.105  -0.887 0.936  -0.887 0.766  -0.887 0.597  -1.037 0.577  -1.064 0.434  -1.064 0.265  -1.064 0.095  -1.064 -0.074  -1.064 -0.244  -1.064 -0.413  -0.991 -0.553  -0.887 -0.679  -0.887 -0.849  -0.878 -1.009  -0.709 -1.007  -0.589 -0.887  -0.494 -0.750  -0.418 -0.598  -0.359 -0.443  -0.337 -0.282  -0.217 -0.163  -0.097 -0.043  -0.006 0.089  -0.006 0.259  -0.006 0.428  0.014 0.577  0.170 0.591  0.170 0.746  0.170 0.576  0.170 0.407  0.170 0.237  0.170 0.068  0.170 -0.102  0.271 -0.229  0.410 -0.304  0.522 -0.361  0.572 -0.480  0.742 -0.480  0.901 -0.454  1.020 -0.335  1.051 -0.178  1.171 -0.128  1.227 -0.015  1.333 0.048  1.403 0.148  1.403 0.317  1.464 0.462  1.579 0.583  1.579 0.753
3#app#app12#app1259/o  -0.451 0.504  -0.540 0.415  -0.629 0.326  -0.654 0.210  -0.654 0.083  -0.654 -0.043  -0.654 -0.169  -0.654 -0.295  -0.768 -0.307  -0.857 -0.345  -0.857 -0.471  -0.857 -0.597  -0.857 -0.724  -0.857 -0.850  -0.814 -0.958  -0.725 -1.048  -0.628 -1.119  -0.502 -1.119  -0.376 -1.119  -0.249 -1.119  -0.160 -1.031  -0.070 -0.942  -0.045 -0.826  -0.031 -0.713  0.095 -0.713  0.203 -0.668  0.292 -0.579  0.381 -0.490  0.470 -0.401  0.560 -0.311  0.564 -0.187  0.595 -0.073  0.684 0.016  0.767 0.108  0.767 0.234  0.767 0.360  0.767 0.486  0.767 0.613  0.767 0.739  0.767 0.865  0.767 0.991  0.762 1.113  0.636 1.113  0.564 1.167  0.564 1.293  0.460 1.316  0.334 1.316  0.208 1.316  0.081 1.316  -0.045 1.316
3#app#app12#app1259/u  -0.961 1.180  -0.961 1.075  -0.961 0.970  -0.961 0.865  -0.961 0.760  -0.961 0.655  -0.961 0.550  -0.961 0.445  -0.961 0.340  -0.912 0.255  -0.838 0.180  -0.764 0.106  -0.742 0.010  -0.742 -0.095  -0.742 -0.200  -0.742 -0.305  -0.742 -0.410  -0.742 -0.515  -0.695 -0.574  -0.590 -0.574  -0.496 -0.600  -0.422 -0.674  -0.347 -0.749  -0.261 -0.793  -0.156 -0.793  -0.051 -0.793  0.055 -0.793  0.152 -0.775  0.227 -0.701  0.301 -0.627  0.375 -0.552  0.450 -0.478  0.524 -0.404  0.608 -0.354  0.713 -0.354  0.793 -0.328  0.793 -0.223  0.804 -0.123  0.879 -0.049  0.953 0.025  1.012 0.106  1.012 0.211  1.012 0.316  1.012 0.421  1.014 0.525  1.089 0.600  1.163 0.674  1.231 0.751  1.231 0.856  1.231 0.961
3#app#app12#app1259/s  0.640 1.383  0.640 1.241  0.538 1.201  0.396 1.201  0.277 1.178  0.277 1.036  0.151 1.020  0.009 1.020  -0.086 0.973  -0.093 0.838  -0.235 0.838  -0.345 0.761  -0.446 0.660  -0.546 0.560  -0.653 0.475  -0.795 0.475  -0.901 0.387  -0.995 0.284  -0.995 0.142  -1.073 0.033  -1.174 -0.068  -1.078 -0.168  -0.971 -0.252  -0.829 -0.252  -0.687 -0.252  -0.545 -0.252  -0.416 -0.219  -0.316 -0.118  -0.194 -0.070  -0.052 -0.070  0.090 -0.070  0.232 -0.070  0.374 -0.070  0.516 -0.070  0.640 -0.088  0.640 -0.230  0.761 -0.252  0.822 -0.333  0.822 -0.475  0.822 -0.617  0.822 -0.759  0.822 -0.901  0.776 -1.024  0.676 -1.125  0.549 -1.160  0.422 -1.197  0.321 -1.297  0.198 -1.342  0.095 -1.381  0.095 -1.523
3#app#app12#app1259/h  -0.641 1.992  -0.554 1.906  -0.486 1.812  -0.486 1.690  -0.486 1.568  -0.486 1.446  -0.486 1.324  -0.478 1.204  -0.423 1.095  -0.369 0.985  -0.332 0.872  -0.332 0.750  -0.332 0.628  -0.332 0.506  -0.332 0.384  -0.332 0.262  -0.332 0.140  -0.332 0.018  -0.332 -0.105  -0.332 -0.227  -0.332 -0.349  -0.332 -0.471  -0.332 -0.593  -0.274 -0.691  -0.188 -0.778  -0.177 -0.895  -0.177 -1.017  -0.135 -1.097  -0.016 -1.091  0.071 -1.004  0.132 -0.908  0.134 -0.786  0.220 -0.700  0.286 -0.605  0.286 -0.483  0.286 -0.361  0.372 -0.325  0.441 -0.272  0.456 -0.156  0.542 -0.069  0.595 -0.063  0.595 -0.185  0.595 -0.307  0.595 -0.429  0.646 -0.530  0.732 -0.616  0.750 -0.731  0.750 -0.853  0.782 -0.943  0.904 -0.943
3#app#app12#app1259/o  -0.216 1.389  -0.216 1.253  -0.242 1.142  -0.378 1.142  -0.463 1.090  -0.463 0.953  -0.463 0.816  -0.463 0.679  -0.537 0.573  -0.633 0.476  -0.711 0.372  -0.711 0.235  -0.711 0.098  -0.711 -0.039  -0.711 -0.176  -0.711 -0.312  -0.711 -0.449  -0.711 -0.586  -0.711 -0.723  -0.711 -0.860  -0.711 -0.996  -0.665 -1.087  -0.528 -1.087  -0.392 -1.087  -0.255 -1.087  -0.118 -1.087  0.019 -1.087  0.156 -1.087  0.285 -1.076  0.347 -0.954  0.408 -0.831  0.469 -0.709  0.533 -0.592  0.670 -0.592  0.775 -0.560  0.775 -0.423  0.775 -0.286  0.775 -0.150  0.775 -0.013  0.775 0.124  0.775 0.261  0.775 0.398  0.775 0.534  0.775 0.671  0.775 0.808  0.724 0.894  0.588 0.894  0.473 0.948  0.376 1.045  0.280 1.142
3#app#app12#app1259/u  -0.804 1.495  -0.804 1.396  -0.804 1.297  -0.736 1.267  -0.637 1.267  -0.577 1.229  -0.577 1.130  -0.577 1.031  -0.577 0.933  -0.577 0.834  -0.577 0.735  -0.577 0.636  -0.577 0.538  -0.577 0.439  -0.577 0.340  -0.577 0.241  -0.577 0.143  -0.577 0.044  -0.577 -0.055  -0.577 -0.154  -0.577 -0.252  -0.553 -0.327  -0.454 -0.327  -0.355 -0.327  -0.349 -0.420  -0.349 -0.518  -0.287 -0.555  -0.188 -0.555  -0.099 -0.578  -0.029 -0.647  0.041 -0.717  0.112 -0.783  0.211 -0.783  0.310 -0.783  0.409 -0.783  0.507 -0.783  0.606 -0.783  0.705 -0.783  0.800 -0.773  0.870 -0.704  0.939 -0.634  1.009 -0.564  1.018 -0.469  1.018 -0.370  1.058 -0.288  1.127 -0.218  1.197 -0.148  1.246 -0.069  1.246 0.029  1.246 0.128
3#app#app12#app1259/l  -0.094 1.713  -0.094 1.642  -0.094 1.571  -0.094 1.500  -0.094 1.429  -0.094 1.358  -0.094 1.287  -0.094 1.216  -0.094 1.145  -0.094 1.074  -0.094 1.003  -0.094 0.932  -0.094 0.861  -0.094 0.790  -0.094 0.719  -0.094 0.648  -0.094 0.577  -0.094 0.506  -0.094 0.435  -0.094 0.364  -0.094 0.293  -0.094 0.222  -0.094 0.151  -0.094 0.080  -0.094 0.009  -0.094 -0.062  -0.094 -0.133  -0.094 -0.204  -0.076 -0.271  -0.044 -0.335  -0.013 -0.398  0.019 -0.462  0.051 -0.525  0.083 -0.589  0.083 -0.660  0.083 -0.731  0.083 -0.802  0.083 -0.873  0.083 -0.944  0.083 -1.015  0.083 -1.086  0.109 -1.146  0.159 -1.196  0.209 -1.246  0.259 -1.296  0.260 -1.367  0.260 -1.438  0.260 -1.509  0.260 -1.580  0.260 -1.651
3#app#app12#app1259/d  0.133 1.738  0.133 1.595  0.133 1.452  0.133 1.310  0.217 1.252  0.295 1.186  0.295 1.044  0.295 0.901  0.298 0.759  0.362 0.631  0.426 0.504  0.457 0.368  0.457 0.225  0.457 0.083  0.457 -0.060  0.457 -0.203  0.595 -0.208  0.619 -0.326  0.718 -0.370  0.781 -0.291  0.781 -0.148  0.781 -0.005  0.766 0.131  0.665 0.232  0.542 0.279  0.416 0.320  0.315 0.421  0.181 0.441  0.038 0.441  -0.083 0.387  -0.184 0.286  -0.285 0.186  -0.399 0.116  -0.516 0.091  -0.520 -0.050  -0.621 -0.151  -0.678 -0.270  -0.708 -0.400  -0.809 -0.501  -0.840 -0.631  -0.840 -0.774  -0.840 -0.917  -0.840 -1.060  -0.840 -1.202  -0.839 -1.344  -0.738 -1.445  -0.620 -1.505  -0.477 -1.505  -0.334 -1.505  -0.192 -1.505
3#app#app12#app1259/n  -0.915 1.203  -0.915 1.051  -0.915 0.898  -0.886 0.757  -0.778 0.649  -0.707 0.526  -0.707 0.373  -0.707 0.221  -0.707 0.068  -0.707 -0.085  -0.707 -0.238  -0.707 -0.390  -0.707 -0.543  -0.707 -0.696  -0.707 -0.849  -0.622 -0.966  -0.514 -1.074  -0.498 -1.220  -0.498 -1.223  -0.479 -1.090  -0.326 -1.090  -0.290 -0.974  -0.229 -0.881  -0.081 -0.877  -0.081 -0.724  -0.081 -0.571  -0.081 -0.418  -0.081 -0.266  0.020 -0.155  0.127 -0.047  0.127 0.106  0.127 0.259  0.127 0.412  0.127 0.564  0.226 0.676  0.334 0.784  0.442 0.892  0.550 0.989  0.658 0.881  0.766 0.773  0.874 0.665  0.961 0.549  0.961 0.396  1.087 0.369  1.170 0.299  1.184 0.161  1.337 0.161  1.378 0.050  1.378 -0.103  1.378 -0.256
3#app#app12#app1259/'  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.936  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.936  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
3#app#app12#app1259/t  0.181 1.884  0.181 1.723  0.181 1.562  0.181 1.401  0.181 1.241  0.181 1.080  0.181 0.919  0.181 0.758  0.181 0.597  0.181 0.436  0.181 0.275  0.181 0.115  0.181 -0.046  0.181 -0.207  0.181 -0.368  0.181 -0.529  0.181 -0.690  0.181 -0.851  0.181 -1.011  0.181 -1.172  0.181 -1.333  0.181 -1.494  0.181 -1.655  0.153 -1.688  0.086 -1.542  0.018 -1.396  -0.049 -1.250  -0.117 -1.104  -0.184 -0.958  -0.251 -0.812  -0.319 -0.666  -0.386 -0.520  -0.454 -0.374  -0.521 -0.228  -0.589 -0.082  -0.656 0.064  -0.723 0.211  -0.791 0.357  -0.694 0.398  -0.534 0.398  -0.404 0.473  -0.280 0.563  -0.119 0.563  0.016 0.589  0.037 0.728  0.198 0.728  0.359 0.728  0.520 0.728  0.681 0.728  0.842 0.728
3#app#app12#app1259/o  -0.023 0.793  0.126 0.793  0.209 0.859  0.209 1.009  0.077 1.025  -0.023 0.976  -0.023 0.827  -0.138 0.793  -0.288 0.793  -0.437 0.793  -0.487 0.695  -0.503 0.561  -0.652 0.561  -0.719 0.480  -0.719 0.330  -0.824 0.225  -0.929 0.119  -0.952 -0.021  -0.952 -0.170  -0.952 -0.319  -0.952 -0.468  -0.939 -0.612  -0.834 -0.718  -0.728 -0.823  -0.719 -0.968  -0.666 -1.064  -0.516 -1.064  -0.367 -1.064  -0.218 -1.064  -0.069 -1.064  0.080 -1.064  0.229 -1.064  0.378 -1.064  0.480 -0.987  0.546 -0.853  0.613 -0.720  0.684 -0.589  0.789 -0.484  0.895 -0.378  0.906 -0.234  0.906 -0.085  0.906 0.065  0.906 0.214  0.906 0.363  0.906 0.512  0.906 0.661  0.889 0.793  0.739 0.793  0.673 0.876  0.673 1.025
3#app#app12#app1259/f  0.474 1.851  0.336 1.834  0.234 1.732  0.112 1.708  0.066 1.609  -0.009 1.540  -0.102 1.488  -0.130 1.371  -0.230 1.268  -0.251 1.132  -0.251 0.987  -0.251 0.843  -0.251 0.698  -0.251 0.553  -0.251 0.409  -0.251 0.264  -0.251 0.119  -0.251 -0.025  -0.251 -0.170  -0.216 -0.309  -0.170 -0.446  -0.130 -0.585  -0.101 -0.717  -0.002 -0.822  0.062 -0.952  0.112 -1.085  0.153 -1.212  0.232 -1.324  0.288 -1.413  0.433 -1.413  0.413 -1.329  0.328 -1.212  0.243 -1.095  0.158 -0.978  0.073 -0.861  -0.012 -0.744  -0.097 -0.627  -0.183 -0.510  -0.268 -0.393  -0.353 -0.276  -0.438 -0.159  -0.442 -0.083  -0.297 -0.083  -0.152 -0.083  -0.008 -0.083  0.137 -0.083  0.282 -0.083  0.427 -0.083  0.571 -0.083  0.716 -0.083
