2#apa#apa13#app1389/b  -0.350 2.333  -0.350 2.151  -0.253 2.010  -0.238 1.836  -0.238 1.654  -0.238 1.473  -0.238 1.292  -0.238 1.111  -0.125 0.976  -0.125 0.795  -0.125 0.614  -0.125 0.433  -0.051 0.269  -0.012 0.097  -0.012 -0.084  -0.012 -0.265  -0.012 -0.447  0.002 -0.624  0.083 -0.786  0.121 -0.955  0.183 -1.004  0.080 -0.856  -0.024 -0.708  -0.128 -0.559  -0.232 -0.411  -0.336 -0.262  -0.440 -0.114  -0.544 0.035  -0.463 0.093  -0.381 0.192  -0.244 0.299  -0.065 0.305  0.116 0.305  0.273 0.246  0.401 0.117  0.529 -0.011  0.577 -0.172  0.664 -0.317  0.674 -0.494  0.776 -0.633  0.776 -0.814  0.649 -0.934  0.551 -1.017  0.399 -1.047  0.218 -1.047  0.037 -1.047  -0.145 -1.047  -0.326 -1.047  -0.463 -1.002  -0.575 -0.934
2#apa#apa13#app1389/h  -0.663 1.907  -0.663 1.768  -0.663 1.629  -0.663 1.491  -0.663 1.352  -0.663 1.213  -0.663 1.074  -0.663 0.936  -0.663 0.797  -0.663 0.658  -0.663 0.519  -0.663 0.381  -0.663 0.242  -0.663 0.103  -0.653 -0.034  -0.609 -0.166  -0.565 -0.297  -0.551 -0.434  -0.545 -0.570  -0.447 -0.668  -0.439 -0.804  -0.397 -0.901  -0.259 -0.901  -0.214 -0.806  -0.129 -0.703  -0.031 -0.605  0.068 -0.507  0.123 -0.391  0.184 -0.278  0.282 -0.180  0.368 -0.073  0.430 0.051  0.512 0.162  0.572 0.276  0.628 0.391  0.744 0.447  0.797 0.361  0.797 0.222  0.797 0.083  0.797 -0.055  0.740 -0.171  0.684 -0.286  0.684 -0.425  0.684 -0.564  0.684 -0.703  0.684 -0.842  0.684 -0.980  0.684 -1.119  0.699 -1.252  0.797 -1.350
2#apa#apa13#app1389/a  0.285 0.584  0.126 0.606  0.049 0.760  -0.038 0.907  -0.161 1.026  -0.305 1.054  -0.358 1.173  -0.530 1.173  -0.702 1.173  -0.837 1.083  -0.894 0.934  -0.976 0.796  -1.077 0.660  -1.154 0.506  -1.188 0.342  -1.188 0.170  -1.188 -0.002  -1.068 -0.125  -1.041 -0.285  -0.929 -0.411  -0.785 -0.501  -0.631 -0.578  -0.462 -0.594  -0.290 -0.594  -0.118 -0.594  0.054 -0.594  0.226 -0.594  0.365 -0.514  0.432 -0.369  0.534 -0.300  0.669 -0.210  0.726 -0.061  0.726 0.111  0.726 0.283  0.708 0.437  0.536 0.437  0.432 0.369  0.432 0.197  0.432 0.025  0.432 -0.147  0.432 -0.319  0.432 -0.491  0.432 -0.663  0.498 -0.808  0.631 -0.915  0.785 -0.991  0.946 -1.036  1.119 -1.036  1.291 -1.036  1.463 -1.036
2#apa#apa13#app1389/r  -0.617 -0.398  -0.559 -0.516  -0.500 -0.633  -0.441 -0.750  -0.432 -0.878  -0.432 -1.009  -0.432 -1.140  -0.432 -1.271  -0.376 -1.378  -0.283 -1.471  -0.248 -1.426  -0.248 -1.295  -0.248 -1.164  -0.174 -1.064  -0.082 -0.971  -0.063 -0.848  -0.063 -0.717  -0.063 -0.587  -0.063 -0.456  -0.063 -0.325  -0.063 -0.194  -0.063 -0.063  -0.132 0.039  -0.224 0.132  -0.248 0.253  -0.279 0.371  -0.371 0.464  -0.432 0.569  -0.432 0.700  -0.518 0.795  -0.611 0.888  -0.617 0.773  -0.549 0.710  -0.418 0.710  -0.287 0.710  -0.156 0.710  -0.026 0.710  0.105 0.710  0.236 0.710  0.367 0.710  0.498 0.710  0.629 0.710  0.760 0.710  0.890 0.710  1.021 0.710  1.121 0.785  1.213 0.878  1.337 0.894  1.468 0.894  1.599 0.894
2#apa#apa13#app1389/m  -1.263 0.245  -1.263 0.079  -1.263 -0.087  -1.263 -0.254  -1.263 -0.420  -1.263 -0.586  -1.263 -0.752  -1.159 -0.766  -1.098 -0.625  -1.053 -0.477  -0.952 -0.353  -0.892 -0.212  -0.774 -0.095  -0.689 0.046  -0.599 0.183  -0.503 0.316  -0.425 0.462  -0.331 0.589  -0.263 0.727  -0.124 0.750  -0.124 0.584  -0.124 0.417  -0.193 0.280  -0.237 0.132  -0.331 0.005  -0.331 -0.161  -0.276 -0.273  -0.110 -0.273  0.056 -0.273  0.108 -0.144  0.225 -0.027  0.343 0.091  0.460 0.208  0.578 0.326  0.695 0.443  0.813 0.561  0.935 0.671  1.084 0.745  1.118 0.634  1.118 0.468  1.085 0.316  1.014 0.179  1.014 0.013  1.014 -0.154  1.014 -0.320  1.092 -0.454  1.209 -0.571  1.328 -0.687  1.487 -0.716  1.635 -0.790
2#apa#apa13#app1389/  -1.690 -0.256  -1.617 -0.256  -1.543 -0.256  -1.470 -0.256  -1.397 -0.256  -1.323 -0.256  -1.250 -0.256  -1.177 -0.256  -1.103 -0.256  -1.030 -0.256  -0.957 -0.256  -0.884 -0.256  -0.810 -0.256  -0.737 -0.256  -0.664 -0.256  -0.591 -0.254  -0.539 -0.202  -0.488 -0.150  -0.436 -0.098  -0.384 -0.047  -0.332 0.005  -0.280 0.057  -0.228 0.109  -0.155 0.109  -0.082 0.109  -0.009 0.109  0.065 0.109  0.138 0.109  0.211 0.109  0.285 0.109  0.358 0.109  0.431 0.109  0.505 0.109  0.578 0.109  0.651 0.109  0.724 0.109  0.798 0.109  0.871 0.109  0.944 0.109  1.018 0.109  1.091 0.109  1.164 0.109  1.237 0.112  1.288 0.164  1.340 0.216  1.392 0.267  1.444 0.319  1.496 0.371  1.548 0.423  1.599 0.475
2#apa#apa13#app1389/s  -0.102 1.327  -0.102 1.198  -0.207 1.173  -0.255 1.092  -0.313 1.020  -0.442 1.020  -0.563 1.011  -0.563 0.882  -0.677 0.866  -0.780 0.803  -0.872 0.711  -0.963 0.619  -0.980 0.559  -0.856 0.545  -0.765 0.453  -0.655 0.405  -0.526 0.405  -0.396 0.405  -0.267 0.405  -0.137 0.405  -0.008 0.405  0.118 0.383  0.241 0.342  0.364 0.301  0.487 0.260  0.615 0.252  0.722 0.196  0.813 0.105  0.905 0.013  0.974 -0.088  0.974 -0.217  0.974 -0.347  0.974 -0.476  0.974 -0.606  0.928 -0.716  0.836 -0.808  0.713 -0.824  0.593 -0.861  0.477 -0.919  0.361 -0.977  0.232 -0.978  0.132 -1.051  0.036 -1.131  -0.093 -1.131  -0.223 -1.131  -0.352 -1.131  -0.482 -1.131  -0.563 -1.083  -0.587 -0.978  -0.716 -0.978
2#apa#apa13#app1389/e  -0.626 -0.418  -0.523 -0.315  -0.420 -0.211  -0.317 -0.108  -0.214 -0.005  -0.111 0.098  -0.027 0.209  -0.011 0.348  0.092 0.451  0.196 0.554  0.273 0.668  0.296 0.804  0.399 0.907  0.423 1.043  0.423 1.189  0.318 1.231  0.172 1.231  0.027 1.231  -0.109 1.189  -0.240 1.124  -0.361 1.046  -0.464 0.943  -0.567 0.840  -0.626 0.719  -0.626 0.573  -0.651 0.433  -0.716 0.303  -0.776 0.171  -0.776 0.025  -0.776 -0.121  -0.776 -0.266  -0.674 -0.370  -0.626 -0.496  -0.574 -0.620  -0.468 -0.717  -0.323 -0.717  -0.177 -0.717  -0.074 -0.821  0.053 -0.867  0.199 -0.867  0.344 -0.867  0.490 -0.867  0.629 -0.896  0.760 -0.961  0.892 -1.017  1.038 -1.017  1.184 -1.017  1.330 -1.017  1.476 -1.017  1.621 -1.017
2#apa#apa13#app1389/l  -0.447 1.604  -0.396 1.553  -0.345 1.503  -0.295 1.452  -0.244 1.402  -0.207 1.346  -0.207 1.274  -0.207 1.203  -0.207 1.132  -0.207 1.060  -0.200 0.990  -0.168 0.926  -0.136 0.863  -0.104 0.799  -0.087 0.731  -0.087 0.660  -0.087 0.588  -0.087 0.517  -0.087 0.446  -0.073 0.377  -0.041 0.313  -0.009 0.250  0.023 0.186  0.033 0.117  0.033 0.045  0.033 -0.026  0.033 -0.098  0.033 -0.169  0.033 -0.240  0.033 -0.312  0.033 -0.383  0.042 -0.453  0.074 -0.517  0.106 -0.580  0.138 -0.644  0.153 -0.712  0.153 -0.784  0.153 -0.855  0.153 -0.926  0.153 -0.998  0.153 -1.069  0.153 -1.141  0.179 -1.206  0.211 -1.270  0.243 -1.334  0.273 -1.398  0.273 -1.470  0.292 -1.533  0.342 -1.584  0.393 -1.634
2#apa#apa13#app1389/l  -0.270 1.686  -0.270 1.615  -0.270 1.543  -0.270 1.472  -0.270 1.400  -0.270 1.329  -0.270 1.257  -0.270 1.186  -0.241 1.121  -0.209 1.057  -0.177 0.993  -0.145 0.930  -0.144 0.858  -0.144 0.787  -0.144 0.716  -0.144 0.644  -0.144 0.573  -0.144 0.501  -0.144 0.430  -0.128 0.360  -0.111 0.291  -0.094 0.222  -0.077 0.152  -0.059 0.083  -0.042 0.014  -0.025 -0.056  -0.017 -0.126  -0.017 -0.198  -0.017 -0.269  -0.017 -0.341  -0.017 -0.412  -0.009 -0.482  0.023 -0.546  0.055 -0.609  0.087 -0.673  0.124 -0.733  0.175 -0.784  0.225 -0.834  0.236 -0.901  0.236 -0.973  0.236 -1.044  0.236 -1.116  0.236 -1.187  0.260 -1.249  0.310 -1.299  0.361 -1.350  0.394 -1.413  0.425 -1.477  0.457 -1.541  0.489 -1.605
2#apa#apa13#app1389/e  -0.878 0.251  -0.735 0.202  -0.638 0.108  -0.589 -0.034  -0.450 -0.086  -0.349 -0.177  -0.201 -0.283  -0.025 -0.320  0.166 -0.320  0.358 -0.320  0.507 -0.219  0.681 -0.177  0.820 -0.049  0.955 0.086  0.978 0.268  0.978 0.460  0.863 0.536  0.820 0.694  0.685 0.829  0.550 0.964  0.358 0.965  0.167 0.965  -0.024 0.965  -0.216 0.965  -0.407 0.965  -0.599 0.965  -0.774 0.926  -0.878 0.777  -0.878 0.586  -0.978 0.436  -1.113 0.301  -1.163 0.130  -1.163 -0.062  -1.163 -0.253  -1.075 -0.408  -0.906 -0.462  -0.763 -0.578  -0.590 -0.653  -0.409 -0.714  -0.223 -0.748  -0.031 -0.748  0.160 -0.748  0.351 -0.748  0.543 -0.748  0.734 -0.748  0.926 -0.748  1.117 -0.748  1.308 -0.748  1.500 -0.748  1.691 -0.748
2#apa#apa13#app1389/r  -0.759 -0.365  -0.676 -0.448  -0.613 -0.539  -0.613 -0.657  -0.613 -0.774  -0.551 -0.866  -0.468 -0.949  -0.466 -1.066  -0.405 -1.158  -0.322 -1.241  -0.320 -1.130  -0.320 -1.012  -0.320 -0.895  -0.320 -0.777  -0.320 -0.659  -0.320 -0.542  -0.381 -0.450  -0.464 -0.367  -0.466 -0.250  -0.527 -0.157  -0.610 -0.074  -0.613 0.042  -0.613 0.160  -0.668 0.222  -0.759 0.248  -0.759 0.366  -0.759 0.483  -0.673 0.515  -0.556 0.515  -0.438 0.515  -0.320 0.515  -0.203 0.515  -0.085 0.515  0.032 0.515  0.150 0.515  0.267 0.515  0.385 0.515  0.503 0.515  0.620 0.515  0.738 0.515  0.855 0.515  0.973 0.515  1.081 0.556  1.186 0.608  1.291 0.661  1.408 0.661  1.526 0.661  1.644 0.661  1.761 0.661  1.879 0.661
2#apa#apa13#app1389/.  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.936  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.936  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
2#apa#apa13#app1389/R  -0.276 1.103  -0.276 0.833  -0.276 0.564  -0.276 0.294  -0.376 0.065  -0.376 -0.204  -0.454 -0.456  -0.476 -0.720  -0.561 -0.970  -0.576 -1.236  -0.576 -1.506  -0.501 -1.701  -0.476 -1.456  -0.476 -1.186  -0.476 -0.917  -0.476 -0.647  -0.476 -0.377  -0.476 -0.107  -0.476 0.163  -0.476 0.432  -0.476 0.702  -0.476 0.972  -0.249 1.030  -0.029 1.150  0.219 1.203  0.480 1.255  0.742 1.303  0.987 1.242  1.199 1.103  1.226 0.861  1.226 0.591  1.126 0.362  1.017 0.202  0.789 0.102  0.619 0.002  0.349 0.002  0.079 0.002  -0.090 0.102  -0.319 0.202  -0.556 0.281  -0.636 0.202  -0.367 0.202  -0.120 0.146  0.000 -0.074  0.049 -0.324  0.145 -0.559  0.241 -0.800  0.385 -0.960  0.525 -1.172  0.725 -1.300
2#apa#apa13#app1389/i  -0.129 0.528  -0.129 0.405  -0.129 0.282  -0.129 0.160  -0.129 0.037  -0.044 -0.050  -0.006 -0.157  -0.006 -0.280  -0.006 -0.403  -0.006 -0.525  -0.006 -0.648  0.024 -0.764  0.079 -0.873  0.118 -0.987  0.118 -1.109  0.118 -1.232  0.142 -1.345  0.228 -1.432  0.241 -1.549  0.225 -1.464  0.208 -1.343  0.190 -1.221  0.172 -1.100  0.154 -0.979  0.136 -0.857  0.118 -0.736  0.100 -0.615  0.082 -0.493  0.064 -0.372  0.046 -0.251  0.028 -0.129  0.010 -0.008  -0.008 0.113  -0.026 0.235  -0.044 0.356  -0.062 0.477  -0.080 0.599  -0.098 0.720  -0.116 0.841  -0.134 0.963  -0.152 1.084  -0.170 1.205  -0.188 1.327  -0.206 1.448  -0.224 1.569  -0.242 1.691  -0.199 1.760  -0.077 1.760  0.031 1.723  0.118 1.637
2#apa#apa13#app1389/n  -0.994 0.969  -0.879 0.854  -0.853 0.702  -0.853 0.539  -0.853 0.376  -0.853 0.214  -0.853 0.051  -0.853 -0.112  -0.853 -0.275  -0.853 -0.437  -0.745 -0.555  -0.711 -0.704  -0.711 -0.867  -0.695 -1.014  -0.569 -0.977  -0.569 -0.814  -0.513 -0.674  -0.428 -0.547  -0.428 -0.384  -0.390 -0.231  -0.317 -0.085  -0.220 0.043  -0.145 0.175  -0.110 0.329  -0.038 0.475  0.035 0.620  0.108 0.766  0.181 0.911  0.254 1.057  0.280 1.213  0.405 1.252  0.426 1.110  0.563 1.085  0.563 0.922  0.563 0.760  0.563 0.597  0.563 0.434  0.563 0.272  0.563 0.109  0.563 -0.054  0.563 -0.217  0.596 -0.372  0.669 -0.517  0.705 -0.671  0.778 -0.804  0.893 -0.919  1.014 -1.027  1.159 -1.099  1.298 -1.182  1.413 -1.297
2#apa#apa13#app1389/c  0.909 0.226  0.909 0.337  0.807 0.347  0.788 0.439  0.788 0.550  0.788 0.661  0.788 0.773  0.788 0.884  0.744 0.952  0.667 0.986  0.642 1.073  0.531 1.073  0.419 1.073  0.308 1.073  0.228 0.997  0.135 0.952  0.035 0.925  -0.044 0.847  -0.149 0.831  -0.216 0.760  -0.266 0.660  -0.324 0.567  -0.403 0.488  -0.481 0.409  -0.544 0.324  -0.553 0.216  -0.632 0.137  -0.665 0.040  -0.665 -0.072  -0.697 -0.170  -0.776 -0.249  -0.786 -0.356  -0.786 -0.467  -0.786 -0.578  -0.738 -0.670  -0.659 -0.749  -0.580 -0.827  -0.544 -0.924  -0.493 -0.985  -0.383 -0.995  -0.275 -1.022  -0.167 -1.049  -0.059 -1.076  0.049 -1.103  0.131 -1.175  0.221 -1.227  0.332 -1.227  0.444 -1.227  0.555 -1.227  0.667 -1.227
2#apa#apa13#app1389/e  -0.321 -0.493  -0.174 -0.493  -0.068 -0.396  0.055 -0.339  0.144 -0.280  0.194 -0.184  0.328 -0.154  0.432 -0.050  0.536 0.053  0.628 0.165  0.694 0.297  0.759 0.428  0.861 0.533  0.918 0.656  0.918 0.803  0.883 0.935  0.779 1.039  0.676 1.143  0.557 1.210  0.410 1.210  0.263 1.210  0.120 1.198  -0.012 1.132  -0.143 1.066  -0.251 0.969  -0.355 0.866  -0.459 0.762  -0.563 0.658  -0.666 0.554  -0.770 0.451  -0.785 0.310  -0.785 0.163  -0.785 0.017  -0.785 -0.130  -0.785 -0.277  -0.785 -0.423  -0.785 -0.570  -0.785 -0.717  -0.742 -0.846  -0.639 -0.950  -0.502 -1.001  -0.363 -1.047  -0.224 -1.093  -0.080 -1.113  0.066 -1.113  0.206 -1.144  0.337 -1.209  0.470 -1.268  0.617 -1.268  0.763 -1.268
2#apa#apa13#app1389/w  -1.331 0.826  -1.293 0.694  -1.238 0.570  -1.238 0.423  -1.238 0.275  -1.238 0.128  -1.168 0.010  -1.144 -0.128  -1.144 -0.275  -1.054 -0.385  -0.908 -0.388  -0.761 -0.388  -0.614 -0.388  -0.479 -0.335  -0.358 -0.255  -0.272 -0.138  -0.204 -0.008  -0.117 0.104  -0.117 0.251  -0.117 0.398  -0.210 0.452  -0.276 0.321  -0.304 0.180  -0.397 0.071  -0.397 -0.076  -0.397 -0.223  -0.344 -0.348  -0.304 -0.479  -0.198 -0.575  -0.070 -0.622  0.058 -0.668  0.206 -0.668  0.353 -0.668  0.494 -0.643  0.626 -0.577  0.733 -0.477  0.864 -0.411  1.005 -0.386  1.110 -0.282  1.205 -0.171  1.271 -0.040  1.302 0.097  1.377 0.213  1.377 0.360  1.377 0.508  1.300 0.623  1.195 0.727  1.149 0.846  1.017 0.912  0.910 1.012
