2#tos#f1#f1035060/!  -0.031 1.221  0.015 1.263  0.015 1.352  0.061 1.395  0.061 1.484  0.107 1.526  0.107 1.471  0.107 1.383  0.107 1.294  0.107 1.205  0.107 1.116  0.107 1.028  0.107 0.939  0.107 0.850  0.067 0.786  0.015 0.729  0.015 0.641  0.015 0.552  0.015 0.463  0.015 0.374  0.015 0.285  0.015 0.197  0.015 0.108  0.015 0.019  0.015 -0.070  0.061 -0.112  0.061 -0.201  0.015 -0.244  0.015 -0.333  0.015 -0.363  0.015 -0.274  0.008 -0.322  -0.002 -0.410  -0.012 -0.499  -0.022 -0.587  -0.032 -0.675  -0.041 -0.763  -0.051 -0.852  -0.061 -0.940  -0.071 -1.028  -0.081 -1.116  -0.090 -1.205  -0.100 -1.293  -0.110 -1.381  -0.120 -1.469  -0.123 -1.439  -0.169 -1.416  -0.169 -1.505  -0.123 -1.548  -0.123 -1.636
2#tos#f1#f1035060/>  -0.497 0.879  -0.620 0.879  -0.744 0.879  -0.867 0.879  -0.990 0.879  -1.113 0.879  -1.237 0.879  -1.246 0.796  -1.143 0.727  -1.038 0.669  -0.914 0.669  -0.807 0.630  -0.705 0.564  -0.595 0.509  -0.483 0.460  -0.360 0.460  -0.251 0.424  -0.164 0.337  -0.049 0.313  0.071 0.283  0.190 0.253  0.309 0.231  0.419 0.176  0.530 0.121  0.650 0.110  0.774 0.110  0.897 0.110  1.020 0.110  1.144 0.110  1.251 0.094  1.202 -0.009  1.115 -0.096  1.024 -0.178  0.914 -0.233  0.803 -0.289  0.693 -0.344  0.598 -0.416  0.529 -0.518  0.444 -0.589  0.347 -0.654  0.260 -0.741  0.165 -0.817  0.060 -0.877  0.021 -0.994  -0.038 -1.094  -0.148 -1.149  -0.235 -1.236  -0.332 -1.311  -0.427 -1.375  -0.427 -1.498
2#tos#f1#f1035060/]  -0.522 0.994  -0.626 0.994  -0.730 0.994  -0.826 0.958  -0.815 0.936  -0.711 0.936  -0.606 0.936  -0.502 0.936  -0.397 0.936  -0.293 0.936  -0.189 0.936  -0.084 0.936  0.020 0.936  0.125 0.936  0.229 0.936  0.321 0.966  0.408 0.988  0.408 0.884  0.421 0.782  0.454 0.683  0.466 0.580  0.466 0.476  0.466 0.371  0.466 0.267  0.466 0.162  0.466 0.058  0.466 -0.046  0.466 -0.151  0.466 -0.255  0.466 -0.360  0.466 -0.464  0.466 -0.568  0.466 -0.673  0.466 -0.777  0.466 -0.882  0.462 -0.981  0.385 -1.027  0.325 -1.098  0.220 -1.098  0.116 -1.098  0.011 -1.098  -0.093 -1.098  -0.198 -1.098  -0.302 -1.098  -0.406 -1.098  -0.511 -1.098  -0.615 -1.098  -0.720 -1.098  -0.824 -1.098  -0.928 -1.098
2#tos#f1#f1035060/^  -0.557 -0.829  -0.676 -0.869  -0.796 -0.909  -0.895 -0.963  -0.895 -1.089  -0.895 -1.215  -0.834 -1.280  -0.782 -1.205  -0.782 -1.079  -0.782 -0.953  -0.782 -0.827  -0.782 -0.701  -0.782 -0.576  -0.753 -0.462  -0.664 -0.373  -0.575 -0.284  -0.557 -0.165  -0.556 -0.040  -0.443 0.017  -0.331 0.072  -0.219 0.087  -0.219 0.213  -0.219 0.339  -0.219 0.464  -0.171 0.571  -0.106 0.670  -0.106 0.796  -0.063 0.904  0.007 1.001  0.047 1.087  0.119 1.033  0.186 0.974  0.312 0.974  0.345 0.881  0.451 0.861  0.457 0.742  0.457 0.616  0.487 0.508  0.600 0.452  0.698 0.381  0.754 0.268  0.829 0.185  0.955 0.185  1.081 0.185  1.134 0.112  1.134 -0.014  1.223 -0.085  1.335 -0.141  1.359 -0.252  1.472 -0.266
2#tos#f1#f1035060/{  0.546 1.532  0.510 1.483  0.449 1.460  0.365 1.460  0.317 1.420  0.237 1.393  0.224 1.318  0.153 1.278  0.153 1.193  0.132 1.113  0.117 1.031  0.117 0.946  0.117 0.862  0.117 0.778  0.117 0.694  0.117 0.609  0.117 0.525  0.141 0.446  0.153 0.365  0.153 0.280  0.153 0.196  0.153 0.112  0.153 0.028  0.103 -0.007  0.029 -0.042  -0.026 -0.096  -0.057 -0.150  -0.129 -0.181  -0.211 -0.186  -0.295 -0.186  -0.277 -0.217  -0.241 -0.293  -0.205 -0.362  -0.205 -0.446  -0.205 -0.531  -0.205 -0.615  -0.205 -0.699  -0.205 -0.784  -0.205 -0.868  -0.205 -0.952  -0.205 -1.037  -0.229 -1.117  -0.241 -1.199  -0.241 -1.284  -0.241 -1.368  -0.241 -1.452  -0.241 -1.537  -0.213 -1.609  -0.146 -1.652  -0.062 -1.652
2#tos#f1#f1035060/|  0.100 1.566  0.028 1.566  -0.043 1.566  -0.071 1.522  -0.071 1.450  -0.071 1.379  -0.071 1.307  -0.071 1.236  -0.071 1.164  -0.071 1.093  -0.071 1.022  -0.071 0.950  -0.071 0.879  -0.071 0.807  -0.071 0.736  -0.071 0.664  -0.071 0.593  -0.063 0.523  -0.040 0.455  -0.018 0.387  0.005 0.319  0.014 0.249  0.014 0.178  0.014 0.106  0.014 0.035  0.014 -0.037  0.014 -0.108  0.014 -0.180  0.014 -0.251  0.014 -0.322  0.014 -0.394  0.014 -0.465  0.014 -0.537  0.014 -0.608  0.014 -0.680  0.014 -0.751  0.014 -0.823  0.014 -0.894  0.014 -0.966  0.014 -1.037  0.014 -1.109  0.014 -1.180  0.025 -1.241  0.096 -1.241  0.100 -1.309  0.100 -1.381  0.100 -1.452  0.100 -1.524  0.100 -1.595  0.100 -1.667
2#tos#f1#f1035060/0  0.189 0.752  0.024 0.752  0.012 0.906  -0.131 0.929  -0.224 0.857  -0.332 0.757  -0.413 0.616  -0.505 0.478  -0.519 0.316  -0.524 0.152  -0.598 0.003  -0.662 -0.149  -0.696 -0.309  -0.696 -0.475  -0.696 -0.641  -0.696 -0.806  -0.696 -0.972  -0.696 -1.138  -0.568 -1.242  -0.460 -1.350  -0.317 -1.373  -0.152 -1.373  0.008 -1.346  0.166 -1.314  0.248 -1.196  0.365 -1.079  0.483 -0.962  0.543 -0.811  0.599 -0.668  0.735 -0.581  0.839 -0.490  0.839 -0.324  0.839 -0.159  0.839 0.007  0.831 0.170  0.780 0.314  0.780 0.480  0.780 0.646  0.661 0.693  0.603 0.845  0.462 0.870  0.296 0.870  0.248 0.988  0.083 0.988  -0.083 0.988  -0.249 0.988  -0.390 0.929  -0.552 0.913  -0.696 0.859  -0.696 0.693
2#tos#f1#f1035060/1  0.753 1.177  0.753 1.251  0.744 1.316  0.670 1.316  0.596 1.316  0.528 1.300  0.476 1.248  0.434 1.187  0.393 1.125  0.352 1.063  0.315 0.999  0.282 0.932  0.249 0.866  0.215 0.799  0.179 0.735  0.138 0.673  0.097 0.611  0.056 0.549  0.015 0.488  -0.027 0.426  -0.068 0.364  -0.085 0.295  -0.085 0.221  -0.085 0.146  -0.085 0.072  -0.085 -0.002  -0.085 -0.076  -0.085 -0.150  -0.138 -0.203  -0.190 -0.255  -0.243 -0.308  -0.294 -0.361  -0.294 -0.435  -0.294 -0.509  -0.294 -0.583  -0.294 -0.658  -0.294 -0.732  -0.294 -0.806  -0.294 -0.880  -0.294 -0.954  -0.294 -1.029  -0.294 -1.103  -0.294 -1.177  -0.311 -1.249  -0.335 -1.319  -0.358 -1.389  -0.364 -1.463  -0.364 -1.537  -0.364 -1.611  -0.364 -1.685
2#tos#f1#f1035060/2  0.071 1.306  -0.069 1.306  -0.208 1.306  -0.262 1.306  -0.122 1.306  0.017 1.306  0.150 1.262  0.282 1.218  0.414 1.174  0.549 1.146  0.553 1.010  0.614 0.931  0.660 0.838  0.655 0.700  0.611 0.567  0.546 0.445  0.422 0.383  0.324 0.297  0.273 0.169  0.175 0.070  0.076 -0.029  -0.023 -0.127  -0.121 -0.226  -0.248 -0.275  -0.377 -0.320  -0.482 -0.412  -0.591 -0.499  -0.703 -0.582  -0.830 -0.638  -0.961 -0.684  -1.090 -0.731  -1.216 -0.744  -1.117 -0.785  -0.978 -0.785  -0.838 -0.785  -0.699 -0.785  -0.559 -0.785  -0.420 -0.785  -0.288 -0.750  -0.164 -0.687  -0.026 -0.677  0.113 -0.677  0.253 -0.677  0.392 -0.677  0.532 -0.677  0.671 -0.677  0.811 -0.677  0.950 -0.677  1.081 -0.648  1.197 -0.570
2#tos#f1#f1035060/5  -0.034 0.506  -0.003 0.676  0.099 0.812  0.227 0.934  0.348 1.066  0.434 1.121  0.418 0.942  0.336 0.778  0.231 0.631  0.134 0.478  0.038 0.323  -0.049 0.163  -0.101 -0.002  -0.080 -0.132  0.059 -0.240  0.180 -0.348  0.247 -0.490  0.293 -0.626  0.293 -0.809  0.258 -0.977  0.195 -1.134  0.050 -1.244  -0.063 -1.367  -0.186 -1.456  -0.369 -1.456  -0.552 -1.456  -0.667 -1.337  -0.839 -1.310  -0.921 -1.177  -0.873 -1.004  -0.807 -0.833  -0.741 -0.662  -0.675 -0.492  -0.609 -0.321  -0.543 -0.151  -0.477 0.020  -0.411 0.190  -0.345 0.361  -0.280 0.531  -0.214 0.702  -0.148 0.873  -0.048 0.880  0.134 0.880  0.317 0.880  0.500 0.880  0.683 0.880  0.866 0.880  1.049 0.880  1.232 0.880  1.414 0.880
2#tos#f1#f1035060/6  0.567 1.420  0.692 1.462  0.763 1.530  0.763 1.570  0.672 1.476  0.578 1.383  0.492 1.284  0.418 1.174  0.315 1.092  0.212 1.009  0.132 0.907  0.064 0.794  0.008 0.675  -0.053 0.564  -0.159 0.484  -0.252 0.393  -0.332 0.288  -0.419 0.189  -0.511 0.095  -0.543 -0.033  -0.584 -0.159  -0.633 -0.281  -0.704 -0.389  -0.788 -0.490  -0.853 -0.602  -0.853 -0.734  -0.853 -0.866  -0.853 -0.998  -0.804 -1.100  -0.677 -1.125  -0.545 -1.125  -0.413 -1.125  -0.281 -1.125  -0.179 -1.069  -0.097 -0.969  0.025 -0.920  0.146 -0.867  0.256 -0.794  0.352 -0.704  0.464 -0.637  0.579 -0.574  0.652 -0.465  0.665 -0.336  0.665 -0.204  0.595 -0.123  0.482 -0.061  0.355 -0.048  0.287 0.036  0.160 0.050  0.028 0.050
2#tos#f1#f1035060/A  -1.378 -1.150  -1.421 -1.274  -1.286 -1.138  -1.162 -0.974  -1.038 -0.810  -0.893 -0.664  -0.762 -0.505  -0.653 -0.332  -0.527 -0.172  -0.382 -0.027  -0.238 0.120  -0.146 0.304  -0.019 0.463  0.087 0.633  0.194 0.808  0.265 0.993  0.334 1.175  0.452 1.344  0.518 1.536  0.586 1.673  0.602 1.483  0.602 1.278  0.602 1.072  0.602 0.866  0.618 0.663  0.686 0.470  0.698 0.266  0.728 0.063  0.728 -0.143  0.728 -0.349  0.766 -0.548  0.770 -0.753  0.770 -0.959  0.641 -0.987  0.481 -0.858  0.321 -0.729  0.161 -0.599  0.001 -0.470  -0.159 -0.341  -0.319 -0.211  -0.500 -0.139  -0.705 -0.139  -0.873 -0.177  -0.671 -0.181  -0.465 -0.181  -0.259 -0.181  -0.059 -0.148  0.136 -0.098  0.320 -0.006  0.518 0.030
2#tos#f1#f1035060/C  0.165 0.335  0.144 0.205  0.185 0.202  0.208 0.331  0.271 0.440  0.305 0.560  0.393 0.660  0.444 0.784  0.467 0.916  0.467 1.050  0.391 1.109  0.342 1.195  0.208 1.195  0.073 1.195  -0.056 1.170  -0.176 1.110  -0.288 1.036  -0.308 0.912  -0.390 0.811  -0.486 0.716  -0.581 0.621  -0.685 0.536  -0.781 0.449  -0.781 0.315  -0.816 0.186  -0.824 0.053  -0.824 -0.082  -0.817 -0.216  -0.791 -0.348  -0.743 -0.473  -0.738 -0.606  -0.647 -0.703  -0.566 -0.804  -0.535 -0.931  -0.451 -1.013  -0.340 -1.075  -0.207 -1.085  -0.072 -1.085  0.062 -1.081  0.195 -1.059  0.322 -1.024  0.434 -0.949  0.546 -0.874  0.673 -0.830  0.801 -0.787  0.922 -0.729  1.040 -0.664  1.155 -0.595  1.281 -0.552  1.413 -0.526
2#tos#f1#f1035060/E  -0.502 0.789  -0.740 0.789  -0.736 0.789  -0.503 0.809  -0.274 0.860  -0.043 0.908  0.195 0.908  0.370 1.026  0.608 1.026  0.813 1.105  1.028 1.191  1.256 1.223  1.059 1.191  0.834 1.116  0.608 1.041  0.382 0.966  0.156 0.890  -0.069 0.815  -0.295 0.740  -0.512 0.671  -0.541 0.463  -0.541 0.225  -0.541 -0.013  -0.541 -0.251  -0.541 -0.489  -0.541 -0.727  -0.541 -0.965  -0.541 -1.203  -0.478 -1.126  -0.437 -0.891  -0.397 -0.657  -0.356 -0.422  -0.421 -0.394  -0.183 -0.394  0.046 -0.357  0.235 -0.276  0.440 -0.197  0.488 -0.220  0.304 -0.372  0.120 -0.523  -0.064 -0.674  -0.187 -0.868  -0.312 -1.065  -0.428 -1.144  -0.190 -1.144  0.047 -1.144  0.277 -1.110  0.502 -1.033  0.732 -0.972  0.958 -0.907
2#tos#f1#f1035060/G  0.214 0.835  0.214 0.577  0.274 0.725  0.301 0.980  0.301 1.238  0.139 1.430  -0.114 1.441  -0.351 1.375  -0.588 1.311  -0.775 1.163  -0.887 0.933  -1.010 0.733  -1.096 0.494  -1.128 0.245  -1.142 -0.009  -1.215 -0.245  -1.215 -0.504  -1.081 -0.695  -0.925 -0.885  -0.735 -1.028  -0.477 -1.028  -0.226 -0.984  -0.003 -0.855  0.234 -0.779  0.436 -0.676  0.613 -0.490  0.810 -0.340  0.663 -0.220  0.409 -0.175  0.155 -0.129  -0.100 -0.084  -0.354 -0.038  -0.562 -0.170  -0.416 -0.161  -0.160 -0.142  0.068 -0.031  0.324 -0.006  0.578 0.038  0.821 0.120  1.055 0.177  1.281 0.228  1.112 0.198  0.873 0.102  0.632 0.012  0.474 -0.140  0.474 -0.398  0.474 -0.657  0.507 -0.910  0.561 -1.159  0.561 -1.418
2#tos#f1#f1035060/J  -0.953 0.622  -1.084 0.610  -1.015 0.582  -0.879 0.582  -0.744 0.582  -0.608 0.582  -0.473 0.582  -0.337 0.582  -0.202 0.583  -0.099 0.661  0.037 0.661  0.172 0.661  0.308 0.661  0.443 0.661  0.579 0.661  0.666 0.739  0.801 0.740  0.937 0.740  1.062 0.750  0.956 0.780  0.820 0.780  0.701 0.740  0.566 0.740  0.509 0.661  0.373 0.661  0.272 0.627  0.232 0.531  0.193 0.435  0.153 0.339  0.153 0.204  0.153 0.068  0.153 -0.067  0.153 -0.203  0.153 -0.338  0.153 -0.474  0.153 -0.609  0.146 -0.744  0.114 -0.874  0.050 -0.983  0.035 -1.112  -0.005 -1.232  -0.084 -1.334  -0.160 -1.394  -0.279 -1.433  -0.415 -1.433  -0.545 -1.398  -0.656 -1.356  -0.766 -1.312  -0.897 -1.279  -0.993 -1.236
2#tos#f1#f1035060/M  -0.607 0.813  -0.683 0.920  -0.645 0.731  -0.645 0.535  -0.645 0.340  -0.645 0.145  -0.666 -0.049  -0.683 -0.243  -0.683 -0.438  -0.685 -0.633  -0.721 -0.823  -0.731 -1.014  -0.759 -1.189  -0.754 -0.993  -0.750 -0.798  -0.746 -0.602  -0.742 -0.407  -0.738 -0.212  -0.734 -0.016  -0.730 0.179  -0.726 0.374  -0.722 0.570  -0.796 0.633  -0.713 0.464  -0.645 0.287  -0.513 0.179  -0.441 0.010  -0.268 -0.058  -0.088 -0.096  0.107 -0.096  0.296 -0.059  0.415 0.086  0.547 0.226  0.669 0.377  0.796 0.516  0.883 0.691  0.963 0.869  1.020 1.023  1.020 0.861  1.058 0.681  1.058 0.486  1.058 0.290  1.058 0.095  1.060 -0.100  1.096 -0.287  1.096 -0.482  1.112 -0.675  1.134 -0.867  1.177 -1.052  1.285 -1.193
2#tos#f1#f1035060/Q  0.305 -0.753  0.178 -0.912  0.010 -0.989  -0.224 -0.989  -0.438 -0.942  -0.567 -0.824  -0.673 -0.642  -0.827 -0.504  -0.874 -0.281  -0.874 -0.048  -0.874 0.186  -0.861 0.417  -0.748 0.616  -0.618 0.810  -0.476 0.974  -0.350 1.133  -0.200 1.288  -0.000 1.368  0.210 1.419  0.400 1.463  0.633 1.463  0.729 1.325  0.870 1.193  0.965 0.990  1.012 0.777  1.012 0.543  0.965 0.321  0.870 0.116  0.732 -0.044  0.594 -0.228  0.446 -0.400  0.283 -0.552  0.147 -0.659  -0.022 -0.749  -0.226 -0.848  -0.460 -0.848  -0.646 -0.895  -0.785 -0.800  -0.827 -0.609  -0.827 -0.376  -0.679 -0.221  -0.496 -0.140  -0.309 -0.093  -0.076 -0.093  0.155 -0.106  0.364 -0.187  0.540 -0.245  0.650 -0.423  0.876 -0.435  1.012 -0.565
2#tos#f1#f1035060/R  -0.448 1.212  -0.448 0.986  -0.448 0.760  -0.540 0.555  -0.542 0.329  -0.542 0.103  -0.542 -0.123  -0.542 -0.349  -0.601 -0.551  -0.637 -0.762  -0.637 -0.989  -0.637 -1.215  -0.633 -1.153  -0.627 -0.927  -0.620 -0.701  -0.614 -0.475  -0.607 -0.249  -0.601 -0.022  -0.594 0.204  -0.590 0.430  -0.637 0.609  -0.457 0.691  -0.400 0.861  -0.242 0.928  -0.019 0.948  0.193 1.023  0.408 1.070  0.634 1.070  0.860 1.070  1.086 1.070  1.209 0.911  1.162 0.732  1.084 0.550  0.912 0.416  0.766 0.275  0.569 0.181  0.414 0.025  0.262 -0.116  0.086 -0.205  -0.129 -0.268  -0.329 -0.350  -0.169 -0.393  0.028 -0.492  0.144 -0.619  0.283 -0.797  0.472 -0.909  0.622 -1.070  0.745 -1.259  0.872 -1.433  1.020 -1.581
