1c#app#app36#app3692/a  0.513 0.627  0.513 0.405  0.419 0.409  0.357 0.605  0.215 0.769  0.058 0.926  0.011 1.129  -0.110 1.301  -0.227 1.407  -0.442 1.387  -0.607 1.251  -0.734 1.155  -0.734 0.933  -0.785 0.732  -0.890 0.553  -0.890 0.331  -0.890 0.108  -0.890 -0.114  -0.890 -0.336  -0.890 -0.559  -0.777 -0.734  -0.620 -0.891  -0.462 -1.048  -0.413 -1.244  -0.190 -1.244  0.032 -1.244  0.193 -1.097  0.226 -0.884  0.325 -0.685  0.357 -0.470  0.357 -0.248  0.357 -0.025  0.357 0.197  0.357 0.419  0.357 0.642  0.357 0.864  0.210 0.939  0.201 0.725  0.201 0.503  0.201 0.280  0.201 0.058  0.201 -0.164  0.256 -0.364  0.357 -0.544  0.423 -0.751  0.527 -0.946  0.669 -1.110  0.731 -1.306  0.915 -1.400  0.981 -1.244
1c#app#app36#app3692/l  -0.096 1.751  -0.096 1.677  -0.096 1.603  -0.096 1.529  -0.096 1.455  -0.096 1.381  -0.096 1.307  -0.096 1.233  -0.096 1.159  -0.096 1.085  -0.096 1.011  -0.096 0.937  -0.096 0.863  -0.096 0.789  -0.096 0.715  -0.096 0.641  -0.096 0.567  -0.096 0.493  -0.096 0.419  -0.096 0.345  -0.096 0.271  -0.096 0.197  -0.096 0.123  -0.096 0.049  -0.085 -0.021  -0.033 -0.073  0.019 -0.125  0.030 -0.195  0.030 -0.269  0.030 -0.343  0.030 -0.417  0.030 -0.491  0.030 -0.565  0.030 -0.639  0.030 -0.713  0.046 -0.781  0.098 -0.833  0.150 -0.885  0.156 -0.957  0.156 -1.031  0.156 -1.105  0.156 -1.179  0.156 -1.253  0.156 -1.327  0.156 -1.401  0.156 -1.475  0.156 -1.490  0.156 -1.416  0.156 -1.342  0.156 -1.268
1c#app#app36#app3692/m  -1.073 0.118  -1.073 -0.104  -1.073 -0.326  -1.073 -0.548  -1.073 -0.770  -1.073 -0.967  -1.073 -0.745  -1.073 -0.524  -0.982 -0.340  -0.927 -0.139  -0.828 0.060  -0.785 0.269  -0.662 0.440  -0.568 0.623  -0.525 0.827  -0.448 1.017  -0.387 1.213  -0.250 1.132  -0.220 0.941  -0.113 0.825  -0.113 0.603  -0.113 0.381  -0.113 0.160  -0.113 -0.062  -0.113 -0.284  -0.113 -0.506  -0.113 -0.728  -0.113 -0.950  -0.113 -0.787  -0.113 -0.565  -0.051 -0.369  0.024 -0.178  0.164 -0.014  0.263 0.184  0.304 0.392  0.499 0.456  0.656 0.613  0.813 0.770  0.984 0.766  1.106 0.666  1.121 0.460  1.121 0.238  1.121 0.016  1.143 -0.200  1.242 -0.399  1.127 -0.562  1.121 -0.782  1.138 -0.962  1.258 -0.790  1.258 -0.568
1c#app#app36#app3692/n  -0.887 0.524  -0.887 0.360  -0.859 0.223  -0.736 0.181  -0.736 0.016  -0.736 -0.149  -0.736 -0.314  -0.736 -0.479  -0.736 -0.644  -0.736 -0.809  -0.736 -0.974  -0.736 -1.138  -0.736 -1.269  -0.714 -1.113  -0.597 -0.997  -0.585 -0.837  -0.578 -0.675  -0.461 -0.558  -0.434 -0.405  -0.434 -0.240  -0.431 -0.076  -0.315 0.041  -0.229 0.180  -0.156 0.327  -0.133 0.487  -0.133 0.652  -0.133 0.816  -0.023 0.936  0.125 0.977  0.254 1.062  0.320 1.200  0.406 1.279  0.571 1.279  0.703 1.198  0.773 1.062  0.773 0.897  0.839 0.760  0.924 0.630  0.924 0.465  0.924 0.300  0.862 0.161  0.773 0.033  0.773 -0.132  0.773 -0.297  0.773 -0.462  0.773 -0.627  0.773 -0.791  0.773 -0.956  0.773 -1.121  0.773 -0.984
1c#app#app36#app3692/o  -0.028 0.919  -0.146 0.848  -0.265 0.777  -0.383 0.706  -0.501 0.635  -0.620 0.564  -0.682 0.461  -0.682 0.323  -0.738 0.208  -0.813 0.101  -0.841 -0.025  -0.939 -0.123  -0.944 -0.259  -0.944 -0.397  -0.934 -0.531  -0.836 -0.628  -0.813 -0.757  -0.734 -0.862  -0.636 -0.959  -0.533 -1.044  -0.395 -1.044  -0.257 -1.044  -0.119 -1.044  0.019 -1.044  0.157 -1.044  0.288 -1.017  0.412 -0.955  0.527 -0.882  0.624 -0.784  0.757 -0.778  0.762 -0.641  0.824 -0.518  0.886 -0.394  0.888 -0.257  0.888 -0.119  0.888 0.019  0.877 0.155  0.816 0.278  0.757 0.402  0.757 0.540  0.742 0.672  0.644 0.770  0.547 0.867  0.449 0.965  0.352 1.062  0.254 1.160  0.124 1.180  -0.014 1.180  -0.152 1.180  -0.290 1.180
1c#app#app36#app3692/p  -0.253 1.362  -0.355 1.268  -0.355 1.073  -0.355 0.878  -0.355 0.682  -0.355 0.487  -0.355 0.291  -0.355 0.096  -0.355 -0.099  -0.355 -0.295  -0.355 -0.490  -0.355 -0.685  -0.352 -0.880  -0.253 -1.034  -0.253 -1.230  -0.253 -1.425  -0.253 -1.620  -0.253 -1.816  -0.253 -1.778  -0.253 -1.582  -0.253 -1.387  -0.200 -1.199  -0.146 -1.011  -0.093 -0.823  -0.039 -0.635  0.015 -0.447  0.068 -0.259  0.122 -0.072  0.176 0.116  0.229 0.304  0.283 0.492  0.337 0.680  0.390 0.868  0.444 1.056  0.498 1.244  0.551 1.431  0.705 1.421  0.764 1.251  0.764 1.055  0.764 0.860  0.703 0.690  0.636 0.522  0.498 0.384  0.360 0.246  0.186 0.157  -0.005 0.141  -0.157 0.034  -0.295 -0.104  -0.457 -0.156  -0.559 -0.063
1c#app#app36#app3692/q  -0.032 0.885  -0.032 1.168  -0.271 1.269  -0.554 1.269  -0.770 1.107  -0.923 0.885  -1.045 0.684  -1.172 0.431  -1.184 0.151  -1.088 -0.093  -0.923 -0.267  -0.640 -0.267  -0.408 -0.153  -0.258 0.084  -0.097 0.244  0.155 0.347  0.433 0.402  0.394 0.651  0.193 0.851  -0.032 0.985  -0.032 1.268  -0.032 0.987  -0.032 0.704  -0.032 0.420  -0.032 0.137  -0.064 -0.139  -0.128 -0.407  -0.128 -0.690  -0.128 -0.973  -0.128 -1.256  -0.128 -1.539  -0.109 -1.803  0.174 -1.803  0.356 -1.698  0.503 -1.459  0.543 -1.193  0.543 -0.910  0.543 -0.626  0.448 -0.383  0.448 -0.100  0.265 0.108  -0.015 0.117  -0.055 0.021  0.132 -0.075  0.415 -0.075  0.639 -0.016  0.886 0.021  1.073 0.117  1.215 0.304  1.119 0.309
1c#app#app36#app3692/r  -0.459 0.575  -0.334 0.700  -0.436 0.825  -0.596 0.843  -0.596 0.666  -0.596 0.489  -0.596 0.312  -0.479 0.184  -0.459 0.015  -0.423 -0.147  -0.322 -0.282  -0.322 -0.459  -0.322 -0.636  -0.322 -0.813  -0.322 -0.990  -0.366 -1.157  -0.445 -1.315  -0.357 -1.446  -0.322 -1.609  -0.185 -1.587  -0.185 -1.410  -0.185 -1.233  -0.292 -1.100  -0.417 -0.975  -0.459 -0.816  -0.570 -0.685  -0.594 -0.519  -0.469 -0.394  -0.441 -0.229  -0.316 -0.104  -0.191 0.021  -0.110 0.178  -0.048 0.341  0.008 0.494  0.133 0.620  0.272 0.712  0.363 0.798  0.489 0.849  0.657 0.829  0.786 0.712  0.963 0.712  1.140 0.712  1.054 0.712  1.048 0.540  1.048 0.513  0.934 0.575  0.911 0.729  0.911 0.906  0.911 1.083  0.911 1.260
1c#app#app36#app3692/s  0.673 0.259  0.673 0.434  0.673 0.610  0.673 0.785  0.512 0.758  0.379 0.655  0.225 0.707  0.082 0.787  -0.093 0.787  -0.264 0.776  -0.389 0.655  -0.538 0.612  -0.616 0.455  -0.648 0.495  -0.648 0.671  -0.648 0.846  -0.648 1.022  -0.648 1.197  -0.648 1.259  -0.648 1.084  -0.648 0.908  -0.648 0.733  -0.648 0.557  -0.548 0.423  -0.516 0.261  -0.393 0.136  -0.269 0.012  -0.145 -0.112  0.020 -0.137  0.195 -0.137  0.371 -0.137  0.546 -0.137  0.722 -0.137  0.870 -0.203  0.937 -0.350  0.937 -0.526  0.937 -0.701  0.937 -0.877  0.815 -0.930  0.643 -0.945  0.486 -1.024  0.329 -1.102  0.172 -1.181  0.042 -1.297  -0.107 -1.386  -0.265 -1.459  -0.441 -1.459  -0.516 -1.359  -0.618 -1.225  -0.648 -1.062
1c#app#app36#app3692/t  0.030 2.127  0.005 1.953  -0.019 1.779  -0.044 1.606  -0.069 1.432  -0.082 1.257  -0.082 1.082  -0.082 0.907  -0.082 0.731  -0.082 0.556  -0.082 0.380  -0.082 0.205  -0.049 0.037  0.029 -0.120  0.030 -0.295  0.118 -0.434  0.143 -0.599  0.207 -0.748  0.331 -0.872  0.367 -1.032  0.367 -1.208  0.367 -1.383  0.305 -1.533  0.255 -1.478  0.216 -1.319  0.097 -1.190  -0.016 -1.055  -0.128 -0.921  -0.240 -0.786  -0.353 -0.651  -0.465 -0.516  -0.577 -0.381  -0.690 -0.247  -0.802 -0.112  -0.914 0.023  -0.911 0.103  -0.848 -0.009  -0.672 -0.009  -0.497 -0.009  -0.321 -0.009  -0.146 -0.009  -0.003 0.070  0.158 0.103  0.325 0.139  0.482 0.218  0.606 0.342  0.740 0.441  0.916 0.441  1.091 0.441  1.154 0.553
1c#app#app36#app3692/u  -0.844 1.510  -0.722 1.388  -0.679 1.232  -0.766 1.095  -0.844 0.954  -0.844 0.781  -0.844 0.608  -0.844 0.435  -0.844 0.262  -0.844 0.089  -0.844 -0.084  -0.844 -0.258  -0.844 -0.431  -0.844 -0.604  -0.844 -0.777  -0.733 -0.904  -0.582 -0.957  -0.409 -0.957  -0.269 -0.876  -0.147 -0.754  -0.025 -0.632  -0.019 -0.461  0.104 -0.339  0.143 -0.182  0.232 -0.046  0.308 0.096  0.308 0.269  0.308 0.442  0.373 0.588  0.472 0.720  0.472 0.894  0.472 1.067  0.472 1.123  0.472 0.950  0.472 0.777  0.472 0.603  0.472 0.430  0.472 0.257  0.472 0.084  0.472 -0.089  0.472 -0.262  0.472 -0.435  0.472 -0.608  0.472 -0.781  0.586 -0.907  0.709 -1.030  0.844 -1.122  1.017 -1.122  1.172 -1.080  1.295 -0.957
1c#app#app36#app3692/v  -0.236 0.805  -0.376 0.805  -0.515 0.805  -0.654 0.805  -0.794 0.805  -0.933 0.805  -1.072 0.805  -0.980 0.805  -0.924 0.722  -0.924 0.583  -0.906 0.462  -0.766 0.462  -0.664 0.373  -0.580 0.269  -0.580 0.129  -0.580 -0.010  -0.580 -0.149  -0.536 -0.270  -0.437 -0.369  -0.408 -0.496  -0.362 -0.616  -0.263 -0.715  -0.236 -0.843  -0.236 -0.982  -0.200 -1.085  -0.062 -1.088  0.037 -1.186  0.147 -1.257  0.279 -1.250  0.279 -1.110  0.393 -1.085  0.451 -1.004  0.451 -0.864  0.451 -0.725  0.451 -0.586  0.506 -0.459  0.568 -0.335  0.623 -0.208  0.623 -0.069  0.623 0.070  0.688 0.183  0.786 0.281  0.795 0.417  0.862 0.529  0.960 0.627  0.967 0.764  0.967 0.903  0.967 1.042  0.967 1.182  0.967 1.321
1c#app#app36#app3692/w  -1.154 0.998  -1.154 0.791  -1.154 0.585  -1.154 0.379  -1.154 0.173  -1.061 0.005  -1.004 -0.178  -1.004 -0.384  -0.942 -0.565  -0.797 -0.711  -0.703 -0.878  -0.703 -1.084  -0.553 -1.140  -0.553 -1.162  -0.405 -1.104  -0.364 -0.915  -0.253 -0.755  -0.253 -0.549  -0.253 -0.343  -0.253 -0.137  -0.166 0.034  -0.103 0.214  -0.103 0.420  -0.103 0.626  -0.007 0.793  0.047 0.976  0.047 0.813  0.138 0.697  0.197 0.550  0.197 0.344  0.197 0.138  0.208 -0.064  0.348 -0.212  0.348 -0.419  0.348 -0.625  0.498 -0.681  0.581 -0.804  0.787 -0.804  0.830 -0.622  0.948 -0.464  0.948 -0.258  0.948 -0.052  0.948 0.155  0.948 0.361  0.948 0.567  0.948 0.773  0.948 0.979  0.948 1.186  0.948 1.204  1.098 1.148
1c#app#app36#app3692/x  -0.793 1.228  -0.770 1.055  -0.641 0.928  -0.482 0.895  -0.424 0.722  -0.367 0.550  -0.268 0.402  -0.139 0.274  -0.010 0.145  0.119 0.016  0.248 -0.113  0.333 -0.273  0.418 -0.433  0.547 -0.562  0.676 -0.691  0.805 -0.820  0.858 -0.980  0.956 -1.122  1.117 -1.173  1.058 -1.073  0.968 -0.919  0.902 -0.749  0.837 -0.579  0.772 -0.409  0.706 -0.239  0.641 -0.069  0.575 0.101  0.510 0.271  0.445 0.441  0.379 0.611  0.314 0.781  0.275 0.946  0.404 1.074  0.238 1.058  0.109 0.930  0.087 0.757  -0.042 0.628  -0.171 0.499  -0.328 0.410  -0.491 0.328  -0.620 0.200  -0.710 0.043  -0.792 -0.120  -0.920 -0.249  -1.010 -0.406  -1.091 -0.569  -1.219 -0.699  -1.243 -0.871  -1.371 -1.000  -1.393 -1.173
1c#app#app36#app3692/y  -0.974 1.200  -0.931 1.034  -0.851 0.883  -0.727 0.822  -0.679 0.658  -0.604 0.505  -0.506 0.361  -0.463 0.195  -0.332 0.065  -0.233 -0.079  -0.159 -0.232  -0.110 -0.396  0.013 -0.529  0.013 -0.713  0.136 -0.775  0.154 -0.595  0.209 -0.419  0.263 -0.242  0.317 -0.066  0.371 0.110  0.425 0.286  0.479 0.462  0.534 0.638  0.588 0.814  0.631 0.992  0.631 1.176  0.631 1.360  0.699 1.378  0.754 1.217  0.754 1.033  0.680 0.879  0.550 0.749  0.507 0.582  0.464 0.416  0.352 0.273  0.270 0.108  0.242 -0.070  0.160 -0.235  0.043 -0.375  0.000 -0.541  -0.110 -0.680  -0.173 -0.838  -0.233 -0.997  -0.346 -1.134  -0.389 -1.301  -0.480 -1.447  -0.596 -1.516  -0.641 -1.677  -0.727 -1.700  -0.604 -1.639
1c#app#app36#app3692/z  -0.367 1.155  -0.515 1.132  -0.630 1.030  -0.740 0.984  -0.819 0.906  -0.865 0.794  -0.721 0.781  -0.564 0.781  -0.407 0.781  -0.249 0.781  -0.108 0.849  0.035 0.906  0.192 0.906  0.349 0.906  0.506 0.906  0.664 0.906  0.753 0.838  0.753 0.681  0.659 0.563  0.547 0.452  0.436 0.341  0.325 0.230  0.214 0.119  0.092 0.035  -0.065 0.035  -0.211 -0.012  -0.352 -0.082  -0.378 -0.225  -0.489 -0.336  -0.600 -0.447  -0.711 -0.558  -0.856 -0.587  -0.865 -0.736  -0.865 -0.893  -0.776 -0.961  -0.619 -0.961  -0.462 -0.961  -0.305 -0.961  -0.148 -0.961  0.010 -0.961  0.167 -0.961  0.324 -0.961  0.481 -0.961  0.624 -0.901  0.766 -0.836  0.923 -0.836  1.057 -0.781  1.185 -0.712  1.250 -0.620  1.375 -0.587
