2#app#app07#app0778/A  -0.311 -0.971  -0.311 -0.765  -0.311 -0.559  -0.303 -0.354  -0.238 -0.159  -0.165 0.019  -0.103 0.206  -0.048 0.400  0.044 0.584  0.136 0.768  0.195 0.960  0.245 1.154  0.337 1.338  0.410 1.530  0.449 1.730  0.533 1.899  0.533 1.693  0.533 1.487  0.449 1.301  0.449 1.095  0.374 0.907  0.364 0.703  0.364 0.497  0.364 0.291  0.364 0.085  0.364 -0.121  0.364 -0.326  0.364 -0.532  0.364 -0.738  0.422 -0.886  0.533 -1.031  0.605 -1.136  0.407 -1.082  0.208 -1.028  0.009 -0.974  -0.189 -0.920  -0.388 -0.866  -0.586 -0.811  -0.785 -0.757  -0.984 -0.703  -1.182 -0.649  -1.178 -0.549  -1.001 -0.479  -0.831 -0.393  -0.630 -0.380  -0.459 -0.295  -0.254 -0.295  -0.048 -0.295  0.158 -0.295  0.364 -0.295
2#app#app07#app0778/n  -0.999 -0.235  -0.999 -0.374  -1.121 -0.390  -1.153 -0.496  -1.153 -0.635  -1.228 -0.698  -1.307 -0.757  -1.264 -0.852  -1.153 -0.825  -1.143 -0.693  -1.019 -0.631  -0.895 -0.569  -0.845 -0.462  -0.779 -0.390  -0.655 -0.354  -0.557 -0.256  -0.459 -0.159  -0.361 -0.061  -0.263 0.037  -0.166 0.135  -0.068 0.233  0.030 0.331  0.081 0.448  0.117 0.572  0.215 0.669  0.312 0.767  0.410 0.865  0.508 0.963  0.543 1.087  0.616 1.153  0.641 1.153  0.543 1.112  0.543 0.973  0.543 0.835  0.543 0.697  0.543 0.558  0.543 0.420  0.543 0.282  0.543 0.143  0.543 0.005  0.580 -0.118  0.678 -0.216  0.698 -0.346  0.793 -0.390  0.852 -0.469  0.915 -0.544  1.054 -0.544  1.160 -0.576  1.176 -0.698  1.315 -0.698
2#app#app07#app0778/a  0.989 1.073  0.789 1.073  0.589 1.072  0.443 0.941  0.266 0.882  0.107 0.765  -0.072 0.676  -0.217 0.537  -0.396 0.447  -0.524 0.306  -0.618 0.130  -0.766 -0.003  -0.945 -0.093  -1.064 -0.243  -1.164 -0.415  -1.306 -0.557  -1.403 -0.717  -1.403 -0.917  -1.338 -1.053  -1.138 -1.053  -0.992 -0.920  -0.792 -0.920  -0.726 -0.781  -0.546 -0.691  -0.473 -0.536  -0.287 -0.521  -0.099 -0.468  0.059 -0.365  0.150 -0.256  0.263 -0.114  0.387 0.010  0.516 0.126  0.591 0.309  0.662 0.480  0.723 0.655  0.723 0.855  0.723 1.056  0.591 1.023  0.591 0.823  0.460 0.677  0.458 0.477  0.458 0.276  0.458 0.076  0.458 -0.124  0.548 -0.304  0.591 -0.494  0.713 -0.644  0.855 -0.786  0.989 -0.853  1.122 -0.920
2#app#app07#app0778/n  -0.851 -0.108  -0.851 -0.253  -0.851 -0.398  -0.851 -0.542  -0.851 -0.687  -0.871 -0.824  -0.973 -0.926  -1.097 -0.978  -1.156 -0.978  -1.025 -0.964  -1.025 -0.819  -0.895 -0.804  -0.851 -0.703  -0.801 -0.579  -0.698 -0.477  -0.596 -0.375  -0.503 -0.268  -0.503 -0.123  -0.412 -0.017  -0.309 0.086  -0.207 0.188  -0.105 0.291  -0.002 0.393  0.100 0.495  0.192 0.602  0.192 0.747  0.284 0.853  0.387 0.956  0.489 1.058  0.592 1.161  0.694 1.263  0.830 1.283  0.888 1.196  0.888 1.051  0.867 0.915  0.765 0.812  0.714 0.689  0.714 0.544  0.714 0.399  0.714 0.254  0.622 0.148  0.540 0.037  0.540 -0.108  0.540 -0.253  0.540 -0.398  0.540 -0.542  0.581 -0.670  0.683 -0.773  0.785 -0.875  0.888 -0.978
2#app#app07#app0778/d  -0.103 -0.286  -0.202 -0.364  -0.343 -0.426  -0.497 -0.484  -0.657 -0.562  -0.791 -0.676  -0.917 -0.802  -0.995 -0.948  -0.948 -1.079  -0.770 -1.079  -0.692 -0.976  -0.532 -0.897  -0.399 -0.781  -0.245 -0.725  -0.119 -0.599  0.009 -0.475  0.157 -0.376  0.294 -0.271  0.294 -0.093  0.371 0.067  0.484 0.202  0.603 0.333  0.682 0.492  0.762 0.651  0.842 0.811  0.888 0.978  0.888 1.156  0.888 1.334  0.888 1.512  0.796 1.598  0.639 1.547  0.514 1.421  0.388 1.296  0.262 1.170  0.157 1.028  0.078 0.869  -0.002 0.710  -0.127 0.583  -0.202 0.436  -0.202 0.258  -0.260 0.094  -0.301 -0.075  -0.301 -0.253  -0.301 -0.431  -0.301 -0.609  -0.301 -0.787  -0.241 -0.940  -0.186 -1.095  -0.042 -1.178  0.095 -1.277
2#app#app07#app0778/h  0.277 1.973  0.323 1.973  0.277 1.891  0.261 1.765  0.203 1.649  0.188 1.523  0.188 1.394  0.147 1.274  0.093 1.157  0.052 1.034  0.011 0.912  -0.030 0.789  -0.071 0.666  -0.127 0.550  -0.164 0.429  -0.164 0.300  -0.182 0.175  -0.240 0.059  -0.298 -0.057  -0.356 -0.173  -0.414 -0.288  -0.471 -0.404  -0.516 -0.523  -0.566 -0.632  -0.605 -0.745  -0.605 -0.874  -0.605 -1.004  -0.501 -1.007  -0.428 -0.908  -0.380 -0.798  -0.288 -0.707  -0.197 -0.615  -0.106 -0.524  -0.076 -0.407  0.012 -0.314  0.012 -0.184  0.012 -0.055  0.100 -0.093  0.100 -0.223  0.187 -0.316  0.216 -0.434  0.277 -0.538  0.337 -0.642  0.366 -0.760  0.457 -0.851  0.541 -0.946  0.593 -1.023  0.635 -1.111  0.717 -1.158  0.805 -1.199
2#app#app07#app0778/i  -0.369 0.024  -0.369 -0.086  -0.385 -0.181  -0.472 -0.205  -0.504 -0.283  -0.574 -0.323  -0.622 -0.385  -0.676 -0.441  -0.676 -0.552  -0.676 -0.662  -0.676 -0.772  -0.676 -0.883  -0.608 -0.965  -0.512 -0.999  -0.422 -1.048  -0.334 -1.101  -0.223 -1.101  -0.113 -1.101  -0.003 -1.101  0.108 -1.101  0.218 -1.101  0.248 -1.017  0.252 -0.907  0.256 -0.797  0.260 -0.687  0.265 -0.576  0.269 -0.466  0.273 -0.356  0.277 -0.246  0.282 -0.136  0.286 -0.025  0.290 0.085  0.294 0.195  0.298 0.305  0.303 0.416  0.307 0.526  0.311 0.636  0.315 0.746  0.320 0.856  0.324 0.967  0.328 1.077  0.332 1.187  0.337 1.297  0.341 1.408  0.345 1.518  0.347 1.628  0.268 1.660  0.244 1.746  0.244 1.668  0.347 1.660
2#app#app07#app0778/d  0.025 -0.355  -0.142 -0.370  -0.290 -0.432  -0.453 -0.480  -0.588 -0.584  -0.755 -0.601  -0.878 -0.724  -1.023 -0.793  -1.146 -0.915  -1.196 -1.068  -1.074 -1.119  -0.900 -1.119  -0.752 -1.056  -0.618 -0.951  -0.453 -0.897  -0.325 -0.782  -0.182 -0.688  -0.102 -0.559  0.021 -0.436  0.175 -0.357  0.254 -0.203  0.323 -0.057  0.432 0.076  0.509 0.231  0.579 0.390  0.634 0.555  0.641 0.727  0.696 0.892  0.789 1.031  0.789 1.205  0.865 1.347  0.865 1.521  0.820 1.585  0.693 1.468  0.552 1.378  0.497 1.213  0.411 1.063  0.315 0.919  0.218 0.774  0.122 0.630  0.026 0.485  -0.051 0.330  -0.051 0.156  -0.105 -0.005  -0.127 -0.173  -0.127 -0.347  -0.075 -0.512  -0.051 -0.682  0.033 -0.821  0.178 -0.890
2#app#app07#app0778/e  0.151 -0.071  0.241 0.019  0.331 0.109  0.421 0.199  0.511 0.289  0.608 0.362  0.728 0.369  0.728 0.497  0.845 0.507  0.873 0.607  0.873 0.734  0.873 0.862  0.873 0.989  0.841 1.084  0.714 1.084  0.586 1.084  0.459 1.084  0.363 1.008  0.264 0.940  0.141 0.930  0.051 0.840  -0.051 0.767  -0.165 0.710  -0.279 0.653  -0.370 0.564  -0.427 0.460  -0.448 0.342  -0.538 0.252  -0.628 0.162  -0.718 0.072  -0.808 -0.018  -0.860 -0.124  -0.860 -0.251  -0.860 -0.379  -0.860 -0.506  -0.860 -0.633  -0.860 -0.761  -0.792 -0.860  -0.702 -0.950  -0.612 -1.040  -0.502 -1.081  -0.390 -1.118  -0.300 -1.208  -0.180 -1.226  -0.053 -1.226  0.075 -1.226  0.202 -1.226  0.329 -1.226  0.457 -1.226  0.584 -1.226
2#app#app07#app0778/o  0.367 0.779  0.225 0.779  0.212 0.650  0.096 0.625  -0.016 0.551  -0.116 0.451  -0.216 0.351  -0.344 0.315  -0.462 0.259  -0.561 0.158  -0.561 0.016  -0.654 -0.087  -0.754 -0.187  -0.855 -0.288  -0.870 -0.423  -0.946 -0.534  -1.025 -0.643  -1.025 -0.785  -1.025 -0.927  -1.025 -1.069  -0.891 -1.076  -0.749 -1.076  -0.607 -1.076  -0.465 -1.076  -0.332 -1.039  -0.205 -0.976  -0.076 -0.922  0.064 -0.916  0.164 -0.815  0.286 -0.767  0.367 -0.706  0.401 -0.578  0.501 -0.478  0.522 -0.345  0.522 -0.203  0.584 -0.087  0.676 0.017  0.676 0.159  0.676 0.301  0.676 0.443  0.676 0.585  0.676 0.726  0.676 0.868  0.676 1.010  0.676 1.152  0.676 1.294  0.676 1.436  0.676 1.527  0.676 1.385  0.676 1.243
2#app#app07#app0778/u  -0.387 1.042  -0.393 0.859  -0.524 0.728  -0.563 0.559  -0.661 0.415  -0.814 0.336  -0.974 0.277  -1.092 0.141  -1.120 -0.017  -1.268 -0.053  -1.268 -0.238  -1.268 -0.423  -1.268 -0.608  -1.197 -0.722  -1.012 -0.722  -0.916 -0.633  -0.818 -0.546  -0.644 -0.498  -0.478 -0.415  -0.328 -0.311  -0.197 -0.180  -0.066 -0.049  0.064 0.082  0.142 0.235  0.226 0.336  0.319 0.429  0.390 0.584  0.495 0.726  0.527 0.898  0.658 1.029  0.505 1.042  0.495 0.866  0.489 0.683  0.358 0.552  0.319 0.384  0.257 0.213  0.174 0.047  0.142 -0.130  0.229 -0.279  0.319 -0.427  0.366 -0.593  0.498 -0.722  0.683 -0.722  0.868 -0.722  1.045 -0.701  1.176 -0.570  1.350 -0.546  1.536 -0.546  1.721 -0.546  1.906 -0.546
2#app#app07#app0778/s  1.022 1.204  0.925 1.204  0.828 1.204  0.731 1.204  0.634 1.204  0.537 1.204  0.440 1.204  0.343 1.204  0.246 1.204  0.166 1.161  0.098 1.093  0.047 1.017  0.047 0.920  -0.009 0.879  -0.106 0.879  -0.116 0.791  -0.116 0.694  -0.116 0.597  -0.116 0.500  -0.116 0.403  -0.116 0.306  -0.102 0.215  -0.034 0.147  0.035 0.078  0.047 -0.014  0.047 -0.111  0.047 -0.208  0.079 -0.292  0.148 -0.360  0.209 -0.432  0.209 -0.529  0.209 -0.626  0.209 -0.723  0.209 -0.820  0.201 -0.909  0.104 -0.909  0.007 -0.909  -0.090 -0.909  -0.116 -0.980  -0.121 -1.071  -0.218 -1.071  -0.315 -1.071  -0.412 -1.071  -0.509 -1.071  -0.606 -1.071  -0.703 -1.071  -0.800 -1.071  -0.897 -1.071  -0.994 -1.071  -1.091 -1.071
2#app#app07#app0778/l  -1.066 -1.071  -0.914 -1.071  -0.858 -0.974  -0.775 -0.903  -0.662 -0.820  -0.519 -0.780  -0.465 -0.673  -0.329 -0.605  -0.212 -0.508  -0.104 -0.400  0.004 -0.292  0.112 -0.184  0.220 -0.075  0.329 0.033  0.427 0.149  0.511 0.276  0.594 0.405  0.662 0.542  0.759 0.658  0.835 0.790  0.876 0.933  0.876 1.086  0.876 1.239  0.876 1.392  0.785 1.454  0.637 1.432  0.500 1.363  0.425 1.233  0.357 1.096  0.286 0.961  0.178 0.853  0.070 0.745  -0.024 0.626  -0.092 0.490  -0.160 0.353  -0.229 0.216  -0.302 0.082  -0.410 -0.026  -0.484 -0.148  -0.517 -0.296  -0.565 -0.441  -0.581 -0.591  -0.581 -0.744  -0.498 -0.863  -0.448 -0.974  -0.322 -1.039  -0.214 -1.147  -0.106 -1.255  0.043 -1.265  0.196 -1.265
2#app#app07#app0778/y  -0.051 1.385  -0.092 1.310  -0.130 1.231  -0.212 1.149  -0.276 1.060  -0.276 0.945  -0.276 0.830  -0.204 0.786  -0.089 0.786  0.026 0.788  0.111 0.861  0.226 0.861  0.314 0.927  0.398 0.963  0.466 1.010  0.548 0.977  0.622 0.936  0.594 0.832  0.548 0.736  0.548 0.621  0.548 0.506  0.517 0.395  0.481 0.286  0.473 0.172  0.448 0.063  0.398 -0.041  0.398 -0.156  0.394 -0.271  0.342 -0.374  0.323 -0.485  0.323 -0.600  0.288 -0.707  0.248 -0.813  0.201 -0.908  0.119 -0.990  0.037 -1.072  -0.044 -1.153  -0.126 -1.235  -0.241 -1.235  -0.356 -1.235  -0.471 -1.235  -0.561 -1.174  -0.671 -1.160  -0.752 -1.105  -0.806 -1.004  -0.875 -0.917  -0.875 -0.802  -0.875 -0.686  -0.875 -0.571  -0.800 -0.487
