2#app#app06#app0661/f  -0.188 0.182  -0.188 0.328  -0.129 0.149  -0.048 -0.027  0.013 -0.219  0.051 -0.412  0.142 -0.593  0.212 -0.783  0.299 -0.966  0.336 -1.160  0.402 -1.347  0.481 -1.533  0.510 -1.731  0.412 -1.698  0.284 -1.542  0.192 -1.364  0.161 -1.166  0.161 -0.963  0.161 -0.761  -0.009 -0.664  -0.188 -0.571  -0.253 -0.379  -0.304 -0.185  -0.304 0.018  -0.304 0.220  -0.304 0.423  -0.304 0.626  -0.304 0.828  -0.304 1.031  -0.259 1.215  -0.188 1.398  -0.023 1.509  0.137 1.611  0.316 1.693  0.506 1.685  0.416 1.504  0.325 1.323  0.234 1.142  0.144 0.960  0.053 0.779  -0.037 0.598  -0.128 0.417  -0.219 0.235  -0.309 0.054  -0.400 -0.127  -0.478 -0.311  -0.481 -0.400  -0.302 -0.342  -0.099 -0.342  0.103 -0.342
2#app#app06#app0661/d  0.277 1.905  0.372 1.948  0.372 1.915  0.372 1.778  0.372 1.641  0.320 1.516  0.277 1.388  0.277 1.251  0.277 1.114  0.244 0.984  0.183 0.862  0.183 0.724  0.183 0.587  0.183 0.450  0.183 0.312  0.183 0.175  0.183 0.038  0.230 -0.088  0.277 -0.214  0.277 -0.352  0.277 -0.489  0.277 -0.626  0.372 -0.669  0.372 -0.806  0.372 -0.749  0.372 -0.612  0.311 -0.500  0.237 -0.386  0.167 -0.277  0.047 -0.236  -0.050 -0.139  -0.147 -0.042  -0.264 0.008  -0.401 0.008  -0.522 -0.033  -0.619 -0.130  -0.700 -0.239  -0.761 -0.362  -0.766 -0.498  -0.766 -0.635  -0.766 -0.772  -0.722 -0.891  -0.625 -0.988  -0.527 -1.085  -0.409 -1.131  -0.272 -1.131  -0.134 -1.131  0.003 -1.131  0.140 -1.131  0.277 -1.131
2#app#app06#app0661/k  -0.717 1.177  -0.628 0.998  -0.628 0.782  -0.628 0.567  -0.628 0.351  -0.628 0.136  -0.579 -0.068  -0.540 -0.275  -0.465 -0.472  -0.452 -0.685  -0.418 -0.886  -0.364 -1.079  -0.300 -1.269  -0.275 -1.474  -0.206 -1.520  -0.303 -1.327  -0.399 -1.134  -0.496 -0.942  -0.592 -0.749  -0.688 -0.556  -0.785 -0.363  -0.717 -0.241  -0.628 -0.062  -0.478 0.092  -0.326 0.244  -0.174 0.396  -0.001 0.520  0.168 0.650  0.321 0.802  0.508 0.907  0.613 1.088  0.814 1.148  0.986 1.265  1.084 1.224  0.915 1.091  0.745 0.958  0.576 0.825  0.406 0.692  0.237 0.558  0.067 0.425  -0.096 0.292  0.056 0.139  0.226 0.030  0.387 -0.103  0.499 -0.284  0.640 -0.445  0.793 -0.597  0.918 -0.769  1.046 -0.939  1.136 -1.117
2#app#app06#app0661/n  -0.539 0.742  -0.539 0.887  -0.496 0.742  -0.372 0.678  -0.372 0.490  -0.372 0.301  -0.372 0.113  -0.372 -0.075  -0.372 -0.263  -0.372 -0.451  -0.372 -0.639  -0.372 -0.828  -0.372 -1.016  -0.372 -1.204  -0.372 -1.392  -0.372 -1.580  -0.372 -1.415  -0.372 -1.227  -0.372 -1.039  -0.372 -0.851  -0.372 -0.662  -0.372 -0.474  -0.372 -0.286  -0.372 -0.098  -0.372 0.090  -0.372 0.278  -0.372 0.467  -0.372 0.655  -0.372 0.843  -0.286 0.995  -0.205 1.150  -0.109 1.242  0.044 1.325  0.198 1.409  0.295 1.318  0.374 1.163  0.461 1.010  0.523 0.848  0.628 0.703  0.628 0.515  0.665 0.335  0.749 0.167  0.795 -0.010  0.795 -0.198  0.886 -0.349  0.962 -0.506  0.962 -0.694  0.962 -0.882  0.962 -1.070  0.962 -1.258
2#app#app06#app0661/e  -0.511 -0.485  -0.364 -0.485  -0.256 -0.388  -0.152 -0.284  -0.048 -0.180  0.094 -0.169  0.206 -0.084  0.310 0.020  0.414 0.124  0.551 0.147  0.595 0.250  0.660 0.370  0.764 0.474  0.868 0.578  0.911 0.708  0.911 0.855  0.911 1.002  0.873 1.133  0.769 1.237  0.628 1.253  0.481 1.253  0.334 1.253  0.214 1.188  0.110 1.084  0.006 0.980  -0.098 0.876  -0.202 0.772  -0.306 0.668  -0.353 0.540  -0.415 0.432  -0.547 0.366  -0.669 0.294  -0.669 0.147  -0.669 0.000  -0.669 -0.147  -0.669 -0.294  -0.669 -0.441  -0.669 -0.588  -0.669 -0.735  -0.669 -0.882  -0.619 -1.009  -0.515 -1.113  -0.369 -1.117  -0.353 -1.247  -0.233 -1.275  -0.118 -1.352  -0.004 -1.433  0.143 -1.433  0.290 -1.433  0.437 -1.433
2#app#app06#app0661/w  -1.017 1.193  -1.017 1.002  -1.017 0.811  -1.017 0.621  -0.977 0.447  -0.876 0.298  -0.876 0.108  -0.810 -0.067  -0.735 -0.240  -0.684 -0.410  -0.594 -0.563  -0.594 -0.753  -0.573 -0.923  -0.453 -0.993  -0.453 -1.184  -0.433 -1.044  -0.312 -0.904  -0.312 -0.713  -0.312 -0.523  -0.312 -0.332  -0.312 -0.141  -0.312 0.049  -0.188 0.188  -0.171 0.321  -0.096 0.205  -0.030 0.081  0.093 -0.059  0.128 -0.235  0.252 -0.374  0.252 -0.565  0.252 -0.755  0.393 -0.805  0.393 -0.995  0.479 -0.978  0.534 -0.810  0.534 -0.620  0.534 -0.429  0.534 -0.239  0.547 -0.051  0.632 0.119  0.675 0.300  0.675 0.490  0.675 0.681  0.747 0.841  0.816 1.003  0.817 1.194  0.952 1.328  0.999 1.475  1.190 1.475  1.380 1.475
2#app#app06#app0661/t  -0.125 1.623  0.008 1.665  0.008 1.673  0.133 1.623  0.141 1.456  0.141 1.282  0.141 1.107  0.141 0.933  0.141 0.758  0.141 0.584  0.141 0.409  0.141 0.235  0.141 0.060  0.141 -0.114  0.141 -0.289  0.141 -0.463  0.141 -0.638  0.141 -0.812  0.141 -0.987  0.197 -1.148  0.274 -1.304  0.274 -1.479  0.360 -1.567  0.535 -1.567  0.514 -1.406  0.396 -1.278  0.278 -1.150  0.159 -1.022  0.041 -0.894  -0.078 -0.765  -0.196 -0.637  -0.314 -0.509  -0.433 -0.381  -0.551 -0.252  -0.669 -0.124  -0.788 0.004  -0.906 0.132  -1.024 0.260  -0.926 0.294  -0.802 0.415  -0.632 0.427  -0.458 0.427  -0.283 0.427  -0.109 0.427  0.066 0.427  0.240 0.427  0.415 0.427  0.589 0.427  0.764 0.427  0.938 0.427
2#app#app06#app0661/h  -0.531 2.071  -0.422 1.962  -0.376 1.826  -0.376 1.672  -0.376 1.517  -0.376 1.363  -0.376 1.208  -0.376 1.054  -0.376 0.899  -0.376 0.745  -0.376 0.590  -0.376 0.435  -0.376 0.281  -0.376 0.126  -0.376 -0.028  -0.376 -0.183  -0.376 -0.337  -0.376 -0.492  -0.376 -0.646  -0.376 -0.801  -0.376 -0.955  -0.376 -1.110  -0.376 -1.264  -0.376 -1.252  -0.376 -1.097  -0.318 -0.967  -0.222 -0.853  -0.204 -0.716  -0.067 -0.698  -0.067 -0.544  -0.055 -0.394  0.055 -0.285  0.088 -0.144  0.164 -0.021  0.273 0.088  0.382 0.197  0.491 0.307  0.601 0.416  0.707 0.519  0.707 0.365  0.707 0.210  0.707 0.056  0.707 -0.099  0.707 -0.253  0.707 -0.408  0.707 -0.562  0.707 -0.717  0.707 -0.872  0.707 -1.026  0.707 -1.181
2#app#app06#app0661/a  -0.319 0.186  -0.125 0.186  0.068 0.186  0.262 0.186  0.444 0.175  0.444 -0.018  0.444 -0.212  0.444 -0.405  0.428 -0.592  0.291 -0.729  0.114 -0.767  -0.038 -0.868  -0.194 -0.958  -0.388 -0.958  -0.581 -0.958  -0.775 -0.958  -0.891 -0.880  -0.947 -0.710  -1.081 -0.572  -1.081 -0.379  -1.081 -0.185  -1.072 0.005  -0.935 0.141  -0.891 0.316  -0.891 0.510  -0.755 0.568  -0.602 0.665  -0.509 0.820  -0.463 0.995  -0.326 1.132  -0.136 1.140  0.038 1.222  0.211 1.309  0.399 1.330  0.593 1.330  0.635 1.179  0.635 0.985  0.635 0.792  0.635 0.598  0.635 0.405  0.635 0.211  0.635 0.018  0.635 -0.175  0.635 -0.369  0.635 -0.562  0.635 -0.756  0.635 -0.949  0.635 -1.143  0.823 -1.148  0.825 -1.339
2#app#app06#app0661/t  0.091 1.987  0.255 1.978  0.268 1.810  0.391 1.687  0.420 1.525  0.420 1.351  0.420 1.177  0.420 1.003  0.420 0.829  0.420 0.656  0.404 0.488  0.281 0.365  0.255 0.202  0.255 0.028  0.255 -0.146  0.255 -0.320  0.255 -0.493  0.255 -0.667  0.255 -0.841  0.291 -0.979  0.420 -1.024  0.420 -1.198  0.373 -1.267  0.244 -1.151  0.115 -1.034  -0.014 -0.918  -0.144 -0.802  -0.273 -0.685  -0.402 -0.569  -0.531 -0.453  -0.661 -0.336  -0.790 -0.220  -0.919 -0.104  -1.048 0.013  -1.178 0.129  -1.228 0.068  -1.147 -0.072  -1.007 -0.155  -0.833 -0.155  -0.659 -0.155  -0.486 -0.155  -0.312 -0.155  -0.138 -0.155  0.036 -0.155  0.210 -0.155  0.384 -0.155  0.558 -0.155  0.732 -0.155  0.906 -0.155  1.080 -0.155
2#app#app06#app0661/s  1.053 1.296  0.934 1.296  0.815 1.296  0.747 1.245  0.732 1.135  0.625 1.082  0.519 1.029  0.409 0.990  0.290 0.990  0.206 0.907  0.116 0.837  -0.003 0.837  -0.092 0.763  -0.178 0.684  -0.297 0.684  -0.389 0.619  -0.473 0.535  -0.590 0.532  -0.629 0.451  -0.676 0.379  -0.782 0.366  -0.782 0.247  -0.684 0.226  -0.565 0.226  -0.476 0.196  -0.476 0.077  -0.361 0.073  -0.242 0.073  -0.170 0.026  -0.158 -0.086  -0.052 -0.139  0.055 -0.192  0.136 -0.261  0.136 -0.380  0.216 -0.466  0.289 -0.555  0.289 -0.674  0.289 -0.793  0.289 -0.912  0.289 -1.031  0.289 -1.150  0.170 -1.150  0.136 -1.235  0.085 -1.303  -0.017 -1.320  -0.017 -1.439  -0.119 -1.456  -0.238 -1.456  -0.323 -1.490  -0.323 -1.609
2#app#app06#app0661/o  -0.656 0.398  -0.495 0.398  -0.334 0.398  -0.173 0.398  -0.012 0.398  0.149 0.398  0.310 0.398  0.461 0.388  0.461 0.227  0.569 0.175  0.730 0.175  0.891 0.175  1.052 0.175  1.189 0.117  1.303 0.003  1.354 -0.137  1.354 -0.298  1.354 -0.459  1.230 -0.495  1.087 -0.539  0.973 -0.653  0.840 -0.719  0.679 -0.719  0.518 -0.719  0.357 -0.719  0.196 -0.719  0.035 -0.719  -0.126 -0.719  -0.287 -0.719  -0.448 -0.719  -0.609 -0.719  -0.769 -0.719  -0.930 -0.719  -1.091 -0.719  -1.102 -0.569  -1.102 -0.408  -1.102 -0.247  -1.102 -0.086  -1.015 0.039  -0.901 0.152  -0.821 0.290  -0.749 0.434  -0.677 0.578  -0.656 0.734  -0.620 0.880  -0.506 0.994  -0.393 1.108  -0.279 1.222  -0.147 1.291  0.014 1.291
2#app#app06#app0661/m  -0.602 1.141  -0.667 0.957  -0.722 0.769  -0.722 0.558  -0.841 0.396  -0.841 0.185  -0.841 -0.025  -0.841 -0.236  -0.841 -0.447  -0.849 -0.655  -0.960 -0.819  -0.960 -0.978  -0.960 -0.768  -0.960 -0.557  -0.879 -0.365  -0.784 -0.176  -0.672 -0.001  -0.602 0.181  -0.602 0.392  -0.483 0.483  -0.378 0.651  -0.313 0.835  -0.164 0.821  -0.126 0.626  -0.126 0.415  -0.126 0.205  -0.126 -0.006  -0.126 -0.217  -0.126 -0.428  -0.126 -0.639  -0.067 -0.468  0.000 -0.289  0.113 -0.191  0.232 -0.029  0.312 0.148  0.461 0.297  0.610 0.446  0.780 0.545  0.872 0.664  1.078 0.653  1.185 0.486  1.207 0.285  1.304 0.114  1.304 -0.097  1.304 -0.308  1.304 -0.518  1.304 -0.729  1.304 -0.940  1.332 -1.123  1.423 -1.243
2#app#app06#app0661/e  -0.224 -0.115  -0.088 -0.080  0.036 -0.014  0.085 0.087  0.220 0.126  0.345 0.188  0.391 0.298  0.503 0.390  0.584 0.460  0.669 0.576  0.775 0.682  0.787 0.828  0.703 0.896  0.653 0.997  0.503 0.997  0.352 0.997  0.205 0.971  0.062 0.924  -0.084 0.896  -0.232 0.888  -0.344 0.794  -0.494 0.794  -0.611 0.711  -0.717 0.605  -0.824 0.498  -0.930 0.391  -1.066 0.356  -1.134 0.233  -1.134 0.083  -1.134 -0.068  -1.132 -0.218  -1.025 -0.325  -0.919 -0.431  -0.812 -0.538  -0.699 -0.636  -0.564 -0.703  -0.419 -0.725  -0.284 -0.793  -0.149 -0.860  -0.013 -0.924  0.137 -0.924  0.288 -0.924  0.439 -0.924  0.590 -0.924  0.740 -0.924  0.891 -0.924  1.042 -0.924  1.193 -0.924  1.343 -0.924  1.494 -0.924
