3#apb#apb15#app1544/H  -0.572 1.628  -0.593 1.350  -0.618 1.073  -0.637 0.795  -0.658 0.517  -0.683 0.240  -0.707 -0.038  -0.717 -0.316  -0.726 -0.595  -0.728 -0.873  -0.720 -1.151  -0.684 -1.427  -0.541 -1.499  -0.433 -1.242  -0.325 -0.986  -0.217 -0.729  -0.109 -0.472  -0.001 -0.215  0.107 0.041  0.216 0.298  0.324 0.555  0.432 0.812  0.540 1.069  0.648 1.325  0.756 1.582  0.712 1.407  0.663 1.133  0.620 0.858  0.588 0.581  0.557 0.304  0.529 0.027  0.502 -0.250  0.502 -0.529  0.518 -0.806  0.552 -1.083  0.617 -1.353  0.437 -1.154  0.252 -0.945  0.067 -0.737  -0.118 -0.529  -0.302 -0.320  -0.487 -0.112  -0.672 0.097  -0.672 0.180  -0.395 0.174  -0.118 0.197  0.158 0.234  0.435 0.268  0.712 0.294  0.990 0.320
3#apb#apb15#app1544/l  0.016 1.377  0.016 1.448  0.016 1.519  0.027 1.532  0.052 1.466  0.052 1.395  0.052 1.324  0.052 1.253  0.052 1.182  0.052 1.111  0.047 1.040  0.042 0.970  0.037 0.899  0.032 0.828  0.027 0.757  0.022 0.686  0.017 0.615  0.016 0.544  0.016 0.473  0.016 0.402  0.016 0.331  0.016 0.260  0.016 0.189  0.016 0.118  0.016 0.047  0.016 -0.024  0.010 -0.094  0.004 -0.165  -0.002 -0.236  -0.008 -0.307  -0.014 -0.377  -0.020 -0.448  -0.026 -0.519  -0.032 -0.590  -0.038 -0.660  -0.041 -0.731  -0.044 -0.802  -0.047 -0.873  -0.049 -0.944  -0.052 -1.015  -0.055 -1.086  -0.057 -1.157  -0.058 -1.228  -0.058 -1.299  -0.058 -1.370  -0.058 -1.441  -0.051 -1.511  -0.035 -1.581  -0.017 -1.647  0.052 -1.664
3#apb#apb15#app1544/i  0.094 0.366  0.030 0.271  -0.034 0.175  -0.083 0.072  -0.124 -0.035  -0.165 -0.143  -0.189 -0.254  -0.203 -0.368  -0.218 -0.482  -0.226 -0.596  -0.202 -0.708  -0.178 -0.820  -0.154 -0.933  -0.117 -1.042  -0.081 -1.151  -0.040 -1.258  0.011 -1.360  0.077 -1.451  0.142 -1.470  0.137 -1.355  0.132 -1.241  0.127 -1.126  0.122 -1.011  0.117 -0.896  0.112 -0.782  0.107 -0.667  0.102 -0.552  0.097 -0.437  0.092 -0.323  0.087 -0.208  0.082 -0.093  0.076 0.022  0.071 0.136  0.066 0.251  0.061 0.366  0.056 0.481  0.051 0.595  0.046 0.710  0.041 0.825  0.036 0.939  0.031 1.054  0.026 1.169  0.021 1.284  0.016 1.398  0.011 1.513  0.006 1.628  0.001 1.743  -0.005 1.857  -0.084 1.924  -0.180 1.984
3#apb#apb15#app1544/s  1.115 1.268  1.011 1.216  0.908 1.165  0.804 1.113  0.697 1.071  0.585 1.042  0.473 1.014  0.360 0.986  0.248 0.958  0.136 0.930  0.024 0.902  -0.089 0.874  -0.201 0.846  -0.308 0.804  -0.409 0.748  -0.511 0.693  -0.615 0.646  -0.725 0.638  -0.777 0.534  -0.731 0.434  -0.662 0.344  -0.572 0.271  -0.481 0.199  -0.391 0.127  -0.291 0.070  -0.189 0.015  -0.087 -0.040  0.015 -0.095  0.116 -0.151  0.217 -0.207  0.319 -0.264  0.419 -0.321  0.519 -0.379  0.536 -0.491  0.548 -0.606  0.527 -0.715  0.476 -0.819  0.418 -0.916  0.314 -0.968  0.211 -1.019  0.107 -1.071  0.004 -1.123  -0.109 -1.146  -0.223 -1.166  -0.337 -1.186  -0.451 -1.206  -0.565 -1.226  -0.680 -1.245  -0.794 -1.264  -0.908 -1.283
3#apb#apb15#app1544/a  0.827 0.696  0.674 0.798  0.514 0.888  0.352 0.976  0.172 1.002  -0.012 1.014  -0.195 1.015  -0.379 1.001  -0.551 0.956  -0.697 0.844  -0.843 0.732  -0.954 0.588  -1.049 0.431  -1.144 0.273  -1.200 0.098  -1.251 -0.079  -1.260 -0.259  -1.232 -0.441  -1.166 -0.605  -1.046 -0.745  -0.885 -0.832  -0.720 -0.914  -0.541 -0.914  -0.359 -0.890  -0.182 -0.845  -0.017 -0.763  0.147 -0.681  0.267 -0.545  0.378 -0.397  0.475 -0.242  0.553 -0.075  0.631 0.092  0.669 0.270  0.695 0.453  0.709 0.636  0.703 0.814  0.536 0.742  0.440 0.592  0.363 0.425  0.319 0.250  0.308 0.066  0.297 -0.118  0.341 -0.294  0.403 -0.468  0.483 -0.631  0.594 -0.779  0.704 -0.926  0.872 -1.000  1.042 -1.070  1.212 -1.140
3#apb#apb15#app1544/@  0.290 -0.023  0.355 0.161  0.407 0.354  0.366 0.549  0.218 0.673  0.032 0.619  -0.136 0.513  -0.242 0.343  -0.274 0.145  -0.205 -0.040  -0.061 -0.182  0.135 -0.224  0.328 -0.175  0.483 -0.045  0.538 0.148  0.581 0.133  0.782 0.139  0.958 0.227  1.086 0.384  1.073 0.582  0.937 0.732  0.766 0.837  0.587 0.931  0.387 0.966  0.187 0.999  -0.013 0.989  -0.213 0.956  -0.408 0.909  -0.591 0.821  -0.765 0.723  -0.898 0.570  -1.031 0.417  -1.120 0.236  -1.201 0.050  -1.247 -0.142  -1.232 -0.344  -1.188 -0.536  -1.074 -0.703  -0.943 -0.851  -0.764 -0.948  -0.585 -1.043  -0.387 -1.082  -0.188 -1.122  0.012 -1.150  0.215 -1.150  0.417 -1.150  0.619 -1.132  0.820 -1.107  1.004 -1.024  1.185 -0.934
3#apb#apb15#app1544/m  -1.020 0.617  -0.999 0.530  -1.043 0.358  -1.084 0.184  -1.125 0.010  -1.116 -0.167  -1.102 -0.345  -1.088 -0.523  -1.075 -0.701  -0.996 -0.861  -0.933 -0.925  -0.840 -0.773  -0.748 -0.620  -0.651 -0.470  -0.555 -0.320  -0.477 -0.160  -0.419 0.008  -0.360 0.176  -0.297 0.344  -0.228 0.508  -0.159 0.673  -0.091 0.838  -0.031 1.006  0.029 1.174  0.086 1.146  0.086 0.967  0.081 0.789  0.060 0.612  0.039 0.435  0.024 0.257  0.011 0.079  0.011 -0.099  0.022 -0.277  0.042 -0.453  0.131 -0.608  0.196 -0.758  0.342 -0.655  0.485 -0.548  0.612 -0.423  0.738 -0.296  0.868 -0.174  1.000 -0.054  1.135 0.062  1.276 0.172  1.418 0.280  1.463 0.142  1.507 -0.030  1.537 -0.206  1.590 -0.376  1.651 -0.543
3#apb#apb15#app1544/a  0.767 0.519  0.688 0.657  0.611 0.796  0.560 0.947  0.470 1.070  0.345 1.170  0.191 1.208  0.035 1.174  -0.120 1.139  -0.248 1.049  -0.368 0.945  -0.489 0.841  -0.609 0.736  -0.729 0.632  -0.842 0.519  -0.955 0.406  -1.067 0.294  -1.124 0.146  -1.179 -0.004  -1.221 -0.154  -1.186 -0.310  -1.152 -0.465  -1.064 -0.597  -0.971 -0.727  -0.833 -0.799  -0.686 -0.860  -0.530 -0.829  -0.374 -0.798  -0.221 -0.753  -0.071 -0.699  0.078 -0.645  0.211 -0.559  0.339 -0.464  0.445 -0.351  0.511 -0.206  0.577 -0.061  0.636 0.087  0.686 0.238  0.675 0.338  0.596 0.200  0.537 0.056  0.537 -0.103  0.537 -0.263  0.569 -0.413  0.654 -0.547  0.740 -0.682  0.833 -0.809  0.952 -0.916  1.070 -1.023  1.188 -1.129
3#apb#apb15#app1544/t  0.300 1.066  0.229 0.909  0.188 0.743  0.170 0.571  0.158 0.398  0.158 0.225  0.158 0.052  0.181 -0.118  0.213 -0.289  0.244 -0.459  0.273 -0.629  0.298 -0.800  0.324 -0.971  0.353 -1.142  0.381 -1.313  0.419 -1.482  0.327 -1.559  0.212 -1.454  0.118 -1.309  0.024 -1.164  -0.070 -1.018  -0.164 -0.873  -0.258 -0.728  -0.352 -0.582  -0.446 -0.437  -0.540 -0.292  -0.634 -0.147  -0.728 -0.001  -0.822 0.144  -0.916 0.289  -1.009 0.435  -1.103 0.580  -1.197 0.725  -1.167 0.783  -0.998 0.744  -0.827 0.724  -0.655 0.707  -0.482 0.689  -0.310 0.673  -0.138 0.659  0.035 0.645  0.207 0.631  0.380 0.616  0.551 0.597  0.723 0.577  0.895 0.557  1.067 0.538  1.239 0.517  1.411 0.497  1.582 0.476
3#apb#apb15#app1544/h  -0.313 2.066  -0.335 1.945  -0.357 1.824  -0.380 1.702  -0.402 1.581  -0.403 1.458  -0.403 1.335  -0.403 1.212  -0.402 1.088  -0.392 0.966  -0.383 0.843  -0.374 0.720  -0.364 0.597  -0.355 0.474  -0.346 0.351  -0.337 0.228  -0.327 0.105  -0.318 -0.017  -0.309 -0.140  -0.299 -0.263  -0.289 -0.386  -0.279 -0.509  -0.270 -0.632  -0.245 -0.752  -0.220 -0.873  -0.201 -0.994  -0.201 -1.117  -0.179 -1.128  -0.147 -1.010  -0.103 -0.895  -0.056 -0.781  0.001 -0.672  0.059 -0.564  0.117 -0.455  0.182 -0.350  0.250 -0.248  0.318 -0.145  0.404 -0.062  0.514 -0.007  0.635 0.005  0.671 -0.101  0.695 -0.222  0.695 -0.345  0.693 -0.468  0.684 -0.591  0.675 -0.714  0.672 -0.837  0.673 -0.960  0.693 -1.082  0.762 -1.182
3#apb#apb15#app1544/.  1.502 0.807  1.437 0.778  1.373 0.750  1.308 0.721  1.244 0.692  1.179 0.664  1.115 0.635  1.050 0.606  0.985 0.577  0.921 0.549  0.856 0.520  0.792 0.491  0.727 0.463  0.662 0.434  0.598 0.405  0.533 0.377  0.469 0.348  0.404 0.319  0.340 0.290  0.275 0.262  0.210 0.233  0.146 0.204  0.081 0.176  0.017 0.147  -0.048 0.118  -0.112 0.090  -0.177 0.061  -0.242 0.032  -0.306 0.003  -0.371 -0.025  -0.429 -0.062  -0.473 -0.117  -0.517 -0.172  -0.562 -0.228  -0.606 -0.283  -0.650 -0.338  -0.694 -0.393  -0.738 -0.448  -0.782 -0.504  -0.826 -0.559  -0.871 -0.614  -0.915 -0.669  -0.959 -0.724  -1.003 -0.779  -1.047 -0.835  -1.091 -0.890  -1.135 -0.945  -1.180 -1.000  -1.224 -1.055  -1.268 -1.111
3#apb#apb15#app1544/e  -1.187 0.125  -1.182 0.094  -1.023 0.075  -0.867 0.032  -0.709 0.000  -0.548 0.000  -0.386 0.000  -0.224 0.000  -0.065 0.030  0.093 0.062  0.252 0.094  0.410 0.130  0.567 0.166  0.723 0.209  0.877 0.260  1.008 0.347  1.069 0.484  1.038 0.641  0.969 0.779  0.838 0.875  0.707 0.970  0.556 1.013  0.395 1.029  0.234 1.034  0.072 1.034  -0.086 1.020  -0.228 0.942  -0.370 0.865  -0.485 0.753  -0.592 0.632  -0.674 0.494  -0.747 0.349  -0.773 0.195  -0.761 0.034  -0.748 -0.127  -0.691 -0.279  -0.634 -0.430  -0.577 -0.582  -0.464 -0.687  -0.327 -0.773  -0.190 -0.858  -0.052 -0.944  0.087 -1.026  0.227 -1.108  0.366 -1.190  0.509 -1.264  0.665 -1.308  0.820 -1.352  0.976 -1.397  1.132 -1.441
3#apb#apb15#app1544/d  0.416 2.112  0.401 1.990  0.386 1.867  0.372 1.744  0.362 1.621  0.351 1.498  0.340 1.375  0.333 1.252  0.329 1.129  0.325 1.005  0.321 0.882  0.316 0.758  0.308 0.635  0.300 0.512  0.291 0.389  0.283 0.265  0.273 0.142  0.257 0.020  0.241 -0.103  0.225 -0.225  0.213 -0.348  0.205 -0.471  0.198 -0.594  0.195 -0.718  0.195 -0.841  0.158 -0.823  0.098 -0.715  0.058 -0.599  0.019 -0.482  -0.049 -0.380  -0.122 -0.280  -0.204 -0.188  -0.301 -0.124  -0.425 -0.124  -0.532 -0.178  -0.633 -0.248  -0.709 -0.345  -0.774 -0.447  -0.785 -0.570  -0.779 -0.691  -0.743 -0.810  -0.660 -0.891  -0.554 -0.953  -0.440 -0.990  -0.317 -0.990  -0.193 -0.990  -0.070 -0.990  0.052 -1.010  0.174 -1.030  0.296 -1.050
3#apb#apb15#app1544/u  -1.328 0.965  -1.453 0.921  -1.477 0.794  -1.466 0.657  -1.430 0.522  -1.393 0.388  -1.339 0.260  -1.281 0.134  -1.211 0.017  -1.102 -0.070  -0.994 -0.157  -0.882 -0.240  -0.768 -0.319  -0.653 -0.399  -0.537 -0.475  -0.407 -0.522  -0.276 -0.570  -0.145 -0.561  -0.015 -0.512  0.121 -0.485  0.243 -0.442  0.313 -0.322  0.383 -0.202  0.450 -0.080  0.508 0.047  0.567 0.173  0.618 0.301  0.638 0.439  0.658 0.577  0.675 0.715  0.675 0.854  0.653 0.947  0.546 0.858  0.476 0.745  0.440 0.611  0.405 0.476  0.387 0.338  0.370 0.200  0.353 0.062  0.380 -0.070  0.434 -0.198  0.489 -0.326  0.557 -0.445  0.651 -0.547  0.745 -0.650  0.839 -0.752  0.959 -0.821  1.083 -0.883  1.208 -0.946  1.332 -1.008
