2#tos#f1#f1006061/#  -0.819 0.336  -0.447 0.270  -0.058 0.218  0.312 0.128  0.688 0.043  0.327 0.001  -0.068 -0.043  -0.463 -0.087  -0.858 -0.131  -1.087 -0.401  -0.892 -0.485  -0.507 -0.563  -0.114 -0.602  0.284 -0.602  0.681 -0.602  0.824 -0.534  0.661 -0.171  0.497 0.191  0.334 0.554  0.171 0.916  0.008 1.279  -0.155 1.641  -0.233 1.357  -0.292 0.969  -0.292 0.572  -0.390 0.198  -0.410 -0.195  -0.467 -0.586  -0.467 -0.983  -0.467 -1.381  -0.467 -1.778  -0.403 -1.615  -0.312 -1.228  -0.221 -0.841  -0.130 -0.454  -0.040 -0.067  0.051 0.320  0.142 0.707  0.232 1.094  0.323 1.481  0.406 1.854  0.353 1.478  0.353 1.080  0.353 0.683  0.412 0.295  0.529 -0.067  0.529 -0.465  0.529 -0.862  0.529 -1.260  0.529 -1.657
2#tos#f1#f1006061/@  0.652 0.492  0.482 0.451  0.270 0.451  0.067 0.442  0.025 0.272  0.025 0.060  -0.017 -0.135  -0.017 -0.347  0.025 -0.517  0.159 -0.595  0.270 -0.720  0.422 -0.637  0.569 -0.571  0.569 -0.359  0.610 -0.165  0.610 0.047  0.610 0.259  0.610 0.471  0.694 0.600  0.694 0.811  0.694 1.023  0.620 1.161  0.450 1.203  0.291 1.272  0.127 1.329  -0.059 1.303  -0.213 1.245  -0.351 1.171  -0.427 1.009  -0.560 0.925  -0.602 0.755  -0.728 0.644  -0.755 0.438  -0.811 0.272  -0.853 0.101  -0.895 -0.069  -0.895 -0.281  -0.895 -0.493  -0.877 -0.697  -0.811 -0.857  -0.730 -1.011  -0.561 -1.055  -0.435 -1.166  -0.278 -1.244  -0.095 -1.306  0.117 -1.306  0.287 -1.264  0.489 -1.222  0.608 -1.097  0.819 -1.097
2#tos#f1#f1006061/[  0.238 0.959  0.127 0.959  0.016 0.959  -0.032 0.959  0.079 0.959  0.190 0.959  0.301 0.959  0.412 0.959  0.523 0.959  0.634 0.959  0.560 0.955  0.449 0.950  0.338 0.946  0.227 0.941  0.116 0.937  0.006 0.932  -0.105 0.927  -0.216 0.923  -0.323 0.904  -0.365 0.819  -0.340 0.733  -0.327 0.635  -0.327 0.524  -0.327 0.413  -0.327 0.302  -0.327 0.191  -0.327 0.080  -0.327 -0.031  -0.327 -0.142  -0.327 -0.253  -0.327 -0.364  -0.327 -0.475  -0.327 -0.586  -0.327 -0.697  -0.327 -0.807  -0.327 -0.918  -0.327 -1.029  -0.327 -1.140  -0.327 -1.251  -0.267 -1.302  -0.156 -1.302  -0.045 -1.302  0.066 -1.302  0.177 -1.302  0.288 -1.302  0.399 -1.302  0.497 -1.269  0.602 -1.251  0.692 -1.189  0.803 -1.189
2#tos#f1#f1006061/^  0.074 1.267  -0.105 1.267  -0.195 1.123  -0.321 1.050  -0.321 0.871  -0.321 0.692  -0.321 0.513  -0.321 0.334  -0.444 0.279  -0.518 0.174  -0.518 -0.004  -0.518 -0.183  -0.617 -0.321  -0.617 -0.500  -0.617 -0.679  -0.723 -0.814  -0.849 -0.940  -0.913 -1.092  -1.012 -1.173  -0.947 -1.066  -0.870 -0.905  -0.793 -0.743  -0.717 -0.582  -0.640 -0.420  -0.563 -0.259  -0.486 -0.097  -0.409 0.064  -0.332 0.225  -0.255 0.387  -0.178 0.548  -0.102 0.710  -0.025 0.871  -0.024 0.693  -0.024 0.515  0.116 0.477  0.295 0.477  0.370 0.373  0.455 0.279  0.598 0.220  0.691 0.082  0.870 0.082  0.963 -0.004  0.963 -0.183  1.083 -0.258  1.160 -0.418  1.244 -0.531  1.418 -0.575  1.592 -0.609  1.771 -0.609  1.950 -0.609
2#tos#f1#f1006061/_  -1.432 -0.019  -1.507 -0.019  -1.582 -0.019  -1.569 -0.071  -1.494 -0.071  -1.419 -0.071  -1.343 -0.071  -1.268 -0.071  -1.193 -0.071  -1.118 -0.071  -1.043 -0.071  -0.967 -0.071  -0.896 -0.048  -0.825 -0.024  -0.750 -0.019  -0.675 -0.019  -0.600 -0.019  -0.525 -0.019  -0.449 -0.019  -0.374 -0.019  -0.299 -0.019  -0.231 0.011  -0.164 0.045  -0.096 0.079  -0.023 0.085  0.053 0.085  0.128 0.085  0.203 0.085  0.278 0.085  0.353 0.085  0.429 0.085  0.504 0.085  0.575 0.103  0.642 0.136  0.717 0.136  0.792 0.136  0.868 0.136  0.943 0.136  1.003 0.122  1.003 0.047  1.065 0.033  1.140 0.033  1.199 -0.007  1.252 -0.060  1.305 -0.113  1.376 -0.123  1.452 -0.123  1.522 -0.128  1.522 -0.203  1.522 -0.175
2#tos#f1#f1006061/4  -0.355 1.201  -0.441 1.083  -0.455 0.885  -0.560 0.716  -0.657 0.538  -0.744 0.362  -0.804 0.172  -0.951 0.039  -1.013 -0.133  -1.116 -0.270  -0.990 -0.314  -0.786 -0.314  -0.582 -0.314  -0.377 -0.314  -0.173 -0.314  0.032 -0.314  0.234 -0.305  0.433 -0.270  0.638 -0.270  0.842 -0.270  1.046 -0.270  1.207 -0.314  1.290 -0.192  1.151 -0.064  1.023 0.095  0.896 0.255  0.768 0.415  0.640 0.574  0.513 0.734  0.385 0.893  0.257 1.053  0.130 1.212  -0.018 1.331  -0.138 1.197  -0.098 0.997  -0.095 0.793  -0.095 0.589  -0.095 0.384  -0.095 0.180  -0.095 -0.024  -0.095 -0.229  -0.095 -0.433  -0.095 -0.637  -0.095 -0.842  -0.095 -1.046  -0.095 -1.250  -0.095 -1.455  -0.073 -1.657  -0.008 -1.840  -0.008 -2.045
2#tos#f1#f1006061/5  -0.027 1.340  -0.107 1.240  -0.107 1.061  -0.149 0.898  -0.227 0.751  -0.234 0.574  -0.307 0.424  -0.307 0.245  -0.269 0.102  -0.090 0.102  0.090 0.102  0.234 0.019  0.391 -0.018  0.553 -0.078  0.692 -0.153  0.762 -0.317  0.772 -0.494  0.772 -0.674  0.772 -0.854  0.652 -0.967  0.576 -1.107  0.426 -1.198  0.330 -1.306  0.154 -1.336  0.014 -1.376  -0.166 -1.376  -0.334 -1.348  -0.466 -1.260  -0.625 -1.216  -0.666 -1.042  -0.706 -0.871  -0.679 -0.694  -0.649 -0.517  -0.620 -0.339  -0.590 -0.162  -0.561 0.015  -0.531 0.193  -0.502 0.370  -0.472 0.547  -0.442 0.724  -0.413 0.902  -0.368 1.061  -0.188 1.061  -0.008 1.061  0.159 1.008  0.332 0.981  0.512 0.981  0.692 0.981  0.872 0.981  1.051 0.981
2#tos#f1#f1006061/6  0.477 1.735  0.388 1.782  0.299 1.735  0.240 1.657  0.175 1.560  0.137 1.450  0.002 1.448  -0.025 1.314  -0.069 1.189  -0.166 1.092  -0.235 0.984  -0.287 0.867  -0.330 0.738  -0.358 0.605  -0.377 0.472  -0.377 0.335  -0.405 0.201  -0.425 0.067  -0.425 -0.070  -0.425 -0.206  -0.425 -0.343  -0.425 -0.480  -0.425 -0.617  -0.425 -0.754  -0.425 -0.890  -0.386 -1.011  -0.289 -1.108  -0.220 -1.224  -0.116 -1.304  0.021 -1.304  0.156 -1.297  0.269 -1.221  0.369 -1.128  0.396 -1.001  0.478 -0.892  0.544 -0.774  0.572 -0.642  0.572 -0.505  0.572 -0.368  0.572 -0.231  0.572 -0.094  0.508 -0.022  0.371 -0.022  0.235 -0.024  0.105 -0.067  -0.010 -0.141  -0.119 -0.224  -0.226 -0.309  -0.311 -0.412  -0.330 -0.544
2#tos#f1#f1006061/7  -0.394 1.060  -0.514 1.040  -0.540 0.914  -0.540 0.782  -0.540 0.650  -0.587 0.529  -0.612 0.404  -0.681 0.300  -0.685 0.170  -0.672 0.115  -0.627 0.239  -0.582 0.363  -0.537 0.487  -0.492 0.610  -0.446 0.734  -0.401 0.858  -0.396 0.768  -0.501 0.689  -0.456 0.660  -0.324 0.660  -0.193 0.660  -0.061 0.660  0.071 0.660  0.167 0.696  0.299 0.696  0.430 0.696  0.548 0.663  0.606 0.587  0.637 0.475  0.661 0.347  0.697 0.252  0.697 0.120  0.690 -0.010  0.639 -0.132  0.604 -0.259  0.572 -0.387  0.548 -0.515  0.512 -0.642  0.469 -0.764  0.352 -0.823  0.311 -0.941  0.275 -1.067  0.226 -1.190  0.224 -1.321  0.202 -1.446  0.134 -1.559  0.076 -1.677  0.044 -1.805  0.042 -1.937  0.042 -2.069
2#tos#f1#f1006061/9  0.691 0.297  0.538 0.314  0.538 0.483  0.448 0.598  0.362 0.729  0.269 0.868  0.128 0.961  -0.042 0.961  -0.211 0.961  -0.381 0.961  -0.551 0.961  -0.711 0.938  -0.831 0.818  -0.870 0.662  -0.978 0.536  -1.045 0.408  -1.064 0.241  -1.096 0.077  -1.078 -0.087  -0.976 -0.213  -0.807 -0.213  -0.637 -0.213  -0.470 -0.204  -0.329 -0.110  -0.193 -0.008  -0.049 0.080  0.094 0.166  0.196 0.302  0.337 0.384  0.469 0.484  0.538 0.625  0.640 0.722  0.585 0.644  0.538 0.482  0.499 0.321  0.436 0.167  0.436 -0.003  0.408 -0.166  0.385 -0.330  0.385 -0.500  0.351 -0.656  0.333 -0.818  0.333 -0.988  0.333 -1.157  0.333 -1.327  0.333 -1.497  0.333 -1.666  0.333 -1.836  0.333 -2.005  0.385 -2.154
2#tos#f1#f1006061/C  0.887 0.762  0.844 0.762  0.887 0.828  0.817 0.909  0.709 0.914  0.600 0.914  0.490 0.914  0.381 0.914  0.271 0.914  0.161 0.914  0.052 0.914  -0.058 0.914  -0.168 0.914  -0.258 0.895  -0.349 0.876  -0.458 0.876  -0.545 0.838  -0.585 0.736  -0.641 0.646  -0.718 0.568  -0.754 0.467  -0.754 0.357  -0.754 0.247  -0.754 0.138  -0.754 0.028  -0.754 -0.082  -0.754 -0.191  -0.754 -0.301  -0.697 -0.393  -0.678 -0.497  -0.678 -0.607  -0.621 -0.699  -0.539 -0.769  -0.445 -0.825  -0.347 -0.874  -0.240 -0.896  -0.132 -0.914  -0.022 -0.918  0.087 -0.918  0.197 -0.918  0.307 -0.918  0.416 -0.918  0.526 -0.918  0.635 -0.915  0.743 -0.894  0.847 -0.862  0.945 -0.813  1.043 -0.764  1.137 -0.707  1.231 -0.651
2#tos#f1#f1006061/E  -0.210 1.265  0.005 1.259  0.217 1.228  0.433 1.228  0.647 1.258  0.862 1.265  0.739 1.298  0.526 1.264  0.312 1.231  0.099 1.198  -0.114 1.164  -0.328 1.131  -0.437 1.009  -0.437 0.793  -0.437 0.577  -0.437 0.361  -0.475 0.151  -0.475 -0.065  -0.554 -0.262  -0.589 -0.474  -0.589 -0.690  -0.545 -0.772  -0.517 -0.557  -0.489 -0.343  -0.461 -0.129  -0.437 0.085  -0.226 0.090  -0.010 0.090  0.205 0.090  0.421 0.090  0.637 0.090  0.509 -0.025  0.337 -0.155  0.165 -0.286  -0.007 -0.416  -0.179 -0.546  -0.352 -0.677  -0.524 -0.807  -0.696 -0.937  -0.764 -1.047  -0.548 -1.047  -0.332 -1.047  -0.118 -1.034  0.094 -0.995  0.309 -0.971  0.525 -0.971  0.741 -0.971  0.957 -0.971  1.166 -1.009  1.382 -1.009
2#tos#f1#f1006061/G  0.356 0.528  0.425 0.688  0.446 0.893  0.423 1.092  0.287 1.203  0.090 1.248  -0.119 1.248  -0.327 1.248  -0.535 1.248  -0.725 1.187  -0.867 1.051  -0.987 0.908  -1.102 0.735  -1.162 0.541  -1.218 0.344  -1.218 0.136  -1.218 -0.072  -1.134 -0.250  -0.979 -0.379  -0.786 -0.456  -0.579 -0.462  -0.370 -0.462  -0.162 -0.462  0.031 -0.409  0.223 -0.337  0.285 -0.307  0.084 -0.251  -0.116 -0.195  -0.317 -0.140  -0.386 -0.102  -0.178 -0.102  0.030 -0.102  0.239 -0.102  0.446 -0.091  0.650 -0.057  0.858 -0.057  1.067 -0.057  1.103 -0.105  0.898 -0.144  0.693 -0.182  0.489 -0.220  0.356 -0.311  0.427 -0.469  0.595 -0.534  0.626 -0.735  0.671 -0.933  0.671 -1.141  0.671 -1.350  0.671 -1.558  0.671 -1.767
2#tos#f1#f1006061/I  -0.359 1.180  -0.386 1.147  -0.271 1.147  -0.172 1.090  -0.060 1.079  0.055 1.079  0.171 1.079  0.285 1.081  0.381 1.145  0.491 1.176  0.586 1.227  0.531 1.254  0.428 1.203  0.325 1.151  0.232 1.088  0.168 0.992  0.096 0.910  0.080 0.811  0.080 0.696  0.080 0.580  0.080 0.465  0.080 0.349  0.080 0.234  0.080 0.118  0.080 0.003  0.080 -0.112  0.080 -0.228  0.080 -0.343  0.080 -0.459  0.080 -0.574  0.080 -0.689  0.080 -0.805  0.080 -0.920  -0.011 -0.945  -0.127 -0.945  -0.242 -0.945  -0.357 -0.945  -0.473 -0.947  -0.586 -0.970  -0.696 -0.983  -0.615 -1.025  -0.518 -1.086  -0.421 -1.147  -0.306 -1.147  -0.192 -1.167  -0.078 -1.181  0.037 -1.181  0.153 -1.181  0.268 -1.181  0.383 -1.181
2#tos#f1#f1006061/J  -0.416 1.024  -0.511 1.017  -0.432 0.993  -0.336 1.024  -0.240 1.041  -0.143 1.056  -0.055 1.106  0.044 1.120  0.108 1.183  0.198 1.215  0.302 1.215  0.291 1.201  0.220 1.154  0.136 1.096  0.093 1.030  0.093 0.927  0.093 0.824  0.137 0.754  0.172 0.659  0.220 0.576  0.238 0.475  0.252 0.373  0.273 0.273  0.284 0.171  0.284 0.068  0.305 -0.034  0.316 -0.136  0.316 -0.239  0.322 -0.342  0.342 -0.443  0.347 -0.546  0.347 -0.649  0.347 -0.752  0.347 -0.855  0.347 -0.958  0.301 -1.033  0.284 -1.126  0.192 -1.137  0.089 -1.137  -0.013 -1.148  -0.114 -1.169  -0.217 -1.169  -0.320 -1.169  -0.423 -1.169  -0.527 -1.169  -0.630 -1.169  -0.719 -1.121  -0.792 -1.048  -0.865 -0.975  -0.893 -0.883
2#tos#f1#f1006061/K  -0.388 1.799  -0.468 1.811  -0.468 1.607  -0.468 1.404  -0.468 1.201  -0.468 0.997  -0.468 0.794  -0.472 0.591  -0.528 0.396  -0.547 0.195  -0.547 -0.008  -0.547 -0.212  -0.564 -0.413  -0.587 -0.613  -0.587 -0.817  -0.587 -1.020  -0.566 -1.145  -0.462 -0.970  -0.359 -0.794  -0.256 -0.619  -0.153 -0.444  -0.050 -0.269  0.053 -0.093  0.156 0.082  0.259 0.257  0.362 0.433  0.465 0.608  0.569 0.783  0.593 0.726  0.406 0.709  0.312 0.592  0.124 0.558  -0.032 0.458  -0.186 0.332  -0.357 0.249  -0.513 0.119  -0.547 -0.069  -0.408 -0.198  -0.269 -0.306  -0.087 -0.375  0.085 -0.484  0.252 -0.598  0.430 -0.696  0.624 -0.734  0.809 -0.818  1.001 -0.883  1.196 -0.941  1.385 -1.016  1.571 -1.062  1.757 -1.102
2#tos#f1#f1006061/L  -0.387 1.687  -0.353 1.631  -0.334 1.546  -0.284 1.494  -0.255 1.416  -0.249 1.329  -0.249 1.239  -0.249 1.149  -0.249 1.059  -0.265 0.971  -0.286 0.884  -0.308 0.797  -0.330 0.709  -0.352 0.622  -0.353 0.532  -0.376 0.446  -0.387 0.358  -0.388 0.268  -0.410 0.181  -0.422 0.093  -0.422 0.003  -0.442 -0.085  -0.466 -0.171  -0.491 -0.257  -0.491 -0.347  -0.491 -0.437  -0.491 -0.527  -0.491 -0.617  -0.434 -0.667  -0.367 -0.711  -0.284 -0.726  -0.194 -0.726  -0.104 -0.726  -0.014 -0.726  0.068 -0.760  0.158 -0.760  0.248 -0.760  0.338 -0.760  0.428 -0.760  0.517 -0.760  0.607 -0.760  0.697 -0.760  0.787 -0.760  0.872 -0.731  0.961 -0.726  1.051 -0.726  1.141 -0.726  1.209 -0.695  1.246 -0.623  1.336 -0.623
2#tos#f1#f1006061/M  -0.653 0.891  -0.769 0.809  -0.740 0.616  -0.740 0.417  -0.750 0.220  -0.769 0.023  -0.798 -0.169  -0.821 -0.364  -0.827 -0.562  -0.827 -0.760  -0.827 -0.959  -0.818 -1.016  -0.791 -0.819  -0.765 -0.623  -0.738 -0.426  -0.712 -0.229  -0.686 -0.033  -0.659 0.164  -0.633 0.360  -0.606 0.557  -0.580 0.754  -0.653 0.861  -0.562 0.701  -0.501 0.533  -0.423 0.353  -0.395 0.160  -0.319 -0.023  -0.274 -0.215  -0.191 -0.376  -0.041 -0.475  0.143 -0.430  0.240 -0.276  0.309 -0.120  0.417 0.041  0.511 0.212  0.569 0.375  0.656 0.508  0.769 0.626  0.912 0.717  1.092 0.699  1.151 0.558  1.196 0.393  1.209 0.198  1.259 0.015  1.302 -0.175  1.325 -0.369  1.370 -0.558  1.428 -0.740  1.479 -0.929  1.529 -1.115
2#tos#f1#f1006061/N  -0.762 -0.850  -0.914 -0.850  -0.917 -0.886  -0.886 -0.739  -0.847 -0.595  -0.824 -0.445  -0.812 -0.295  -0.772 -0.149  -0.732 -0.004  -0.732 0.147  -0.719 0.297  -0.671 0.441  -0.608 0.579  -0.608 0.730  -0.608 0.882  -0.577 1.027  -0.560 1.176  -0.516 1.135  -0.501 0.986  -0.453 0.842  -0.423 0.694  -0.402 0.544  -0.393 0.394  -0.345 0.258  -0.276 0.124  -0.269 -0.026  -0.250 -0.176  -0.190 -0.314  -0.110 -0.442  -0.084 -0.587  0.036 -0.664  0.098 -0.801  0.215 -0.888  0.341 -0.967  0.490 -0.974  0.622 -0.914  0.714 -0.795  0.779 -0.659  0.850 -0.534  0.892 -0.388  0.969 -0.260  1.026 -0.131  1.070 0.010  1.107 0.154  1.152 0.298  1.208 0.439  1.261 0.575  1.272 0.726  1.292 0.875  1.365 0.999
