2#apb#apb31#app3172/P  -0.276 0.158  -0.305 -0.003  -0.339 -0.163  -0.375 -0.323  -0.404 -0.484  -0.429 -0.646  -0.457 -0.807  -0.488 -0.968  -0.520 -1.128  -0.567 -1.285  -0.618 -1.440  -0.683 -1.573  -0.735 -1.434  -0.715 -1.272  -0.686 -1.111  -0.641 -0.954  -0.595 -0.797  -0.549 -0.640  -0.495 -0.485  -0.441 -0.331  -0.388 -0.176  -0.332 -0.022  -0.277 0.132  -0.221 0.286  -0.151 0.433  -0.075 0.578  0.001 0.723  0.098 0.855  0.199 0.983  0.317 1.095  0.447 1.194  0.590 1.271  0.741 1.332  0.903 1.308  1.032 1.215  1.121 1.086  1.156 0.926  1.116 0.769  1.049 0.622  0.957 0.486  0.841 0.372  0.718 0.265  0.581 0.174  0.443 0.087  0.301 0.005  0.150 -0.052  -0.010 -0.087  -0.171 -0.092  -0.333 -0.067  -0.487 -0.013
2#apb#apb31#app3172/r  -0.449 0.261  -0.491 0.151  -0.530 0.040  -0.551 -0.077  -0.572 -0.193  -0.595 -0.309  -0.622 -0.424  -0.650 -0.539  -0.673 -0.654  -0.691 -0.771  -0.709 -0.888  -0.727 -1.005  -0.764 -1.117  -0.802 -1.229  -0.794 -1.278  -0.763 -1.164  -0.718 -1.055  -0.670 -0.947  -0.622 -0.839  -0.573 -0.731  -0.519 -0.627  -0.461 -0.524  -0.403 -0.421  -0.345 -0.318  -0.287 -0.215  -0.224 -0.114  -0.161 -0.015  -0.098 0.085  -0.034 0.185  0.029 0.285  0.092 0.385  0.155 0.485  0.218 0.585  0.282 0.684  0.361 0.770  0.452 0.846  0.542 0.922  0.638 0.989  0.746 1.039  0.855 1.077  0.973 1.069  1.081 1.043  1.161 0.955  1.201 0.852  1.201 0.734  1.187 0.618  1.160 0.503  1.123 0.392  1.054 0.296  0.986 0.200
2#apb#apb31#app3172/l  0.468 1.559  0.468 1.564  0.458 1.496  0.434 1.431  0.409 1.366  0.386 1.300  0.364 1.234  0.342 1.168  0.320 1.102  0.298 1.036  0.275 0.971  0.253 0.905  0.230 0.839  0.208 0.773  0.185 0.707  0.162 0.642  0.141 0.575  0.125 0.508  0.108 0.440  0.091 0.373  0.074 0.305  0.057 0.238  0.040 0.170  0.023 0.103  0.009 0.035  -0.006 -0.033  -0.021 -0.101  -0.036 -0.169  -0.051 -0.237  -0.065 -0.305  -0.080 -0.373  -0.095 -0.441  -0.115 -0.507  -0.139 -0.573  -0.162 -0.638  -0.185 -0.704  -0.209 -0.769  -0.232 -0.835  -0.256 -0.900  -0.279 -0.966  -0.301 -1.032  -0.323 -1.098  -0.345 -1.164  -0.367 -1.230  -0.389 -1.296  -0.411 -1.362  -0.433 -1.428  -0.454 -1.494  -0.475 -1.561  -0.496 -1.627
2#apb#apb31#app3172/e  -1.121 -0.376  -1.086 -0.533  -0.978 -0.647  -0.825 -0.655  -0.668 -0.628  -0.521 -0.559  -0.375 -0.491  -0.229 -0.422  -0.083 -0.353  0.054 -0.270  0.179 -0.168  0.304 -0.066  0.427 0.039  0.549 0.145  0.668 0.253  0.778 0.371  0.887 0.490  0.962 0.631  1.027 0.779  1.042 0.932  1.006 1.088  0.910 1.218  0.763 1.269  0.605 1.302  0.450 1.306  0.301 1.244  0.152 1.183  0.028 1.079  -0.094 0.974  -0.200 0.855  -0.285 0.717  -0.369 0.580  -0.437 0.434  -0.498 0.284  -0.559 0.135  -0.600 -0.020  -0.629 -0.179  -0.658 -0.338  -0.652 -0.498  -0.636 -0.659  -0.603 -0.811  -0.489 -0.925  -0.361 -1.018  -0.209 -1.071  -0.056 -1.123  0.105 -1.123  0.266 -1.123  0.427 -1.108  0.586 -1.084  0.746 -1.060
2#apb#apb31#app3172/y  -0.807 0.341  -0.756 0.228  -0.725 0.108  -0.643 0.012  -0.553 -0.062  -0.433 -0.053  -0.337 0.029  -0.242 0.112  -0.146 0.194  -0.050 0.276  0.045 0.358  0.141 0.441  0.237 0.523  0.332 0.605  0.428 0.688  0.524 0.770  0.619 0.852  0.715 0.935  0.811 1.017  0.906 1.099  1.002 1.182  0.980 1.108  0.921 0.997  0.855 0.889  0.789 0.781  0.721 0.675  0.653 0.569  0.584 0.463  0.507 0.364  0.429 0.264  0.352 0.164  0.274 0.065  0.196 -0.034  0.118 -0.133  0.039 -0.232  -0.040 -0.330  -0.116 -0.431  -0.189 -0.534  -0.262 -0.637  -0.335 -0.739  -0.409 -0.842  -0.483 -0.944  -0.560 -1.044  -0.636 -1.145  -0.713 -1.245  -0.789 -1.345  -0.870 -1.443  -0.950 -1.540  -1.029 -1.638  -1.105 -1.739
2#apb#apb31#app3172/Y  -0.735 0.585  -0.670 0.614  -0.596 0.496  -0.516 0.382  -0.474 0.248  -0.439 0.113  -0.413 -0.024  -0.396 -0.162  -0.372 -0.247  -0.290 -0.134  -0.207 -0.022  -0.124 0.091  -0.042 0.203  0.041 0.316  0.124 0.428  0.207 0.541  0.289 0.653  0.372 0.766  0.455 0.879  0.537 0.991  0.620 1.104  0.703 1.216  0.786 1.329  0.744 1.289  0.686 1.162  0.629 1.034  0.577 0.905  0.524 0.775  0.463 0.650  0.399 0.526  0.335 0.402  0.282 0.273  0.228 0.144  0.175 0.014  0.123 -0.115  0.071 -0.245  0.019 -0.375  -0.029 -0.506  -0.074 -0.638  -0.120 -0.770  -0.165 -0.902  -0.215 -1.033  -0.265 -1.163  -0.316 -1.293  -0.367 -1.423  -0.420 -1.552  -0.472 -1.682  -0.516 -1.814  -0.559 -1.947  -0.597 -2.082
2#apb#apb31#app3172/i  0.117 -0.115  0.104 -0.213  0.085 -0.310  0.064 -0.407  0.044 -0.504  0.023 -0.601  -0.007 -0.695  -0.039 -0.789  -0.070 -0.883  -0.109 -0.974  -0.148 -1.065  -0.187 -1.156  -0.216 -1.251  -0.246 -1.346  -0.295 -1.412  -0.277 -1.314  -0.259 -1.217  -0.241 -1.119  -0.223 -1.022  -0.205 -0.924  -0.187 -0.827  -0.169 -0.729  -0.151 -0.632  -0.133 -0.534  -0.115 -0.437  -0.097 -0.339  -0.079 -0.242  -0.061 -0.144  -0.043 -0.047  -0.025 0.051  -0.007 0.148  0.011 0.246  0.029 0.343  0.047 0.441  0.065 0.538  0.083 0.635  0.101 0.733  0.119 0.830  0.137 0.928  0.155 1.025  0.172 1.123  0.190 1.220  0.208 1.318  0.226 1.415  0.244 1.513  0.262 1.610  0.280 1.708  0.298 1.805  0.284 1.854  0.245 1.763
2#apb#apb31#app3172/Z  -1.027 0.803  -1.019 0.957  -0.879 1.076  -0.726 1.179  -0.549 1.234  -0.372 1.289  -0.190 1.322  -0.007 1.355  0.177 1.356  0.363 1.350  0.541 1.304  0.697 1.212  0.751 1.051  0.700 0.875  0.630 0.704  0.545 0.539  0.453 0.379  0.343 0.229  0.233 0.080  0.127 -0.071  0.022 -0.224  -0.082 -0.377  -0.188 -0.530  -0.293 -0.682  -0.399 -0.834  -0.500 -0.989  -0.593 -1.149  -0.535 -1.277  -0.352 -1.263  -0.179 -1.197  -0.007 -1.129  0.165 -1.059  0.333 -0.981  0.498 -0.898  0.649 -0.791  0.806 -0.694  0.975 -0.618  0.815 -0.560  0.638 -0.502  0.462 -0.445  0.286 -0.388  0.110 -0.331  -0.066 -0.274  -0.243 -0.217  -0.419 -0.159  -0.595 -0.102  -0.771 -0.045  -0.625 -0.141  -0.445 -0.175  -0.260 -0.196
2#apb#apb31#app3172/a  0.457 1.173  0.278 1.218  0.105 1.173  -0.055 1.088  -0.174 0.947  -0.294 0.806  -0.403 0.658  -0.509 0.507  -0.615 0.356  -0.718 0.202  -0.800 0.037  -0.883 -0.128  -0.965 -0.293  -1.022 -0.469  -1.075 -0.645  -1.128 -0.822  -1.153 -1.005  -1.120 -1.170  -0.972 -1.135  -0.816 -1.036  -0.697 -0.897  -0.586 -0.750  -0.475 -0.602  -0.363 -0.455  -0.246 -0.312  -0.129 -0.169  -0.013 -0.026  0.104 0.117  0.198 0.276  0.291 0.435  0.384 0.595  0.477 0.754  0.610 0.881  0.748 1.004  0.768 1.005  0.695 0.835  0.622 0.665  0.560 0.492  0.498 0.318  0.447 0.140  0.399 -0.038  0.396 -0.218  0.435 -0.398  0.500 -0.568  0.602 -0.721  0.770 -0.779  0.950 -0.818  1.129 -0.792  1.307 -0.742  1.485 -0.693
2#apb#apb31#app3172/c  0.884 1.468  0.812 1.432  0.740 1.396  0.668 1.360  0.595 1.324  0.536 1.270  0.481 1.211  0.426 1.152  0.371 1.093  0.316 1.033  0.264 0.972  0.222 0.903  0.179 0.835  0.137 0.766  0.094 0.697  0.052 0.628  0.009 0.560  -0.042 0.498  -0.100 0.441  -0.157 0.384  -0.214 0.327  -0.271 0.270  -0.328 0.212  -0.356 0.137  -0.380 0.060  -0.404 -0.017  -0.428 -0.094  -0.444 -0.172  -0.449 -0.253  -0.454 -0.334  -0.459 -0.414  -0.463 -0.495  -0.457 -0.575  -0.447 -0.655  -0.438 -0.736  -0.429 -0.816  -0.412 -0.894  -0.366 -0.960  -0.320 -1.026  -0.274 -1.093  -0.228 -1.159  -0.151 -1.174  -0.071 -1.186  0.009 -1.197  0.089 -1.207  0.170 -1.203  0.251 -1.198  0.331 -1.194  0.412 -1.190  0.493 -1.186
2#apb#apb31#app3172/h  -0.042 2.133  -0.081 1.982  -0.120 1.830  -0.159 1.679  -0.186 1.525  -0.206 1.370  -0.227 1.215  -0.247 1.060  -0.267 0.905  -0.286 0.749  -0.306 0.594  -0.325 0.439  -0.346 0.284  -0.368 0.129  -0.391 -0.026  -0.414 -0.180  -0.436 -0.335  -0.460 -0.490  -0.483 -0.645  -0.507 -0.799  -0.528 -0.954  -0.547 -1.109  -0.564 -1.264  -0.488 -1.219  -0.418 -1.079  -0.348 -0.939  -0.278 -0.799  -0.210 -0.658  -0.142 -0.518  -0.074 -0.377  -0.001 -0.239  0.077 -0.103  0.154 0.033  0.234 0.168  0.325 0.294  0.417 0.421  0.530 0.529  0.648 0.488  0.680 0.346  0.680 0.189  0.673 0.033  0.653 -0.122  0.633 -0.277  0.613 -0.432  0.585 -0.586  0.558 -0.740  0.531 -0.894  0.509 -1.049  0.488 -1.204  0.467 -1.359
2#apb#apb31#app3172/a  0.234 1.347  0.075 1.383  -0.031 1.264  -0.137 1.140  -0.248 1.019  -0.348 0.891  -0.424 0.746  -0.499 0.601  -0.571 0.455  -0.637 0.305  -0.703 0.155  -0.756 0.002  -0.772 -0.160  -0.788 -0.323  -0.805 -0.486  -0.812 -0.649  -0.818 -0.812  -0.823 -0.976  -0.794 -1.133  -0.733 -1.285  -0.665 -1.429  -0.512 -1.485  -0.381 -1.420  -0.257 -1.313  -0.149 -1.191  -0.059 -1.055  0.032 -0.919  0.123 -0.783  0.210 -0.645  0.290 -0.503  0.371 -0.360  0.451 -0.218  0.522 -0.071  0.580 0.082  0.638 0.235  0.696 0.388  0.746 0.543  0.795 0.699  0.821 0.856  0.788 1.014  0.633 1.032  0.507 0.944  0.434 0.798  0.403 0.639  0.388 0.477  0.443 0.323  0.504 0.172  0.572 0.023  0.677 -0.100  0.793 -0.216
2#apb#apb31#app3172/r  -0.380 0.239  -0.380 0.118  -0.380 -0.004  -0.396 -0.125  -0.412 -0.245  -0.426 -0.366  -0.440 -0.487  -0.458 -0.607  -0.482 -0.727  -0.506 -0.846  -0.535 -0.964  -0.571 -1.080  -0.608 -1.196  -0.654 -1.308  -0.709 -1.417  -0.657 -1.352  -0.623 -1.235  -0.582 -1.121  -0.535 -1.008  -0.487 -0.896  -0.440 -0.784  -0.387 -0.675  -0.327 -0.569  -0.267 -0.463  -0.207 -0.357  -0.152 -0.249  -0.099 -0.139  -0.046 -0.030  0.007 0.080  0.060 0.190  0.116 0.298  0.172 0.406  0.228 0.514  0.284 0.622  0.340 0.730  0.398 0.837  0.456 0.944  0.513 1.051  0.573 1.157  0.655 1.246  0.738 1.336  0.833 1.389  0.888 1.308  0.898 1.187  0.883 1.067  0.863 0.947  0.843 0.827  0.821 0.707  0.799 0.587  0.777 0.467
2#apb#apb31#app3172/y  -0.628 0.552  -0.601 0.436  -0.565 0.323  -0.515 0.217  -0.436 0.128  -0.346 0.085  -0.257 0.164  -0.167 0.244  -0.077 0.323  0.012 0.402  0.102 0.481  0.192 0.561  0.281 0.640  0.371 0.719  0.461 0.798  0.551 0.878  0.640 0.957  0.730 1.036  0.820 1.115  0.909 1.195  0.838 1.115  0.770 1.017  0.711 0.913  0.652 0.809  0.591 0.706  0.528 0.604  0.466 0.502  0.405 0.399  0.346 0.294  0.287 0.190  0.228 0.086  0.165 -0.015  0.101 -0.116  0.036 -0.217  -0.028 -0.318  -0.091 -0.420  -0.151 -0.524  -0.210 -0.627  -0.270 -0.731  -0.330 -0.835  -0.390 -0.939  -0.450 -1.042  -0.510 -1.145  -0.570 -1.249  -0.630 -1.352  -0.688 -1.457  -0.741 -1.564  -0.795 -1.671  -0.848 -1.779  -0.902 -1.886
