2#apb#apb41#app4125/R  -0.685 0.484  -0.691 0.427  -0.714 0.223  -0.732 0.017  -0.754 -0.187  -0.779 -0.392  -0.807 -0.596  -0.843 -0.798  -0.886 -1.000  -0.939 -1.186  -0.913 -0.982  -0.887 -0.778  -0.847 -0.576  -0.803 -0.375  -0.743 -0.178  -0.676 0.017  -0.602 0.209  -0.519 0.397  -0.424 0.579  -0.307 0.748  -0.171 0.901  -0.016 1.036  0.159 1.144  0.348 1.224  0.546 1.269  0.752 1.268  0.948 1.206  1.093 1.064  1.149 0.868  1.144 0.662  1.084 0.469  0.983 0.292  0.838 0.146  0.674 0.023  0.499 -0.085  0.305 -0.155  0.104 -0.193  -0.099 -0.167  -0.260 -0.054  -0.244 0.093  -0.102 -0.055  0.014 -0.225  0.126 -0.398  0.253 -0.560  0.360 -0.735  0.503 -0.884  0.663 -1.013  0.845 -1.100  1.049 -1.122  1.002 -0.972
2#apb#apb41#app4125/t  0.594 1.712  0.569 1.743  0.482 1.587  0.428 1.416  0.389 1.241  0.369 1.062  0.348 0.883  0.320 0.705  0.288 0.528  0.256 0.351  0.224 0.174  0.187 -0.002  0.150 -0.178  0.114 -0.354  0.077 -0.530  0.039 -0.706  0.000 -0.882  -0.039 -1.058  -0.075 -1.234  -0.099 -1.412  -0.110 -1.591  -0.082 -1.621  -0.034 -1.447  -0.011 -1.269  0.003 -1.090  -0.020 -0.912  -0.089 -0.756  -0.216 -0.629  -0.343 -0.502  -0.470 -0.374  -0.597 -0.247  -0.725 -0.120  -0.852 0.007  -0.979 0.135  -1.106 0.262  -1.162 0.325  -0.987 0.293  -0.808 0.273  -0.631 0.245  -0.453 0.231  -0.274 0.253  -0.095 0.275  0.083 0.298  0.262 0.320  0.440 0.343  0.617 0.378  0.793 0.413  0.967 0.458  1.134 0.524  1.122 0.479
2#apb#apb41#app4125/h  -0.178 2.005  -0.178 1.898  -0.188 1.747  -0.213 1.598  -0.238 1.449  -0.262 1.300  -0.286 1.151  -0.310 1.001  -0.334 0.852  -0.365 0.704  -0.396 0.556  -0.426 0.408  -0.457 0.260  -0.490 0.112  -0.525 -0.035  -0.559 -0.182  -0.593 -0.329  -0.622 -0.477  -0.637 -0.628  -0.652 -0.778  -0.662 -0.929  -0.662 -1.080  -0.657 -1.228  -0.542 -1.172  -0.454 -1.050  -0.368 -0.925  -0.276 -0.805  -0.181 -0.688  -0.085 -0.571  -0.003 -0.444  0.070 -0.312  0.142 -0.179  0.222 -0.052  0.321 0.063  0.420 0.177  0.523 0.288  0.629 0.395  0.757 0.467  0.842 0.417  0.869 0.268  0.852 0.120  0.817 -0.027  0.781 -0.174  0.739 -0.319  0.696 -0.464  0.652 -0.609  0.608 -0.753  0.591 -0.902  0.591 -1.053  0.679 -1.072
2#apb#apb41#app4125/e  -0.732 0.059  -0.655 -0.061  -0.516 -0.120  -0.371 -0.108  -0.223 -0.074  -0.078 -0.033  0.063 0.023  0.203 0.079  0.341 0.141  0.474 0.212  0.608 0.283  0.735 0.363  0.842 0.470  0.949 0.577  1.026 0.707  1.040 0.841  0.979 0.979  0.893 1.103  0.795 1.218  0.646 1.222  0.500 1.200  0.368 1.128  0.235 1.055  0.113 0.965  -0.009 0.876  -0.131 0.786  -0.236 0.679  -0.331 0.561  -0.425 0.443  -0.518 0.324  -0.595 0.193  -0.671 0.063  -0.748 -0.067  -0.809 -0.205  -0.854 -0.349  -0.898 -0.494  -0.898 -0.645  -0.882 -0.790  -0.784 -0.905  -0.669 -1.000  -0.536 -1.072  -0.400 -1.138  -0.253 -1.172  -0.105 -1.206  0.045 -1.214  0.196 -1.214  0.347 -1.208  0.497 -1.192  0.643 -1.153  0.791 -1.131
2#apb#apb41#app4125/r  -0.931 0.300  -0.931 0.203  -0.931 0.106  -0.931 0.010  -0.931 -0.087  -0.931 -0.184  -0.927 -0.281  -0.918 -0.377  -0.909 -0.473  -0.901 -0.570  -0.893 -0.666  -0.884 -0.762  -0.870 -0.858  -0.861 -0.950  -0.807 -0.894  -0.780 -0.801  -0.727 -0.720  -0.674 -0.640  -0.620 -0.559  -0.564 -0.480  -0.508 -0.401  -0.452 -0.322  -0.396 -0.244  -0.333 -0.170  -0.269 -0.097  -0.206 -0.024  -0.143 0.049  -0.071 0.113  0.008 0.169  0.087 0.224  0.167 0.279  0.246 0.335  0.326 0.389  0.415 0.426  0.505 0.463  0.594 0.499  0.684 0.536  0.774 0.570  0.865 0.604  0.956 0.638  1.047 0.666  1.144 0.666  1.241 0.666  1.320 0.612  1.398 0.555  1.459 0.480  1.495 0.393  1.516 0.298  1.525 0.203  1.525 0.106
2#apb#apb41#app4125/B  -0.440 0.557  -0.467 0.597  -0.467 0.350  -0.478 0.104  -0.495 -0.142  -0.519 -0.388  -0.546 -0.633  -0.580 -0.877  -0.626 -1.119  -0.643 -1.364  -0.472 -1.229  -0.480 -0.995  -0.534 -0.755  -0.588 -0.514  -0.641 -0.273  -0.695 -0.032  -0.749 0.208  -0.802 0.449  -0.856 0.690  -0.959 0.842  -0.737 0.937  -0.493 0.971  -0.252 1.022  -0.011 1.075  0.233 1.110  0.478 1.139  0.725 1.140  0.960 1.083  0.925 0.885  0.740 0.722  0.523 0.604  0.304 0.491  0.082 0.384  -0.143 0.282  -0.211 0.206  0.035 0.201  0.282 0.191  0.528 0.181  0.766 0.124  0.986 0.017  1.161 -0.151  1.242 -0.376  1.189 -0.610  1.046 -0.806  0.853 -0.955  0.629 -1.056  0.391 -1.112  0.144 -1.121  -0.102 -1.109  -0.237 -0.945
2#apb#apb41#app4125/r  -0.646 0.729  -0.596 0.658  -0.607 0.538  -0.619 0.419  -0.627 0.298  -0.634 0.178  -0.641 0.058  -0.646 -0.062  -0.646 -0.183  -0.646 -0.303  -0.646 -0.424  -0.652 -0.544  -0.667 -0.663  -0.682 -0.783  -0.696 -0.902  -0.696 -1.023  -0.696 -1.143  -0.696 -1.263  -0.673 -1.211  -0.612 -1.108  -0.554 -1.002  -0.497 -0.896  -0.433 -0.794  -0.369 -0.692  -0.305 -0.590  -0.242 -0.487  -0.184 -0.382  -0.126 -0.276  -0.068 -0.171  -0.010 -0.065  0.052 0.038  0.120 0.137  0.188 0.237  0.256 0.336  0.324 0.436  0.395 0.533  0.468 0.628  0.541 0.724  0.617 0.817  0.702 0.903  0.791 0.978  0.911 0.978  1.032 0.978  1.118 0.903  1.197 0.813  1.277 0.722  1.356 0.631  1.427 0.535  1.487 0.430  1.552 0.329
2#apb#apb41#app4125/o  0.293 0.693  0.215 0.844  0.068 0.923  -0.100 0.924  -0.240 0.835  -0.363 0.718  -0.464 0.580  -0.565 0.443  -0.657 0.299  -0.739 0.150  -0.821 0.000  -0.895 -0.153  -0.936 -0.319  -0.977 -0.484  -1.006 -0.651  -0.995 -0.821  -0.984 -0.992  -0.862 -1.107  -0.719 -1.191  -0.554 -1.235  -0.390 -1.260  -0.232 -1.196  -0.073 -1.133  0.084 -1.066  0.224 -0.969  0.363 -0.871  0.503 -0.773  0.630 -0.660  0.746 -0.535  0.863 -0.410  0.959 -0.270  1.043 -0.122  1.126 0.027  1.117 0.197  1.106 0.367  1.041 0.523  0.965 0.676  0.860 0.807  0.734 0.922  0.589 0.995  0.419 1.010  0.254 0.975  0.099 0.914  -0.016 0.788  -0.129 0.660  -0.205 0.508  -0.281 0.355  -0.335 0.195  -0.365 0.027  -0.395 -0.141
2#apb#apb41#app4125/t  0.715 1.809  0.642 1.912  0.562 1.773  0.510 1.604  0.468 1.432  0.427 1.260  0.388 1.087  0.349 0.914  0.310 0.741  0.271 0.569  0.232 0.396  0.192 0.223  0.152 0.051  0.112 -0.122  0.062 -0.292  0.013 -0.462  -0.036 -0.632  -0.083 -0.803  -0.119 -0.976  -0.155 -1.149  -0.188 -1.323  -0.212 -1.498  -0.164 -1.481  -0.074 -1.329  -0.008 -1.165  0.033 -0.995  0.043 -0.818  -0.067 -0.695  -0.207 -0.587  -0.346 -0.478  -0.486 -0.369  -0.626 -0.260  -0.765 -0.151  -0.905 -0.042  -1.045 0.067  -1.198 0.139  -1.058 0.121  -0.882 0.104  -0.706 0.087  -0.529 0.073  -0.352 0.066  -0.175 0.059  0.002 0.063  0.178 0.070  0.355 0.078  0.530 0.107  0.705 0.137  0.877 0.178  1.048 0.224  1.212 0.281
2#apb#apb41#app4125/h  0.180 1.984  0.102 1.885  0.037 1.755  -0.008 1.616  -0.050 1.476  -0.093 1.336  -0.131 1.195  -0.169 1.054  -0.207 0.913  -0.244 0.772  -0.284 0.631  -0.324 0.491  -0.364 0.350  -0.404 0.210  -0.444 0.069  -0.483 -0.072  -0.521 -0.213  -0.560 -0.354  -0.598 -0.494  -0.631 -0.637  -0.662 -0.780  -0.693 -0.922  -0.729 -1.064  -0.755 -1.206  -0.662 -1.113  -0.579 -0.992  -0.497 -0.872  -0.414 -0.751  -0.331 -0.631  -0.249 -0.510  -0.160 -0.395  -0.068 -0.281  0.023 -0.167  0.122 -0.060  0.228 0.040  0.335 0.141  0.451 0.227  0.578 0.301  0.719 0.320  0.820 0.225  0.861 0.087  0.891 -0.056  0.871 -0.201  0.850 -0.345  0.809 -0.486  0.768 -0.626  0.716 -0.762  0.657 -0.896  0.629 -1.035  0.666 -1.158
2#apb#apb41#app4125/e  -0.905 -0.018  -0.806 -0.018  -0.667 -0.102  -0.526 -0.182  -0.366 -0.188  -0.204 -0.180  -0.045 -0.148  0.114 -0.116  0.264 -0.053  0.413 0.011  0.556 0.086  0.697 0.166  0.831 0.256  0.946 0.371  1.037 0.500  1.083 0.655  1.057 0.810  0.996 0.957  0.881 1.072  0.757 1.172  0.608 1.238  0.452 1.217  0.295 1.178  0.149 1.107  0.004 1.034  -0.118 0.931  -0.225 0.810  -0.332 0.688  -0.436 0.564  -0.528 0.430  -0.620 0.296  -0.711 0.162  -0.783 0.017  -0.848 -0.132  -0.908 -0.282  -0.933 -0.442  -0.945 -0.601  -0.884 -0.752  -0.784 -0.870  -0.649 -0.960  -0.506 -1.032  -0.349 -1.073  -0.192 -1.115  -0.034 -1.133  0.128 -1.118  0.290 -1.103  0.451 -1.086  0.608 -1.047  0.766 -1.008  0.923 -0.968
2#apb#apb41#app4125/r  -0.813 0.482  -0.772 0.410  -0.763 0.298  -0.754 0.186  -0.760 0.073  -0.766 -0.039  -0.773 -0.151  -0.784 -0.263  -0.796 -0.375  -0.808 -0.487  -0.824 -0.598  -0.843 -0.709  -0.863 -0.820  -0.881 -0.931  -0.894 -1.042  -0.859 -1.019  -0.788 -0.932  -0.732 -0.835  -0.675 -0.738  -0.616 -0.642  -0.555 -0.547  -0.494 -0.453  -0.436 -0.356  -0.380 -0.259  -0.323 -0.162  -0.267 -0.064  -0.200 0.026  -0.130 0.114  -0.060 0.202  0.011 0.290  0.084 0.374  0.174 0.443  0.263 0.511  0.352 0.579  0.448 0.635  0.556 0.668  0.663 0.701  0.773 0.727  0.882 0.752  0.993 0.752  1.103 0.732  1.193 0.674  1.267 0.590  1.323 0.493  1.370 0.391  1.413 0.288  1.424 0.176  1.431 0.064  1.431 -0.049  1.451 -0.159
