2#tos#t1#t1013062/!  0.045 1.638  -0.027 1.637  -0.025 1.566  0.009 1.526  0.027 1.456  0.045 1.387  0.045 1.313  0.045 1.239  0.045 1.165  0.045 1.091  0.045 1.017  0.015 0.956  0.009 0.885  0.009 0.811  0.009 0.737  0.009 0.663  0.009 0.589  0.009 0.515  -0.027 0.457  -0.027 0.383  -0.027 0.309  -0.027 0.235  -0.027 0.161  -0.027 0.087  -0.027 0.014  -0.027 -0.060  -0.027 -0.134  -0.027 -0.208  -0.027 -0.282  -0.027 -0.356  -0.044 -0.426  -0.064 -0.495  -0.041 -0.559  -0.027 -0.628  -0.011 -0.699  0.011 -0.769  0.032 -0.840  0.054 -0.911  0.076 -0.981  0.097 -1.052  0.113 -1.120  0.047 -1.153  -0.019 -1.186  -0.027 -1.255  -0.057 -1.299  -0.064 -1.366  -0.064 -1.440  -0.030 -1.480  -0.027 -1.551  0.009 -1.589
2#tos#t1#t1013062/=  -0.767 0.740  -0.912 0.668  -1.058 0.595  -1.161 0.668  -1.070 0.668  -0.894 0.668  -0.719 0.668  -0.543 0.668  -0.368 0.668  -0.192 0.668  -0.017 0.668  0.159 0.668  0.334 0.668  0.510 0.668  0.685 0.668  0.831 0.697  0.964 0.740  1.113 0.804  0.985 0.725  0.838 0.630  0.690 0.535  0.542 0.440  0.395 0.345  0.247 0.251  0.100 0.156  -0.048 0.061  -0.196 -0.034  -0.343 -0.129  -0.491 -0.224  -0.638 -0.319  -0.786 -0.414  -0.912 -0.520  -0.952 -0.679  -1.083 -0.785  -1.002 -0.785  -0.826 -0.785  -0.651 -0.785  -0.475 -0.785  -0.300 -0.785  -0.124 -0.785  0.051 -0.785  0.227 -0.785  0.402 -0.785  0.578 -0.785  0.753 -0.785  0.929 -0.785  1.049 -0.731  1.207 -0.713  1.382 -0.713  1.558 -0.713
2#tos#t1#t1013062/@  0.496 -1.296  0.339 -1.347  0.289 -1.504  0.081 -1.504  -0.073 -1.437  -0.248 -1.335  -0.365 -1.191  -0.535 -1.100  -0.600 -0.919  -0.724 -0.774  -0.757 -0.599  -0.806 -0.411  -0.809 -0.204  -0.809 0.003  -0.809 0.211  -0.809 0.419  -0.766 0.617  -0.652 0.718  -0.627 0.913  -0.461 1.036  -0.416 1.209  -0.287 1.288  -0.105 1.313  0.103 1.313  0.310 1.306  0.443 1.195  0.561 1.105  0.652 0.988  0.734 0.814  0.861 0.680  0.861 0.472  0.861 0.264  0.861 0.056  0.809 -0.100  0.701 -0.200  0.597 -0.304  0.442 -0.358  0.287 -0.471  0.121 -0.513  0.018 -0.617  -0.190 -0.617  -0.235 -0.454  -0.235 -0.246  -0.235 -0.039  -0.235 0.169  -0.128 0.270  0.072 0.320  0.280 0.322  0.487 0.322  0.652 0.218
2#tos#t1#t1013062/^  -0.907 -0.556  -0.991 -0.641  -1.077 -0.723  -1.157 -0.762  -1.232 -0.806  -1.157 -0.778  -1.157 -0.659  -1.057 -0.639  -0.937 -0.639  -0.907 -0.550  -0.907 -0.431  -0.864 -0.325  -0.797 -0.225  -0.740 -0.123  -0.703 -0.019  -0.608 0.052  -0.502 0.105  -0.490 0.217  -0.490 0.337  -0.400 0.371  -0.334 0.470  -0.268 0.570  -0.240 0.681  -0.134 0.694  -0.073 0.753  -0.073 0.872  -0.026 0.944  0.094 0.944  0.177 0.908  0.241 0.829  0.344 0.772  0.373 0.665  0.457 0.581  0.510 0.483  0.582 0.408  0.677 0.347  0.677 0.228  0.754 0.156  0.844 0.092  0.883 -0.011  0.927 -0.113  0.927 -0.232  0.973 -0.306  1.092 -0.306  1.094 -0.424  1.144 -0.522  1.245 -0.579  1.359 -0.617  1.427 -0.687  1.427 -0.806
2#tos#t1#t1013062/`  -0.330 1.230  -0.421 1.230  -0.506 1.208  -0.588 1.167  -0.669 1.126  -0.753 1.098  -0.844 1.098  -0.857 1.021  -0.857 0.930  -0.857 0.839  -0.857 0.748  -0.811 0.703  -0.721 0.703  -0.630 0.703  -0.545 0.679  -0.464 0.638  -0.382 0.598  -0.316 0.543  -0.275 0.461  -0.234 0.380  -0.188 0.308  -0.098 0.308  -0.067 0.248  -0.067 0.157  -0.067 0.067  -0.005 0.014  0.076 -0.027  0.157 -0.067  0.230 -0.120  0.294 -0.184  0.358 -0.248  0.422 -0.313  0.460 -0.388  0.460 -0.479  0.460 -0.569  0.460 -0.660  0.460 -0.751  0.460 -0.842  0.460 -0.932  0.474 -1.009  0.565 -1.009  0.592 -1.073  0.592 -1.164  0.592 -1.255  0.665 -1.272  0.756 -1.272  0.846 -1.272  0.855 -1.191  0.855 -1.100  0.855 -1.009
2#tos#t1#t1013062/{  0.466 1.564  0.390 1.527  0.299 1.525  0.207 1.525  0.193 1.448  0.144 1.399  0.114 1.319  0.114 1.227  0.065 1.154  0.036 1.069  -0.003 1.016  -0.003 0.924  -0.003 0.832  -0.022 0.745  -0.081 0.697  -0.081 0.605  -0.081 0.513  -0.081 0.421  -0.081 0.329  -0.107 0.248  -0.144 0.171  -0.199 0.102  -0.228 0.039  -0.280 -0.000  -0.333 -0.039  -0.394 -0.008  -0.310 -0.000  -0.229 -0.017  -0.177 -0.089  -0.120 -0.146  -0.081 -0.198  -0.081 -0.290  -0.081 -0.382  -0.081 -0.474  -0.081 -0.566  -0.059 -0.649  -0.042 -0.734  -0.039 -0.824  0.026 -0.889  0.036 -0.977  0.036 -1.069  0.036 -1.161  0.036 -1.253  0.043 -1.343  0.084 -1.425  0.138 -1.487  0.153 -1.563  0.204 -1.604  0.296 -1.604  0.388 -1.604
2#tos#t1#t1013062/|  0.180 1.563  0.109 1.563  0.038 1.563  0.019 1.512  0.019 1.441  0.019 1.370  0.019 1.300  0.019 1.229  0.019 1.158  0.019 1.087  0.019 1.017  0.019 0.946  0.019 0.875  0.019 0.804  0.019 0.734  -0.000 0.667  -0.032 0.604  -0.035 0.534  -0.035 0.463  -0.035 0.393  -0.035 0.322  -0.035 0.251  -0.035 0.180  -0.035 0.110  -0.035 0.039  -0.035 -0.032  -0.035 -0.103  -0.035 -0.173  -0.035 -0.244  -0.035 -0.315  -0.035 -0.386  -0.035 -0.456  -0.035 -0.527  -0.035 -0.598  -0.035 -0.669  -0.035 -0.739  -0.035 -0.810  -0.035 -0.881  -0.035 -0.952  0.011 -1.003  0.019 -1.071  0.019 -1.142  0.019 -1.212  0.019 -1.283  0.019 -1.354  0.019 -1.425  0.019 -1.495  0.019 -1.566  0.019 -1.637  0.072 -1.654
2#tos#t1#t1013062/}  -0.111 1.470  -0.197 1.470  -0.283 1.470  -0.232 1.470  -0.150 1.451  -0.081 1.402  -0.073 1.319  -0.040 1.247  -0.035 1.163  -0.035 1.077  -0.035 0.991  -0.035 0.905  -0.035 0.819  -0.023 0.737  0.003 0.662  0.018 0.582  0.065 0.511  0.118 0.445  0.188 0.408  0.237 0.370  0.290 0.370  0.204 0.370  0.193 0.295  0.159 0.223  0.117 0.177  0.117 0.091  0.100 0.011  0.079 -0.066  0.079 -0.152  0.041 -0.222  0.041 -0.308  0.041 -0.395  0.041 -0.481  0.041 -0.567  0.041 -0.653  0.041 -0.739  0.041 -0.825  0.041 -0.911  0.041 -0.997  0.041 -1.083  0.019 -1.147  -0.035 -1.179  -0.035 -1.266  -0.035 -1.352  -0.073 -1.400  -0.073 -1.486  -0.118 -1.527  -0.187 -1.544  -0.214 -1.603  -0.300 -1.603
2#tos#t1#t1013062/0  -0.234 1.135  -0.334 1.034  -0.415 0.950  -0.460 0.837  -0.546 0.748  -0.602 0.640  -0.686 0.582  -0.694 0.448  -0.740 0.325  -0.740 0.182  -0.740 0.040  -0.740 -0.102  -0.783 -0.238  -0.787 -0.379  -0.787 -0.522  -0.694 -0.572  -0.694 -0.714  -0.662 -0.851  -0.586 -0.942  -0.510 -1.034  -0.440 -1.147  -0.318 -1.216  -0.175 -1.216  -0.033 -1.216  0.098 -1.198  0.195 -1.123  0.305 -1.046  0.405 -0.945  0.412 -0.806  0.542 -0.757  0.592 -0.662  0.637 -0.534  0.660 -0.397  0.688 -0.261  0.752 -0.138  0.820 -0.023  0.826 0.116  0.826 0.259  0.826 0.401  0.826 0.543  0.801 0.680  0.683 0.720  0.642 0.821  0.589 0.931  0.458 0.957  0.362 1.006  0.315 1.140  0.189 1.181  0.047 1.181  -0.095 1.181
2#tos#t1#t1013062/3  0.221 1.319  0.091 1.319  0.139 1.357  0.268 1.352  0.374 1.281  0.499 1.269  0.537 1.155  0.602 1.052  0.676 0.975  0.751 0.921  0.751 0.791  0.646 0.721  0.600 0.610  0.535 0.523  0.443 0.485  0.314 0.485  0.200 0.447  0.070 0.447  -0.060 0.447  -0.189 0.447  -0.082 0.438  -0.021 0.360  0.031 0.263  0.135 0.189  0.216 0.106  0.264 0.021  0.297 -0.101  0.297 -0.231  0.297 -0.360  0.297 -0.490  0.335 -0.582  0.335 -0.712  0.267 -0.799  0.183 -0.893  0.153 -0.993  0.069 -1.038  -0.030 -1.068  -0.160 -1.068  -0.290 -1.068  -0.420 -1.068  -0.549 -1.068  -0.679 -1.068  -0.809 -1.068  -0.921 -1.026  -0.992 -0.925  -1.032 -0.821  -1.114 -0.742  -1.143 -0.630  -1.181 -0.538  -1.219 -0.424
2#tos#t1#t1013062/5  -0.006 1.494  -0.165 1.414  -0.208 1.345  -0.167 1.163  -0.167 0.971  -0.167 0.779  -0.167 0.587  -0.167 0.394  -0.167 0.202  -0.167 0.010  -0.146 -0.160  0.047 -0.160  0.229 -0.120  0.381 -0.079  0.519 -0.134  0.640 -0.259  0.713 -0.427  0.777 -0.597  0.801 -0.783  0.761 -0.935  0.663 -1.042  0.514 -1.151  0.357 -1.200  0.193 -1.253  0.016 -1.290  -0.176 -1.290  -0.368 -1.290  -0.561 -1.290  -0.753 -1.290  -0.813 -1.128  -0.765 -0.942  -0.718 -0.755  -0.670 -0.569  -0.623 -0.383  -0.576 -0.197  -0.528 -0.011  -0.481 0.175  -0.433 0.362  -0.386 0.548  -0.338 0.734  -0.291 0.920  -0.372 0.849  -0.180 0.849  0.012 0.849  0.204 0.849  0.396 0.849  0.588 0.849  0.780 0.849  0.972 0.849  1.165 0.849
2#tos#t1#t1013062/8  0.448 1.068  0.389 1.068  0.264 1.149  0.128 1.236  -0.075 1.252  -0.244 1.215  -0.397 1.142  -0.568 1.041  -0.646 0.884  -0.664 0.692  -0.692 0.498  -0.630 0.333  -0.472 0.255  -0.398 0.123  -0.240 0.076  -0.141 -0.031  -0.030 -0.126  0.114 -0.213  0.276 -0.291  0.412 -0.403  0.521 -0.564  0.595 -0.724  0.622 -0.925  0.631 -1.129  0.587 -1.307  0.415 -1.395  0.291 -1.505  0.086 -1.505  -0.105 -1.468  -0.265 -1.395  -0.440 -1.321  -0.527 -1.164  -0.619 -1.038  -0.619 -0.832  -0.595 -0.636  -0.497 -0.491  -0.434 -0.328  -0.251 -0.285  -0.120 -0.198  0.006 -0.036  0.134 0.111  0.274 0.209  0.374 0.325  0.493 0.488  0.558 0.645  0.595 0.836  0.585 1.031  0.456 1.127  0.299 1.216  0.117 1.289
2#tos#t1#t1013062/A  -0.810 -0.677  -0.949 -0.802  -0.995 -0.981  -1.041 -1.187  -0.949 -1.109  -0.833 -0.954  -0.737 -0.755  -0.695 -0.538  -0.555 -0.400  -0.478 -0.207  -0.374 -0.018  -0.325 0.201  -0.302 0.423  -0.117 0.543  -0.071 0.742  -0.071 0.967  -0.008 1.173  0.057 1.380  0.067 1.602  0.123 1.771  0.206 1.814  0.270 1.615  0.362 1.424  0.391 1.202  0.437 0.988  0.437 0.763  0.483 0.558  0.483 0.333  0.529 0.154  0.529 -0.071  0.529 -0.295  0.576 -0.509  0.622 -0.715  0.622 -0.940  0.622 -1.165  0.714 -1.232  0.597 -1.051  0.448 -0.882  0.300 -0.713  0.152 -0.544  0.004 -0.374  -0.144 -0.205  -0.310 -0.077  -0.508 -0.144  -0.437 -0.169  -0.212 -0.169  0.013 -0.169  0.237 -0.169  0.443 -0.215  0.668 -0.215
2#tos#t1#t1013062/C  0.658 0.870  0.590 0.850  0.571 0.957  0.522 1.032  0.420 1.046  0.333 1.074  0.252 1.108  0.204 1.176  0.089 1.176  -0.012 1.142  -0.077 1.063  -0.180 1.012  -0.259 0.971  -0.327 0.924  -0.382 0.843  -0.443 0.755  -0.531 0.696  -0.549 0.599  -0.587 0.508  -0.633 0.412  -0.663 0.327  -0.701 0.249  -0.701 0.134  -0.701 0.019  -0.701 -0.097  -0.701 -0.212  -0.701 -0.327  -0.701 -0.443  -0.625 -0.522  -0.565 -0.577  -0.516 -0.673  -0.478 -0.765  -0.366 -0.793  -0.318 -0.862  -0.215 -0.906  -0.118 -0.966  -0.011 -0.998  0.105 -0.998  0.220 -0.998  0.326 -0.960  0.435 -0.930  0.516 -0.896  0.629 -0.891  0.731 -0.849  0.843 -0.828  0.958 -0.828  0.998 -0.752  1.073 -0.692  1.120 -0.624  1.167 -0.556
2#tos#t1#t1013062/L  0.008 1.592  -0.098 1.592  -0.137 1.597  -0.166 1.519  -0.197 1.435  -0.269 1.364  -0.283 1.261  -0.283 1.154  -0.333 1.069  -0.370 0.973  -0.391 0.869  -0.392 0.762  -0.392 0.656  -0.392 0.549  -0.392 0.443  -0.392 0.336  -0.392 0.230  -0.440 0.138  -0.464 0.039  -0.464 -0.068  -0.517 -0.158  -0.554 -0.256  -0.573 -0.361  -0.610 -0.458  -0.610 -0.565  -0.617 -0.668  -0.646 -0.706  -0.573 -0.672  -0.482 -0.631  -0.385 -0.589  -0.315 -0.552  -0.209 -0.552  -0.111 -0.516  -0.004 -0.516  0.100 -0.526  0.200 -0.552  0.307 -0.552  0.408 -0.558  0.447 -0.626  0.545 -0.661  0.651 -0.661  0.735 -0.684  0.792 -0.734  0.898 -0.734  1.000 -0.723  1.096 -0.698  1.202 -0.698  1.272 -0.661  1.365 -0.613  1.425 -0.625
2#tos#t1#t1013062/M  -0.339 1.019  -0.496 0.923  -0.571 0.715  -0.574 0.485  -0.613 0.259  -0.692 0.047  -0.692 -0.183  -0.698 -0.413  -0.731 -0.638  -0.770 -0.862  -0.803 -1.060  -0.849 -1.244  -0.849 -1.193  -0.818 -0.966  -0.777 -0.739  -0.737 -0.512  -0.696 -0.285  -0.656 -0.058  -0.615 0.169  -0.575 0.396  -0.534 0.622  -0.494 0.849  -0.474 1.059  -0.496 1.007  -0.378 0.861  -0.312 0.653  -0.294 0.431  -0.186 0.282  -0.153 0.059  -0.092 -0.118  0.054 -0.203  0.250 -0.234  0.328 -0.082  0.503 0.028  0.603 0.220  0.760 0.294  0.837 0.469  0.970 0.627  1.140 0.772  1.230 0.783  1.191 0.559  1.148 0.345  1.113 0.123  1.058 -0.094  1.034 -0.315  0.998 -0.540  0.995 -0.770  0.956 -0.991  0.917 -1.182  0.877 -1.373
2#tos#t1#t1013062/N  -0.810 -1.059  -0.881 -1.218  -0.838 -1.160  -0.774 -1.006  -0.760 -0.831  -0.702 -0.674  -0.702 -0.494  -0.702 -0.313  -0.681 -0.136  -0.666 0.042  -0.666 0.222  -0.666 0.403  -0.646 0.575  -0.630 0.749  -0.594 0.894  -0.558 1.038  -0.487 1.112  -0.434 0.970  -0.343 0.837  -0.307 0.692  -0.271 0.548  -0.235 0.376  -0.164 0.212  -0.164 0.032  -0.087 -0.106  -0.056 -0.282  0.020 -0.413  0.088 -0.548  0.183 -0.689  0.269 -0.813  0.354 -0.946  0.410 -1.086  0.510 -1.167  0.590 -1.138  0.590 -0.958  0.626 -0.813  0.662 -0.641  0.662 -0.461  0.662 -0.280  0.698 -0.106  0.698 0.075  0.698 0.255  0.733 0.428  0.733 0.608  0.733 0.789  0.733 0.969  0.758 1.144  0.769 1.322  0.805 1.487  0.841 1.560
2#tos#t1#t1013062/O  -0.172 0.625  -0.298 0.655  -0.415 0.699  -0.486 0.625  -0.582 0.547  -0.687 0.489  -0.687 0.345  -0.726 0.217  -0.761 0.078  -0.798 -0.051  -0.798 -0.195  -0.798 -0.339  -0.773 -0.479  -0.761 -0.621  -0.687 -0.719  -0.645 -0.852  -0.566 -0.962  -0.503 -1.067  -0.417 -1.154  -0.283 -1.177  -0.154 -1.214  -0.010 -1.214  0.098 -1.177  0.239 -1.171  0.341 -1.069  0.427 -0.970  0.544 -0.893  0.600 -0.766  0.664 -0.656  0.710 -0.537  0.784 -0.438  0.784 -0.294  0.784 -0.150  0.784 -0.006  0.784 0.138  0.784 0.282  0.774 0.424  0.747 0.562  0.716 0.693  0.664 0.812  0.562 0.883  0.485 0.994  0.379 1.062  0.297 1.163  0.172 1.214  0.028 1.214  -0.116 1.214  -0.239 1.147  -0.359 1.095  -0.430 0.993
2#tos#t1#t1013062/P  -0.246 0.852  -0.385 0.788  -0.455 0.608  -0.455 0.404  -0.489 0.207  -0.489 0.003  -0.559 -0.183  -0.559 -0.387  -0.559 -0.590  -0.559 -0.793  -0.594 -0.982  -0.594 -1.185  -0.594 -1.388  -0.594 -1.592  -0.593 -1.509  -0.564 -1.308  -0.534 -1.107  -0.505 -0.906  -0.475 -0.705  -0.446 -0.503  -0.416 -0.302  -0.387 -0.101  -0.357 0.100  -0.328 0.301  -0.298 0.502  -0.269 0.703  -0.239 0.904  -0.221 1.096  -0.157 1.160  0.046 1.165  0.249 1.165  0.452 1.165  0.636 1.118  0.765 1.005  0.917 0.890  1.019 0.748  1.167 0.635  1.249 0.464  1.249 0.260  1.219 0.087  1.110 -0.034  1.033 -0.164  0.930 -0.316  0.730 -0.330  0.527 -0.330  0.323 -0.330  0.120 -0.330  -0.083 -0.330  -0.286 -0.330  -0.455 -0.295
