2#app#app14#app1425/!  -0.310 -1.809  -0.192 -1.809  -0.073 -1.809  0.012 -1.776  0.012 -1.658  0.012 -1.539  0.012 -1.420  0.012 -1.302  0.012 -1.183  0.012 -1.065  0.012 -0.946  0.012 -0.828  0.012 -0.709  0.012 -0.591  0.012 -0.472  0.012 -0.354  0.012 -0.235  0.012 -0.117  0.012 0.002  0.012 0.121  0.012 0.239  0.012 0.358  0.012 0.476  0.012 0.595  0.012 0.713  0.012 0.832  0.012 0.950  0.012 1.069  0.012 1.187  0.012 1.306  0.012 1.424  0.012 1.543  0.012 1.497  0.012 1.378  0.012 1.260  0.012 1.141  0.012 1.023  0.012 0.904  0.012 0.786  0.012 0.667  0.012 0.549  0.012 0.430  0.012 0.311  0.012 0.193  0.012 0.074  0.012 -0.044  0.012 -0.163  0.012 -0.281  0.012 -0.400  0.012 -0.518
2#app#app14#app1425/~  -1.762 -0.012  -1.620 -0.012  -1.479 -0.012  -1.337 -0.012  -1.195 -0.012  -1.070 0.005  -1.070 0.147  -1.070 0.288  -0.974 0.334  -0.833 0.334  -0.701 0.358  -0.601 0.458  -0.501 0.558  -0.400 0.658  -0.268 0.680  -0.126 0.680  -0.033 0.728  -0.033 0.870  -0.033 1.012  -0.033 0.898  -0.033 0.757  -0.033 0.615  -0.033 0.473  -0.033 0.332  -0.033 0.190  -0.033 0.048  -0.033 -0.093  -0.033 -0.235  -0.033 -0.377  -0.033 -0.518  -0.033 -0.660  0.037 -0.773  0.137 -0.873  0.237 -0.973  0.313 -1.015  0.313 -0.874  0.313 -0.732  0.426 -0.703  0.568 -0.703  0.695 -0.668  0.795 -0.567  0.895 -0.467  0.995 -0.367  1.095 -0.267  1.196 -0.167  1.296 -0.067  1.396 0.034  1.496 0.134  1.596 0.234  1.696 0.334
2#app#app14#app1425/  0.707 0.314  0.770 0.250  0.833 0.187  0.896 0.124  0.959 0.061  1.022 -0.002  1.085 -0.065  1.148 -0.128  1.211 -0.191  1.275 -0.254  1.338 -0.317  1.271 -0.327  1.182 -0.327  1.093 -0.327  1.003 -0.327  0.914 -0.327  0.825 -0.327  0.736 -0.327  0.647 -0.327  0.557 -0.327  0.468 -0.327  0.379 -0.327  0.290 -0.327  0.201 -0.327  0.111 -0.327  0.035 -0.295  -0.028 -0.232  -0.091 -0.169  -0.154 -0.106  -0.217 -0.043  -0.280 0.020  -0.343 0.083  -0.406 0.147  -0.469 0.210  -0.532 0.273  -0.605 0.314  -0.694 0.314  -0.783 0.314  -0.872 0.314  -0.961 0.314  -1.051 0.314  -1.140 0.314  -1.229 0.314  -1.318 0.314  -1.407 0.314  -1.497 0.314  -1.586 0.314  -1.675 0.314  -1.764 0.314  -1.853 0.314
2#app#app14#app1425/_  -1.538 -0.302  -1.538 -0.229  -1.538 -0.156  -1.514 -0.108  -1.441 -0.108  -1.368 -0.108  -1.295 -0.108  -1.223 -0.108  -1.150 -0.108  -1.077 -0.108  -1.004 -0.108  -0.931 -0.108  -0.859 -0.108  -0.786 -0.108  -0.713 -0.108  -0.640 -0.108  -0.568 -0.106  -0.517 -0.055  -0.466 -0.003  -0.414 0.048  -0.357 0.086  -0.284 0.086  -0.211 0.086  -0.139 0.086  -0.066 0.086  0.007 0.086  0.080 0.086  0.152 0.086  0.225 0.086  0.298 0.086  0.371 0.086  0.443 0.086  0.516 0.086  0.589 0.086  0.662 0.086  0.734 0.086  0.807 0.086  0.880 0.086  0.953 0.086  1.026 0.086  1.098 0.086  1.171 0.086  1.244 0.086  1.317 0.086  1.389 0.086  1.462 0.086  1.535 0.086  1.559 0.038  1.559 -0.035  1.559 -0.108
2#app#app14#app1425/+  -0.719 1.799  -0.562 1.799  -0.405 1.799  -0.349 1.698  -0.349 1.541  -0.349 1.384  -0.349 1.227  -0.349 1.070  -0.349 0.913  -0.349 0.756  -0.349 0.599  -0.349 0.442  -0.349 0.286  -0.349 0.129  -0.349 -0.028  -0.349 -0.185  -0.349 -0.342  -0.349 -0.499  -0.349 -0.656  -0.349 -0.813  -0.349 -0.970  -0.349 -1.127  -0.224 -1.159  -0.067 -1.159  0.020 -1.228  0.020 -1.385  0.025 -1.516  0.084 -1.370  0.142 -1.224  0.200 -1.079  0.259 -0.933  0.317 -0.787  0.375 -0.642  0.433 -0.496  0.492 -0.350  0.550 -0.204  0.608 -0.059  0.667 0.087  0.725 0.233  0.760 0.258  0.760 0.101  0.755 -0.045  0.644 0.066  0.533 0.177  0.422 0.288  0.278 0.320  0.122 0.320  -0.035 0.320  -0.192 0.320  -0.349 0.320
2#app#app14#app1425/=  0.517 -1.126  0.407 -1.126  0.296 -1.126  0.186 -1.126  0.087 -1.098  0.009 -1.020  -0.069 -0.942  -0.147 -0.864  -0.225 -0.786  -0.310 -0.725  -0.421 -0.725  -0.531 -0.725  -0.641 -0.725  -0.752 -0.725  -0.862 -0.725  -0.973 -0.725  -1.083 -0.725  -1.012 -0.650  -0.934 -0.572  -0.856 -0.494  -0.778 -0.416  -0.700 -0.338  -0.622 -0.260  -0.544 -0.182  -0.466 -0.104  -0.388 -0.026  -0.310 0.052  -0.232 0.130  -0.154 0.208  -0.076 0.286  0.002 0.364  0.080 0.442  0.158 0.520  0.237 0.599  0.315 0.677  0.393 0.755  0.471 0.833  0.549 0.911  0.627 0.989  0.705 1.067  0.783 1.145  0.861 1.223  0.918 1.251  0.918 1.140  0.918 1.030  0.918 0.920  0.848 0.879  0.738 0.879  0.627 0.879  0.517 0.879
2#app#app14#app1425/[  1.268 0.744  1.164 0.744  1.071 0.771  0.998 0.845  0.922 0.914  0.818 0.914  0.714 0.914  0.610 0.914  0.506 0.914  0.401 0.914  0.297 0.914  0.193 0.914  0.089 0.914  -0.015 0.914  -0.116 0.900  -0.209 0.854  -0.302 0.807  -0.396 0.761  -0.496 0.744  -0.599 0.743  -0.599 0.639  -0.599 0.535  -0.599 0.430  -0.599 0.326  -0.599 0.222  -0.599 0.118  -0.599 0.014  -0.599 -0.090  -0.599 -0.194  -0.581 -0.292  -0.508 -0.365  -0.434 -0.439  -0.429 -0.541  -0.429 -0.645  -0.429 -0.749  -0.429 -0.853  -0.425 -0.953  -0.321 -0.953  -0.217 -0.953  -0.112 -0.953  -0.008 -0.953  0.080 -0.969  0.080 -1.073  0.134 -1.123  0.239 -1.123  0.343 -1.123  0.420 -1.150  0.420 -1.254  0.485 -1.293  0.590 -1.293
2#app#app14#app1425/]  -0.625 1.246  -0.528 1.246  -0.440 1.236  -0.440 1.138  -0.420 1.061  -0.323 1.061  -0.226 1.061  -0.128 1.061  -0.031 1.061  0.066 1.061  0.164 1.061  0.261 1.061  0.341 1.019  0.410 0.950  0.479 0.881  0.483 0.785  0.480 0.692  0.382 0.692  0.299 0.678  0.299 0.581  0.299 0.483  0.299 0.386  0.299 0.288  0.299 0.191  0.299 0.094  0.299 -0.004  0.299 -0.101  0.299 -0.198  0.299 -0.296  0.299 -0.393  0.299 -0.491  0.299 -0.588  0.299 -0.685  0.299 -0.783  0.299 -0.880  0.292 -0.971  0.195 -0.971  0.102 -0.983  0.033 -1.052  -0.036 -1.120  -0.118 -1.156  -0.216 -1.156  -0.313 -1.156  -0.410 -1.156  -0.508 -1.156  -0.605 -1.156  -0.703 -1.156  -0.800 -1.156  -0.897 -1.156  -0.995 -1.156
2#app#app14#app1425/{  0.546 1.085  0.663 1.085  0.736 1.085  0.619 1.085  0.501 1.085  0.383 1.085  0.266 1.085  0.148 1.085  0.031 1.085  -0.087 1.085  -0.204 1.085  -0.306 1.069  -0.306 0.952  -0.267 0.873  -0.150 0.873  -0.093 0.812  -0.093 0.694  -0.010 0.660  0.108 0.660  0.120 0.555  0.120 0.437  0.120 0.320  0.088 0.234  -0.030 0.234  -0.131 0.196  -0.214 0.113  -0.298 0.029  -0.412 0.021  -0.518 0.011  -0.518 -0.107  -0.495 -0.215  -0.412 -0.298  -0.329 -0.381  -0.306 -0.489  -0.306 -0.607  -0.306 -0.724  -0.306 -0.842  -0.306 -0.959  -0.271 -1.043  -0.154 -1.043  -0.093 -1.099  -0.093 -1.216  -0.022 -1.291  0.083 -1.343  0.188 -1.396  0.293 -1.448  0.406 -1.468  0.523 -1.468  0.546 -1.563  0.546 -1.681
2#app#app14#app1425/}  -0.581 1.350  -0.477 1.350  -0.373 1.350  -0.270 1.350  -0.169 1.348  -0.169 1.244  -0.165 1.145  -0.061 1.145  0.042 1.145  0.146 1.145  0.243 1.138  0.243 1.034  0.237 0.933  0.164 0.860  0.091 0.787  0.010 0.733  -0.094 0.733  -0.169 0.704  -0.169 0.600  -0.169 0.497  -0.169 0.393  -0.169 0.289  -0.169 0.186  -0.169 0.082  -0.169 -0.021  -0.135 -0.091  -0.031 -0.091  0.037 -0.126  0.037 -0.230  0.063 -0.323  0.136 -0.396  0.210 -0.469  0.243 -0.559  0.243 -0.663  0.301 -0.709  0.404 -0.709  0.449 -0.768  0.449 -0.871  0.406 -0.957  0.333 -1.030  0.260 -1.104  0.186 -1.177  0.113 -1.250  0.040 -1.323  -0.063 -1.326  -0.166 -1.326  -0.169 -1.427  -0.169 -1.531  -0.271 -1.532  -0.375 -1.532
2#app#app14#app1425/\\  -0.994 1.271  -0.994 1.197  -0.994 1.122  -0.981 1.061  -0.907 1.061  -0.832 1.061  -0.765 1.042  -0.713 0.990  -0.660 0.937  -0.607 0.884  -0.574 0.824  -0.574 0.749  -0.574 0.675  -0.545 0.612  -0.492 0.559  -0.440 0.507  -0.387 0.454  -0.327 0.412  -0.260 0.379  -0.193 0.345  -0.127 0.312  -0.060 0.279  0.007 0.245  0.057 0.202  0.057 0.127  0.057 0.053  0.071 -0.018  0.104 -0.085  0.138 -0.152  0.171 -0.218  0.204 -0.285  0.238 -0.352  0.273 -0.417  0.326 -0.469  0.378 -0.522  0.431 -0.575  0.484 -0.627  0.537 -0.680  0.589 -0.733  0.642 -0.785  0.692 -0.840  0.725 -0.907  0.759 -0.973  0.792 -1.040  0.825 -1.107  0.859 -1.173  0.892 -1.240  0.898 -1.313  0.898 -1.387  0.898 -1.462
2#app#app14#app1425/,  0.137 1.722  0.137 1.649  0.137 1.577  0.137 1.504  0.137 1.431  0.137 1.359  0.137 1.286  0.137 1.214  0.137 1.141  0.137 1.068  0.137 0.996  0.137 0.923  0.137 0.851  0.137 0.778  0.137 0.705  0.137 0.633  0.137 0.560  0.137 0.488  0.137 0.415  0.137 0.342  0.137 0.270  0.137 0.197  0.137 0.125  0.137 0.052  0.137 -0.021  0.137 -0.093  0.137 -0.166  0.137 -0.238  0.137 -0.311  0.137 -0.384  0.092 -0.438  0.041 -0.489  -0.011 -0.540  -0.062 -0.592  -0.113 -0.643  -0.165 -0.694  -0.216 -0.746  -0.267 -0.797  -0.285 -0.862  -0.285 -0.935  -0.285 -1.007  -0.285 -1.080  -0.285 -1.152  -0.285 -1.225  -0.285 -1.298  -0.285 -1.370  -0.285 -1.443  -0.285 -1.515  -0.285 -1.588  -0.285 -1.661
2#app#app14#app1425/  1.308 1.010  1.308 0.934  1.308 0.858  1.279 0.811  1.203 0.811  1.127 0.811  1.068 0.770  1.015 0.716  0.961 0.662  0.906 0.612  0.830 0.612  0.754 0.612  0.688 0.588  0.634 0.534  0.581 0.481  0.527 0.427  0.473 0.373  0.420 0.320  0.366 0.266  0.312 0.213  0.244 0.179  0.176 0.145  0.108 0.111  0.040 0.077  -0.028 0.043  -0.093 0.006  -0.147 -0.048  -0.201 -0.102  -0.254 -0.155  -0.308 -0.209  -0.362 -0.263  -0.415 -0.316  -0.469 -0.370  -0.540 -0.382  -0.616 -0.382  -0.679 -0.395  -0.679 -0.470  -0.679 -0.546  -0.721 -0.580  -0.797 -0.580  -0.873 -0.580  -0.928 -0.631  -0.982 -0.684  -1.036 -0.738  -1.077 -0.797  -1.077 -0.873  -1.077 -0.949  -1.124 -0.978  -1.199 -0.978  -1.275 -0.978
2#app#app14#app1425/?  -0.772 0.542  -0.772 0.398  -0.772 0.486  -0.860 0.542  -0.883 0.542  -0.739 0.542  -0.601 0.547  -0.601 0.691  -0.480 0.713  -0.336 0.713  -0.257 0.779  -0.220 0.885  -0.076 0.885  0.068 0.885  0.175 0.974  0.284 1.057  0.428 1.057  0.572 1.057  0.716 1.057  0.710 0.995  0.608 0.893  0.600 0.752  0.600 0.609  0.523 0.542  0.429 0.493  0.414 0.355  0.312 0.253  0.210 0.152  0.108 0.050  -0.026 0.027  -0.086 -0.057  -0.142 -0.144  -0.257 -0.173  -0.257 -0.317  -0.257 -0.460  -0.257 -0.604  -0.169 -0.659  -0.086 -0.720  -0.053 -0.831  0.086 -0.836  0.086 -0.980  0.172 -1.088  0.257 -1.197  0.257 -1.340  0.257 -1.484  0.257 -1.628  0.174 -1.689  0.141 -1.689  0.257 -1.716  0.257 -1.860
2#app#app14#app1425/'  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.936  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.936  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
2#app#app14#app1425/\"  -1.198 0.703  -1.198 0.577  -1.198 0.451  -1.198 0.325  -1.198 0.199  -1.198 0.073  -1.198 -0.053  -1.198 -0.179  -1.198 -0.305  -1.198 -0.431  -1.198 -0.557  -1.198 -0.683  -1.140 -0.705  -1.032 -0.640  -0.924 -0.575  -0.815 -0.511  -0.707 -0.446  -0.599 -0.381  -0.491 -0.316  -0.383 -0.251  -0.275 -0.186  -0.167 -0.122  -0.059 -0.057  0.049 0.008  0.157 0.073  0.265 0.138  0.373 0.203  0.481 0.267  0.589 0.332  0.697 0.397  0.805 0.462  0.914 0.527  1.022 0.592  1.130 0.656  1.208 0.669  1.208 0.543  1.208 0.417  1.208 0.291  1.150 0.222  1.024 0.222  0.898 0.222  0.772 0.222  0.727 0.142  0.727 0.016  0.727 -0.110  0.727 -0.236  0.727 -0.362  0.727 -0.488  0.727 -0.614  0.727 -0.740
2#app#app14#app1425/<  1.237 1.434  1.119 1.434  1.013 1.413  0.960 1.307  0.907 1.202  0.854 1.096  0.791 1.006  0.673 1.006  0.567 0.977  0.483 0.893  0.399 0.810  0.316 0.726  0.232 0.642  0.148 0.559  0.065 0.475  -0.019 0.391  -0.126 0.366  -0.245 0.366  -0.259 0.261  -0.268 0.152  -0.386 0.152  -0.495 0.129  -0.579 0.045  -0.662 -0.038  -0.686 -0.147  -0.686 -0.265  -0.794 -0.275  -0.908 -0.284  -0.992 -0.368  -1.076 -0.452  -1.048 -0.489  -0.929 -0.489  -0.811 -0.489  -0.693 -0.489  -0.607 -0.568  -0.523 -0.651  -0.426 -0.703  -0.308 -0.703  -0.190 -0.703  -0.071 -0.703  0.047 -0.703  0.165 -0.703  0.169 -0.818  0.188 -0.916  0.307 -0.916  0.425 -0.916  0.543 -0.916  0.642 -0.963  0.726 -1.046  0.810 -1.130
2#app#app14#app1425/|  0.295 1.352  0.368 1.352  0.441 1.352  0.482 1.352  0.409 1.352  0.336 1.352  0.295 1.319  0.295 1.246  0.295 1.173  0.295 1.100  0.295 1.026  0.295 0.953  0.274 0.883  0.251 0.814  0.228 0.744  0.205 0.675  0.182 0.606  0.159 0.536  0.135 0.467  0.112 0.397  0.088 0.328  0.055 0.263  0.023 0.197  -0.010 0.132  -0.043 0.066  -0.076 0.001  -0.108 -0.065  -0.112 -0.137  -0.112 -0.210  -0.112 -0.284  -0.112 -0.357  -0.112 -0.430  -0.123 -0.501  -0.156 -0.566  -0.188 -0.632  -0.221 -0.697  -0.254 -0.763  -0.287 -0.828  -0.316 -0.895  -0.316 -0.968  -0.316 -1.041  -0.316 -1.114  -0.316 -1.187  -0.316 -1.261  -0.316 -1.334  -0.316 -1.407  -0.316 -1.480  -0.316 -1.554  -0.316 -1.627  -0.316 -1.700
2#app#app14#app1425/>  -0.603 1.398  -0.603 1.287  -0.603 1.176  -0.503 1.165  -0.392 1.165  -0.370 1.076  -0.370 0.965  -0.293 0.932  -0.182 0.932  -0.090 0.885  -0.012 0.807  0.067 0.728  0.165 0.698  0.276 0.698  0.370 0.658  0.449 0.579  0.527 0.501  0.606 0.422  0.684 0.344  0.763 0.266  0.841 0.187  0.919 0.109  0.998 0.030  0.962 -0.001  0.851 -0.001  0.796 -0.056  0.796 -0.167  0.752 -0.234  0.641 -0.234  0.540 -0.257  0.461 -0.336  0.383 -0.414  0.304 -0.493  0.226 -0.571  0.147 -0.650  0.058 -0.700  -0.053 -0.700  -0.164 -0.700  -0.275 -0.700  -0.381 -0.712  -0.460 -0.790  -0.538 -0.869  -0.622 -0.934  -0.733 -0.934  -0.842 -0.939  -0.920 -1.018  -0.999 -1.096  -1.080 -1.167  -1.191 -1.167  -1.302 -1.167
