2#app#app13#app1333/8  0.132 1.130  0.056 1.041  -0.091 0.996  -0.224 0.938  -0.288 0.799  -0.402 0.681  -0.402 0.516  -0.402 0.351  -0.347 0.240  -0.271 0.151  -0.140 0.067  -0.046 -0.007  0.043 -0.083  0.132 -0.211  0.191 -0.352  0.221 -0.505  0.221 -0.670  0.221 -0.836  0.221 -1.001  0.150 -1.149  0.132 -1.310  0.115 -1.468  -0.002 -1.585  -0.149 -1.629  -0.313 -1.628  -0.368 -1.485  -0.402 -1.334  -0.402 -1.169  -0.402 -1.003  -0.402 -0.838  -0.402 -0.673  -0.402 -0.507  -0.310 -0.380  -0.224 -0.251  -0.139 -0.120  -0.064 0.026  -0.013 0.167  0.132 0.243  0.188 0.385  0.305 0.502  0.422 0.619  0.488 0.756  0.577 0.885  0.577 1.050  0.577 1.215  0.526 1.359  0.409 1.476  0.337 1.575  0.186 1.540  0.043 1.486
2#app#app13#app1333/;  0.033 1.051  0.033 1.141  0.078 1.185  0.167 1.187  0.167 1.277  0.119 1.320  0.033 1.323  0.033 1.413  -0.002 1.419  -0.066 1.356  -0.099 1.280  -0.091 1.191  -0.084 1.101  -0.076 1.011  -0.069 0.921  -0.061 0.831  -0.054 0.741  -0.046 0.652  -0.039 0.562  -0.031 0.472  -0.024 0.382  -0.016 0.292  -0.009 0.203  -0.001 0.113  0.006 0.023  0.014 -0.067  0.021 -0.157  0.029 -0.247  0.033 -0.337  0.033 -0.427  0.096 -0.490  0.160 -0.554  0.167 -0.641  0.167 -0.731  0.167 -0.822  0.167 -0.912  0.167 -1.002  0.167 -1.092  0.167 -1.182  0.128 -1.233  0.038 -1.233  0.033 -1.318  -0.008 -1.367  -0.098 -1.367  -0.102 -1.281  -0.144 -1.233  -0.234 -1.233  -0.325 -1.233  -0.371 -1.189  -0.371 -1.099
2#app#app13#app1333/>  -0.875 1.403  -0.875 1.309  -0.836 1.254  -0.742 1.254  -0.726 1.176  -0.703 1.105  -0.609 1.105  -0.533 1.061  -0.467 0.995  -0.389 0.956  -0.295 0.956  -0.224 0.901  -0.157 0.835  -0.081 0.782  0.003 0.740  0.087 0.698  0.172 0.658  0.266 0.658  0.317 0.616  0.317 0.522  0.375 0.451  0.441 0.385  0.466 0.302  0.466 0.208  0.466 0.114  0.466 0.020  0.466 -0.074  0.466 -0.168  0.466 -0.262  0.466 -0.356  0.466 -0.450  0.456 -0.534  0.363 -0.534  0.317 -0.583  0.317 -0.677  0.317 -0.771  0.285 -0.832  0.191 -0.832  0.168 -0.903  0.152 -0.981  0.058 -0.981  0.019 -1.036  0.019 -1.130  -0.075 -1.130  -0.130 -1.169  -0.130 -1.263  -0.185 -1.334  -0.251 -1.401  -0.279 -1.483  -0.279 -1.577
2#app#app13#app1333/S  0.413 1.515  0.413 1.407  0.333 1.378  0.225 1.378  0.124 1.363  0.047 1.286  -0.042 1.242  -0.146 1.230  -0.222 1.154  -0.298 1.077  -0.375 1.001  -0.407 0.906  -0.441 0.831  -0.544 0.827  -0.544 0.719  -0.544 0.611  -0.544 0.503  -0.518 0.421  -0.410 0.421  -0.407 0.316  -0.330 0.285  -0.236 0.250  -0.160 0.174  -0.063 0.148  0.033 0.118  0.109 0.041  0.139 -0.054  0.165 -0.151  0.242 -0.228  0.276 -0.322  0.298 -0.421  0.374 -0.497  0.451 -0.573  0.527 -0.650  0.549 -0.749  0.549 -0.857  0.549 -0.965  0.549 -1.073  0.451 -1.082  0.413 -1.152  0.372 -1.219  0.264 -1.219  0.155 -1.219  0.047 -1.219  -0.061 -1.219  -0.169 -1.219  -0.275 -1.215  -0.351 -1.138  -0.436 -1.082  -0.544 -1.082
2#app#app13#app1333/i  -0.081 0.113  -0.081 0.006  -0.081 -0.100  -0.081 -0.207  -0.108 -0.302  -0.184 -0.378  -0.259 -0.453  -0.275 -0.553  -0.275 -0.660  -0.275 -0.766  -0.275 -0.873  -0.275 -0.980  -0.275 -1.086  -0.275 -1.193  -0.275 -1.299  -0.275 -1.406  -0.222 -1.385  -0.146 -1.309  -0.079 -1.230  -0.066 -1.124  -0.053 -1.018  -0.039 -0.913  -0.026 -0.807  -0.013 -0.701  0.000 -0.595  0.014 -0.489  0.027 -0.384  0.040 -0.278  0.053 -0.172  0.066 -0.066  0.080 0.039  0.093 0.145  0.106 0.251  0.119 0.357  0.133 0.463  0.146 0.568  0.159 0.674  0.172 0.780  0.185 0.886  0.199 0.992  0.212 1.097  0.225 1.203  0.238 1.309  0.252 1.415  0.265 1.520  0.278 1.626  0.291 1.732  0.304 1.838  0.220 1.857  0.113 1.857
2#app#app13#app1333/m  -1.061 0.196  -1.061 0.049  -1.143 -0.064  -1.238 -0.171  -1.238 -0.318  -1.238 -0.465  -1.238 -0.612  -1.238 -0.759  -1.202 -0.869  -1.061 -0.863  -1.061 -0.716  -0.939 -0.692  -0.883 -0.600  -0.840 -0.471  -0.736 -0.367  -0.659 -0.244  -0.594 -0.112  -0.528 0.019  -0.424 0.123  -0.320 0.227  -0.216 0.331  -0.173 0.460  -0.173 0.607  -0.148 0.729  -0.001 0.729  0.146 0.729  0.182 0.618  0.182 0.471  0.182 0.324  0.182 0.177  0.182 0.030  0.182 -0.117  0.287 -0.159  0.434 -0.159  0.537 -0.116  0.546 0.028  0.650 0.131  0.754 0.235  0.858 0.339  0.962 0.443  1.066 0.547  1.211 0.551  1.248 0.441  1.248 0.294  1.283 0.161  1.387 0.058  1.425 -0.073  1.425 -0.220  1.425 -0.367  1.425 -0.514
2#app#app13#app1333/i  -0.156 -0.156  -0.156 -0.251  -0.156 -0.347  -0.156 -0.443  -0.156 -0.539  -0.156 -0.635  -0.156 -0.730  -0.156 -0.826  -0.156 -0.922  -0.156 -1.018  -0.156 -1.114  -0.156 -1.209  -0.156 -1.305  -0.156 -1.401  -0.147 -1.361  -0.135 -1.266  -0.124 -1.171  -0.112 -1.076  -0.100 -0.981  -0.088 -0.886  -0.076 -0.791  -0.064 -0.696  -0.052 -0.600  -0.040 -0.505  -0.029 -0.410  -0.017 -0.315  -0.005 -0.220  0.007 -0.125  0.019 -0.030  0.031 0.065  0.043 0.160  0.055 0.255  0.067 0.350  0.078 0.445  0.090 0.540  0.102 0.635  0.114 0.730  0.126 0.826  0.138 0.921  0.150 1.016  0.162 1.111  0.173 1.206  0.185 1.301  0.197 1.396  0.209 1.491  0.221 1.586  0.233 1.681  0.245 1.776  0.257 1.871  0.269 1.966
2#app#app13#app1333/l  -0.249 1.656  -0.249 1.585  -0.249 1.513  -0.249 1.441  -0.249 1.369  -0.249 1.297  -0.249 1.226  -0.249 1.154  -0.249 1.082  -0.249 1.010  -0.219 0.951  -0.168 0.900  -0.117 0.849  -0.066 0.798  -0.015 0.748  0.035 0.697  0.086 0.646  0.089 0.576  0.089 0.504  0.089 0.432  0.089 0.360  0.089 0.288  0.089 0.217  0.089 0.145  0.089 0.073  0.089 0.001  0.089 -0.071  0.089 -0.143  0.089 -0.214  0.089 -0.286  0.089 -0.358  0.089 -0.430  0.089 -0.502  0.089 -0.573  0.089 -0.645  0.089 -0.717  0.089 -0.789  0.089 -0.861  0.089 -0.932  0.089 -1.004  0.089 -1.076  0.089 -1.148  0.089 -1.220  0.089 -1.292  0.089 -1.363  0.089 -1.435  0.089 -1.507  0.089 -1.579  0.089 -1.651  0.089 -1.722
2#app#app13#app1333/a  0.291 0.842  0.291 0.983  0.291 1.123  0.291 1.264  0.257 1.371  0.117 1.371  -0.024 1.371  -0.165 1.371  -0.286 1.323  -0.385 1.223  -0.485 1.124  -0.502 0.990  -0.502 0.850  -0.502 0.709  -0.502 0.568  -0.502 0.427  -0.521 0.294  -0.620 0.195  -0.720 0.095  -0.767 -0.026  -0.767 -0.167  -0.767 -0.307  -0.767 -0.448  -0.767 -0.589  -0.767 -0.730  -0.642 -0.745  -0.502 -0.747  -0.502 -0.887  -0.484 -1.010  -0.343 -1.010  -0.202 -1.010  -0.062 -1.010  0.079 -1.010  0.220 -1.010  0.291 -0.941  0.291 -0.800  0.352 -0.684  0.452 -0.585  0.551 -0.485  0.556 -0.346  0.563 -0.209  0.663 -0.109  0.762 -0.010  0.820 -0.010  0.820 -0.151  0.874 -0.270  0.973 -0.369  1.073 -0.469  1.085 -0.605  1.085 -0.745
2#app#app13#app1333/r  -0.332 0.401  -0.332 0.276  -0.341 0.155  -0.429 0.067  -0.518 -0.021  -0.568 -0.125  -0.568 -0.250  -0.568 -0.375  -0.568 -0.499  -0.511 -0.600  -0.423 -0.689  -0.334 -0.777  -0.332 -0.900  -0.332 -1.025  -0.332 -1.150  -0.332 -1.274  -0.332 -1.399  -0.332 -1.451  -0.332 -1.326  -0.332 -1.201  -0.332 -1.077  -0.287 -0.971  -0.199 -0.882  -0.111 -0.794  -0.096 -0.676  -0.096 -0.551  -0.096 -0.426  -0.096 -0.302  -0.096 -0.177  -0.082 -0.058  0.006 0.030  0.094 0.119  0.140 0.224  0.140 0.349  0.173 0.466  0.229 0.577  0.284 0.689  0.340 0.800  0.376 0.917  0.376 1.041  0.376 1.166  0.376 1.291  0.447 1.344  0.572 1.344  0.697 1.344  0.821 1.344  0.946 1.344  1.071 1.344  1.084 1.233  1.084 1.108
2#app#app13#app1333/?  -0.203 -1.569  -0.203 -1.661  -0.288 -1.669  -0.248 -1.614  -0.203 -1.540  -0.203 -1.448  -0.203 -1.355  -0.203 -1.262  -0.203 -1.170  -0.203 -1.077  -0.203 -0.984  -0.203 -0.892  -0.203 -0.799  -0.203 -0.707  -0.203 -0.614  -0.203 -0.521  -0.203 -0.429  -0.225 -0.345  -0.290 -0.280  -0.303 -0.192  -0.236 -0.167  -0.161 -0.125  -0.092 -0.066  -0.003 -0.064  -0.003 0.029  0.085 0.034  0.154 0.091  0.220 0.156  0.285 0.222  0.298 0.309  0.365 0.334  0.398 0.394  0.398 0.487  0.398 0.579  0.398 0.672  0.398 0.765  0.398 0.857  0.398 0.950  0.393 1.040  0.328 1.106  0.298 1.186  0.255 1.236  0.173 1.261  0.107 1.326  0.018 1.336  -0.074 1.336  -0.103 1.272  -0.159 1.236  -0.237 1.201  -0.303 1.136
