2#apa#apa14#app1421/j  0.365 0.763  0.266 0.861  0.340 0.888  0.365 0.774  0.422 0.649  0.484 0.524  0.490 0.387  0.490 0.248  0.490 0.109  0.508 -0.025  0.570 -0.150  0.632 -0.274  0.694 -0.398  0.741 -0.526  0.741 -0.665  0.697 -0.786  0.599 -0.884  0.501 -0.982  0.366 -0.993  0.242 -1.054  0.118 -1.116  0.019 -1.213  -0.079 -1.176  -0.194 -1.118  -0.333 -1.118  -0.472 -1.118  -0.582 -1.049  -0.698 -0.993  -0.744 -0.923  -0.706 -0.789  -0.668 -0.656  -0.630 -0.522  -0.591 -0.389  -0.553 -0.255  -0.515 -0.122  -0.477 0.012  -0.439 0.146  -0.401 0.279  -0.362 0.413  -0.324 0.546  -0.286 0.680  -0.248 0.813  -0.210 0.947  -0.172 1.080  -0.133 1.214  -0.095 1.347  -0.057 1.481  -0.019 1.615  -0.012 1.752  -0.137 1.766
2#apa#apa14#app1421/d  0.083 1.499  0.083 1.648  0.158 1.721  0.305 1.720  0.305 1.571  0.305 1.422  0.305 1.274  0.305 1.125  0.330 0.980  0.377 0.839  0.424 0.698  0.471 0.557  0.518 0.416  0.527 0.269  0.527 0.120  0.527 -0.029  0.527 -0.177  0.527 -0.326  0.527 -0.475  0.527 -0.623  0.527 -0.671  0.527 -0.523  0.527 -0.374  0.527 -0.225  0.527 -0.077  0.400 -0.055  0.267 -0.017  0.162 0.088  0.045 0.167  -0.103 0.167  -0.246 0.131  -0.387 0.084  -0.528 0.037  -0.669 -0.010  -0.809 -0.059  -0.914 -0.164  -1.019 -0.269  -1.028 -0.414  -1.028 -0.563  -1.028 -0.712  -0.930 -0.820  -0.824 -0.925  -0.696 -0.998  -0.563 -1.065  -0.430 -1.131  -0.290 -1.166  -0.141 -1.166  0.008 -1.166  0.156 -1.166  0.305 -1.166
2#apa#apa14#app1421/e  -0.666 0.618  -0.504 0.618  -0.344 0.611  -0.229 0.496  -0.114 0.381  0.001 0.266  0.116 0.151  0.231 0.036  0.374 -0.012  0.537 -0.012  0.669 0.062  0.784 0.177  0.899 0.292  0.910 0.450  0.910 0.613  0.798 0.729  0.683 0.844  0.557 0.933  0.395 0.933  0.232 0.933  0.069 0.933  -0.093 0.933  -0.256 0.933  -0.412 0.903  -0.557 0.830  -0.703 0.757  -0.848 0.685  -0.982 0.604  -0.982 0.442  -0.982 0.279  -0.982 0.116  -0.967 -0.043  -0.894 -0.188  -0.821 -0.334  -0.748 -0.479  -0.675 -0.625  -0.531 -0.688  -0.377 -0.739  -0.223 -0.791  -0.068 -0.842  0.086 -0.894  0.241 -0.945  0.279 -1.080  0.279 -1.243  0.411 -1.273  0.574 -1.273  0.737 -1.273  0.899 -1.273  1.062 -1.273  1.225 -1.273
2#apa#apa14#app1421/n  -1.190 1.378  -1.051 1.378  -0.952 1.339  -0.952 1.200  -0.917 1.070  -0.855 0.946  -0.793 0.823  -0.731 0.699  -0.714 0.564  -0.714 0.426  -0.714 0.287  -0.696 0.153  -0.634 0.029  -0.572 -0.094  -0.510 -0.218  -0.476 -0.349  -0.476 -0.487  -0.476 -0.625  -0.474 -0.762  -0.336 -0.762  -0.238 -0.721  -0.238 -0.583  -0.238 -0.444  -0.238 -0.306  -0.238 -0.168  -0.225 -0.035  -0.127 0.063  -0.029 0.161  0.069 0.259  0.167 0.357  0.237 0.466  0.237 0.604  0.293 0.609  0.390 0.511  0.475 0.408  0.475 0.269  0.516 0.148  0.614 0.050  0.712 -0.048  0.774 -0.171  0.836 -0.295  0.898 -0.419  0.957 -0.544  1.001 -0.675  1.045 -0.807  1.088 -0.938  1.132 -1.069  1.176 -1.201  1.288 -1.238  1.426 -1.238
2#apa#apa14#app1421/b  -0.848 1.860  -0.691 1.860  -0.592 1.766  -0.522 1.625  -0.451 1.485  -0.430 1.333  -0.430 1.175  -0.430 1.018  -0.430 0.861  -0.319 0.814  -0.221 0.755  -0.221 0.598  -0.221 0.441  -0.221 0.284  -0.221 0.126  -0.221 -0.031  -0.221 -0.188  -0.221 -0.346  -0.221 -0.503  -0.221 -0.660  -0.221 -0.817  -0.221 -0.975  -0.158 -1.069  -0.004 -1.077  0.107 -1.188  0.227 -1.278  0.384 -1.278  0.542 -1.278  0.653 -1.204  0.724 -1.064  0.794 -0.923  0.825 -0.773  0.825 -0.616  0.825 -0.459  0.825 -0.301  0.786 -0.153  0.716 -0.013  0.645 0.128  0.534 0.228  0.393 0.298  0.253 0.368  0.112 0.353  -0.029 0.282  -0.170 0.212  -0.221 0.086  -0.242 -0.066  -0.313 -0.207  -0.383 -0.347  -0.430 -0.493  -0.430 -0.651
2#apa#apa14#app1421/y  -0.994 1.036  -0.994 1.171  -0.902 1.214  -0.816 1.165  -0.812 1.032  -0.717 0.937  -0.628 0.837  -0.567 0.717  -0.507 0.596  -0.460 0.473  -0.460 0.338  -0.374 0.239  -0.278 0.147  -0.143 0.147  -0.105 0.244  -0.051 0.325  0.084 0.325  0.218 0.325  0.323 0.397  0.418 0.492  0.429 0.623  0.429 0.758  0.429 0.892  0.429 1.027  0.429 0.910  0.429 0.776  0.429 0.641  0.429 0.506  0.429 0.371  0.429 0.237  0.429 0.102  0.429 -0.033  0.429 -0.167  0.429 -0.302  0.429 -0.437  0.429 -0.571  0.429 -0.706  0.429 -0.841  0.429 -0.976  0.429 -1.110  0.429 -1.245  0.355 -1.349  0.259 -1.444  0.128 -1.453  -0.007 -1.453  -0.141 -1.453  -0.276 -1.453  -0.397 -1.396  -0.518 -1.335  -0.638 -1.275
2#apa#apa14#app1421/q  -0.147 1.241  -0.289 1.241  -0.432 1.241  -0.575 1.241  -0.718 1.241  -0.824 1.152  -0.882 1.034  -0.882 0.891  -0.846 0.763  -0.745 0.662  -0.606 0.652  -0.464 0.652  -0.321 0.652  -0.212 0.734  -0.111 0.835  -0.010 0.936  0.000 1.074  0.000 0.970  0.000 0.828  0.000 0.685  0.000 0.542  0.000 0.400  0.000 0.257  0.000 0.114  0.000 -0.029  0.000 -0.171  0.000 -0.314  0.000 -0.457  0.000 -0.599  0.000 -0.742  0.000 -0.885  0.000 -1.028  0.000 -1.170  0.000 -1.313  0.049 -1.407  0.192 -1.407  0.295 -1.367  0.330 -1.260  0.473 -1.260  0.601 -1.236  0.665 -1.108  0.728 -0.980  0.736 -0.839  0.736 -0.697  0.736 -0.554  0.685 -0.423  0.621 -0.295  0.519 -0.230  0.395 -0.184  0.295 -0.083
2#apa#apa14#app1421/u  -1.117 1.004  -1.007 1.004  -0.897 1.004  -0.878 0.912  -0.878 0.802  -0.855 0.696  -0.821 0.591  -0.786 0.487  -0.751 0.382  -0.716 0.278  -0.681 0.173  -0.646 0.069  -0.640 -0.040  -0.640 -0.150  -0.640 -0.260  -0.640 -0.371  -0.640 -0.481  -0.640 -0.591  -0.640 -0.701  -0.640 -0.811  -0.625 -0.907  -0.515 -0.907  -0.405 -0.907  -0.295 -0.907  -0.185 -0.907  -0.074 -0.907  0.036 -0.907  0.126 -0.858  0.204 -0.780  0.281 -0.702  0.359 -0.624  0.437 -0.546  0.515 -0.469  0.585 -0.384  0.646 -0.292  0.707 -0.201  0.768 -0.109  0.829 -0.017  0.890 0.074  0.951 0.166  1.012 0.258  1.032 0.362  1.032 0.472  1.032 0.582  1.032 0.692  1.032 0.802  1.032 0.912  1.014 1.004  0.904 1.004  0.793 1.004
2#apa#apa14#app1421/i  0.216 -0.143  0.161 -0.034  0.107 0.075  0.052 0.185  0.019 0.201  0.019 0.079  0.019 -0.043  0.019 -0.165  0.019 -0.288  0.019 -0.410  0.019 -0.532  0.019 -0.654  0.019 -0.776  0.019 -0.899  0.019 -1.021  0.019 -1.143  0.019 -1.265  0.019 -1.388  0.019 -1.510  0.098 -1.442  0.184 -1.356  0.216 -1.246  0.216 -1.124  0.216 -1.002  0.216 -0.880  0.216 -0.758  0.198 -0.637  0.176 -0.517  0.155 -0.396  0.133 -0.276  0.111 -0.156  0.089 -0.036  0.067 0.085  0.045 0.205  0.023 0.325  0.002 0.445  -0.020 0.566  -0.042 0.686  -0.064 0.806  -0.086 0.926  -0.108 1.047  -0.130 1.167  -0.151 1.287  -0.173 1.408  -0.232 1.513  -0.300 1.615  -0.368 1.716  -0.436 1.818  -0.503 1.920  -0.571 2.021
2#apa#apa14#app1421/e  -0.436 0.521  -0.259 0.521  -0.107 0.497  -0.107 0.320  -0.058 0.192  0.118 0.192  0.295 0.192  0.472 0.192  0.551 0.095  0.551 -0.082  0.637 -0.051  0.762 0.074  0.880 0.201  0.880 0.378  0.880 0.555  0.880 0.731  0.822 0.850  0.646 0.850  0.493 0.908  0.368 1.033  0.243 1.158  0.091 1.113  -0.067 1.034  -0.225 0.955  -0.383 0.876  -0.436 0.732  -0.436 0.556  -0.536 0.421  -0.661 0.296  -0.795 0.192  -0.972 0.192  -1.094 0.138  -1.094 -0.039  -1.094 -0.216  -1.094 -0.392  -1.021 -0.539  -0.897 -0.664  -0.772 -0.789  -0.647 -0.914  -0.522 -1.038  -0.381 -1.124  -0.204 -1.124  -0.027 -1.124  0.149 -1.124  0.326 -1.124  0.503 -1.124  0.679 -1.124  0.856 -1.124  1.033 -1.124  1.209 -1.124
2#apa#apa14#app1421/t  0.282 1.901  0.220 1.714  0.158 1.527  0.095 1.340  0.072 1.146  0.045 0.952  -0.003 0.761  -0.051 0.569  -0.098 0.378  -0.139 0.185  -0.139 -0.012  -0.139 -0.209  -0.139 -0.407  -0.139 -0.604  -0.139 -0.801  -0.139 -0.998  -0.139 -1.196  -0.006 -1.260  0.191 -1.260  0.282 -1.154  0.365 -1.008  0.542 -0.919  0.720 -0.839  0.917 -0.839  1.115 -0.839  0.939 -0.839  0.750 -0.784  0.563 -0.721  0.376 -0.659  0.189 -0.597  0.001 -0.534  -0.186 -0.472  -0.373 -0.409  -0.560 -0.347  -0.747 -0.285  -0.934 -0.222  -1.048 -0.075  -1.136 0.102  -1.130 0.247  -0.953 0.335  -0.777 0.423  -0.600 0.511  -0.424 0.600  -0.241 0.673  -0.054 0.735  0.133 0.798  0.323 0.847  0.520 0.847  0.717 0.847  0.915 0.847
2#apa#apa14#app1421/z  -1.141 1.280  -1.052 1.191  -0.963 1.102  -0.843 1.088  -0.722 1.071  -0.609 1.014  -0.497 0.958  -0.384 0.902  -0.260 0.896  -0.134 0.896  -0.008 0.896  0.118 0.896  0.202 0.855  0.202 0.729  0.157 0.614  0.101 0.502  0.045 0.389  -0.024 0.286  -0.113 0.197  -0.202 0.108  -0.291 0.019  -0.380 -0.070  -0.469 -0.159  -0.558 -0.248  -0.617 -0.358  -0.673 -0.471  -0.730 -0.584  -0.757 -0.703  -0.757 -0.829  -0.634 -0.831  -0.509 -0.831  -0.383 -0.831  -0.257 -0.831  -0.131 -0.831  -0.005 -0.831  0.088 -0.753  0.177 -0.664  0.291 -0.622  0.414 -0.597  0.538 -0.572  0.661 -0.548  0.784 -0.523  0.908 -0.498  1.031 -0.474  1.155 -0.449  1.268 -0.395  1.380 -0.338  1.493 -0.282  1.546 -0.322  1.546 -0.447
2#apa#apa14#app1421/e  -0.938 0.657  -0.788 0.657  -0.639 0.657  -0.490 0.657  -0.340 0.657  -0.191 0.657  -0.041 0.657  0.108 0.657  0.257 0.657  0.407 0.657  0.556 0.657  0.706 0.657  0.855 0.657  1.004 0.657  0.984 0.727  0.879 0.833  0.748 0.878  0.600 0.872  0.467 0.806  0.333 0.739  0.199 0.672  0.073 0.593  -0.051 0.510  -0.176 0.427  -0.300 0.344  -0.424 0.261  -0.559 0.214  -0.709 0.214  -0.817 0.114  -0.922 0.008  -0.938 -0.135  -0.938 -0.284  -0.938 -0.434  -0.878 -0.569  -0.811 -0.703  -0.745 -0.836  -0.630 -0.893  -0.481 -0.893  -0.331 -0.893  -0.187 -0.922  -0.045 -0.969  0.097 -1.016  0.238 -1.063  0.380 -1.111  0.529 -1.114  0.678 -1.114  0.828 -1.114  0.977 -1.114  1.127 -1.114  1.276 -1.114
2#apa#apa14#app1421/a  -0.623 1.198  -0.411 1.198  -0.219 1.178  -0.198 0.974  -0.048 0.825  0.151 0.794  0.185 0.616  0.269 0.424  0.364 0.234  0.547 0.188  0.589 0.017  0.589 0.167  0.503 0.359  0.409 0.548  0.271 0.707  0.095 0.794  -0.117 0.794  -0.328 0.794  -0.540 0.794  -0.752 0.794  -0.923 0.695  -1.026 0.526  -1.080 0.336  -1.228 0.186  -1.228 -0.026  -1.218 -0.236  -1.124 -0.425  -1.029 -0.615  -0.820 -0.619  -0.608 -0.619  -0.396 -0.619  -0.194 -0.595  -0.045 -0.445  0.060 -0.263  0.155 -0.073  0.185 0.132  0.185 0.033  0.185 -0.179  0.185 -0.391  0.185 -0.603  0.185 -0.815  0.188 -1.023  0.400 -1.023  0.612 -1.023  0.824 -1.023  1.036 -1.023  1.232 -0.985  1.382 -0.835  1.588 -0.821  1.598 -1.023
2#apa#apa14#app1421/l  0.119 1.333  0.047 1.333  -0.022 1.342  -0.073 1.393  -0.125 1.444  -0.147 1.427  -0.147 1.354  -0.147 1.282  -0.147 1.209  -0.147 1.137  -0.147 1.064  -0.147 0.992  -0.147 0.920  -0.147 0.847  -0.147 0.775  -0.147 0.702  -0.139 0.631  -0.121 0.560  -0.103 0.490  -0.086 0.420  -0.068 0.350  -0.051 0.279  -0.033 0.209  -0.016 0.139  -0.005 0.067  0.006 -0.005  0.016 -0.076  0.026 -0.148  0.036 -0.220  0.047 -0.292  0.057 -0.363  0.067 -0.435  0.077 -0.507  0.088 -0.578  0.098 -0.650  0.108 -0.722  0.118 -0.794  0.119 -0.866  0.119 -0.938  0.119 -1.011  0.119 -1.083  0.119 -1.156  0.119 -1.228  0.119 -1.301  0.119 -1.373  0.119 -1.446  0.119 -1.518  0.119 -1.591  0.119 -1.663  0.119 -1.735
