2#apb#apb35#app3563/O  -0.199 0.644  -0.284 0.694  -0.392 0.547  -0.469 0.379  -0.546 0.212  -0.617 0.042  -0.682 -0.130  -0.742 -0.304  -0.789 -0.482  -0.822 -0.663  -0.842 -0.846  -0.852 -1.030  -0.811 -1.207  -0.731 -1.372  -0.573 -1.443  -0.394 -1.426  -0.230 -1.347  -0.076 -1.246  0.070 -1.134  0.202 -1.008  0.306 -0.856  0.404 -0.700  0.497 -0.541  0.578 -0.377  0.637 -0.202  0.693 -0.027  0.733 0.153  0.773 0.333  0.784 0.516  0.791 0.700  0.772 0.883  0.738 1.063  0.668 1.234  0.578 1.394  0.430 1.489  0.252 1.457  0.097 1.360  -0.018 1.216  -0.123 1.064  -0.167 0.888  -0.198 0.706  -0.224 0.524  -0.233 0.342  -0.202 0.160  -0.141 -0.010  -0.045 -0.167  0.096 -0.281  0.251 -0.378  0.434 -0.399  0.617 -0.420
2#apb#apb35#app3563/1  0.433 1.325  0.475 1.381  0.495 1.445  0.500 1.446  0.467 1.385  0.444 1.318  0.422 1.250  0.397 1.184  0.371 1.119  0.345 1.053  0.318 0.987  0.292 0.922  0.273 0.854  0.254 0.785  0.235 0.717  0.217 0.649  0.198 0.581  0.180 0.512  0.159 0.445  0.133 0.379  0.108 0.313  0.082 0.247  0.056 0.181  0.030 0.116  0.004 0.050  -0.022 -0.016  -0.048 -0.082  -0.071 -0.149  -0.092 -0.216  -0.113 -0.284  -0.134 -0.351  -0.155 -0.419  -0.176 -0.486  -0.197 -0.554  -0.218 -0.621  -0.239 -0.689  -0.259 -0.757  -0.279 -0.825  -0.299 -0.893  -0.319 -0.960  -0.338 -1.028  -0.358 -1.096  -0.378 -1.164  -0.398 -1.232  -0.417 -1.300  -0.437 -1.368  -0.456 -1.436  -0.475 -1.504  -0.495 -1.572  -0.514 -1.640
2#apb#apb35#app3563/B  -0.453 0.715  -0.479 0.521  -0.539 0.300  -0.604 0.079  -0.664 -0.143  -0.724 -0.365  -0.818 -0.574  -0.930 -0.775  -1.061 -0.952  -1.029 -0.744  -0.952 -0.528  -0.858 -0.318  -0.760 -0.110  -0.660 0.097  -0.546 0.296  -0.427 0.494  -0.303 0.687  -0.174 0.877  -0.016 1.039  0.171 1.173  0.372 1.284  0.595 1.298  0.712 1.120  0.679 0.899  0.554 0.709  0.428 0.517  0.274 0.349  0.096 0.205  -0.105 0.098  -0.221 0.121  -0.044 0.265  0.147 0.393  0.350 0.495  0.577 0.528  0.806 0.520  1.018 0.442  1.172 0.277  1.186 0.051  1.154 -0.176  1.064 -0.385  0.949 -0.584  0.811 -0.768  0.635 -0.911  0.441 -1.034  0.242 -1.150  0.033 -1.241  -0.187 -1.306  -0.416 -1.312  -0.640 -1.279  -0.855 -1.197
2#apb#apb35#app3563/e  -1.168 -1.223  -1.106 -1.098  -0.961 -1.088  -0.828 -1.032  -0.732 -0.921  -0.629 -0.818  -0.513 -0.728  -0.393 -0.645  -0.267 -0.571  -0.141 -0.496  -0.037 -0.393  0.066 -0.289  0.160 -0.177  0.253 -0.064  0.334 0.057  0.400 0.188  0.465 0.319  0.531 0.450  0.596 0.581  0.641 0.719  0.664 0.863  0.689 1.007  0.724 1.150  0.731 1.295  0.685 1.432  0.583 1.499  0.456 1.433  0.334 1.352  0.212 1.270  0.133 1.152  0.067 1.021  -0.000 0.891  -0.069 0.762  -0.138 0.633  -0.191 0.497  -0.233 0.357  -0.274 0.216  -0.293 0.072  -0.293 -0.074  -0.293 -0.221  -0.286 -0.366  -0.262 -0.511  -0.238 -0.655  -0.202 -0.795  -0.113 -0.911  -0.024 -1.027  0.074 -1.135  0.185 -1.231  0.295 -1.327  0.406 -1.423
2#apb#apb35#app3563/a  0.813 0.728  0.718 0.878  0.619 1.026  0.478 1.123  0.307 1.166  0.138 1.129  -0.028 1.068  -0.200 1.022  -0.350 0.932  -0.494 0.827  -0.615 0.698  -0.735 0.567  -0.820 0.412  -0.895 0.251  -0.971 0.090  -1.046 -0.071  -1.118 -0.233  -1.170 -0.403  -1.205 -0.575  -1.205 -0.753  -1.151 -0.919  -1.034 -1.026  -0.860 -1.053  -0.682 -1.041  -0.509 -1.015  -0.345 -0.945  -0.187 -0.866  -0.048 -0.756  0.092 -0.647  0.201 -0.507  0.306 -0.364  0.415 -0.224  0.529 -0.087  0.642 0.049  0.739 0.195  0.802 0.362  0.864 0.528  0.927 0.694  0.868 0.698  0.783 0.542  0.684 0.394  0.606 0.237  0.557 0.067  0.509 -0.104  0.461 -0.276  0.414 -0.447  0.436 -0.623  0.458 -0.799  0.582 -0.920  0.719 -1.032
2#apb#apb35#app3563/c  0.836 0.466  0.855 0.552  0.874 0.638  0.879 0.726  0.879 0.814  0.879 0.902  0.874 0.988  0.805 1.043  0.727 1.063  0.640 1.048  0.560 1.013  0.479 0.977  0.396 0.947  0.312 0.922  0.228 0.896  0.150 0.854  0.073 0.811  -0.005 0.769  -0.065 0.705  -0.125 0.641  -0.185 0.576  -0.245 0.511  -0.298 0.442  -0.333 0.361  -0.368 0.280  -0.404 0.200  -0.439 0.119  -0.468 0.036  -0.497 -0.047  -0.527 -0.131  -0.556 -0.214  -0.568 -0.300  -0.568 -0.388  -0.568 -0.476  -0.568 -0.564  -0.568 -0.653  -0.543 -0.735  -0.507 -0.816  -0.472 -0.897  -0.437 -0.978  -0.394 -1.054  -0.342 -1.125  -0.290 -1.197  -0.238 -1.268  -0.185 -1.339  -0.105 -1.371  -0.021 -1.397  0.063 -1.424  0.147 -1.450  0.231 -1.477
2#apb#apb35#app3563/h  0.102 1.806  0.044 1.665  -0.014 1.525  -0.065 1.382  -0.116 1.238  -0.164 1.094  -0.206 0.948  -0.249 0.802  -0.289 0.655  -0.324 0.507  -0.358 0.359  -0.393 0.210  -0.437 0.065  -0.487 -0.079  -0.537 -0.222  -0.598 -0.362  -0.663 -0.499  -0.716 -0.641  -0.758 -0.787  -0.849 -0.905  -0.951 -0.995  -0.968 -0.853  -0.925 -0.710  -0.859 -0.574  -0.787 -0.439  -0.694 -0.322  -0.579 -0.223  -0.470 -0.118  -0.377 0.003  -0.285 0.124  -0.160 0.206  -0.024 0.274  0.113 0.339  0.262 0.369  0.412 0.391  0.564 0.391  0.710 0.352  0.829 0.263  0.864 0.126  0.847 -0.024  0.803 -0.170  0.777 -0.319  0.758 -0.470  0.755 -0.622  0.780 -0.766  0.873 -0.886  0.991 -0.982  1.122 -1.041  1.274 -1.041  1.426 -1.041
2#apb#apb35#app3563/P  0.091 0.773  0.120 0.640  0.120 0.466  0.106 0.293  0.089 0.120  0.081 -0.054  0.068 -0.227  0.053 -0.400  -0.009 -0.561  -0.085 -0.717  -0.142 -0.881  -0.202 -1.044  -0.310 -1.180  -0.430 -1.305  -0.572 -1.400  -0.742 -1.423  -0.892 -1.347  -0.956 -1.186  -0.997 -1.018  -0.979 -0.845  -0.938 -0.678  -0.876 -0.515  -0.819 -0.351  -0.764 -0.186  -0.703 -0.023  -0.630 0.134  -0.557 0.292  -0.455 0.431  -0.344 0.566  -0.229 0.696  -0.106 0.819  0.017 0.942  0.169 1.026  0.322 1.109  0.484 1.168  0.651 1.219  0.818 1.199  0.975 1.129  1.067 0.997  1.094 0.826  1.073 0.653  1.027 0.486  0.964 0.324  0.883 0.171  0.777 0.038  0.637 -0.066  0.495 -0.166  0.348 -0.259  0.189 -0.323  0.020 -0.361
2#apb#apb35#app3563/l  -0.859 -1.280  -0.715 -1.251  -0.580 -1.196  -0.471 -1.097  -0.369 -0.992  -0.280 -0.875  -0.196 -0.755  -0.116 -0.631  -0.042 -0.504  0.019 -0.371  0.081 -0.237  0.141 -0.103  0.199 0.032  0.258 0.167  0.316 0.302  0.367 0.440  0.415 0.579  0.463 0.718  0.492 0.862  0.516 1.007  0.539 1.152  0.561 1.298  0.573 1.444  0.533 1.575  0.408 1.518  0.279 1.446  0.172 1.346  0.071 1.239  -0.012 1.118  -0.095 0.997  -0.161 0.865  -0.227 0.734  -0.276 0.596  -0.312 0.454  -0.348 0.311  -0.377 0.167  -0.393 0.021  -0.409 -0.125  -0.412 -0.271  -0.389 -0.416  -0.357 -0.558  -0.289 -0.689  -0.221 -0.819  -0.138 -0.940  -0.045 -1.054  0.060 -1.151  0.196 -1.208  0.331 -1.265  0.477 -1.289  0.622 -1.313
2#apb#apb35#app3563/.  0.721 1.167  0.721 1.238  0.721 1.309  0.721 1.337  0.721 1.266  0.721 1.195  0.697 1.131  0.657 1.072  0.618 1.013  0.578 0.954  0.539 0.895  0.500 0.836  0.460 0.777  0.421 0.717  0.381 0.658  0.342 0.599  0.302 0.540  0.263 0.481  0.224 0.422  0.184 0.363  0.145 0.303  0.105 0.244  0.066 0.185  0.026 0.126  -0.013 0.067  -0.051 0.007  -0.083 -0.057  -0.115 -0.120  -0.147 -0.184  -0.178 -0.247  -0.210 -0.311  -0.242 -0.374  -0.274 -0.438  -0.306 -0.502  -0.337 -0.565  -0.369 -0.629  -0.401 -0.692  -0.433 -0.756  -0.465 -0.819  -0.496 -0.883  -0.528 -0.947  -0.560 -1.010  -0.592 -1.074  -0.624 -1.137  -0.655 -1.201  -0.687 -1.264  -0.719 -1.328  -0.751 -1.392  -0.782 -1.455  -0.814 -1.519
2#apb#apb35#app3563/1  0.616 1.564  0.591 1.514  0.576 1.446  0.561 1.378  0.544 1.310  0.527 1.243  0.510 1.176  0.493 1.108  0.476 1.041  0.457 0.974  0.433 0.909  0.410 0.843  0.387 0.778  0.363 0.713  0.340 0.647  0.317 0.582  0.293 0.516  0.267 0.452  0.236 0.390  0.205 0.328  0.173 0.266  0.142 0.204  0.111 0.141  0.080 0.079  0.049 0.017  0.018 -0.045  -0.013 -0.107  -0.044 -0.169  -0.076 -0.231  -0.108 -0.293  -0.140 -0.354  -0.172 -0.416  -0.204 -0.478  -0.236 -0.539  -0.268 -0.601  -0.300 -0.663  -0.332 -0.724  -0.365 -0.785  -0.398 -0.847  -0.431 -0.908  -0.464 -0.969  -0.497 -1.030  -0.530 -1.091  -0.564 -1.152  -0.595 -1.214  -0.626 -1.276  -0.657 -1.338  -0.688 -1.401  -0.719 -1.463  -0.750 -1.525
2#apb#apb35#app3563/0  0.104 1.305  0.040 1.193  -0.032 1.086  -0.106 0.979  -0.161 0.862  -0.216 0.745  -0.278 0.632  -0.356 0.529  -0.433 0.425  -0.499 0.315  -0.547 0.195  -0.595 0.075  -0.641 -0.046  -0.682 -0.168  -0.723 -0.291  -0.768 -0.412  -0.817 -0.532  -0.867 -0.651  -0.860 -0.778  -0.840 -0.906  -0.779 -1.018  -0.704 -1.122  -0.597 -1.193  -0.476 -1.221  -0.346 -1.221  -0.224 -1.186  -0.103 -1.138  0.005 -1.073  0.093 -0.978  0.181 -0.883  0.265 -0.785  0.347 -0.684  0.428 -0.584  0.490 -0.472  0.537 -0.352  0.584 -0.231  0.631 -0.111  0.671 0.012  0.710 0.136  0.750 0.259  0.783 0.383  0.783 0.512  0.783 0.642  0.783 0.771  0.756 0.898  0.728 1.024  0.688 1.145  0.614 1.251  0.514 1.317  0.387 1.343
2#apb#apb35#app3563/5  -0.229 0.869  -0.239 0.690  -0.345 0.546  -0.408 0.375  -0.496 0.215  -0.594 0.060  -0.577 -0.014  -0.400 0.032  -0.227 0.090  -0.049 0.122  0.134 0.122  0.315 0.101  0.491 0.051  0.646 -0.043  0.740 -0.196  0.755 -0.373  0.690 -0.544  0.598 -0.701  0.476 -0.834  0.333 -0.949  0.165 -1.022  -0.002 -1.096  -0.169 -1.171  -0.339 -1.236  -0.520 -1.262  -0.702 -1.261  -0.878 -1.226  -0.991 -1.115  -0.918 -0.948  -0.845 -0.780  -0.772 -0.612  -0.699 -0.444  -0.626 -0.276  -0.553 -0.108  -0.479 0.060  -0.406 0.227  -0.333 0.395  -0.260 0.563  -0.187 0.731  -0.114 0.899  -0.021 0.982  0.163 0.982  0.346 0.982  0.528 0.990  0.711 0.998  0.894 1.007  1.077 1.003  1.259 1.003  1.439 1.039  1.617 1.080
2#apb#apb35#app3563/E  -0.445 1.327  -0.546 1.191  -0.579 1.025  -0.517 0.867  -0.425 0.725  -0.294 0.620  -0.141 0.570  0.029 0.570  0.198 0.570  0.353 0.628  0.503 0.706  0.668 0.745  0.811 0.830  0.947 0.927  0.839 0.965  0.679 0.909  0.522 0.846  0.365 0.782  0.215 0.706  0.077 0.607  -0.045 0.491  -0.141 0.355  -0.143 0.190  -0.016 0.094  0.146 0.087  0.311 0.117  0.474 0.147  0.633 0.198  0.622 0.287  0.472 0.207  0.319 0.136  0.174 0.048  0.033 -0.046  -0.095 -0.156  -0.223 -0.267  -0.347 -0.383  -0.470 -0.499  -0.560 -0.640  -0.633 -0.793  -0.705 -0.947  -0.776 -1.100  -0.769 -1.268  -0.712 -1.424  -0.604 -1.546  -0.452 -1.615  -0.283 -1.615  -0.115 -1.597  0.052 -1.570  0.216 -1.528  0.379 -1.480
2#apb#apb35#app3563/.  1.627 0.484  1.559 0.467  1.492 0.450  1.425 0.433  1.357 0.417  1.290 0.400  1.223 0.383  1.155 0.366  1.088 0.349  1.021 0.332  0.953 0.315  0.886 0.299  0.819 0.282  0.751 0.265  0.684 0.248  0.617 0.231  0.549 0.214  0.482 0.198  0.415 0.181  0.347 0.164  0.280 0.147  0.213 0.130  0.147 0.107  0.083 0.081  0.019 0.055  -0.046 0.029  -0.110 0.004  -0.175 -0.022  -0.239 -0.048  -0.304 -0.074  -0.368 -0.099  -0.433 -0.125  -0.497 -0.151  -0.561 -0.177  -0.626 -0.203  -0.690 -0.228  -0.755 -0.254  -0.819 -0.280  -0.884 -0.306  -0.948 -0.332  -1.013 -0.357  -1.077 -0.383  -1.141 -0.409  -1.206 -0.435  -1.270 -0.460  -1.335 -0.486  -1.399 -0.512  -1.464 -0.538  -1.528 -0.563  -1.593 -0.589
2#apb#apb35#app3563/5  0.036 0.954  -0.031 0.830  -0.116 0.669  -0.180 0.498  -0.248 0.328  -0.311 0.156  -0.408 0.002  -0.422 -0.073  -0.292 0.053  -0.142 0.158  0.020 0.231  0.202 0.238  0.378 0.211  0.541 0.128  0.698 0.034  0.813 -0.105  0.924 -0.251  0.973 -0.424  0.915 -0.597  0.818 -0.750  0.700 -0.889  0.571 -1.019  0.419 -1.116  0.255 -1.198  0.078 -1.243  -0.101 -1.279  -0.284 -1.289  -0.462 -1.257  -0.633 -1.194  -0.794 -1.108  -0.949 -1.009  -0.899 -0.848  -0.827 -0.679  -0.756 -0.511  -0.684 -0.343  -0.612 -0.174  -0.540 -0.006  -0.469 0.163  -0.397 0.331  -0.325 0.500  -0.254 0.668  -0.182 0.836  -0.110 1.005  -0.039 1.173  0.072 1.299  0.248 1.350  0.428 1.369  0.611 1.370  0.793 1.393  0.975 1.415
2#apb#apb35#app3563/2  -0.003 1.311  -0.127 1.231  -0.236 1.133  -0.350 1.153  -0.263 1.258  -0.124 1.306  0.023 1.311  0.169 1.295  0.313 1.264  0.452 1.213  0.582 1.143  0.679 1.036  0.755 0.911  0.791 0.768  0.798 0.623  0.781 0.476  0.736 0.337  0.682 0.199  0.613 0.071  0.518 -0.042  0.422 -0.154  0.316 -0.257  0.207 -0.356  0.098 -0.456  -0.024 -0.539  -0.149 -0.617  -0.275 -0.694  -0.407 -0.759  -0.542 -0.821  -0.678 -0.876  -0.824 -0.896  -0.970 -0.916  -1.114 -0.883  -1.213 -0.797  -1.136 -0.685  -1.006 -0.615  -0.869 -0.558  -0.732 -0.502  -0.592 -0.457  -0.450 -0.417  -0.307 -0.382  -0.161 -0.399  -0.014 -0.415  0.129 -0.446  0.268 -0.498  0.401 -0.559  0.529 -0.634  0.654 -0.713  0.775 -0.797  0.879 -0.902
