3#app#app06#app0679/a  0.512 0.784  0.493 0.784  0.314 0.784  0.169 0.704  0.023 0.623  -0.124 0.548  -0.235 0.410  -0.338 0.271  -0.487 0.171  -0.572 0.042  -0.710 -0.059  -0.803 -0.210  -0.900 -0.358  -0.952 -0.520  -1.022 -0.670  -1.092 -0.820  -1.169 -0.966  -1.169 -1.145  -1.143 -1.297  -0.964 -1.297  -0.849 -1.233  -0.734 -1.102  -0.608 -0.976  -0.529 -0.830  -0.412 -0.700  -0.316 -0.551  -0.207 -0.413  -0.126 -0.254  -0.049 -0.107  0.027 0.054  0.129 0.196  0.185 0.365  0.271 0.510  0.351 0.656  0.431 0.801  0.431 0.980  0.512 1.078  0.512 1.110  0.512 0.932  0.512 0.753  0.546 0.589  0.592 0.429  0.651 0.264  0.709 0.106  0.837 -0.017  1.013 -0.028  1.176 -0.097  1.355 -0.097  1.533 -0.097  1.712 -0.097
3#app#app06#app0679/l  -0.611 -1.325  -0.705 -1.380  -0.764 -1.422  -0.698 -1.300  -0.599 -1.190  -0.519 -1.066  -0.425 -0.952  -0.332 -0.841  -0.216 -0.752  -0.169 -0.611  -0.079 -0.492  0.014 -0.375  0.114 -0.265  0.192 -0.142  0.257 -0.011  0.348 0.103  0.397 0.245  0.459 0.380  0.507 0.521  0.574 0.655  0.641 0.789  0.671 0.931  0.700 1.076  0.727 1.222  0.727 1.372  0.671 1.465  0.576 1.519  0.449 1.463  0.343 1.358  0.238 1.253  0.166 1.122  0.096 0.991  0.013 0.867  -0.056 0.734  -0.119 0.599  -0.166 0.458  -0.249 0.333  -0.321 0.203  -0.388 0.069  -0.417 -0.077  -0.444 -0.224  -0.444 -0.373  -0.444 -0.523  -0.444 -0.672  -0.366 -0.789  -0.241 -0.868  -0.118 -0.934  0.017 -0.997  0.155 -1.046  0.281 -1.102
3#app#app06#app0679/m  -1.006 0.328  -0.842 0.460  -0.592 0.442  -0.477 0.270  -0.477 0.012  -0.520 -0.240  -0.586 -0.485  -0.676 -0.722  -0.758 -0.961  -0.874 -1.179  -0.953 -1.404  -1.073 -1.436  -1.073 -1.178  -0.974 -0.946  -0.849 -0.722  -0.751 -0.484  -0.660 -0.244  -0.528 -0.024  -0.447 0.221  -0.346 0.458  -0.203 0.668  -0.043 0.866  0.087 1.055  0.118 0.828  0.118 0.571  0.052 0.328  -0.004 0.084  -0.081 -0.156  -0.137 -0.391  -0.100 -0.598  0.072 -0.417  0.235 -0.217  0.356 0.010  0.493 0.218  0.652 0.405  0.752 0.642  0.856 0.877  0.971 1.108  1.110 1.324  1.110 1.283  1.067 1.035  1.003 0.787  0.938 0.538  0.845 0.300  0.797 0.050  0.713 -0.189  0.680 -0.433  0.647 -0.678  0.647 -0.936  0.713 -1.127
3#app#app06#app0679/n  -0.108 -0.234  -0.108 -0.401  -0.150 -0.551  -0.268 -0.669  -0.311 -0.822  -0.386 -0.971  -0.476 -1.100  -0.557 -1.234  -0.611 -1.379  -0.660 -1.331  -0.660 -1.164  -0.660 -0.996  -0.568 -0.867  -0.568 -0.700  -0.546 -0.537  -0.494 -0.378  -0.426 -0.226  -0.351 -0.076  -0.281 0.075  -0.228 0.234  -0.165 0.388  -0.090 0.538  -0.016 0.687  0.037 0.846  0.096 1.002  0.172 1.150  0.279 1.276  0.355 1.425  0.473 1.543  0.535 1.685  0.627 1.633  0.627 1.466  0.627 1.298  0.601 1.135  0.561 0.972  0.535 0.808  0.504 0.654  0.443 0.512  0.414 0.352  0.339 0.202  0.265 0.053  0.231 -0.106  0.167 -0.258  0.167 -0.425  0.167 -0.593  0.075 -0.668  0.075 -0.835  0.075 -1.002  0.075 -1.169  0.167 -1.244
3#app#app06#app0679/o  0.122 0.662  0.077 0.759  -0.039 0.694  -0.168 0.662  -0.200 0.533  -0.301 0.432  -0.387 0.321  -0.450 0.193  -0.547 0.090  -0.648 -0.011  -0.680 -0.140  -0.748 -0.254  -0.813 -0.370  -0.845 -0.499  -0.845 -0.642  -0.845 -0.784  -0.845 -0.926  -0.845 -1.069  -0.748 -1.115  -0.666 -1.175  -0.620 -1.272  -0.478 -1.272  -0.371 -1.185  -0.242 -1.153  -0.142 -1.052  -0.028 -0.982  0.065 -0.903  0.133 -0.778  0.233 -0.677  0.316 -0.569  0.366 -0.448  0.467 -0.347  0.509 -0.222  0.600 -0.117  0.606 0.023  0.665 0.141  0.703 0.268  0.763 0.396  0.799 0.530  0.799 0.672  0.799 0.815  0.799 0.957  0.749 1.049  0.703 1.145  0.658 1.243  0.542 1.307  0.413 1.339  0.271 1.339  0.219 1.248  0.122 1.146
3#app#app06#app0679/p  0.125 0.684  0.125 0.630  0.077 0.455  -0.008 0.300  -0.079 0.143  -0.141 -0.029  -0.210 -0.188  -0.269 -0.365  -0.291 -0.547  -0.375 -0.714  -0.407 -0.893  -0.448 -1.074  -0.530 -1.234  -0.540 -1.417  -0.606 -1.576  -0.606 -1.763  -0.587 -1.603  -0.565 -1.418  -0.544 -1.233  -0.522 -1.047  -0.501 -0.862  -0.480 -0.677  -0.458 -0.491  -0.437 -0.306  -0.415 -0.120  -0.386 0.061  -0.328 0.231  -0.274 0.396  -0.206 0.554  -0.112 0.714  0.020 0.845  0.118 1.002  0.265 1.090  0.397 1.222  0.559 1.282  0.745 1.282  0.929 1.276  1.063 1.150  1.122 1.022  1.122 0.835  1.003 0.698  0.871 0.566  0.718 0.459  0.556 0.368  0.456 0.217  0.306 0.110  0.145 0.039  0.033 -0.047  -0.154 -0.047  -0.274 0.019
3#app#app06#app0679/q  0.620 1.413  0.464 1.479  0.273 1.355  0.091 1.220  -0.082 1.072  -0.203 0.879  -0.349 0.704  -0.487 0.523  -0.609 0.343  -0.711 0.139  -0.826 -0.056  -0.899 -0.256  -0.808 -0.396  -0.659 -0.301  -0.475 -0.189  -0.394 -0.034  -0.250 0.105  -0.131 0.300  -0.010 0.493  0.138 0.666  0.259 0.855  0.385 1.033  0.403 0.992  0.312 0.796  0.209 0.590  0.087 0.395  -0.025 0.195  -0.099 -0.023  -0.201 -0.230  -0.287 -0.442  -0.360 -0.661  -0.450 -0.872  -0.488 -1.093  -0.537 -1.312  -0.609 -1.512  -0.565 -1.698  -0.380 -1.601  -0.252 -1.413  -0.121 -1.228  -0.011 -1.027  0.152 -0.864  0.284 -0.682  0.388 -0.483  0.551 -0.321  0.694 -0.141  0.856 0.011  1.030 0.158  1.193 0.321  1.403 0.400  1.489 0.400
3#app#app06#app0679/r  0.012 0.533  0.012 0.395  -0.054 0.285  -0.078 0.158  -0.078 0.021  -0.153 -0.086  -0.180 -0.214  -0.241 -0.336  -0.260 -0.469  -0.283 -0.601  -0.344 -0.724  -0.350 -0.860  -0.350 -0.997  -0.407 -1.121  -0.468 -1.244  -0.530 -1.367  -0.531 -1.504  -0.531 -1.461  -0.531 -1.324  -0.531 -1.186  -0.531 -1.049  -0.531 -0.912  -0.495 -0.790  -0.441 -0.675  -0.429 -0.542  -0.350 -0.438  -0.350 -0.300  -0.350 -0.163  -0.316 -0.034  -0.257 0.090  -0.224 0.223  -0.190 0.356  -0.134 0.477  -0.052 0.585  0.009 0.707  0.012 0.844  0.099 0.895  0.193 0.990  0.230 1.113  0.345 1.167  0.465 1.150  0.529 1.076  0.634 0.998  0.757 0.965  0.866 0.895  1.003 0.895  1.140 0.895  1.278 0.895  1.415 0.895  1.552 0.895
3#app#app06#app0679/s  1.099 0.846  1.175 0.922  1.204 1.017  1.133 1.055  1.026 1.055  0.918 1.055  0.811 1.055  0.703 1.055  0.596 1.055  0.498 1.015  0.402 0.967  0.306 0.919  0.210 0.871  0.108 0.846  0.016 0.807  -0.064 0.741  -0.166 0.729  -0.242 0.653  -0.318 0.577  -0.363 0.488  -0.363 0.380  -0.363 0.273  -0.363 0.165  -0.306 0.115  -0.258 0.055  -0.258 -0.053  -0.192 -0.094  -0.105 -0.143  -0.029 -0.219  0.047 -0.295  0.055 -0.399  0.154 -0.407  0.160 -0.510  0.160 -0.617  0.157 -0.723  0.081 -0.799  0.005 -0.875  -0.077 -0.943  -0.173 -0.991  -0.271 -1.034  -0.363 -1.050  -0.381 -1.138  -0.489 -1.138  -0.596 -1.138  -0.704 -1.138  -0.811 -1.138  -0.885 -1.104  -0.911 -1.008  -0.987 -0.932  -0.989 -0.825
3#app#app06#app0679/t  0.595 1.380  0.657 1.473  0.718 1.566  0.634 1.603  0.550 1.475  0.455 1.355  0.370 1.227  0.297 1.091  0.193 0.977  0.128 0.841  0.069 0.698  -0.006 0.563  -0.085 0.431  -0.157 0.294  -0.206 0.148  -0.273 0.009  -0.321 -0.138  -0.388 -0.277  -0.452 -0.417  -0.452 -0.571  -0.512 -0.712  -0.514 -0.866  -0.514 -1.021  -0.514 -1.175  -0.427 -1.294  -0.349 -1.392  -0.256 -1.453  -0.101 -1.453  0.053 -1.453  0.182 -1.392  0.273 -1.344  0.228 -1.196  0.183 -1.048  0.138 -0.901  0.094 -0.753  0.049 -0.605  0.004 -0.457  -0.041 -0.309  -0.086 -0.161  -0.131 -0.013  -0.175 0.135  -0.220 0.283  -0.265 0.431  -0.310 0.579  -0.239 0.641  -0.085 0.641  0.070 0.641  0.224 0.641  0.379 0.641  0.534 0.641
3#app#app06#app0679/u  0.044 1.141  -0.136 1.141  -0.197 1.007  -0.325 0.880  -0.452 0.753  -0.579 0.626  -0.603 0.455  -0.702 0.337  -0.841 0.234  -0.921 0.073  -0.953 -0.099  -1.034 -0.260  -1.085 -0.419  -1.141 -0.575  -1.141 -0.755  -1.141 -0.935  -1.141 -1.115  -0.968 -1.122  -0.788 -1.122  -0.638 -1.050  -0.511 -0.922  -0.352 -0.871  -0.225 -0.744  -0.125 -0.597  -0.033 -0.444  0.094 -0.317  0.221 -0.190  0.316 -0.039  0.425 0.093  0.585 0.175  0.665 0.336  0.701 0.505  0.817 0.641  0.898 0.802  0.944 0.964  1.014 1.115  0.906 1.032  0.854 0.873  0.753 0.727  0.662 0.574  0.583 0.427  0.560 0.256  0.475 0.112  0.475 -0.068  0.475 -0.248  0.583 -0.384  0.583 -0.563  0.696 -0.696  0.798 -0.834  0.906 -0.906
3#app#app06#app0679/v  -0.136 1.145  -0.174 1.243  -0.235 1.168  -0.235 1.031  -0.235 0.894  -0.299 0.784  -0.334 0.661  -0.334 0.524  -0.334 0.388  -0.337 0.252  -0.433 0.155  -0.433 0.018  -0.433 -0.119  -0.433 -0.256  -0.471 -0.377  -0.532 -0.488  -0.532 -0.625  -0.532 -0.762  -0.532 -0.899  -0.459 -1.005  -0.433 -1.132  -0.433 -1.268  -0.433 -1.405  -0.421 -1.514  -0.334 -1.413  -0.298 -1.291  -0.214 -1.185  -0.152 -1.063  -0.136 -0.930  -0.108 -0.805  -0.021 -0.701  0.040 -0.579  0.061 -0.447  0.074 -0.313  0.135 -0.191  0.218 -0.083  0.315 0.013  0.411 0.110  0.457 0.228  0.457 0.365  0.492 0.487  0.589 0.584  0.674 0.689  0.735 0.811  0.796 0.934  0.858 1.056  0.919 1.178  0.997 1.289  1.050 1.403  1.149 1.441
3#app#app06#app0679/w  -0.091 1.106  -0.003 1.229  -0.091 1.211  -0.227 1.058  -0.335 0.880  -0.429 0.693  -0.522 0.505  -0.616 0.318  -0.710 0.130  -0.804 -0.058  -0.877 -0.250  -0.913 -0.451  -0.995 -0.644  -1.052 -0.845  -1.052 -1.054  -1.044 -1.244  -0.895 -1.096  -0.747 -0.948  -0.615 -0.793  -0.518 -0.621  -0.424 -0.434  -0.330 -0.246  -0.219 -0.071  -0.141 0.117  -0.090 0.321  0.058 0.469  0.170 0.582  0.084 0.461  0.036 0.272  -0.003 0.078  -0.091 -0.096  -0.091 -0.305  -0.091 -0.515  -0.091 -0.725  0.055 -0.874  0.253 -0.903  0.426 -0.816  0.600 -0.728  0.715 -0.622  0.870 -0.528  0.870 -0.318  0.958 -0.145  0.958 0.065  1.045 0.239  1.064 0.444  1.133 0.638  1.133 0.847  1.150 1.053  1.220 1.246  1.307 1.369
3#app#app06#app0679/x  0.423 1.529  0.348 1.616  0.249 1.502  0.249 1.340  0.249 1.177  0.249 1.015  0.249 0.853  0.249 0.691  0.249 0.529  0.249 0.366  0.249 0.204  0.249 0.042  0.249 -0.120  0.249 -0.282  0.249 -0.445  0.249 -0.607  0.336 -0.682  0.357 -0.823  0.414 -0.910  0.252 -0.919  0.090 -0.928  -0.072 -0.937  -0.234 -0.946  -0.396 -0.955  -0.558 -0.964  -0.720 -0.973  -0.882 -0.982  -1.044 -0.991  -1.206 -0.997  -1.232 -0.861  -1.144 -0.735  -1.030 -0.620  -0.936 -0.491  -0.842 -0.367  -0.700 -0.290  -0.585 -0.176  -0.453 -0.085  -0.312 -0.006  -0.177 0.084  -0.038 0.166  0.108 0.239  0.251 0.314  0.323 0.459  0.470 0.484  0.619 0.538  0.747 0.634  0.886 0.715  1.013 0.813  1.154 0.866  1.294 0.919
3#app#app06#app0679/y  0.367 1.084  0.292 1.146  0.217 1.058  0.178 0.934  0.106 0.823  0.044 0.686  -0.018 0.549  -0.083 0.413  -0.083 0.251  -0.061 0.110  0.102 0.110  0.229 0.197  0.365 0.260  0.428 0.396  0.506 0.537  0.592 0.666  0.666 0.798  0.738 0.931  0.816 1.017  0.891 1.063  0.891 0.900  0.891 0.738  0.831 0.589  0.778 0.446  0.741 0.298  0.666 0.167  0.645 0.013  0.552 -0.118  0.512 -0.271  0.422 -0.406  0.310 -0.518  0.176 -0.605  0.091 -0.742  -0.031 -0.838  -0.157 -0.938  -0.302 -1.011  -0.418 -1.125  -0.565 -1.164  -0.697 -1.239  -0.859 -1.239  -0.991 -1.164  -1.072 -1.073  -1.134 -0.936  -1.207 -0.804  -1.207 -0.641  -1.146 -0.504  -1.132 -0.347  -1.057 -0.259  -0.991 -0.124  -0.832 -0.115
3#app#app06#app0679/z  0.039 1.110  0.039 1.251  0.039 1.393  0.156 1.417  0.297 1.417  0.430 1.404  0.494 1.277  0.577 1.214  0.658 1.106  0.731 0.995  0.731 0.853  0.667 0.738  0.567 0.638  0.467 0.538  0.367 0.438  0.246 0.367  0.111 0.338  -0.016 0.275  -0.143 0.235  -0.264 0.186  -0.346 0.126  -0.470 0.109  -0.398 0.084  -0.278 0.032  -0.136 0.032  0.005 0.032  0.147 0.032  0.288 0.032  0.353 -0.045  0.494 -0.045  0.500 -0.180  0.500 -0.322  0.476 -0.453  0.423 -0.573  0.331 -0.676  0.270 -0.792  0.193 -0.857  0.117 -0.967  -0.018 -0.996  -0.148 -1.045  -0.284 -1.059  -0.399 -1.122  -0.541 -1.122  -0.683 -1.122  -0.824 -1.122  -0.966 -1.122  -1.107 -1.122  -1.232 -1.082  -1.269 -0.956  -1.192 -0.891
