3#apb#apb41#app4137/A  -0.038 0.852  0.090 1.073  0.152 1.163  0.080 0.916  -0.013 0.677  -0.109 0.439  -0.204 0.200  -0.298 -0.039  -0.391 -0.279  -0.488 -0.517  -0.584 -0.755  -0.685 -0.991  -0.790 -1.226  -0.783 -1.178  -0.705 -0.933  -0.627 -0.688  -0.551 -0.443  -0.476 -0.197  -0.402 0.049  -0.323 0.294  -0.243 0.538  -0.161 0.782  -0.074 1.023  0.014 1.265  0.132 1.492  0.265 1.712  0.447 1.702  0.530 1.462  0.579 1.212  0.591 0.955  0.601 0.698  0.559 0.445  0.517 0.191  0.476 -0.063  0.428 -0.315  0.380 -0.567  0.331 -0.820  0.306 -1.075  0.286 -1.331  0.304 -1.587  0.385 -1.556  0.434 -1.304  0.453 -1.048  0.400 -0.798  0.311 -0.559  0.190 -0.332  0.014 -0.149  -0.210 -0.044  -0.450 -0.095  -0.650 -0.254
3#apb#apb41#app4137/P  -0.273 0.199  -0.273 0.383  -0.210 0.561  -0.196 0.500  -0.220 0.314  -0.258 0.129  -0.296 -0.055  -0.325 -0.241  -0.354 -0.427  -0.383 -0.613  -0.414 -0.799  -0.445 -0.985  -0.474 -1.171  -0.499 -1.357  -0.520 -1.544  -0.561 -1.561  -0.616 -1.380  -0.673 -1.201  -0.696 -1.015  -0.715 -0.827  -0.702 -0.640  -0.687 -0.452  -0.656 -0.267  -0.606 -0.086  -0.555 0.096  -0.487 0.270  -0.395 0.434  -0.302 0.598  -0.199 0.754  -0.066 0.887  0.067 1.020  0.212 1.138  0.375 1.233  0.541 1.319  0.726 1.350  0.899 1.290  0.992 1.126  1.037 0.944  1.071 0.759  1.084 0.571  1.093 0.384  1.062 0.198  1.008 0.019  0.925 -0.149  0.784 -0.272  0.603 -0.326  0.419 -0.332  0.232 -0.311  0.048 -0.272  -0.121 -0.194
3#apb#apb41#app4137/a  0.327 0.334  0.366 0.527  0.356 0.724  0.245 0.854  0.054 0.888  -0.139 0.871  -0.312 0.776  -0.485 0.681  -0.620 0.538  -0.750 0.389  -0.880 0.241  -0.996 0.081  -1.106 -0.083  -1.209 -0.251  -1.279 -0.436  -1.350 -0.620  -1.332 -0.815  -1.244 -0.966  -1.065 -1.049  -0.873 -1.009  -0.680 -0.965  -0.503 -0.882  -0.332 -0.783  -0.161 -0.683  -0.036 -0.532  0.086 -0.376  0.208 -0.221  0.314 -0.054  0.420 0.112  0.503 0.289  0.549 0.481  0.578 0.674  0.548 0.869  0.515 1.064  0.468 1.256  0.386 1.136  0.386 0.938  0.386 0.741  0.404 0.544  0.431 0.349  0.458 0.153  0.485 -0.043  0.512 -0.239  0.539 -0.434  0.620 -0.612  0.717 -0.784  0.873 -0.903  1.050 -0.983  1.235 -0.974  1.336 -0.814
3#apb#apb41#app4137/r  -0.678 0.074  -0.619 0.142  -0.544 0.093  -0.504 -0.007  -0.472 -0.108  -0.466 -0.216  -0.460 -0.324  -0.455 -0.431  -0.453 -0.538  -0.469 -0.645  -0.485 -0.752  -0.501 -0.858  -0.517 -0.965  -0.534 -1.071  -0.552 -1.177  -0.564 -1.284  -0.547 -1.288  -0.514 -1.186  -0.483 -1.083  -0.453 -0.979  -0.422 -0.876  -0.388 -0.774  -0.348 -0.674  -0.308 -0.574  -0.268 -0.474  -0.228 -0.374  -0.181 -0.277  -0.133 -0.181  -0.085 -0.084  -0.037 0.012  0.012 0.108  0.067 0.201  0.126 0.291  0.184 0.381  0.243 0.471  0.302 0.562  0.361 0.652  0.428 0.736  0.496 0.819  0.565 0.902  0.633 0.986  0.704 1.067  0.784 1.139  0.864 1.211  0.946 1.281  1.030 1.349  1.123 1.296  1.207 1.232  1.267 1.143  1.327 1.053
3#apb#apb41#app4137/i  -0.121 0.709  -0.088 0.785  -0.054 0.860  -0.021 0.936  0.013 1.011  0.050 1.085  0.091 1.157  0.132 1.228  0.173 1.300  0.242 1.322  0.303 1.298  0.312 1.216  0.321 1.134  0.330 1.052  0.337 0.970  0.316 0.891  0.295 0.811  0.274 0.731  0.253 0.651  0.233 0.571  0.212 0.491  0.191 0.411  0.170 0.331  0.149 0.252  0.128 0.172  0.107 0.092  0.081 0.014  0.055 -0.065  0.029 -0.143  0.003 -0.221  -0.023 -0.300  -0.049 -0.378  -0.075 -0.456  -0.102 -0.534  -0.128 -0.613  -0.154 -0.691  -0.176 -0.771  -0.197 -0.850  -0.218 -0.930  -0.239 -1.010  -0.260 -1.090  -0.281 -1.170  -0.302 -1.249  -0.323 -1.329  -0.344 -1.409  -0.346 -1.490  -0.337 -1.573  -0.329 -1.655  -0.321 -1.737  -0.313 -1.819
3#apb#apb41#app4137/s  0.735 0.909  0.824 1.017  0.874 1.069  0.740 1.080  0.601 1.072  0.462 1.053  0.325 1.032  0.188 1.004  0.051 0.977  -0.086 0.950  -0.223 0.922  -0.359 0.890  -0.493 0.853  -0.628 0.816  -0.758 0.767  -0.880 0.700  -0.956 0.602  -0.948 0.471  -0.855 0.367  -0.750 0.277  -0.628 0.210  -0.506 0.142  -0.376 0.093  -0.241 0.057  -0.107 0.020  0.028 -0.016  0.165 -0.041  0.303 -0.066  0.440 -0.091  0.570 -0.142  0.699 -0.196  0.812 -0.271  0.904 -0.376  0.885 -0.514  0.861 -0.650  0.770 -0.756  0.680 -0.863  0.559 -0.927  0.429 -0.977  0.298 -1.025  0.163 -1.059  0.028 -1.093  -0.108 -1.127  -0.246 -1.120  -0.384 -1.103  -0.523 -1.086  -0.659 -1.057  -0.793 -1.019  -0.901 -0.941  -0.987 -0.831
3#apb#apb41#app4137/F  -0.281 0.713  -0.174 0.949  -0.125 0.816  -0.175 0.558  -0.202 0.296  -0.239 0.035  -0.286 -0.224  -0.330 -0.484  -0.372 -0.743  -0.414 -1.004  -0.454 -1.264  -0.486 -1.525  -0.474 -1.784  -0.300 -1.806  -0.233 -1.553  -0.237 -1.293  -0.296 -1.037  -0.348 -0.779  -0.391 -0.519  -0.433 -0.259  -0.476 0.001  -0.518 0.261  -0.561 0.521  -0.719 0.645  -0.702 0.672  -0.443 0.718  -0.186 0.775  0.065 0.854  0.316 0.932  0.567 1.012  0.818 1.094  1.066 1.181  1.312 1.275  1.282 1.184  1.102 0.993  0.916 0.806  0.730 0.620  0.544 0.433  0.358 0.247  0.172 0.061  -0.015 -0.125  -0.201 -0.312  -0.387 -0.498  -0.561 -0.591  -0.303 -0.578  -0.059 -0.482  0.180 -0.372  0.416 -0.255  0.647 -0.129  0.891 -0.037
3#apb#apb41#app4137/t  0.549 1.817  0.561 1.975  0.483 1.954  0.420 1.808  0.362 1.659  0.318 1.506  0.276 1.352  0.238 1.197  0.203 1.041  0.169 0.885  0.135 0.729  0.102 0.573  0.069 0.416  0.042 0.259  0.029 0.100  0.017 -0.059  0.004 -0.218  -0.003 -0.378  -0.003 -0.538  -0.003 -0.697  -0.001 -0.857  0.018 -1.015  0.038 -1.174  0.061 -1.332  0.103 -1.483  0.165 -1.472  0.173 -1.312  0.162 -1.153  0.117 -1.001  0.066 -0.849  0.025 -0.695  -0.087 -0.597  -0.228 -0.523  -0.370 -0.449  -0.511 -0.374  -0.652 -0.300  -0.794 -0.225  -0.934 -0.177  -0.967 -0.212  -0.808 -0.203  -0.652 -0.169  -0.496 -0.134  -0.341 -0.098  -0.186 -0.059  -0.031 -0.020  0.123 0.021  0.277 0.065  0.431 0.108  0.586 0.146  0.744 0.161
3#apb#apb41#app4137/.  -0.533 0.351  -0.533 0.440  -0.533 0.528  -0.533 0.617  -0.533 0.705  -0.533 0.793  -0.533 0.882  -0.533 0.970  -0.533 1.059  -0.533 1.147  -0.533 1.236  -0.533 1.174  -0.533 1.085  -0.533 0.997  -0.533 0.908  -0.533 0.820  -0.533 0.731  -0.533 0.643  -0.533 0.554  -0.533 0.466  -0.533 0.377  -0.489 0.307  -0.427 0.245  -0.364 0.182  -0.302 0.120  -0.239 0.057  -0.177 -0.005  -0.114 -0.068  -0.052 -0.131  0.011 -0.193  0.074 -0.256  0.136 -0.318  0.199 -0.381  0.261 -0.443  0.324 -0.506  0.386 -0.568  0.449 -0.631  0.511 -0.694  0.574 -0.756  0.636 -0.819  0.699 -0.881  0.762 -0.944  0.824 -1.006  0.887 -1.069  0.949 -1.131  1.012 -1.194  1.074 -1.256  1.137 -1.319  1.199 -1.381  1.262 -1.444
3#apb#apb41#app4137/L  -0.180 1.175  -0.124 1.247  -0.065 1.316  -0.001 1.381  0.064 1.445  0.136 1.501  0.148 1.480  0.110 1.397  0.074 1.313  0.038 1.230  0.002 1.146  -0.033 1.062  -0.062 0.975  -0.089 0.888  -0.105 0.798  -0.120 0.708  -0.133 0.618  -0.144 0.527  -0.155 0.436  -0.166 0.346  -0.179 0.256  -0.193 0.165  -0.207 0.075  -0.221 -0.015  -0.241 -0.104  -0.261 -0.193  -0.281 -0.282  -0.300 -0.371  -0.312 -0.462  -0.324 -0.552  -0.336 -0.643  -0.345 -0.734  -0.350 -0.825  -0.352 -0.916  -0.334 -1.005  -0.278 -1.071  -0.189 -1.087  -0.100 -1.068  -0.011 -1.048  0.078 -1.028  0.167 -1.007  0.256 -0.986  0.345 -0.967  0.434 -0.959  0.522 -0.983  0.612 -0.993  0.700 -1.007  0.784 -1.044  0.863 -1.088  0.857 -1.047
3#apb#apb41#app4137/a  0.242 0.386  0.405 0.442  0.452 0.625  0.412 0.808  0.280 0.953  0.105 1.033  -0.083 1.076  -0.271 1.019  -0.449 0.939  -0.619 0.839  -0.783 0.732  -0.922 0.593  -1.061 0.454  -1.180 0.299  -1.278 0.129  -1.377 -0.042  -1.407 -0.235  -1.430 -0.430  -1.324 -0.596  -1.179 -0.710  -0.990 -0.766  -0.802 -0.822  -0.612 -0.771  -0.422 -0.720  -0.232 -0.669  -0.058 -0.579  0.113 -0.481  0.284 -0.384  0.419 -0.241  0.553 -0.097  0.658 0.068  0.751 0.241  0.754 0.437  0.719 0.627  0.637 0.806  0.522 0.778  0.464 0.590  0.432 0.397  0.406 0.202  0.382 0.006  0.382 -0.190  0.382 -0.387  0.405 -0.580  0.475 -0.763  0.593 -0.917  0.757 -1.013  0.946 -0.997  1.087 -0.867  1.194 -0.703  1.265 -0.520
3#apb#apb41#app4137/u  -0.786 0.442  -0.848 0.419  -0.896 0.329  -0.934 0.234  -0.972 0.139  -0.991 0.038  -1.010 -0.063  -1.029 -0.164  -1.035 -0.265  -1.012 -0.365  -0.989 -0.465  -0.958 -0.561  -0.905 -0.649  -0.852 -0.737  -0.776 -0.801  -0.686 -0.850  -0.595 -0.899  -0.497 -0.894  -0.396 -0.874  -0.296 -0.853  -0.198 -0.825  -0.106 -0.779  -0.014 -0.733  0.077 -0.688  0.169 -0.642  0.257 -0.591  0.335 -0.524  0.413 -0.456  0.490 -0.389  0.568 -0.322  0.624 -0.238  0.672 -0.147  0.720 -0.056  0.768 0.035  0.802 0.129  0.813 0.231  0.824 0.333  0.834 0.436  0.844 0.537  0.814 0.636  0.785 0.734  0.755 0.832  0.726 0.931  0.694 1.028  0.658 1.124  0.621 1.220  0.588 1.316  0.605 1.331  0.644 1.236  0.682 1.140
3#apb#apb41#app4137/r  -0.764 0.183  -0.764 0.154  -0.764 0.042  -0.764 -0.070  -0.760 -0.181  -0.753 -0.293  -0.747 -0.404  -0.740 -0.515  -0.727 -0.626  -0.714 -0.737  -0.701 -0.848  -0.675 -0.955  -0.621 -1.052  -0.567 -1.150  -0.517 -1.250  -0.454 -1.245  -0.430 -1.136  -0.409 -1.026  -0.384 -0.917  -0.359 -0.809  -0.334 -0.700  -0.309 -0.591  -0.283 -0.483  -0.258 -0.374  -0.231 -0.266  -0.192 -0.161  -0.154 -0.056  -0.115 0.048  -0.077 0.153  -0.030 0.254  0.020 0.354  0.070 0.454  0.120 0.554  0.181 0.646  0.260 0.725  0.338 0.804  0.417 0.883  0.504 0.952  0.601 1.006  0.701 1.053  0.812 1.066  0.919 1.055  1.022 1.011  1.100 0.934  1.173 0.849  1.207 0.745  1.232 0.636  1.257 0.528  1.306 0.427  1.355 0.327
3#apb#apb41#app4137/e  -0.684 -0.072  -0.811 0.013  -0.702 -0.053  -0.541 -0.075  -0.380 -0.091  -0.218 -0.095  -0.057 -0.082  0.102 -0.061  0.247 0.012  0.392 0.085  0.537 0.157  0.668 0.246  0.758 0.381  0.822 0.525  0.842 0.686  0.753 0.820  0.660 0.953  0.533 1.052  0.400 1.144  0.264 1.229  0.102 1.229  -0.056 1.216  -0.196 1.134  -0.336 1.052  -0.448 0.937  -0.549 0.811  -0.650 0.684  -0.732 0.547  -0.784 0.393  -0.835 0.239  -0.883 0.085  -0.894 -0.077  -0.905 -0.239  -0.875 -0.392  -0.798 -0.535  -0.721 -0.677  -0.586 -0.761  -0.443 -0.838  -0.300 -0.914  -0.141 -0.940  0.020 -0.962  0.180 -0.984  0.341 -1.005  0.503 -1.005  0.666 -1.005  0.828 -1.005  0.988 -0.987  1.147 -0.956  1.306 -0.924  1.465 -0.892
3#apb#apb41#app4137/d  -0.339 -0.605  -0.223 -0.446  -0.129 -0.273  -0.187 -0.112  -0.376 -0.066  -0.571 -0.070  -0.762 -0.112  -0.943 -0.189  -1.096 -0.314  -1.212 -0.470  -1.275 -0.650  -1.225 -0.815  -1.044 -0.884  -0.847 -0.877  -0.653 -0.848  -0.465 -0.788  -0.287 -0.709  -0.122 -0.601  0.035 -0.483  0.171 -0.340  0.301 -0.192  0.423 -0.037  0.495 0.144  0.546 0.334  0.563 0.530  0.579 0.727  0.594 0.923  0.602 1.120  0.609 1.317  0.616 1.514  0.624 1.711  0.599 1.705  0.515 1.527  0.421 1.354  0.340 1.174  0.263 0.993  0.203 0.805  0.146 0.616  0.120 0.422  0.107 0.225  0.109 0.028  0.121 -0.168  0.140 -0.365  0.171 -0.559  0.210 -0.752  0.275 -0.938  0.343 -1.123  0.449 -1.273  0.562 -1.145  0.503 -0.966
3#apb#apb41#app4137/a  0.550 0.293  0.543 0.466  0.496 0.634  0.411 0.779  0.279 0.891  0.124 0.961  -0.050 0.948  -0.222 0.925  -0.381 0.854  -0.540 0.782  -0.698 0.708  -0.833 0.597  -0.967 0.487  -1.102 0.376  -1.198 0.230  -1.290 0.083  -1.367 -0.071  -1.393 -0.244  -1.376 -0.408  -1.287 -0.557  -1.139 -0.626  -0.969 -0.663  -0.797 -0.656  -0.625 -0.629  -0.452 -0.602  -0.295 -0.527  -0.139 -0.449  0.014 -0.367  0.138 -0.244  0.261 -0.121  0.364 0.020  0.463 0.164  0.522 0.324  0.548 0.496  0.530 0.669  0.476 0.697  0.476 0.522  0.479 0.348  0.488 0.174  0.496 -0.001  0.524 -0.171  0.582 -0.335  0.640 -0.500  0.719 -0.655  0.802 -0.809  0.927 -0.926  1.077 -1.003  1.251 -1.020  1.421 -0.994  1.518 -0.849
3#apb#apb41#app4137/l  -0.011 1.012  -0.045 1.080  -0.058 1.155  -0.066 1.230  -0.064 1.305  -0.036 1.375  0.013 1.424  0.065 1.374  0.080 1.300  0.096 1.226  0.112 1.152  0.117 1.077  0.120 1.001  0.123 0.925  0.126 0.850  0.128 0.774  0.131 0.698  0.132 0.623  0.128 0.547  0.124 0.471  0.120 0.396  0.116 0.320  0.112 0.245  0.108 0.169  0.104 0.093  0.100 0.018  0.092 -0.057  0.078 -0.132  0.063 -0.206  0.048 -0.280  0.033 -0.354  0.018 -0.429  0.003 -0.503  -0.012 -0.577  -0.026 -0.651  -0.041 -0.726  -0.058 -0.799  -0.077 -0.873  -0.097 -0.946  -0.116 -1.019  -0.135 -1.093  -0.154 -1.166  -0.173 -1.239  -0.179 -1.315  -0.184 -1.390  -0.189 -1.466  -0.192 -1.541  -0.192 -1.617  -0.192 -1.693  -0.192 -1.768
3#apb#apb41#app4137/e  -1.197 0.142  -1.055 0.119  -0.912 0.076  -0.755 0.062  -0.601 0.028  -0.448 0.032  -0.298 0.082  -0.148 0.132  0.001 0.184  0.150 0.237  0.296 0.296  0.435 0.371  0.568 0.454  0.679 0.566  0.725 0.714  0.699 0.861  0.628 1.002  0.500 1.095  0.368 1.175  0.211 1.164  0.058 1.139  -0.068 1.044  -0.194 0.949  -0.312 0.844  -0.414 0.724  -0.516 0.604  -0.619 0.483  -0.696 0.347  -0.764 0.204  -0.832 0.061  -0.863 -0.089  -0.854 -0.246  -0.846 -0.404  -0.745 -0.517  -0.626 -0.620  -0.504 -0.720  -0.356 -0.776  -0.208 -0.831  -0.060 -0.887  0.092 -0.926  0.248 -0.950  0.404 -0.974  0.560 -0.998  0.717 -0.982  0.873 -0.958  1.029 -0.934  1.184 -0.907  1.337 -0.865  1.489 -0.824  1.642 -0.782
3#apb#apb41#app4137/M  -0.850 0.553  -0.680 0.753  -0.567 0.798  -0.647 0.547  -0.727 0.297  -0.806 0.046  -0.890 -0.204  -0.958 -0.458  -1.022 -0.713  -1.085 -0.969  -1.077 -1.221  -0.919 -1.038  -0.805 -0.801  -0.714 -0.554  -0.639 -0.302  -0.568 -0.048  -0.505 0.207  -0.422 0.456  -0.313 0.696  -0.187 0.927  -0.005 1.103  0.102 0.899  0.105 0.637  0.077 0.376  0.035 0.116  -0.009 -0.144  -0.055 -0.403  -0.105 -0.661  -0.156 -0.920  -0.187 -1.181  -0.075 -1.163  0.062 -0.938  0.181 -0.704  0.269 -0.456  0.352 -0.207  0.433 0.044  0.522 0.292  0.610 0.540  0.712 0.782  0.826 1.018  0.991 1.223  1.147 1.120  1.165 0.857  1.132 0.596  1.105 0.335  1.080 0.072  1.039 -0.187  0.993 -0.446  0.993 -0.710  1.040 -0.862
