3#apb#apb05#app0561/9  0.595 0.335  0.683 0.490  0.760 0.651  0.823 0.818  0.864 0.993  0.843 1.167  0.713 1.281  0.536 1.277  0.359 1.256  0.199 1.172  0.040 1.088  -0.114 0.997  -0.265 0.899  -0.416 0.801  -0.554 0.686  -0.685 0.564  -0.805 0.433  -0.878 0.269  -0.951 0.104  -0.975 -0.073  -0.978 -0.251  -0.921 -0.421  -0.797 -0.527  -0.629 -0.592  -0.453 -0.561  -0.277 -0.524  -0.111 -0.459  0.048 -0.376  0.207 -0.292  0.343 -0.174  0.478 -0.056  0.598 0.077  0.708 0.220  0.804 0.371  0.750 0.388  0.627 0.260  0.515 0.119  0.404 -0.022  0.304 -0.172  0.207 -0.323  0.110 -0.475  0.014 -0.627  -0.074 -0.784  -0.163 -0.940  -0.251 -1.097  -0.328 -1.259  -0.405 -1.422  -0.469 -1.590  -0.518 -1.763  -0.510 -1.939
3#apb#apb05#app0561/R  -0.419 0.551  -0.373 0.786  -0.316 0.976  -0.354 0.742  -0.440 0.518  -0.521 0.292  -0.602 0.066  -0.685 -0.160  -0.768 -0.385  -0.874 -0.600  -0.990 -0.810  -1.115 -1.015  -1.239 -1.219  -1.176 -1.036  -1.052 -0.831  -0.930 -0.624  -0.812 -0.415  -0.681 -0.214  -0.544 -0.017  -0.395 0.171  -0.232 0.348  -0.069 0.524  0.112 0.681  0.295 0.837  0.492 0.971  0.709 1.075  0.932 1.160  1.164 1.212  1.375 1.099  1.420 0.863  1.368 0.632  1.297 0.403  1.155 0.211  1.002 0.026  0.820 -0.131  0.638 -0.288  0.435 -0.417  0.228 -0.534  -0.007 -0.586  -0.243 -0.560  -0.376 -0.400  -0.309 -0.177  -0.153 0.001  0.056 0.099  0.223 -0.062  0.294 -0.288  0.325 -0.526  0.360 -0.763  0.423 -0.995  0.555 -1.192
3#apb#apb05#app0561/e  -0.792 0.277  -0.840 0.164  -0.799 0.005  -0.706 -0.133  -0.588 -0.244  -0.443 -0.325  -0.280 -0.340  -0.113 -0.340  0.050 -0.313  0.210 -0.266  0.370 -0.219  0.519 -0.147  0.664 -0.065  0.809 0.017  0.929 0.131  1.040 0.255  1.133 0.392  1.214 0.538  1.198 0.702  1.110 0.833  0.987 0.945  0.853 1.036  0.690 1.068  0.526 1.101  0.361 1.093  0.196 1.074  0.030 1.056  -0.113 0.973  -0.253 0.883  -0.393 0.792  -0.509 0.676  -0.612 0.545  -0.715 0.414  -0.781 0.263  -0.837 0.105  -0.892 -0.052  -0.890 -0.217  -0.880 -0.383  -0.843 -0.540  -0.743 -0.673  -0.643 -0.806  -0.539 -0.935  -0.387 -1.003  -0.235 -1.072  -0.084 -1.141  0.071 -1.199  0.237 -1.212  0.403 -1.225  0.569 -1.238  0.736 -1.251
3#apb#apb05#app0561/a  0.864 0.480  0.946 0.632  1.025 0.784  1.025 0.957  0.949 1.107  0.801 1.163  0.628 1.176  0.469 1.129  0.316 1.048  0.163 0.968  0.014 0.880  -0.123 0.775  -0.261 0.670  -0.399 0.566  -0.535 0.459  -0.663 0.343  -0.792 0.228  -0.921 0.113  -1.042 -0.009  -1.134 -0.156  -1.226 -0.302  -1.301 -0.455  -1.332 -0.625  -1.318 -0.792  -1.203 -0.895  -1.038 -0.944  -0.867 -0.924  -0.696 -0.897  -0.526 -0.870  -0.368 -0.800  -0.212 -0.726  -0.056 -0.652  0.082 -0.550  0.208 -0.432  0.335 -0.314  0.457 -0.192  0.574 -0.065  0.692 0.062  0.782 0.208  0.859 0.363  0.795 0.330  0.672 0.208  0.584 0.063  0.520 -0.097  0.455 -0.258  0.393 -0.419  0.331 -0.581  0.325 -0.752  0.345 -0.921  0.405 -1.083
3#apb#apb05#app0561/l  0.654 1.472  0.715 1.464  0.706 1.395  0.698 1.325  0.670 1.262  0.637 1.201  0.604 1.139  0.570 1.078  0.537 1.017  0.503 0.955  0.470 0.894  0.435 0.834  0.397 0.775  0.360 0.716  0.323 0.657  0.285 0.598  0.248 0.539  0.211 0.480  0.173 0.421  0.136 0.362  0.098 0.302  0.061 0.243  0.029 0.181  -0.002 0.119  -0.033 0.056  -0.064 -0.006  -0.096 -0.069  -0.127 -0.131  -0.158 -0.194  -0.189 -0.256  -0.221 -0.319  -0.251 -0.381  -0.275 -0.447  -0.298 -0.513  -0.322 -0.579  -0.345 -0.644  -0.369 -0.710  -0.392 -0.776  -0.416 -0.842  -0.439 -0.908  -0.463 -0.973  -0.486 -1.039  -0.509 -1.105  -0.533 -1.171  -0.556 -1.237  -0.579 -1.303  -0.598 -1.370  -0.617 -1.437  -0.601 -1.504  -0.579 -1.570
3#apb#apb05#app0561/1  0.613 1.560  0.565 1.525  0.534 1.463  0.502 1.400  0.471 1.338  0.440 1.276  0.409 1.213  0.378 1.151  0.360 1.084  0.348 1.015  0.335 0.947  0.323 0.878  0.310 0.809  0.298 0.741  0.285 0.672  0.273 0.604  0.260 0.535  0.248 0.466  0.223 0.401  0.199 0.336  0.174 0.271  0.149 0.205  0.124 0.140  0.099 0.075  0.074 0.010  0.050 -0.055  0.025 -0.120  -0.001 -0.185  -0.031 -0.248  -0.060 -0.311  -0.090 -0.375  -0.120 -0.438  -0.150 -0.501  -0.180 -0.564  -0.210 -0.627  -0.240 -0.690  -0.270 -0.753  -0.306 -0.812  -0.342 -0.872  -0.379 -0.931  -0.415 -0.991  -0.452 -1.050  -0.489 -1.109  -0.525 -1.169  -0.559 -1.230  -0.594 -1.290  -0.628 -1.351  -0.653 -1.416  -0.675 -1.482  -0.698 -1.548
3#apb#apb05#app0561/2  0.329 1.203  0.202 1.076  0.075 0.948  -0.063 0.833  -0.207 0.727  -0.354 0.624  -0.510 0.533  -0.650 0.421  -0.656 0.526  -0.534 0.658  -0.404 0.781  -0.256 0.882  -0.107 0.984  0.050 1.071  0.208 1.158  0.378 1.207  0.555 1.236  0.729 1.193  0.832 1.057  0.853 0.888  0.822 0.711  0.780 0.538  0.693 0.381  0.606 0.223  0.519 0.066  0.419 -0.083  0.317 -0.231  0.215 -0.379  0.109 -0.525  -0.002 -0.666  -0.114 -0.807  -0.232 -0.942  -0.366 -1.062  -0.500 -1.182  -0.637 -1.297  -0.788 -1.377  -0.894 -1.271  -0.866 -1.095  -0.790 -0.932  -0.687 -0.788  -0.560 -0.661  -0.409 -0.568  -0.246 -0.493  -0.066 -0.480  0.107 -0.512  0.258 -0.602  0.369 -0.740  0.442 -0.904  0.504 -1.073  0.527 -1.251
3#apb#apb05#app0561/3  -0.694 1.014  -0.601 1.137  -0.476 1.221  -0.334 1.275  -0.182 1.297  -0.029 1.297  0.124 1.278  0.259 1.220  0.374 1.118  0.413 0.971  0.422 0.824  0.350 0.688  0.278 0.552  0.186 0.432  0.073 0.327  -0.039 0.222  -0.171 0.145  -0.310 0.079  -0.449 0.015  -0.597 -0.027  -0.746 -0.054  -0.837 0.028  -0.717 0.125  -0.584 0.198  -0.438 0.246  -0.292 0.293  -0.139 0.315  0.013 0.336  0.163 0.331  0.309 0.283  0.455 0.234  0.565 0.127  0.673 0.018  0.734 -0.117  0.767 -0.267  0.781 -0.418  0.748 -0.568  0.714 -0.718  0.619 -0.838  0.520 -0.956  0.422 -1.074  0.295 -1.161  0.168 -1.248  0.040 -1.333  -0.103 -1.391  -0.245 -1.448  -0.391 -1.492  -0.544 -1.510  -0.697 -1.523  -0.850 -1.506
3#apb#apb05#app0561/4  -0.653 0.867  -0.703 0.710  -0.773 0.560  -0.845 0.411  -0.932 0.271  -1.018 0.131  -1.110 -0.007  -1.213 -0.136  -1.314 -0.266  -1.392 -0.412  -1.459 -0.562  -1.362 -0.636  -1.198 -0.658  -1.035 -0.648  -0.871 -0.629  -0.707 -0.609  -0.542 -0.602  -0.377 -0.596  -0.212 -0.589  -0.047 -0.576  0.117 -0.561  0.282 -0.551  0.447 -0.551  0.612 -0.551  0.777 -0.551  0.881 -0.486  0.891 -0.321  0.901 -0.156  0.912 0.009  0.922 0.173  0.933 0.338  0.943 0.503  0.953 0.668  0.964 0.833  0.974 0.997  0.985 1.162  0.930 1.133  0.838 0.996  0.745 0.859  0.652 0.723  0.559 0.586  0.477 0.443  0.395 0.300  0.313 0.156  0.235 0.011  0.164 -0.138  0.093 -0.287  0.023 -0.437  -0.045 -0.587  -0.112 -0.738
3#apb#apb05#app0561/L  0.117 1.156  0.135 1.269  0.192 1.366  0.259 1.460  0.342 1.519  0.359 1.580  0.360 1.528  0.347 1.414  0.308 1.308  0.258 1.204  0.209 1.101  0.159 0.998  0.110 0.894  0.066 0.788  0.025 0.681  -0.016 0.574  -0.057 0.467  -0.099 0.360  -0.141 0.253  -0.189 0.149  -0.236 0.045  -0.284 -0.059  -0.332 -0.164  -0.380 -0.268  -0.423 -0.374  -0.465 -0.481  -0.508 -0.587  -0.551 -0.694  -0.594 -0.800  -0.638 -0.906  -0.685 -1.010  -0.746 -1.104  -0.692 -1.142  -0.592 -1.085  -0.499 -1.019  -0.409 -0.948  -0.311 -0.889  -0.206 -0.844  -0.100 -0.799  0.004 -0.751  0.106 -0.700  0.209 -0.649  0.318 -0.614  0.428 -0.584  0.541 -0.564  0.655 -0.552  0.769 -0.556  0.875 -0.584  0.956 -0.660  1.047 -0.729
3#apb#apb05#app0561/e  -0.912 0.033  -0.852 -0.076  -0.731 -0.179  -0.584 -0.237  -0.431 -0.277  -0.272 -0.266  -0.113 -0.254  0.033 -0.199  0.174 -0.124  0.315 -0.049  0.455 0.027  0.595 0.103  0.723 0.195  0.836 0.308  0.900 0.441  0.900 0.600  0.874 0.755  0.818 0.904  0.720 1.030  0.620 1.154  0.481 1.204  0.322 1.218  0.163 1.214  0.004 1.203  -0.147 1.171  -0.270 1.069  -0.392 0.967  -0.495 0.848  -0.573 0.709  -0.651 0.570  -0.720 0.428  -0.749 0.271  -0.779 0.114  -0.791 -0.043  -0.763 -0.200  -0.735 -0.357  -0.691 -0.506  -0.593 -0.632  -0.494 -0.757  -0.393 -0.879  -0.253 -0.957  -0.114 -1.034  0.025 -1.111  0.173 -1.164  0.331 -1.180  0.490 -1.197  0.648 -1.214  0.808 -1.214  0.967 -1.214  1.127 -1.214
3#apb#apb05#app0561/x  -1.026 1.246  -1.013 1.067  -0.980 0.889  -0.947 0.712  -0.889 0.541  -0.827 0.371  -0.764 0.202  -0.690 0.038  -0.609 -0.124  -0.528 -0.285  -0.441 -0.443  -0.346 -0.597  -0.250 -0.750  -0.147 -0.898  -0.036 -1.039  0.103 -1.154  0.149 -1.200  0.196 -1.039  0.268 -0.873  0.340 -0.708  0.412 -0.542  0.484 -0.376  0.556 -0.211  0.627 -0.045  0.699 0.121  0.771 0.286  0.843 0.452  0.915 0.618  0.987 0.783  1.059 0.949  1.130 1.115  1.067 1.239  0.908 1.163  0.763 1.054  0.653 0.912  0.544 0.768  0.436 0.623  0.327 0.479  0.217 0.336  0.107 0.193  -0.002 0.049  -0.110 -0.096  -0.219 -0.240  -0.330 -0.383  -0.446 -0.520  -0.563 -0.658  -0.677 -0.798  -0.790 -0.939  -0.907 -1.077  -1.026 -1.213
3#apb#apb05#app0561/i  -0.406 -0.067  -0.374 0.046  -0.352 0.160  -0.312 0.248  -0.298 0.137  -0.304 0.020  -0.321 -0.095  -0.337 -0.211  -0.351 -0.327  -0.364 -0.443  -0.377 -0.559  -0.402 -0.672  -0.444 -0.781  -0.486 -0.890  -0.508 -1.005  -0.528 -1.120  -0.554 -1.234  -0.585 -1.346  -0.572 -1.344  -0.520 -1.240  -0.468 -1.135  -0.416 -1.030  -0.364 -0.926  -0.312 -0.821  -0.260 -0.717  -0.208 -0.612  -0.156 -0.507  -0.104 -0.403  -0.052 -0.298  -0.001 -0.193  0.051 -0.089  0.103 0.016  0.155 0.120  0.207 0.225  0.259 0.330  0.311 0.434  0.363 0.539  0.415 0.644  0.467 0.748  0.519 0.853  0.571 0.957  0.623 1.062  0.675 1.167  0.727 1.271  0.779 1.376  0.831 1.481  0.883 1.585  0.927 1.658  0.923 1.552  0.949 1.438
3#apb#apb05#app0561/n  -0.524 0.713  -0.440 0.838  -0.409 0.687  -0.416 0.528  -0.446 0.369  -0.476 0.210  -0.520 0.056  -0.583 -0.093  -0.647 -0.241  -0.705 -0.392  -0.756 -0.545  -0.808 -0.698  -0.905 -0.827  -1.002 -0.957  -1.101 -1.054  -1.098 -0.901  -1.041 -0.754  -0.949 -0.622  -0.855 -0.490  -0.757 -0.362  -0.658 -0.234  -0.560 -0.106  -0.462 0.022  -0.364 0.151  -0.266 0.279  -0.167 0.407  -0.053 0.521  0.065 0.631  0.183 0.741  0.301 0.852  0.443 0.926  0.590 0.994  0.738 1.056  0.899 1.056  1.020 0.983  1.074 0.836  1.084 0.674  1.095 0.513  1.083 0.354  1.046 0.197  1.010 0.039  0.949 -0.110  0.885 -0.259  0.822 -0.407  0.754 -0.554  0.686 -0.700  0.623 -0.849  0.576 -1.003  0.534 -1.159  0.507 -1.318
3#apb#apb05#app0561/g  0.577 0.949  0.609 1.045  0.613 1.142  0.553 1.215  0.460 1.252  0.366 1.248  0.277 1.199  0.191 1.147  0.106 1.092  0.041 1.014  -0.019 0.934  -0.056 0.840  -0.086 0.743  -0.038 0.655  0.034 0.583  0.128 0.615  0.223 0.647  0.315 0.689  0.393 0.753  0.387 0.716  0.359 0.619  0.333 0.521  0.306 0.423  0.278 0.326  0.250 0.229  0.223 0.131  0.197 0.033  0.171 -0.064  0.138 -0.160  0.099 -0.253  0.060 -0.347  0.022 -0.440  -0.007 -0.537  -0.031 -0.635  -0.056 -0.733  -0.081 -0.831  -0.106 -0.929  -0.132 -1.027  -0.165 -1.122  -0.212 -1.211  -0.270 -1.292  -0.353 -1.350  -0.451 -1.361  -0.552 -1.361  -0.644 -1.318  -0.736 -1.276  -0.828 -1.233  -0.911 -1.181  -0.967 -1.097  -1.008 -1.004
3#apb#apb05#app0561/t  0.711 1.743  0.651 1.600  0.591 1.457  0.531 1.313  0.478 1.167  0.427 1.021  0.376 0.874  0.325 0.727  0.276 0.580  0.227 0.433  0.178 0.286  0.129 0.138  0.078 -0.009  0.027 -0.155  -0.024 -0.302  -0.075 -0.448  -0.128 -0.594  -0.182 -0.740  -0.236 -0.885  -0.288 -1.032  -0.340 -1.178  -0.407 -1.318  -0.481 -1.454  -0.538 -1.470  -0.572 -1.318  -0.607 -1.167  -0.641 -1.016  -0.676 -0.864  -0.711 -0.713  -0.745 -0.562  -0.780 -0.410  -0.814 -0.259  -0.849 -0.108  -0.884 0.044  -0.839 0.152  -0.692 0.203  -0.539 0.229  -0.386 0.254  -0.233 0.276  -0.078 0.292  0.076 0.307  0.231 0.320  0.386 0.327  0.541 0.334  0.696 0.341  0.851 0.335  1.006 0.327  1.161 0.318  1.316 0.307  1.471 0.295
3#apb#apb05#app0561/o  0.345 1.288  0.249 1.215  0.153 1.141  0.057 1.067  -0.039 0.993  -0.130 0.914  -0.222 0.834  -0.313 0.755  -0.404 0.675  -0.495 0.595  -0.567 0.500  -0.630 0.396  -0.692 0.292  -0.754 0.189  -0.810 0.082  -0.850 -0.032  -0.890 -0.147  -0.931 -0.261  -0.971 -0.375  -0.978 -0.495  -0.978 -0.616  -0.949 -0.725  -0.864 -0.810  -0.778 -0.896  -0.687 -0.967  -0.565 -0.967  -0.444 -0.967  -0.323 -0.967  -0.205 -0.955  -0.098 -0.899  0.009 -0.842  0.116 -0.785  0.223 -0.729  0.326 -0.666  0.425 -0.596  0.523 -0.526  0.622 -0.455  0.714 -0.380  0.771 -0.273  0.827 -0.166  0.884 -0.059  0.941 0.048  0.988 0.159  1.019 0.276  1.050 0.393  1.081 0.510  1.088 0.628  1.071 0.748  1.053 0.868  1.036 0.988
3#apb#apb05#app0561/n  -0.309 0.833  -0.403 0.732  -0.468 0.609  -0.533 0.487  -0.598 0.364  -0.663 0.241  -0.727 0.119  -0.792 -0.004  -0.853 -0.129  -0.912 -0.254  -0.971 -0.380  -1.040 -0.500  -1.113 -0.618  -1.163 -0.743  -1.190 -0.807  -1.107 -0.696  -1.020 -0.588  -0.935 -0.478  -0.850 -0.368  -0.765 -0.259  -0.667 -0.161  -0.569 -0.063  -0.471 0.036  -0.372 0.133  -0.271 0.229  -0.171 0.324  -0.070 0.420  0.030 0.515  0.151 0.583  0.274 0.648  0.397 0.712  0.522 0.770  0.659 0.787  0.797 0.804  0.914 0.756  1.017 0.663  1.082 0.549  1.105 0.412  1.128 0.275  1.126 0.138  1.108 0.001  1.089 -0.137  1.069 -0.274  1.035 -0.409  1.002 -0.543  0.968 -0.678  0.940 -0.814  0.912 -0.950  0.871 -1.081  0.809 -1.205
3#apb#apb05#app0561/A  -0.005 1.028  -0.145 0.846  -0.275 0.647  -0.405 0.448  -0.528 0.245  -0.649 0.040  -0.766 -0.166  -0.873 -0.379  -0.979 -0.592  -1.090 -0.802  -1.199 -1.013  -1.259 -1.237  -1.218 -1.050  -1.112 -0.838  -0.998 -0.629  -0.857 -0.438  -0.715 -0.247  -0.563 -0.065  -0.410 0.117  -0.255 0.297  -0.093 0.471  0.069 0.645  0.232 0.819  0.407 0.978  0.587 1.134  0.780 1.267  1.003 1.351  1.161 1.213  1.190 0.977  1.118 0.751  1.043 0.526  0.957 0.304  0.866 0.085  0.775 -0.135  0.680 -0.353  0.586 -0.571  0.504 -0.794  0.428 -1.019  0.321 -1.153  0.203 -0.946  0.085 -0.740  -0.033 -0.533  -0.151 -0.327  -0.269 -0.121  -0.284 0.011  -0.047 -0.007  0.190 -0.007  0.428 0.004  0.665 -0.012  0.902 -0.033
