2#apa#apa20#app2002/o  0.513 0.718  0.414 0.817  0.303 0.886  0.168 0.895  0.069 0.994  -0.046 1.053  -0.185 1.053  -0.324 1.053  -0.464 1.053  -0.571 0.975  -0.660 0.872  -0.660 0.733  -0.748 0.630  -0.827 0.523  -0.827 0.384  -0.827 0.244  -0.827 0.105  -0.827 -0.035  -0.827 -0.174  -0.827 -0.313  -0.827 -0.453  -0.827 -0.592  -0.778 -0.720  -0.716 -0.845  -0.646 -0.957  -0.506 -0.957  -0.404 -1.046  -0.297 -1.124  -0.157 -1.124  -0.018 -1.124  0.121 -1.124  0.252 -1.087  0.377 -1.025  0.502 -0.963  0.602 -0.867  0.701 -0.769  0.800 -0.670  0.848 -0.551  0.848 -0.411  0.848 -0.272  0.848 -0.132  0.848 0.007  0.848 0.147  0.848 0.286  0.818 0.413  0.719 0.512  0.680 0.635  0.624 0.718  0.513 0.746  0.513 0.886
2#apa#apa20#app2002/P  -0.269 -0.151  -0.269 -0.331  -0.269 -0.512  -0.269 -0.693  -0.269 -0.873  -0.219 -1.046  -0.162 -1.217  -0.162 -1.398  -0.055 -1.472  -0.055 -1.637  -0.055 -1.456  -0.077 -1.281  -0.158 -1.119  -0.162 -0.939  -0.162 -0.758  -0.210 -0.589  -0.269 -0.422  -0.276 -0.243  -0.356 -0.082  -0.375 0.095  -0.375 0.275  -0.375 0.456  -0.441 0.621  -0.482 0.792  -0.482 0.973  -0.482 1.153  -0.482 1.334  -0.361 1.465  -0.219 1.557  -0.043 1.545  0.099 1.450  0.244 1.365  0.372 1.237  0.499 1.109  0.627 0.981  0.692 0.828  0.732 0.663  0.837 0.519  0.905 0.355  0.905 0.174  0.856 0.014  0.799 -0.143  0.644 -0.228  0.470 -0.257  0.298 -0.294  0.134 -0.364  -0.047 -0.364  -0.227 -0.364  -0.408 -0.364  -0.589 -0.364
2#apa#apa20#app2002/O  0.255 0.879  0.159 0.975  0.028 0.986  -0.108 0.986  -0.243 0.986  -0.379 0.986  -0.508 0.970  -0.604 0.874  -0.700 0.778  -0.796 0.682  -0.815 0.554  -0.848 0.422  -0.880 0.290  -0.913 0.159  -0.920 0.024  -0.920 -0.112  -0.920 -0.247  -0.920 -0.383  -0.839 -0.485  -0.769 -0.600  -0.708 -0.721  -0.613 -0.818  -0.517 -0.914  -0.391 -0.938  -0.262 -0.955  -0.164 -1.045  -0.028 -1.045  0.107 -1.045  0.243 -1.045  0.379 -1.045  0.510 -1.024  0.631 -0.964  0.738 -0.883  0.789 -0.768  0.854 -0.659  0.896 -0.541  0.896 -0.405  0.896 -0.270  0.896 -0.134  0.858 -0.007  0.798 0.114  0.785 0.247  0.724 0.368  0.659 0.487  0.584 0.600  0.508 0.713  0.469 0.836  0.469 0.972  0.382 1.072  0.255 1.093
2#apa#apa20#app2002/W  -1.221 0.535  -1.265 0.720  -1.239 0.825  -1.124 0.689  -1.080 0.500  -1.027 0.314  -0.970 0.132  -0.926 -0.053  -0.839 -0.228  -0.772 -0.397  -0.737 -0.578  -0.737 -0.773  -0.641 -0.872  -0.584 -1.011  -0.544 -0.856  -0.447 -0.757  -0.447 -0.562  -0.432 -0.368  -0.384 -0.179  -0.351 0.013  -0.324 0.202  -0.254 0.381  -0.193 0.562  -0.143 0.743  -0.061 0.904  0.036 0.978  0.133 0.879  0.133 0.684  0.133 0.489  0.133 0.293  0.155 0.103  0.229 -0.075  0.229 -0.270  0.288 -0.452  0.375 -0.627  0.423 -0.811  0.556 -0.951  0.722 -1.001  0.882 -0.914  0.929 -0.747  0.991 -0.561  1.099 -0.408  1.099 -0.212  1.099 -0.017  1.099 0.178  1.121 0.365  1.196 0.529  1.196 0.725  1.196 0.920  1.292 1.019
2#apa#apa20#app2002/*  0.248 1.468  0.248 1.123  0.248 0.778  0.248 0.433  0.248 0.088  0.248 -0.257  0.248 -0.602  0.248 -0.947  0.248 -1.292  0.248 -1.638  0.112 -1.493  -0.065 -1.197  -0.243 -0.902  -0.420 -0.606  -0.598 -0.310  -0.775 -0.014  -0.937 0.273  -0.592 0.273  -0.549 -0.029  -0.300 -0.125  0.045 -0.125  0.386 -0.091  0.721 -0.007  1.056 0.076  1.390 0.160  1.725 0.244  1.617 0.273  1.272 0.273  0.926 0.273  0.646 0.208  0.635 -0.125  0.290 -0.125  0.033 -0.340  -0.236 -0.524  -0.571 -0.546  -0.815 -0.790  -0.947 -0.764  -0.947 -0.419  -0.947 -0.074  -0.947 0.271  -0.947 0.616  -0.947 0.961  -0.947 1.307  -0.818 1.339  -0.574 1.095  -0.330 0.851  -0.086 0.607  0.158 0.363  0.402 0.119  0.646 -0.125
2#apa#apa20#app2002/,  -0.212 1.684  -0.151 1.623  -0.090 1.562  -0.029 1.501  0.032 1.440  0.094 1.379  0.155 1.318  0.216 1.256  0.277 1.195  0.291 1.115  0.291 1.028  0.291 0.942  0.291 0.855  0.291 0.769  0.291 0.682  0.291 0.596  0.291 0.510  0.291 0.423  0.291 0.337  0.291 0.250  0.291 0.164  0.291 0.077  0.291 -0.009  0.291 -0.096  0.291 -0.182  0.291 -0.269  0.266 -0.330  0.179 -0.330  0.093 -0.330  0.007 -0.330  -0.080 -0.330  -0.166 -0.330  -0.212 -0.370  -0.212 -0.457  -0.212 -0.543  -0.212 -0.630  -0.212 -0.716  -0.212 -0.803  -0.212 -0.889  -0.212 -0.976  -0.212 -1.062  -0.212 -1.149  -0.212 -1.235  -0.212 -1.322  -0.283 -1.337  -0.370 -1.337  -0.456 -1.337  -0.543 -1.337  -0.629 -1.337  -0.716 -1.337
2#apa#apa20#app2002/*  1.416 1.244  1.416 0.896  1.416 0.549  1.110 0.507  1.048 0.222  0.783 0.139  0.436 0.139  0.154 -0.018  -0.092 -0.264  -0.337 -0.509  -0.425 -0.821  -0.628 -0.965  -0.793 -1.147  -0.825 -1.175  -0.893 -0.835  -0.961 -0.494  -1.029 -0.153  -1.097 0.187  -1.161 0.487  -1.161 0.139  -0.814 0.139  -0.562 -0.092  -0.272 -0.229  0.037 -0.323  0.283 -0.568  0.618 -0.597  0.935 -0.469  1.246 -0.314  1.258 -0.229  0.911 -0.229  0.598 -0.311  0.352 -0.557  0.021 -0.597  -0.326 -0.597  -0.425 -0.846  -0.425 -0.738  -0.425 -0.390  -0.425 -0.043  -0.425 0.305  -0.425 0.652  -0.425 1.000  -0.425 1.347  -0.425 1.530  -0.364 1.244  -0.057 1.203  -0.043 0.862  0.203 0.616  0.311 0.313  0.434 0.017  0.680 -0.229
2#apa#apa20#app2002/K  -0.434 1.656  -0.340 1.714  -0.340 1.491  -0.344 1.268  -0.398 1.051  -0.458 0.836  -0.528 0.624  -0.540 0.402  -0.610 0.190  -0.622 -0.031  -0.622 -0.255  -0.622 -0.478  -0.622 -0.702  -0.622 -0.925  -0.622 -1.149  -0.603 -1.364  -0.516 -1.512  -0.409 -1.316  -0.301 -1.121  -0.193 -0.925  -0.085 -0.729  0.023 -0.534  0.131 -0.338  0.239 -0.142  0.347 0.053  0.455 0.249  0.563 0.445  0.671 0.640  0.779 0.836  0.887 1.032  0.941 1.155  0.755 1.064  0.597 0.906  0.439 0.747  0.272 0.602  0.100 0.474  -0.020 0.289  -0.205 0.197  -0.363 0.039  -0.528 -0.061  -0.463 -0.220  -0.278 -0.313  -0.094 -0.407  0.085 -0.526  0.292 -0.595  0.485 -0.670  0.670 -0.761  0.856 -0.853  1.031 -0.970  1.160 -1.064
2#apa#apa20#app2002/E  0.010 1.327  -0.109 1.270  -0.109 1.094  -0.186 0.936  -0.286 0.794  -0.347 0.643  -0.347 0.467  -0.407 0.316  -0.466 0.164  -0.466 -0.012  -0.466 -0.189  -0.569 -0.322  -0.585 -0.492  -0.585 -0.668  -0.585 -0.844  -0.523 -0.994  -0.466 -1.147  -0.433 -1.289  -0.347 -1.380  -0.208 -1.429  -0.073 -1.527  0.103 -1.527  0.240 -1.496  0.202 -1.324  0.164 -1.152  0.126 -0.980  0.088 -0.808  0.049 -0.636  0.011 -0.464  0.129 -0.338  0.305 -0.338  0.469 -0.287  0.629 -0.219  0.672 -0.155  0.562 -0.017  0.452 0.120  0.342 0.258  0.232 0.395  0.122 0.533  0.012 0.670  -0.098 0.808  -0.208 0.945  -0.203 1.089  -0.051 1.147  0.100 1.208  0.276 1.208  0.452 1.208  0.627 1.201  0.794 1.145  0.961 1.089
2#apa#apa20#app2002/R  -0.511 1.178  -0.428 1.008  -0.428 0.804  -0.485 0.623  -0.511 0.429  -0.529 0.229  -0.594 0.041  -0.594 -0.164  -0.594 -0.368  -0.594 -0.572  -0.594 -0.776  -0.594 -0.814  -0.594 -0.610  -0.594 -0.406  -0.580 -0.205  -0.511 -0.017  -0.471 0.178  -0.394 0.366  -0.323 0.558  -0.232 0.740  -0.140 0.923  -0.022 1.086  0.153 1.184  0.281 1.261  0.485 1.261  0.678 1.234  0.790 1.066  0.817 0.868  0.747 0.693  0.717 0.505  0.541 0.404  0.395 0.261  0.218 0.163  0.040 0.099  -0.144 0.050  -0.326 -0.033  -0.497 -0.136  -0.511 -0.334  -0.449 -0.524  -0.309 -0.666  -0.137 -0.773  0.013 -0.908  0.203 -0.984  0.393 -1.060  0.576 -1.149  0.770 -1.214  0.937 -1.313  1.141 -1.313  1.312 -1.393  1.481 -1.479
2#apa#apa20#app2002/P  -0.258 0.843  -0.258 0.844  -0.258 0.650  -0.258 0.457  -0.276 0.265  -0.314 0.075  -0.352 -0.116  -0.355 -0.309  -0.355 -0.503  -0.355 -0.697  -0.355 -0.891  -0.355 -1.084  -0.355 -1.278  -0.355 -1.472  -0.355 -1.666  -0.282 -1.786  -0.355 -1.713  -0.304 -1.540  -0.258 -1.366  -0.258 -1.172  -0.258 -0.978  -0.258 -0.784  -0.202 -0.604  -0.160 -0.420  -0.160 -0.226  -0.160 -0.032  -0.160 0.162  -0.160 0.356  -0.160 0.549  -0.160 0.743  -0.094 0.910  -0.063 1.090  0.003 1.269  0.159 1.330  0.353 1.330  0.544 1.319  0.717 1.232  0.813 1.078  0.922 0.929  1.008 0.771  1.008 0.577  1.008 0.383  0.859 0.282  0.683 0.227  0.517 0.162  0.323 0.162  0.129 0.162  -0.065 0.162  -0.259 0.162  -0.453 0.162
2#apa#apa20#app2002/L  -0.261 1.401  -0.175 1.410  -0.175 1.503  -0.150 1.572  -0.090 1.538  -0.090 1.445  -0.040 1.401  -0.005 1.343  -0.005 1.249  -0.005 1.156  -0.005 1.062  -0.009 0.969  -0.050 0.886  -0.090 0.802  -0.090 0.708  -0.090 0.615  -0.097 0.522  -0.120 0.432  -0.143 0.341  -0.165 0.250  -0.175 0.158  -0.175 0.065  -0.224 -0.009  -0.261 -0.087  -0.261 -0.181  -0.302 -0.257  -0.346 -0.332  -0.364 -0.422  -0.406 -0.505  -0.431 -0.593  -0.431 -0.686  -0.431 -0.780  -0.431 -0.873  -0.360 -0.896  -0.266 -0.896  -0.173 -0.896  -0.079 -0.896  0.014 -0.896  0.108 -0.896  0.201 -0.896  0.295 -0.896  0.388 -0.896  0.464 -0.939  0.540 -0.981  0.633 -0.981  0.727 -0.981  0.820 -0.981  0.845 -1.049  0.922 -1.066  1.016 -1.066
2#apa#apa20#app2002/U  -0.395 0.677  -0.300 0.725  -0.300 0.867  -0.300 1.009  -0.300 1.151  -0.300 1.194  -0.369 1.081  -0.395 0.949  -0.395 0.807  -0.429 0.670  -0.474 0.535  -0.489 0.395  -0.504 0.256  -0.549 0.121  -0.584 -0.016  -0.584 -0.158  -0.584 -0.300  -0.584 -0.443  -0.584 -0.585  -0.584 -0.727  -0.526 -0.856  -0.489 -0.989  -0.481 -1.128  -0.395 -1.235  -0.326 -1.308  -0.218 -1.391  -0.081 -1.403  0.039 -1.347  0.156 -1.269  0.275 -1.198  0.338 -1.071  0.426 -0.960  0.456 -0.831  0.456 -0.688  0.501 -0.557  0.551 -0.426  0.551 -0.284  0.551 -0.142  0.586 -0.008  0.645 0.120  0.645 0.263  0.645 0.405  0.645 0.547  0.645 0.689  0.626 0.829  0.581 0.964  0.551 1.101  0.551 1.243  0.551 1.385  0.551 1.339
2#apa#apa20#app2002/N  -0.435 0.661  -0.435 0.447  -0.435 0.234  -0.449 0.023  -0.522 -0.173  -0.522 -0.387  -0.522 -0.601  -0.522 -0.815  -0.522 -1.029  -0.575 -1.221  -0.644 -1.099  -0.697 -0.898  -0.697 -0.684  -0.697 -0.470  -0.697 -0.256  -0.697 -0.042  -0.643 0.159  -0.609 0.365  -0.609 0.578  -0.590 0.788  -0.522 0.986  -0.450 1.169  -0.335 1.084  -0.261 0.901  -0.174 0.723  -0.174 0.509  -0.174 0.295  -0.148 0.087  -0.087 -0.112  -0.087 -0.326  -0.056 -0.532  0.001 -0.733  0.088 -0.926  0.218 -1.059  0.340 -1.169  0.545 -1.147  0.634 -0.971  0.753 -0.796  0.785 -0.590  0.866 -0.395  0.872 -0.183  0.872 0.031  0.933 0.235  0.959 0.445  0.959 0.658  0.976 0.868  1.046 1.065  1.046 1.279  1.046 1.493  1.046 1.533
2#apa#apa20#app2002/K  -0.220 1.508  -0.125 1.702  -0.125 1.648  -0.209 1.434  -0.226 1.205  -0.300 0.983  -0.314 0.752  -0.388 0.530  -0.442 0.304  -0.487 0.075  -0.504 -0.157  -0.504 -0.391  -0.526 -0.619  -0.598 -0.835  -0.598 -1.069  -0.598 -1.302  -0.476 -1.362  -0.384 -1.147  -0.292 -0.932  -0.200 -0.718  -0.108 -0.503  -0.016 -0.289  0.076 -0.074  0.168 0.141  0.260 0.355  0.352 0.570  0.444 0.784  0.536 0.999  0.628 1.214  0.727 1.286  0.727 1.052  0.708 0.827  0.576 0.638  0.437 0.454  0.323 0.252  0.158 0.087  -0.026 -0.052  -0.212 -0.188  -0.433 -0.219  -0.637 -0.290  -0.610 -0.385  -0.442 -0.542  -0.222 -0.574  -0.013 -0.678  0.188 -0.793  0.380 -0.921  0.589 -1.026  0.772 -1.165  0.989 -1.237  1.200 -1.332
2#apa#apa20#app2002/*  0.818 2.030  0.818 1.676  0.729 1.358  0.526 1.087  0.526 0.733  0.526 0.378  0.526 0.024  0.384 -0.297  0.235 -0.616  0.235 -0.971  0.235 -1.325  0.235 -1.680  0.099 -1.524  -0.077 -1.217  -0.252 -0.909  -0.428 -0.601  -0.604 -0.293  -0.780 0.015  -0.883 0.280  -0.561 0.201  -0.295 -0.012  0.025 -0.094  0.287 -0.277  0.604 -0.119  0.921 0.040  1.238 0.199  1.280 0.158  0.995 -0.012  0.641 -0.012  0.286 -0.012  0.021 -0.226  -0.302 -0.303  -0.566 -0.521  -0.890 -0.595  -0.929 -0.866  -0.885 -0.514  -0.841 -0.162  -0.797 0.190  -0.753 0.541  -0.709 0.893  -0.665 1.245  -0.640 1.296  -0.640 0.941  -0.640 0.586  -0.400 0.331  -0.349 -0.002  -0.004 -0.012  0.317 -0.094  0.567 -0.344  0.818 -0.595
2#apa#apa20#app2002/.  1.303 -1.633  1.251 -1.529  1.199 -1.426  1.148 -1.323  1.096 -1.220  1.045 -1.117  0.993 -1.014  0.941 -0.910  0.890 -0.807  0.838 -0.704  0.773 -0.611  0.692 -0.529  0.610 -0.448  0.528 -0.366  0.447 -0.285  0.365 -0.203  0.270 -0.156  0.154 -0.156  0.039 -0.156  -0.076 -0.156  -0.175 -0.138  -0.175 -0.023  -0.175 0.092  -0.175 0.208  -0.175 0.323  -0.246 0.409  -0.328 0.490  -0.409 0.572  -0.491 0.653  -0.573 0.735  -0.654 0.816  -0.764 0.829  -0.880 0.829  -0.995 0.829  -1.110 0.829  -1.093 0.829  -0.978 0.829  -0.862 0.829  -0.747 0.829  -0.642 0.804  -0.560 0.723  -0.479 0.641  -0.397 0.560  -0.316 0.478  -0.234 0.396  -0.175 0.306  -0.175 0.190  -0.175 0.075  -0.175 -0.040  -0.175 -0.156
