2#apb#apb16#app1671/k  -1.628 -1.097  -1.510 -0.964  -1.241 -0.855  -0.981 -0.724  -0.729 -0.579  -0.471 -0.444  -0.254 -0.251  -0.046 -0.048  0.142 0.174  0.318 0.406  0.490 0.641  0.664 0.874  0.843 1.103  1.017 1.336  1.097 1.581  0.839 1.583  0.678 1.343  0.531 1.095  0.345 0.871  0.191 0.625  0.032 0.381  -0.129 0.138  -0.264 -0.120  -0.424 -0.361  -0.612 -0.583  -0.800 -0.806  -0.814 -0.783  -0.681 -0.526  -0.534 -0.276  -0.359 -0.043  -0.168 0.176  0.035 0.385  0.251 0.579  0.492 0.739  0.773 0.747  0.847 0.510  0.703 0.260  0.468 0.090  0.221 -0.065  -0.048 -0.159  -0.261 0.005  -0.372 0.053  -0.377 -0.238  -0.367 -0.528  -0.268 -0.801  -0.086 -1.025  0.181 -1.121  0.470 -1.147  0.758 -1.119  1.036 -1.034
2#apb#apb16#app1671/e  -1.243 -0.552  -1.263 -0.405  -1.228 -0.412  -1.066 -0.398  -0.912 -0.353  -0.763 -0.289  -0.613 -0.227  -0.463 -0.165  -0.324 -0.086  -0.198 0.017  -0.072 0.119  0.058 0.216  0.189 0.312  0.307 0.422  0.411 0.546  0.479 0.693  0.535 0.844  0.564 1.003  0.546 1.165  0.438 1.282  0.302 1.312  0.155 1.245  0.014 1.165  -0.100 1.054  -0.199 0.925  -0.300 0.798  -0.403 0.673  -0.476 0.529  -0.543 0.381  -0.591 0.226  -0.634 0.070  -0.670 -0.088  -0.663 -0.248  -0.640 -0.409  -0.549 -0.542  -0.435 -0.654  -0.298 -0.741  -0.142 -0.777  0.018 -0.806  0.180 -0.814  0.342 -0.814  0.504 -0.814  0.665 -0.796  0.826 -0.773  0.986 -0.747  1.140 -0.698  1.295 -0.649  1.451 -0.606  1.611 -0.579  1.771 -0.552
2#apb#apb16#app1671/w  -0.746 0.584  -0.675 0.702  -0.569 0.810  -0.608 0.667  -0.686 0.523  -0.780 0.392  -0.886 0.268  -0.979 0.134  -1.071 0.000  -1.174 -0.126  -1.278 -0.251  -1.373 -0.383  -1.436 -0.531  -1.337 -0.596  -1.177 -0.562  -1.021 -0.516  -0.865 -0.471  -0.712 -0.415  -0.562 -0.352  -0.412 -0.289  -0.269 -0.213  -0.127 -0.133  0.015 -0.053  0.161 0.019  0.307 0.092  0.434 0.192  0.528 0.319  0.472 0.422  0.314 0.401  0.172 0.323  0.048 0.218  -0.063 0.101  -0.135 -0.043  -0.128 -0.197  -0.019 -0.318  0.130 -0.373  0.289 -0.407  0.451 -0.424  0.610 -0.415  0.767 -0.369  0.925 -0.330  1.083 -0.295  1.224 -0.217  1.354 -0.121  1.444 0.015  1.534 0.150  1.617 0.290  1.681 0.439  1.738 0.592  1.791 0.746
2#apb#apb16#app1671/i  -1.314 -0.961  -1.305 -0.887  -1.221 -0.757  -1.103 -0.657  -0.980 -0.563  -0.855 -0.471  -0.725 -0.386  -0.593 -0.305  -0.463 -0.220  -0.337 -0.129  -0.225 -0.022  -0.120 0.092  -0.059 0.229  -0.036 0.363  -0.155 0.272  -0.260 0.158  -0.370 0.049  -0.460 -0.078  -0.547 -0.206  -0.617 -0.345  -0.680 -0.487  -0.725 -0.634  -0.672 -0.757  -0.531 -0.812  -0.378 -0.841  -0.229 -0.810  -0.079 -0.767  0.071 -0.730  0.223 -0.698  0.369 -0.648  0.506 -0.575  0.640 -0.497  0.769 -0.411  0.864 -0.290  0.933 -0.158  0.907 -0.004  0.881 0.149  0.856 0.302  0.830 0.455  0.804 0.608  0.778 0.761  0.753 0.914  0.727 1.067  0.701 1.221  0.675 1.374  0.649 1.527  0.639 1.593  0.566 1.457  0.490 1.322  0.408 1.190
2#apb#apb16#app1671/t  -1.196 -1.299  -1.124 -1.102  -0.999 -0.911  -0.861 -0.726  -0.717 -0.546  -0.558 -0.380  -0.383 -0.230  -0.205 -0.083  -0.023 0.060  0.139 0.223  0.296 0.392  0.459 0.555  0.595 0.739  0.702 0.943  0.771 1.162  0.759 1.390  0.689 1.262  0.600 1.049  0.509 0.837  0.418 0.625  0.343 0.407  0.267 0.189  0.185 -0.027  0.092 -0.238  -0.000 -0.449  -0.098 -0.658  -0.198 -0.866  -0.295 -1.076  -0.386 -1.288  -0.442 -1.511  -0.453 -1.382  -0.480 -1.152  -0.507 -0.923  -0.534 -0.694  -0.561 -0.465  -0.589 -0.236  -0.616 -0.007  -0.643 0.223  -0.670 0.452  -0.615 0.611  -0.401 0.532  -0.171 0.517  0.059 0.496  0.289 0.473  0.519 0.469  0.750 0.469  0.980 0.485  1.210 0.507  1.434 0.559  1.655 0.624
2#apb#apb16#app1671/h  0.703 1.698  0.672 1.586  0.570 1.465  0.471 1.342  0.382 1.211  0.293 1.081  0.204 0.950  0.118 0.816  0.032 0.683  -0.053 0.550  -0.139 0.417  -0.234 0.290  -0.329 0.164  -0.424 0.037  -0.520 -0.089  -0.618 -0.214  -0.715 -0.338  -0.813 -0.463  -0.882 -0.605  -0.946 -0.749  -1.040 -0.871  -1.146 -0.980  -1.171 -0.905  -1.119 -0.757  -1.048 -0.616  -0.953 -0.490  -0.843 -0.378  -0.718 -0.281  -0.587 -0.192  -0.452 -0.109  -0.317 -0.026  -0.173 0.039  -0.029 0.104  0.118 0.164  0.269 0.212  0.420 0.259  0.572 0.303  0.725 0.344  0.881 0.351  0.913 0.237  0.903 0.079  0.881 -0.078  0.861 -0.235  0.843 -0.392  0.815 -0.548  0.782 -0.703  0.751 -0.858  0.722 -1.014  0.706 -1.171  0.664 -1.323
2#apb#apb16#app1671/f  -0.999 -0.014  -1.102 0.049  -0.872 0.055  -0.646 0.128  -0.420 0.202  -0.199 0.290  -0.006 0.429  0.185 0.570  0.372 0.718  0.538 0.885  0.656 1.091  0.741 1.313  0.830 1.533  0.811 1.516  0.703 1.304  0.600 1.090  0.476 0.887  0.357 0.681  0.233 0.478  0.104 0.278  -0.020 0.075  -0.144 -0.128  -0.272 -0.328  -0.398 -0.530  -0.524 -0.732  -0.642 -0.938  -0.759 -1.145  -0.880 -1.350  -0.952 -1.575  -0.784 -1.681  -0.557 -1.611  -0.356 -1.489  -0.160 -1.354  0.003 -1.186  0.149 -0.998  0.225 -0.775  0.267 -0.541  0.315 -0.308  0.343 -0.072  0.349 0.162  0.237 0.365  0.056 0.515  -0.172 0.566  -0.252 0.385  -0.135 0.181  0.083 0.100  0.319 0.115  0.545 0.186  0.775 0.244  0.979 0.361
2#apb#apb16#app1671/r  -1.483 -0.737  -1.579 -0.683  -1.517 -0.700  -1.397 -0.631  -1.288 -0.547  -1.186 -0.452  -1.084 -0.357  -0.982 -0.262  -0.880 -0.167  -0.779 -0.072  -0.677 0.023  -0.576 0.119  -0.478 0.218  -0.382 0.319  -0.287 0.420  -0.194 0.524  -0.106 0.632  -0.019 0.740  0.053 0.859  0.119 0.982  0.169 1.112  0.227 1.237  0.291 1.217  0.363 1.097  0.448 0.987  0.549 0.892  0.651 0.798  0.755 0.706  0.850 0.610  0.856 0.482  0.791 0.360  0.699 0.258  0.589 0.172  0.484 0.081  0.384 -0.016  0.288 -0.117  0.205 -0.227  0.149 -0.355  0.082 -0.477  0.032 -0.605  0.032 -0.742  0.106 -0.857  0.237 -0.900  0.374 -0.916  0.514 -0.916  0.651 -0.895  0.787 -0.865  0.921 -0.829  1.052 -0.783  1.184 -0.737
2#apb#apb16#app1671/a  0.092 0.227  0.273 0.309  0.292 0.526  0.410 0.711  0.497 0.894  0.394 1.013  0.176 0.983  -0.036 0.921  -0.241 0.842  -0.432 0.730  -0.620 0.613  -0.804 0.490  -0.971 0.348  -1.121 0.186  -1.266 0.019  -1.403 -0.154  -1.504 -0.348  -1.510 -0.566  -1.367 -0.704  -1.153 -0.684  -0.940 -0.624  -0.736 -0.539  -0.536 -0.445  -0.345 -0.334  -0.159 -0.215  0.014 -0.077  0.187 0.061  0.360 0.198  0.521 0.347  0.656 0.523  0.730 0.729  0.700 0.917  0.548 0.831  0.428 0.645  0.317 0.454  0.202 0.266  0.088 0.076  0.004 -0.128  -0.054 -0.339  -0.067 -0.560  -0.040 -0.778  0.091 -0.942  0.305 -0.999  0.517 -0.986  0.729 -0.921  0.940 -0.855  1.150 -0.785  1.359 -0.713  1.562 -0.626  1.765 -0.539
2#apb#apb16#app1671/n  -1.851 -0.279  -1.806 -0.223  -1.679 -0.114  -1.532 -0.034  -1.385 0.046  -1.234 0.119  -1.076 0.175  -0.917 0.227  -0.757 0.277  -0.612 0.362  -0.464 0.441  -0.314 0.516  -0.148 0.534  0.012 0.538  0.108 0.406  0.112 0.239  0.059 0.081  0.007 -0.079  -0.050 -0.236  -0.125 -0.386  -0.225 -0.519  -0.338 -0.642  -0.457 -0.760  -0.601 -0.845  -0.667 -0.805  -0.632 -0.655  -0.545 -0.512  -0.447 -0.377  -0.339 -0.249  -0.214 -0.138  -0.082 -0.034  0.057 0.059  0.198 0.150  0.343 0.234  0.489 0.315  0.638 0.393  0.788 0.468  0.946 0.519  1.111 0.550  1.266 0.612  1.397 0.625  1.338 0.473  1.266 0.322  1.217 0.164  1.189 0.001  1.119 -0.150  1.116 -0.318  1.093 -0.479  1.234 -0.528  1.397 -0.487
2#apb#apb16#app1671/t  -1.528 -1.372  -1.379 -1.177  -1.169 -1.038  -0.953 -0.907  -0.763 -0.742  -0.585 -0.561  -0.395 -0.394  -0.220 -0.211  -0.049 -0.023  0.119 0.167  0.286 0.358  0.430 0.566  0.595 0.755  0.695 0.981  0.783 1.218  0.819 1.273  0.694 1.052  0.544 0.848  0.400 0.639  0.252 0.433  0.099 0.232  -0.049 0.026  -0.196 -0.181  -0.323 -0.401  -0.423 -0.633  -0.460 -0.881  -0.413 -1.126  -0.205 -1.231  0.045 -1.196  0.281 -1.106  0.499 -0.978  0.484 -0.816  0.302 -0.640  0.120 -0.464  -0.063 -0.287  -0.245 -0.111  -0.427 0.065  -0.609 0.242  -0.791 0.418  -0.916 0.564  -0.665 0.590  -0.414 0.619  -0.160 0.619  0.092 0.635  0.345 0.660  0.598 0.673  0.851 0.682  1.104 0.704  1.356 0.731  1.608 0.728
2#apb#apb16#app1671/i  -1.429 -1.053  -1.352 -0.944  -1.282 -0.821  -1.162 -0.740  -1.037 -0.666  -0.915 -0.587  -0.803 -0.494  -0.688 -0.404  -0.571 -0.317  -0.445 -0.245  -0.329 -0.158  -0.227 -0.055  -0.143 0.064  -0.075 0.192  -0.047 0.266  -0.088 0.232  -0.168 0.111  -0.262 0.000  -0.357 -0.109  -0.432 -0.234  -0.481 -0.369  -0.531 -0.506  -0.515 -0.648  -0.467 -0.785  -0.332 -0.812  -0.187 -0.800  -0.046 -0.764  0.095 -0.728  0.236 -0.690  0.375 -0.649  0.505 -0.583  0.636 -0.518  0.652 -0.379  0.659 -0.233  0.666 -0.088  0.673 0.058  0.680 0.203  0.687 0.349  0.694 0.494  0.700 0.640  0.707 0.785  0.714 0.931  0.721 1.077  0.728 1.222  0.735 1.368  0.742 1.513  0.794 1.639  0.743 1.529  0.653 1.414  0.575 1.292
2#apb#apb16#app1671/c  0.360 0.480  0.342 0.407  0.248 0.280  0.167 0.144  0.113 0.000  0.186 -0.058  0.330 0.008  0.465 0.090  0.596 0.180  0.725 0.273  0.839 0.378  0.919 0.515  0.963 0.666  0.948 0.820  0.869 0.956  0.743 1.053  0.594 1.089  0.436 1.083  0.280 1.057  0.135 0.994  -0.011 0.930  -0.155 0.864  -0.284 0.773  -0.408 0.675  -0.532 0.576  -0.656 0.476  -0.763 0.360  -0.862 0.236  -0.952 0.106  -1.033 -0.030  -1.122 -0.161  -1.209 -0.293  -1.238 -0.448  -1.209 -0.604  -1.128 -0.738  -1.000 -0.831  -0.856 -0.888  -0.700 -0.914  -0.543 -0.934  -0.385 -0.950  -0.227 -0.957  -0.069 -0.944  0.089 -0.931  0.247 -0.913  0.404 -0.893  0.562 -0.872  0.717 -0.841  0.873 -0.809  1.024 -0.763  1.168 -0.698
2#apb#apb16#app1671/j  -0.432 0.503  -0.596 0.541  -0.456 0.503  -0.275 0.503  -0.102 0.542  0.066 0.607  0.234 0.673  0.398 0.748  0.545 0.850  0.671 0.978  0.766 1.130  0.790 1.306  0.798 1.428  0.746 1.255  0.692 1.083  0.614 0.920  0.541 0.755  0.478 0.586  0.402 0.423  0.315 0.264  0.243 0.099  0.173 -0.067  0.109 -0.236  0.045 -0.405  -0.018 -0.574  -0.085 -0.742  -0.160 -0.906  -0.241 -1.067  -0.331 -1.224  -0.429 -1.375  -0.543 -1.514  -0.694 -1.609  -0.852 -1.553  -0.914 -1.390  -0.940 -1.211  -0.905 -1.035  -0.846 -0.864  -0.767 -0.702  -0.675 -0.547  -0.573 -0.399  -0.451 -0.266  -0.328 -0.134  -0.184 -0.026  -0.032 0.071  0.121 0.166  0.282 0.247  0.449 0.315  0.613 0.391  0.781 0.454  0.955 0.503
2#apb#apb16#app1671/o  0.724 0.590  0.658 0.733  0.493 0.780  0.328 0.793  0.171 0.719  0.022 0.630  -0.115 0.522  -0.247 0.410  -0.369 0.286  -0.487 0.158  -0.604 0.029  -0.718 -0.102  -0.833 -0.233  -0.942 -0.368  -1.052 -0.503  -1.149 -0.647  -1.221 -0.803  -1.202 -0.964  -1.064 -1.061  -0.903 -1.124  -0.732 -1.095  -0.560 -1.065  -0.390 -1.031  -0.221 -0.989  -0.052 -0.947  0.114 -0.896  0.276 -0.831  0.437 -0.767  0.588 -0.680  0.737 -0.591  0.865 -0.474  0.982 -0.347  1.065 -0.194  1.115 -0.029  1.116 0.142  1.078 0.311  1.030 0.479  0.959 0.636  0.872 0.786  0.728 0.883  0.569 0.937  0.395 0.937  0.228 0.894  0.063 0.839  -0.097 0.773  -0.254 0.698  -0.411 0.623  -0.541 0.509  -0.664 0.386  -0.787 0.263
2#apb#apb16#app1671/u  -0.149 0.772  -0.069 0.918  -0.061 1.058  -0.145 1.043  -0.274 0.939  -0.392 0.823  -0.500 0.695  -0.599 0.562  -0.690 0.422  -0.781 0.282  -0.885 0.152  -0.989 0.022  -1.085 -0.114  -1.178 -0.253  -1.259 -0.398  -1.328 -0.550  -1.361 -0.710  -1.281 -0.849  -1.134 -0.864  -0.974 -0.815  -0.813 -0.772  -0.652 -0.729  -0.493 -0.679  -0.334 -0.628  -0.191 -0.547  -0.059 -0.446  0.073 -0.345  0.219 -0.264  0.365 -0.183  0.504 -0.092  0.636 0.010  0.750 0.129  0.846 0.265  0.903 0.422  0.953 0.581  0.967 0.746  1.002 0.894  1.028 0.834  1.023 0.668  0.985 0.505  0.948 0.343  0.912 0.180  0.866 0.021  0.791 -0.128  0.719 -0.278  0.672 -0.438  0.625 -0.598  0.561 -0.752  0.586 -0.901  0.744 -0.954
2#apb#apb16#app1671/r  -1.774 -0.695  -1.715 -0.682  -1.611 -0.629  -1.475 -0.642  -1.312 -0.629  -1.154 -0.592  -1.005 -0.524  -0.858 -0.451  -0.727 -0.352  -0.597 -0.252  -0.465 -0.154  -0.343 -0.045  -0.242 0.084  -0.138 0.211  -0.031 0.335  0.053 0.475  0.126 0.622  0.191 0.772  0.246 0.927  0.289 1.085  0.301 1.245  0.242 1.396  0.140 1.302  0.063 1.158  -0.025 1.027  -0.033 0.867  0.009 0.709  0.134 0.623  0.283 0.554  0.442 0.522  0.546 0.406  0.646 0.279  0.669 0.120  0.575 -0.005  0.443 -0.102  0.312 -0.202  0.177 -0.294  0.049 -0.394  -0.054 -0.521  -0.087 -0.657  0.049 -0.736  0.207 -0.782  0.367 -0.771  0.528 -0.741  0.691 -0.719  0.854 -0.703  1.016 -0.677  1.176 -0.640  1.335 -0.598  1.483 -0.531
2#apb#apb16#app1671/n  -0.458 0.315  -0.422 0.497  -0.319 0.651  -0.214 0.754  -0.242 0.571  -0.298 0.395  -0.385 0.231  -0.474 0.069  -0.568 -0.091  -0.669 -0.247  -0.781 -0.396  -0.893 -0.543  -1.008 -0.689  -1.132 -0.827  -1.263 -0.959  -1.301 -0.863  -1.218 -0.696  -1.122 -0.537  -1.020 -0.383  -0.908 -0.234  -0.786 -0.096  -0.642 0.021  -0.500 0.140  -0.364 0.267  -0.229 0.395  -0.098 0.526  0.046 0.642  0.199 0.747  0.363 0.835  0.530 0.916  0.701 0.989  0.875 1.053  1.043 1.072  1.119 0.910  1.078 0.730  1.039 0.548  0.970 0.376  0.887 0.210  0.790 0.052  0.689 -0.104  0.586 -0.259  0.485 -0.415  0.389 -0.573  0.330 -0.744  0.414 -0.895  0.587 -0.911  0.772 -0.894  0.956 -0.874  1.141 -0.852  1.325 -0.830
2#apb#apb16#app1671/e  -1.460 -0.855  -1.360 -0.762  -1.196 -0.723  -1.030 -0.673  -0.866 -0.619  -0.700 -0.568  -0.535 -0.514  -0.373 -0.453  -0.211 -0.393  -0.055 -0.316  0.100 -0.239  0.241 -0.138  0.378 -0.033  0.502 0.087  0.618 0.216  0.704 0.365  0.781 0.520  0.810 0.691  0.829 0.863  0.829 1.036  0.815 1.206  0.711 1.342  0.560 1.405  0.410 1.321  0.282 1.204  0.151 1.090  0.010 0.989  -0.131 0.889  -0.256 0.769  -0.379 0.647  -0.495 0.519  -0.602 0.383  -0.710 0.247  -0.773 0.086  -0.825 -0.077  -0.780 -0.244  -0.706 -0.398  -0.605 -0.537  -0.459 -0.631  -0.305 -0.707  -0.138 -0.752  0.031 -0.785  0.204 -0.785  0.378 -0.785  0.551 -0.785  0.724 -0.782  0.892 -0.740  1.038 -0.662  1.149 -0.529  1.250 -0.388
