3#app#app31#app3192/T  0.033 -0.089  0.114 0.038  0.146 0.185  0.194 0.326  0.194 0.486  0.187 0.468  0.114 0.337  0.114 0.177  0.053 0.031  0.033 -0.125  0.033 -0.286  -0.019 -0.434  -0.048 -0.588  -0.048 -0.748  -0.048 -0.909  -0.048 -1.069  -0.048 -1.230  -0.048 -1.391  -0.048 -1.551  0.029 -1.611  -0.038 -1.465  -0.105 -1.319  -0.172 -1.173  -0.239 -1.027  -0.306 -0.881  -0.373 -0.735  -0.440 -0.589  -0.507 -0.443  -0.573 -0.297  -0.640 -0.151  -0.707 -0.005  -0.774 0.141  -0.841 0.287  -0.854 0.444  -0.724 0.475  -0.568 0.497  -0.425 0.569  -0.281 0.640  -0.132 0.699  0.017 0.759  0.154 0.838  0.267 0.951  0.417 1.006  0.566 1.064  0.712 1.131  0.864 1.182  0.992 1.273  1.149 1.281  1.266 1.386  1.403 1.442
3#app#app31#app3192/d  -0.229 -0.454  -0.303 -0.344  -0.377 -0.235  -0.452 -0.125  -0.613 -0.179  -0.774 -0.235  -0.828 -0.394  -0.889 -0.553  -0.999 -0.627  -0.999 -0.811  -0.999 -0.995  -0.953 -1.160  -0.795 -1.224  -0.611 -1.224  -0.433 -1.209  -0.303 -1.079  -0.158 -0.969  0.001 -0.880  0.103 -0.727  0.205 -0.573  0.289 -0.409  0.321 -0.233  0.321 -0.049  0.388 0.120  0.431 0.294  0.431 0.478  0.431 0.662  0.431 0.846  0.431 1.030  0.373 1.201  0.321 1.373  0.321 1.557  0.321 1.741  0.161 1.696  0.101 1.536  0.101 1.352  0.101 1.168  0.101 0.984  0.117 0.802  0.162 0.623  0.206 0.444  0.211 0.261  0.269 0.090  0.368 -0.062  0.431 -0.220  0.473 -0.387  0.541 -0.543  0.651 -0.682  0.732 -0.784  0.871 -0.894
3#app#app31#app3192/p  0.267 0.966  0.339 1.154  0.382 1.039  0.368 0.824  0.271 0.630  0.267 0.413  0.179 0.217  0.152 0.006  0.087 -0.197  -0.010 -0.391  -0.107 -0.586  -0.204 -0.780  -0.302 -0.975  -0.308 -1.191  -0.393 -1.388  -0.423 -1.598  -0.521 -1.775  -0.653 -1.875  -0.653 -1.657  -0.653 -1.440  -0.575 -1.254  -0.538 -1.052  -0.538 -0.835  -0.493 -0.625  -0.425 -0.418  -0.423 -0.201  -0.334 -0.005  -0.237 0.190  -0.193 0.397  -0.193 0.614  -0.044 0.770  0.037 0.954  0.118 1.122  0.267 1.247  0.409 1.338  0.590 1.426  0.726 1.278  0.726 1.060  0.726 0.843  0.726 0.625  0.726 0.408  0.594 0.242  0.497 0.047  0.327 -0.068  0.156 -0.179  -0.060 -0.183  -0.193 -0.098  -0.193 0.119  -0.193 0.337  -0.078 0.507
3#app#app31#app3192/o  0.578 0.838  0.431 0.838  0.284 0.838  0.137 0.838  0.006 0.801  -0.098 0.697  -0.230 0.660  -0.358 0.615  -0.462 0.511  -0.566 0.407  -0.670 0.303  -0.774 0.199  -0.848 0.083  -0.856 -0.061  -0.959 -0.164  -1.027 -0.284  -1.027 -0.431  -1.027 -0.578  -1.027 -0.724  -1.027 -0.871  -0.975 -0.997  -0.871 -1.101  -0.733 -1.123  -0.586 -1.123  -0.439 -1.123  -0.292 -1.123  -0.145 -1.123  -0.038 -1.026  0.066 -0.922  0.169 -0.819  0.273 -0.715  0.377 -0.611  0.481 -0.507  0.585 -0.403  0.689 -0.299  0.793 -0.195  0.897 -0.091  0.935 0.040  0.935 0.187  0.935 0.334  0.935 0.481  0.935 0.628  0.935 0.775  0.851 0.838  0.719 0.875  0.615 0.979  0.484 1.016  0.400 0.954  0.368 0.838  0.221 0.838
3#app#app31#app3192/s  0.607 1.051  0.458 1.051  0.310 1.051  0.161 1.051  0.012 1.051  -0.136 1.051  -0.285 1.051  -0.434 1.051  -0.582 1.051  -0.731 1.051  -0.879 1.051  -0.898 0.921  -0.898 0.772  -0.847 0.675  -0.701 0.666  -0.596 0.561  -0.491 0.456  -0.386 0.351  -0.281 0.246  -0.176 0.141  -0.040 0.111  0.109 0.111  0.250 0.092  0.355 -0.013  0.471 -0.103  0.604 -0.170  0.737 -0.236  0.854 -0.325  0.959 -0.430  1.098 -0.454  1.171 -0.529  1.171 -0.678  1.171 -0.826  1.026 -0.830  0.878 -0.830  0.729 -0.830  0.580 -0.830  0.432 -0.830  0.283 -0.830  0.134 -0.830  -0.014 -0.830  -0.163 -0.830  -0.312 -0.830  -0.460 -0.830  -0.583 -0.768  -0.688 -0.663  -0.828 -0.642  -0.977 -0.642  -1.086 -0.602  -1.086 -0.454
3#app#app31#app3192/e  -0.803 -0.200  -0.936 -0.067  -0.976 0.105  -0.976 0.293  -0.813 0.319  -0.798 0.146  -0.609 0.146  -0.421 0.146  -0.233 0.146  -0.044 0.146  0.120 0.088  0.261 -0.027  0.449 -0.027  0.638 -0.027  0.826 -0.027  1.014 -0.027  1.100 0.076  1.218 0.146  1.273 0.280  1.273 0.468  1.108 0.492  0.972 0.619  0.839 0.752  0.686 0.838  0.498 0.838  0.320 0.882  0.151 0.966  -0.027 1.011  -0.215 1.011  -0.369 0.927  -0.520 0.838  -0.665 0.768  -0.750 0.599  -0.803 0.424  -0.803 0.235  -0.803 0.047  -0.803 -0.142  -0.711 -0.292  -0.630 -0.447  -0.567 -0.609  -0.457 -0.752  -0.423 -0.926  -0.290 -1.059  -0.106 -1.070  0.027 -1.203  0.194 -1.282  0.373 -1.342  0.551 -1.401  0.738 -1.411  0.927 -1.411
3#app#app31#app3192/d  0.123 -0.389  -0.069 -0.389  -0.216 -0.280  -0.406 -0.274  -0.598 -0.274  -0.790 -0.274  -0.913 -0.343  -1.029 -0.420  -1.029 -0.612  -1.029 -0.804  -0.925 -0.953  -0.785 -1.080  -0.593 -1.080  -0.401 -1.080  -0.209 -1.080  -0.043 -1.016  0.012 -0.846  0.134 -0.702  0.195 -0.520  0.277 -0.351  0.354 -0.190  0.354 0.002  0.357 0.194  0.443 0.365  0.469 0.552  0.469 0.744  0.469 0.936  0.469 1.128  0.469 1.320  0.469 1.513  0.469 1.705  0.371 1.799  0.312 1.642  0.176 1.506  0.123 1.336  0.088 1.152  0.008 0.979  0.008 0.786  0.008 0.594  0.008 0.402  0.008 0.210  0.008 0.018  0.008 -0.175  0.038 -0.362  0.098 -0.544  0.203 -0.699  0.339 -0.835  0.469 -0.974  0.530 -1.141  0.699 -1.195
3#app#app31#app3192/a  1.180 0.118  1.180 0.339  1.030 0.499  0.874 0.655  0.717 0.811  0.495 0.811  0.274 0.811  0.052 0.811  -0.169 0.811  -0.391 0.811  -0.561 0.688  -0.738 0.580  -0.900 0.520  -0.935 0.313  -1.092 0.157  -1.297 0.118  -1.362 -0.039  -1.362 -0.260  -1.362 -0.482  -1.271 -0.666  -1.108 -0.806  -0.900 -0.819  -0.896 -1.038  -0.675 -1.038  -0.516 -0.885  -0.328 -0.806  -0.162 -0.717  -0.062 -0.519  0.044 -0.325  0.200 -0.169  0.357 -0.012  0.487 0.155  0.487 0.377  0.487 0.598  0.487 0.820  0.487 1.041  0.487 0.822  0.276 0.811  0.256 0.610  0.256 0.388  0.256 0.167  0.256 -0.055  0.371 -0.228  0.487 -0.402  0.535 -0.575  0.718 -0.614  0.718 -0.835  0.737 -1.038  0.949 -1.047  0.949 -1.269
3#app#app31#app3192/l  0.064 1.279  0.064 1.353  0.064 1.426  0.064 1.500  0.064 1.496  0.064 1.422  0.064 1.348  0.064 1.274  0.064 1.201  0.064 1.127  0.064 1.053  0.064 0.980  0.064 0.906  0.064 0.832  0.064 0.758  0.064 0.685  0.064 0.611  0.064 0.537  0.030 0.477  -0.022 0.425  -0.064 0.369  -0.064 0.295  -0.064 0.221  -0.064 0.148  -0.064 0.074  -0.064 0.000  -0.064 -0.073  -0.064 -0.147  -0.064 -0.221  -0.064 -0.295  -0.064 -0.368  -0.064 -0.442  -0.064 -0.516  -0.064 -0.590  -0.064 -0.663  -0.064 -0.737  -0.064 -0.811  -0.064 -0.884  -0.064 -0.958  -0.064 -1.032  -0.064 -1.106  -0.064 -1.179  -0.064 -1.253  -0.064 -1.327  -0.064 -1.401  -0.017 -1.455  0.036 -1.507  0.088 -1.559  0.140 -1.611  0.192 -1.663
3#app#app31#app3192/o  0.596 1.273  0.596 1.126  0.560 1.016  0.414 1.016  0.267 1.016  0.120 1.016  -0.026 1.016  -0.173 1.016  -0.319 1.016  -0.448 0.987  -0.514 0.856  -0.579 0.725  -0.645 0.594  -0.721 0.471  -0.825 0.367  -0.929 0.263  -0.949 0.125  -0.949 -0.021  -0.949 -0.168  -0.949 -0.314  -0.949 -0.461  -0.871 -0.529  -0.724 -0.529  -0.692 -0.643  -0.689 -0.789  -0.586 -0.893  -0.482 -0.996  -0.356 -1.044  -0.209 -1.044  -0.062 -1.044  0.084 -1.044  0.231 -1.044  0.377 -1.044  0.524 -1.044  0.649 -0.992  0.752 -0.888  0.853 -0.783  0.853 -0.637  0.853 -0.490  0.853 -0.344  0.853 -0.197  0.853 -0.050  0.853 0.096  0.853 0.243  0.750 0.347  0.646 0.450  0.521 0.501  0.374 0.501  0.227 0.501  0.081 0.501
3#app#app31#app3192/n  -0.332 0.044  -0.332 -0.119  -0.332 -0.282  -0.332 -0.445  -0.474 -0.466  -0.587 -0.516  -0.587 -0.679  -0.587 -0.842  -0.587 -1.005  -0.587 -1.168  -0.587 -1.331  -0.587 -1.480  -0.587 -1.317  -0.587 -1.154  -0.587 -0.991  -0.587 -0.828  -0.587 -0.665  -0.587 -0.502  -0.530 -0.352  -0.457 -0.206  -0.384 -0.061  -0.332 0.090  -0.332 0.253  -0.332 0.416  -0.315 0.572  -0.199 0.687  -0.084 0.803  -0.077 0.963  -0.034 1.108  0.081 1.223  0.197 1.338  0.312 1.454  0.427 1.569  0.433 1.420  0.433 1.257  0.433 1.094  0.433 0.931  0.462 0.780  0.578 0.665  0.688 0.548  0.688 0.385  0.688 0.222  0.688 0.059  0.688 -0.104  0.688 -0.267  0.688 -0.430  0.778 -0.556  0.893 -0.671  1.036 -0.722  1.199 -0.722
3#app#app31#app3192/g  0.348 0.860  0.470 0.860  0.384 0.947  0.348 1.055  0.276 1.105  0.174 1.156  0.081 1.228  -0.042 1.228  -0.164 1.228  -0.265 1.206  -0.287 1.105  -0.388 1.083  -0.388 0.961  -0.388 0.838  -0.388 0.715  -0.388 0.593  -0.388 0.470  -0.372 0.354  -0.286 0.267  -0.171 0.247  -0.048 0.247  0.074 0.247  0.197 0.247  0.320 0.247  0.442 0.247  0.565 0.247  0.688 0.247  0.716 0.152  0.716 0.029  0.716 -0.094  0.649 -0.188  0.562 -0.275  0.475 -0.362  0.388 -0.449  0.301 -0.535  0.225 -0.627  0.212 -0.741  0.102 -0.796  -0.008 -0.851  -0.097 -0.934  -0.184 -1.021  -0.265 -1.110  -0.272 -1.228  -0.382 -1.283  -0.492 -1.338  -0.582 -1.419  -0.669 -1.506  -0.756 -1.593  -0.879 -1.593  -0.879 -1.470
3#app#app31#app3192/s  0.475 1.051  0.398 1.128  0.321 1.205  0.244 1.283  0.161 1.347  0.052 1.347  -0.057 1.347  -0.166 1.347  -0.275 1.347  -0.385 1.347  -0.413 1.266  -0.413 1.157  -0.413 1.048  -0.413 0.938  -0.413 0.829  -0.413 0.720  -0.413 0.611  -0.413 0.502  -0.366 0.412  -0.289 0.335  -0.211 0.258  -0.134 0.180  -0.117 0.078  -0.117 -0.031  -0.112 -0.138  -0.035 -0.215  0.043 -0.292  0.120 -0.370  0.197 -0.447  0.274 -0.524  0.351 -0.601  0.429 -0.678  0.506 -0.756  0.583 -0.833  0.660 -0.910  0.737 -0.987  0.711 -1.021  0.601 -1.021  0.492 -1.021  0.383 -1.021  0.274 -1.021  0.165 -1.021  0.056 -1.021  -0.054 -1.021  -0.163 -1.021  -0.272 -1.021  -0.381 -1.021  -0.490 -1.021  -0.600 -1.021  -0.709 -1.021
3#app#app31#app3192/i  0.150 0.031  0.150 0.185  0.002 0.190  -0.009 0.333  -0.009 0.487  0.083 0.417  0.150 0.291  0.150 0.137  0.184 -0.003  0.293 -0.112  0.310 -0.259  0.310 -0.413  0.310 -0.567  0.310 -0.721  0.310 -0.875  0.238 -0.999  0.150 -1.117  0.150 -1.270  0.150 -1.424  0.163 -1.566  0.317 -1.566  0.469 -1.565  0.423 -1.418  0.377 -1.271  0.332 -1.124  0.286 -0.977  0.240 -0.830  0.194 -0.683  0.148 -0.536  0.102 -0.389  0.056 -0.242  0.010 -0.095  -0.036 0.051  -0.082 0.198  -0.128 0.345  -0.174 0.492  -0.219 0.639  -0.265 0.786  -0.311 0.933  -0.329 1.084  -0.329 1.238  -0.388 1.368  -0.488 1.480  -0.495 1.627  -0.648 1.626  -0.648 1.472  -0.648 1.318  -0.546 1.206  -0.438 1.098  -0.329 0.989
3#app#app31#app3192/d  0.330 -0.279  0.273 -0.144  0.194 -0.031  0.024 -0.008  -0.168 -0.008  -0.348 -0.020  -0.416 -0.144  -0.483 -0.269  -0.612 -0.408  -0.665 -0.550  -0.754 -0.654  -0.754 -0.846  -0.754 -1.038  -0.754 -1.230  -0.695 -1.363  -0.619 -1.478  -0.447 -1.498  -0.282 -1.433  -0.146 -1.297  0.017 -1.228  0.070 -1.081  0.194 -0.941  0.194 -0.749  0.194 -0.557  0.194 -0.365  0.228 -0.178  0.289 0.004  0.330 0.189  0.330 0.381  0.330 0.573  0.330 0.765  0.317 0.952  0.194 1.093  0.194 1.286  0.194 1.478  0.194 1.670  0.194 1.862  0.194 1.722  0.194 1.530  0.194 1.338  0.194 1.146  0.194 0.954  0.194 0.762  0.194 0.570  0.194 0.378  0.228 0.194  0.314 0.022  0.330 -0.166  0.330 -0.358  0.330 -0.550
3#app#app31#app3192/e  -0.651 -0.164  -0.480 -0.164  -0.453 -0.021  -0.453 0.150  -0.364 0.231  -0.193 0.231  -0.023 0.231  0.148 0.231  0.318 0.231  0.489 0.231  0.623 0.319  0.748 0.428  0.919 0.428  0.930 0.588  0.797 0.626  0.732 0.731  0.654 0.823  0.486 0.840  0.324 0.894  0.162 0.948  0.000 1.002  -0.167 1.021  -0.314 0.963  -0.434 0.843  -0.597 0.823  -0.733 0.741  -0.854 0.621  -0.974 0.500  -1.046 0.359  -1.046 0.188  -1.046 0.018  -1.046 -0.153  -1.046 -0.323  -0.953 -0.455  -0.826 -0.559  -0.655 -0.559  -0.533 -0.677  -0.396 -0.757  -0.228 -0.771  -0.076 -0.847  0.077 -0.923  0.240 -0.955  0.410 -0.955  0.581 -0.955  0.751 -0.955  0.922 -0.955  1.092 -0.955  1.263 -0.955  1.402 -1.031  1.522 -1.152
3#app#app31#app3192/a  0.757 0.957  0.577 0.957  0.397 0.957  0.217 0.957  0.042 0.945  -0.085 0.818  -0.250 0.782  -0.430 0.782  -0.570 0.684  -0.697 0.557  -0.824 0.430  -1.003 0.427  -1.130 0.300  -1.175 0.138  -1.261 -0.006  -1.351 -0.149  -1.351 -0.329  -1.290 -0.448  -1.175 -0.513  -1.126 -0.673  -0.998 -0.799  -0.818 -0.799  -0.638 -0.799  -0.458 -0.799  -0.284 -0.786  -0.157 -0.659  0.009 -0.623  0.054 -0.489  0.152 -0.350  0.280 -0.222  0.407 -0.095  0.534 0.032  0.581 0.193  0.664 0.338  0.757 0.480  0.757 0.660  0.699 0.782  0.581 0.719  0.581 0.539  0.581 0.359  0.581 0.179  0.617 0.008  0.697 -0.153  0.757 -0.319  0.793 -0.484  0.920 -0.611  0.932 -0.786  0.932 -0.966  1.104 -0.975  1.108 -1.150
