2#apb#apb07#app0797/W  -0.853 1.486  -0.879 1.327  -0.916 1.169  -0.948 1.010  -0.980 0.851  -1.012 0.692  -0.994 0.533  -0.963 0.373  -0.963 0.211  -0.963 0.049  -0.946 -0.112  -0.919 -0.272  -0.885 -0.430  -0.839 -0.585  -0.763 -0.726  -0.615 -0.718  -0.507 -0.601  -0.421 -0.464  -0.358 -0.315  -0.299 -0.163  -0.276 -0.003  -0.253 0.158  -0.234 0.319  -0.206 0.475  -0.106 0.380  -0.051 0.227  0.004 0.075  0.031 -0.085  0.057 -0.245  0.116 -0.397  0.177 -0.547  0.250 -0.692  0.353 -0.813  0.483 -0.908  0.628 -0.981  0.786 -1.000  0.903 -0.896  0.997 -0.764  1.042 -0.612  1.065 -0.452  1.084 -0.291  1.095 -0.129  1.106 0.033  1.092 0.194  1.069 0.355  1.033 0.511  0.969 0.660  0.915 0.810  0.926 0.730  0.970 0.574
2#apb#apb07#app0797/r  -0.760 -1.471  -0.703 -1.401  -0.664 -1.318  -0.630 -1.232  -0.596 -1.147  -0.578 -1.058  -0.567 -0.967  -0.556 -0.876  -0.544 -0.785  -0.554 -0.694  -0.565 -0.603  -0.577 -0.512  -0.589 -0.421  -0.609 -0.331  -0.629 -0.242  -0.649 -0.152  -0.669 -0.063  -0.683 0.028  -0.696 0.119  -0.709 0.209  -0.717 0.301  -0.717 0.392  -0.681 0.470  -0.616 0.534  -0.537 0.564  -0.445 0.564  -0.354 0.564  -0.265 0.544  -0.178 0.515  -0.091 0.486  -0.004 0.457  0.084 0.434  0.176 0.434  0.267 0.434  0.359 0.434  0.451 0.434  0.543 0.434  0.634 0.434  0.726 0.434  0.818 0.434  0.910 0.434  1.001 0.434  1.093 0.434  1.178 0.402  1.262 0.366  1.347 0.329  1.433 0.304  1.525 0.304  1.617 0.304  1.708 0.304
2#apb#apb07#app0797/m  -1.344 -0.473  -1.213 -0.509  -1.201 -0.384  -1.181 -0.249  -1.171 -0.114  -1.190 0.021  -1.214 0.156  -1.243 0.289  -1.273 0.422  -1.300 0.556  -1.287 0.679  -1.156 0.704  -1.021 0.689  -0.885 0.669  -0.757 0.622  -0.629 0.574  -0.516 0.500  -0.408 0.416  -0.300 0.333  -0.191 0.250  -0.082 0.168  0.027 0.085  0.130 -0.004  0.234 -0.093  0.306 -0.206  0.368 -0.328  0.395 -0.462  0.404 -0.598  0.404 -0.734  0.375 -0.658  0.321 -0.533  0.297 -0.401  0.297 -0.265  0.297 -0.128  0.302 0.008  0.340 0.139  0.394 0.259  0.503 0.341  0.638 0.347  0.757 0.286  0.870 0.209  0.975 0.122  1.077 0.031  1.174 -0.065  1.269 -0.163  1.357 -0.268  1.444 -0.373  1.514 -0.489  1.546 -0.622  1.546 -0.759
2#apb#apb07#app0797/e  -1.018 0.608  -0.908 0.498  -0.807 0.382  -0.714 0.258  -0.598 0.159  -0.462 0.089  -0.312 0.051  -0.157 0.045  -0.004 0.059  0.146 0.096  0.286 0.162  0.396 0.252  0.422 0.405  0.446 0.558  0.446 0.713  0.424 0.865  0.376 1.002  0.227 1.037  0.087 1.014  -0.047 0.937  -0.182 0.861  -0.319 0.789  -0.457 0.719  -0.595 0.648  -0.727 0.568  -0.861 0.491  -1.008 0.442  -1.064 0.302  -1.020 0.161  -0.944 0.027  -0.835 -0.082  -0.725 -0.192  -0.616 -0.301  -0.489 -0.385  -0.348 -0.449  -0.207 -0.513  -0.066 -0.577  0.075 -0.642  0.216 -0.706  0.357 -0.770  0.498 -0.834  0.639 -0.898  0.788 -0.938  0.939 -0.972  1.090 -1.006  1.243 -1.025  1.398 -1.025  1.553 -1.025  1.692 -1.003  1.741 -0.856
2#apb#apb07#app0797/n  -1.357 -0.601  -1.277 -0.649  -1.196 -0.698  -1.113 -0.735  -1.019 -0.735  -0.959 -0.673  -0.905 -0.595  -0.845 -0.524  -0.793 -0.446  -0.777 -0.357  -0.777 -0.263  -0.777 -0.170  -0.777 -0.076  -0.777 0.018  -0.777 0.112  -0.777 0.206  -0.777 0.299  -0.777 0.393  -0.734 0.469  -0.667 0.535  -0.585 0.571  -0.493 0.589  -0.400 0.601  -0.307 0.590  -0.214 0.578  -0.121 0.566  -0.028 0.553  0.064 0.536  0.156 0.519  0.249 0.502  0.341 0.486  0.433 0.467  0.517 0.425  0.600 0.383  0.684 0.341  0.768 0.300  0.842 0.242  0.913 0.181  0.984 0.120  1.056 0.059  1.112 -0.013  1.149 -0.099  1.186 -0.185  1.223 -0.271  1.249 -0.361  1.272 -0.452  1.285 -0.545  1.297 -0.638  1.308 -0.731  1.320 -0.824
2#apb#apb07#app0797/t  0.333 1.957  0.333 1.787  0.333 1.618  0.345 1.449  0.356 1.280  0.365 1.111  0.356 0.941  0.347 0.772  0.338 0.603  0.343 0.435  0.369 0.267  0.394 0.099  0.419 -0.068  0.421 -0.236  0.400 -0.404  0.379 -0.572  0.352 -0.739  0.314 -0.905  0.276 -1.070  0.203 -1.221  0.121 -1.369  0.041 -1.453  0.034 -1.300  -0.076 -1.171  -0.185 -1.041  -0.295 -0.912  -0.404 -0.783  -0.514 -0.654  -0.623 -0.524  -0.733 -0.395  -0.843 -0.266  -0.952 -0.137  -1.062 -0.007  -1.171 0.122  -1.248 0.083  -1.095 0.031  -0.936 -0.018  -0.770 0.017  -0.604 0.053  -0.438 0.086  -0.271 0.112  -0.103 0.138  0.064 0.165  0.230 0.198  0.395 0.237  0.560 0.276  0.726 0.311  0.894 0.330  1.060 0.360  1.223 0.407
2#apb#apb07#app0797/o  -0.843 0.723  -0.747 0.657  -0.831 0.573  -0.900 0.479  -0.953 0.373  -1.014 0.272  -1.080 0.173  -1.114 0.063  -1.130 -0.055  -1.101 -0.166  -1.055 -0.275  -0.985 -0.367  -0.901 -0.451  -0.817 -0.535  -0.716 -0.596  -0.614 -0.656  -0.512 -0.716  -0.408 -0.771  -0.292 -0.792  -0.175 -0.814  -0.059 -0.836  0.058 -0.858  0.174 -0.850  0.290 -0.826  0.406 -0.803  0.522 -0.780  0.634 -0.745  0.742 -0.697  0.851 -0.649  0.909 -0.552  0.953 -0.442  0.996 -0.332  0.991 -0.216  0.975 -0.099  0.959 0.018  0.944 0.136  0.900 0.244  0.845 0.349  0.789 0.453  0.733 0.557  0.676 0.661  0.585 0.737  0.494 0.812  0.403 0.888  0.312 0.964  0.220 1.037  0.126 1.110  0.033 1.183  -0.077 1.209  -0.195 1.209
2#apb#apb07#app0797/S  0.445 1.513  0.403 1.487  0.320 1.441  0.229 1.413  0.137 1.386  0.060 1.335  -0.007 1.268  -0.074 1.200  -0.146 1.138  -0.221 1.079  -0.296 1.021  -0.361 0.952  -0.423 0.879  -0.474 0.800  -0.517 0.715  -0.520 0.620  -0.508 0.529  -0.458 0.448  -0.407 0.367  -0.341 0.299  -0.273 0.232  -0.206 0.165  -0.137 0.099  -0.067 0.034  0.003 -0.030  0.073 -0.094  0.147 -0.154  0.223 -0.211  0.300 -0.268  0.376 -0.325  0.439 -0.397  0.502 -0.468  0.565 -0.539  0.622 -0.616  0.615 -0.707  0.574 -0.787  0.499 -0.845  0.424 -0.903  0.343 -0.953  0.259 -0.998  0.175 -1.043  0.091 -1.089  0.008 -1.134  -0.076 -1.179  -0.160 -1.224  -0.248 -1.258  -0.340 -1.283  -0.432 -1.308  -0.526 -1.314  -0.612 -1.291
2#apb#apb07#app0797/p  -0.388 -0.930  -0.335 -1.063  -0.281 -1.196  -0.199 -1.313  -0.117 -1.430  -0.043 -1.553  0.046 -1.658  0.021 -1.537  -0.019 -1.399  -0.058 -1.262  -0.098 -1.124  -0.138 -0.987  -0.178 -0.849  -0.218 -0.712  -0.256 -0.574  -0.292 -0.435  -0.327 -0.297  -0.363 -0.158  -0.399 -0.020  -0.429 0.120  -0.455 0.261  -0.480 0.402  -0.506 0.543  -0.519 0.685  -0.519 0.828  -0.488 0.964  -0.424 1.092  -0.334 1.196  -0.211 1.269  -0.082 1.320  0.061 1.320  0.205 1.320  0.329 1.253  0.453 1.180  0.555 1.087  0.623 0.961  0.690 0.835  0.748 0.704  0.801 0.571  0.804 0.432  0.787 0.290  0.747 0.152  0.642 0.069  0.513 0.008  0.375 -0.030  0.237 -0.067  0.094 -0.067  -0.049 -0.067  -0.193 -0.067  -0.336 -0.067
2#apb#apb07#app0797/a  0.098 0.864  0.200 0.864  0.070 0.864  -0.060 0.864  -0.190 0.864  -0.320 0.864  -0.450 0.861  -0.570 0.810  -0.689 0.759  -0.812 0.715  -0.935 0.674  -1.031 0.588  -1.123 0.496  -1.162 0.376  -1.188 0.248  -1.213 0.120  -1.185 -0.003  -1.140 -0.125  -1.083 -0.239  -0.986 -0.326  -0.889 -0.412  -0.792 -0.499  -0.680 -0.561  -0.559 -0.610  -0.438 -0.658  -0.313 -0.686  -0.183 -0.686  -0.053 -0.686  0.049 -0.619  0.141 -0.527  0.233 -0.435  0.325 -0.343  0.417 -0.251  0.498 -0.151  0.546 -0.030  0.594 0.091  0.644 0.211  0.716 0.319  0.821 0.327  0.898 0.225  0.941 0.102  0.976 -0.023  1.043 -0.131  1.126 -0.231  1.194 -0.340  1.230 -0.465  1.271 -0.587  1.338 -0.697  1.338 -0.827  1.338 -0.957
2#apb#apb07#app0797/i  -0.211 -0.270  -0.195 -0.363  -0.179 -0.457  -0.166 -0.550  -0.157 -0.644  -0.147 -0.739  -0.138 -0.833  -0.128 -0.926  -0.081 -1.009  -0.034 -1.091  0.013 -1.173  0.075 -1.242  0.149 -1.302  0.222 -1.361  0.230 -1.301  0.217 -1.207  0.205 -1.114  0.193 -1.020  0.181 -0.926  0.169 -0.832  0.157 -0.739  0.144 -0.645  0.132 -0.551  0.120 -0.457  0.108 -0.363  0.096 -0.270  0.084 -0.176  0.071 -0.082  0.059 0.012  0.047 0.106  0.035 0.199  0.023 0.293  0.010 0.387  -0.002 0.481  -0.014 0.575  -0.026 0.668  -0.038 0.762  -0.050 0.856  -0.063 0.950  -0.075 1.043  -0.087 1.137  -0.099 1.231  -0.111 1.325  -0.124 1.419  -0.136 1.512  -0.148 1.606  -0.160 1.700  -0.149 1.774  -0.057 1.792  0.035 1.815
2#apb#apb07#app0797/n  -1.065 -0.355  -1.006 -0.454  -0.947 -0.552  -0.888 -0.651  -0.829 -0.749  -0.782 -0.854  -0.737 -0.959  -0.677 -1.043  -0.620 -1.115  -0.620 -1.001  -0.598 -0.888  -0.575 -0.775  -0.553 -0.663  -0.543 -0.549  -0.552 -0.435  -0.561 -0.320  -0.570 -0.206  -0.578 -0.091  -0.560 0.021  -0.536 0.134  -0.512 0.246  -0.488 0.358  -0.464 0.470  -0.439 0.583  -0.414 0.695  -0.389 0.807  -0.322 0.886  -0.219 0.937  -0.115 0.976  -0.002 0.953  0.110 0.931  0.223 0.908  0.330 0.869  0.432 0.817  0.535 0.766  0.624 0.698  0.696 0.608  0.768 0.518  0.839 0.429  0.911 0.339  0.971 0.241  1.030 0.143  1.089 0.044  1.148 -0.054  1.178 -0.164  1.200 -0.277  1.223 -0.389  1.248 -0.501  1.285 -0.610  1.321 -0.719
2#apb#apb07#app0797/t  0.042 1.759  0.126 1.645  0.126 1.479  0.126 1.313  0.113 1.147  0.099 0.982  0.086 0.816  0.056 0.653  0.023 0.490  -0.005 0.326  -0.022 0.161  -0.038 -0.004  -0.064 -0.168  -0.094 -0.332  -0.124 -0.495  -0.156 -0.658  -0.189 -0.821  -0.210 -0.985  -0.210 -1.151  -0.210 -1.317  -0.301 -1.419  -0.371 -1.268  -0.440 -1.117  -0.510 -0.966  -0.579 -0.815  -0.649 -0.665  -0.719 -0.514  -0.788 -0.363  -0.858 -0.212  -0.928 -0.061  -0.997 0.090  -1.012 0.205  -0.869 0.149  -0.749 0.038  -0.583 0.049  -0.417 0.060  -0.252 0.071  -0.086 0.084  0.079 0.105  0.244 0.125  0.408 0.146  0.573 0.167  0.738 0.187  0.903 0.205  1.069 0.205  1.235 0.205  1.402 0.205  1.568 0.205  1.693 0.108  1.722 -0.047
2#apb#apb07#app0797/h  -0.435 -1.151  -0.304 -1.236  -0.246 -1.095  -0.215 -0.939  -0.189 -0.782  -0.180 -0.624  -0.180 -0.464  -0.180 -0.305  -0.180 -0.146  -0.180 0.014  -0.180 0.173  -0.175 0.332  -0.164 0.491  -0.152 0.650  -0.160 0.809  -0.170 0.968  -0.181 1.127  -0.212 1.283  -0.236 1.440  -0.236 1.599  -0.177 1.707  -0.159 1.551  -0.184 1.394  -0.208 1.236  -0.232 1.079  -0.257 0.922  -0.281 0.764  -0.306 0.607  -0.330 0.449  -0.354 0.292  -0.379 0.134  -0.403 -0.023  -0.428 -0.181  -0.452 -0.338  -0.437 -0.492  -0.367 -0.583  -0.208 -0.583  -0.048 -0.583  0.105 -0.551  0.255 -0.497  0.413 -0.479  0.572 -0.469  0.726 -0.486  0.859 -0.575  0.955 -0.701  1.032 -0.838  1.082 -0.990  1.113 -1.145  1.126 -1.304  1.126 -1.463
2#apb#apb07#app0797/e  -1.024 0.514  -0.882 0.444  -0.740 0.373  -0.627 0.261  -0.486 0.201  -0.335 0.153  -0.188 0.094  -0.033 0.107  0.123 0.133  0.280 0.152  0.438 0.172  0.594 0.198  0.746 0.234  0.834 0.366  0.875 0.519  0.835 0.664  0.764 0.806  0.681 0.940  0.553 1.015  0.398 1.040  0.239 1.040  0.084 1.023  -0.061 0.958  -0.205 0.894  -0.343 0.818  -0.462 0.714  -0.581 0.609  -0.701 0.505  -0.825 0.406  -0.943 0.302  -1.020 0.168  -0.970 0.018  -0.907 -0.124  -0.787 -0.227  -0.666 -0.330  -0.549 -0.437  -0.437 -0.549  -0.325 -0.661  -0.213 -0.773  -0.081 -0.861  0.050 -0.949  0.182 -1.037  0.324 -1.108  0.469 -1.172  0.613 -1.237  0.763 -1.290  0.913 -1.340  1.061 -1.296  1.209 -1.242  1.363 -1.204
2#apb#apb07#app0797/n  -1.206 -0.736  -1.113 -0.759  -1.021 -0.772  -0.940 -0.724  -0.886 -0.644  -0.862 -0.555  -0.862 -0.459  -0.862 -0.363  -0.862 -0.267  -0.862 -0.171  -0.862 -0.075  -0.862 0.021  -0.862 0.117  -0.837 0.210  -0.811 0.302  -0.784 0.395  -0.747 0.483  -0.704 0.569  -0.661 0.655  -0.595 0.722  -0.519 0.779  -0.435 0.800  -0.343 0.773  -0.251 0.745  -0.159 0.717  -0.067 0.690  0.019 0.648  0.103 0.602  0.188 0.556  0.272 0.510  0.356 0.464  0.438 0.414  0.501 0.342  0.564 0.270  0.627 0.197  0.691 0.125  0.752 0.051  0.811 -0.024  0.870 -0.100  0.929 -0.176  0.988 -0.252  1.044 -0.330  1.092 -0.413  1.139 -0.497  1.187 -0.580  1.223 -0.669  1.253 -0.760  1.284 -0.851  1.308 -0.944  1.331 -1.037
2#apb#apb07#app0797/o  -0.223 0.442  -0.220 0.518  -0.336 0.604  -0.481 0.604  -0.627 0.604  -0.766 0.575  -0.890 0.501  -0.984 0.391  -1.039 0.263  -1.050 0.118  -1.060 -0.027  -1.060 -0.173  -1.044 -0.314  -0.966 -0.437  -0.887 -0.560  -0.786 -0.663  -0.678 -0.761  -0.569 -0.858  -0.441 -0.927  -0.313 -0.996  -0.179 -1.041  -0.034 -1.032  0.112 -1.022  0.247 -0.979  0.372 -0.905  0.498 -0.832  0.624 -0.758  0.747 -0.681  0.871 -0.604  0.995 -0.527  1.097 -0.430  1.162 -0.300  1.206 -0.165  1.196 -0.020  1.185 0.125  1.121 0.250  1.031 0.364  0.941 0.479  0.838 0.580  0.716 0.659  0.593 0.737  0.465 0.802  0.322 0.832  0.180 0.863  0.038 0.853  -0.104 0.820  -0.247 0.793  -0.392 0.793  -0.528 0.756  -0.655 0.685
2#apb#apb07#app0797/n  -1.120 -0.693  -1.066 -0.774  -0.985 -0.804  -0.970 -0.794  -0.951 -0.699  -0.932 -0.604  -0.913 -0.509  -0.898 -0.413  -0.898 -0.316  -0.898 -0.219  -0.898 -0.121  -0.898 -0.024  -0.891 0.072  -0.863 0.165  -0.835 0.258  -0.807 0.351  -0.767 0.437  -0.698 0.505  -0.630 0.574  -0.559 0.641  -0.468 0.674  -0.377 0.707  -0.285 0.740  -0.194 0.773  -0.101 0.773  -0.006 0.751  0.089 0.729  0.183 0.708  0.278 0.686  0.357 0.637  0.422 0.565  0.487 0.493  0.552 0.421  0.617 0.349  0.676 0.272  0.727 0.189  0.778 0.107  0.829 0.024  0.880 -0.059  0.931 -0.142  0.971 -0.230  1.004 -0.321  1.038 -0.412  1.071 -0.503  1.104 -0.595  1.134 -0.687  1.165 -0.779  1.196 -0.871  1.211 -0.966  1.211 -1.063
2#apb#apb07#app0797/t  0.005 1.652  0.065 1.486  0.126 1.319  0.162 1.146  0.191 0.972  0.199 0.796  0.181 0.620  0.173 0.443  0.173 0.266  0.173 0.088  0.127 -0.082  0.074 -0.251  0.021 -0.420  -0.013 -0.594  -0.038 -0.769  -0.063 -0.944  -0.098 -1.118  -0.130 -1.292  -0.130 -1.296  -0.220 -1.146  -0.317 -0.998  -0.415 -0.850  -0.513 -0.702  -0.610 -0.554  -0.708 -0.406  -0.806 -0.258  -0.903 -0.110  -1.001 0.038  -1.098 0.186  -1.196 0.333  -1.202 0.322  -1.081 0.199  -0.944 0.086  -0.810 -0.029  -0.635 -0.049  -0.458 -0.065  -0.281 -0.067  -0.104 -0.067  0.073 -0.067  0.246 -0.035  0.415 0.016  0.585 0.068  0.754 0.120  0.924 0.171  1.095 0.217  1.266 0.262  1.437 0.308  1.607 0.359  1.775 0.395  1.927 0.303
