1b#app#app14#app1402/A  0.184 0.994  0.094 0.870  0.021 0.707  -0.130 0.556  -0.187 0.365  -0.219 0.157  -0.286 -0.046  -0.372 -0.242  -0.467 -0.433  -0.559 -0.625  -0.559 -0.839  -0.588 -1.046  -0.683 -1.237  -0.683 -1.451  -0.801 -1.607  -0.683 -1.511  -0.655 -1.304  -0.560 -1.113  -0.559 -0.899  -0.479 -0.704  -0.435 -0.501  -0.399 -0.295  -0.304 -0.104  -0.225 0.095  -0.146 0.293  -0.066 0.492  -0.064 0.705  0.014 0.901  0.060 1.104  0.060 1.318  0.090 1.519  0.184 1.694  0.184 1.567  0.193 1.357  0.308 1.191  0.371 0.992  0.432 0.793  0.507 0.596  0.556 0.394  0.556 0.180  0.669 0.014  0.680 -0.196  0.797 -0.361  0.804 -0.572  0.804 -0.786  0.792 -0.740  0.680 -0.638  0.488 -0.616  0.398 -0.492  0.184 -0.492
1b#app#app14#app1402/L  0.010 1.620  0.115 1.620  0.148 1.620  0.044 1.620  0.010 1.549  0.010 1.445  0.010 1.340  -0.007 1.240  -0.053 1.146  -0.100 1.052  -0.147 0.959  -0.211 0.878  -0.285 0.804  -0.338 0.721  -0.338 0.617  -0.338 0.512  -0.338 0.407  -0.338 0.303  -0.338 0.198  -0.338 0.094  -0.338 -0.011  -0.338 -0.116  -0.410 -0.190  -0.484 -0.264  -0.512 -0.357  -0.512 -0.462  -0.512 -0.566  -0.512 -0.671  -0.512 -0.776  -0.465 -0.861  -0.391 -0.935  -0.308 -0.988  -0.203 -0.988  -0.164 -0.923  -0.164 -0.818  -0.064 -0.814  0.041 -0.814  0.146 -0.814  0.250 -0.814  0.355 -0.814  0.459 -0.814  0.531 -0.781  0.531 -0.677  0.599 -0.640  0.704 -0.640  0.809 -0.640  0.913 -0.640  1.018 -0.640  1.122 -0.640  1.227 -0.640
1b#app#app14#app1402/M  -0.708 1.139  -0.514 1.080  -0.514 0.828  -0.689 0.751  -0.708 0.518  -0.708 0.265  -0.708 0.013  -0.859 -0.177  -0.902 -0.411  -0.902 -0.663  -0.902 -0.916  -0.902 -1.168  -0.902 -1.420  -0.902 -1.483  -0.749 -1.384  -0.696 -1.177  -0.517 -0.999  -0.476 -0.764  -0.320 -0.576  -0.320 -0.324  -0.215 -0.115  -0.126 0.100  -0.126 0.353  -0.126 0.605  -0.126 0.857  -0.009 1.061  0.068 0.996  0.068 0.744  0.068 0.491  0.068 0.239  0.197 0.040  0.262 -0.185  0.262 -0.437  0.262 -0.526  0.361 -0.314  0.494 -0.107  0.573 0.132  0.650 0.372  0.650 0.624  0.739 0.839  0.844 1.048  0.844 0.977  0.943 0.748  1.038 0.518  1.038 0.266  1.038 0.013  1.038 -0.239  1.038 -0.491  1.038 -0.743  1.038 -0.996
1b#app#app14#app1402/N  -0.565 0.868  -0.432 0.735  -0.375 0.572  -0.375 0.385  -0.445 0.227  -0.565 0.090  -0.572 -0.096  -0.655 -0.263  -0.739 -0.430  -0.755 -0.613  -0.755 -0.800  -0.755 -0.988  -0.755 -1.175  -0.895 -1.221  -0.807 -1.221  -0.755 -1.087  -0.662 -0.938  -0.565 -0.791  -0.565 -0.604  -0.565 -0.417  -0.546 -0.235  -0.463 -0.067  -0.379 0.100  -0.375 0.286  -0.375 0.473  -0.375 0.660  -0.206 0.678  -0.185 0.511  -0.185 0.324  -0.071 0.184  0.005 0.029  0.059 -0.136  0.191 -0.268  0.195 -0.454  0.321 -0.588  0.482 -0.652  0.575 -0.557  0.639 -0.397  0.772 -0.265  0.904 -0.132  0.954 0.034  1.005 0.209  1.088 0.376  1.144 0.550  1.144 0.737  1.144 0.924  1.168 1.105  1.252 1.273  1.334 1.440  1.334 1.627
1b#app#app14#app1402/O  -0.539 0.199  -0.375 0.199  -0.343 0.332  -0.343 0.497  -0.343 0.661  -0.343 0.826  -0.336 0.983  -0.171 0.983  -0.147 1.123  -0.038 1.179  0.126 1.179  0.291 1.179  0.441 1.165  0.441 1.001  0.589 0.983  0.637 0.867  0.637 0.703  0.675 0.554  0.791 0.437  0.833 0.290  0.833 0.126  0.833 -0.039  0.833 -0.204  0.833 -0.368  0.769 -0.518  0.696 -0.665  0.613 -0.806  0.497 -0.922  0.441 -1.064  0.403 -1.212  0.286 -1.329  0.139 -1.370  -0.026 -1.370  -0.190 -1.370  -0.343 -1.358  -0.343 -1.194  -0.446 -1.072  -0.539 -0.946  -0.540 -0.781  -0.613 -0.634  -0.687 -0.487  -0.735 -0.334  -0.735 -0.169  -0.735 -0.004  -0.735 0.160  -0.735 0.325  -0.735 0.489  -0.672 0.591  -0.508 0.591  -0.343 0.591
1b#app#app14#app1402/P  -0.245 0.652  -0.245 0.471  -0.245 0.290  -0.368 0.159  -0.431 0.004  -0.431 -0.178  -0.431 -0.359  -0.431 -0.540  -0.485 -0.699  -0.613 -0.827  -0.616 -1.008  -0.616 -1.189  -0.616 -1.370  -0.616 -1.551  -0.616 -1.409  -0.616 -1.228  -0.616 -1.046  -0.510 -0.909  -0.431 -0.761  -0.431 -0.579  -0.431 -0.398  -0.431 -0.217  -0.431 -0.035  -0.396 0.132  -0.267 0.260  -0.245 0.432  -0.180 0.598  -0.099 0.760  -0.060 0.932  -0.060 1.113  0.027 1.208  0.125 1.291  0.204 1.393  0.385 1.393  0.496 1.322  0.563 1.208  0.681 1.145  0.707 0.970  0.788 0.808  0.866 0.645  0.866 0.463  0.866 0.282  0.866 0.101  0.866 -0.081  0.866 -0.262  0.866 -0.443  0.749 -0.576  0.621 -0.704  0.492 -0.830  0.310 -0.830
1b#app#app14#app1402/Q  -0.760 0.621  -0.728 0.795  -0.587 0.860  -0.489 0.968  -0.413 1.098  -0.251 1.142  -0.219 1.315  -0.013 1.315  0.193 1.315  0.399 1.315  0.561 1.209  0.706 1.063  0.801 0.897  0.801 0.691  0.801 0.485  0.801 0.279  0.801 0.073  0.801 -0.133  0.708 -0.246  0.572 -0.358  0.480 -0.542  0.454 -0.742  0.326 -0.895  0.180 -1.041  0.005 -1.114  -0.201 -1.114  -0.407 -1.114  -0.587 -1.087  -0.628 -0.899  -0.760 -0.747  -0.760 -0.541  -0.760 -0.336  -0.760 -0.130  -0.760 0.076  -0.760 0.282  -0.760 0.488  -0.687 0.621  -0.531 0.532  -0.422 0.358  -0.313 0.183  -0.204 0.008  -0.094 -0.166  0.015 -0.341  0.124 -0.516  0.233 -0.690  0.363 -0.848  0.531 -0.940  0.628 -1.049  0.769 -1.114  0.801 -1.287
1b#app#app14#app1402/R  -0.441 0.596  -0.441 0.401  -0.441 0.205  -0.441 0.010  -0.515 -0.154  -0.610 -0.310  -0.610 -0.506  -0.610 -0.701  -0.610 -0.896  -0.610 -1.092  -0.593 -0.909  -0.455 -0.770  -0.441 -0.581  -0.441 -0.386  -0.441 -0.190  -0.441 0.005  -0.441 0.200  -0.441 0.395  -0.441 0.591  -0.307 0.730  -0.272 0.911  -0.269 1.106  -0.131 1.244  -0.103 1.427  0.025 1.569  0.204 1.610  0.235 1.446  0.404 1.420  0.404 1.225  0.404 1.029  0.449 0.845  0.536 0.670  0.573 0.484  0.475 0.329  0.404 0.163  0.404 -0.032  0.300 -0.184  0.162 -0.323  0.006 -0.418  -0.103 -0.504  0.010 -0.587  0.066 -0.726  0.214 -0.830  0.389 -0.917  0.413 -1.094  0.598 -1.119  0.736 -1.257  0.924 -1.276  1.062 -1.414  1.249 -1.432
1b#app#app14#app1402/S  0.576 1.361  0.576 1.234  0.576 1.106  0.474 1.080  0.346 1.080  0.219 1.080  0.091 1.080  -0.022 1.045  -0.112 0.954  -0.203 0.864  -0.303 0.799  -0.431 0.799  -0.559 0.799  -0.686 0.799  -0.814 0.799  -0.720 0.799  -0.592 0.799  -0.549 0.714  -0.549 0.586  -0.490 0.517  -0.362 0.517  -0.268 0.484  -0.268 0.356  -0.261 0.236  -0.133 0.236  -0.005 0.236  0.013 0.127  0.013 -0.001  0.072 -0.104  0.162 -0.194  0.253 -0.285  0.295 -0.395  0.295 -0.523  0.337 -0.608  0.465 -0.608  0.576 -0.624  0.576 -0.752  0.576 -0.880  0.457 -0.889  0.330 -0.889  0.295 -0.982  0.295 -1.109  0.247 -1.217  0.157 -1.308  0.067 -1.398  -0.039 -1.452  -0.166 -1.452  -0.268 -1.478  -0.268 -1.605  -0.268 -1.733
1b#app#app14#app1402/T  1.511 0.640  1.392 0.640  1.274 0.640  1.155 0.640  1.037 0.640  0.918 0.640  0.800 0.640  0.682 0.640  0.563 0.640  0.445 0.640  0.326 0.640  0.208 0.640  0.089 0.640  -0.029 0.640  -0.147 0.640  -0.266 0.640  -0.384 0.640  -0.503 0.640  -0.621 0.640  -0.740 0.640  -0.763 0.640  -0.645 0.640  -0.526 0.640  -0.408 0.640  -0.290 0.640  -0.171 0.640  -0.114 0.578  -0.114 0.460  -0.114 0.342  -0.114 0.223  -0.114 0.105  -0.114 -0.014  -0.114 -0.132  -0.114 -0.251  -0.114 -0.369  -0.114 -0.487  -0.114 -0.606  -0.114 -0.724  -0.114 -0.843  -0.114 -0.961  -0.209 -0.985  -0.327 -0.985  -0.346 -1.084  -0.346 -1.203  -0.346 -1.321  -0.346 -1.440  -0.346 -1.558  -0.346 -1.676  -0.346 -1.795  -0.346 -1.913
1b#app#app14#app1402/U  -0.578 1.261  -0.578 1.150  -0.580 1.041  -0.658 0.963  -0.736 0.885  -0.795 0.799  -0.795 0.689  -0.795 0.578  -0.795 0.468  -0.795 0.358  -0.795 0.248  -0.795 0.137  -0.795 0.027  -0.795 -0.083  -0.795 -0.194  -0.795 -0.304  -0.795 -0.414  -0.760 -0.510  -0.682 -0.588  -0.604 -0.666  -0.578 -0.766  -0.578 -0.876  -0.502 -0.910  -0.391 -0.910  -0.281 -0.910  -0.171 -0.910  -0.085 -0.851  -0.007 -0.773  0.071 -0.695  0.181 -0.693  0.291 -0.693  0.369 -0.615  0.447 -0.537  0.525 -0.459  0.603 -0.381  0.681 -0.303  0.759 -0.225  0.837 -0.147  0.915 -0.069  0.942 0.030  0.942 0.141  0.942 0.251  0.942 0.361  0.998 0.448  1.076 0.526  1.154 0.604  1.159 0.713  1.159 0.823  1.159 0.933  1.159 1.044
1b#app#app14#app1402/V  -0.605 1.096  -0.605 0.969  -0.605 0.842  -0.605 0.715  -0.605 0.589  -0.605 0.462  -0.605 0.335  -0.605 0.209  -0.605 0.082  -0.605 -0.045  -0.605 -0.172  -0.605 -0.298  -0.605 -0.425  -0.605 -0.552  -0.602 -0.677  -0.512 -0.767  -0.423 -0.856  -0.384 -0.967  -0.384 -1.094  -0.384 -1.220  -0.374 -1.337  -0.248 -1.337  -0.163 -1.296  -0.163 -1.169  -0.110 -1.064  -0.021 -0.974  0.059 -0.880  0.059 -0.754  0.092 -0.641  0.181 -0.551  0.271 -0.461  0.280 -0.338  0.294 -0.218  0.383 -0.128  0.473 -0.038  0.501 0.077  0.501 0.203  0.501 0.330  0.501 0.457  0.501 0.584  0.541 0.694  0.631 0.783  0.720 0.873  0.722 0.999  0.722 1.126  0.722 1.252  0.784 1.317  0.911 1.317  0.943 1.411  0.943 1.538
1b#app#app14#app1402/W  -0.989 1.286  -0.838 1.286  -0.825 1.229  -0.932 1.122  -0.989 0.994  -0.989 0.842  -0.989 0.691  -0.989 0.539  -0.989 0.388  -0.989 0.237  -0.989 0.085  -0.973 -0.060  -0.866 -0.167  -0.768 -0.277  -0.768 -0.429  -0.768 -0.580  -0.744 -0.708  -0.593 -0.708  -0.441 -0.708  -0.324 -0.674  -0.324 -0.522  -0.209 -0.487  -0.103 -0.441  -0.103 -0.290  0.024 -0.265  0.119 -0.208  0.119 -0.057  0.119 0.094  0.119 0.110  0.119 -0.041  0.119 -0.193  0.198 -0.265  0.341 -0.274  0.341 -0.425  0.341 -0.577  0.360 -0.708  0.512 -0.708  0.634 -0.637  0.741 -0.530  0.848 -0.423  0.955 -0.316  1.062 -0.209  1.169 -0.101  1.227 0.026  1.227 0.177  1.227 0.329  1.284 0.457  1.391 0.564  1.449 0.691  1.449 0.843
1b#app#app14#app1402/X  1.451 1.534  1.451 1.360  1.394 1.209  1.271 1.085  1.134 0.997  0.959 0.997  0.914 0.868  0.890 0.704  0.766 0.580  0.643 0.457  0.520 0.334  0.397 0.211  0.377 0.045  0.325 -0.078  0.150 -0.078  0.015 -0.171  -0.108 -0.294  -0.232 -0.418  -0.355 -0.541  -0.499 -0.615  -0.673 -0.615  -0.698 -0.764  -0.698 -0.939  -0.698 -1.113  -0.833 -1.152  -0.960 -1.111  -0.936 -0.939  -0.911 -0.766  -0.886 -0.594  -0.862 -0.421  -0.837 -0.249  -0.812 -0.076  -0.788 0.097  -0.763 0.269  -0.739 0.442  -0.714 0.614  -0.656 0.686  -0.532 0.563  -0.409 0.440  -0.286 0.317  -0.163 0.193  -0.039 0.070  0.084 -0.053  0.248 -0.078  0.377 -0.123  0.377 -0.297  0.465 -0.435  0.589 -0.558  0.645 -0.709  0.645 -0.883
1b#app#app14#app1402/Y  -0.322 1.152  -0.322 1.029  -0.322 0.905  -0.310 0.787  -0.223 0.700  -0.205 0.585  -0.205 0.462  -0.205 0.339  -0.091 0.329  -0.086 0.211  0.035 0.216  0.123 0.303  0.148 0.416  0.214 0.512  0.266 0.613  0.266 0.736  0.266 0.859  0.312 0.963  0.383 1.057  0.383 1.180  0.383 1.235  0.383 1.112  0.383 0.989  0.348 0.881  0.266 0.792  0.266 0.668  0.261 0.546  0.231 0.426  0.202 0.307  0.172 0.187  0.136 0.070  0.081 -0.040  0.031 -0.151  0.031 -0.274  0.021 -0.395  -0.034 -0.505  -0.087 -0.616  -0.087 -0.739  -0.094 -0.861  -0.149 -0.971  -0.204 -1.081  -0.205 -1.204  -0.211 -1.324  -0.299 -1.411  -0.322 -1.525  -0.322 -1.648  -0.322 -1.771  -0.322 -1.894  -0.322 -2.017  -0.322 -2.140
1b#app#app14#app1402/Z  -0.457 0.673  -0.316 0.673  -0.214 0.634  -0.214 0.493  -0.214 0.509  -0.214 0.650  -0.214 0.791  -0.197 0.916  -0.056 0.916  0.085 0.916  0.226 0.916  0.272 1.011  0.272 1.152  0.406 1.159  0.548 1.159  0.689 1.159  0.757 1.086  0.757 0.945  0.645 0.916  0.510 0.907  0.447 0.780  0.384 0.654  0.320 0.528  0.249 0.408  0.149 0.308  0.050 0.208  0.029 0.076  0.022 -0.062  -0.078 -0.162  -0.178 -0.262  -0.304 -0.298  -0.445 -0.298  -0.457 -0.427  -0.476 -0.560  -0.576 -0.660  -0.676 -0.760  -0.699 -0.891  -0.699 -1.032  -0.699 -1.173  -0.654 -1.269  -0.513 -1.269  -0.372 -1.269  -0.230 -1.269  -0.089 -1.269  0.052 -1.269  0.193 -1.269  0.334 -1.269  0.475 -1.269  0.616 -1.269  0.757 -1.269
