2#apb#apb35#app3595/G  -1.483 -1.475  -1.291 -1.293  -1.120 -1.090  -0.959 -0.878  -0.800 -0.665  -0.640 -0.453  -0.496 -0.229  -0.359 -0.001  -0.226 0.229  -0.093 0.459  0.042 0.689  0.175 0.919  0.308 1.150  0.414 1.393  0.512 1.595  0.353 1.383  0.262 1.135  0.200 0.876  0.152 0.615  0.158 0.350  0.323 0.216  0.548 0.343  0.765 0.495  0.951 0.684  0.976 0.655  0.863 0.414  0.737 0.180  0.655 -0.071  0.564 -0.320  0.512 -0.580  0.550 -0.548  0.602 -0.288  0.602 -0.022  0.535 0.233  0.379 0.442  0.139 0.552  -0.123 0.528  -0.363 0.417  -0.576 0.259  -0.755 0.064  -0.877 -0.169  -0.937 -0.427  -0.910 -0.687  -0.785 -0.913  -0.561 -1.039  -0.302 -1.094  -0.038 -1.113  0.224 -1.065  0.474 -0.980  0.718 -0.873
2#apb#apb35#app3595/i  -0.706 -1.164  -0.684 -1.062  -0.584 -0.926  -0.492 -0.783  -0.392 -0.646  -0.262 -0.538  -0.148 -0.415  -0.060 -0.270  0.031 -0.126  0.138 0.006  0.245 0.137  0.339 0.278  0.430 0.422  0.442 0.555  0.347 0.415  0.261 0.269  0.180 0.120  0.120 -0.039  0.057 -0.197  -0.015 -0.351  -0.082 -0.506  -0.130 -0.669  -0.170 -0.833  -0.183 -1.003  -0.155 -1.169  -0.028 -1.268  0.135 -1.294  0.305 -1.294  0.356 -1.195  0.327 -1.027  0.297 -0.860  0.268 -0.693  0.239 -0.526  0.209 -0.358  0.180 -0.191  0.151 -0.024  0.122 0.143  0.092 0.311  0.063 0.478  0.034 0.645  0.004 0.812  -0.025 0.980  -0.054 1.147  -0.084 1.314  -0.113 1.481  -0.142 1.649  -0.172 1.816  -0.201 1.983  -0.230 2.150  -0.260 2.317
2#apb#apb35#app3595/a  -0.541 -0.089  -0.334 -0.013  -0.123 0.051  0.066 0.163  0.246 0.288  0.389 0.457  0.531 0.625  0.649 0.811  0.766 0.997  0.865 1.182  0.787 1.384  0.590 1.355  0.382 1.281  0.202 1.156  0.029 1.019  -0.141 0.879  -0.306 0.732  -0.470 0.586  -0.623 0.429  -0.733 0.238  -0.842 0.046  -0.951 -0.145  -1.055 -0.340  -1.159 -0.534  -1.244 -0.737  -1.278 -0.952  -1.166 -1.117  -0.970 -1.026  -0.777 -0.920  -0.589 -0.804  -0.415 -0.671  -0.259 -0.515  -0.103 -0.359  0.039 -0.190  0.180 -0.021  0.321 0.149  0.449 0.328  0.575 0.509  0.695 0.581  0.617 0.374  0.530 0.172  0.442 -0.030  0.385 -0.242  0.354 -0.460  0.373 -0.677  0.435 -0.886  0.540 -1.081  0.677 -1.239  0.879 -1.328  1.081 -1.416
2#apb#apb35#app3595/t  0.934 1.354  0.895 1.179  0.840 1.009  0.774 0.842  0.707 0.676  0.633 0.512  0.553 0.352  0.473 0.192  0.392 0.032  0.310 -0.128  0.227 -0.287  0.145 -0.447  0.057 -0.603  -0.033 -0.758  -0.122 -0.913  -0.216 -1.067  -0.309 -1.220  -0.338 -1.396  -0.315 -1.569  -0.146 -1.564  -0.203 -1.394  -0.260 -1.224  -0.317 -1.054  -0.374 -0.884  -0.431 -0.714  -0.488 -0.544  -0.545 -0.374  -0.602 -0.204  -0.659 -0.034  -0.716 0.136  -0.773 0.306  -0.830 0.476  -0.887 0.646  -0.945 0.816  -1.016 0.741  -0.948 0.585  -0.813 0.478  -0.642 0.424  -0.470 0.376  -0.291 0.362  -0.112 0.348  0.064 0.372  0.240 0.406  0.416 0.440  0.592 0.477  0.767 0.514  0.942 0.552  1.118 0.591  1.294 0.624  1.430 0.567
2#apb#apb35#app3595/o  0.472 0.972  0.266 0.901  0.082 0.790  -0.072 0.635  -0.221 0.476  -0.368 0.314  -0.499 0.140  -0.634 -0.032  -0.782 -0.193  -0.893 -0.376  -0.972 -0.580  -1.044 -0.786  -1.106 -0.995  -1.122 -1.206  -0.978 -1.355  -0.774 -1.374  -0.571 -1.294  -0.376 -1.197  -0.200 -1.067  -0.030 -0.931  0.119 -0.772  0.263 -0.608  0.378 -0.423  0.493 -0.237  0.587 -0.040  0.677 0.159  0.746 0.366  0.809 0.575  0.843 0.790  0.859 1.007  0.828 1.223  0.727 1.406  0.509 1.398  0.316 1.329  0.167 1.169  0.020 1.008  -0.125 0.845  -0.256 0.670  -0.352 0.476  -0.436 0.274  -0.411 0.057  -0.360 -0.153  -0.268 -0.347  -0.095 -0.480  0.104 -0.535  0.323 -0.535  0.535 -0.483  0.746 -0.429  0.939 -0.327  1.133 -0.225
2#apb#apb35#app3595/r  -1.447 -0.855  -1.454 -0.719  -1.365 -0.599  -1.249 -0.502  -1.134 -0.405  -1.021 -0.305  -0.907 -0.206  -0.811 -0.090  -0.718 0.028  -0.624 0.146  -0.527 0.261  -0.417 0.365  -0.308 0.469  -0.199 0.574  -0.103 0.689  -0.014 0.811  0.075 0.933  0.164 1.055  0.256 1.174  0.349 1.292  0.374 1.429  0.287 1.309  0.273 1.160  0.271 1.009  0.282 0.859  0.329 0.717  0.394 0.582  0.485 0.461  0.581 0.359  0.600 0.289  0.482 0.194  0.363 0.102  0.244 0.010  0.125 -0.084  0.019 -0.189  -0.067 -0.313  -0.127 -0.448  -0.161 -0.595  -0.150 -0.745  -0.093 -0.867  0.036 -0.944  0.183 -0.979  0.330 -1.014  0.477 -1.023  0.627 -1.000  0.776 -0.977  0.921 -0.942  1.060 -0.883  1.199 -0.824  1.338 -0.766
2#apb#apb35#app3595/F  0.034 0.879  0.071 0.740  0.034 0.534  -0.040 0.338  -0.133 0.151  -0.257 -0.010  -0.302 0.166  -0.244 0.368  -0.163 0.561  -0.070 0.750  0.031 0.934  0.147 1.108  0.290 1.262  0.474 1.315  0.587 1.147  0.627 0.942  0.639 0.733  0.618 0.524  0.583 0.317  0.542 0.111  0.488 -0.092  0.405 -0.283  0.295 -0.461  0.158 -0.620  -0.003 -0.755  -0.179 -0.865  -0.374 -0.942  -0.579 -0.990  -0.786 -1.021  -0.995 -1.026  -1.204 -1.005  -1.413 -1.000  -1.550 -0.983  -1.369 -0.877  -1.189 -0.789  -0.993 -0.718  -0.796 -0.644  -0.603 -0.563  -0.409 -0.481  -0.217 -0.397  -0.031 -0.300  0.155 -0.203  0.340 -0.103  0.524 -0.002  0.710 0.096  0.897 0.192  1.078 0.298  1.248 0.420  1.402 0.562  1.523 0.683
2#apb#apb35#app3595/r  -1.325 -1.045  -1.354 -1.075  -1.280 -0.969  -1.189 -0.876  -1.097 -0.784  -1.022 -0.679  -0.947 -0.572  -0.873 -0.466  -0.801 -0.358  -0.730 -0.249  -0.659 -0.140  -0.588 -0.032  -0.516 0.076  -0.444 0.185  -0.372 0.293  -0.300 0.401  -0.228 0.509  -0.155 0.617  -0.083 0.725  -0.011 0.833  0.061 0.941  0.133 1.049  0.205 1.157  0.277 1.265  0.338 1.322  0.376 1.202  0.401 1.075  0.438 0.950  0.477 0.827  0.550 0.723  0.626 0.622  0.742 0.579  0.810 0.498  0.836 0.374  0.816 0.248  0.766 0.128  0.708 0.013  0.646 -0.101  0.585 -0.216  0.524 -0.331  0.458 -0.442  0.387 -0.552  0.320 -0.663  0.255 -0.775  0.206 -0.894  0.189 -1.019  0.273 -1.118  0.396 -1.109  0.524 -1.085  0.652 -1.062
2#apb#apb35#app3595/e  -1.254 -1.052  -1.196 -1.110  -1.049 -1.056  -0.911 -0.985  -0.774 -0.911  -0.646 -0.822  -0.519 -0.733  -0.397 -0.636  -0.280 -0.533  -0.164 -0.430  -0.058 -0.315  0.046 -0.199  0.150 -0.084  0.241 0.042  0.329 0.171  0.417 0.300  0.494 0.435  0.566 0.573  0.638 0.711  0.702 0.853  0.765 0.995  0.819 1.141  0.869 1.289  0.875 1.443  0.755 1.458  0.623 1.377  0.495 1.288  0.382 1.181  0.272 1.070  0.168 0.955  0.073 0.832  -0.022 0.708  -0.115 0.584  -0.199 0.452  -0.283 0.321  -0.367 0.190  -0.426 0.047  -0.477 -0.100  -0.528 -0.247  -0.517 -0.402  -0.502 -0.557  -0.432 -0.687  -0.326 -0.801  -0.203 -0.889  -0.054 -0.934  0.094 -0.980  0.247 -0.995  0.403 -0.990  0.559 -0.985  0.714 -0.980
2#apb#apb35#app3595/s  -1.628 -0.810  -1.545 -0.715  -1.394 -0.586  -1.231 -0.470  -1.069 -0.353  -0.906 -0.236  -0.758 -0.102  -0.610 0.033  -0.463 0.169  -0.321 0.310  -0.180 0.452  -0.040 0.595  0.091 0.746  0.223 0.897  0.351 1.051  0.473 1.210  0.604 1.360  0.761 1.482  0.834 1.381  0.831 1.181  0.806 0.983  0.772 0.785  0.734 0.589  0.697 0.392  0.654 0.197  0.598 0.005  0.525 -0.181  0.446 -0.365  0.331 -0.526  0.175 -0.651  -0.020 -0.675  -0.219 -0.656  -0.395 -0.560  -0.570 -0.464  -0.727 -0.342  -0.854 -0.189  -0.926 -0.187  -0.818 -0.353  -0.669 -0.481  -0.487 -0.557  -0.289 -0.587  -0.092 -0.587  0.104 -0.545  0.299 -0.503  0.496 -0.464  0.692 -0.426  0.889 -0.388  1.082 -0.338  1.275 -0.285  1.468 -0.232
2#apb#apb35#app3595/h  0.200 1.692  0.185 1.705  0.097 1.585  0.037 1.448  -0.024 1.312  -0.080 1.173  -0.137 1.035  -0.199 0.899  -0.270 0.767  -0.341 0.636  -0.411 0.504  -0.474 0.368  -0.536 0.232  -0.599 0.096  -0.670 -0.035  -0.742 -0.166  -0.813 -0.298  -0.884 -0.430  -0.953 -0.562  -1.020 -0.696  -1.003 -0.733  -0.887 -0.638  -0.784 -0.532  -0.690 -0.415  -0.592 -0.302  -0.487 -0.196  -0.381 -0.091  -0.261 -0.001  -0.141 0.087  -0.020 0.175  0.102 0.262  0.224 0.348  0.355 0.421  0.490 0.393  0.554 0.276  0.534 0.128  0.507 -0.019  0.476 -0.165  0.449 -0.312  0.430 -0.460  0.429 -0.609  0.448 -0.757  0.522 -0.881  0.622 -0.990  0.763 -1.042  0.903 -1.093  1.048 -1.077  1.194 -1.046  1.341 -1.015  1.487 -0.984
2#apb#apb35#app3595/C  0.754 0.915  0.722 0.855  0.693 0.721  0.639 0.595  0.573 0.475  0.520 0.348  0.475 0.218  0.441 0.085  0.414 -0.050  0.397 -0.173  0.459 -0.050  0.502 0.080  0.534 0.213  0.582 0.342  0.609 0.476  0.625 0.613  0.640 0.750  0.633 0.886  0.588 1.014  0.497 1.107  0.365 1.120  0.232 1.090  0.104 1.039  -0.007 0.959  -0.114 0.873  -0.204 0.768  -0.293 0.664  -0.369 0.550  -0.441 0.433  -0.513 0.315  -0.575 0.193  -0.630 0.067  -0.685 -0.059  -0.728 -0.189  -0.760 -0.323  -0.791 -0.457  -0.817 -0.592  -0.836 -0.728  -0.855 -0.864  -0.819 -0.997  -0.782 -1.129  -0.691 -1.233  -0.599 -1.334  -0.470 -1.381  -0.340 -1.428  -0.205 -1.408  -0.069 -1.387  0.066 -1.359  0.200 -1.327  0.334 -1.296
2#apb#apb35#app3595/l  -1.204 -1.363  -1.083 -1.279  -0.965 -1.181  -0.851 -1.077  -0.739 -0.971  -0.630 -0.862  -0.521 -0.752  -0.412 -0.643  -0.313 -0.525  -0.217 -0.404  -0.128 -0.278  -0.047 -0.147  0.034 -0.016  0.115 0.116  0.195 0.248  0.270 0.382  0.342 0.519  0.408 0.658  0.461 0.803  0.513 0.948  0.564 1.094  0.613 1.240  0.633 1.393  0.653 1.545  0.530 1.569  0.446 1.440  0.377 1.302  0.273 1.187  0.197 1.054  0.131 0.915  0.057 0.780  -0.025 0.649  -0.106 0.517  -0.185 0.385  -0.264 0.253  -0.322 0.110  -0.380 -0.034  -0.398 -0.186  -0.413 -0.340  -0.369 -0.488  -0.313 -0.630  -0.231 -0.761  -0.115 -0.850  0.030 -0.903  0.180 -0.923  0.335 -0.923  0.489 -0.921  0.642 -0.902  0.795 -0.883  0.948 -0.865
2#apb#apb35#app3595/e  -1.131 -1.217  -1.030 -1.201  -0.906 -1.121  -0.781 -1.042  -0.656 -0.962  -0.533 -0.881  -0.422 -0.783  -0.311 -0.686  -0.199 -0.588  -0.095 -0.484  0.010 -0.379  0.112 -0.273  0.210 -0.162  0.308 -0.051  0.406 0.060  0.469 0.193  0.532 0.327  0.596 0.461  0.644 0.600  0.690 0.741  0.734 0.882  0.756 1.028  0.774 1.174  0.774 1.322  0.729 1.432  0.583 1.437  0.445 1.393  0.320 1.314  0.205 1.223  0.100 1.118  0.007 1.004  -0.079 0.884  -0.163 0.762  -0.223 0.627  -0.284 0.492  -0.345 0.358  -0.382 0.215  -0.416 0.071  -0.433 -0.074  -0.417 -0.221  -0.400 -0.368  -0.360 -0.509  -0.308 -0.648  -0.250 -0.783  -0.161 -0.901  -0.073 -1.019  0.028 -1.120  0.169 -1.167  0.309 -1.214  0.449 -1.261
2#apb#apb35#app3595/a  0.372 0.490  0.421 0.674  0.459 0.860  0.426 1.040  0.317 1.195  0.151 1.266  -0.029 1.205  -0.203 1.128  -0.352 1.011  -0.493 0.885  -0.621 0.744  -0.737 0.594  -0.845 0.438  -0.942 0.275  -1.037 0.110  -1.102 -0.068  -1.165 -0.247  -1.217 -0.429  -1.222 -0.615  -1.176 -0.795  -1.049 -0.935  -0.891 -1.041  -0.709 -1.021  -0.527 -0.971  -0.357 -0.886  -0.202 -0.780  -0.068 -0.646  0.062 -0.507  0.183 -0.361  0.303 -0.214  0.415 -0.061  0.525 0.094  0.636 0.248  0.750 0.400  0.864 0.552  0.978 0.704  0.852 0.712  0.704 0.596  0.586 0.448  0.499 0.279  0.419 0.107  0.375 -0.077  0.341 -0.264  0.318 -0.453  0.345 -0.633  0.437 -0.798  0.560 -0.943  0.697 -1.064  0.882 -1.103  1.068 -1.142
2#apb#apb35#app3595/n  -0.668 0.909  -0.684 0.779  -0.716 0.650  -0.759 0.525  -0.803 0.400  -0.849 0.276  -0.897 0.153  -0.943 0.029  -0.975 -0.100  -1.007 -0.228  -1.046 -0.355  -1.083 -0.482  -1.137 -0.582  -1.081 -0.504  -0.988 -0.410  -0.898 -0.313  -0.818 -0.208  -0.737 -0.103  -0.651 -0.003  -0.560 0.093  -0.469 0.190  -0.376 0.284  -0.280 0.375  -0.184 0.466  -0.088 0.557  0.020 0.633  0.130 0.707  0.241 0.778  0.358 0.810  0.368 0.687  0.334 0.559  0.308 0.429  0.294 0.298  0.283 0.166  0.299 0.035  0.318 -0.096  0.389 -0.207  0.461 -0.318  0.566 -0.398  0.673 -0.475  0.781 -0.552  0.903 -0.590  1.035 -0.603  1.167 -0.615  1.299 -0.628  1.430 -0.626  1.562 -0.615  1.694 -0.604  1.826 -0.593  1.958 -0.582
2#apb#apb35#app3595/F  0.244 0.919  0.143 0.765  0.067 0.595  0.002 0.421  -0.018 0.317  0.021 0.497  0.097 0.667  0.172 0.838  0.249 1.007  0.332 1.173  0.456 1.302  0.511 1.147  0.519 0.963  0.510 0.777  0.492 0.592  0.467 0.407  0.431 0.225  0.364 0.053  0.282 -0.114  0.201 -0.282  0.110 -0.444  0.007 -0.599  -0.109 -0.744  -0.244 -0.872  -0.391 -0.986  -0.560 -1.060  -0.741 -1.103  -0.926 -1.126  -1.111 -1.139  -1.290 -1.090  -1.469 -1.042  -1.374 -0.911  -1.255 -0.768  -1.082 -0.726  -0.913 -0.648  -0.742 -0.574  -0.579 -0.486  -0.421 -0.387  -0.261 -0.293  -0.097 -0.205  0.067 -0.117  0.234 -0.034  0.401 0.047  0.566 0.133  0.727 0.228  0.887 0.322  1.042 0.425  1.196 0.529  1.340 0.648  1.448 0.754
2#apb#apb35#app3595/a  -0.160 -0.458  -0.027 -0.289  0.107 -0.120  0.211 0.068  0.308 0.261  0.400 0.455  0.489 0.651  0.566 0.851  0.616 1.061  0.650 1.272  0.638 1.486  0.501 1.627  0.297 1.583  0.130 1.447  -0.005 1.281  -0.131 1.106  -0.249 0.926  -0.366 0.745  -0.461 0.552  -0.554 0.358  -0.641 0.160  -0.722 -0.039  -0.803 -0.239  -0.880 -0.440  -0.955 -0.642  -1.018 -0.847  -1.068 -1.057  -1.029 -1.268  -0.899 -1.377  -0.700 -1.311  -0.515 -1.200  -0.339 -1.076  -0.172 -0.941  -0.024 -0.784  0.117 -0.623  0.230 -0.439  0.344 -0.256  0.445 -0.066  0.545 0.125  0.646 0.315  0.741 0.508  0.611 0.439  0.506 0.251  0.454 0.043  0.392 -0.164  0.324 -0.368  0.304 -0.582  0.301 -0.796  0.369 -1.000  0.472 -1.189
2#apb#apb35#app3595/m  -0.645 0.812  -0.649 0.766  -0.707 0.562  -0.759 0.357  -0.810 0.152  -0.883 -0.046  -0.958 -0.244  -1.049 -0.435  -1.145 -0.623  -1.246 -0.809  -1.300 -0.921  -1.240 -0.718  -1.148 -0.530  -1.041 -0.347  -0.926 -0.170  -0.809 0.006  -0.678 0.172  -0.542 0.334  -0.402 0.492  -0.245 0.634  -0.086 0.772  0.095 0.883  0.287 0.862  0.291 0.669  0.248 0.462  0.217 0.253  0.156 0.051  0.082 -0.147  -0.002 -0.341  -0.046 -0.548  -0.114 -0.746  -0.150 -0.844  -0.037 -0.665  0.080 -0.489  0.202 -0.316  0.323 -0.143  0.444 0.031  0.564 0.205  0.716 0.352  0.873 0.492  1.060 0.592  1.251 0.680  1.369 0.540  1.392 0.331  1.375 0.122  1.326 -0.084  1.307 -0.294  1.296 -0.505  1.283 -0.716  1.382 -0.902
