2#apb#apb22#app2204/B  0.014 0.693  0.054 0.585  -0.002 0.361  -0.100 0.150  -0.199 -0.061  -0.293 -0.275  -0.391 -0.486  -0.492 -0.696  -0.598 -0.904  -0.704 -1.049  -0.680 -0.817  -0.655 -0.586  -0.631 -0.354  -0.607 -0.122  -0.582 0.110  -0.558 0.342  -0.533 0.574  -0.514 0.805  -0.464 1.012  -0.249 1.089  -0.025 1.155  0.196 1.229  0.428 1.246  0.661 1.250  0.894 1.250  1.096 1.180  0.973 0.998  0.796 0.846  0.598 0.727  0.390 0.620  0.180 0.520  -0.024 0.408  -0.225 0.290  -0.110 0.267  0.113 0.209  0.325 0.114  0.528 -0.001  0.704 -0.154  0.820 -0.346  0.851 -0.570  0.801 -0.798  0.642 -0.969  0.455 -1.104  0.253 -1.219  0.028 -1.280  -0.198 -1.339  -0.431 -1.339  -0.659 -1.312  -0.873 -1.222  -1.002 -1.028
2#apb#apb22#app2204/C  0.436 1.140  0.418 1.064  0.354 0.977  0.291 0.887  0.235 0.793  0.235 0.683  0.273 0.587  0.382 0.601  0.473 0.660  0.531 0.753  0.579 0.852  0.627 0.952  0.666 1.051  0.591 1.121  0.490 1.082  0.390 1.034  0.292 0.984  0.211 0.911  0.135 0.830  0.059 0.750  -0.012 0.666  -0.078 0.577  -0.144 0.489  -0.211 0.401  -0.277 0.312  -0.332 0.217  -0.387 0.121  -0.441 0.025  -0.495 -0.072  -0.549 -0.168  -0.594 -0.268  -0.617 -0.376  -0.641 -0.483  -0.665 -0.591  -0.683 -0.699  -0.655 -0.806  -0.627 -0.912  -0.591 -1.015  -0.513 -1.093  -0.435 -1.171  -0.357 -1.249  -0.256 -1.280  -0.147 -1.292  -0.037 -1.304  0.073 -1.315  0.183 -1.315  0.292 -1.300  0.401 -1.285  0.511 -1.270  0.620 -1.255
2#apb#apb22#app2204/e  -1.561 -0.657  -1.524 -0.622  -1.391 -0.560  -1.256 -0.502  -1.139 -0.415  -1.028 -0.318  -0.914 -0.226  -0.791 -0.144  -0.669 -0.062  -0.557 0.033  -0.448 0.131  -0.338 0.229  -0.222 0.320  -0.103 0.406  0.016 0.493  0.130 0.585  0.241 0.682  0.349 0.781  0.430 0.903  0.505 1.029  0.545 1.167  0.443 1.211  0.310 1.155  0.183 1.082  0.097 0.964  0.016 0.841  -0.066 0.719  -0.137 0.590  -0.199 0.457  -0.262 0.324  -0.325 0.191  -0.372 0.055  -0.372 -0.093  -0.372 -0.240  -0.293 -0.362  -0.209 -0.482  -0.118 -0.594  0.022 -0.641  0.161 -0.687  0.301 -0.734  0.440 -0.780  0.585 -0.782  0.731 -0.767  0.877 -0.753  1.024 -0.738  1.170 -0.721  1.311 -0.679  1.452 -0.638  1.593 -0.596  1.734 -0.555
2#apb#apb22#app2204/d  -0.677 -0.768  -0.525 -0.684  -0.434 -0.525  -0.305 -0.395  -0.238 -0.227  -0.167 -0.059  -0.236 0.087  -0.417 0.107  -0.600 0.099  -0.777 0.066  -0.934 -0.028  -1.059 -0.157  -1.164 -0.307  -1.246 -0.471  -1.319 -0.638  -1.350 -0.815  -1.256 -0.938  -1.078 -0.905  -0.905 -0.847  -0.739 -0.769  -0.574 -0.690  -0.432 -0.575  -0.290 -0.459  -0.147 -0.345  -0.001 -0.233  0.142 -0.119  0.271 0.010  0.401 0.140  0.512 0.284  0.616 0.435  0.721 0.585  0.834 0.729  0.947 0.873  1.063 1.014  1.180 1.155  1.280 1.308  1.266 1.272  1.154 1.129  1.030 0.995  0.909 0.858  0.805 0.707  0.702 0.556  0.600 0.404  0.512 0.243  0.424 0.083  0.340 -0.079  0.303 -0.259  0.265 -0.438  0.271 -0.616  0.319 -0.792
2#apb#apb22#app2204/a  -0.036 -0.392  0.019 -0.226  0.091 -0.068  0.177 0.083  0.274 0.227  0.357 0.377  0.412 0.543  0.415 0.716  0.398 0.888  0.342 1.053  0.194 1.117  0.022 1.102  -0.146 1.066  -0.298 0.979  -0.448 0.891  -0.595 0.799  -0.741 0.703  -0.855 0.572  -0.970 0.441  -1.070 0.300  -1.160 0.150  -1.249 0.001  -1.310 -0.162  -1.326 -0.327  -1.246 -0.480  -1.150 -0.625  -0.982 -0.637  -0.809 -0.634  -0.664 -0.538  -0.519 -0.441  -0.371 -0.349  -0.220 -0.263  -0.086 -0.155  0.038 -0.032  0.161 0.091  0.298 0.181  0.319 0.044  0.294 -0.129  0.292 -0.303  0.336 -0.465  0.435 -0.599  0.608 -0.621  0.780 -0.647  0.949 -0.689  1.118 -0.731  1.281 -0.733  1.433 -0.648  1.585 -0.562  1.737 -0.477  1.888 -0.392
2#apb#apb22#app2204/r  -1.613 -0.587  -1.516 -0.592  -1.441 -0.501  -1.370 -0.404  -1.302 -0.306  -1.233 -0.208  -1.164 -0.110  -1.087 -0.018  -1.008 0.072  -0.928 0.161  -0.848 0.250  -0.763 0.334  -0.679 0.419  -0.592 0.501  -0.492 0.567  -0.392 0.633  -0.285 0.687  -0.178 0.740  -0.064 0.778  0.050 0.812  0.170 0.812  0.288 0.811  0.273 0.694  0.237 0.580  0.204 0.464  0.161 0.354  0.092 0.257  0.022 0.159  -0.022 0.050  -0.055 -0.066  -0.081 -0.182  -0.101 -0.300  -0.053 -0.400  0.024 -0.492  0.116 -0.551  0.235 -0.551  0.355 -0.551  0.475 -0.551  0.590 -0.524  0.704 -0.488  0.819 -0.452  0.933 -0.416  1.047 -0.380  1.161 -0.344  1.273 -0.302  1.385 -0.259  1.496 -0.215  1.608 -0.172  1.720 -0.128  1.831 -0.085
2#apb#apb22#app2204/F  0.041 0.932  0.064 0.862  0.025 0.625  -0.025 0.391  -0.080 0.156  -0.129 -0.079  -0.186 -0.313  -0.244 -0.547  -0.302 -0.780  -0.373 -1.010  -0.515 -1.196  -0.728 -1.201  -0.915 -1.057  -1.038 -0.853  -1.143 -0.637  -1.035 -0.448  -0.794 -0.448  -0.554 -0.461  -0.314 -0.460  -0.074 -0.445  0.165 -0.414  0.402 -0.374  0.630 -0.298  0.858 -0.222  1.087 -0.146  1.312 -0.063  1.371 -0.038  1.201 -0.208  1.026 -0.373  0.851 -0.538  0.681 -0.708  0.487 -0.850  0.327 -0.708  0.173 -0.523  0.020 -0.337  -0.134 -0.152  -0.288 0.033  -0.442 0.218  -0.596 0.403  -0.750 0.588  -0.904 0.773  -0.819 0.953  -0.608 1.061  -0.384 1.151  -0.154 1.215  0.083 1.256  0.321 1.298  0.560 1.317  0.800 1.325  1.041 1.332
2#apb#apb22#app2204/a  0.249 0.479  0.420 0.436  0.476 0.591  0.481 0.766  0.509 0.934  0.459 1.102  0.319 1.177  0.149 1.195  0.015 1.081  -0.118 0.966  -0.264 0.869  -0.415 0.778  -0.566 0.688  -0.689 0.565  -0.801 0.429  -0.912 0.293  -1.023 0.156  -1.124 0.012  -1.225 -0.132  -1.326 -0.276  -1.363 -0.446  -1.350 -0.611  -1.222 -0.700  -1.046 -0.700  -0.870 -0.700  -0.703 -0.658  -0.543 -0.584  -0.383 -0.510  -0.224 -0.437  -0.078 -0.339  0.067 -0.238  0.211 -0.137  0.335 -0.014  0.452 0.117  0.569 0.249  0.678 0.386  0.713 0.430  0.611 0.287  0.517 0.140  0.482 -0.033  0.448 -0.205  0.458 -0.375  0.514 -0.542  0.574 -0.707  0.698 -0.831  0.823 -0.956  0.992 -0.982  1.167 -0.993  1.343 -1.005  1.518 -1.017
2#apb#apb22#app2204/l  -1.303 -1.114  -1.166 -1.145  -1.029 -1.091  -0.910 -1.002  -0.790 -0.912  -0.681 -0.810  -0.572 -0.707  -0.463 -0.605  -0.357 -0.501  -0.251 -0.395  -0.146 -0.289  -0.041 -0.183  0.062 -0.075  0.164 0.034  0.267 0.143  0.365 0.255  0.460 0.370  0.555 0.485  0.644 0.605  0.710 0.738  0.777 0.872  0.841 1.007  0.903 1.143  0.916 1.289  0.879 1.427  0.736 1.437  0.621 1.342  0.505 1.247  0.402 1.140  0.300 1.030  0.198 0.921  0.118 0.795  0.042 0.667  -0.034 0.538  -0.108 0.409  -0.167 0.272  -0.225 0.134  -0.283 -0.004  -0.341 -0.141  -0.372 -0.287  -0.399 -0.434  -0.426 -0.581  -0.414 -0.725  -0.370 -0.868  -0.281 -0.975  -0.152 -1.049  -0.020 -1.113  0.129 -1.106  0.279 -1.099  0.428 -1.092
2#apb#apb22#app2204/l  -1.257 -1.200  -1.109 -1.191  -0.986 -1.105  -0.869 -1.011  -0.756 -0.912  -0.643 -0.813  -0.536 -0.707  -0.433 -0.598  -0.329 -0.489  -0.225 -0.380  -0.119 -0.274  -0.013 -0.168  0.094 -0.061  0.200 0.045  0.295 0.161  0.386 0.281  0.477 0.401  0.568 0.521  0.637 0.653  0.699 0.790  0.761 0.927  0.807 1.070  0.852 1.214  0.862 1.362  0.765 1.458  0.617 1.428  0.490 1.354  0.372 1.261  0.266 1.157  0.175 1.037  0.085 0.917  0.001 0.793  -0.063 0.656  -0.126 0.520  -0.189 0.384  -0.246 0.245  -0.282 0.099  -0.319 -0.047  -0.355 -0.193  -0.368 -0.341  -0.362 -0.491  -0.356 -0.641  -0.334 -0.787  -0.260 -0.918  -0.174 -1.035  -0.031 -1.082  0.112 -1.119  0.259 -1.088  0.406 -1.057  0.554 -1.027
2#apb#apb22#app2204/s  -1.529 -0.331  -1.356 -0.331  -1.186 -0.306  -1.037 -0.234  -0.908 -0.118  -0.780 -0.003  -0.662 0.122  -0.556 0.259  -0.450 0.395  -0.359 0.542  -0.270 0.690  -0.165 0.822  -0.015 0.907  0.110 1.019  0.224 1.013  0.308 0.863  0.377 0.707  0.356 0.535  0.320 0.369  0.243 0.214  0.159 0.063  0.073 -0.087  -0.085 -0.148  -0.249 -0.203  -0.417 -0.241  -0.587 -0.275  -0.758 -0.292  -0.930 -0.292  -1.103 -0.292  -1.140 -0.307  -0.979 -0.371  -0.819 -0.436  -0.648 -0.447  -0.476 -0.447  -0.303 -0.447  -0.130 -0.447  0.042 -0.447  0.214 -0.441  0.383 -0.402  0.551 -0.363  0.719 -0.324  0.887 -0.285  1.056 -0.246  1.222 -0.203  1.380 -0.133  1.538 -0.064  1.697 0.006  1.855 0.076  2.013 0.145  2.171 0.215
2#apb#apb22#app2204/C  0.424 0.908  0.398 0.776  0.323 0.663  0.269 0.538  0.268 0.528  0.365 0.624  0.454 0.728  0.541 0.833  0.643 0.924  0.716 1.036  0.708 1.154  0.585 1.161  0.455 1.120  0.340 1.047  0.227 0.970  0.115 0.893  0.009 0.805  -0.096 0.718  -0.201 0.630  -0.305 0.543  -0.396 0.440  -0.486 0.338  -0.577 0.236  -0.668 0.133  -0.748 0.023  -0.823 -0.091  -0.898 -0.205  -0.973 -0.320  -1.013 -0.448  -1.038 -0.582  -1.062 -0.717  -0.996 -0.829  -0.913 -0.937  -0.791 -0.983  -0.656 -1.009  -0.522 -1.034  -0.389 -1.036  -0.256 -1.002  -0.124 -0.968  0.008 -0.934  0.141 -0.900  0.272 -0.861  0.398 -0.810  0.525 -0.760  0.652 -0.709  0.779 -0.658  0.901 -0.598  1.020 -0.529  1.138 -0.460  1.256 -0.391
2#apb#apb22#app2204/o  -0.306 0.430  -0.138 0.514  -0.022 0.514  -0.055 0.572  -0.216 0.499  -0.361 0.380  -0.511 0.267  -0.661 0.155  -0.800 0.031  -0.913 -0.119  -1.025 -0.269  -1.131 -0.424  -1.227 -0.585  -1.305 -0.752  -1.328 -0.938  -1.213 -1.050  -1.045 -1.134  -0.867 -1.148  -0.682 -1.117  -0.497 -1.086  -0.315 -1.045  -0.155 -0.948  0.006 -0.852  0.167 -0.755  0.298 -0.622  0.425 -0.484  0.547 -0.343  0.589 -0.160  0.632 0.023  0.621 0.203  0.562 0.381  0.491 0.551  0.345 0.668  0.202 0.790  0.056 0.874  -0.103 0.775  -0.235 0.642  -0.273 0.486  -0.128 0.376  0.040 0.292  0.226 0.300  0.413 0.312  0.600 0.327  0.785 0.357  0.970 0.388  1.155 0.419  1.333 0.474  1.508 0.542  1.683 0.610  1.858 0.678
2#apb#apb22#app2204/r  -1.196 -0.322  -1.230 -0.440  -1.304 -0.504  -1.368 -0.479  -1.321 -0.366  -1.258 -0.261  -1.195 -0.156  -1.118 -0.062  -1.031 0.025  -0.945 0.111  -0.853 0.192  -0.758 0.270  -0.663 0.348  -0.582 0.438  -0.510 0.537  -0.438 0.636  -0.342 0.708  -0.235 0.769  -0.125 0.821  -0.002 0.821  0.062 0.722  0.061 0.603  0.011 0.492  -0.049 0.386  -0.108 0.278  -0.167 0.171  -0.218 0.060  -0.250 -0.058  -0.283 -0.176  -0.240 -0.287  -0.185 -0.396  -0.099 -0.465  0.021 -0.490  0.141 -0.516  0.261 -0.521  0.382 -0.500  0.502 -0.479  0.623 -0.458  0.744 -0.437  0.858 -0.398  0.967 -0.341  1.076 -0.284  1.184 -0.228  1.293 -0.171  1.401 -0.114  1.500 -0.042  1.599 0.031  1.697 0.104  1.796 0.176  1.894 0.249
2#apb#apb22#app2204/a  -0.149 -0.343  0.017 -0.239  0.183 -0.136  0.272 0.037  0.359 0.212  0.447 0.387  0.534 0.561  0.578 0.749  0.600 0.943  0.641 1.127  0.455 1.166  0.260 1.160  0.066 1.139  -0.117 1.087  -0.277 0.975  -0.437 0.863  -0.582 0.733  -0.720 0.595  -0.858 0.457  -0.980 0.304  -1.102 0.152  -1.211 -0.008  -1.272 -0.194  -1.322 -0.381  -1.293 -0.569  -1.206 -0.744  -1.028 -0.714  -0.843 -0.652  -0.665 -0.572  -0.497 -0.479  -0.366 -0.333  -0.236 -0.188  -0.111 -0.038  0.003 0.121  0.110 0.284  0.220 0.444  0.203 0.273  0.187 0.079  0.187 -0.117  0.213 -0.309  0.267 -0.496  0.381 -0.653  0.501 -0.807  0.657 -0.895  0.852 -0.908  1.047 -0.922  1.235 -0.896  1.417 -0.823  1.598 -0.751  1.780 -0.678
2#apb#apb22#app2204/l  -1.292 -1.337  -1.153 -1.295  -1.035 -1.217  -0.937 -1.109  -0.836 -1.003  -0.732 -0.900  -0.629 -0.796  -0.529 -0.690  -0.432 -0.580  -0.335 -0.471  -0.237 -0.362  -0.140 -0.253  -0.042 -0.145  0.056 -0.036  0.147 0.078  0.228 0.200  0.309 0.322  0.390 0.443  0.476 0.561  0.563 0.679  0.650 0.797  0.725 0.922  0.793 1.051  0.862 1.180  0.956 1.292  0.934 1.383  0.790 1.355  0.672 1.274  0.559 1.181  0.446 1.088  0.346 0.982  0.251 0.871  0.156 0.759  0.061 0.648  -0.008 0.520  -0.073 0.389  -0.138 0.258  -0.204 0.127  -0.254 -0.009  -0.290 -0.151  -0.327 -0.292  -0.364 -0.434  -0.352 -0.575  -0.315 -0.717  -0.278 -0.858  -0.160 -0.940  -0.035 -1.017  0.106 -1.044  0.251 -1.058  0.397 -1.073
2#apb#apb22#app2204/G  -1.313 -1.066  -1.271 -1.028  -1.125 -0.894  -0.985 -0.754  -0.849 -0.609  -0.717 -0.462  -0.587 -0.312  -0.461 -0.160  -0.334 -0.007  -0.223 0.157  -0.112 0.321  0.001 0.484  0.115 0.647  0.212 0.819  0.297 0.998  0.389 1.173  0.423 1.353  0.256 1.247  0.097 1.129  -0.017 0.967  -0.120 0.801  -0.158 0.608  -0.101 0.422  0.042 0.297  0.233 0.251  0.419 0.320  0.597 0.406  0.766 0.508  0.917 0.636  1.056 0.777  1.092 0.869  0.973 0.710  0.863 0.546  0.774 0.369  0.695 0.188  0.623 0.003  0.555 -0.183  0.490 -0.371  0.424 -0.557  0.357 -0.744  0.279 -0.926  0.176 -1.091  0.017 -1.210  -0.181 -1.222  -0.371 -1.183  -0.557 -1.115  -0.715 -0.995  -0.861 -0.864  -0.974 -0.701  -1.105 -0.553
2#apb#apb22#app2204/a  -0.009 0.132  0.097 0.210  0.160 0.349  0.220 0.490  0.282 0.629  0.345 0.769  0.357 0.920  0.219 0.957  0.068 0.936  -0.079 0.895  -0.224 0.847  -0.353 0.768  -0.474 0.674  -0.597 0.583  -0.729 0.506  -0.861 0.429  -0.984 0.343  -1.056 0.208  -1.129 0.073  -1.201 -0.061  -1.259 -0.203  -1.315 -0.345  -1.307 -0.489  -1.235 -0.611  -1.092 -0.665  -0.946 -0.687  -0.795 -0.658  -0.645 -0.630  -0.495 -0.602  -0.362 -0.528  -0.233 -0.445  -0.105 -0.363  0.018 -0.271  0.140 -0.179  0.263 -0.088  0.356 0.032  0.452 0.118  0.496 0.122  0.517 -0.030  0.559 -0.176  0.641 -0.292  0.778 -0.361  0.921 -0.412  1.071 -0.442  1.221 -0.472  1.370 -0.493  1.515 -0.444  1.660 -0.396  1.806 -0.348  1.951 -0.299
2#apb#apb22#app2204/b  -1.022 -0.982  -0.983 -0.969  -0.868 -0.801  -0.743 -0.641  -0.616 -0.481  -0.486 -0.325  -0.355 -0.168  -0.232 -0.006  -0.117 0.162  -0.009 0.334  0.086 0.515  0.180 0.695  0.284 0.871  0.392 1.043  0.487 1.223  0.573 1.408  0.649 1.580  0.511 1.520  0.352 1.393  0.186 1.276  0.054 1.120  -0.075 0.963  -0.184 0.790  -0.293 0.618  -0.396 0.443  -0.497 0.266  -0.597 0.088  -0.655 -0.104  -0.689 -0.305  -0.722 -0.506  -0.716 -0.709  -0.706 -0.913  -0.624 -1.091  -0.493 -1.240  -0.296 -1.289  -0.111 -1.230  0.068 -1.134  0.207 -0.988  0.339 -0.832  0.442 -0.657  0.530 -0.476  0.530 -0.273  0.530 -0.069  0.386 0.022  0.459 -0.107  0.652 -0.101  0.849 -0.051  1.049 -0.011  1.246 0.038  1.443 0.091
