3#apa#apa14#app1402/S  0.371 1.292  0.233 1.292  0.119 1.233  -0.004 1.196  -0.132 1.173  -0.240 1.101  -0.355 1.045  -0.453 0.948  -0.550 0.850  -0.648 0.753  -0.771 0.717  -0.804 0.597  -0.875 0.489  -0.954 0.430  -0.971 0.309  -0.904 0.238  -0.766 0.238  -0.627 0.238  -0.518 0.307  -0.391 0.334  -0.253 0.334  -0.115 0.334  0.023 0.334  0.161 0.334  0.299 0.334  0.430 0.304  0.554 0.242  0.681 0.215  0.779 0.118  0.876 0.020  0.946 -0.089  0.946 -0.227  0.946 -0.365  0.914 -0.496  0.852 -0.619  0.834 -0.753  0.772 -0.876  0.685 -0.981  0.587 -1.079  0.460 -1.107  0.337 -1.169  0.206 -1.200  0.068 -1.200  -0.070 -1.200  -0.208 -1.200  -0.333 -1.167  -0.430 -1.069  -0.528 -0.972  -0.588 -0.858  -0.588 -0.720
3#apa#apa14#app1402/h  -0.767 1.888  -0.767 1.763  -0.767 1.638  -0.767 1.512  -0.743 1.393  -0.687 1.281  -0.655 1.163  -0.655 1.038  -0.655 0.913  -0.655 0.788  -0.655 0.662  -0.651 0.538  -0.595 0.426  -0.543 0.313  -0.543 0.188  -0.527 0.066  -0.471 -0.046  -0.431 -0.161  -0.431 -0.287  -0.431 -0.412  -0.378 -0.515  -0.320 -0.616  -0.280 -0.725  -0.208 -0.820  -0.171 -0.908  -0.060 -0.873  0.028 -0.784  0.117 -0.696  0.205 -0.607  0.294 -0.519  0.352 -0.418  0.352 -0.292  0.352 -0.167  0.411 -0.066  0.463 0.037  0.509 0.143  0.606 0.210  0.687 0.166  0.687 0.041  0.687 -0.085  0.687 -0.210  0.687 -0.335  0.687 -0.460  0.696 -0.582  0.785 -0.670  0.799 -0.789  0.883 -0.880  0.911 -0.994  0.911 -1.119  1.023 -1.132
3#apa#apa14#app1402/e  -0.855 -0.343  -0.699 -0.343  -0.543 -0.343  -0.523 -0.207  -0.397 -0.177  -0.274 -0.095  -0.164 0.015  -0.054 0.126  0.057 0.236  0.167 0.347  0.278 0.457  0.309 0.600  0.411 0.655  0.475 0.746  0.475 0.903  0.424 1.038  0.314 1.148  0.160 1.153  0.004 1.153  -0.152 1.153  -0.296 1.100  -0.436 1.030  -0.523 0.928  -0.557 0.786  -0.668 0.676  -0.778 0.565  -0.855 0.441  -0.855 0.285  -0.855 0.129  -0.855 -0.028  -0.855 -0.184  -0.855 -0.340  -0.747 -0.451  -0.615 -0.509  -0.466 -0.538  -0.326 -0.608  -0.186 -0.678  -0.046 -0.748  0.093 -0.817  0.244 -0.842  0.400 -0.842  0.556 -0.842  0.712 -0.842  0.868 -0.842  1.024 -0.842  1.181 -0.842  1.337 -0.842  1.493 -0.842  1.649 -0.842  1.805 -0.842
3#apa#apa14#app1402/d  -0.146 2.056  -0.121 1.931  -0.045 1.826  -0.045 1.690  -0.014 1.559  0.029 1.430  0.056 1.298  0.056 1.162  0.065 1.028  0.126 0.906  0.157 0.777  0.157 0.641  0.253 0.545  0.259 0.411  0.259 0.274  0.328 0.167  0.360 0.044  0.360 -0.092  0.402 -0.211  0.461 -0.322  0.461 -0.283  0.461 -0.147  0.404 -0.068  0.295 -0.003  0.199 0.093  0.080 0.135  -0.053 0.127  -0.150 0.031  -0.272 -0.029  -0.384 -0.103  -0.481 -0.200  -0.584 -0.286  -0.705 -0.347  -0.753 -0.454  -0.753 -0.590  -0.753 -0.726  -0.753 -0.863  -0.732 -0.978  -0.602 -1.003  -0.480 -1.064  -0.347 -1.079  -0.211 -1.079  -0.075 -1.079  0.061 -1.079  0.196 -1.069  0.328 -1.036  0.460 -1.003  0.593 -0.978  0.729 -0.978  0.865 -0.978
3#apa#apa14#app1402/t  0.267 1.747  0.267 1.554  0.267 1.361  0.301 1.176  0.387 1.004  0.394 0.812  0.394 0.619  0.394 0.426  0.394 0.233  0.394 0.040  0.397 -0.152  0.483 -0.325  0.520 -0.509  0.520 -0.702  0.520 -0.895  0.651 -1.034  0.772 -1.176  0.861 -1.281  0.877 -1.387  0.737 -1.255  0.597 -1.122  0.456 -0.990  0.316 -0.857  0.176 -0.725  0.035 -0.592  -0.105 -0.460  -0.245 -0.327  -0.386 -0.195  -0.526 -0.062  -0.666 0.071  -0.807 0.203  -0.947 0.336  -1.087 0.468  -1.228 0.601  -1.368 0.733  -1.373 0.552  -1.284 0.396  -1.234 0.227  -1.061 0.140  -0.876 0.107  -0.683 0.107  -0.490 0.107  -0.297 0.107  -0.104 0.107  0.089 0.107  0.282 0.107  0.475 0.107  0.668 0.107  0.852 0.147  1.024 0.233
3#apa#apa14#app1402/h  -0.571 2.057  -0.571 1.913  -0.571 1.770  -0.571 1.626  -0.571 1.483  -0.571 1.339  -0.571 1.196  -0.571 1.052  -0.571 0.909  -0.569 0.765  -0.505 0.637  -0.442 0.508  -0.442 0.365  -0.428 0.225  -0.364 0.096  -0.313 -0.035  -0.313 -0.179  -0.313 -0.322  -0.313 -0.466  -0.313 -0.609  -0.313 -0.753  -0.229 -0.862  -0.184 -0.987  -0.184 -1.130  -0.184 -1.054  -0.096 -0.947  -0.056 -0.820  -0.056 -0.677  -0.004 -0.545  0.060 -0.417  0.073 -0.277  0.073 -0.133  0.080 0.009  0.144 0.137  0.212 0.263  0.313 0.364  0.450 0.382  0.463 0.250  0.564 0.148  0.623 0.021  0.668 -0.116  0.714 -0.252  0.717 -0.395  0.717 -0.538  0.717 -0.682  0.717 -0.825  0.762 -0.951  0.846 -1.059  0.873 -1.191  0.975 -1.293
3#apa#apa14#app1402/e  -0.309 -0.101  -0.211 -0.003  -0.113 0.095  -0.015 0.192  0.083 0.290  0.100 0.421  0.182 0.526  0.280 0.624  0.373 0.724  0.373 0.862  0.373 1.000  0.361 1.127  0.223 1.127  0.084 1.127  -0.054 1.127  -0.187 1.113  -0.284 1.015  -0.382 0.917  -0.480 0.819  -0.578 0.721  -0.676 0.623  -0.743 0.506  -0.787 0.375  -0.831 0.244  -0.899 0.128  -0.991 0.027  -0.991 -0.111  -0.991 -0.249  -0.981 -0.384  -0.884 -0.482  -0.786 -0.580  -0.675 -0.647  -0.550 -0.679  -0.452 -0.777  -0.316 -0.783  -0.178 -0.783  -0.040 -0.783  0.099 -0.783  0.237 -0.783  0.376 -0.783  0.514 -0.783  0.653 -0.783  0.791 -0.781  0.922 -0.737  1.053 -0.693  1.185 -0.650  1.323 -0.647  1.461 -0.647  1.599 -0.647  1.738 -0.647
3#apa#apa14#app1402/h  -0.540 1.970  -0.540 1.817  -0.540 1.664  -0.540 1.512  -0.540 1.359  -0.540 1.207  -0.540 1.054  -0.540 0.901  -0.540 0.749  -0.540 0.596  -0.540 0.444  -0.540 0.291  -0.540 0.138  -0.540 -0.014  -0.540 -0.167  -0.486 -0.297  -0.423 -0.424  -0.423 -0.576  -0.404 -0.709  -0.307 -0.765  -0.307 -0.734  -0.299 -0.585  -0.191 -0.477  -0.165 -0.335  -0.074 -0.220  -0.047 -0.074  0.021 0.063  0.089 0.199  0.158 0.336  0.159 0.488  0.159 0.640  0.264 0.688  0.293 0.555  0.392 0.443  0.392 0.291  0.392 0.138  0.392 -0.014  0.392 -0.167  0.392 -0.320  0.392 -0.472  0.392 -0.625  0.440 -0.757  0.509 -0.882  0.574 -1.007  0.661 -1.130  0.729 -1.267  0.858 -1.300  0.902 -1.408  1.055 -1.408  1.208 -1.408
3#apa#apa14#app1402/o  -0.927 0.687  -0.927 0.561  -0.971 0.447  -1.027 0.335  -1.078 0.222  -1.078 0.097  -1.078 -0.028  -1.078 -0.153  -1.037 -0.261  -0.948 -0.350  -0.927 -0.466  -0.878 -0.571  -0.790 -0.660  -0.670 -0.673  -0.569 -0.730  -0.480 -0.818  -0.358 -0.824  -0.232 -0.824  -0.107 -0.824  0.018 -0.824  0.143 -0.824  0.268 -0.824  0.393 -0.824  0.518 -0.824  0.626 -0.783  0.714 -0.694  0.803 -0.606  0.891 -0.517  0.980 -0.429  1.037 -0.327  1.037 -0.202  1.037 -0.077  1.037 0.048  0.946 0.082  0.886 0.147  0.859 0.261  0.770 0.349  0.693 0.447  0.624 0.551  0.555 0.655  0.485 0.759  0.402 0.838  0.278 0.841  0.190 0.930  0.101 1.018  0.013 1.107  -0.098 1.140  -0.224 1.140  -0.349 1.140  -0.474 1.140
3#apa#apa14#app1402/m  -1.442 0.339  -1.338 0.235  -1.326 0.093  -1.326 -0.054  -1.326 -0.201  -1.326 -0.348  -1.228 -0.455  -1.206 -0.593  -1.102 -0.697  -0.959 -0.705  -0.862 -0.655  -0.804 -0.532  -0.700 -0.428  -0.596 -0.324  -0.513 -0.211  -0.513 -0.064  -0.513 0.083  -0.427 0.194  -0.397 0.329  -0.336 0.461  -0.264 0.588  -0.158 0.687  -0.049 0.648  -0.049 0.501  -0.121 0.384  -0.165 0.255  -0.165 0.108  -0.165 -0.039  -0.165 -0.186  -0.074 -0.241  0.073 -0.241  0.209 -0.215  0.319 -0.125  0.451 -0.089  0.561 0.006  0.693 0.072  0.811 0.156  0.915 0.259  1.019 0.363  1.123 0.467  1.228 0.571  1.343 0.539  1.343 0.392  1.343 0.245  1.343 0.098  1.343 -0.049  1.343 -0.196  1.343 -0.343  1.355 -0.485  1.459 -0.589
3#apa#apa14#app1402/u  -1.294 0.949  -1.403 0.839  -1.438 0.699  -1.438 0.544  -1.438 0.389  -1.438 0.235  -1.435 0.081  -1.326 -0.028  -1.294 -0.170  -1.209 -0.289  -1.078 -0.348  -0.947 -0.406  -0.828 -0.492  -0.686 -0.523  -0.577 -0.633  -0.424 -0.637  -0.271 -0.629  -0.132 -0.560  0.007 -0.492  0.157 -0.483  0.267 -0.373  0.411 -0.348  0.528 -0.256  0.661 -0.204  0.724 -0.112  0.797 0.013  0.868 0.138  0.868 0.292  0.868 0.447  0.868 0.602  0.868 0.757  0.761 0.805  0.724 0.922  0.596 0.949  0.580 0.810  0.474 0.699  0.436 0.560  0.357 0.438  0.292 0.310  0.292 0.156  0.292 0.001  0.292 -0.154  0.292 -0.309  0.407 -0.348  0.525 -0.437  0.634 -0.547  0.752 -0.637  0.895 -0.664  1.005 -0.773  1.156 -0.781
3#apa#apa14#app1402/n  -0.808 1.073  -0.808 0.918  -0.832 0.773  -0.941 0.663  -0.947 0.511  -0.947 0.356  -0.947 0.201  -0.947 0.047  -0.947 -0.108  -0.947 -0.263  -0.947 -0.418  -0.947 -0.572  -0.945 -0.726  -0.835 -0.836  -0.692 -0.863  -0.576 -0.769  -0.467 -0.659  -0.357 -0.550  -0.255 -0.437  -0.228 -0.310  -0.117 -0.266  -0.117 -0.111  -0.117 0.044  -0.117 0.198  -0.117 0.353  -0.061 0.494  0.009 0.633  0.021 0.785  0.122 0.897  0.159 1.037  0.278 1.073  0.433 1.073  0.446 0.925  0.555 0.815  0.574 0.668  0.574 0.514  0.574 0.359  0.592 0.208  0.661 0.070  0.712 -0.073  0.712 -0.227  0.712 -0.382  0.775 -0.511  0.851 -0.634  0.896 -0.770  1.006 -0.880  1.115 -0.989  1.251 -1.063  1.389 -1.132  1.542 -1.139
3#apa#apa14#app1402/c  0.285 1.008  0.285 0.871  0.285 0.735  0.285 0.598  0.285 0.462  0.285 0.325  0.285 0.189  0.285 0.218  0.285 0.355  0.285 0.491  0.285 0.628  0.377 0.726  0.409 0.849  0.409 0.986  0.358 1.110  0.297 1.233  0.176 1.257  0.075 1.172  -0.022 1.075  -0.108 0.971  -0.169 0.849  -0.246 0.743  -0.368 0.682  -0.464 0.604  -0.464 0.467  -0.511 0.361  -0.634 0.299  -0.713 0.212  -0.713 0.075  -0.713 -0.061  -0.713 -0.198  -0.713 -0.334  -0.713 -0.471  -0.713 -0.608  -0.709 -0.742  -0.612 -0.839  -0.515 -0.936  -0.419 -1.032  -0.315 -1.112  -0.179 -1.112  -0.042 -1.112  0.088 -1.139  0.210 -1.200  0.338 -1.237  0.475 -1.237  0.611 -1.237  0.748 -1.237  0.884 -1.237  1.021 -1.237  1.158 -1.237
3#apa#apa14#app1402/u  -1.273 0.994  -1.273 0.845  -1.273 0.696  -1.273 0.546  -1.273 0.397  -1.273 0.248  -1.273 0.098  -1.273 -0.051  -1.273 -0.200  -1.273 -0.350  -1.155 -0.381  -1.039 -0.462  -0.919 -0.533  -0.770 -0.533  -0.621 -0.533  -0.482 -0.507  -0.377 -0.401  -0.236 -0.381  -0.087 -0.381  0.063 -0.381  0.102 -0.271  0.177 -0.153  0.283 -0.047  0.389 0.058  0.494 0.164  0.561 0.286  0.561 0.435  0.595 0.570  0.700 0.676  0.713 0.820  0.713 0.969  0.589 0.994  0.522 0.880  0.475 0.738  0.428 0.597  0.408 0.450  0.408 0.301  0.408 0.152  0.408 0.003  0.408 -0.147  0.408 -0.296  0.473 -0.381  0.604 -0.424  0.710 -0.530  0.815 -0.635  0.943 -0.686  1.071 -0.738  1.179 -0.839  1.328 -0.839  1.477 -0.839
3#apa#apa14#app1402/l  -0.265 1.695  -0.265 1.623  -0.265 1.551  -0.265 1.480  -0.265 1.408  -0.265 1.336  -0.265 1.264  -0.249 1.195  -0.231 1.125  -0.214 1.055  -0.197 0.986  -0.179 0.916  -0.162 0.847  -0.157 0.775  -0.150 0.705  -0.118 0.641  -0.086 0.577  -0.054 0.513  -0.049 0.442  -0.049 0.371  -0.049 0.299  -0.049 0.227  -0.049 0.155  -0.049 0.084  -0.049 0.012  -0.049 -0.060  -0.049 -0.132  -0.024 -0.198  0.008 -0.262  0.040 -0.326  0.060 -0.393  0.060 -0.465  0.060 -0.537  0.078 -0.601  0.129 -0.651  0.168 -0.707  0.168 -0.779  0.168 -0.850  0.179 -0.918  0.229 -0.969  0.277 -1.021  0.277 -1.093  0.277 -1.164  0.277 -1.236  0.277 -1.308  0.277 -1.380  0.277 -1.451  0.277 -1.523  0.277 -1.595  0.277 -1.667
3#apa#apa14#app1402/u  -0.876 1.314  -0.876 1.183  -0.890 1.058  -0.982 0.966  -0.997 0.842  -1.081 0.746  -1.117 0.631  -1.117 0.501  -1.117 0.370  -1.117 0.240  -1.117 0.109  -1.117 -0.021  -1.105 -0.147  -1.013 -0.239  -0.997 -0.362  -0.914 -0.459  -0.799 -0.496  -0.694 -0.558  -0.588 -0.617  -0.458 -0.617  -0.327 -0.617  -0.197 -0.617  -0.066 -0.617  0.064 -0.617  0.194 -0.617  0.291 -0.535  0.405 -0.496  0.511 -0.436  0.572 -0.331  0.610 -0.216  0.692 -0.120  0.709 0.003  0.801 0.096  0.813 0.221  0.813 0.352  0.813 0.482  0.813 0.613  0.813 0.678  0.813 0.547  0.813 0.417  0.813 0.286  0.813 0.156  0.813 0.026  0.813 -0.105  0.813 -0.235  0.813 -0.366  0.898 -0.461  0.990 -0.553  1.083 -0.645  1.175 -0.737
3#apa#apa14#app1402/s  0.404 1.403  0.289 1.403  0.174 1.403  0.060 1.403  -0.055 1.403  -0.148 1.349  -0.233 1.279  -0.346 1.275  -0.427 1.194  -0.526 1.154  -0.591 1.105  -0.591 0.991  -0.591 0.876  -0.582 0.763  -0.531 0.661  -0.480 0.558  -0.406 0.472  -0.325 0.391  -0.244 0.309  -0.140 0.284  -0.063 0.222  -0.012 0.120  0.045 0.021  0.126 -0.060  0.207 -0.141  0.288 -0.223  0.369 -0.304  0.450 -0.385  0.528 -0.467  0.528 -0.582  0.606 -0.665  0.687 -0.746  0.768 -0.827  0.777 -0.938  0.777 -1.052  0.694 -1.084  0.601 -1.033  0.516 -0.960  0.401 -0.960  0.287 -0.960  0.172 -0.960  0.062 -0.929  -0.046 -0.893  -0.155 -0.857  -0.267 -0.836  -0.381 -0.836  -0.496 -0.836  -0.611 -0.836  -0.725 -0.836  -0.840 -0.836
3#apa#apa14#app1402/.  0.205 1.791  0.205 1.711  0.205 1.631  0.205 1.552  0.205 1.472  0.205 1.393  0.205 1.313  0.205 1.234  0.205 1.154  0.205 1.074  0.205 0.995  0.205 0.915  0.205 0.836  0.205 0.756  0.205 0.676  0.205 0.597  0.205 0.517  0.205 0.438  0.205 0.358  0.205 0.278  0.205 0.199  0.205 0.119  0.205 0.040  0.200 -0.038  0.144 -0.094  0.088 -0.151  0.031 -0.207  -0.025 -0.263  -0.081 -0.319  -0.138 -0.376  -0.194 -0.432  -0.250 -0.488  -0.306 -0.545  -0.363 -0.601  -0.403 -0.664  -0.403 -0.743  -0.403 -0.823  -0.403 -0.902  -0.403 -0.982  -0.403 -1.062  -0.403 -1.141  -0.403 -1.221  -0.352 -1.250  -0.273 -1.250  -0.193 -1.250  -0.114 -1.250  -0.034 -1.250  0.046 -1.250  0.125 -1.250  0.205 -1.250
3#apa#apa14#app1402/\"  -1.413 1.386  -1.286 1.386  -1.254 1.292  -1.254 1.165  -1.225 1.066  -1.098 1.066  -1.094 0.944  -1.030 0.843  -0.940 0.753  -0.851 0.664  -0.774 0.568  -0.774 0.441  -0.694 0.348  -0.605 0.258  -0.515 0.168  -0.425 0.078  -0.335 -0.012  -0.246 -0.101  -0.156 -0.191  -0.066 -0.281  0.024 -0.371  0.024 -0.497  0.118 -0.531  0.227 -0.574  0.317 -0.663  0.432 -0.690  0.486 -0.637  0.445 -0.517  0.405 -0.396  0.365 -0.276  0.325 -0.155  0.285 -0.035  0.245 0.085  0.205 0.206  0.245 0.268  0.344 0.239  0.344 0.112  0.430 0.021  0.520 -0.068  0.610 -0.158  0.663 -0.263  0.677 -0.385  0.766 -0.474  0.856 -0.564  0.946 -0.654  1.016 -0.758  1.073 -0.871  1.130 -0.985  1.212 -1.080  1.302 -1.170
