3#app#app18#app1855/I  -0.215 0.889  -0.215 0.640  -0.161 0.414  -0.006 0.229  -0.006 -0.019  -0.006 -0.268  -0.006 -0.517  -0.006 -0.765  0.204 -0.804  0.183 -0.954  0.082 -0.726  -0.019 -0.499  -0.120 -0.272  -0.221 -0.045  -0.322 0.183  -0.423 0.410  -0.524 0.637  -0.625 0.865  -0.623 1.099  -0.374 1.099  -0.152 1.162  0.036 1.309  0.204 1.389  0.324 1.519  0.572 1.519  0.821 1.519  0.718 1.314  0.594 1.098  0.471 0.882  0.347 0.666  0.224 0.450  0.100 0.234  -0.023 0.018  -0.146 -0.198  -0.270 -0.414  -0.393 -0.630  -0.517 -0.845  -0.640 -1.061  -0.763 -1.277  -0.762 -1.421  -0.635 -1.299  -0.475 -1.211  -0.284 -1.070  -0.064 -1.001  0.129 -0.867  0.346 -0.791  0.595 -0.791  0.780 -0.636  1.006 -0.581  1.254 -0.581
3#app#app18#app1855/o  0.379 0.909  0.379 1.073  0.379 1.175  0.379 1.012  0.379 0.970  0.379 1.133  0.379 1.115  0.379 0.952  0.258 0.909  0.095 0.909  0.234 0.909  0.361 0.909  0.197 0.909  0.034 0.909  -0.129 0.909  -0.214 0.831  -0.214 0.668  -0.323 0.613  -0.486 0.613  -0.510 0.474  -0.510 0.311  -0.510 0.148  -0.546 0.021  -0.709 0.021  -0.806 -0.046  -0.806 -0.209  -0.806 -0.372  -0.806 -0.535  -0.806 -0.699  -0.806 -0.862  -0.806 -1.025  -0.782 -1.164  -0.619 -1.164  -0.456 -1.164  -0.292 -1.164  -0.129 -1.164  0.034 -1.164  0.197 -1.164  0.361 -1.164  0.524 -1.164  0.675 -1.152  0.675 -0.989  0.675 -0.826  0.675 -0.662  0.675 -0.499  0.675 -0.336  0.675 -0.173  0.675 -0.010  0.675 0.154  0.675 0.317
3#app#app18#app1855/u  -0.837 1.041  -1.003 1.041  -1.130 1.001  -1.130 0.835  -1.130 0.668  -1.130 0.502  -1.130 0.335  -1.130 0.169  -1.130 0.002  -1.130 -0.164  -1.130 -0.331  -1.057 -0.425  -0.891 -0.425  -0.837 -0.537  -0.837 -0.703  -0.685 -0.718  -0.518 -0.718  -0.352 -0.718  -0.185 -0.718  -0.019 -0.718  0.043 -0.613  0.043 -0.446  0.145 -0.322  0.263 -0.205  0.336 -0.068  0.336 0.098  0.336 0.265  0.336 0.431  0.336 0.598  0.336 0.764  0.336 0.931  0.336 0.985  0.336 0.818  0.336 0.652  0.336 0.485  0.336 0.319  0.336 0.152  0.336 -0.014  0.336 -0.181  0.336 -0.347  0.425 -0.425  0.591 -0.425  0.758 -0.425  0.924 -0.425  1.091 -0.425  1.257 -0.425  1.423 -0.425  1.566 -0.367  1.684 -0.249  1.802 -0.132
3#app#app18#app1855/r  -0.745 0.658  -0.745 0.500  -0.745 0.341  -0.745 0.183  -0.745 0.024  -0.745 -0.134  -0.745 -0.293  -0.724 -0.430  -0.565 -0.430  -0.407 -0.430  -0.383 -0.564  -0.383 -0.722  -0.383 -0.881  -0.383 -1.039  -0.383 -1.198  -0.383 -1.356  -0.383 -1.515  -0.383 -1.362  -0.383 -1.203  -0.383 -1.045  -0.383 -0.886  -0.383 -0.728  -0.383 -0.569  -0.383 -0.411  -0.383 -0.252  -0.383 -0.094  -0.383 0.064  -0.383 0.223  -0.322 0.356  -0.210 0.468  -0.098 0.580  -0.020 0.707  -0.020 0.865  -0.017 1.021  0.141 1.021  0.300 1.021  0.458 1.021  0.616 1.021  0.705 0.951  0.705 0.792  0.729 0.658  0.888 0.658  1.046 0.658  1.068 0.521  1.068 0.363  1.159 0.296  1.317 0.296  1.430 0.250  1.430 0.091  1.430 -0.067
3#app#app18#app1855/F  -0.263 -0.059  -0.054 -0.059  -0.242 -0.059  -0.263 -0.247  -0.263 -0.456  -0.263 -0.665  -0.263 -0.874  -0.263 -1.083  -0.263 -1.292  -0.263 -1.501  -0.263 -1.710  -0.263 -1.710  -0.263 -1.501  -0.263 -1.292  -0.296 -1.091  -0.389 -0.904  -0.483 -0.717  -0.483 -0.508  -0.483 -0.299  -0.483 -0.090  -0.483 0.119  -0.483 0.328  -0.483 0.537  -0.379 0.703  -0.263 0.864  -0.263 1.073  -0.239 1.257  -0.030 1.257  0.178 1.260  0.326 1.408  0.507 1.477  0.716 1.477  0.782 1.403  0.660 1.233  0.539 1.063  0.417 0.893  0.296 0.723  0.174 0.553  0.053 0.383  -0.069 0.213  -0.190 0.043  -0.179 -0.059  -0.044 -0.132  0.019 -0.279  0.228 -0.279  0.437 -0.279  0.646 -0.279  0.855 -0.279  1.064 -0.279  1.273 -0.279
3#app#app18#app1855/r  -0.231 0.274  -0.231 0.141  -0.231 0.009  -0.231 -0.123  -0.231 -0.256  -0.231 -0.388  -0.231 -0.520  -0.231 -0.653  -0.309 -0.708  -0.441 -0.708  -0.558 -0.723  -0.558 -0.855  -0.558 -0.987  -0.558 -1.120  -0.558 -1.252  -0.536 -1.362  -0.403 -1.362  -0.271 -1.362  -0.231 -1.269  -0.231 -1.136  -0.231 -1.004  -0.231 -0.872  -0.231 -0.739  -0.231 -0.607  -0.231 -0.475  -0.231 -0.342  -0.231 -0.210  -0.231 -0.078  -0.231 0.055  -0.231 0.187  -0.231 0.319  -0.231 0.452  -0.231 0.584  -0.150 0.682  -0.056 0.776  0.038 0.869  0.131 0.963  0.225 1.057  0.318 1.150  0.412 1.244  0.540 1.255  0.672 1.255  0.750 1.200  0.750 1.067  0.750 0.935  0.874 0.928  1.007 0.928  1.139 0.928  1.271 0.928  1.404 0.928
3#app#app18#app1855/i  -0.406 1.616  -0.406 1.543  -0.406 1.470  -0.406 1.397  -0.406 1.325  -0.406 1.252  -0.406 1.179  -0.406 1.106  -0.387 1.041  -0.335 0.990  -0.284 0.938  -0.233 0.887  -0.181 0.835  -0.130 0.784  -0.078 0.732  -0.027 0.681  0.025 0.629  0.076 0.578  0.128 0.526  0.151 0.463  0.151 0.390  0.151 0.317  0.151 0.244  0.151 0.172  0.151 0.099  0.151 0.026  0.151 -0.047  0.151 -0.120  0.151 -0.192  0.151 -0.265  0.151 -0.338  0.151 -0.411  0.151 -0.484  0.151 -0.556  0.151 -0.629  0.151 -0.702  0.151 -0.775  0.151 -0.848  0.151 -0.920  0.151 -0.993  0.151 -1.066  0.151 -1.139  0.151 -1.212  0.151 -1.284  0.151 -1.357  0.151 -1.430  0.151 -1.503  0.151 -1.576  0.151 -1.649  0.151 -1.721
3#app#app18#app1855/e  -0.821 0.143  -0.629 0.143  -0.484 0.095  -0.484 -0.097  -0.388 -0.193  -0.195 -0.193  -0.003 -0.193  0.190 -0.193  0.382 -0.193  0.527 -0.145  0.527 0.047  0.623 0.143  0.815 0.143  0.863 0.288  0.863 0.480  0.863 0.673  0.863 0.865  0.863 1.058  0.767 1.154  0.575 1.154  0.382 1.154  0.190 1.154  -0.003 1.154  -0.147 1.106  -0.147 0.913  -0.244 0.817  -0.436 0.817  -0.629 0.817  -0.821 0.817  -0.821 0.625  -0.821 0.432  -0.821 0.240  -0.821 0.047  -0.821 -0.145  -0.821 -0.338  -0.821 -0.530  -0.629 -0.530  -0.484 -0.579  -0.484 -0.771  -0.388 -0.867  -0.195 -0.867  -0.147 -1.012  -0.147 -1.204  0.045 -1.204  0.238 -1.204  0.430 -1.204  0.623 -1.204  0.815 -1.204  1.008 -1.204  1.200 -1.204
3#app#app18#app1855/n  -1.003 0.595  -0.845 0.595  -0.698 0.583  -0.698 0.425  -0.698 0.267  -0.698 0.109  -0.698 -0.049  -0.698 -0.207  -0.698 -0.365  -0.698 -0.524  -0.698 -0.682  -0.698 -0.840  -0.698 -0.998  -0.698 -1.156  -0.698 -1.155  -0.698 -0.997  -0.607 -0.930  -0.449 -0.930  -0.393 -0.827  -0.393 -0.669  -0.393 -0.511  -0.393 -0.353  -0.393 -0.195  -0.393 -0.037  -0.393 0.121  -0.393 0.280  -0.393 0.438  -0.392 0.595  -0.281 0.707  -0.169 0.819  -0.044 0.900  0.114 0.900  0.272 0.900  0.430 0.900  0.588 0.900  0.747 0.900  0.826 0.821  0.826 0.663  0.916 0.595  1.074 0.595  1.131 0.493  1.131 0.335  1.131 0.177  1.131 0.019  1.131 -0.139  1.131 -0.297  1.131 -0.455  1.131 -0.613  1.131 -0.772  1.131 -0.930
3#app#app18#app1855/d  0.119 -0.012  0.119 0.216  -0.014 0.311  -0.242 0.311  -0.470 0.311  -0.648 0.191  -0.851 0.141  -0.926 -0.012  -1.013 -0.153  -1.013 -0.381  -0.963 -0.597  -0.861 -0.801  -0.806 -0.982  -0.611 -1.061  -0.417 -1.144  -0.189 -1.144  0.039 -1.144  0.267 -1.144  0.280 -0.929  0.280 -0.701  0.280 -0.473  0.280 -0.245  0.280 -0.016  0.280 0.212  0.280 0.440  0.280 0.668  0.280 0.896  0.280 1.124  0.280 1.352  0.280 1.580  0.239 1.766  0.227 1.766  0.280 1.592  0.280 1.363  0.280 1.135  0.119 1.069  0.119 0.841  0.119 0.613  0.079 0.394  -0.023 0.190  -0.043 -0.033  -0.043 -0.261  0.066 -0.444  0.119 -0.651  0.177 -0.820  0.280 -0.945  0.416 -1.117  0.633 -1.144  0.861 -1.144  0.927 -0.982
3#app#app18#app1855/,  -0.183 0.373  -0.183 0.503  -0.183 0.632  -0.183 0.761  -0.153 0.860  -0.024 0.860  0.105 0.860  0.234 0.860  0.244 0.860  0.115 0.860  -0.014 0.860  -0.143 0.860  -0.272 0.860  -0.401 0.860  -0.531 0.860  -0.660 0.860  -0.550 0.860  -0.421 0.860  -0.292 0.860  -0.163 0.860  -0.034 0.860  0.095 0.860  0.224 0.860  0.304 0.810  0.304 0.681  0.304 0.552  0.304 0.423  0.304 0.294  0.304 0.165  0.304 0.036  0.304 -0.093  0.304 -0.222  0.304 -0.352  0.304 -0.481  0.304 -0.610  0.304 -0.739  0.304 -0.868  0.304 -0.997  0.264 -1.086  0.135 -1.086  0.006 -1.086  -0.123 -1.086  -0.183 -1.156  -0.183 -1.285  -0.183 -1.414  -0.183 -1.543  -0.183 -1.672  -0.183 -1.802  -0.183 -1.931  -0.183 -2.060
3#app#app18#app1855/\"  -0.441 1.610  -0.441 1.537  -0.441 1.464  -0.441 1.391  -0.441 1.318  -0.441 1.245  -0.441 1.171  -0.441 1.098  -0.441 1.025  -0.441 0.952  -0.441 0.879  -0.441 0.805  -0.441 0.732  -0.441 0.659  -0.441 0.586  -0.441 0.513  -0.441 0.439  -0.441 0.366  -0.441 0.293  -0.441 0.220  -0.441 0.147  -0.405 0.088  -0.353 0.037  -0.301 -0.015  -0.250 -0.067  -0.198 -0.119  -0.146 -0.170  -0.094 -0.222  -0.043 -0.274  0.009 -0.326  0.061 -0.377  0.113 -0.429  0.164 -0.481  0.216 -0.533  0.268 -0.584  0.320 -0.636  0.371 -0.688  0.423 -0.740  0.475 -0.791  0.527 -0.843  0.578 -0.895  0.630 -0.947  0.682 -0.998  0.734 -1.050  0.785 -1.102  0.837 -1.154  0.889 -1.205  0.941 -1.257  0.992 -1.309  1.044 -1.361
