3#app#app12#app1242/b  -0.571 1.994  -0.571 1.810  -0.571 1.626  -0.571 1.443  -0.571 1.259  -0.571 1.075  -0.500 0.921  -0.460 0.754  -0.460 0.570  -0.460 0.386  -0.460 0.203  -0.460 0.019  -0.440 -0.160  -0.358 -0.325  -0.348 -0.506  -0.348 -0.690  -0.348 -0.874  -0.348 -1.057  -0.348 -1.230  -0.348 -1.046  -0.348 -0.863  -0.348 -0.679  -0.348 -0.495  -0.325 -0.321  -0.237 -0.174  -0.237 0.010  -0.237 0.194  -0.237 0.378  -0.222 0.546  -0.125 0.634  0.034 0.658  0.218 0.658  0.402 0.658  0.541 0.548  0.704 0.465  0.847 0.353  0.977 0.223  1.100 0.090  1.100 -0.093  1.100 -0.277  1.017 -0.427  0.957 -0.567  0.877 -0.671  0.753 -0.803  0.610 -0.902  0.438 -0.954  0.268 -1.013  0.121 -1.101  -0.053 -1.124  -0.237 -1.124
3#app#app12#app1242/h  -0.934 1.742  -0.934 1.598  -0.934 1.453  -0.934 1.309  -0.934 1.165  -0.910 1.027  -0.846 0.898  -0.781 0.769  -0.768 0.628  -0.703 0.511  -0.601 0.409  -0.601 0.265  -0.601 0.121  -0.601 -0.023  -0.601 -0.167  -0.577 -0.306  -0.513 -0.435  -0.448 -0.564  -0.434 -0.704  -0.434 -0.848  -0.367 -0.925  -0.268 -0.970  -0.252 -1.076  -0.150 -0.974  -0.101 -0.850  -0.101 -0.706  -0.080 -0.571  0.022 -0.469  0.066 -0.343  0.126 -0.258  0.232 -0.221  0.232 -0.077  0.232 0.067  0.232 0.211  0.346 0.242  0.399 0.333  0.468 0.408  0.598 0.376  0.700 0.274  0.732 0.143  0.808 0.075  0.899 0.022  0.899 -0.122  0.906 -0.262  1.035 -0.326  1.164 -0.391  1.232 -0.493  1.278 -0.592  1.399 -0.614  1.399 -0.758
3#app#app12#app1242/a  -0.950 1.428  -0.778 1.428  -0.605 1.428  -0.452 1.383  -0.330 1.261  -0.208 1.139  -0.086 1.017  0.036 0.895  0.158 0.773  0.320 0.749  0.408 0.665  0.430 0.501  0.552 0.379  0.635 0.241  0.636 0.070  0.808 0.070  0.861 -0.050  0.861 -0.091  0.850 0.070  0.677 0.070  0.635 0.200  0.559 0.296  0.393 0.312  0.271 0.434  0.136 0.523  -0.037 0.523  -0.044 0.358  -0.155 0.296  -0.328 0.296  -0.497 0.293  -0.497 0.121  -0.583 -0.016  -0.705 -0.138  -0.724 -0.302  -0.724 -0.475  -0.724 -0.647  -0.724 -0.820  -0.724 -0.992  -0.724 -1.165  -0.675 -1.289  -0.503 -1.289  -0.331 -1.289  -0.158 -1.289  0.014 -1.289  0.185 -1.285  0.307 -1.163  0.429 -1.041  0.551 -0.920  0.689 -0.836  0.861 -0.836
3#app#app12#app1242/r  -0.787 0.758  -0.680 0.651  -0.574 0.545  -0.502 0.424  -0.502 0.274  -0.473 0.130  -0.406 -0.004  -0.338 -0.139  -0.271 -0.274  -0.217 -0.411  -0.217 -0.562  -0.185 -0.699  -0.078 -0.805  0.028 -0.911  0.067 -1.046  0.067 -1.196  0.179 -1.235  0.329 -1.235  0.352 -1.363  0.352 -1.513  0.352 -1.377  0.352 -1.226  0.352 -1.076  0.327 -0.951  0.176 -0.951  0.067 -0.909  0.067 -0.759  0.067 -0.608  0.067 -0.458  0.015 -0.329  -0.091 -0.223  -0.198 -0.116  -0.217 0.026  -0.217 0.177  -0.217 0.327  -0.217 0.478  -0.217 0.628  -0.217 0.778  -0.217 0.929  -0.180 1.042  -0.030 1.042  0.067 1.096  0.067 1.246  0.137 1.327  0.287 1.327  0.438 1.327  0.588 1.327  0.709 1.399  0.815 1.505  0.922 1.612
3#app#app12#app1242/m  -1.031 0.896  -1.031 0.674  -0.942 0.489  -0.873 0.296  -0.873 0.074  -0.873 -0.148  -0.873 -0.369  -0.873 -0.591  -0.873 -0.813  -0.873 -0.976  -0.873 -0.754  -0.873 -0.532  -0.873 -0.310  -0.873 -0.088  -0.873 0.134  -0.807 0.328  -0.714 0.512  -0.605 0.688  -0.556 0.890  -0.499 1.054  -0.397 0.934  -0.239 0.871  -0.176 0.675  -0.081 0.492  -0.081 0.271  0.015 0.071  0.078 -0.136  0.078 -0.357  0.113 -0.565  0.236 -0.736  0.236 -0.957  0.395 -0.990  0.395 -0.768  0.495 -0.588  0.553 -0.390  0.553 -0.168  0.553 0.054  0.559 0.274  0.658 0.473  0.712 0.682  0.878 0.738  1.028 0.666  1.124 0.484  1.187 0.288  1.187 0.066  1.232 -0.145  1.331 -0.343  1.345 -0.562  1.345 -0.783  1.345 -1.005
3#app#app12#app1242/  -1.784 -0.335  -1.698 -0.335  -1.612 -0.335  -1.527 -0.335  -1.441 -0.335  -1.355 -0.335  -1.270 -0.335  -1.184 -0.335  -1.099 -0.335  -1.013 -0.335  -0.927 -0.335  -0.842 -0.335  -0.756 -0.335  -0.670 -0.335  -0.585 -0.335  -0.499 -0.335  -0.414 -0.335  -0.328 -0.335  -0.242 -0.335  -0.157 -0.335  -0.071 -0.335  -0.001 -0.319  -0.001 -0.234  -0.001 -0.148  -0.001 -0.062  -0.001 0.023  -0.001 0.109  0.083 0.111  0.168 0.111  0.254 0.111  0.339 0.111  0.425 0.111  0.491 0.158  0.552 0.218  0.612 0.279  0.673 0.339  0.734 0.400  0.794 0.460  0.855 0.521  0.925 0.557  1.011 0.557  1.097 0.557  1.182 0.557  1.268 0.557  1.336 0.539  1.336 0.453  1.336 0.368  1.336 0.282  1.336 0.197  1.336 0.111
3#app#app12#app1242/s  0.042 1.416  0.042 1.291  -0.041 1.250  -0.124 1.209  -0.124 1.085  -0.248 1.084  -0.372 1.084  -0.455 1.044  -0.455 0.920  -0.542 0.832  -0.621 0.740  -0.621 0.616  -0.716 0.588  -0.786 0.533  -0.799 0.422  -0.923 0.422  -0.952 0.327  -0.952 0.203  -0.939 0.091  -0.815 0.091  -0.691 0.091  -0.621 0.038  -0.609 -0.074  -0.485 -0.074  -0.360 -0.074  -0.236 -0.074  -0.112 -0.074  0.012 -0.074  0.136 -0.074  0.260 -0.074  0.384 -0.074  0.508 -0.074  0.622 -0.116  0.733 -0.172  0.844 -0.227  0.937 -0.308  1.025 -0.395  1.035 -0.515  1.035 -0.639  1.016 -0.756  0.928 -0.843  0.840 -0.931  0.753 -1.019  0.665 -1.107  0.577 -1.194  0.469 -1.233  0.345 -1.233  0.221 -1.233  0.129 -1.311  0.042 -1.399
3#app#app12#app1242/e  -0.085 -0.520  -0.085 -0.374  0.032 -0.345  0.090 -0.257  0.150 -0.171  0.264 -0.139  0.267 0.004  0.413 0.004  0.439 0.124  0.503 0.243  0.606 0.346  0.613 0.489  0.689 0.603  0.788 0.709  0.788 0.855  0.788 1.000  0.788 1.146  0.721 1.225  0.575 1.225  0.439 1.216  0.439 1.070  0.312 1.051  0.166 1.051  0.040 1.001  -0.063 0.898  -0.200 0.876  -0.320 0.815  -0.423 0.712  -0.493 0.585  -0.558 0.454  -0.608 0.320  -0.611 0.175  -0.714 0.072  -0.783 -0.045  -0.783 -0.191  -0.783 -0.337  -0.783 -0.483  -0.783 -0.629  -0.726 -0.751  -0.623 -0.854  -0.520 -0.957  -0.417 -1.061  -0.313 -1.164  -0.190 -1.218  -0.056 -1.247  0.047 -1.350  0.090 -1.478  0.147 -1.567  0.293 -1.567  0.439 -1.567
3#app#app12#app1242/l  -0.090 1.701  -0.090 1.631  -0.090 1.561  -0.090 1.490  -0.090 1.420  -0.090 1.350  -0.090 1.279  -0.090 1.209  -0.090 1.139  -0.090 1.068  -0.090 0.998  -0.090 0.928  -0.090 0.858  -0.090 0.787  -0.090 0.717  -0.090 0.647  -0.090 0.576  -0.090 0.506  -0.084 0.437  -0.053 0.374  -0.022 0.311  0.010 0.248  0.036 0.184  0.036 0.114  0.036 0.044  0.036 -0.027  0.036 -0.097  0.036 -0.167  0.036 -0.238  0.036 -0.308  0.036 -0.378  0.036 -0.448  0.036 -0.519  0.036 -0.589  0.036 -0.659  0.036 -0.730  0.036 -0.800  0.036 -0.870  0.036 -0.941  0.036 -1.011  0.036 -1.081  0.036 -1.151  0.053 -1.218  0.085 -1.281  0.116 -1.343  0.148 -1.406  0.161 -1.473  0.161 -1.544  0.161 -1.614  0.161 -1.684
3#app#app12#app1242/l  -0.187 1.708  -0.187 1.634  -0.187 1.561  -0.187 1.488  -0.187 1.415  -0.187 1.342  -0.187 1.269  -0.187 1.196  -0.169 1.131  -0.117 1.079  -0.065 1.027  -0.048 0.961  -0.048 0.888  -0.048 0.815  -0.048 0.742  -0.048 0.669  -0.048 0.596  -0.048 0.523  -0.048 0.450  -0.048 0.377  -0.048 0.304  -0.048 0.231  -0.048 0.158  -0.048 0.085  -0.048 0.011  -0.048 -0.062  -0.048 -0.135  -0.048 -0.208  -0.048 -0.281  -0.048 -0.354  -0.030 -0.423  0.003 -0.488  0.036 -0.553  0.068 -0.619  0.092 -0.686  0.092 -0.759  0.092 -0.832  0.092 -0.906  0.092 -0.979  0.092 -1.052  0.092 -1.125  0.092 -1.198  0.139 -1.224  0.212 -1.224  0.231 -1.277  0.231 -1.351  0.231 -1.424  0.231 -1.497  0.298 -1.503  0.371 -1.503
3#app#app12#app1242/e  -0.400 -0.271  -0.260 -0.271  -0.120 -0.271  -0.009 -0.202  0.093 -0.110  0.233 -0.110  0.373 -0.110  0.482 -0.034  0.581 0.065  0.680 0.164  0.729 0.284  0.764 0.409  0.863 0.508  0.890 0.637  0.890 0.778  0.890 0.918  0.890 1.058  0.873 1.180  0.733 1.180  0.593 1.180  0.453 1.180  0.312 1.180  0.194 1.129  0.095 1.030  -0.005 0.931  -0.104 0.832  -0.203 0.733  -0.302 0.634  -0.400 0.535  -0.400 0.394  -0.485 0.289  -0.562 0.181  -0.569 0.044  -0.668 -0.055  -0.723 -0.172  -0.723 -0.313  -0.723 -0.453  -0.723 -0.593  -0.723 -0.733  -0.723 -0.873  -0.655 -0.985  -0.562 -1.086  -0.562 -1.226  -0.434 -1.239  -0.400 -1.345  -0.315 -1.401  -0.175 -1.401  -0.035 -1.401  0.105 -1.401  0.245 -1.401
3#app#app12#app1242/r  -0.775 0.133  -0.643 0.133  -0.570 0.073  -0.570 -0.060  -0.570 -0.192  -0.537 -0.311  -0.443 -0.405  -0.365 -0.505  -0.365 -0.638  -0.365 -0.771  -0.365 -0.903  -0.365 -1.036  -0.316 -1.148  -0.222 -1.242  -0.159 -1.349  -0.159 -1.482  -0.159 -1.405  -0.159 -1.273  -0.159 -1.140  -0.159 -1.007  -0.159 -0.875  -0.159 -0.742  -0.159 -0.609  -0.159 -0.477  -0.159 -0.344  -0.159 -0.211  -0.159 -0.079  -0.159 0.054  -0.197 0.171  -0.291 0.265  -0.365 0.367  -0.365 0.500  -0.365 0.632  -0.349 0.749  -0.216 0.749  -0.083 0.749  0.049 0.749  0.182 0.749  0.296 0.794  0.390 0.888  0.495 0.954  0.628 0.954  0.760 0.954  0.893 0.954  1.026 0.954  1.073 1.040  1.086 1.160  1.218 1.160  1.351 1.160  1.484 1.160
3#app#app12#app1242/.  -1.307 1.213  -1.248 1.153  -1.188 1.094  -1.128 1.034  -1.069 0.975  -1.009 0.915  -0.950 0.855  -0.890 0.796  -0.831 0.736  -0.771 0.677  -0.712 0.617  -0.652 0.558  -0.592 0.498  -0.533 0.438  -0.473 0.379  -0.414 0.319  -0.347 0.278  -0.262 0.278  -0.178 0.278  -0.094 0.278  -0.010 0.278  0.074 0.278  0.159 0.278  0.243 0.278  0.327 0.278  0.411 0.278  0.496 0.278  0.563 0.261  0.563 0.177  0.563 0.092  0.563 0.008  0.563 -0.076  0.563 -0.160  0.563 -0.245  0.563 -0.329  0.563 -0.413  0.563 -0.497  0.563 -0.582  0.563 -0.666  0.563 -0.750  0.563 -0.834  0.563 -0.918  0.563 -1.003  0.563 -1.087  0.563 -1.171  0.563 -1.255  0.563 -1.340  0.563 -1.424  0.563 -1.508  0.563 -1.592
3#app#app12#app1242/R  -0.155 0.735  -0.068 0.540  -0.155 0.382  -0.165 0.140  -0.253 -0.069  -0.253 -0.314  -0.253 -0.560  -0.253 -0.805  -0.253 -1.051  -0.197 -1.273  -0.092 -1.475  -0.131 -1.327  -0.222 -1.099  -0.313 -0.871  -0.404 -0.643  -0.496 -0.415  -0.587 -0.187  -0.678 0.041  -0.769 0.269  -0.860 0.497  -0.952 0.725  -1.009 0.930  -0.861 1.028  -0.713 1.125  -0.468 1.125  -0.231 1.147  -0.017 1.223  0.228 1.223  0.474 1.223  0.719 1.223  0.894 1.052  1.096 0.947  1.211 0.807  1.113 0.601  0.983 0.410  0.805 0.247  0.607 0.132  0.434 -0.042  0.213 -0.143  0.017 -0.263  -0.185 -0.368  -0.402 -0.436  -0.346 -0.534  -0.101 -0.534  0.047 -0.631  0.235 -0.689  0.400 -0.826  0.583 -0.979  0.770 -1.119  1.016 -1.119
3#app#app12#app1242/i  -0.464 1.459  -0.390 1.459  -0.316 1.459  -0.242 1.459  -0.194 1.434  -0.194 1.360  -0.194 1.286  -0.194 1.212  -0.194 1.138  -0.194 1.064  -0.194 0.991  -0.192 0.918  -0.140 0.865  -0.087 0.813  -0.035 0.761  0.017 0.709  0.069 0.656  0.076 0.585  0.076 0.511  0.076 0.438  0.076 0.364  0.076 0.290  0.076 0.216  0.076 0.142  0.076 0.068  0.076 -0.006  0.076 -0.079  0.076 -0.153  0.076 -0.227  0.076 -0.301  0.076 -0.375  0.076 -0.449  0.076 -0.523  0.076 -0.596  0.076 -0.670  0.076 -0.744  0.076 -0.818  0.076 -0.892  0.076 -0.966  0.076 -1.039  0.076 -1.113  0.076 -1.187  0.076 -1.261  0.076 -1.335  0.076 -1.409  0.076 -1.483  0.124 -1.508  0.198 -1.508  0.272 -1.508  0.346 -1.508
3#app#app12#app1242/n  -1.125 1.158  -1.125 0.999  -1.007 0.958  -0.925 0.881  -0.900 0.733  -0.787 0.620  -0.725 0.487  -0.725 0.328  -0.725 0.169  -0.725 0.011  -0.677 -0.137  -0.606 -0.279  -0.535 -0.421  -0.526 -0.578  -0.526 -0.736  -0.526 -0.895  -0.526 -1.054  -0.526 -1.213  -0.432 -1.146  -0.326 -1.031  -0.326 -0.872  -0.326 -0.713  -0.326 -0.554  -0.326 -0.395  -0.323 -0.238  -0.211 -0.126  -0.126 -0.002  -0.126 0.157  -0.126 0.316  -0.044 0.441  0.068 0.553  0.181 0.665  0.293 0.778  0.405 0.890  0.536 0.958  0.673 0.936  0.673 0.777  0.772 0.659  0.873 0.542  0.873 0.383  0.873 0.224  0.939 0.093  1.051 -0.019  1.072 -0.169  1.072 -0.328  1.072 -0.487  1.076 -0.644  1.189 -0.756  1.272 -0.881  1.272 -1.040
3#app#app12#app1242/c  0.649 0.965  0.649 1.086  0.649 1.208  0.640 1.320  0.519 1.320  0.471 1.246  0.454 1.143  0.332 1.143  0.211 1.143  0.116 1.116  0.116 0.995  0.025 0.965  -0.086 0.940  -0.172 0.854  -0.238 0.761  -0.238 0.640  -0.330 0.610  -0.416 0.575  -0.416 0.453  -0.487 0.362  -0.573 0.276  -0.593 0.163  -0.609 0.046  -0.664 -0.063  -0.718 -0.171  -0.771 -0.280  -0.771 -0.401  -0.771 -0.522  -0.759 -0.632  -0.638 -0.632  -0.593 -0.708  -0.573 -0.809  -0.451 -0.809  -0.416 -0.895  -0.386 -0.987  -0.265 -0.987  -0.144 -0.987  -0.023 -0.987  0.098 -0.987  0.220 -0.987  0.341 -0.987  0.462 -0.987  0.471 -0.875  0.527 -0.809  0.648 -0.809  0.734 -0.724  0.820 -0.638  0.939 -0.632  1.004 -0.576  1.004 -0.454
3#app#app12#app1242/e  -0.050 -0.736  0.047 -0.639  0.144 -0.542  0.146 -0.405  0.200 -0.290  0.297 -0.193  0.416 -0.148  0.539 -0.133  0.539 0.004  0.539 0.141  0.572 0.244  0.710 0.244  0.735 0.357  0.735 0.494  0.735 0.631  0.735 0.769  0.735 0.906  0.720 1.029  0.583 1.029  0.539 1.122  0.504 1.225  0.367 1.225  0.230 1.225  0.146 1.171  0.146 1.034  0.014 1.029  -0.050 0.955  -0.056 0.819  -0.118 0.697  -0.179 0.574  -0.240 0.451  -0.334 0.352  -0.432 0.255  -0.442 0.122  -0.487 0.003  -0.584 -0.094  -0.638 -0.209  -0.638 -0.346  -0.638 -0.484  -0.638 -0.621  -0.638 -0.758  -0.638 -0.895  -0.638 -1.033  -0.638 -1.170  -0.638 -1.307  -0.638 -1.444  -0.594 -1.564  -0.497 -1.661  -0.383 -1.716  -0.246 -1.716
3#app#app12#app1242/w  -1.150 1.108  -0.992 1.108  -0.983 0.959  -0.983 0.801  -0.983 0.644  -0.983 0.486  -0.983 0.328  -0.983 0.170  -0.983 0.012  -0.983 -0.146  -0.983 -0.304  -0.983 -0.461  -0.983 -0.619  -0.935 -0.729  -0.816 -0.768  -0.787 -0.896  -0.649 -0.876  -0.638 -0.729  -0.481 -0.728  -0.369 -0.616  -0.257 -0.504  -0.146 -0.393  -0.034 -0.281  0.019 -0.145  0.071 -0.009  0.183 0.103  0.186 0.259  0.186 0.417  0.186 0.575  0.186 0.733  0.186 0.657  0.186 0.499  0.186 0.342  0.249 0.210  0.353 0.095  0.354 -0.062  0.466 -0.174  0.520 -0.309  0.592 -0.395  0.750 -0.395  0.908 -0.395  1.066 -0.395  1.213 -0.370  1.325 -0.258  1.355 -0.113  1.355 0.045  1.423 0.174  1.522 0.291  1.522 0.449  1.522 0.607
