3#app#app14#app1458/f  0.252 -0.458  0.067 -0.458  -0.119 -0.458  -0.304 -0.458  -0.469 -0.506  -0.628 -0.570  -0.813 -0.570  -0.858 -0.675  -0.701 -0.576  -0.544 -0.478  -0.387 -0.380  -0.230 -0.282  -0.073 -0.184  0.084 -0.086  0.241 0.012  0.398 0.111  0.555 0.209  0.712 0.307  0.869 0.405  1.045 0.440  1.150 0.520  1.150 0.705  1.150 0.890  1.076 1.001  1.003 1.114  0.926 1.221  0.745 1.226  0.560 1.226  0.375 1.226  0.236 1.114  0.051 1.114  -0.017 0.979  -0.183 0.896  -0.237 0.737  -0.368 0.606  -0.499 0.475  -0.551 0.311  -0.646 0.165  -0.646 -0.020  -0.646 -0.205  -0.646 -0.390  -0.643 -0.574  -0.534 -0.714  -0.429 -0.795  -0.376 -0.953  -0.309 -1.111  -0.197 -1.250  -0.197 -1.435  -0.197 -1.620  -0.197 -1.805
3#app#app14#app1458/d  0.152 0.144  0.315 0.144  0.105 0.144  -0.034 0.073  -0.128 -0.043  -0.304 -0.126  -0.471 -0.229  -0.593 -0.317  -0.672 -0.495  -0.780 -0.660  -0.837 -0.846  -0.966 -1.003  -0.930 -1.198  -0.781 -1.346  -0.593 -1.326  -0.548 -1.161  -0.358 -1.113  -0.210 -0.964  -0.061 -0.816  -0.034 -0.617  0.104 -0.464  0.253 -0.315  0.339 -0.141  0.339 0.069  0.339 0.279  0.339 0.489  0.339 0.699  0.339 0.909  0.339 1.119  0.339 1.329  0.339 1.539  0.339 1.749  0.201 1.821  0.038 1.707  -0.034 1.527  -0.034 1.317  -0.034 1.107  -0.034 0.897  -0.034 0.687  -0.034 0.477  0.011 0.285  0.152 0.134  0.152 -0.076  0.193 -0.269  0.340 -0.418  0.434 -0.606  0.525 -0.795  0.546 -0.996  0.695 -1.145  0.898 -1.161
3#app#app14#app1458/k  -0.632 2.048  -0.452 2.025  -0.452 1.823  -0.452 1.621  -0.452 1.419  -0.452 1.217  -0.452 1.015  -0.452 0.813  -0.452 0.611  -0.452 0.409  -0.452 0.207  -0.452 0.005  -0.452 -0.197  -0.452 -0.399  -0.452 -0.601  -0.452 -0.803  -0.452 -1.005  -0.452 -1.207  -0.429 -1.332  -0.317 -1.164  -0.205 -0.996  -0.093 -0.828  0.019 -0.660  0.131 -0.492  0.244 -0.324  0.356 -0.156  0.468 0.013  0.580 0.181  0.692 0.349  0.804 0.517  0.916 0.685  0.986 0.713  0.887 0.610  0.685 0.610  0.525 0.509  0.447 0.339  0.333 0.250  0.171 0.155  0.028 0.012  -0.115 -0.131  -0.258 -0.274  -0.272 -0.470  -0.272 -0.672  -0.226 -0.828  -0.024 -0.828  0.178 -0.828  0.267 -0.941  0.402 -1.008  0.604 -1.008  0.806 -1.008
3#app#app14#app1458/n  -0.863 0.492  -0.863 0.353  -0.863 0.213  -0.863 0.074  -0.863 -0.065  -0.978 -0.089  -1.117 -0.089  -1.153 -0.192  -1.153 -0.332  -1.063 -0.380  -0.923 -0.380  -0.863 -0.301  -0.863 -0.162  -0.796 -0.089  -0.657 -0.089  -0.572 -0.035  -0.572 0.104  -0.553 0.239  -0.491 0.364  -0.429 0.488  -0.366 0.613  -0.304 0.737  -0.193 0.783  -0.053 0.783  0.009 0.859  0.009 0.998  0.009 1.009  0.009 0.869  0.046 0.745  0.145 0.647  0.243 0.549  0.300 0.433  0.300 0.293  0.333 0.168  0.431 0.070  0.530 -0.029  0.590 -0.143  0.590 -0.282  0.620 -0.409  0.718 -0.508  0.817 -0.606  0.929 -0.671  1.069 -0.671  1.172 -0.707  1.172 -0.846  1.196 -0.961  1.335 -0.961  1.474 -0.961  1.614 -0.961  1.753 -0.961
3#app#app14#app1458/e  -0.972 0.046  -0.809 0.046  -0.646 0.046  -0.619 -0.091  -0.619 -0.254  -0.509 -0.307  -0.346 -0.307  -0.183 -0.307  -0.019 -0.307  0.127 -0.267  0.242 -0.151  0.358 -0.036  0.487 0.046  0.650 0.046  0.807 0.061  0.923 0.176  1.038 0.291  1.145 0.410  1.145 0.573  1.145 0.736  1.145 0.899  1.145 1.063  1.024 1.104  0.861 1.104  0.698 1.104  0.534 1.104  0.391 1.056  0.276 0.941  0.160 0.825  0.045 0.710  -0.070 0.595  -0.186 0.479  -0.315 0.399  -0.479 0.399  -0.619 0.376  -0.619 0.213  -0.619 0.050  -0.619 -0.113  -0.619 -0.277  -0.619 -0.440  -0.619 -0.603  -0.619 -0.766  -0.619 -0.929  -0.619 -1.092  -0.619 -1.255  -0.566 -1.366  -0.403 -1.366  -0.266 -1.392  -0.266 -1.555  -0.266 -1.718
3#app#app14#app1458/w  -1.402 0.856  -1.402 0.746  -1.402 0.636  -1.402 0.526  -1.402 0.416  -1.381 0.315  -1.303 0.237  -1.226 0.160  -1.148 0.082  -1.040 0.076  -0.931 0.076  -0.821 0.076  -0.711 0.076  -0.607 0.091  -0.530 0.169  -0.452 0.247  -0.374 0.325  -0.296 0.402  -0.219 0.480  -0.141 0.558  -0.103 0.540  -0.103 0.430  -0.103 0.320  -0.103 0.210  -0.103 0.100  -0.065 -0.000  -0.016 -0.099  0.034 -0.197  0.083 -0.295  0.132 -0.393  0.195 -0.482  0.273 -0.559  0.350 -0.637  0.433 -0.703  0.543 -0.703  0.653 -0.703  0.762 -0.703  0.872 -0.703  0.936 -0.657  0.936 -0.547  0.940 -0.439  1.018 -0.362  1.096 -0.284  1.173 -0.206  1.251 -0.129  1.329 -0.051  1.407 0.027  1.456 0.116  1.456 0.226  1.456 0.336
3#app#app14#app1458/t  1.718 0.109  1.527 0.109  1.335 0.109  1.166 0.058  1.030 -0.077  0.866 -0.142  0.675 -0.142  0.484 -0.142  0.293 -0.142  0.102 -0.142  -0.074 -0.179  -0.209 -0.314  -0.368 -0.392  -0.559 -0.392  -0.750 -0.392  -0.941 -0.392  -1.039 -0.485  -1.023 -0.614  -0.930 -0.447  -0.837 -0.280  -0.744 -0.113  -0.651 0.054  -0.559 0.221  -0.466 0.388  -0.373 0.555  -0.280 0.722  -0.188 0.889  -0.095 1.056  -0.002 1.223  0.091 1.390  0.184 1.557  0.214 1.484  0.214 1.293  0.214 1.102  0.214 0.911  0.151 0.735  0.066 0.564  -0.020 0.393  -0.036 0.206  -0.036 0.015  -0.036 -0.176  -0.036 -0.367  -0.036 -0.558  -0.036 -0.749  -0.036 -0.940  -0.036 -1.132  -0.036 -1.323  -0.036 -1.514  -0.036 -1.705  -0.036 -1.896
3#app#app14#app1458/h  -0.228 1.754  -0.228 1.640  -0.228 1.526  -0.228 1.412  -0.228 1.298  -0.294 1.211  -0.374 1.130  -0.387 1.022  -0.387 0.907  -0.391 0.795  -0.472 0.715  -0.546 0.631  -0.546 0.517  -0.546 0.403  -0.561 0.292  -0.612 0.190  -0.663 0.088  -0.705 -0.016  -0.705 -0.130  -0.705 -0.244  -0.705 -0.358  -0.705 -0.472  -0.705 -0.586  -0.657 -0.584  -0.576 -0.504  -0.475 -0.473  -0.387 -0.447  -0.387 -0.333  -0.292 -0.314  -0.192 -0.279  -0.112 -0.198  -0.015 -0.155  0.099 -0.155  0.213 -0.155  0.327 -0.155  0.432 -0.178  0.512 -0.259  0.568 -0.350  0.568 -0.464  0.642 -0.547  0.722 -0.628  0.835 -0.632  0.886 -0.695  0.904 -0.791  1.018 -0.791  1.106 -0.853  1.187 -0.934  1.294 -0.951  1.408 -0.951  1.522 -0.951
3#app#app14#app1458/a  0.061 1.337  -0.047 1.229  -0.155 1.120  -0.264 1.012  -0.390 0.947  -0.543 0.947  -0.696 0.947  -0.811 0.854  -0.920 0.746  -1.028 0.638  -1.109 0.518  -1.109 0.365  -1.109 0.212  -1.109 0.059  -1.109 -0.095  -1.109 -0.248  -1.109 -0.401  -1.109 -0.554  -1.015 -0.614  -0.862 -0.614  -0.709 -0.614  -0.556 -0.614  -0.403 -0.614  -0.249 -0.614  -0.096 -0.614  0.057 -0.614  0.061 -0.465  0.061 -0.312  0.126 -0.224  0.280 -0.224  0.433 -0.224  0.586 -0.224  0.739 -0.224  0.841 -0.173  0.841 -0.019  0.841 0.134  0.841 0.287  0.841 0.440  0.841 0.520  0.841 0.367  0.841 0.213  0.841 0.060  0.841 -0.093  0.841 -0.246  0.841 -0.399  0.841 -0.553  0.907 -0.679  1.015 -0.787  1.123 -0.896  1.232 -1.004
3#app#app14#app1458/t  0.987 -0.791  0.830 -0.791  0.673 -0.791  0.532 -0.722  0.391 -0.652  0.239 -0.632  0.082 -0.632  -0.076 -0.632  -0.233 -0.632  -0.390 -0.632  -0.418 -0.533  -0.378 -0.381  -0.337 -0.229  -0.297 -0.077  -0.256 0.075  -0.216 0.227  -0.175 0.378  -0.135 0.530  -0.094 0.682  -0.054 0.834  -0.013 0.986  0.027 1.138  0.068 1.290  0.108 1.441  0.149 1.593  0.189 1.745  0.192 1.607  0.089 1.493  0.033 1.359  0.033 1.201  0.033 1.044  0.033 0.887  0.033 0.730  0.033 0.573  0.033 0.416  0.004 0.265  -0.067 0.125  -0.127 -0.018  -0.127 -0.175  -0.127 -0.333  -0.127 -0.490  -0.127 -0.647  -0.127 -0.804  -0.127 -0.961  -0.127 -1.118  -0.127 -1.276  -0.127 -1.433  -0.127 -1.590  -0.127 -1.747  -0.127 -1.904
3#app#app14#app1458/s  0.824 1.429  0.824 1.305  0.824 1.182  0.715 1.166  0.592 1.166  0.468 1.166  0.344 1.166  0.221 1.166  0.097 1.166  -0.008 1.122  -0.096 1.035  -0.183 0.947  -0.289 0.903  -0.412 0.903  -0.490 0.857  -0.490 0.734  -0.490 0.610  -0.490 0.486  -0.490 0.363  -0.490 0.239  -0.490 0.115  -0.366 0.115  -0.243 0.115  -0.151 0.039  -0.063 -0.049  0.024 -0.136  0.143 -0.147  0.267 -0.147  0.298 -0.240  0.298 -0.363  0.375 -0.410  0.499 -0.410  0.561 -0.472  0.561 -0.595  0.515 -0.673  0.391 -0.673  0.298 -0.704  0.298 -0.827  0.284 -0.942  0.174 -0.998  0.063 -1.053  -0.047 -1.108  -0.158 -1.164  -0.273 -1.198  -0.397 -1.198  -0.521 -1.198  -0.644 -1.198  -0.768 -1.198  -0.892 -1.198  -1.015 -1.198
3#app#app14#app1458/o  -1.010 0.693  -0.899 0.693  -0.787 0.693  -0.676 0.693  -0.564 0.693  -0.470 0.734  -0.391 0.813  -0.312 0.892  -0.221 0.943  -0.110 0.943  0.002 0.943  0.113 0.943  0.225 0.943  0.336 0.943  0.448 0.943  0.560 0.943  0.671 0.943  0.737 0.897  0.737 0.786  0.737 0.674  0.737 0.563  0.737 0.451  0.737 0.340  0.737 0.228  0.737 0.117  0.737 0.005  0.715 -0.101  0.665 -0.201  0.615 -0.301  0.565 -0.401  0.515 -0.500  0.452 -0.591  0.374 -0.670  0.295 -0.749  0.216 -0.827  0.137 -0.906  0.058 -0.985  -0.025 -1.055  -0.136 -1.055  -0.248 -1.055  -0.359 -1.055  -0.471 -1.055  -0.582 -1.055  -0.694 -1.055  -0.792 -1.023  -0.871 -0.944  -0.950 -0.865  -1.010 -0.778  -1.010 -0.667  -1.010 -0.555
3#app#app14#app1458/m  -1.250 0.460  -1.078 0.460  -1.212 0.460  -1.250 0.326  -1.250 0.154  -1.318 0.010  -1.440 -0.112  -1.441 -0.283  -1.290 -0.304  -1.157 -0.210  -1.035 -0.089  -0.913 0.033  -0.791 0.155  -0.677 0.279  -0.677 0.452  -0.513 0.460  -0.486 0.316  -0.486 0.143  -0.486 -0.029  -0.486 -0.201  -0.486 -0.373  -0.436 -0.495  -0.264 -0.495  -0.104 -0.483  -0.104 -0.311  0.013 -0.187  0.135 -0.066  0.257 0.056  0.278 0.219  0.401 0.269  0.469 0.372  0.469 0.376  0.469 0.204  0.502 0.045  0.624 -0.077  0.661 -0.234  0.661 -0.406  0.719 -0.554  0.841 -0.675  1.008 -0.686  1.043 -0.549  1.127 -0.411  1.234 -0.283  1.234 -0.111  1.234 0.061  1.343 0.188  1.425 0.326  1.425 0.498  1.444 0.651  1.616 0.651
3#app#app14#app1458/e  -0.152 -0.100  -0.056 -0.004  0.041 0.093  0.161 0.132  0.297 0.132  0.434 0.132  0.567 0.144  0.689 0.205  0.811 0.266  0.934 0.327  1.009 0.416  1.009 0.553  1.102 0.597  1.238 0.597  1.242 0.730  1.204 0.829  1.068 0.829  0.932 0.829  0.795 0.829  0.659 0.829  0.522 0.829  0.386 0.829  0.268 0.785  0.171 0.688  0.073 0.594  -0.049 0.533  -0.171 0.472  -0.293 0.411  -0.409 0.341  -0.505 0.244  -0.602 0.148  -0.698 0.051  -0.795 -0.045  -0.891 -0.142  -0.988 -0.238  -1.082 -0.335  -1.082 -0.472  -1.082 -0.608  -1.082 -0.745  -0.998 -0.797  -0.861 -0.797  -0.849 -0.922  -0.820 -1.029  -0.684 -1.029  -0.555 -1.061  -0.433 -1.122  -0.311 -1.183  -0.189 -1.244  -0.057 -1.262  0.080 -1.262
