3#apb#apb15#app1564/1  0.347 0.761  0.347 0.841  0.331 0.915  0.286 0.979  0.270 1.058  0.250 1.135  0.227 1.212  0.207 1.290  0.182 1.367  0.124 1.355  0.124 1.274  0.124 1.194  0.123 1.113  0.115 1.033  0.108 0.953  0.100 0.873  0.092 0.793  0.085 0.713  0.077 0.632  0.070 0.552  0.051 0.474  0.030 0.397  0.008 0.319  -0.013 0.241  -0.034 0.164  -0.055 0.086  -0.076 0.008  -0.097 -0.069  -0.105 -0.149  -0.112 -0.230  -0.118 -0.310  -0.125 -0.390  -0.132 -0.470  -0.138 -0.551  -0.145 -0.631  -0.152 -0.711  -0.161 -0.791  -0.172 -0.871  -0.182 -0.951  -0.193 -1.030  -0.203 -1.110  -0.210 -1.190  -0.210 -1.271  -0.210 -1.351  -0.210 -1.432  -0.192 -1.510  -0.173 -1.588  -0.150 -1.665  -0.092 -1.719  -0.015 -1.744
3#apb#apb15#app1564/o  0.459 1.149  0.335 1.174  0.209 1.182  0.094 1.142  -0.013 1.074  -0.120 1.005  -0.226 0.936  -0.325 0.856  -0.424 0.777  -0.523 0.698  -0.590 0.592  -0.646 0.479  -0.703 0.365  -0.753 0.249  -0.778 0.125  -0.802 0.000  -0.833 -0.122  -0.870 -0.244  -0.906 -0.365  -0.886 -0.487  -0.850 -0.608  -0.812 -0.730  -0.735 -0.830  -0.657 -0.930  -0.578 -1.030  -0.465 -1.086  -0.352 -1.143  -0.232 -1.142  -0.110 -1.108  0.012 -1.075  0.128 -1.024  0.239 -0.963  0.351 -0.903  0.449 -0.828  0.522 -0.724  0.595 -0.620  0.663 -0.514  0.692 -0.390  0.721 -0.267  0.750 -0.143  0.779 -0.020  0.799 0.105  0.809 0.231  0.819 0.358  0.827 0.484  0.814 0.611  0.801 0.737  0.787 0.863  0.774 0.989  0.761 1.115
3#apb#apb15#app1564/5  -0.344 0.472  -0.310 0.665  -0.311 0.858  -0.298 0.786  -0.356 0.608  -0.468 0.445  -0.586 0.287  -0.680 0.119  -0.609 -0.041  -0.435 -0.090  -0.245 -0.034  -0.057 0.028  0.130 0.093  0.317 0.158  0.510 0.189  0.700 0.178  0.849 0.050  0.909 -0.132  0.901 -0.329  0.852 -0.520  0.772 -0.701  0.657 -0.859  0.522 -1.004  0.369 -1.129  0.211 -1.247  0.030 -1.326  -0.158 -1.387  -0.352 -1.423  -0.540 -1.404  -0.692 -1.280  -0.769 -1.117  -0.735 -0.922  -0.701 -0.727  -0.668 -0.532  -0.634 -0.337  -0.600 -0.142  -0.566 0.053  -0.533 0.248  -0.499 0.443  -0.465 0.638  -0.346 0.776  -0.176 0.878  -0.004 0.975  0.186 1.025  0.380 1.061  0.575 1.093  0.771 1.124  0.967 1.144  1.165 1.144  1.363 1.144
3#apb#apb15#app1564/6  0.815 1.521  0.686 1.600  0.532 1.600  0.396 1.526  0.255 1.465  0.111 1.409  -0.022 1.333  -0.151 1.249  -0.267 1.148  -0.376 1.039  -0.470 0.918  -0.550 0.786  -0.630 0.655  -0.691 0.514  -0.748 0.370  -0.797 0.225  -0.827 0.074  -0.846 -0.077  -0.806 -0.226  -0.757 -0.370  -0.657 -0.487  -0.545 -0.588  -0.403 -0.648  -0.261 -0.709  -0.114 -0.755  0.033 -0.800  0.184 -0.822  0.338 -0.822  0.491 -0.809  0.643 -0.780  0.777 -0.709  0.885 -0.604  0.956 -0.470  0.921 -0.326  0.836 -0.198  0.731 -0.085  0.620 0.017  0.471 0.058  0.318 0.070  0.196 0.008  0.101 -0.113  0.014 -0.241  -0.070 -0.370  -0.138 -0.508  -0.197 -0.650  -0.239 -0.797  -0.268 -0.949  -0.241 -1.100  -0.175 -1.232  -0.066 -1.341
3#apb#apb15#app1564/M  -0.931 -0.980  -1.075 -1.079  -1.153 -1.238  -1.189 -1.110  -1.135 -0.929  -1.106 -0.741  -1.034 -0.568  -0.954 -0.397  -0.902 -0.215  -0.844 -0.035  -0.749 0.129  -0.654 0.293  -0.561 0.458  -0.473 0.626  -0.394 0.798  -0.345 0.786  -0.294 0.604  -0.238 0.422  -0.211 0.235  -0.187 0.047  -0.164 -0.142  -0.158 -0.331  -0.149 -0.519  -0.079 -0.431  -0.015 -0.252  0.054 -0.076  0.127 0.100  0.207 0.272  0.289 0.443  0.379 0.609  0.481 0.769  0.583 0.929  0.693 1.083  0.810 1.232  0.892 1.356  0.892 1.167  0.873 0.978  0.843 0.791  0.802 0.606  0.758 0.421  0.733 0.234  0.717 0.045  0.692 -0.143  0.657 -0.329  0.623 -0.516  0.594 -0.703  0.573 -0.891  0.562 -1.081  0.577 -1.270  0.579 -1.459
3#apb#apb15#app1564/a  0.796 0.262  0.683 0.396  0.544 0.505  0.403 0.613  0.263 0.722  0.119 0.825  -0.051 0.866  -0.224 0.900  -0.399 0.875  -0.531 0.763  -0.657 0.637  -0.778 0.509  -0.899 0.378  -1.019 0.248  -1.107 0.097  -1.177 -0.066  -1.247 -0.229  -1.326 -0.387  -1.394 -0.547  -1.362 -0.721  -1.274 -0.875  -1.127 -0.926  -0.955 -0.890  -0.787 -0.834  -0.624 -0.765  -0.468 -0.681  -0.312 -0.597  -0.163 -0.502  -0.014 -0.407  0.134 -0.309  0.254 -0.179  0.375 -0.049  0.495 0.081  0.607 0.219  0.716 0.358  0.816 0.505  0.914 0.652  0.982 0.816  0.966 0.766  0.918 0.595  0.918 0.418  0.904 0.242  0.872 0.068  0.827 -0.103  0.771 -0.271  0.737 -0.445  0.705 -0.619  0.705 -0.797  0.705 -0.974  0.766 -1.139
3#apb#apb15#app1564/i  0.240 0.032  0.195 -0.060  0.167 -0.159  0.140 -0.259  0.113 -0.358  0.086 -0.458  0.061 -0.557  0.040 -0.658  0.018 -0.759  -0.008 -0.858  -0.045 -0.954  -0.082 -1.050  -0.112 -1.149  -0.130 -1.250  -0.150 -1.351  -0.188 -1.447  -0.181 -1.358  -0.170 -1.256  -0.160 -1.153  -0.150 -1.051  -0.139 -0.948  -0.129 -0.846  -0.118 -0.743  -0.108 -0.641  -0.097 -0.539  -0.087 -0.436  -0.077 -0.334  -0.066 -0.231  -0.056 -0.129  -0.045 -0.026  -0.035 0.076  -0.024 0.179  -0.014 0.281  -0.003 0.384  0.007 0.486  0.017 0.589  0.028 0.691  0.038 0.794  0.049 0.896  0.059 0.999  0.070 1.101  0.080 1.204  0.091 1.306  0.101 1.408  0.111 1.511  0.122 1.613  0.132 1.716  0.143 1.818  0.153 1.921  0.111 2.014
3#apb#apb15#app1564/n  -0.687 1.284  -0.669 1.137  -0.651 0.990  -0.632 0.842  -0.613 0.695  -0.592 0.548  -0.571 0.401  -0.552 0.253  -0.552 0.105  -0.552 -0.044  -0.552 -0.192  -0.552 -0.341  -0.560 -0.489  -0.570 -0.638  -0.581 -0.786  -0.609 -0.931  -0.651 -1.073  -0.687 -1.216  -0.687 -1.294  -0.687 -1.145  -0.675 -0.998  -0.646 -0.852  -0.614 -0.708  -0.544 -0.576  -0.475 -0.445  -0.405 -0.314  -0.336 -0.182  -0.256 -0.057  -0.172 0.065  -0.088 0.188  -0.004 0.310  0.086 0.428  0.191 0.533  0.296 0.638  0.401 0.743  0.508 0.846  0.647 0.898  0.780 0.933  0.858 0.806  0.922 0.672  0.977 0.534  1.013 0.390  1.050 0.246  1.097 0.105  1.144 -0.036  1.191 -0.177  1.236 -0.318  1.279 -0.461  1.328 -0.600  1.417 -0.718
3#apb#apb15#app1564/S  0.996 0.810  0.996 0.908  0.985 1.004  0.966 1.099  0.900 1.151  0.804 1.134  0.709 1.113  0.615 1.087  0.521 1.061  0.427 1.035  0.332 1.009  0.238 0.983  0.154 0.936  0.075 0.879  -0.010 0.833  -0.100 0.795  -0.178 0.739  -0.247 0.670  -0.312 0.598  -0.378 0.525  -0.419 0.438  -0.457 0.348  -0.489 0.260  -0.508 0.171  -0.493 0.076  -0.479 -0.021  -0.416 -0.094  -0.359 -0.174  -0.271 -0.215  -0.191 -0.268  -0.114 -0.326  -0.028 -0.371  0.046 -0.434  0.109 -0.508  0.165 -0.588  0.206 -0.673  0.199 -0.770  0.173 -0.863  0.112 -0.940  0.048 -1.012  -0.041 -1.053  -0.129 -1.094  -0.211 -1.147  -0.292 -1.201  -0.376 -1.250  -0.471 -1.272  -0.566 -1.295  -0.657 -1.328  -0.746 -1.368  -0.836 -1.395
3#apb#apb15#app1564/t  0.691 1.949  0.686 1.818  0.650 1.690  0.615 1.563  0.579 1.435  0.547 1.307  0.515 1.179  0.483 1.051  0.451 0.922  0.419 0.794  0.387 0.666  0.355 0.537  0.315 0.411  0.275 0.285  0.235 0.159  0.195 0.033  0.151 -0.092  0.108 -0.217  0.065 -0.342  0.022 -0.467  -0.018 -0.593  -0.050 -0.721  -0.082 -0.849  -0.114 -0.978  -0.154 -1.104  -0.196 -1.229  -0.227 -1.357  -0.253 -1.487  -0.301 -1.550  -0.314 -1.419  -0.328 -1.287  -0.341 -1.156  -0.354 -1.024  -0.367 -0.892  -0.381 -0.761  -0.394 -0.629  -0.407 -0.498  -0.421 -0.366  -0.434 -0.235  -0.447 -0.103  -0.461 0.029  -0.474 0.160  -0.487 0.292  -0.498 0.421  -0.366 0.415  -0.235 0.402  -0.106 0.428  0.025 0.451  0.155 0.470  0.286 0.488
3#apb#apb15#app1564/.  -0.231 -1.630  -0.290 -1.571  -0.350 -1.512  -0.409 -1.452  -0.468 -1.393  -0.423 -1.326  -0.373 -1.259  -0.323 -1.192  -0.272 -1.125  -0.222 -1.058  -0.172 -0.991  -0.121 -0.924  -0.071 -0.857  -0.021 -0.790  0.030 -0.723  0.080 -0.656  0.130 -0.588  0.180 -0.521  0.231 -0.454  0.224 -0.382  0.187 -0.307  0.150 -0.232  0.112 -0.157  0.075 -0.082  0.037 -0.007  -0.000 0.068  -0.038 0.143  -0.075 0.218  -0.113 0.293  -0.150 0.368  -0.188 0.443  -0.225 0.518  -0.168 0.561  -0.093 0.598  -0.018 0.636  0.057 0.673  0.132 0.711  0.207 0.748  0.249 0.807  0.249 0.890  0.249 0.974  0.249 1.058  0.249 1.142  0.249 1.226  0.249 1.310  0.249 1.393  0.249 1.477  0.249 1.561  0.249 1.645  0.249 1.729
3#apb#apb15#app1564/,  0.600 1.557  0.600 1.487  0.600 1.417  0.600 1.347  0.600 1.277  0.588 1.207  0.577 1.138  0.565 1.069  0.554 1.000  0.542 0.931  0.531 0.861  0.519 0.792  0.507 0.723  0.475 0.661  0.444 0.598  0.413 0.535  0.381 0.472  0.350 0.410  0.319 0.347  0.287 0.284  0.252 0.224  0.215 0.164  0.179 0.104  0.142 0.044  0.105 -0.015  0.068 -0.075  0.032 -0.135  -0.005 -0.195  -0.042 -0.254  -0.079 -0.314  -0.121 -0.370  -0.166 -0.424  -0.210 -0.478  -0.255 -0.532  -0.300 -0.586  -0.345 -0.640  -0.390 -0.693  -0.435 -0.747  -0.480 -0.801  -0.525 -0.855  -0.570 -0.909  -0.614 -0.963  -0.658 -1.018  -0.703 -1.072  -0.747 -1.126  -0.792 -1.181  -0.836 -1.235  -0.880 -1.289  -0.925 -1.343  -0.969 -1.398
3#apb#apb15#app1564/S  0.631 0.958  0.624 1.049  0.643 1.139  0.624 1.232  0.551 1.261  0.457 1.261  0.369 1.236  0.289 1.186  0.209 1.136  0.129 1.087  0.048 1.038  -0.033 0.990  -0.113 0.940  -0.190 0.886  -0.268 0.832  -0.343 0.775  -0.416 0.716  -0.472 0.643  -0.510 0.557  -0.538 0.467  -0.526 0.378  -0.491 0.291  -0.437 0.214  -0.379 0.139  -0.301 0.088  -0.219 0.041  -0.144 -0.015  -0.074 -0.079  -0.004 -0.142  0.062 -0.209  0.129 -0.276  0.191 -0.347  0.250 -0.420  0.292 -0.502  0.317 -0.593  0.328 -0.686  0.328 -0.780  0.304 -0.870  0.269 -0.958  0.212 -1.032  0.152 -1.105  0.088 -1.174  0.018 -1.237  -0.052 -1.301  -0.131 -1.352  -0.210 -1.403  -0.290 -1.454  -0.371 -1.502  -0.454 -1.544  -0.548 -1.557
3#apb#apb15#app1564/u  -0.486 1.349  -0.607 1.408  -0.696 1.275  -0.762 1.133  -0.801 0.978  -0.840 0.823  -0.871 0.667  -0.897 0.509  -0.924 0.352  -0.948 0.194  -0.973 0.036  -0.997 -0.121  -0.982 -0.278  -0.951 -0.435  -0.910 -0.588  -0.856 -0.738  -0.829 -0.870  -0.669 -0.870  -0.510 -0.870  -0.371 -0.809  -0.245 -0.711  -0.119 -0.613  0.012 -0.522  0.142 -0.430  0.267 -0.333  0.358 -0.201  0.449 -0.070  0.540 0.061  0.626 0.195  0.708 0.332  0.790 0.469  0.878 0.602  0.966 0.735  1.044 0.873  1.027 0.865  0.914 0.752  0.862 0.608  0.833 0.451  0.799 0.296  0.728 0.153  0.657 0.010  0.586 -0.133  0.544 -0.287  0.502 -0.441  0.452 -0.592  0.389 -0.739  0.334 -0.888  0.283 -1.040  0.264 -1.194  0.290 -1.351
3#apb#apb15#app1564/i  -0.045 -0.059  -0.069 -0.155  -0.099 -0.249  -0.143 -0.338  -0.188 -0.427  -0.219 -0.521  -0.251 -0.615  -0.270 -0.711  -0.270 -0.811  -0.279 -0.909  -0.308 -1.004  -0.329 -1.099  -0.313 -1.197  -0.311 -1.297  -0.286 -1.388  -0.255 -1.343  -0.235 -1.246  -0.214 -1.149  -0.194 -1.051  -0.173 -0.954  -0.152 -0.857  -0.132 -0.760  -0.111 -0.663  -0.091 -0.566  -0.070 -0.469  -0.050 -0.371  -0.029 -0.274  -0.008 -0.177  0.012 -0.080  0.033 0.017  0.053 0.114  0.074 0.212  0.095 0.309  0.115 0.406  0.136 0.503  0.156 0.600  0.177 0.697  0.198 0.794  0.218 0.892  0.239 0.989  0.259 1.086  0.280 1.183  0.300 1.280  0.321 1.377  0.342 1.475  0.362 1.572  0.383 1.669  0.417 1.762  0.454 1.854  0.468 1.951
3#apb#apb15#app1564/t  0.540 1.924  0.540 1.775  0.540 1.627  0.518 1.480  0.494 1.334  0.469 1.187  0.437 1.043  0.405 0.898  0.373 0.753  0.341 0.608  0.310 0.463  0.279 0.317  0.248 0.172  0.218 0.027  0.181 -0.117  0.136 -0.258  0.091 -0.399  0.045 -0.541  0.000 -0.682  -0.040 -0.825  -0.081 -0.968  -0.122 -1.110  -0.149 -1.256  -0.177 -1.402  -0.213 -1.546  -0.251 -1.688  -0.270 -1.541  -0.290 -1.394  -0.309 -1.246  -0.329 -1.099  -0.349 -0.952  -0.368 -0.805  -0.388 -0.658  -0.408 -0.511  -0.427 -0.364  -0.447 -0.217  -0.466 -0.070  -0.486 0.078  -0.506 0.225  -0.525 0.372  -0.545 0.519  -0.455 0.615  -0.321 0.656  -0.174 0.638  -0.032 0.595  0.113 0.562  0.259 0.535  0.392 0.470  0.529 0.414  0.669 0.363
3#apb#apb15#app1564/e  -0.792 0.326  -0.706 0.206  -0.617 0.088  -0.513 -0.016  -0.388 -0.094  -0.250 -0.140  -0.106 -0.172  0.039 -0.200  0.184 -0.227  0.326 -0.228  0.461 -0.168  0.596 -0.110  0.734 -0.058  0.869 0.001  0.997 0.074  1.098 0.177  1.176 0.301  1.176 0.448  1.134 0.588  1.080 0.725  0.992 0.833  0.863 0.905  0.735 0.977  0.609 1.053  0.482 1.129  0.348 1.112  0.211 1.057  0.080 0.991  -0.043 0.909  -0.162 0.824  -0.233 0.695  -0.303 0.565  -0.369 0.433  -0.425 0.297  -0.482 0.161  -0.547 0.029  -0.617 -0.101  -0.688 -0.230  -0.726 -0.372  -0.759 -0.516  -0.792 -0.660  -0.792 -0.807  -0.792 -0.955  -0.735 -1.089  -0.669 -1.221  -0.567 -1.327  -0.463 -1.431  -0.342 -1.515  -0.218 -1.594  -0.094 -1.673
3#apb#apb15#app1564/A  -0.350 1.295  -0.417 1.045  -0.484 0.794  -0.535 0.538  -0.580 0.281  -0.625 0.023  -0.672 -0.234  -0.718 -0.491  -0.764 -0.748  -0.813 -1.004  -0.832 -1.133  -0.724 -0.895  -0.596 -0.667  -0.476 -0.435  -0.364 -0.200  -0.263 0.041  -0.173 0.286  -0.083 0.531  0.046 0.758  0.176 0.984  0.294 1.217  0.401 1.455  0.559 1.661  0.680 1.622  0.733 1.368  0.758 1.108  0.758 0.847  0.758 0.586  0.758 0.325  0.752 0.064  0.730 -0.197  0.716 -0.457  0.716 -0.718  0.685 -0.977  0.654 -1.236  0.617 -1.479  0.440 -1.342  0.263 -1.149  0.087 -0.957  -0.090 -0.764  -0.266 -0.572  -0.442 -0.379  -0.619 -0.187  -0.796 0.006  -0.626 -0.008  -0.370 -0.060  -0.109 -0.074  0.152 -0.085  0.402 -0.158  0.653 -0.231
3#apb#apb15#app1564/7  -0.633 0.172  -0.629 0.225  -0.581 0.326  -0.523 0.422  -0.467 0.521  -0.412 0.619  -0.359 0.718  -0.306 0.817  -0.253 0.917  -0.201 1.017  -0.148 1.116  -0.113 1.223  -0.110 1.332  -0.093 1.279  -0.055 1.173  -0.012 1.069  0.062 0.984  0.150 0.913  0.243 0.852  0.344 0.802  0.451 0.768  0.556 0.729  0.633 0.655  0.662 0.546  0.665 0.436  0.641 0.326  0.603 0.220  0.562 0.115  0.514 0.014  0.465 -0.088  0.416 -0.189  0.359 -0.287  0.303 -0.384  0.247 -0.482  0.187 -0.577  0.120 -0.668  0.052 -0.758  -0.015 -0.849  -0.081 -0.939  -0.147 -1.031  -0.213 -1.122  -0.279 -1.214  -0.344 -1.305  -0.408 -1.398  -0.472 -1.491  -0.477 -1.600  -0.370 -1.569  -0.272 -1.514  -0.179 -1.451  -0.085 -1.389
