2#tos#t3#t3072063/\"  -0.744 0.676  -0.849 0.571  -0.870 0.431  -0.996 0.409  -0.996 0.261  -0.996 0.113  -0.996 -0.036  -0.996 -0.184  -0.996 -0.332  -0.996 -0.481  -0.996 -0.629  -0.996 -0.777  -0.996 -0.926  -0.996 -1.074  -0.866 -1.085  -0.775 -0.968  -0.684 -0.850  -0.593 -0.733  -0.502 -0.616  -0.411 -0.499  -0.320 -0.382  -0.229 -0.265  -0.138 -0.148  -0.047 -0.031  0.044 0.086  0.135 0.203  0.227 0.320  0.318 0.438  0.409 0.555  0.500 0.672  0.591 0.789  0.682 0.906  0.773 1.023  0.864 1.140  0.827 1.112  0.769 0.987  0.769 0.839  0.769 0.690  0.769 0.542  0.769 0.394  0.769 0.245  0.844 0.171  0.895 0.075  0.895 -0.074  0.895 -0.222  0.895 -0.370  0.895 -0.519  0.895 -0.667  0.895 -0.815  0.895 -0.964
2#tos#t3#t3072063/`  0.107 1.447  0.019 1.403  -0.069 1.359  -0.157 1.315  -0.245 1.271  -0.333 1.227  -0.421 1.183  -0.509 1.139  -0.597 1.095  -0.621 1.012  -0.621 0.914  -0.621 0.815  -0.621 0.717  -0.621 0.619  -0.621 0.521  -0.621 0.422  -0.621 0.324  -0.621 0.226  -0.621 0.127  -0.621 0.029  -0.621 -0.069  -0.621 -0.168  -0.621 -0.266  -0.621 -0.364  -0.531 -0.373  -0.433 -0.373  -0.335 -0.373  -0.236 -0.373  -0.138 -0.373  -0.040 -0.373  0.059 -0.373  0.157 -0.373  0.255 -0.373  0.353 -0.373  0.452 -0.373  0.550 -0.373  0.648 -0.373  0.747 -0.373  0.834 -0.383  0.834 -0.481  0.834 -0.580  0.834 -0.678  0.834 -0.776  0.834 -0.874  0.834 -0.973  0.834 -1.071  0.834 -1.169  0.834 -1.268  0.834 -1.366  0.834 -1.464
2#tos#t3#t3072063/}  -0.126 1.539  -0.224 1.539  -0.297 1.514  -0.236 1.473  -0.192 1.385  -0.105 1.367  -0.011 1.362  0.035 1.310  0.103 1.247  0.103 1.148  0.125 1.059  0.160 0.975  0.160 0.877  0.160 0.779  0.160 0.680  0.118 0.624  0.103 0.541  0.035 0.510  -0.011 0.458  -0.011 0.360  -0.011 0.262  -0.011 0.163  -0.011 0.065  -0.011 -0.033  -0.011 -0.132  -0.011 -0.230  0.027 -0.290  0.125 -0.290  0.224 -0.290  0.322 -0.290  0.243 -0.290  0.144 -0.290  0.103 -0.347  0.029 -0.404  -0.011 -0.463  -0.011 -0.561  -0.011 -0.659  -0.011 -0.758  -0.011 -0.856  -0.011 -0.954  -0.011 -1.053  -0.011 -1.151  -0.011 -1.249  -0.040 -1.319  -0.069 -1.389  -0.069 -1.487  -0.126 -1.528  -0.182 -1.603  -0.256 -1.662  -0.354 -1.662
2#tos#t3#t3072063/~  -1.084 -0.108  -1.147 -0.169  -1.210 -0.230  -1.328 -0.224  -1.328 -0.100  -1.321 0.020  -1.220 0.075  -1.206 0.184  -1.145 0.247  -1.093 0.318  -1.023 0.408  -1.023 0.532  -0.930 0.562  -0.806 0.562  -0.744 0.623  -0.620 0.623  -0.496 0.623  -0.414 0.581  -0.310 0.562  -0.232 0.517  -0.171 0.454  -0.171 0.330  -0.120 0.258  -0.110 0.144  -0.055 0.075  -0.049 -0.042  -0.049 -0.166  -0.049 -0.290  0.006 -0.379  0.073 -0.462  0.124 -0.534  0.247 -0.534  0.371 -0.534  0.478 -0.574  0.593 -0.595  0.717 -0.595  0.803 -0.558  0.864 -0.495  0.966 -0.473  1.047 -0.431  1.108 -0.368  1.154 -0.290  1.277 -0.290  1.290 -0.180  1.342 -0.108  1.351 0.007  1.407 0.075  1.412 0.193  1.412 0.317  1.412 0.440
2#tos#t3#t3072063/1  0.291 1.703  0.291 1.625  0.291 1.546  0.291 1.467  0.291 1.388  0.291 1.309  0.291 1.230  0.236 1.206  0.208 1.155  0.208 1.077  0.208 0.998  0.208 0.919  0.208 0.840  0.208 0.761  0.208 0.682  0.185 0.627  0.126 0.608  0.126 0.529  0.126 0.450  0.122 0.372  0.087 0.301  0.052 0.231  0.043 0.154  0.004 0.091  -0.040 0.031  -0.040 -0.048  -0.040 -0.127  -0.040 -0.206  -0.040 -0.285  -0.040 -0.364  -0.040 -0.442  -0.112 -0.450  -0.123 -0.517  -0.123 -0.596  -0.123 -0.675  -0.123 -0.754  -0.175 -0.781  -0.206 -0.829  -0.206 -0.908  -0.206 -0.986  -0.206 -1.065  -0.206 -1.144  -0.234 -1.195  -0.289 -1.219  -0.289 -1.298  -0.289 -1.377  -0.300 -1.444  -0.371 -1.451  -0.371 -1.530  -0.371 -1.609
2#tos#t3#t3072063/2  -0.381 0.795  -0.508 0.740  -0.546 0.852  -0.505 0.960  -0.436 1.041  -0.370 1.125  -0.221 1.125  -0.071 1.125  -0.031 1.236  0.119 1.236  0.268 1.236  0.410 1.215  0.489 1.090  0.567 1.003  0.609 0.871  0.664 0.776  0.719 0.681  0.719 0.532  0.691 0.410  0.596 0.355  0.446 0.355  0.407 0.245  0.265 0.211  0.175 0.135  0.059 0.102  -0.014 0.025  -0.106 -0.033  -0.175 -0.154  -0.271 -0.232  -0.380 -0.305  -0.436 -0.431  -0.546 -0.470  -0.586 -0.580  -0.626 -0.690  -0.711 -0.755  -0.760 -0.855  -0.766 -0.999  -0.803 -1.075  -0.653 -1.075  -0.503 -1.075  -0.353 -1.075  -0.204 -1.075  -0.054 -1.075  0.096 -1.075  0.246 -1.075  0.395 -1.075  0.545 -1.075  0.695 -1.075  0.845 -1.075  0.994 -1.075
2#tos#t3#t3072063/3  -0.961 0.890  -1.148 0.886  -1.036 0.878  -0.885 0.990  -0.700 1.014  -0.509 1.014  -0.319 1.014  -0.128 1.014  0.037 1.077  0.208 1.027  0.393 1.014  0.522 0.952  0.650 0.890  0.699 0.723  0.781 0.602  0.613 0.579  0.532 0.470  0.407 0.403  0.290 0.330  0.099 0.330  -0.057 0.273  -0.205 0.206  -0.369 0.113  -0.484 0.019  -0.675 0.019  -0.622 -0.043  -0.431 -0.043  -0.277 -0.006  -0.111 0.019  0.079 0.019  0.208 -0.043  0.399 -0.043  0.590 -0.043  0.656 -0.168  0.747 -0.321  0.843 -0.435  0.843 -0.626  0.843 -0.817  0.750 -0.914  0.631 -1.001  0.478 -1.092  0.300 -1.157  0.173 -1.225  -0.013 -1.249  -0.194 -1.288  -0.385 -1.288  -0.576 -1.288  -0.767 -1.288  -0.895 -1.225  -1.024 -1.163
2#tos#t3#t3072063/7  -1.121 0.737  -1.230 0.726  -1.313 0.681  -1.217 0.637  -1.103 0.637  -0.999 0.660  -0.896 0.687  -0.782 0.687  -0.668 0.687  -0.554 0.687  -0.440 0.687  -0.326 0.687  -0.212 0.687  -0.098 0.687  0.015 0.687  0.129 0.687  0.220 0.664  0.308 0.637  0.422 0.637  0.536 0.637  0.650 0.637  0.763 0.637  0.854 0.637  0.764 0.583  0.717 0.480  0.717 0.366  0.679 0.290  0.568 0.287  0.568 0.173  0.495 0.104  0.469 0.007  0.437 -0.102  0.369 -0.164  0.319 -0.257  0.270 -0.350  0.270 -0.464  0.204 -0.538  0.171 -0.631  0.130 -0.735  0.121 -0.847  0.071 -0.911  0.022 -1.005  0.022 -1.119  0.022 -1.233  0.022 -1.347  -0.028 -1.440  -0.028 -1.554  -0.098 -1.598  -0.127 -1.682  -0.078 -1.747
2#tos#t3#t3072063/8  -0.149 0.165  -0.281 0.077  -0.503 0.077  -0.635 0.165  -0.771 0.278  -0.815 0.455  -0.815 0.676  -0.771 0.853  -0.633 0.989  -0.504 1.097  -0.350 1.216  -0.178 1.276  0.043 1.276  0.251 1.262  0.438 1.222  0.606 1.149  0.729 1.037  0.828 0.868  0.873 0.691  0.814 0.492  0.674 0.345  0.481 0.299  0.313 0.218  0.156 0.121  -0.016 0.054  -0.193 -0.006  -0.364 -0.057  -0.518 -0.159  -0.613 -0.318  -0.726 -0.479  -0.815 -0.664  -0.815 -0.885  -0.815 -1.106  -0.654 -1.167  -0.522 -1.256  -0.300 -1.256  -0.168 -1.345  0.054 -1.345  0.231 -1.300  0.429 -1.251  0.522 -1.123  0.677 -1.007  0.771 -0.825  0.784 -0.609  0.784 -0.387  0.740 -0.184  0.646 -0.057  0.558 0.077  0.363 0.142  0.162 0.210
2#tos#t3#t3072063/9  0.709 0.132  0.654 0.056  0.709 0.205  0.765 0.353  0.800 0.523  0.765 0.650  0.765 0.855  0.654 0.990  0.542 1.083  0.430 1.175  0.301 1.251  0.096 1.251  -0.074 1.217  -0.220 1.106  -0.397 1.040  -0.540 0.971  -0.700 0.885  -0.748 0.689  -0.858 0.530  -0.914 0.382  -0.970 0.233  -0.923 0.076  -0.914 -0.120  -0.858 -0.269  -0.780 -0.428  -0.599 -0.484  -0.394 -0.484  -0.242 -0.432  -0.097 -0.372  0.059 -0.275  0.212 -0.173  0.318 -0.055  0.430 0.038  0.430 0.242  0.521 0.356  0.542 0.284  0.495 0.108  0.430 -0.056  0.318 -0.191  0.257 -0.381  0.182 -0.564  0.094 -0.732  0.038 -0.880  0.038 -1.085  -0.074 -1.177  -0.115 -1.365  -0.242 -1.517  -0.242 -1.721  -0.298 -1.870  -0.354 -2.051
2#tos#t3#t3072063/C  1.011 0.466  0.957 0.561  0.957 0.677  0.957 0.794  0.910 0.892  0.848 0.983  0.756 1.008  0.686 1.054  0.577 1.062  0.460 1.062  0.344 1.062  0.227 1.062  0.110 1.062  0.037 1.019  -0.015 0.953  -0.109 0.899  -0.171 0.810  -0.234 0.749  -0.270 0.647  -0.352 0.565  -0.435 0.482  -0.451 0.372  -0.526 0.315  -0.559 0.206  -0.596 0.104  -0.640 0.006  -0.667 -0.100  -0.667 -0.216  -0.763 -0.237  -0.775 -0.342  -0.771 -0.454  -0.721 -0.521  -0.706 -0.631  -0.623 -0.714  -0.613 -0.826  -0.557 -0.887  -0.495 -0.945  -0.390 -0.995  -0.288 -1.010  -0.211 -1.049  -0.094 -1.049  0.023 -1.049  0.139 -1.049  0.256 -1.049  0.361 -1.037  0.436 -0.995  0.552 -0.995  0.615 -0.941  0.686 -0.895  0.794 -0.887
2#tos#t3#t3072063/D  0.164 1.266  0.011 1.165  -0.040 0.991  -0.142 0.830  -0.211 0.619  -0.286 0.428  -0.396 0.272  -0.499 0.101  -0.507 -0.120  -0.601 -0.305  -0.644 -0.511  -0.703 -0.711  -0.805 -0.833  -0.805 -1.057  -0.760 -0.988  -0.694 -0.774  -0.627 -0.560  -0.561 -0.346  -0.494 -0.132  -0.427 0.082  -0.361 0.296  -0.294 0.510  -0.228 0.724  -0.161 0.938  -0.095 1.152  -0.253 1.113  -0.135 1.062  0.090 1.062  0.293 1.011  0.463 0.923  0.636 0.807  0.748 0.681  0.901 0.580  1.011 0.450  1.105 0.302  1.139 0.087  1.184 -0.119  1.156 -0.315  1.082 -0.465  0.980 -0.617  0.817 -0.710  0.646 -0.774  0.485 -0.876  0.312 -0.927  0.100 -0.978  -0.106 -1.008  -0.286 -1.080  -0.510 -1.080  -0.734 -1.080  -0.958 -1.080
2#tos#t3#t3072063/F  -0.842 0.861  -0.890 0.755  -0.660 0.755  -0.430 0.755  -0.200 0.755  0.008 0.808  0.238 0.808  0.467 0.808  0.697 0.808  0.905 0.861  1.135 0.861  1.365 0.861  1.285 0.847  1.056 0.827  0.827 0.807  0.598 0.787  0.369 0.767  0.140 0.746  -0.089 0.726  -0.318 0.706  -0.470 0.584  -0.470 0.354  -0.470 0.125  -0.499 -0.098  -0.540 -0.306  -0.576 -0.499  -0.576 -0.729  -0.576 -0.959  -0.629 -1.167  -0.710 -1.368  -0.736 -1.592  -0.683 -1.601  -0.640 -1.376  -0.593 -1.151  -0.546 -0.926  -0.500 -0.701  -0.453 -0.476  -0.473 -0.306  -0.450 -0.412  -0.220 -0.412  0.010 -0.412  0.240 -0.412  0.470 -0.412  0.649 -0.356  0.672 -0.128  0.695 0.101  0.591 0.012  0.591 -0.218  0.591 -0.447  0.644 -0.624
2#tos#t3#t3072063/G  0.642 1.088  0.642 1.126  0.545 1.298  0.366 1.380  0.135 1.380  -0.049 1.428  -0.184 1.331  -0.347 1.234  -0.476 1.104  -0.652 0.959  -0.731 0.797  -0.815 0.648  -0.925 0.475  -0.960 0.265  -1.009 0.081  -1.057 -0.130  -1.057 -0.362  -1.026 -0.563  -0.913 -0.755  -0.808 -0.916  -0.669 -1.041  -0.475 -1.119  -0.269 -1.145  -0.037 -1.145  0.180 -1.073  0.408 -1.048  0.545 -0.953  0.446 -0.744  0.345 -0.535  0.245 -0.326  0.145 -0.117  0.044 0.092  -0.080 0.263  -0.232 0.183  -0.169 0.103  0.049 0.069  0.281 0.069  0.508 0.108  0.739 0.117  0.959 0.166  1.017 0.131  0.791 0.181  0.563 0.214  0.496 0.049  0.500 -0.182  0.545 -0.404  0.459 -0.600  0.448 -0.827  0.448 -1.059  0.448 -1.291
2#tos#t3#t3072063/H  -0.568 0.974  -0.661 0.883  -0.680 0.704  -0.708 0.527  -0.754 0.363  -0.782 0.188  -0.847 0.024  -0.852 -0.158  -0.894 -0.335  -0.987 -0.480  -0.987 -0.663  -1.080 -0.808  -1.080 -0.992  -1.101 -1.022  -1.019 -0.858  -0.937 -0.694  -0.855 -0.530  -0.773 -0.366  -0.691 -0.202  -0.609 -0.038  -0.527 0.126  -0.694 0.137  -0.585 0.090  -0.401 0.090  -0.218 0.090  -0.034 0.090  0.149 0.090  0.333 0.090  0.516 0.090  0.700 0.090  0.867 0.130  0.916 0.305  0.960 0.483  1.005 0.661  1.049 0.839  1.094 1.017  0.974 1.067  0.967 0.890  0.967 0.707  0.967 0.524  0.913 0.362  0.873 0.195  0.873 0.012  0.840 -0.164  0.827 -0.344  0.785 -0.510  0.734 -0.673  0.734 -0.856  0.641 -0.982  0.641 -1.166
2#tos#t3#t3072063/I  0.519 1.215  0.465 1.035  0.448 0.806  0.318 0.649  0.198 0.486  0.198 0.253  0.145 0.042  0.038 -0.147  0.038 -0.380  -0.015 -0.591  -0.069 -0.770  -0.069 -1.003  -0.175 -1.130  -0.229 -1.309  -0.214 -1.155  -0.197 -0.922  -0.180 -0.690  -0.163 -0.457  -0.146 -0.225  -0.128 0.007  -0.111 0.240  -0.094 0.472  -0.077 0.705  -0.060 0.937  -0.042 1.169  -0.025 1.402  -0.115 1.535  -0.056 1.375  0.177 1.375  0.344 1.268  0.577 1.268  0.774 1.247  0.658 1.045  0.542 0.843  0.425 0.641  0.309 0.439  0.193 0.237  0.077 0.035  -0.039 -0.167  -0.155 -0.370  -0.271 -0.572  -0.387 -0.774  -0.503 -0.976  -0.619 -1.178  -0.810 -1.275  -0.753 -1.348  -0.519 -1.348  -0.299 -1.295  -0.066 -1.295  0.145 -1.348
2#tos#t3#t3072063/K  -0.600 1.666  -0.600 1.508  -0.548 1.269  -0.548 1.007  -0.600 0.759  -0.600 0.497  -0.652 0.248  -0.652 -0.013  -0.652 -0.274  -0.652 -0.535  -0.704 -0.775  -0.704 -1.036  -0.704 -1.297  -0.623 -1.269  -0.489 -1.045  -0.355 -0.821  -0.220 -0.597  -0.086 -0.373  0.048 -0.149  0.183 0.075  0.317 0.299  0.452 0.523  0.586 0.747  0.700 0.977  0.660 0.990  0.478 0.871  0.336 0.730  0.108 0.605  -0.057 0.429  -0.219 0.294  -0.340 0.141  -0.502 -0.005  -0.665 -0.180  -0.795 -0.298  -0.611 -0.113  -0.426 0.071  -0.241 0.256  -0.057 0.441  -0.071 0.409  0.107 0.282  0.271 0.119  0.421 -0.064  0.584 -0.252  0.734 -0.449  0.908 -0.586  1.069 -0.726  1.255 -0.874  1.398 -1.038  1.612 -1.147  1.740 -1.298
2#tos#t3#t3072063/L  -0.313 1.718  -0.313 1.627  -0.363 1.586  -0.363 1.495  -0.363 1.404  -0.363 1.312  -0.363 1.221  -0.363 1.130  -0.363 1.039  -0.363 0.948  -0.363 0.857  -0.363 0.766  -0.363 0.675  -0.363 0.584  -0.363 0.492  -0.363 0.401  -0.363 0.310  -0.382 0.224  -0.413 0.140  -0.413 0.049  -0.413 -0.042  -0.413 -0.133  -0.413 -0.225  -0.413 -0.316  -0.424 -0.402  -0.464 -0.477  -0.464 -0.568  -0.480 -0.643  -0.456 -0.643  -0.370 -0.664  -0.286 -0.693  -0.195 -0.693  -0.104 -0.693  -0.013 -0.693  0.078 -0.693  0.170 -0.693  0.261 -0.693  0.352 -0.693  0.443 -0.693  0.534 -0.693  0.625 -0.693  0.716 -0.693  0.807 -0.693  0.898 -0.693  0.990 -0.693  1.081 -0.693  1.172 -0.693  1.263 -0.693  1.354 -0.693  1.445 -0.693
2#tos#t3#t3072063/N  -0.443 1.058  -0.571 0.974  -0.571 0.761  -0.571 0.548  -0.571 0.335  -0.571 0.122  -0.650 -0.013  -0.657 -0.219  -0.672 -0.428  -0.670 -0.628  -0.700 -0.795  -0.700 -1.008  -0.657 -1.178  -0.653 -1.032  -0.649 -0.819  -0.645 -0.606  -0.641 -0.393  -0.637 -0.180  -0.633 0.033  -0.629 0.245  -0.625 0.458  -0.621 0.671  -0.617 0.884  -0.696 1.015  -0.619 0.972  -0.485 0.842  -0.387 0.659  -0.322 0.478  -0.160 0.364  -0.052 0.191  0.100 0.068  0.234 -0.090  0.340 -0.227  0.445 -0.386  0.570 -0.555  0.713 -0.666  0.799 -0.843  0.901 -0.955  1.042 -1.069  1.099 -0.933  1.099 -0.720  1.099 -0.507  1.099 -0.294  1.099 -0.081  1.099 0.132  1.099 0.345  1.074 0.552  1.056 0.761  1.056 0.974  1.056 1.186
