3#apa#apa09#app0944/a  0.170 0.807  0.010 0.807  -0.147 0.788  -0.304 0.757  -0.460 0.726  -0.616 0.691  -0.753 0.609  -0.889 0.526  -1.026 0.444  -1.162 0.361  -1.233 0.218  -1.271 0.067  -1.271 -0.093  -1.271 -0.252  -1.209 -0.393  -1.121 -0.526  -1.019 -0.628  -0.863 -0.596  -0.706 -0.565  -0.550 -0.534  -0.421 -0.449  -0.309 -0.336  -0.196 -0.223  -0.083 -0.110  0.000 0.024  0.072 0.167  0.143 0.310  0.201 0.458  0.252 0.609  0.281 0.764  0.281 0.913  0.281 0.753  0.281 0.593  0.281 0.434  0.281 0.274  0.281 0.114  0.310 -0.040  0.369 -0.188  0.428 -0.336  0.487 -0.485  0.587 -0.607  0.699 -0.720  0.849 -0.742  1.006 -0.716  1.164 -0.690  1.321 -0.663  1.479 -0.637  1.634 -0.600  1.789 -0.561  1.944 -0.523
3#apa#apa09#app0944/n  -0.722 0.060  -0.722 0.199  -0.722 0.204  -0.722 0.066  -0.782 -0.059  -0.843 -0.182  -0.905 -0.306  -0.932 -0.438  -0.932 -0.576  -0.932 -0.714  -0.984 -0.831  -1.081 -0.929  -1.105 -0.953  -1.007 -0.855  -0.918 -0.751  -0.856 -0.628  -0.794 -0.504  -0.732 -0.380  -0.671 -0.257  -0.609 -0.133  -0.547 -0.009  -0.469 0.103  -0.372 0.201  -0.274 0.299  -0.176 0.396  -0.076 0.491  0.039 0.568  0.154 0.644  0.269 0.721  0.384 0.798  0.499 0.875  0.630 0.900  0.768 0.900  0.906 0.900  1.044 0.900  1.163 0.887  1.120 0.755  1.076 0.624  1.032 0.493  0.989 0.362  0.958 0.229  0.958 0.090  0.958 -0.048  0.949 -0.185  0.916 -0.319  0.882 -0.453  0.849 -0.587  0.815 -0.722  0.782 -0.856  0.748 -0.990
3#apa#apa09#app0944/o  -0.520 0.325  -0.615 0.231  -0.710 0.136  -0.804 0.041  -0.899 -0.054  -0.994 -0.148  -1.016 -0.273  -1.016 -0.407  -1.016 -0.541  -1.012 -0.674  -0.952 -0.794  -0.892 -0.914  -0.809 -0.996  -0.675 -0.996  -0.541 -0.996  -0.411 -0.969  -0.281 -0.937  -0.151 -0.904  -0.021 -0.872  0.109 -0.839  0.231 -0.786  0.351 -0.726  0.471 -0.666  0.582 -0.592  0.694 -0.517  0.805 -0.443  0.917 -0.369  0.967 -0.262  0.967 -0.128  0.967 0.006  0.967 0.140  0.967 0.274  0.967 0.408  0.950 0.539  0.908 0.667  0.866 0.794  0.823 0.921  0.736 0.986  0.602 0.986  0.469 0.986  0.335 0.986  0.201 0.986  0.069 0.968  -0.061 0.936  -0.191 0.903  -0.321 0.871  -0.451 0.838  -0.520 0.758  -0.520 0.624  -0.520 0.490
3#apa#apa09#app0944/p  -0.284 0.253  -0.294 0.122  -0.326 -0.006  -0.358 -0.134  -0.381 -0.264  -0.396 -0.395  -0.410 -0.526  -0.425 -0.658  -0.440 -0.789  -0.454 -0.920  -0.465 -1.051  -0.465 -1.183  -0.465 -1.316  -0.465 -1.448  -0.465 -1.536  -0.465 -1.404  -0.465 -1.272  -0.465 -1.140  -0.465 -1.008  -0.453 -0.878  -0.421 -0.749  -0.389 -0.621  -0.357 -0.493  -0.325 -0.365  -0.293 -0.237  -0.256 -0.110  -0.217 0.016  -0.178 0.142  -0.140 0.268  -0.101 0.394  -0.062 0.521  -0.023 0.647  0.016 0.773  0.055 0.899  0.121 1.005  0.231 1.078  0.340 1.152  0.458 1.212  0.576 1.271  0.694 1.330  0.812 1.289  0.893 1.207  0.893 1.075  0.893 0.943  0.893 0.811  0.893 0.679  0.893 0.547  0.867 0.418  0.835 0.290  0.803 0.162
3#apa#apa09#app0944/q  0.295 1.067  0.224 1.180  0.153 1.293  -0.031 1.293  -0.212 1.275  -0.386 1.217  -0.497 1.113  -0.540 0.936  -0.598 0.762  -0.543 0.596  -0.497 0.423  -0.347 0.389  -0.194 0.465  -0.064 0.595  0.066 0.725  0.149 0.889  0.182 1.065  0.182 1.112  0.182 0.928  0.182 0.744  0.182 0.561  0.182 0.377  0.182 0.193  0.133 0.017  0.075 -0.157  0.051 -0.339  0.030 -0.522  0.010 -0.705  -0.010 -0.887  -0.031 -1.070  -0.059 -1.251  -0.103 -1.430  -0.148 -1.608  -0.157 -1.791  -0.260 -1.872  -0.270 -1.699  -0.229 -1.522  -0.171 -1.347  -0.134 -1.167  -0.104 -0.986  -0.074 -0.805  -0.042 -0.624  0.060 -0.471  0.162 -0.318  0.264 -0.165  0.366 -0.012  0.456 0.147  0.543 0.309  0.645 0.462  0.747 0.615
3#apa#apa09#app0944/r  0.311 0.643  0.178 0.643  0.102 0.585  0.102 0.452  0.102 0.318  0.102 0.185  0.102 0.051  0.078 -0.080  0.046 -0.209  0.013 -0.339  -0.019 -0.468  -0.051 -0.598  -0.084 -0.728  -0.123 -0.855  -0.182 -0.974  -0.242 -1.094  -0.302 -1.213  -0.318 -1.343  -0.339 -1.455  -0.473 -1.455  -0.528 -1.376  -0.528 -1.243  -0.528 -1.109  -0.528 -0.975  -0.528 -0.842  -0.528 -0.708  -0.528 -0.575  -0.528 -0.441  -0.528 -0.308  -0.528 -0.174  -0.528 -0.041  -0.528 0.093  -0.525 0.225  -0.418 0.305  -0.311 0.385  -0.204 0.466  -0.097 0.546  0.009 0.626  0.116 0.706  0.223 0.786  0.332 0.863  0.452 0.922  0.571 0.982  0.691 1.042  0.804 1.111  0.916 1.185  1.027 1.259  1.138 1.333  1.249 1.408  1.360 1.482
3#apa#apa09#app0944/s  -1.597 -0.476  -1.450 -0.476  -1.342 -0.381  -1.227 -0.291  -1.096 -0.225  -0.964 -0.160  -0.832 -0.094  -0.701 -0.028  -0.605 0.074  -0.539 0.206  -0.466 0.331  -0.343 0.413  -0.221 0.495  -0.098 0.576  0.023 0.660  0.141 0.748  0.259 0.836  0.377 0.925  0.495 1.013  0.612 1.101  0.755 1.117  0.902 1.117  0.995 1.029  1.061 0.897  1.105 0.762  1.080 0.617  1.056 0.472  1.032 0.326  1.008 0.181  0.984 0.036  0.959 -0.109  0.882 -0.227  0.777 -0.331  0.673 -0.436  0.569 -0.540  0.465 -0.644  0.361 -0.748  0.233 -0.795  0.086 -0.795  -0.062 -0.795  -0.209 -0.795  -0.356 -0.795  -0.503 -0.795  -0.651 -0.795  -0.798 -0.795  -0.801 -0.650  -0.691 -0.562  -0.568 -0.480  -0.446 -0.399  -0.323 -0.317
3#apa#apa09#app0944/t  0.394 1.664  0.394 1.802  0.377 1.852  0.326 1.724  0.275 1.597  0.224 1.469  0.173 1.341  0.137 1.209  0.103 1.076  0.070 0.942  0.026 0.813  -0.036 0.690  -0.097 0.567  -0.159 0.444  -0.220 0.321  -0.282 0.198  -0.313 0.065  -0.335 -0.070  -0.358 -0.206  -0.381 -0.342  -0.403 -0.477  -0.426 -0.613  -0.448 -0.748  -0.471 -0.884  -0.494 -1.020  -0.516 -1.155  -0.525 -1.292  -0.416 -1.321  -0.283 -1.289  -0.149 -1.256  -0.016 -1.223  0.120 -1.206  0.257 -1.206  0.343 -1.110  0.419 -0.996  0.496 -0.881  0.448 -0.765  0.376 -0.649  0.303 -0.532  0.230 -0.415  0.157 -0.299  0.084 -0.182  0.011 -0.066  -0.062 0.051  -0.065 0.187  -0.065 0.325  -0.006 0.416  0.127 0.450  0.261 0.483  0.394 0.516
3#apa#apa09#app0944/u  -0.645 0.957  -0.645 1.066  -0.686 1.077  -0.763 1.000  -0.806 0.908  -0.806 0.799  -0.806 0.690  -0.806 0.581  -0.806 0.472  -0.806 0.362  -0.806 0.253  -0.806 0.144  -0.806 0.035  -0.806 -0.074  -0.806 -0.184  -0.806 -0.293  -0.806 -0.402  -0.796 -0.509  -0.747 -0.607  -0.699 -0.704  -0.650 -0.802  -0.546 -0.811  -0.437 -0.811  -0.328 -0.811  -0.219 -0.811  -0.110 -0.801  -0.003 -0.779  0.104 -0.758  0.211 -0.737  0.318 -0.715  0.425 -0.694  0.532 -0.672  0.639 -0.651  0.717 -0.575  0.794 -0.497  0.826 -0.394  0.852 -0.288  0.879 -0.182  0.905 -0.076  0.932 0.030  0.958 0.136  0.962 0.244  0.962 0.353  0.962 0.463  0.962 0.572  0.962 0.681  0.962 0.790  0.962 0.900  0.962 1.009  0.962 1.118
3#apa#apa09#app0944/v  -0.553 0.842  -0.553 0.963  -0.553 0.998  -0.553 0.876  -0.553 0.755  -0.553 0.633  -0.553 0.512  -0.553 0.391  -0.553 0.269  -0.553 0.148  -0.553 0.027  -0.553 -0.095  -0.553 -0.216  -0.553 -0.337  -0.553 -0.459  -0.553 -0.580  -0.553 -0.702  -0.553 -0.823  -0.553 -0.944  -0.553 -1.066  -0.528 -1.177  -0.443 -1.263  -0.357 -1.348  -0.354 -1.234  -0.332 -1.119  -0.265 -1.018  -0.197 -0.917  -0.130 -0.816  -0.063 -0.715  0.005 -0.614  0.074 -0.515  0.147 -0.418  0.220 -0.321  0.293 -0.223  0.365 -0.126  0.438 -0.029  0.511 0.068  0.584 0.165  0.653 0.264  0.707 0.373  0.762 0.481  0.816 0.590  0.862 0.702  0.900 0.817  0.939 0.932  0.977 1.047  1.015 1.162  1.069 1.268  1.155 1.354  1.241 1.440
3#apa#apa09#app0944/w  -0.937 0.466  -1.045 0.575  -1.097 0.707  -1.097 0.713  -1.097 0.560  -1.097 0.407  -1.097 0.253  -1.076 0.105  -1.008 -0.033  -0.939 -0.170  -0.937 -0.323  -0.937 -0.476  -0.937 -0.629  -0.809 -0.655  -0.691 -0.570  -0.595 -0.452  -0.527 -0.315  -0.458 -0.178  -0.409 -0.032  -0.360 0.113  -0.312 0.259  -0.193 0.306  -0.093 0.220  -0.024 0.083  0.024 -0.059  0.024 -0.213  0.024 -0.366  0.024 -0.519  0.037 -0.667  0.145 -0.776  0.282 -0.815  0.345 -0.906  0.345 -0.891  0.399 -0.760  0.508 -0.652  0.616 -0.543  0.665 -0.410  0.690 -0.261  0.738 -0.115  0.787 0.030  0.847 0.168  0.956 0.277  1.021 0.412  1.069 0.557  1.118 0.703  1.204 0.816  1.341 0.884  1.466 0.960  1.473 1.107  1.626 1.107
3#apa#apa09#app0944/x  -1.369 0.468  -1.513 0.613  -1.343 0.706  -1.153 0.768  -0.948 0.768  -0.762 0.690  -0.575 0.618  -0.414 0.537  -0.300 0.367  -0.187 0.197  -0.179 0.001  -0.292 -0.169  -0.406 -0.339  -0.545 -0.484  -0.715 -0.597  -0.885 -0.711  -1.083 -0.733  -1.219 -0.664  -1.095 -0.583  -0.895 -0.569  -0.719 -0.463  -0.544 -0.358  -0.369 -0.253  -0.193 -0.148  -0.018 -0.042  0.157 0.063  0.333 0.168  0.508 0.273  0.683 0.378  0.859 0.484  1.034 0.589  1.210 0.694  1.291 0.811  1.131 0.918  0.957 0.843  0.813 0.698  0.668 0.554  0.536 0.398  0.423 0.228  0.309 0.058  0.213 -0.122  0.143 -0.305  0.235 -0.488  0.352 -0.652  0.496 -0.797  0.665 -0.883  0.870 -0.883  1.074 -0.883  1.279 -0.883  1.483 -0.883
3#apa#apa09#app0944/y  -0.294 1.062  -0.379 0.977  -0.463 0.893  -0.481 0.782  -0.463 0.670  -0.379 0.586  -0.294 0.501  -0.210 0.585  -0.106 0.642  -0.003 0.699  0.082 0.784  0.166 0.868  0.250 0.952  0.266 1.065  0.266 1.184  0.305 1.287  0.360 1.300  0.360 1.181  0.360 1.062  0.360 0.943  0.360 0.824  0.360 0.705  0.360 0.585  0.360 0.466  0.360 0.347  0.360 0.228  0.360 0.109  0.360 -0.010  0.360 -0.129  0.360 -0.249  0.360 -0.368  0.343 -0.484  0.305 -0.597  0.267 -0.710  0.223 -0.821  0.179 -0.931  0.135 -1.042  0.090 -1.153  0.008 -1.234  -0.088 -1.305  -0.183 -1.377  -0.278 -1.448  -0.393 -1.460  -0.503 -1.438  -0.588 -1.354  -0.668 -1.268  -0.668 -1.149  -0.650 -1.033  -0.612 -0.920  -0.574 -0.806
3#apa#apa09#app0944/z  -0.417 1.316  -0.515 1.353  -0.445 1.437  -0.318 1.480  -0.189 1.512  -0.055 1.512  0.078 1.508  0.172 1.412  0.232 1.292  0.253 1.169  0.210 1.042  0.166 0.915  0.106 0.795  0.023 0.695  -0.089 0.620  -0.201 0.546  -0.319 0.483  -0.417 0.409  -0.356 0.321  -0.226 0.289  -0.096 0.256  0.019 0.195  0.114 0.100  0.209 0.005  0.304 -0.090  0.381 -0.196  0.424 -0.323  0.465 -0.451  0.465 -0.585  0.465 -0.719  0.465 -0.854  0.443 -0.983  0.382 -1.103  0.322 -1.223  0.258 -1.340  0.160 -1.427  0.025 -1.427  -0.109 -1.427  -0.231 -1.407  -0.291 -1.287  -0.319 -1.159  -0.317 -1.024  -0.295 -0.892  -0.273 -0.759  -0.250 -0.627  -0.228 -0.494  -0.169 -0.378  -0.088 -0.270  -0.007 -0.163  0.073 -0.055
