2#app#app32#app3290/t  0.613 1.415  0.613 1.564  0.613 1.713  0.569 1.677  0.502 1.544  0.438 1.410  0.438 1.261  0.438 1.112  0.392 0.974  0.325 0.841  0.264 0.706  0.264 0.557  0.204 0.422  0.137 0.289  0.089 0.152  0.089 0.003  0.089 -0.146  0.089 -0.295  0.089 -0.444  0.089 -0.593  0.089 -0.742  0.089 -0.891  0.089 -1.040  0.089 -1.189  0.089 -1.338  0.089 -1.487  0.034 -1.488  -0.063 -1.375  -0.160 -1.262  -0.257 -1.149  -0.353 -1.036  -0.450 -0.923  -0.547 -0.809  -0.644 -0.696  -0.741 -0.583  -0.838 -0.470  -0.935 -0.357  -0.878 -0.250  -0.770 -0.149  -0.636 -0.082  -0.503 -0.015  -0.383 0.070  -0.278 0.176  -0.136 0.194  -0.016 0.263  0.089 0.368  0.195 0.473  0.315 0.543  0.464 0.543  0.613 0.543
2#app#app32#app3290/p  -0.408 0.930  -0.408 0.742  -0.408 0.555  -0.408 0.368  -0.408 0.181  -0.408 -0.007  -0.408 -0.194  -0.408 -0.381  -0.408 -0.568  -0.408 -0.755  -0.408 -0.943  -0.408 -1.130  -0.342 -1.301  -0.321 -1.484  -0.321 -1.671  -0.315 -1.701  -0.300 -1.515  -0.284 -1.328  -0.269 -1.142  -0.254 -0.955  -0.239 -0.768  -0.224 -0.582  -0.209 -0.395  -0.194 -0.209  -0.179 -0.022  -0.163 0.165  -0.148 0.351  -0.133 0.538  -0.118 0.725  -0.103 0.911  -0.088 1.098  -0.073 1.284  -0.042 1.454  0.145 1.454  0.333 1.454  0.478 1.354  0.611 1.221  0.743 1.089  0.815 0.931  0.898 0.764  0.902 0.578  0.902 0.390  0.890 0.206  0.802 0.042  0.669 -0.090  0.530 -0.207  0.379 -0.293  0.228 -0.381  0.041 -0.381  -0.146 -0.381
2#app#app32#app3290/h  -0.555 1.939  -0.555 1.799  -0.555 1.660  -0.555 1.520  -0.555 1.381  -0.555 1.241  -0.555 1.102  -0.516 0.972  -0.456 0.846  -0.456 0.707  -0.456 0.567  -0.456 0.428  -0.456 0.289  -0.456 0.149  -0.456 0.010  -0.456 -0.130  -0.456 -0.269  -0.422 -0.401  -0.359 -0.525  -0.357 -0.664  -0.357 -0.804  -0.357 -0.943  -0.357 -1.083  -0.357 -1.021  -0.357 -0.882  -0.357 -0.743  -0.357 -0.603  -0.311 -0.483  -0.259 -0.365  -0.255 -0.226  -0.193 -0.102  -0.114 0.011  -0.007 0.099  0.109 0.177  0.225 0.254  0.363 0.260  0.502 0.260  0.609 0.182  0.638 0.055  0.737 -0.044  0.835 -0.143  0.926 -0.245  0.926 -0.384  0.992 -0.496  1.025 -0.622  1.025 -0.761  1.100 -0.826  1.123 -0.942  1.123 -1.081  1.025 -1.122
2#app#app32#app3290/w  -1.621 0.394  -1.473 0.371  -1.357 0.268  -1.199 0.268  -1.041 0.268  -0.884 0.268  -0.768 0.167  -0.868 0.143  -0.994 0.174  -0.994 0.204  -0.994 0.046  -0.994 -0.111  -0.969 -0.259  -0.869 -0.375  -0.869 -0.533  -0.787 -0.609  -0.744 -0.724  -0.597 -0.735  -0.439 -0.735  -0.281 -0.735  -0.158 -0.650  -0.117 -0.509  -0.023 -0.390  0.009 -0.245  0.009 -0.087  0.009 0.071  0.069 0.203  0.134 0.334  0.134 0.492  0.134 0.388  0.134 0.230  0.184 0.093  0.296 -0.019  0.417 -0.108  0.510 -0.173  0.579 -0.302  0.713 -0.359  0.871 -0.359  1.029 -0.359  1.187 -0.359  1.262 -0.276  1.262 -0.118  1.262 0.040  1.262 0.198  1.262 0.356  1.262 0.514  1.262 0.672  1.262 0.830  1.262 0.988  1.262 1.146
2#app#app32#app3290/o  -0.120 1.123  -0.120 1.272  -0.120 1.156  -0.202 1.041  -0.307 0.936  -0.412 0.831  -0.449 0.698  -0.506 0.572  -0.611 0.467  -0.614 0.320  -0.614 0.171  -0.614 0.023  -0.657 -0.116  -0.723 -0.249  -0.779 -0.385  -0.779 -0.533  -0.779 -0.682  -0.779 -0.831  -0.691 -0.943  -0.614 -1.060  -0.590 -1.184  -0.441 -1.184  -0.292 -1.184  -0.144 -1.184  0.005 -1.184  0.154 -1.184  0.275 -1.119  0.380 -1.014  0.486 -0.908  0.591 -0.803  0.696 -0.698  0.704 -0.553  0.825 -0.525  0.869 -0.421  0.869 -0.272  0.869 -0.123  0.869 0.025  0.869 0.174  0.859 0.320  0.792 0.453  0.726 0.586  0.633 0.700  0.528 0.805  0.423 0.911  0.294 0.959  0.145 0.959  -0.003 0.959  -0.152 0.959  -0.301 0.959  -0.449 0.959
2#app#app32#app3290/r  -0.144 0.702  -0.144 0.573  -0.238 0.540  -0.306 0.479  -0.306 0.350  -0.306 0.222  -0.306 0.094  -0.306 -0.034  -0.306 -0.163  -0.320 -0.285  -0.411 -0.376  -0.468 -0.480  -0.468 -0.609  -0.468 -0.737  -0.468 -0.865  -0.468 -0.994  -0.468 -1.122  -0.468 -1.250  -0.468 -1.378  -0.540 -1.332  -0.630 -1.241  -0.630 -1.113  -0.630 -0.985  -0.586 -0.875  -0.495 -0.784  -0.468 -0.667  -0.428 -0.555  -0.338 -0.464  -0.306 -0.349  -0.284 -0.226  -0.226 -0.111  -0.169 0.003  -0.104 0.114  -0.033 0.220  0.039 0.327  0.110 0.434  0.181 0.540  0.296 0.597  0.411 0.655  0.521 0.718  0.612 0.809  0.712 0.887  0.827 0.944  0.942 1.001  1.064 1.026  1.181 1.054  1.271 1.145  1.382 1.188  1.510 1.188  1.639 1.188
2#app#app32#app3290/k  -0.068 2.191  -0.068 1.975  -0.068 1.760  -0.068 1.544  -0.164 1.351  -0.260 1.158  -0.326 0.958  -0.326 0.742  -0.326 0.526  -0.415 0.332  -0.456 0.126  -0.456 -0.090  -0.456 -0.306  -0.456 -0.522  -0.456 -0.737  -0.456 -0.953  -0.543 -1.133  -0.585 -1.331  -0.523 -1.339  -0.403 -1.160  -0.283 -0.980  -0.164 -0.801  -0.044 -0.621  0.076 -0.442  0.195 -0.262  0.315 -0.083  0.435 0.096  0.554 0.276  0.674 0.455  0.794 0.635  0.913 0.814  0.968 0.780  0.818 0.638  0.634 0.562  0.443 0.501  0.279 0.379  0.063 0.379  -0.023 0.249  -0.197 0.207  -0.325 0.120  -0.326 -0.095  -0.326 -0.311  -0.236 -0.489  -0.165 -0.657  0.016 -0.740  0.062 -0.937  0.169 -1.045  0.331 -1.175  0.519 -1.243  0.709 -1.304
2#app#app32#app3290/e  -0.964 0.206  -0.815 0.206  -0.667 0.206  -0.518 0.206  -0.370 0.206  -0.221 0.206  -0.073 0.206  0.076 0.206  0.225 0.206  0.373 0.206  0.522 0.206  0.656 0.172  0.761 0.067  0.902 0.047  1.050 0.047  1.199 0.047  1.257 0.137  1.257 0.286  1.186 0.364  1.098 0.424  1.063 0.558  0.958 0.663  0.853 0.768  0.734 0.840  0.585 0.840  0.437 0.840  0.288 0.840  0.140 0.840  -0.009 0.840  -0.115 0.737  -0.220 0.632  -0.325 0.527  -0.329 0.380  -0.423 0.271  -0.528 0.166  -0.633 0.061  -0.647 -0.082  -0.684 -0.225  -0.731 -0.366  -0.778 -0.507  -0.805 -0.651  -0.805 -0.799  -0.805 -0.948  -0.805 -1.096  -0.789 -1.238  -0.684 -1.343  -0.579 -1.448  -0.488 -1.559  -0.478 -1.698  -0.329 -1.698
2#app#app32#app3290/d  0.312 1.806  0.414 1.703  0.429 1.565  0.429 1.420  0.429 1.276  0.429 1.131  0.429 0.986  0.429 0.841  0.429 0.697  0.429 0.552  0.429 0.407  0.439 0.267  0.541 0.164  0.547 0.022  0.547 -0.123  0.599 -0.246  0.665 -0.363  0.720 -0.485  0.782 -0.604  0.782 -0.581  0.782 -0.436  0.685 -0.332  0.665 -0.196  0.563 -0.093  0.544 0.044  0.442 0.146  0.339 0.249  0.206 0.276  0.061 0.276  -0.083 0.276  -0.228 0.276  -0.373 0.276  -0.481 0.189  -0.613 0.159  -0.721 0.068  -0.823 -0.035  -0.925 -0.137  -1.011 -0.251  -1.076 -0.381  -1.100 -0.520  -1.100 -0.664  -1.082 -0.801  -0.983 -0.905  -0.951 -1.018  -0.806 -1.018  -0.687 -1.079  -0.565 -1.136  -0.430 -1.176  -0.301 -1.241  -0.159 -1.253
2#app#app32#app3290/.  1.664 0.000  1.525 0.000  1.387 0.000  1.248 0.000  1.109 0.000  0.971 0.000  0.832 0.000  0.693 0.000  0.555 0.000  0.416 0.000  0.277 0.000  0.139 0.000  -0.000 0.000  -0.139 0.000  -0.277 0.000  -0.416 0.000  -0.555 0.000  -0.693 0.000  -0.832 0.000  -0.971 0.000  -1.109 0.000  -1.248 0.000  -1.387 0.000  -1.525 0.000  -1.664 0.000  -1.664 0.000  -1.525 0.000  -1.387 0.000  -1.248 0.000  -1.109 0.000  -0.971 0.000  -0.832 0.000  -0.693 0.000  -0.555 0.000  -0.416 0.000  -0.277 0.000  -0.139 0.000  -0.000 0.000  0.139 0.000  0.277 0.000  0.416 0.000  0.555 0.000  0.693 0.000  0.832 0.000  0.971 0.000  1.109 0.000  1.248 0.000  1.387 0.000  1.525 0.000  1.664 0.000
2#app#app32#app3290/E  0.035 1.179  -0.022 1.006  -0.082 0.835  -0.134 0.660  -0.273 0.521  -0.377 0.356  -0.484 0.194  -0.596 0.035  -0.666 -0.144  -0.719 -0.328  -0.783 -0.510  -0.783 -0.707  -0.687 -0.807  -0.624 -0.965  -0.485 -1.104  -0.311 -1.157  -0.114 -1.157  0.082 -1.157  0.279 -1.157  0.475 -1.157  0.656 -1.120  0.820 -1.040  0.703 -0.972  0.524 -0.891  0.345 -0.810  0.166 -0.728  -0.013 -0.647  -0.192 -0.566  -0.371 -0.484  -0.304 -0.456  -0.134 -0.392  0.041 -0.339  0.237 -0.339  0.420 -0.305  0.456 -0.157  0.343 0.004  0.231 0.165  0.118 0.326  0.005 0.487  -0.107 0.648  -0.220 0.809  -0.303 0.972  -0.215 1.148  -0.085 1.294  0.089 1.350  0.259 1.413  0.435 1.463  0.604 1.530  0.793 1.559  0.969 1.647
2#app#app32#app3290/v  -0.570 1.548  -0.570 1.423  -0.570 1.298  -0.570 1.173  -0.570 1.048  -0.570 0.923  -0.570 0.799  -0.570 0.674  -0.570 0.549  -0.570 0.424  -0.570 0.299  -0.570 0.174  -0.570 0.049  -0.570 -0.075  -0.570 -0.200  -0.570 -0.325  -0.570 -0.450  -0.570 -0.575  -0.509 -0.639  -0.402 -0.656  -0.402 -0.781  -0.402 -0.906  -0.402 -1.031  -0.393 -1.152  -0.305 -1.240  -0.217 -1.295  -0.128 -1.206  -0.065 -1.108  -0.065 -0.983  0.018 -0.892  0.103 -0.803  0.103 -0.678  0.164 -0.578  0.252 -0.490  0.340 -0.402  0.428 -0.313  0.517 -0.225  0.605 -0.137  0.662 -0.026  0.718 0.086  0.773 0.198  0.776 0.322  0.810 0.439  0.866 0.550  0.922 0.662  0.944 0.782  0.975 0.875  1.100 0.875  1.192 0.955  1.280 1.043
2#app#app32#app3290/e  -0.665 0.027  -0.564 -0.073  -0.447 -0.135  -0.309 -0.120  -0.181 -0.056  -0.054 0.007  0.084 0.027  0.226 0.027  0.368 0.027  0.510 0.027  0.653 0.027  0.795 0.027  0.897 0.125  1.012 0.190  1.146 0.211  1.247 0.311  1.288 0.437  1.288 0.579  1.258 0.709  1.157 0.809  1.028 0.841  0.885 0.841  0.743 0.841  0.601 0.841  0.458 0.841  0.316 0.841  0.174 0.841  0.066 0.758  -0.035 0.657  -0.135 0.557  -0.236 0.456  -0.337 0.355  -0.437 0.255  -0.538 0.154  -0.638 0.053  -0.770 0.027  -0.827 -0.058  -0.827 -0.200  -0.847 -0.338  -0.911 -0.465  -0.974 -0.592  -0.990 -0.731  -0.990 -0.873  -0.943 -0.996  -0.842 -1.097  -0.742 -1.197  -0.641 -1.298  -0.540 -1.399  -0.440 -1.499  -0.339 -1.600
2#app#app32#app3290/n  -0.743 0.546  -0.743 0.425  -0.743 0.304  -0.743 0.182  -0.743 0.061  -0.743 -0.060  -0.743 -0.181  -0.800 -0.246  -0.875 -0.292  -0.875 -0.413  -0.892 -0.527  -0.978 -0.613  -1.006 -0.722  -1.006 -0.843  -1.006 -0.846  -0.972 -0.739  -0.886 -0.653  -0.875 -0.537  -0.875 -0.415  -0.816 -0.319  -0.730 -0.233  -0.644 -0.147  -0.545 -0.081  -0.436 -0.026  -0.332 0.033  -0.246 0.119  -0.160 0.205  -0.074 0.291  0.011 0.376  0.097 0.462  0.183 0.546  0.305 0.546  0.414 0.597  0.522 0.651  0.637 0.678  0.759 0.678  0.868 0.650  0.954 0.565  1.068 0.546  1.164 0.487  1.236 0.395  1.236 0.274  1.236 0.153  1.236 0.031  1.313 -0.058  1.368 -0.156  1.368 -0.278  1.368 -0.399  1.379 -0.509  1.500 -0.509
2#app#app32#app3290/a  0.445 0.083  0.598 0.083  0.599 0.236  0.751 0.237  0.753 0.388  0.753 0.542  0.753 0.695  0.753 0.849  0.648 0.959  0.515 1.008  0.361 1.008  0.208 1.008  0.078 0.950  -0.036 0.854  -0.184 0.842  -0.293 0.733  -0.421 0.652  -0.558 0.583  -0.683 0.497  -0.793 0.391  -0.945 0.389  -1.054 0.280  -1.097 0.145  -1.162 0.018  -1.278 -0.072  -1.406 -0.098  -1.380 -0.226  -1.227 -0.226  -1.073 -0.226  -0.920 -0.226  -0.766 -0.226  -0.613 -0.226  -0.459 -0.226  -0.306 -0.226  -0.152 -0.226  0.001 -0.226  0.136 -0.244  0.154 -0.380  0.298 -0.395  0.367 -0.533  0.436 -0.670  0.578 -0.688  0.599 -0.821  0.692 -0.936  0.820 -0.997  0.954 -1.044  1.064 -1.151  1.216 -1.150  1.215 -0.997  1.062 -0.997
