3#app#app07#app0738/0  0.134 1.266  -0.002 1.246  -0.104 1.144  -0.205 1.042  -0.273 0.916  -0.342 0.790  -0.444 0.689  -0.489 0.552  -0.535 0.415  -0.589 0.282  -0.654 0.154  -0.743 0.043  -0.790 -0.081  -0.790 -0.225  -0.790 -0.369  -0.790 -0.513  -0.790 -0.657  -0.790 -0.801  -0.774 -0.929  -0.675 -0.974  -0.601 -1.044  -0.457 -1.044  -0.351 -1.137  -0.217 -1.160  -0.073 -1.160  0.056 -1.122  0.167 -1.044  0.293 -1.001  0.407 -0.929  0.551 -0.929  0.596 -0.829  0.686 -0.723  0.788 -0.621  0.827 -0.493  0.827 -0.349  0.827 -0.205  0.827 -0.061  0.827 0.083  0.775 0.215  0.711 0.344  0.690 0.479  0.591 0.583  0.527 0.712  0.452 0.833  0.365 0.941  0.330 1.070  0.219 1.151  0.075 1.151  -0.069 1.151  -0.213 1.151
3#app#app07#app0738/b  0.619 2.173  0.580 2.019  0.504 1.881  0.503 1.711  0.427 1.559  0.351 1.407  0.275 1.255  0.274 1.085  0.226 0.927  0.150 0.775  0.074 0.623  0.044 0.460  0.044 0.290  0.044 0.120  -0.065 -0.005  -0.071 -0.172  -0.071 -0.342  -0.071 -0.512  -0.071 -0.682  -0.199 -0.623  -0.343 -0.533  -0.487 -0.443  -0.631 -0.353  -0.775 -0.263  -0.919 -0.173  -0.907 -0.127  -0.744 -0.110  -0.615 -0.012  -0.445 -0.012  -0.275 -0.012  -0.105 -0.012  0.025 0.084  0.187 0.103  0.357 0.103  0.520 0.086  0.641 -0.034  0.734 -0.166  0.734 -0.336  0.710 -0.496  0.590 -0.616  0.470 -0.736  0.339 -0.842  0.187 -0.918  0.061 -1.030  -0.102 -1.047  -0.247 -1.108  -0.394 -1.162  -0.548 -1.228  -0.707 -1.278  -0.877 -1.278
3#app#app07#app0738/e  -1.595 -0.653  -1.430 -0.653  -1.265 -0.653  -1.100 -0.653  -0.935 -0.653  -0.770 -0.653  -0.612 -0.637  -0.496 -0.520  -0.356 -0.460  -0.206 -0.424  -0.089 -0.307  0.027 -0.191  0.144 -0.074  0.308 -0.073  0.433 0.022  0.550 0.139  0.667 0.256  0.783 0.372  0.900 0.489  0.918 0.646  0.918 0.811  0.918 0.976  0.879 1.125  0.763 1.241  0.613 1.280  0.449 1.280  0.284 1.280  0.126 1.261  0.010 1.145  -0.107 1.028  -0.223 0.912  -0.242 0.755  -0.320 0.622  -0.435 0.505  -0.435 0.340  -0.435 0.175  -0.435 0.010  -0.435 -0.154  -0.435 -0.319  -0.411 -0.460  -0.246 -0.460  -0.128 -0.573  -0.012 -0.690  0.105 -0.807  0.222 -0.923  0.338 -1.039  0.503 -1.039  0.628 -1.136  0.753 -1.233  0.918 -1.233
3#app#app07#app0738/f  0.959 1.786  0.933 1.650  0.829 1.546  0.730 1.438  0.664 1.306  0.580 1.187  0.476 1.083  0.372 0.979  0.280 0.867  0.214 0.736  0.124 0.621  0.033 0.507  -0.049 0.385  -0.130 0.262  -0.198 0.132  -0.271 0.006  -0.360 -0.105  -0.360 -0.252  -0.360 -0.399  -0.360 -0.546  -0.360 -0.693  -0.360 -0.840  -0.360 -0.987  -0.360 -1.134  -0.360 -1.281  -0.264 -1.389  -0.232 -1.512  -0.140 -1.567  -0.151 -1.530  -0.167 -1.384  -0.183 -1.238  -0.199 -1.092  -0.216 -0.946  -0.232 -0.799  -0.248 -0.653  -0.264 -0.507  -0.281 -0.361  -0.297 -0.215  -0.313 -0.068  -0.329 0.078  -0.345 0.224  -0.351 0.366  -0.245 0.467  -0.098 0.467  0.026 0.523  0.151 0.577  0.298 0.577  0.445 0.577  0.592 0.577  0.739 0.577
3#app#app07#app0738/o  -0.455 0.480  -0.594 0.480  -0.733 0.480  -0.783 0.392  -0.828 0.271  -0.927 0.173  -0.948 0.042  -1.007 -0.072  -1.106 -0.170  -1.112 -0.307  -1.112 -0.446  -1.032 -0.506  -0.948 -0.560  -0.948 -0.699  -0.944 -0.834  -0.805 -0.834  -0.666 -0.834  -0.526 -0.834  -0.387 -0.834  -0.248 -0.834  -0.109 -0.834  0.030 -0.834  0.169 -0.834  0.277 -0.759  0.379 -0.670  0.518 -0.670  0.621 -0.580  0.729 -0.506  0.860 -0.497  0.860 -0.358  0.982 -0.341  1.024 -0.244  1.024 -0.105  1.024 0.034  1.024 0.173  1.024 0.312  0.928 0.412  0.860 0.522  0.843 0.645  0.704 0.645  0.603 0.737  0.531 0.846  0.519 0.973  0.380 0.973  0.241 0.973  0.202 1.074  0.127 1.138  -0.012 1.138  -0.126 1.112  -0.126 0.973
3#app#app07#app0738/r  -0.897 -1.426  -0.897 -1.341  -0.897 -1.255  -0.897 -1.170  -0.897 -1.084  -0.897 -0.999  -0.897 -0.913  -0.879 -0.835  -0.819 -0.775  -0.759 -0.714  -0.706 -0.650  -0.706 -0.565  -0.706 -0.479  -0.652 -0.416  -0.591 -0.356  -0.531 -0.295  -0.514 -0.217  -0.514 -0.131  -0.514 -0.046  -0.514 0.040  -0.499 0.119  -0.439 0.180  -0.378 0.240  -0.318 0.301  -0.257 0.361  -0.197 0.422  -0.136 0.482  -0.076 0.543  -0.015 0.603  0.045 0.664  0.124 0.679  0.210 0.679  0.295 0.679  0.381 0.679  0.466 0.679  0.552 0.679  0.637 0.676  0.697 0.616  0.757 0.555  0.818 0.495  0.900 0.487  0.986 0.487  1.055 0.449  1.116 0.388  1.176 0.328  1.249 0.296  1.334 0.296  1.399 0.275  1.399 0.190  1.399 0.104
3#app#app07#app0738/e  -0.608 -0.027  -0.466 -0.027  -0.324 -0.027  -0.217 0.058  -0.103 0.127  0.030 0.151  0.130 0.251  0.231 0.352  0.331 0.453  0.432 0.553  0.560 0.587  0.619 0.671  0.619 0.813  0.619 0.955  0.619 1.097  0.580 1.201  0.438 1.201  0.296 1.201  0.154 1.198  0.027 1.135  -0.101 1.071  -0.211 0.984  -0.312 0.883  -0.413 0.783  -0.513 0.682  -0.608 0.579  -0.608 0.437  -0.707 0.335  -0.762 0.216  -0.762 0.074  -0.762 -0.069  -0.762 -0.211  -0.748 -0.348  -0.647 -0.448  -0.608 -0.574  -0.540 -0.675  -0.413 -0.738  -0.289 -0.806  -0.189 -0.907  -0.088 -1.008  0.016 -1.101  0.158 -1.101  0.259 -1.201  0.379 -1.254  0.521 -1.254  0.664 -1.254  0.806 -1.254  0.948 -1.254  1.091 -1.254  1.233 -1.254
3#app#app07#app0738/'  -0.416 1.652  -0.416 1.578  -0.416 1.503  -0.416 1.429  -0.416 1.355  -0.416 1.280  -0.416 1.206  -0.416 1.131  -0.416 1.057  -0.416 0.982  -0.416 0.908  -0.416 0.833  -0.416 0.759  -0.416 0.684  -0.416 0.610  -0.416 0.535  -0.416 0.461  -0.406 0.390  -0.353 0.338  -0.300 0.285  -0.248 0.232  -0.195 0.180  -0.142 0.127  -0.090 0.074  -0.037 0.022  0.015 -0.031  0.068 -0.083  0.121 -0.136  0.173 -0.189  0.211 -0.248  0.211 -0.322  0.211 -0.397  0.211 -0.471  0.211 -0.546  0.211 -0.620  0.211 -0.695  0.211 -0.769  0.211 -0.844  0.257 -0.899  0.310 -0.951  0.363 -1.004  0.415 -1.057  0.468 -1.109  0.521 -1.162  0.573 -1.215  0.626 -1.267  0.679 -1.320  0.731 -1.373  0.784 -1.425  0.837 -1.478
3#app#app07#app0738/6  1.116 1.699  0.996 1.674  0.900 1.586  0.792 1.514  0.683 1.442  0.585 1.358  0.493 1.266  0.401 1.174  0.309 1.082  0.217 0.989  0.125 0.897  0.033 0.805  -0.059 0.713  -0.151 0.621  -0.243 0.529  -0.325 0.430  -0.383 0.313  -0.451 0.202  -0.523 0.094  -0.595 -0.014  -0.653 -0.131  -0.687 -0.253  -0.687 -0.383  -0.687 -0.513  -0.687 -0.644  -0.687 -0.774  -0.687 -0.904  -0.634 -1.012  -0.542 -1.104  -0.431 -1.149  -0.300 -1.149  -0.170 -1.149  -0.048 -1.114  0.068 -1.056  0.189 -1.032  0.281 -0.940  0.357 -0.841  0.398 -0.728  0.452 -0.620  0.452 -0.490  0.452 -0.360  0.406 -0.249  0.357 -0.139  0.260 -0.105  0.130 -0.105  0.000 -0.105  -0.099 -0.180  -0.191 -0.272  -0.216 -0.392  -0.308 -0.484
3#app#app07#app0738/  0.765 1.519  0.715 1.469  0.669 1.417  0.638 1.354  0.606 1.291  0.575 1.228  0.544 1.165  0.512 1.102  0.481 1.039  0.449 0.977  0.418 0.914  0.394 0.848  0.372 0.781  0.350 0.714  0.327 0.648  0.293 0.586  0.257 0.526  0.221 0.466  0.185 0.406  0.148 0.345  0.112 0.285  0.076 0.225  0.043 0.163  0.011 0.100  -0.020 0.037  -0.058 -0.022  -0.097 -0.081  -0.136 -0.139  -0.175 -0.198  -0.204 -0.259  -0.204 -0.329  -0.204 -0.400  -0.204 -0.470  -0.219 -0.537  -0.251 -0.599  -0.282 -0.662  -0.314 -0.725  -0.345 -0.788  -0.376 -0.851  -0.408 -0.914  -0.439 -0.977  -0.471 -1.040  -0.502 -1.102  -0.534 -1.165  -0.565 -1.228  -0.597 -1.291  -0.628 -1.354  -0.644 -1.421  -0.644 -1.491  -0.644 -1.561
3#app#app07#app0738/7  -0.842 0.422  -0.714 0.530  -0.567 0.611  -0.494 0.749  -0.451 0.900  -0.311 0.991  -0.176 1.088  -0.055 1.205  0.105 1.259  0.261 1.321  0.417 1.377  0.585 1.377  0.721 1.344  0.721 1.175  0.721 1.007  0.714 0.839  0.651 0.683  0.589 0.526  0.522 0.371  0.446 0.220  0.372 0.069  0.318 -0.091  0.238 -0.234  0.119 -0.354  0.041 -0.503  -0.034 -0.654  -0.110 -0.805  -0.185 -0.956  -0.234 -1.113  -0.321 -1.246  -0.321 -1.415  -0.321 -1.584  -0.321 -1.744  -0.330 -1.575  -0.339 -1.407  -0.348 -1.238  -0.357 -1.070  -0.365 -0.901  -0.374 -0.733  -0.383 -0.564  -0.392 -0.396  -0.401 -0.227  -0.379 -0.070  -0.260 0.049  -0.102 0.075  0.067 0.075  0.222 0.130  0.384 0.162  0.552 0.162  0.721 0.162
3#app#app07#app0738/  0.951 1.368  0.945 1.304  0.880 1.294  0.841 1.235  0.802 1.176  0.763 1.118  0.714 1.067  0.664 1.017  0.614 0.967  0.565 0.918  0.515 0.868  0.487 0.805  0.464 0.738  0.442 0.671  0.394 0.620  0.345 0.570  0.297 0.518  0.255 0.461  0.213 0.405  0.171 0.349  0.128 0.292  0.089 0.234  0.050 0.175  0.010 0.117  -0.029 0.058  -0.068 -0.001  -0.107 -0.059  -0.146 -0.118  -0.185 -0.177  -0.224 -0.235  -0.263 -0.294  -0.302 -0.352  -0.341 -0.411  -0.380 -0.470  -0.407 -0.534  -0.430 -0.601  -0.452 -0.668  -0.489 -0.728  -0.528 -0.786  -0.567 -0.845  -0.596 -0.909  -0.618 -0.975  -0.640 -1.042  -0.647 -1.112  -0.647 -1.182  -0.692 -1.234  -0.711 -1.297  -0.711 -1.367  -0.711 -1.438  -0.711 -1.508
3#app#app07#app0738/8  0.205 0.472  0.048 0.472  -0.107 0.470  -0.107 0.314  -0.106 0.158  -0.036 0.018  -0.029 -0.137  0.034 -0.278  0.063 -0.429  0.113 -0.577  0.127 -0.731  0.127 -0.888  0.102 -1.034  -0.009 -1.144  -0.156 -1.165  -0.310 -1.181  -0.459 -1.230  -0.613 -1.243  -0.758 -1.215  -0.894 -1.165  -0.972 -1.087  -1.042 -1.000  -0.993 -0.858  -0.907 -0.728  -0.802 -0.613  -0.691 -0.502  -0.581 -0.392  -0.465 -0.287  -0.335 -0.200  -0.205 -0.113  -0.075 -0.027  0.027 0.088  0.114 0.218  0.237 0.311  0.367 0.399  0.477 0.510  0.588 0.621  0.726 0.693  0.808 0.821  0.907 0.940  0.984 1.064  0.984 1.221  0.936 1.329  0.779 1.329  0.623 1.329  0.481 1.293  0.353 1.208  0.239 1.108  0.153 0.978  0.049 0.861
3#app#app07#app0738/9  0.648 1.294  0.492 1.271  0.348 1.199  0.192 1.175  0.047 1.103  -0.091 1.021  -0.226 0.931  -0.357 0.838  -0.480 0.745  -0.596 0.672  -0.668 0.527  -0.704 0.380  -0.779 0.250  -0.779 0.088  -0.669 0.037  -0.598 -0.095  -0.452 -0.134  -0.291 -0.134  -0.159 -0.062  -0.013 -0.024  0.103 0.086  0.248 0.125  0.362 0.239  0.477 0.353  0.612 0.415  0.704 0.528  0.758 0.677  0.758 0.838  0.648 0.820  0.587 0.683  0.487 0.558  0.397 0.423  0.305 0.291  0.197 0.172  0.125 0.028  0.053 -0.117  -0.011 -0.263  -0.042 -0.417  -0.115 -0.562  -0.120 -0.722  -0.185 -0.857  -0.230 -0.999  -0.230 -1.161  -0.230 -1.322  -0.230 -1.484  -0.193 -1.637  -0.120 -1.781  -0.068 -1.891  -0.011 -1.994  0.099 -2.110
