3#apb#apb14#app1419/a  0.546 0.512  0.569 0.685  0.700 0.594  0.742 0.438  0.801 0.554  0.787 0.744  0.688 0.910  0.561 1.057  0.397 1.165  0.206 1.165  0.017 1.115  -0.162 1.033  -0.336 0.943  -0.506 0.843  -0.671 0.738  -0.807 0.598  -0.931 0.446  -1.060 0.298  -1.152 0.128  -1.219 -0.056  -1.292 -0.239  -1.330 -0.430  -1.283 -0.619  -1.179 -0.779  -1.009 -0.873  -0.812 -0.873  -0.634 -0.802  -0.461 -0.709  -0.283 -0.625  -0.107 -0.539  0.043 -0.412  0.193 -0.285  0.338 -0.153  0.483 -0.020  0.614 0.125  0.728 0.283  0.795 0.466  0.730 0.399  0.637 0.229  0.535 0.062  0.418 -0.095  0.313 -0.256  0.275 -0.448  0.219 -0.636  0.200 -0.830  0.203 -1.025  0.332 -1.170  0.527 -1.195  0.722 -1.219  0.917 -1.243
3#apb#apb14#app1419/l  -0.941 -0.890  -1.030 -0.931  -1.085 -0.936  -0.943 -0.893  -0.792 -0.824  -0.667 -0.704  -0.538 -0.588  -0.414 -0.467  -0.294 -0.342  -0.177 -0.214  -0.057 -0.089  0.065 0.033  0.185 0.159  0.297 0.290  0.408 0.423  0.506 0.566  0.605 0.709  0.703 0.851  0.802 0.993  0.863 1.155  0.920 1.319  0.940 1.475  0.782 1.446  0.633 1.361  0.493 1.259  0.368 1.139  0.246 1.016  0.130 0.887  0.011 0.761  -0.111 0.639  -0.229 0.511  -0.346 0.384  -0.468 0.261  -0.553 0.111  -0.620 -0.048  -0.661 -0.215  -0.682 -0.387  -0.666 -0.555  -0.619 -0.722  -0.507 -0.851  -0.372 -0.957  -0.209 -1.015  -0.037 -1.034  0.118 -0.957  0.273 -0.880  0.431 -0.809  0.594 -0.749  0.739 -0.655  0.893 -0.578  1.013 -0.458
3#apb#apb14#app1419/m  -1.568 -0.606  -1.702 -0.549  -1.701 -0.374  -1.578 -0.163  -1.382 -0.008  -1.179 0.135  -0.954 0.246  -0.737 0.370  -0.520 0.494  -0.290 0.594  -0.075 0.718  -0.030 0.636  -0.139 0.411  -0.285 0.207  -0.451 0.019  -0.613 -0.171  -0.770 -0.367  -0.965 -0.521  -1.151 -0.682  -0.966 -0.525  -0.762 -0.379  -0.563 -0.227  -0.363 -0.077  -0.157 0.066  0.052 0.205  0.270 0.328  0.495 0.437  0.699 0.579  0.674 0.361  0.538 0.152  0.399 -0.054  0.246 -0.253  0.049 -0.408  -0.144 -0.549  0.019 -0.405  0.198 -0.229  0.382 -0.060  0.567 0.109  0.766 0.261  0.980 0.389  1.201 0.506  1.414 0.637  1.548 0.549  1.507 0.308  1.433 0.080  1.286 -0.120  1.080 -0.260  0.963 -0.478  1.020 -0.649  1.260 -0.682
3#apb#apb14#app1419/n  -1.384 -0.505  -1.462 -0.505  -1.430 -0.339  -1.302 -0.167  -1.169 0.001  -0.998 0.130  -0.821 0.249  -0.638 0.362  -0.467 0.491  -0.297 0.621  -0.121 0.693  -0.161 0.485  -0.238 0.286  -0.333 0.094  -0.441 -0.091  -0.575 -0.258  -0.700 -0.432  -0.846 -0.586  -1.011 -0.723  -1.132 -0.811  -1.011 -0.657  -0.844 -0.524  -0.666 -0.406  -0.489 -0.286  -0.343 -0.129  -0.194 0.025  -0.018 0.147  0.157 0.270  0.332 0.394  0.501 0.526  0.665 0.663  0.804 0.825  0.851 0.643  0.779 0.458  0.660 0.283  0.525 0.124  0.379 -0.028  0.274 -0.215  0.196 -0.408  0.281 -0.586  0.489 -0.556  0.689 -0.479  0.871 -0.368  1.047 -0.245  1.218 -0.117  1.390 0.012  1.542 0.163  1.692 0.316  1.813 0.492  1.935 0.669
3#apb#apb14#app1419/o  0.386 0.304  0.325 0.397  0.265 0.469  0.177 0.558  0.033 0.612  -0.132 0.612  -0.298 0.612  -0.458 0.575  -0.607 0.505  -0.757 0.436  -0.903 0.369  -0.995 0.231  -1.106 0.108  -1.207 -0.022  -1.286 -0.167  -1.345 -0.322  -1.383 -0.483  -1.377 -0.647  -1.301 -0.787  -1.153 -0.859  -0.994 -0.906  -0.829 -0.923  -0.671 -0.880  -0.515 -0.824  -0.368 -0.748  -0.222 -0.670  -0.073 -0.595  0.068 -0.511  0.198 -0.408  0.298 -0.275  0.402 -0.147  0.478 -0.001  0.516 0.160  0.470 0.318  0.430 0.478  0.327 0.544  0.211 0.480  0.189 0.317  0.243 0.167  0.387 0.085  0.544 0.032  0.708 0.019  0.873 0.020  1.033 0.066  1.192 0.113  1.344 0.180  1.496 0.246  1.646 0.316  1.796 0.387  1.946 0.458
3#apb#apb14#app1419/p  0.275 0.674  0.207 0.794  0.220 0.962  0.200 0.765  0.168 0.568  0.141 0.370  0.098 0.175  0.049 -0.019  0.001 -0.213  -0.048 -0.406  -0.096 -0.600  -0.144 -0.794  -0.208 -0.982  -0.304 -1.157  -0.429 -1.313  -0.544 -1.476  -0.726 -1.548  -0.886 -1.475  -0.978 -1.300  -1.035 -1.109  -1.059 -0.911  -1.036 -0.713  -0.998 -0.517  -0.946 -0.325  -0.861 -0.144  -0.762 0.028  -0.635 0.182  -0.495 0.324  -0.337 0.447  -0.180 0.570  -0.023 0.694  0.139 0.809  0.314 0.906  0.498 0.981  0.690 1.036  0.884 1.073  1.045 0.980  1.124 0.800  1.197 0.616  1.282 0.446  1.237 0.264  1.087 0.136  0.903 0.057  0.711 0.005  0.514 -0.021  0.314 -0.021  0.115 -0.009  -0.083 0.014  -0.251 0.105  -0.351 0.274
3#apb#apb14#app1419/q  0.422 0.477  0.613 0.541  0.675 0.797  0.540 1.032  0.351 1.225  0.099 1.302  -0.159 1.218  -0.398 1.096  -0.625 0.945  -0.808 0.744  -0.931 0.508  -0.868 0.262  -0.611 0.193  -0.339 0.220  -0.073 0.279  0.190 0.356  0.428 0.485  0.591 0.679  0.493 0.476  0.317 0.272  0.150 0.057  -0.033 -0.147  -0.223 -0.343  -0.393 -0.557  -0.531 -0.794  -0.666 -1.031  -0.796 -1.270  -0.846 -1.539  -0.830 -1.785  -0.579 -1.819  -0.364 -1.652  -0.168 -1.463  -0.014 -1.238  0.114 -0.997  0.204 -0.739  0.220 -0.468  0.170 -0.200  0.052 0.044  -0.126 0.251  -0.345 0.413  -0.520 0.383  -0.400 0.155  -0.154 0.045  0.117 0.009  0.390 0.023  0.654 0.096  0.905 0.204  1.152 0.321  1.387 0.459  1.567 0.477
3#apb#apb14#app1419/r  -1.000 -0.561  -1.122 -0.516  -1.217 -0.542  -1.353 -0.529  -1.451 -0.529  -1.393 -0.447  -1.308 -0.338  -1.207 -0.244  -1.100 -0.156  -0.996 -0.065  -0.894 0.028  -0.796 0.126  -0.697 0.223  -0.595 0.317  -0.494 0.411  -0.396 0.509  -0.298 0.607  -0.200 0.705  -0.121 0.817  -0.041 0.929  -0.067 0.812  -0.067 0.673  -0.035 0.542  0.035 0.430  0.103 0.310  0.151 0.185  0.164 0.058  0.066 -0.031  -0.033 -0.125  -0.124 -0.225  -0.190 -0.337  -0.199 -0.466  -0.132 -0.542  0.005 -0.529  0.144 -0.529  0.278 -0.502  0.410 -0.459  0.535 -0.401  0.663 -0.349  0.795 -0.306  0.924 -0.257  1.045 -0.190  1.166 -0.122  1.285 -0.052  1.403 0.019  1.506 0.112  1.604 0.210  1.685 0.320  1.749 0.442  1.814 0.565
3#apb#apb14#app1419/s  -1.528 -0.936  -1.476 -0.936  -1.343 -0.793  -1.224 -0.623  -1.090 -0.466  -0.927 -0.335  -0.798 -0.170  -0.668 -0.007  -0.527 0.147  -0.386 0.301  -0.254 0.463  -0.123 0.626  0.017 0.781  0.157 0.936  0.269 1.113  0.420 1.251  0.500 1.214  0.557 1.015  0.603 0.813  0.644 0.608  0.705 0.409  0.769 0.210  0.713 0.011  0.651 -0.186  0.522 -0.345  0.375 -0.493  0.206 -0.599  -0.001 -0.615  -0.208 -0.634  -0.411 -0.584  -0.593 -0.487  -0.778 -0.391  -0.961 -0.296  -1.121 -0.193  -0.978 -0.218  -0.782 -0.289  -0.581 -0.347  -0.381 -0.407  -0.172 -0.408  0.037 -0.408  0.239 -0.360  0.440 -0.303  0.631 -0.225  0.805 -0.110  0.979 0.005  1.136 0.143  1.279 0.295  1.410 0.456  1.561 0.599  1.689 0.764
3#apb#apb14#app1419/t  -0.609 -0.891  -0.685 -0.909  -0.669 -0.682  -0.467 -0.476  -0.248 -0.284  -0.073 -0.052  0.125 0.162  0.312 0.384  0.453 0.637  0.572 0.903  0.685 1.171  0.747 1.454  0.719 1.686  0.558 1.454  0.432 1.191  0.304 0.930  0.164 0.675  0.021 0.422  -0.088 0.152  -0.203 -0.113  -0.253 -0.392  -0.261 -0.679  -0.177 -0.953  0.059 -1.077  0.350 -1.078  0.637 -1.072  0.903 -0.957  1.160 -0.831  1.349 -0.672  1.097 -0.607  0.819 -0.522  0.540 -0.437  0.262 -0.351  -0.017 -0.266  -0.296 -0.181  -0.574 -0.095  -0.853 -0.010  -1.131 0.075  -1.410 0.154  -1.701 0.137  -1.555 0.103  -1.265 0.083  -0.973 0.081  -0.685 0.113  -0.397 0.161  -0.108 0.196  0.180 0.236  0.467 0.289  0.749 0.360  1.034 0.380
3#apb#apb14#app1419/u  -1.410 -0.621  -1.484 -0.617  -1.391 -0.491  -1.267 -0.345  -1.136 -0.207  -0.987 -0.087  -0.844 0.042  -0.691 0.155  -0.541 0.272  -0.420 0.420  -0.279 0.549  -0.131 0.668  -0.064 0.752  -0.163 0.652  -0.294 0.515  -0.405 0.359  -0.521 0.206  -0.631 0.050  -0.735 -0.111  -0.850 -0.264  -0.933 -0.435  -0.975 -0.617  -0.813 -0.638  -0.649 -0.539  -0.488 -0.436  -0.325 -0.336  -0.159 -0.241  0.000 -0.134  0.156 -0.022  0.309 0.092  0.425 0.234  0.482 0.335  0.421 0.198  0.329 0.034  0.233 -0.130  0.161 -0.307  0.201 -0.476  0.371 -0.558  0.549 -0.544  0.711 -0.443  0.869 -0.334  1.019 -0.216  1.167 -0.095  1.297 0.044  1.412 0.198  1.525 0.352  1.621 0.518  1.717 0.683  1.776 0.865  1.834 1.048
3#apb#apb14#app1419/v  -1.555 -0.668  -1.614 -0.607  -1.640 -0.662  -1.579 -0.616  -1.479 -0.529  -1.376 -0.447  -1.259 -0.384  -1.144 -0.316  -1.031 -0.247  -0.917 -0.180  -0.802 -0.114  -0.686 -0.048  -0.577 0.027  -0.467 0.102  -0.354 0.171  -0.239 0.237  -0.116 0.287  -0.001 0.349  0.082 0.403  0.019 0.296  -0.058 0.188  -0.135 0.080  -0.197 -0.037  -0.264 -0.152  -0.303 -0.278  -0.289 -0.408  -0.197 -0.493  -0.070 -0.531  0.063 -0.531  0.187 -0.485  0.308 -0.431  0.425 -0.369  0.529 -0.286  0.597 -0.175  0.642 -0.051  0.647 0.082  0.622 0.212  0.557 0.309  0.550 0.238  0.647 0.185  0.770 0.235  0.885 0.297  0.993 0.376  1.099 0.455  1.205 0.534  1.313 0.613  1.411 0.701  1.505 0.795  1.599 0.889  1.692 0.983
3#apb#apb14#app1419/w  -1.395 -0.904  -1.569 -0.780  -1.623 -0.647  -1.419 -0.464  -1.204 -0.291  -0.999 -0.108  -0.795 0.078  -0.582 0.255  -0.379 0.443  -0.172 0.628  -0.180 0.738  -0.384 0.554  -0.558 0.339  -0.746 0.135  -0.937 -0.065  -1.115 -0.278  -1.225 -0.524  -1.087 -0.707  -0.819 -0.669  -0.564 -0.561  -0.325 -0.426  -0.106 -0.256  0.090 -0.063  0.252 0.162  0.194 0.244  0.008 0.038  -0.164 -0.172  -0.279 -0.422  -0.188 -0.671  0.049 -0.793  0.318 -0.742  0.534 -0.571  0.719 -0.365  0.864 -0.133  0.939 0.132  0.938 0.408  0.911 0.682  0.962 0.662  1.016 0.391  1.028 0.221  1.115 0.403  1.052 0.546  0.792 0.506  0.573 0.434  0.456 0.349  0.701 0.248  0.965 0.303  1.219 0.413  1.446 0.572  1.673 0.732
3#apb#apb14#app1419/x  -1.245 -0.446  -1.338 -0.390  -1.210 -0.240  -1.054 -0.118  -0.887 -0.012  -0.719 0.094  -0.563 0.215  -0.409 0.341  -0.238 0.441  -0.066 0.538  0.098 0.650  0.265 0.751  0.233 0.606  0.115 0.447  -0.004 0.289  -0.118 0.127  -0.233 -0.032  -0.290 -0.219  -0.129 -0.298  0.067 -0.277  0.261 -0.234  0.448 -0.169  0.642 -0.129  0.837 -0.092  1.026 -0.033  1.213 0.032  1.364 0.159  1.401 0.345  1.414 0.543  1.426 0.741  1.352 0.897  1.221 0.823  1.073 0.692  0.904 0.589  0.748 0.468  0.602 0.334  0.448 0.210  0.293 0.086  0.149 -0.050  -0.011 -0.166  -0.179 -0.271  -0.342 -0.384  -0.503 -0.500  -0.672 -0.603  -0.845 -0.699  -1.017 -0.797  -1.188 -0.897  -1.357 -1.000  -1.510 -1.123  -1.474 -1.240
3#apb#apb14#app1419/y  -0.322 0.084  -0.486 0.074  -0.462 0.215  -0.301 0.412  -0.140 0.611  0.026 0.805  0.187 1.003  0.347 1.201  0.389 1.267  0.214 1.081  0.057 0.880  -0.108 0.685  -0.273 0.492  -0.437 0.299  -0.314 0.159  -0.064 0.195  0.173 0.291  0.397 0.414  0.607 0.558  0.808 0.714  0.988 0.891  0.904 0.958  0.762 0.746  0.631 0.530  0.476 0.329  0.341 0.112  0.202 -0.102  0.060 -0.314  -0.079 -0.529  -0.210 -0.748  -0.340 -0.968  -0.483 -1.180  -0.630 -1.388  -0.800 -1.577  -0.987 -1.750  -1.162 -1.663  -1.123 -1.413  -1.058 -1.167  -0.916 -0.954  -0.772 -0.743  -0.599 -0.558  -0.403 -0.395  -0.184 -0.264  0.040 -0.141  0.267 -0.023  0.488 0.104  0.717 0.214  0.964 0.267  1.211 0.231  1.396 0.056
3#apb#apb14#app1419/z  0.341 0.814  -0.023 0.855  -0.119 0.853  0.257 0.840  0.632 0.840  0.583 0.626  0.265 0.433  -0.075 0.271  -0.427 0.137  -0.756 -0.046  -0.462 -0.104  -0.091 -0.042  0.280 0.026  0.654 0.067  1.030 0.097  1.368 0.152  1.005 0.257  0.643 0.361  0.281 0.466  -0.082 0.570  -0.372 0.670  -0.723 0.571  -0.630 0.579  -0.262 0.628  0.114 0.623  0.440 0.470  0.286 0.290  -0.060 0.140  -0.419 0.031  -0.555 -0.012  -0.184 0.018  0.022 -0.243  -0.036 -0.614  -0.187 -0.958  -0.380 -1.279  -0.702 -1.446  -1.066 -1.509  -1.431 -1.417  -1.690 -1.166  -1.527 -0.855  -1.200 -0.672  -0.860 -0.510  -0.500 -0.401  -0.143 -0.283  0.211 -0.152  0.565 -0.031  0.939 0.013  1.315 0.018  1.691 0.007  2.039 0.018
