3#apa#apa10#app1017/P  -0.087 0.397  -0.183 0.589  -0.242 0.626  -0.242 0.412  -0.242 0.197  -0.242 -0.017  -0.242 -0.232  -0.255 -0.445  -0.297 -0.656  -0.339 -0.866  -0.382 -1.076  -0.398 -1.289  -0.398 -1.504  -0.405 -1.527  -0.423 -1.313  -0.441 -1.100  -0.459 -0.886  -0.477 -0.672  -0.495 -0.458  -0.512 -0.244  -0.530 -0.030  -0.548 0.183  -0.623 0.381  -0.698 0.573  -0.602 0.765  -0.459 0.910  -0.267 1.006  -0.075 1.102  0.122 1.174  0.337 1.174  0.548 1.140  0.758 1.098  0.969 1.056  1.169 0.999  1.288 0.821  1.407 0.642  1.403 0.467  1.274 0.295  1.145 0.124  1.017 -0.048  0.833 -0.153  0.637 -0.240  0.431 -0.298  0.224 -0.357  0.018 -0.416  -0.188 -0.475  -0.395 -0.534  -0.603 -0.484  -0.811 -0.432  -1.019 -0.380
3#apa#apa10#app1017/l  0.022 0.533  0.049 0.615  0.077 0.696  0.104 0.778  0.131 0.859  0.158 0.941  0.185 1.023  0.195 1.107  0.195 1.193  0.195 1.279  0.195 1.365  0.195 1.346  0.195 1.260  0.185 1.175  0.168 1.091  0.151 1.006  0.135 0.922  0.118 0.838  0.101 0.753  0.084 0.669  0.067 0.585  0.050 0.500  0.033 0.416  0.017 0.332  0.003 0.247  -0.011 0.162  -0.025 0.077  -0.039 -0.008  -0.053 -0.093  -0.067 -0.177  -0.082 -0.262  -0.096 -0.347  -0.110 -0.432  -0.124 -0.517  -0.138 -0.602  -0.151 -0.687  -0.151 -0.773  -0.151 -0.859  -0.151 -0.945  -0.151 -1.031  -0.151 -1.117  -0.151 -1.203  -0.151 -1.289  -0.151 -1.375  -0.151 -1.461  -0.151 -1.547  -0.151 -1.633  -0.151 -1.719  -0.151 -1.805  -0.151 -1.891
3#apa#apa10#app1017/a  1.237 0.411  1.237 0.580  1.201 0.727  1.050 0.803  0.898 0.879  0.747 0.955  0.590 1.007  0.420 1.007  0.251 1.007  0.081 1.007  -0.074 0.948  -0.226 0.872  -0.377 0.797  -0.529 0.721  -0.680 0.645  -0.832 0.569  -0.984 0.494  -1.135 0.418  -1.149 0.257  -1.149 0.088  -1.149 -0.082  -1.149 -0.251  -1.149 -0.421  -1.074 -0.559  -0.954 -0.679  -0.830 -0.772  -0.679 -0.697  -0.527 -0.621  -0.376 -0.545  -0.224 -0.469  -0.073 -0.393  0.079 -0.318  0.231 -0.242  0.342 -0.142  0.342 0.028  0.342 0.197  0.342 0.367  0.342 0.285  0.342 0.116  0.342 -0.054  0.342 -0.223  0.342 -0.392  0.342 -0.562  0.342 -0.731  0.342 -0.901  0.342 -1.070  0.484 -1.152  0.636 -1.228  0.788 -1.303  0.939 -1.379
3#apa#apa10#app1017/s  -1.117 -0.012  -1.207 -0.101  -1.296 -0.191  -1.409 -0.223  -1.536 -0.223  -1.540 -0.346  -1.501 -0.434  -1.375 -0.434  -1.248 -0.434  -1.122 -0.434  -1.031 -0.348  -0.941 -0.258  -0.852 -0.169  -0.763 -0.079  -0.673 0.010  -0.584 0.100  -0.494 0.189  -0.384 0.249  -0.270 0.306  -0.157 0.363  -0.044 0.419  0.069 0.476  0.182 0.532  0.295 0.589  0.414 0.621  0.541 0.621  0.667 0.621  0.794 0.621  0.920 0.621  1.047 0.621  1.174 0.621  1.205 0.527  1.205 0.400  1.205 0.274  1.205 0.147  1.205 0.021  1.205 -0.106  1.197 -0.227  1.084 -0.284  0.970 -0.340  0.857 -0.397  0.740 -0.434  0.613 -0.434  0.486 -0.434  0.360 -0.434  0.233 -0.434  0.107 -0.434  -0.020 -0.434  -0.146 -0.434  -0.273 -0.434
3#apa#apa10#app1017/s  -1.914 -0.649  -1.790 -0.649  -1.665 -0.649  -1.541 -0.649  -1.417 -0.649  -1.292 -0.649  -1.178 -0.608  -1.067 -0.552  -0.955 -0.496  -0.844 -0.441  -0.752 -0.358  -0.664 -0.271  -0.568 -0.194  -0.457 -0.138  -0.346 -0.083  -0.235 -0.027  -0.172 0.058  -0.172 0.183  -0.172 0.307  -0.172 0.431  -0.076 0.504  0.028 0.573  0.131 0.642  0.235 0.711  0.338 0.780  0.442 0.849  0.558 0.876  0.682 0.876  0.807 0.876  0.917 0.862  0.917 0.738  0.937 0.618  0.993 0.507  1.048 0.396  1.104 0.285  1.135 0.168  1.135 0.043  1.075 -0.056  0.987 -0.144  0.899 -0.232  0.811 -0.320  0.723 -0.408  0.608 -0.431  0.484 -0.431  0.360 -0.431  0.235 -0.431  0.111 -0.431  0.004 -0.389  -0.084 -0.301  -0.172 -0.213
3#apa#apa10#app1017/p  -0.061 0.271  -0.162 0.372  -0.207 0.339  -0.207 0.197  -0.207 0.055  -0.207 -0.087  -0.220 -0.228  -0.247 -0.367  -0.275 -0.507  -0.303 -0.646  -0.331 -0.785  -0.360 -0.924  -0.395 -1.062  -0.429 -1.200  -0.464 -1.338  -0.498 -1.476  -0.498 -1.618  -0.498 -1.485  -0.498 -1.343  -0.498 -1.201  -0.498 -1.059  -0.498 -0.916  -0.469 -0.778  -0.435 -0.640  -0.401 -0.502  -0.366 -0.365  -0.318 -0.231  -0.262 -0.101  -0.207 0.030  -0.151 0.161  -0.095 0.291  -0.039 0.422  0.017 0.552  0.073 0.683  0.153 0.800  0.238 0.913  0.323 1.027  0.408 1.141  0.494 1.254  0.589 1.359  0.699 1.437  0.812 1.408  0.812 1.266  0.812 1.124  0.812 0.982  0.812 0.840  0.812 0.697  0.812 0.555  0.812 0.413  0.812 0.271
3#apa#apa10#app1017/l  0.531 1.483  0.460 1.483  0.390 1.483  0.320 1.482  0.303 1.413  0.286 1.345  0.269 1.276  0.252 1.208  0.235 1.140  0.218 1.071  0.201 1.003  0.184 0.935  0.166 0.866  0.149 0.798  0.132 0.729  0.115 0.661  0.102 0.592  0.091 0.522  0.079 0.453  0.067 0.383  0.056 0.314  0.044 0.244  0.033 0.175  0.021 0.105  0.009 0.036  -0.002 -0.034  -0.014 -0.104  -0.025 -0.173  -0.037 -0.243  -0.049 -0.312  -0.060 -0.382  -0.072 -0.451  -0.083 -0.521  -0.095 -0.590  -0.119 -0.656  -0.150 -0.719  -0.182 -0.782  -0.213 -0.845  -0.245 -0.908  -0.276 -0.971  -0.308 -1.034  -0.310 -1.104  -0.310 -1.175  -0.310 -1.245  -0.310 -1.316  -0.310 -1.386  -0.310 -1.457  -0.310 -1.527  -0.310 -1.598  -0.310 -1.668
3#apa#apa10#app1017/a  0.387 0.675  0.387 0.835  0.384 0.993  0.223 0.993  0.063 0.991  -0.081 0.919  -0.225 0.847  -0.369 0.775  -0.513 0.703  -0.657 0.631  -0.801 0.559  -0.945 0.487  -1.089 0.415  -1.207 0.327  -1.207 0.167  -1.207 0.006  -1.207 -0.155  -1.207 -0.316  -1.207 -0.477  -1.170 -0.601  -1.009 -0.601  -0.849 -0.601  -0.688 -0.601  -0.539 -0.571  -0.426 -0.457  -0.312 -0.343  -0.189 -0.241  -0.055 -0.151  0.079 -0.062  0.213 0.027  0.347 0.116  0.481 0.206  0.615 0.295  0.706 0.407  0.706 0.568  0.706 0.620  0.706 0.459  0.706 0.298  0.706 0.137  0.706 -0.024  0.706 -0.185  0.706 -0.346  0.706 -0.506  0.735 -0.660  0.807 -0.804  0.879 -0.948  0.951 -1.092  1.023 -1.236  1.183 -1.239  1.344 -1.239
3#apa#apa10#app1017/t  0.188 1.816  0.337 1.816  0.335 1.697  0.298 1.553  0.262 1.408  0.226 1.263  0.190 1.119  0.143 0.977  0.096 0.836  0.049 0.694  0.007 0.552  -0.018 0.404  -0.042 0.257  -0.067 0.110  -0.091 -0.037  -0.116 -0.184  -0.140 -0.331  -0.164 -0.478  -0.164 -0.627  -0.164 -0.776  -0.164 -0.925  -0.164 -1.074  -0.164 -1.224  -0.164 -1.373  -0.164 -1.522  -0.164 -1.671  -0.178 -1.597  -0.197 -1.449  -0.215 -1.301  -0.234 -1.154  -0.252 -1.006  -0.271 -0.858  -0.289 -0.710  -0.308 -0.562  -0.326 -0.414  -0.356 -0.269  -0.422 -0.136  -0.489 -0.002  -0.456 0.115  -0.350 0.220  -0.215 0.280  -0.076 0.336  0.062 0.391  0.200 0.446  0.339 0.502  0.477 0.557  0.622 0.582  0.771 0.582  0.920 0.582  1.069 0.582
3#apa#apa10#app1017/e  -0.408 0.059  -0.526 0.177  -0.633 0.269  -0.633 0.102  -0.509 0.059  -0.342 0.059  -0.176 0.059  -0.009 0.059  0.158 0.059  0.324 0.059  0.491 0.060  0.640 0.134  0.789 0.209  0.938 0.283  1.013 0.431  1.088 0.580  1.162 0.729  1.050 0.848  0.929 0.958  0.762 0.958  0.596 0.958  0.429 0.958  0.262 0.958  0.096 0.958  -0.071 0.958  -0.238 0.958  -0.404 0.958  -0.499 0.823  -0.591 0.684  -0.683 0.546  -0.776 0.407  -0.858 0.265  -0.858 0.099  -0.858 -0.068  -0.858 -0.235  -0.858 -0.401  -0.858 -0.568  -0.773 -0.700  -0.655 -0.817  -0.520 -0.915  -0.382 -1.007  -0.243 -1.099  -0.104 -1.192  0.034 -1.284  0.200 -1.289  0.366 -1.289  0.533 -1.289  0.700 -1.289  0.822 -1.182  0.940 -1.064
3#apa#apa10#app1017/s  -1.374 -0.103  -1.374 -0.232  -1.381 -0.354  -1.510 -0.354  -1.614 -0.364  -1.523 -0.456  -1.432 -0.547  -1.332 -0.584  -1.216 -0.526  -1.101 -0.469  -0.986 -0.411  -0.871 -0.353  -0.763 -0.281  -0.656 -0.210  -0.549 -0.138  -0.441 -0.067  -0.334 0.005  -0.227 0.076  -0.120 0.148  -0.028 0.239  0.063 0.330  0.154 0.421  0.245 0.513  0.336 0.604  0.447 0.649  0.576 0.649  0.705 0.649  0.834 0.649  0.963 0.649  1.092 0.649  1.195 0.587  1.286 0.496  1.377 0.404  1.384 0.278  1.384 0.149  1.270 0.090  1.155 0.033  1.040 -0.025  0.924 -0.083  0.809 -0.140  0.694 -0.198  0.578 -0.256  0.463 -0.313  0.344 -0.354  0.215 -0.354  0.090 -0.334  -0.025 -0.276  -0.140 -0.219  -0.256 -0.161  -0.371 -0.103
3#apa#apa10#app1017/w  -1.213 0.557  -1.213 0.662  -1.213 0.658  -1.213 0.554  -1.213 0.449  -1.213 0.345  -1.213 0.240  -1.213 0.136  -1.213 0.031  -1.206 -0.070  -1.133 -0.144  -1.059 -0.218  -0.954 -0.218  -0.865 -0.181  -0.792 -0.107  -0.718 -0.033  -0.644 0.041  -0.564 0.106  -0.470 0.153  -0.377 0.200  -0.283 0.247  -0.179 0.247  -0.074 0.247  0.027 0.244  0.027 0.140  0.027 0.035  0.027 -0.069  0.027 -0.174  0.070 -0.261  0.144 -0.335  0.218 -0.409  0.292 -0.483  0.377 -0.529  0.481 -0.529  0.586 -0.529  0.686 -0.510  0.779 -0.463  0.873 -0.416  0.966 -0.369  1.060 -0.323  1.153 -0.276  1.247 -0.229  1.304 -0.146  1.351 -0.053  1.398 0.041  1.423 0.139  1.423 0.244  1.423 0.348  1.423 0.453  1.423 0.557
3#apa#apa10#app1017/e  -0.568 -0.210  -0.459 -0.100  -0.349 0.009  -0.197 0.016  -0.042 0.016  0.113 0.017  0.260 0.066  0.407 0.115  0.554 0.164  0.702 0.213  0.852 0.242  1.007 0.242  1.119 0.346  1.229 0.456  1.179 0.592  1.110 0.730  1.040 0.869  0.917 0.921  0.762 0.921  0.607 0.921  0.452 0.921  0.297 0.921  0.142 0.921  -0.013 0.921  -0.159 0.892  -0.288 0.806  -0.417 0.720  -0.546 0.634  -0.675 0.548  -0.798 0.457  -0.847 0.310  -0.896 0.163  -0.945 0.015  -0.994 -0.132  -1.021 -0.282  -1.021 -0.437  -1.021 -0.593  -0.950 -0.710  -0.821 -0.796  -0.692 -0.882  -0.563 -0.968  -0.434 -1.054  -0.297 -1.115  -0.142 -1.115  0.013 -1.115  0.168 -1.115  0.323 -1.115  0.478 -1.115  0.633 -1.115  0.788 -1.115
3#apa#apa10#app1017/r  0.090 -0.199  0.045 -0.290  0.000 -0.380  -0.045 -0.470  -0.090 -0.560  -0.135 -0.650  -0.180 -0.741  -0.180 -0.842  -0.180 -0.943  -0.180 -1.043  -0.180 -1.144  -0.180 -1.245  -0.247 -1.279  -0.348 -1.279  -0.449 -1.279  -0.450 -1.179  -0.450 -1.078  -0.450 -0.977  -0.450 -0.876  -0.450 -0.776  -0.450 -0.675  -0.450 -0.574  -0.450 -0.473  -0.406 -0.382  -0.361 -0.292  -0.316 -0.202  -0.271 -0.112  -0.226 -0.021  -0.180 0.069  -0.180 0.169  -0.180 0.270  -0.163 0.366  -0.107 0.450  -0.051 0.534  0.005 0.618  0.061 0.702  0.117 0.786  0.173 0.870  0.229 0.954  0.285 1.037  0.341 1.121  0.420 1.180  0.510 1.225  0.600 1.270  0.690 1.315  0.780 1.360  0.871 1.405  0.968 1.420  1.069 1.420  1.170 1.420
3#apa#apa10#app1017/e  -0.700 0.169  -0.700 0.011  -0.591 -0.036  -0.433 -0.036  -0.276 -0.036  -0.119 -0.036  0.039 -0.036  0.196 -0.036  0.345 -0.016  0.456 0.095  0.577 0.193  0.718 0.263  0.859 0.333  0.940 0.441  0.940 0.598  0.940 0.755  0.848 0.875  0.737 0.986  0.597 1.057  0.456 1.128  0.315 1.191  0.166 1.141  0.017 1.091  -0.133 1.041  -0.282 0.992  -0.395 0.884  -0.506 0.773  -0.618 0.661  -0.713 0.540  -0.763 0.391  -0.813 0.242  -0.862 0.092  -0.905 -0.058  -0.905 -0.215  -0.905 -0.372  -0.846 -0.505  -0.735 -0.617  -0.624 -0.728  -0.512 -0.839  -0.369 -0.898  -0.220 -0.948  -0.070 -0.998  0.079 -1.047  0.228 -1.097  0.377 -1.147  0.527 -1.197  0.676 -1.246  0.830 -1.266  0.987 -1.266  1.145 -1.266
