2#app#app32#app3219/b  0.226 1.837  0.205 1.968  0.053 1.968  -0.036 1.905  -0.036 1.753  -0.036 1.601  -0.036 1.449  -0.036 1.297  -0.036 1.145  -0.036 0.993  -0.036 0.841  -0.036 0.689  -0.036 0.537  -0.036 0.385  -0.058 0.242  -0.166 0.134  -0.203 -0.013  -0.240 -0.160  -0.277 -0.308  -0.298 -0.457  -0.298 -0.609  -0.374 -0.729  -0.429 -0.859  -0.497 -0.983  -0.560 -0.983  -0.500 -0.855  -0.429 -0.733  -0.429 -0.581  -0.363 -0.456  -0.256 -0.349  -0.167 -0.234  -0.133 -0.095  -0.026 0.012  0.082 0.120  0.228 0.133  0.380 0.133  0.489 0.090  0.489 -0.062  0.489 -0.214  0.489 -0.366  0.489 -0.518  0.489 -0.670  0.489 -0.822  0.489 -0.974  0.408 -1.046  0.286 -1.117  0.226 -1.245  0.137 -1.308  -0.015 -1.308  -0.036 -1.177
2#app#app32#app3219/e  -1.044 -0.473  -0.865 -0.473  -0.685 -0.473  -0.526 -0.423  -0.399 -0.296  -0.272 -0.169  -0.145 -0.042  0.019 -0.004  0.177 0.046  0.304 0.173  0.431 0.300  0.558 0.427  0.722 0.465  0.881 0.515  1.008 0.642  1.065 0.798  1.020 0.933  0.841 0.933  0.661 0.933  0.481 0.933  0.302 0.933  0.122 0.933  -0.057 0.933  -0.223 0.875  -0.384 0.795  -0.544 0.715  -0.720 0.699  -0.874 0.635  -1.001 0.509  -1.044 0.347  -1.044 0.167  -1.044 -0.012  -1.044 -0.192  -1.044 -0.371  -0.989 -0.528  -0.862 -0.655  -0.704 -0.707  -0.525 -0.707  -0.345 -0.707  -0.165 -0.707  0.014 -0.707  0.194 -0.707  0.373 -0.707  0.553 -0.707  0.733 -0.707  0.912 -0.707  1.084 -0.726  1.211 -0.853  1.354 -0.941  1.533 -0.941
2#app#app32#app3219/c  1.094 1.021  0.997 1.021  0.901 1.021  0.804 1.021  0.708 1.021  0.611 1.021  0.515 1.021  0.419 1.021  0.322 1.021  0.226 1.021  0.129 1.021  0.033 1.021  -0.047 0.981  -0.115 0.912  -0.183 0.844  -0.251 0.776  -0.320 0.708  -0.388 0.640  -0.456 0.571  -0.524 0.503  -0.592 0.435  -0.661 0.367  -0.666 0.273  -0.666 0.176  -0.666 0.080  -0.666 -0.017  -0.642 -0.103  -0.573 -0.171  -0.505 -0.240  -0.446 -0.311  -0.446 -0.408  -0.446 -0.504  -0.446 -0.601  -0.446 -0.697  -0.391 -0.738  -0.294 -0.738  -0.206 -0.758  -0.138 -0.827  -0.070 -0.895  -0.002 -0.963  0.067 -1.031  0.135 -1.099  0.203 -1.168  0.295 -1.178  0.391 -1.178  0.488 -1.178  0.584 -1.178  0.681 -1.178  0.777 -1.178  0.874 -1.178
2#app#app32#app3219/o  0.681 0.489  0.519 0.489  0.358 0.489  0.196 0.489  0.034 0.489  -0.127 0.489  -0.289 0.489  -0.451 0.489  -0.612 0.489  -0.774 0.489  -0.890 0.443  -0.890 0.281  -0.890 0.120  -0.972 0.040  -1.114 0.021  -1.114 -0.141  -1.114 -0.303  -1.114 -0.464  -1.114 -0.626  -0.976 -0.702  -0.831 -0.775  -0.686 -0.847  -0.568 -0.955  -0.453 -1.069  -0.297 -1.082  -0.135 -1.082  0.027 -1.082  0.188 -1.082  0.316 -0.998  0.430 -0.884  0.581 -0.857  0.724 -0.814  0.839 -0.700  0.905 -0.566  0.905 -0.404  0.905 -0.242  0.905 -0.081  0.905 0.081  0.905 0.243  0.905 0.404  0.851 0.544  0.737 0.658  0.681 0.797  0.661 0.938  0.499 0.938  0.372 1.022  0.258 1.137  0.107 1.162  0.008 1.100  0.008 0.938
2#app#app32#app3219/u  -1.155 0.070  -1.304 0.070  -1.417 0.034  -1.417 -0.115  -1.417 -0.264  -1.417 -0.413  -1.340 -0.530  -1.234 -0.635  -1.118 -0.714  -0.969 -0.714  -0.842 -0.663  -0.736 -0.557  -0.631 -0.452  -0.526 -0.347  -0.420 -0.241  -0.315 -0.136  -0.210 -0.031  -0.105 0.075  0.001 0.180  0.106 0.285  0.153 0.415  0.153 0.564  0.272 0.594  0.414 0.600  0.414 0.749  0.414 0.898  0.414 1.047  0.335 1.117  0.186 1.117  0.153 1.001  0.153 0.852  0.153 0.703  0.153 0.555  0.153 0.406  0.153 0.257  0.153 0.108  0.264 0.070  0.413 0.070  0.414 -0.077  0.439 -0.216  0.545 -0.321  0.650 -0.427  0.788 -0.453  0.937 -0.453  1.042 -0.558  1.148 -0.663  1.275 -0.714  1.424 -0.714  1.573 -0.714  1.722 -0.714
2#app#app32#app3219/l  0.233 -0.781  0.233 -0.655  0.233 -0.528  0.233 -0.402  0.233 -0.275  0.233 -0.149  0.233 -0.023  0.233 0.104  0.233 0.230  0.233 0.357  0.196 0.474  0.139 0.587  0.083 0.700  0.036 0.816  0.036 0.942  0.036 1.068  0.036 1.195  0.036 1.321  -0.009 1.429  -0.099 1.518  -0.160 1.541  -0.160 1.414  -0.160 1.288  -0.160 1.162  -0.160 1.035  -0.160 0.909  -0.160 0.783  -0.160 0.656  -0.160 0.530  -0.160 0.403  -0.160 0.277  -0.160 0.151  -0.160 0.024  -0.160 -0.102  -0.160 -0.229  -0.160 -0.355  -0.160 -0.481  -0.160 -0.608  -0.160 -0.734  -0.160 -0.860  -0.154 -0.984  -0.064 -1.073  0.025 -1.163  0.036 -1.284  0.036 -1.411  0.036 -1.537  0.036 -1.664  0.054 -1.783  0.144 -1.872  0.233 -1.961
2#app#app32#app3219/d  -0.323 -0.745  -0.468 -0.673  -0.602 -0.663  -0.683 -0.791  -0.683 -0.952  -0.683 -1.113  -0.683 -1.274  -0.593 -1.345  -0.431 -1.345  -0.323 -1.292  -0.229 -1.225  -0.192 -1.094  -0.080 -0.979  -0.008 -0.835  0.037 -0.684  0.037 -0.523  0.053 -0.368  0.157 -0.250  0.157 -0.089  0.157 0.073  0.219 0.219  0.277 0.367  0.277 0.528  0.277 0.689  0.277 0.851  0.277 1.012  0.277 1.173  0.277 1.334  0.277 1.496  0.277 1.657  0.277 1.732  0.193 1.655  0.157 1.530  0.157 1.368  0.157 1.207  0.157 1.046  0.157 0.885  0.116 0.733  0.044 0.589  0.037 0.429  0.037 0.268  0.037 0.107  0.037 -0.054  0.037 -0.216  0.087 -0.365  0.157 -0.510  0.157 -0.671  0.157 -0.832  0.248 -0.956  0.277 -1.105
2#app#app32#app3219/n  -0.301 0.947  -0.301 0.794  -0.301 0.640  -0.301 0.487  -0.398 0.430  -0.551 0.430  -0.704 0.430  -0.857 0.430  -1.010 0.430  -1.076 0.343  -1.076 0.190  -1.076 0.036  -1.054 -0.108  -0.946 -0.216  -0.837 -0.324  -0.818 -0.219  -0.803 -0.072  -0.695 0.037  -0.587 0.145  -0.559 0.287  -0.550 0.430  -0.397 0.430  -0.260 0.471  -0.152 0.580  -0.044 0.688  0.065 0.796  0.173 0.905  0.308 0.947  0.462 0.947  0.473 0.805  0.473 0.652  0.473 0.499  0.473 0.346  0.473 0.192  0.473 0.039  0.473 -0.114  0.473 -0.267  0.473 -0.420  0.473 -0.573  0.473 -0.726  0.493 -0.860  0.646 -0.860  0.731 -0.928  0.731 -1.081  0.813 -1.200  0.921 -1.309  1.046 -1.377  1.200 -1.377  1.353 -1.377  1.506 -1.377
2#app#app32#app3219/'  0.547 1.462  0.547 1.388  0.547 1.313  0.547 1.239  0.547 1.165  0.531 1.106  0.457 1.106  0.383 1.106  0.308 1.106  0.234 1.106  0.177 1.078  0.144 1.011  0.111 0.945  0.077 0.878  0.044 0.812  0.011 0.745  -0.022 0.679  -0.056 0.612  -0.089 0.546  -0.122 0.479  -0.155 0.413  -0.164 0.341  -0.164 0.266  -0.164 0.192  -0.164 0.118  -0.164 0.043  -0.164 -0.031  -0.164 -0.105  -0.164 -0.180  -0.164 -0.254  -0.164 -0.328  -0.164 -0.403  -0.164 -0.477  -0.164 -0.551  -0.164 -0.625  -0.164 -0.700  -0.164 -0.774  -0.164 -0.848  -0.164 -0.923  -0.164 -0.997  -0.164 -1.071  -0.164 -1.146  -0.164 -1.220  -0.164 -1.294  -0.164 -1.369  -0.164 -1.443  -0.164 -1.517  -0.164 -1.592  -0.164 -1.666  -0.164 -1.740
2#app#app32#app3219/t  0.496 2.106  0.496 1.970  0.496 1.835  0.496 1.699  0.496 1.563  0.436 1.442  0.375 1.320  0.314 1.199  0.254 1.077  0.225 0.949  0.225 0.813  0.193 0.684  0.132 0.563  0.089 0.438  0.077 0.304  0.034 0.175  -0.009 0.046  -0.047 -0.083  -0.047 -0.219  -0.058 -0.350  -0.154 -0.446  -0.183 -0.570  -0.183 -0.706  -0.183 -0.842  -0.183 -0.977  -0.183 -1.113  -0.183 -1.249  -0.089 -1.290  -0.047 -1.385  0.047 -1.426  0.039 -1.347  -0.033 -1.231  -0.105 -1.116  -0.177 -1.001  -0.249 -0.886  -0.321 -0.771  -0.393 -0.656  -0.465 -0.541  -0.537 -0.426  -0.567 -0.315  -0.471 -0.219  -0.455 -0.090  -0.375 0.013  -0.262 0.068  -0.126 0.068  -0.007 0.108  0.089 0.204  0.225 0.204  0.361 0.204  0.496 0.204
2#app#app32#app3219/.  0.457 -1.867  0.457 -1.714  0.457 -1.562  0.457 -1.410  0.457 -1.257  0.457 -1.105  0.457 -0.952  0.457 -0.800  0.457 -0.648  0.457 -0.495  0.457 -0.343  0.457 -0.191  0.457 -0.038  0.343 0.000  0.190 0.000  0.038 0.000  -0.114 0.000  -0.267 0.000  -0.419 0.000  -0.571 0.000  -0.724 0.000  -0.876 0.000  -1.029 0.000  -1.181 0.000  -1.333 0.000  -1.333 0.000  -1.181 0.000  -1.029 0.000  -0.876 0.000  -0.724 0.000  -0.571 0.000  -0.419 0.000  -0.267 0.000  -0.114 0.000  0.038 0.000  0.190 0.000  0.343 0.000  0.457 0.038  0.457 0.191  0.457 0.343  0.457 0.495  0.457 0.648  0.457 0.800  0.457 0.952  0.457 1.105  0.457 1.257  0.457 1.410  0.457 1.562  0.457 1.714  0.457 1.867
