3#app#app35#app3564/w  -1.356 1.303  -1.356 1.131  -1.304 0.971  -1.243 0.814  -1.243 0.641  -1.133 0.515  -1.055 0.362  -1.017 0.199  -0.994 0.036  -0.884 -0.094  -0.807 -0.248  -0.695 -0.376  -0.653 -0.531  -0.565 -0.667  -0.490 -0.807  -0.446 -0.959  -0.339 -0.894  -0.339 -0.722  -0.339 -0.550  -0.339 -0.378  -0.339 -0.206  -0.324 -0.040  -0.226 0.091  -0.226 0.263  -0.199 0.425  -0.063 0.511  0.109 0.511  0.251 0.463  0.328 0.309  0.363 0.149  0.453 0.015  0.453 -0.157  0.568 -0.282  0.679 -0.408  0.679 -0.580  0.773 -0.713  0.895 -0.835  1.016 -0.957  1.018 -0.789  1.018 -0.617  1.018 -0.445  1.018 -0.273  0.989 -0.108  0.912 0.046  0.905 0.216  0.905 0.389  0.905 0.561  0.905 0.733  0.905 0.905  0.905 1.077
3#app#app35#app3564/o  0.747 0.860  0.595 0.860  0.442 0.860  0.290 0.860  0.137 0.860  -0.005 0.835  -0.112 0.727  -0.245 0.679  -0.381 0.640  -0.489 0.532  -0.627 0.497  -0.705 0.423  -0.737 0.284  -0.845 0.176  -0.887 0.041  -0.951 -0.047  -1.068 -0.082  -1.068 -0.235  -1.068 -0.387  -1.068 -0.539  -1.068 -0.692  -1.018 -0.824  -0.911 -0.931  -0.768 -0.955  -0.616 -0.955  -0.463 -0.955  -0.311 -0.955  -0.158 -0.955  -0.006 -0.955  0.147 -0.955  0.299 -0.955  0.432 -0.907  0.540 -0.800  0.681 -0.774  0.808 -0.712  0.916 -0.605  0.929 -0.457  0.929 -0.305  0.929 -0.152  0.929 -0.000  0.916 0.147  0.808 0.255  0.747 0.382  0.721 0.524  0.613 0.631  0.566 0.764  0.526 0.900  0.418 1.008  0.310 1.116  0.202 1.224
3#app#app35#app3564/u  -0.810 1.013  -0.700 1.013  -0.672 0.979  -0.750 0.901  -0.810 0.816  -0.810 0.706  -0.810 0.596  -0.818 0.489  -0.895 0.411  -0.973 0.333  -0.983 0.227  -0.983 0.117  -0.983 0.007  -0.983 -0.103  -0.968 -0.207  -0.890 -0.285  -0.813 -0.363  -0.810 -0.472  -0.766 -0.537  -0.655 -0.537  -0.573 -0.603  -0.495 -0.681  -0.397 -0.710  -0.287 -0.710  -0.177 -0.710  -0.066 -0.710  0.044 -0.710  0.154 -0.710  0.264 -0.710  0.374 -0.710  0.458 -0.647  0.536 -0.569  0.633 -0.537  0.742 -0.535  0.820 -0.457  0.897 -0.380  0.912 -0.275  0.931 -0.173  1.009 -0.096  1.084 -0.017  1.084 0.093  1.084 0.203  1.084 0.314  1.084 0.424  1.057 0.523  0.980 0.600  0.912 0.682  0.912 0.792  0.912 0.903  0.912 1.013
3#app#app35#app3564/s  0.396 1.026  0.396 1.157  0.269 1.160  0.262 1.285  0.141 1.295  0.022 1.242  -0.095 1.183  -0.221 1.160  -0.330 1.106  -0.423 1.014  -0.515 0.921  -0.608 0.828  -0.710 0.757  -0.833 0.738  -0.926 0.645  -0.949 0.523  -0.949 0.392  -0.949 0.261  -0.949 0.130  -0.949 -0.001  -0.866 -0.050  -0.758 -0.106  -0.660 -0.185  -0.529 -0.185  -0.397 -0.185  -0.267 -0.189  -0.150 -0.248  -0.033 -0.307  0.096 -0.319  0.227 -0.319  0.358 -0.319  0.489 -0.319  0.620 -0.319  0.726 -0.380  0.827 -0.454  0.958 -0.454  1.069 -0.474  1.069 -0.605  1.059 -0.732  0.967 -0.825  0.874 -0.918  0.773 -0.992  0.642 -0.992  0.511 -0.992  0.380 -0.992  0.249 -0.992  0.117 -0.992  -0.014 -0.992  -0.145 -0.992  -0.276 -0.992
3#app#app35#app3564/h  -0.577 1.890  -0.577 1.767  -0.577 1.644  -0.577 1.522  -0.577 1.399  -0.577 1.276  -0.577 1.153  -0.577 1.031  -0.577 0.908  -0.563 0.787  -0.524 0.671  -0.485 0.554  -0.460 0.436  -0.460 0.313  -0.460 0.190  -0.460 0.068  -0.460 -0.055  -0.460 -0.178  -0.427 -0.293  -0.372 -0.403  -0.342 -0.519  -0.342 -0.641  -0.342 -0.764  -0.342 -0.887  -0.342 -1.010  -0.342 -0.972  -0.342 -0.849  -0.251 -0.817  -0.224 -0.721  -0.153 -0.628  -0.066 -0.541  0.017 -0.452  0.072 -0.342  0.127 -0.232  0.213 -0.144  0.299 -0.058  0.395 0.007  0.518 0.007  0.641 0.007  0.764 0.007  0.871 -0.029  0.958 -0.116  1.045 -0.203  1.070 -0.315  1.070 -0.438  1.070 -0.561  1.070 -0.684  1.070 -0.806  1.070 -0.929  1.070 -1.052
3#app#app35#app3564/o  0.171 1.149  0.027 1.149  -0.029 1.060  -0.062 0.949  -0.206 0.949  -0.351 0.949  -0.476 0.902  -0.578 0.800  -0.662 0.684  -0.726 0.555  -0.791 0.425  -0.871 0.307  -0.973 0.205  -1.030 0.084  -1.030 -0.061  -1.030 -0.205  -1.030 -0.350  -1.000 -0.482  -0.898 -0.584  -0.781 -0.652  -0.637 -0.652  -0.532 -0.749  -0.430 -0.851  -0.328 -0.954  -0.225 -1.053  -0.080 -1.053  0.064 -1.053  0.209 -1.053  0.353 -1.053  0.461 -0.963  0.563 -0.861  0.704 -0.853  0.826 -0.798  0.928 -0.696  0.972 -0.570  0.972 -0.425  0.972 -0.281  0.972 -0.136  0.972 0.008  0.967 0.148  0.823 0.148  0.772 0.242  0.745 0.375  0.643 0.477  0.541 0.579  0.439 0.682  0.336 0.784  0.234 0.886  0.116 0.949  -0.029 0.949
3#app#app35#app3564/u  -1.033 1.090  -1.033 0.985  -1.033 0.879  -1.033 0.773  -1.033 0.667  -1.033 0.561  -1.033 0.455  -1.033 0.349  -1.033 0.243  -1.033 0.137  -1.033 0.031  -1.033 -0.074  -1.005 -0.168  -0.930 -0.243  -0.855 -0.318  -0.780 -0.393  -0.705 -0.468  -0.630 -0.543  -0.527 -0.550  -0.421 -0.550  -0.326 -0.596  -0.232 -0.643  -0.137 -0.691  -0.042 -0.738  0.060 -0.755  0.166 -0.755  0.271 -0.755  0.377 -0.755  0.459 -0.697  0.534 -0.623  0.609 -0.548  0.684 -0.473  0.759 -0.398  0.812 -0.314  0.812 -0.208  0.850 -0.140  0.956 -0.140  1.017 -0.095  1.017 0.010  1.017 0.116  1.017 0.222  0.976 0.311  0.901 0.386  0.826 0.461  0.812 0.561  0.812 0.667  0.812 0.773  0.812 0.879  0.812 0.985  0.812 1.090
3#app#app35#app3564/l  -0.061 1.458  -0.061 1.529  -0.061 1.591  -0.061 1.520  -0.061 1.449  -0.061 1.378  -0.061 1.307  -0.061 1.236  -0.061 1.165  -0.061 1.094  -0.061 1.023  -0.061 0.952  -0.061 0.881  -0.061 0.810  -0.061 0.739  -0.061 0.668  -0.061 0.597  -0.061 0.526  -0.061 0.455  -0.061 0.384  -0.061 0.313  -0.061 0.242  -0.061 0.171  -0.061 0.100  -0.061 0.029  -0.061 -0.042  -0.037 -0.107  -0.005 -0.171  0.027 -0.234  0.058 -0.298  0.077 -0.364  0.077 -0.435  0.077 -0.506  0.077 -0.577  0.077 -0.648  0.077 -0.719  0.077 -0.790  0.077 -0.861  0.077 -0.932  0.077 -1.003  0.077 -1.074  0.077 -1.145  0.077 -1.216  0.077 -1.287  0.077 -1.358  0.077 -1.429  0.077 -1.500  0.077 -1.571  0.077 -1.642  0.077 -1.713
3#app#app35#app3564/d  0.393 -0.577  0.500 -0.468  0.449 -0.264  0.393 -0.062  0.221 0.020  0.022 0.060  -0.194 0.060  -0.410 0.060  -0.607 -0.015  -0.816 -0.046  -0.912 -0.183  -1.065 -0.335  -1.201 -0.495  -1.201 -0.710  -1.104 -0.886  -0.999 -1.002  -0.812 -1.072  -0.612 -1.108  -0.440 -1.215  -0.224 -1.215  -0.009 -1.215  0.183 -1.189  0.197 -0.974  0.212 -0.758  0.227 -0.543  0.242 -0.328  0.257 -0.113  0.272 0.102  0.286 0.317  0.301 0.532  0.316 0.748  0.331 0.963  0.346 1.178  0.361 1.393  0.375 1.608  0.390 1.823  0.287 1.801  0.287 1.586  0.287 1.370  0.287 1.154  0.287 0.939  0.287 0.723  0.287 0.507  0.287 0.292  0.287 0.076  0.287 -0.140  0.287 -0.355  0.387 -0.471  0.393 -0.680  0.393 -0.896
3#app#app35#app3564/n  -0.980 0.305  -0.980 0.178  -0.980 0.051  -0.980 -0.076  -0.980 -0.202  -0.980 -0.329  -0.901 -0.423  -0.818 -0.515  -0.818 -0.642  -0.818 -0.769  -0.818 -0.896  -0.818 -0.962  -0.818 -0.835  -0.818 -0.708  -0.757 -0.607  -0.668 -0.517  -0.656 -0.395  -0.656 -0.269  -0.628 -0.153  -0.539 -0.064  -0.494 0.044  -0.494 0.171  -0.494 0.298  -0.409 0.389  -0.320 0.479  -0.230 0.569  -0.170 0.671  -0.164 0.791  -0.037 0.791  0.090 0.791  0.217 0.791  0.343 0.791  0.470 0.791  0.562 0.707  0.656 0.629  0.783 0.629  0.802 0.521  0.853 0.416  0.943 0.326  1.032 0.236  1.122 0.147  1.126 0.022  1.212 -0.020  1.288 -0.070  1.288 -0.196  1.288 -0.323  1.288 -0.450  1.288 -0.576  1.288 -0.703  1.288 -0.830
3#app#app35#app3564/'  1.080 1.080  0.992 1.080  0.904 1.080  0.816 1.080  0.727 1.080  0.639 1.080  0.551 1.080  0.463 1.080  0.375 1.080  0.287 1.080  0.198 1.080  0.110 1.080  0.022 1.080  0.000 1.014  0.000 0.926  0.000 0.838  0.000 0.749  0.000 0.661  0.000 0.573  0.000 0.485  0.000 0.397  0.000 0.309  0.000 0.220  0.000 0.132  0.000 0.044  0.000 -0.044  0.000 -0.132  0.000 -0.220  0.000 -0.309  0.000 -0.397  0.000 -0.485  0.000 -0.573  0.000 -0.661  0.000 -0.749  0.000 -0.838  0.000 -0.926  0.000 -1.014  -0.022 -1.080  -0.110 -1.080  -0.198 -1.080  -0.287 -1.080  -0.375 -1.080  -0.463 -1.080  -0.551 -1.080  -0.639 -1.080  -0.727 -1.080  -0.816 -1.080  -0.904 -1.080  -0.992 -1.080  -1.080 -1.080
3#app#app35#app3564/t  0.518 1.830  0.518 1.651  0.518 1.473  0.401 1.343  0.333 1.193  0.333 1.014  0.333 0.836  0.333 0.658  0.333 0.479  0.333 0.301  0.333 0.123  0.333 -0.056  0.333 -0.234  0.316 -0.405  0.190 -0.531  0.148 -0.692  0.148 -0.871  0.148 -1.049  0.148 -1.227  0.148 -1.406  0.094 -1.429  -0.018 -1.290  -0.129 -1.150  -0.241 -1.011  -0.352 -0.872  -0.463 -0.733  -0.575 -0.593  -0.686 -0.454  -0.798 -0.315  -0.909 -0.176  -1.020 -0.036  -1.132 0.103  -1.243 0.242  -1.292 0.351  -1.113 0.351  -0.935 0.351  -0.757 0.351  -0.582 0.342  -0.456 0.216  -0.298 0.166  -0.120 0.166  0.059 0.166  0.237 0.166  0.415 0.166  0.594 0.166  0.772 0.166  0.944 0.138  1.103 0.058  1.263 -0.019  1.442 -0.019
3#app#app35#app3564/o  0.204 0.172  0.204 0.327  0.204 0.482  0.051 0.483  -0.105 0.483  -0.260 0.483  -0.415 0.483  -0.570 0.483  -0.681 0.377  -0.790 0.267  -0.900 0.158  -1.009 0.048  -1.090 -0.082  -1.160 -0.221  -1.197 -0.367  -1.197 -0.522  -1.147 -0.656  -1.036 -0.762  -0.882 -0.765  -0.773 -0.875  -0.635 -0.918  -0.480 -0.918  -0.325 -0.918  -0.170 -0.918  -0.015 -0.918  0.140 -0.918  0.295 -0.918  0.450 -0.918  0.579 -0.854  0.688 -0.745  0.798 -0.635  0.941 -0.606  0.983 -0.493  0.983 -0.338  0.983 -0.183  0.983 -0.028  0.983 0.127  0.983 0.282  0.983 0.437  0.906 0.560  0.796 0.670  0.686 0.780  0.577 0.889  0.467 0.999  0.357 1.106  0.202 1.106  0.047 1.106  -0.108 1.106  -0.263 1.105  -0.263 0.950
3#app#app35#app3564/f  0.917 0.738  0.917 0.874  0.917 1.009  0.824 1.052  0.725 1.139  0.701 1.260  0.570 1.277  0.449 1.338  0.320 1.365  0.185 1.365  0.050 1.365  -0.023 1.301  -0.089 1.194  -0.127 1.074  -0.207 0.972  -0.231 0.847  -0.240 0.713  -0.283 0.585  -0.325 0.456  -0.336 0.323  -0.336 0.187  -0.336 0.052  -0.336 -0.083  -0.336 -0.218  -0.336 -0.354  -0.300 -0.481  -0.240 -0.602  -0.231 -0.735  -0.231 -0.870  -0.231 -1.005  -0.231 -1.141  -0.231 -1.276  -0.266 -1.298  -0.341 -1.185  -0.416 -1.072  -0.491 -0.960  -0.566 -0.847  -0.641 -0.735  -0.544 -0.706  -0.497 -0.619  -0.362 -0.619  -0.226 -0.619  -0.091 -0.619  0.044 -0.619  0.179 -0.619  0.315 -0.619  0.450 -0.619  0.585 -0.619  0.717 -0.627  0.812 -0.723
