2#tos#f2#f2025065/\"  -0.096 1.747  -0.266 1.747  -0.437 1.747  -0.466 1.606  -0.466 1.436  -0.466 1.265  -0.466 1.094  -0.466 0.924  -0.466 0.753  -0.466 0.583  -0.466 0.412  -0.466 0.242  -0.466 0.071  -0.466 -0.100  -0.466 -0.270  -0.466 -0.441  -0.466 -0.611  -0.466 -0.782  -0.466 -0.953  -0.466 -1.123  -0.466 -1.294  -0.403 -1.402  -0.233 -1.402  -0.062 -1.402  0.090 -1.383  0.090 -1.212  0.090 -1.042  0.090 -0.871  0.090 -0.701  0.090 -0.530  0.090 -0.359  0.090 -0.189  0.090 -0.018  0.162 0.080  0.289 0.136  0.330 0.302  0.372 0.467  0.413 0.632  0.454 0.798  0.607 0.821  0.645 0.689  0.645 0.519  0.645 0.348  0.645 0.178  0.645 0.007  0.645 -0.164  0.645 -0.334  0.645 -0.505  0.645 -0.675  0.645 -0.846
2#tos#f2#f2025065/@  -0.131 -0.574  -0.131 -0.760  -0.233 -0.844  -0.351 -0.911  -0.537 -0.911  -0.722 -0.911  -0.873 -0.876  -0.940 -0.706  -0.940 -0.521  -0.940 -0.335  -0.859 -0.179  -0.813 0.001  -0.806 0.186  -0.789 0.369  -0.744 0.550  -0.660 0.706  -0.629 0.889  -0.578 1.057  -0.434 1.164  -0.328 1.314  -0.142 1.314  0.015 1.382  0.201 1.382  0.387 1.382  0.544 1.314  0.628 1.163  0.750 1.026  0.795 0.846  0.813 0.663  0.813 0.477  0.813 0.291  0.813 0.106  0.813 -0.080  0.813 -0.266  0.803 -0.446  0.648 -0.549  0.566 -0.707  0.543 -0.889  0.390 -0.954  0.277 -1.046  0.092 -1.046  -0.018 -0.957  -0.131 -0.818  -0.131 -0.633  -0.074 -0.460  0.070 -0.372  0.139 -0.254  0.239 -0.169  0.425 -0.169  0.543 -0.237
2#tos#f2#f2025065/[  0.518 1.117  0.484 1.174  0.393 1.174  0.345 1.131  0.268 1.117  0.176 1.117  0.085 1.117  -0.000 1.089  -0.085 1.059  -0.176 1.059  -0.268 1.059  -0.359 1.059  -0.451 1.059  -0.388 1.059  -0.350 1.006  -0.350 0.914  -0.322 0.829  -0.292 0.745  -0.292 0.653  -0.251 0.572  -0.234 0.484  -0.174 0.417  -0.133 0.335  -0.118 0.247  -0.118 0.155  -0.118 0.064  -0.118 -0.028  -0.118 -0.119  -0.118 -0.211  -0.118 -0.302  -0.098 -0.390  -0.069 -0.477  -0.060 -0.567  -0.060 -0.659  -0.060 -0.750  -0.060 -0.842  -0.060 -0.934  -0.060 -1.025  -0.060 -1.117  -0.060 -1.208  -0.060 -1.300  0.017 -1.313  0.109 -1.313  0.200 -1.313  0.292 -1.313  0.383 -1.313  0.475 -1.313  0.567 -1.313  0.658 -1.313  0.692 -1.371
2#tos#f2#f2025065/{  0.147 1.563  0.058 1.563  -0.032 1.563  -0.121 1.563  -0.136 1.488  -0.136 1.399  -0.088 1.356  -0.088 1.267  -0.088 1.177  -0.088 1.088  -0.088 0.998  -0.088 0.909  -0.041 0.839  -0.041 0.749  -0.041 0.660  -0.041 0.570  -0.009 0.494  0.037 0.418  0.053 0.333  0.053 0.243  0.053 0.154  0.053 0.064  0.019 0.009  -0.070 0.009  -0.160 0.009  -0.163 0.056  -0.088 0.041  -0.078 -0.038  0.006 -0.044  0.006 -0.133  0.006 -0.223  0.006 -0.312  0.006 -0.402  0.006 -0.491  0.006 -0.581  0.006 -0.670  0.006 -0.760  0.053 -0.802  0.053 -0.891  0.053 -0.981  0.053 -1.070  0.100 -1.113  0.100 -1.202  0.100 -1.292  0.100 -1.381  0.100 -1.471  0.100 -1.560  0.100 -1.650  0.105 -1.734  0.147 -1.781
2#tos#f2#f2025065/|  0.075 1.582  0.002 1.582  -0.071 1.582  -0.074 1.512  -0.043 1.452  -0.025 1.387  -0.025 1.313  -0.025 1.240  -0.025 1.167  -0.025 1.094  -0.025 1.021  -0.025 0.947  -0.025 0.874  -0.025 0.801  -0.025 0.728  -0.021 0.655  -0.014 0.582  -0.006 0.509  0.002 0.436  0.009 0.364  0.017 0.291  0.025 0.218  0.032 0.145  0.040 0.073  0.048 -0.000  0.055 -0.073  0.063 -0.146  0.071 -0.219  0.043 -0.260  -0.025 -0.265  -0.025 -0.338  -0.025 -0.412  -0.025 -0.485  -0.025 -0.558  -0.025 -0.631  -0.025 -0.704  -0.025 -0.777  -0.025 -0.851  -0.025 -0.924  -0.025 -0.997  -0.012 -1.069  0.002 -1.141  0.017 -1.212  0.025 -1.285  0.025 -1.358  0.025 -1.431  0.025 -1.504  0.025 -1.578  0.058 -1.637  0.075 -1.703
2#tos#f2#f2025065/~  -1.379 -0.232  -1.469 -0.232  -1.458 -0.232  -1.368 -0.232  -1.278 -0.232  -1.206 -0.189  -1.142 -0.125  -1.079 -0.061  -1.015 0.002  -0.965 0.076  -0.925 0.157  -0.885 0.237  -0.844 0.318  -0.804 0.399  -0.764 0.479  -0.715 0.547  -0.625 0.547  -0.535 0.547  -0.445 0.547  -0.355 0.547  -0.265 0.547  -0.175 0.547  -0.085 0.547  0.005 0.547  0.070 0.505  0.110 0.424  0.150 0.344  0.179 0.260  0.179 0.170  0.233 0.103  0.297 0.039  0.308 -0.046  0.339 -0.117  0.420 -0.158  0.500 -0.198  0.582 -0.232  0.672 -0.232  0.743 -0.278  0.807 -0.341  0.871 -0.405  0.935 -0.469  1.015 -0.492  1.105 -0.492  1.195 -0.492  1.286 -0.492  1.376 -0.492  1.466 -0.492  1.556 -0.492  1.646 -0.492  1.736 -0.492
2#tos#f2#f2025065/1  0.275 1.614  0.210 1.608  0.210 1.537  0.210 1.467  0.210 1.396  0.210 1.325  0.210 1.254  0.210 1.183  0.210 1.113  0.210 1.042  0.210 0.971  0.166 0.918  0.116 0.868  0.076 0.813  0.062 0.743  0.048 0.674  0.034 0.605  0.020 0.535  0.014 0.465  0.014 0.394  0.014 0.323  0.014 0.252  -0.015 0.188  -0.046 0.125  -0.063 0.057  -0.077 -0.013  -0.090 -0.082  -0.104 -0.152  -0.116 -0.221  -0.116 -0.292  -0.116 -0.363  -0.116 -0.434  -0.116 -0.505  -0.116 -0.575  -0.116 -0.646  -0.116 -0.717  -0.116 -0.788  -0.116 -0.859  -0.116 -0.929  -0.116 -1.000  -0.116 -1.071  -0.116 -1.142  -0.116 -1.213  -0.116 -1.283  -0.116 -1.354  -0.116 -1.425  -0.116 -1.496  -0.116 -1.567  -0.116 -1.637  -0.116 -1.708
2#tos#f2#f2025065/2  -0.268 1.307  -0.396 1.307  -0.496 1.318  -0.389 1.367  -0.262 1.367  -0.134 1.367  -0.013 1.351  0.096 1.307  0.163 1.247  0.231 1.187  0.270 1.099  0.270 0.971  0.270 0.844  0.270 0.717  0.228 0.607  0.150 0.511  0.150 0.384  0.150 0.257  0.109 0.171  -0.004 0.136  -0.094 0.046  -0.171 -0.054  -0.228 -0.168  -0.285 -0.282  -0.358 -0.377  -0.479 -0.418  -0.551 -0.514  -0.658 -0.547  -0.786 -0.547  -0.854 -0.642  -0.926 -0.707  -0.877 -0.786  -0.750 -0.786  -0.623 -0.786  -0.495 -0.786  -0.368 -0.786  -0.240 -0.786  -0.113 -0.786  0.014 -0.786  0.142 -0.786  0.269 -0.786  0.397 -0.786  0.524 -0.786  0.647 -0.760  0.769 -0.726  0.897 -0.726  1.024 -0.726  1.151 -0.726  1.279 -0.726  1.346 -0.786
2#tos#f2#f2025065/3  0.204 0.941  0.152 0.993  0.047 0.993  -0.000 1.087  -0.098 1.098  -0.203 1.098  -0.177 1.151  -0.072 1.151  0.033 1.151  0.138 1.151  0.242 1.151  0.338 1.110  0.440 1.098  0.466 1.020  0.466 0.915  0.466 0.810  0.466 0.705  0.443 0.616  0.346 0.578  0.248 0.539  0.201 0.465  0.127 0.391  0.040 0.334  -0.006 0.258  -0.030 0.159  -0.040 0.065  0.022 -0.004  0.066 -0.076  0.140 -0.150  0.191 -0.241  0.204 -0.343  0.204 -0.447  0.204 -0.552  0.204 -0.657  0.204 -0.762  0.204 -0.867  0.182 -0.954  0.080 -0.979  -0.017 -1.012  -0.092 -1.086  -0.188 -1.106  -0.271 -1.160  -0.351 -1.226  -0.445 -1.271  -0.543 -1.310  -0.640 -1.349  -0.741 -1.368  -0.846 -1.368  -0.951 -1.368  -1.055 -1.368
2#tos#f2#f2025065/5  0.224 1.533  0.031 1.533  -0.098 1.460  -0.259 1.353  -0.266 1.163  -0.373 1.002  -0.385 0.812  -0.385 0.619  -0.435 0.446  -0.446 0.258  -0.446 0.064  -0.508 -0.114  -0.629 -0.186  -0.614 -0.373  -0.440 -0.419  -0.246 -0.419  -0.055 -0.410  0.130 -0.358  0.324 -0.358  0.456 -0.456  0.468 -0.647  0.468 -0.840  0.404 -0.971  0.260 -1.090  0.120 -1.176  0.041 -1.351  -0.081 -1.469  -0.195 -1.604  -0.267 -1.522  -0.272 -1.329  -0.277 -1.136  -0.282 -0.943  -0.287 -0.749  -0.292 -0.556  -0.297 -0.363  -0.302 -0.169  -0.307 0.024  -0.312 0.217  -0.317 0.411  -0.323 0.604  -0.206 0.679  -0.013 0.679  0.180 0.679  0.371 0.691  0.544 0.778  0.732 0.801  0.925 0.801  1.119 0.801  1.312 0.801  1.505 0.801
2#tos#f2#f2025065/6  0.618 1.254  0.618 1.375  0.618 1.497  0.618 1.619  0.505 1.629  0.403 1.609  0.392 1.489  0.354 1.373  0.284 1.274  0.211 1.176  0.162 1.066  0.124 0.950  0.085 0.835  0.015 0.736  -0.058 0.638  -0.118 0.532  -0.173 0.423  -0.201 0.306  -0.221 0.186  -0.243 0.066  -0.289 -0.047  -0.334 -0.161  -0.386 -0.271  -0.440 -0.380  -0.495 -0.489  -0.508 -0.608  -0.508 -0.730  -0.508 -0.851  -0.508 -0.973  -0.508 -1.095  -0.506 -1.217  -0.447 -1.319  -0.325 -1.319  -0.203 -1.319  -0.140 -1.243  -0.041 -1.174  0.045 -1.088  0.131 -1.002  0.232 -0.933  0.296 -0.846  0.296 -0.724  0.296 -0.602  0.296 -0.480  0.296 -0.358  0.296 -0.236  0.221 -0.169  0.104 -0.140  0.004 -0.086  -0.118 -0.086  -0.240 -0.086
2#tos#f2#f2025065/7  -0.130 1.081  -0.211 1.128  -0.318 1.080  -0.408 0.990  -0.449 0.869  -0.503 0.754  -0.543 0.633  -0.596 0.518  -0.596 0.391  -0.596 0.263  -0.689 0.194  -0.689 0.066  -0.659 0.073  -0.605 0.188  -0.551 0.303  -0.497 0.418  -0.442 0.534  -0.388 0.649  -0.334 0.764  -0.230 0.802  -0.103 0.802  0.024 0.802  0.151 0.802  0.279 0.802  0.406 0.802  0.533 0.802  0.569 0.710  0.569 0.583  0.569 0.455  0.569 0.328  0.569 0.201  0.539 0.077  0.482 -0.031  0.429 -0.137  0.429 -0.264  0.388 -0.379  0.336 -0.490  0.336 -0.618  0.290 -0.734  0.243 -0.850  0.243 -0.978  0.243 -1.105  0.243 -1.232  0.243 -1.360  0.212 -1.482  0.196 -1.607  0.134 -1.715  0.103 -1.833  0.103 -1.960  0.103 -2.088
2#tos#f2#f2025065/B  -0.285 1.206  -0.272 1.437  -0.227 1.239  -0.227 0.996  -0.271 0.757  -0.313 0.517  -0.388 0.294  -0.400 0.056  -0.436 -0.184  -0.516 -0.411  -0.574 -0.641  -0.663 -0.848  -0.689 -1.080  -0.747 -1.300  -0.723 -1.363  -0.658 -1.128  -0.593 -0.893  -0.529 -0.659  -0.464 -0.424  -0.400 -0.189  -0.335 0.046  -0.271 0.280  -0.206 0.515  -0.141 0.750  -0.053 0.976  0.004 1.206  0.199 1.322  0.443 1.322  0.640 1.231  0.852 1.153  0.871 0.925  0.817 0.694  0.667 0.512  0.514 0.333  0.309 0.203  0.085 0.120  -0.009 0.051  0.234 0.051  0.420 -0.007  0.664 -0.007  0.823 -0.143  0.871 -0.375  0.871 -0.618  0.773 -0.839  0.585 -0.987  0.383 -1.098  0.180 -1.163  -0.029 -1.278  -0.272 -1.278  -0.516 -1.278
2#tos#f2#f2025065/C  0.506 0.784  0.506 0.890  0.506 0.995  0.506 1.101  0.517 1.195  0.564 1.254  0.517 1.312  0.411 1.312  0.319 1.266  0.232 1.207  0.146 1.145  0.062 1.082  -0.023 1.018  -0.086 0.934  -0.149 0.849  -0.209 0.762  -0.256 0.668  -0.304 0.573  -0.381 0.506  -0.469 0.447  -0.492 0.353  -0.492 0.248  -0.492 0.142  -0.548 0.054  -0.607 -0.034  -0.609 -0.139  -0.609 -0.245  -0.609 -0.351  -0.609 -0.456  -0.609 -0.562  -0.609 -0.668  -0.609 -0.773  -0.591 -0.868  -0.496 -0.915  -0.402 -0.962  -0.321 -1.029  -0.218 -1.035  -0.112 -1.035  -0.007 -1.035  0.099 -1.035  0.204 -1.035  0.310 -1.035  0.416 -1.035  0.521 -1.035  0.599 -0.982  0.658 -0.894  0.742 -0.855  0.789 -0.760  0.874 -0.704  0.916 -0.624
2#tos#f2#f2025065/D  0.021 1.576  -0.090 1.605  -0.153 1.434  -0.200 1.246  -0.261 1.062  -0.318 0.876  -0.350 0.685  -0.368 0.492  -0.407 0.314  -0.537 0.173  -0.569 -0.018  -0.606 -0.209  -0.646 -0.398  -0.646 -0.592  -0.646 -0.786  -0.757 -0.934  -0.757 -1.128  -0.757 -1.322  -0.757 -1.224  -0.664 -1.061  -0.587 -0.882  -0.510 -0.704  -0.432 -0.526  -0.355 -0.348  -0.278 -0.170  -0.201 0.009  -0.124 0.187  -0.047 0.365  0.030 0.543  0.107 0.721  0.184 0.899  0.316 0.965  0.500 0.920  0.645 0.794  0.813 0.715  0.930 0.566  1.114 0.520  1.189 0.401  1.180 0.208  1.133 0.020  1.006 -0.125  0.919 -0.298  0.786 -0.439  0.616 -0.523  0.469 -0.645  0.311 -0.753  0.149 -0.859  0.009 -0.993  -0.149 -1.100  -0.257 -1.259
2#tos#f2#f2025065/E  0.011 1.207  -0.177 1.207  -0.167 1.207  0.021 1.207  0.201 1.251  0.383 1.286  0.571 1.286  0.759 1.286  0.667 1.234  0.491 1.167  0.316 1.100  0.140 1.033  -0.037 0.969  -0.162 0.859  -0.257 0.711  -0.332 0.543  -0.423 0.378  -0.469 0.196  -0.532 0.021  -0.623 -0.137  -0.623 -0.325  -0.657 -0.510  -0.702 -0.693  -0.781 -0.863  -0.781 -1.051  -0.820 -1.223  -0.657 -1.248  -0.469 -1.248  -0.281 -1.248  -0.092 -1.248  0.094 -1.225  0.281 -1.208  0.453 -1.169  0.605 -1.132  0.689 -1.044  0.575 -0.894  0.461 -0.744  0.348 -0.594  0.234 -0.444  0.120 -0.294  0.006 -0.144  -0.107 0.006  -0.262 0.035  -0.258 -0.015  -0.093 0.059  0.096 0.059  0.278 0.095  0.466 0.098  0.654 0.098  0.842 0.098
2#tos#f2#f2025065/F  -0.066 1.008  -0.222 1.008  -0.145 1.046  0.009 1.065  0.163 1.085  0.319 1.085  0.475 1.085  0.632 1.085  0.788 1.085  0.944 1.085  0.929 1.003  0.773 0.988  0.617 0.972  0.462 0.957  0.306 0.941  0.150 0.931  0.019 0.885  -0.056 0.758  -0.152 0.652  -0.235 0.525  -0.259 0.372  -0.259 0.216  -0.310 0.069  -0.336 -0.082  -0.376 -0.229  -0.446 -0.369  -0.486 -0.520  -0.490 -0.676  -0.490 -0.832  -0.490 -0.988  -0.507 -1.142  -0.529 -1.296  -0.529 -1.452  -0.567 -1.593  -0.531 -1.487  -0.489 -1.336  -0.447 -1.186  -0.404 -1.035  -0.362 -0.885  -0.320 -0.734  -0.277 -0.584  -0.235 -0.433  -0.118 -0.381  0.038 -0.381  0.194 -0.381  0.351 -0.381  0.507 -0.381  0.663 -0.381  0.820 -0.381  0.976 -0.381
2#tos#f2#f2025065/I  -0.422 1.225  -0.308 1.225  -0.194 1.225  -0.089 1.262  0.023 1.269  0.136 1.269  0.250 1.269  0.364 1.269  0.478 1.269  0.470 1.254  0.359 1.226  0.249 1.199  0.182 1.137  0.114 1.046  0.054 0.952  0.054 0.838  0.011 0.742  -0.033 0.642  -0.076 0.541  -0.076 0.428  -0.076 0.314  -0.099 0.204  -0.119 0.093  -0.119 -0.020  -0.119 -0.134  -0.119 -0.248  -0.119 -0.361  -0.119 -0.475  -0.119 -0.589  -0.162 -0.684  -0.187 -0.788  -0.246 -0.867  -0.350 -0.912  -0.455 -0.957  -0.564 -0.980  -0.638 -1.019  -0.571 -1.066  -0.457 -1.066  -0.344 -1.066  -0.233 -1.056  -0.139 -0.993  -0.029 -0.980  0.085 -0.980  0.199 -0.980  0.312 -0.980  0.423 -0.952  0.534 -0.936  0.648 -0.936  0.762 -0.936  0.875 -0.936
2#tos#f2#f2025065/N  -0.417 1.007  -0.443 1.203  -0.486 1.376  -0.555 1.246  -0.555 1.047  -0.555 0.848  -0.555 0.649  -0.555 0.450  -0.555 0.251  -0.555 0.053  -0.555 -0.146  -0.555 -0.345  -0.555 -0.544  -0.555 -0.743  -0.555 -0.942  -0.556 -1.088  -0.562 -0.889  -0.567 -0.690  -0.573 -0.491  -0.579 -0.293  -0.584 -0.094  -0.590 0.105  -0.596 0.304  -0.601 0.503  -0.686 0.576  -0.594 0.400  -0.474 0.245  -0.374 0.074  -0.261 -0.089  -0.168 -0.265  -0.055 -0.429  0.068 -0.585  0.228 -0.699  0.388 -0.813  0.487 -0.984  0.630 -1.100  0.783 -1.140  0.875 -0.998  0.902 -0.804  0.921 -0.608  0.929 -0.412  1.049 -0.252  1.059 -0.057  1.059 0.142  1.059 0.341  1.059 0.540  1.059 0.739  1.059 0.938  1.102 1.132  1.106 1.330
