2#app#app19#app1935/{  0.174 1.533  0.112 1.616  0.061 1.503  0.008 1.519  -0.091 1.449  -0.237 1.449  -0.299 1.366  -0.326 1.246  -0.409 1.184  -0.409 1.038  -0.351 0.949  -0.326 0.829  -0.309 0.699  -0.242 0.620  -0.159 0.509  -0.098 0.388  -0.076 0.251  -0.076 0.105  -0.076 -0.041  -0.113 -0.171  -0.159 -0.298  -0.242 -0.361  -0.331 -0.468  -0.409 -0.400  -0.409 -0.254  -0.409 -0.108  -0.369 0.029  -0.291 0.150  -0.188 0.254  -0.054 0.283  0.092 0.282  0.174 0.170  0.174 0.024  0.174 -0.122  0.174 -0.268  0.174 -0.414  0.133 -0.550  0.091 -0.686  0.091 -0.832  0.091 -0.978  0.091 -1.124  0.144 -1.218  0.174 -1.333  0.258 -1.396  0.332 -1.468  0.478 -1.468  0.620 -1.453  0.751 -1.388  0.880 -1.345  1.008 -1.301
2#app#app19#app1935/e  -1.120 -0.558  -1.120 -0.382  -0.979 -0.346  -0.802 -0.346  -0.626 -0.346  -0.449 -0.346  -0.273 -0.346  -0.096 -0.346  0.040 -0.247  0.169 -0.134  0.346 -0.134  0.476 -0.023  0.608 0.093  0.766 0.172  0.924 0.251  1.091 0.290  1.214 0.344  1.214 0.521  1.214 0.697  1.101 0.827  0.966 0.927  0.789 0.927  0.613 0.927  0.436 0.927  0.259 0.927  0.083 0.927  -0.094 0.927  -0.270 0.927  -0.447 0.927  -0.583 0.828  -0.712 0.715  -0.889 0.715  -0.908 0.557  -0.908 0.381  -0.908 0.204  -0.908 0.027  -0.897 -0.145  -0.772 -0.270  -0.647 -0.395  -0.522 -0.519  -0.398 -0.644  -0.273 -0.769  -0.148 -0.894  -0.008 -0.983  0.167 -0.990  0.325 -1.069  0.483 -1.148  0.648 -1.195  0.825 -1.195  1.002 -1.195
2#app#app19#app1935/l  -0.466 -0.567  -0.588 -0.592  -0.538 -0.689  -0.413 -0.636  -0.294 -0.567  -0.169 -0.515  -0.065 -0.410  0.040 -0.306  0.144 -0.202  0.248 -0.098  0.352 0.006  0.390 0.138  0.474 0.250  0.512 0.382  0.512 0.529  0.512 0.676  0.480 0.810  0.390 0.920  0.390 1.067  0.340 1.194  0.236 1.298  0.145 1.408  0.101 1.511  -0.046 1.511  -0.099 1.417  -0.099 1.270  -0.221 1.245  -0.221 1.097  -0.221 0.950  -0.221 0.803  -0.221 0.656  -0.221 0.508  -0.221 0.361  -0.221 0.214  -0.221 0.066  -0.221 -0.081  -0.221 -0.228  -0.198 -0.370  -0.132 -0.501  -0.099 -0.641  -0.099 -0.788  -0.099 -0.935  -0.099 -1.083  -0.063 -1.215  0.023 -1.327  0.023 -1.474  0.057 -1.613  0.123 -1.745  0.243 -1.790  0.268 -1.912
2#app#app19#app1935/f  0.538 1.096  0.538 1.234  0.481 1.349  0.412 1.423  0.301 1.489  0.163 1.489  0.025 1.489  -0.113 1.489  -0.185 1.422  -0.297 1.358  -0.315 1.238  -0.315 1.099  -0.315 0.961  -0.315 0.823  -0.307 0.687  -0.249 0.562  -0.223 0.428  -0.184 0.296  -0.177 0.159  -0.134 0.028  -0.078 -0.098  -0.053 -0.230  -0.013 -0.359  0.038 -0.487  0.083 -0.618  0.144 -0.742  0.144 -0.880  0.151 -1.016  0.210 -1.141  0.210 -1.279  0.210 -1.417  0.210 -1.555  0.200 -1.624  0.163 -1.491  0.126 -1.358  0.088 -1.225  0.051 -1.091  0.014 -0.958  -0.023 -0.825  -0.061 -0.692  -0.098 -0.559  -0.135 -0.426  -0.172 -0.293  -0.210 -0.160  -0.247 -0.027  -0.315 0.046  -0.179 0.051  -0.067 0.112  0.072 0.112  0.210 0.112
2#app#app19#app1935/}  -0.356 1.307  -0.288 1.374  -0.265 1.447  -0.215 1.493  -0.145 1.518  -0.120 1.447  -0.074 1.398  -0.021 1.325  -0.003 1.237  -0.003 1.142  -0.003 1.046  -0.003 0.951  -0.003 0.856  -0.041 0.776  -0.074 0.694  -0.126 0.621  -0.175 0.540  -0.215 0.455  -0.237 0.369  -0.285 0.293  -0.285 0.198  -0.285 0.103  -0.263 0.017  -0.188 -0.032  -0.108 -0.068  -0.026 -0.102  0.069 -0.102  0.156 -0.121  0.230 -0.173  0.325 -0.173  0.348 -0.244  0.280 -0.311  0.198 -0.333  0.156 -0.418  0.099 -0.493  0.067 -0.575  0.067 -0.671  0.067 -0.766  0.067 -0.861  0.071 -0.955  0.114 -1.041  0.137 -1.130  0.137 -1.225  0.202 -1.294  0.208 -1.387  0.208 -1.482  0.208 -1.577  0.187 -1.652  0.137 -1.697  0.067 -1.722
2#app#app19#app1935/;  -0.144 1.518  -0.221 1.518  -0.297 1.518  -0.331 1.476  -0.331 1.400  -0.323 1.332  -0.247 1.332  -0.228 1.266  -0.217 1.190  -0.207 1.115  -0.196 1.040  -0.185 0.964  -0.174 0.889  -0.163 0.814  -0.153 0.738  -0.142 0.663  -0.131 0.588  -0.120 0.512  -0.110 0.437  -0.099 0.362  -0.088 0.287  -0.077 0.211  -0.067 0.136  -0.056 0.061  -0.051 -0.015  -0.051 -0.091  -0.044 -0.164  0.009 -0.218  0.042 -0.281  0.051 -0.353  0.105 -0.407  0.159 -0.461  0.212 -0.515  0.228 -0.584  0.254 -0.649  0.308 -0.703  0.321 -0.774  0.321 -0.850  0.321 -0.926  0.321 -1.002  0.321 -1.078  0.321 -1.154  0.321 -1.230  0.299 -1.297  0.245 -1.351  0.176 -1.368  0.110 -1.393  0.056 -1.446  0.002 -1.500  -0.051 -1.554
2#app#app19#app1935/@  0.081 -0.126  0.081 0.081  0.069 0.275  -0.138 0.275  -0.308 0.187  -0.420 0.026  -0.420 -0.181  -0.320 -0.287  -0.194 -0.427  0.013 -0.427  0.208 -0.400  0.384 -0.324  0.482 -0.158  0.482 0.049  0.382 0.136  0.482 0.029  0.634 -0.026  0.840 -0.026  1.028 0.020  1.184 0.103  1.284 0.210  1.255 0.404  1.180 0.580  1.033 0.726  0.858 0.801  0.712 0.948  0.524 1.006  0.334 1.077  0.127 1.077  -0.080 1.077  -0.286 1.077  -0.472 1.025  -0.647 0.950  -0.793 0.804  -0.869 0.628  -0.921 0.444  -1.019 0.277  -1.022 0.072  -1.022 -0.135  -0.940 -0.308  -0.921 -0.507  -0.860 -0.688  -0.753 -0.863  -0.690 -1.043  -0.509 -1.140  -0.362 -1.286  -0.215 -1.431  -0.030 -1.524  0.175 -1.529  0.382 -1.529
2#app#app19#app1935/e  -0.746 0.329  -0.567 0.329  -0.550 0.167  -0.404 0.134  -0.264 0.043  -0.128 -0.061  0.051 -0.061  0.230 -0.061  0.408 -0.061  0.587 -0.061  0.766 -0.061  0.907 0.031  1.043 0.134  1.206 0.150  1.206 0.329  1.206 0.508  1.044 0.525  1.010 0.670  0.881 0.720  0.703 0.720  0.552 0.788  0.426 0.914  0.247 0.915  0.068 0.915  -0.110 0.915  -0.289 0.915  -0.435 0.835  -0.566 0.720  -0.745 0.720  -0.871 0.594  -0.998 0.468  -1.124 0.341  -1.136 0.167  -1.136 -0.011  -1.044 -0.152  -0.941 -0.288  -0.925 -0.451  -0.746 -0.451  -0.746 -0.629  -0.631 -0.761  -0.489 -0.862  -0.320 -0.918  -0.150 -0.975  0.020 -1.031  0.198 -1.036  0.333 -1.140  0.474 -1.231  0.653 -1.231  0.832 -1.231  1.010 -1.231
2#app#app19#app1935/a  -0.134 1.115  -0.299 1.115  -0.463 1.115  -0.608 1.067  -0.725 0.950  -0.869 0.902  -1.034 0.902  -1.199 0.902  -1.199 0.737  -1.199 0.573  -1.199 0.408  -1.199 0.243  -1.199 0.078  -1.199 -0.086  -1.111 -0.163  -0.986 -0.203  -0.986 -0.367  -0.829 -0.376  -0.696 -0.452  -0.580 -0.569  -0.423 -0.589  -0.259 -0.589  -0.094 -0.589  0.071 -0.589  0.235 -0.589  0.400 -0.589  0.565 -0.589  0.726 -0.580  0.842 -0.464  0.931 -0.336  0.931 -0.171  0.820 -0.052  0.718 0.070  0.718 0.235  0.581 0.263  0.442 0.325  0.326 0.442  0.292 0.360  0.360 0.263  0.505 0.243  0.505 0.078  0.601 -0.046  0.718 -0.163  0.718 -0.327  0.800 -0.458  0.917 -0.575  1.075 -0.589  1.144 -0.685  1.192 -0.802  1.357 -0.802
2#app#app19#app1935/s  0.596 1.056  0.468 1.056  0.339 1.056  0.210 1.056  0.082 1.056  -0.047 1.056  -0.175 1.056  -0.304 1.056  -0.432 1.056  -0.561 1.056  -0.655 0.974  -0.746 0.883  -0.866 0.861  -0.963 0.830  -0.963 0.701  -0.870 0.666  -0.768 0.639  -0.768 0.511  -0.705 0.408  -0.614 0.317  -0.503 0.276  -0.376 0.273  -0.285 0.182  -0.194 0.092  -0.070 0.081  0.045 0.048  0.136 -0.043  0.227 -0.134  0.318 -0.225  0.412 -0.309  0.540 -0.309  0.647 -0.360  0.738 -0.451  0.829 -0.542  0.920 -0.633  0.986 -0.734  0.986 -0.862  0.888 -0.893  0.769 -0.915  0.678 -1.006  0.583 -1.088  0.455 -1.088  0.326 -1.088  0.198 -1.088  0.069 -1.088  -0.059 -1.088  -0.188 -1.088  -0.316 -1.088  -0.445 -1.088  -0.573 -1.088
2#app#app19#app1935/e  -0.853 -0.079  -0.853 0.103  -1.011 0.125  -1.057 0.261  -0.943 0.330  -0.762 0.330  -0.580 0.330  -0.444 0.284  -0.422 0.125  -0.240 0.125  -0.058 0.125  0.123 0.125  0.305 0.125  0.486 0.125  0.658 0.166  0.820 0.247  0.983 0.328  1.164 0.330  1.190 0.485  1.096 0.628  0.968 0.756  0.839 0.884  0.682 0.942  0.500 0.942  0.319 0.942  0.137 0.942  -0.044 0.942  -0.226 0.942  -0.358 0.824  -0.504 0.738  -0.648 0.700  -0.648 0.519  -0.648 0.337  -0.648 0.156  -0.648 -0.026  -0.648 -0.207  -0.574 -0.358  -0.445 -0.486  -0.444 -0.667  -0.287 -0.692  -0.145 -0.787  -0.036 -0.923  -0.031 -1.100  0.150 -1.100  0.284 -1.216  0.412 -1.344  0.541 -1.472  0.707 -1.509  0.857 -1.585  0.986 -1.713
2#app#app19#app1935/@  0.096 -0.037  0.096 0.173  0.017 0.349  -0.182 0.373  -0.313 0.294  -0.416 0.187  -0.416 -0.022  -0.350 -0.205  -0.156 -0.241  0.053 -0.241  0.263 -0.241  0.429 -0.139  0.506 -0.006  0.408 0.163  0.301 0.068  0.466 -0.037  0.675 -0.037  0.884 -0.037  1.094 -0.037  1.249 0.093  1.324 0.271  1.248 0.449  1.120 0.605  0.994 0.703  0.823 0.813  0.624 0.879  0.458 0.987  0.249 0.987  0.039 0.987  -0.170 0.987  -0.379 0.987  -0.570 0.909  -0.759 0.848  -0.907 0.700  -1.008 0.518  -1.132 0.357  -1.132 0.147  -1.132 -0.062  -1.073 -0.257  -0.950 -0.424  -0.927 -0.624  -0.808 -0.787  -0.710 -0.971  -0.552 -1.106  -0.378 -1.222  -0.195 -1.324  0.003 -1.372  0.190 -1.466  0.399 -1.470  0.608 -1.470
2#app#app19#app1935/l  -0.962 -0.970  -0.823 -0.937  -0.701 -0.863  -0.548 -0.863  -0.501 -0.757  -0.357 -0.720  -0.221 -0.652  -0.076 -0.626  0.051 -0.542  0.178 -0.457  0.290 -0.354  0.366 -0.223  0.444 -0.094  0.552 0.014  0.660 0.122  0.768 0.230  0.842 0.353  0.842 0.505  0.842 0.658  0.805 0.802  0.736 0.938  0.629 1.047  0.596 1.186  0.473 1.258  0.349 1.327  0.212 1.365  0.059 1.365  -0.093 1.365  -0.207 1.271  -0.315 1.163  -0.348 1.024  -0.432 0.906  -0.432 0.753  -0.432 0.600  -0.432 0.448  -0.432 0.295  -0.432 0.142  -0.432 -0.010  -0.413 -0.159  -0.344 -0.295  -0.325 -0.443  -0.295 -0.593  -0.265 -0.743  -0.235 -0.892  -0.167 -1.022  -0.079 -1.144  -0.011 -1.281  0.095 -1.390  0.203 -1.498  0.311 -1.606
2#app#app19#app1935/a  0.213 -0.049  0.213 0.111  0.213 0.272  0.213 0.432  0.213 0.592  0.213 0.753  0.183 0.901  0.069 1.014  -0.044 1.127  -0.158 1.238  -0.319 1.238  -0.438 1.139  -0.563 1.054  -0.724 1.054  -0.884 1.054  -0.891 0.900  -0.983 0.778  -1.075 0.656  -1.075 0.495  -1.075 0.335  -1.075 0.175  -1.075 0.014  -1.006 -0.118  -0.893 -0.231  -0.891 -0.391  -0.757 -0.417  -0.629 -0.495  -0.512 -0.601  -0.352 -0.601  -0.234 -0.705  -0.107 -0.785  0.053 -0.785  0.214 -0.785  0.374 -0.785  0.535 -0.785  0.695 -0.785  0.765 -0.694  0.832 -0.601  0.949 -0.557  0.935 -0.403  0.821 -0.290  0.765 -0.153  0.765 -0.106  0.765 -0.267  0.775 -0.417  0.935 -0.417  0.949 -0.564  0.949 -0.724  1.019 -0.855  1.133 -0.969
2#app#app19#app1935/s  0.404 1.144  0.274 1.144  0.144 1.144  0.014 1.144  -0.115 1.144  -0.245 1.144  -0.375 1.144  -0.473 1.111  -0.473 0.981  -0.590 0.968  -0.699 0.917  -0.791 0.826  -0.907 0.793  -0.999 0.755  -0.999 0.625  -0.876 0.618  -0.823 0.540  -0.791 0.442  -0.661 0.442  -0.566 0.360  -0.474 0.268  -0.382 0.176  -0.287 0.091  -0.157 0.091  -0.037 0.049  0.079 -0.009  0.195 -0.067  0.294 -0.149  0.386 -0.241  0.509 -0.259  0.580 -0.318  0.593 -0.435  0.723 -0.435  0.755 -0.533  0.808 -0.610  0.930 -0.617  0.930 -0.747  0.930 -0.877  0.884 -0.961  0.754 -0.961  0.663 -1.053  0.567 -1.136  0.437 -1.136  0.307 -1.136  0.177 -1.136  0.047 -1.136  -0.083 -1.136  -0.122 -1.045  -0.167 -0.961  -0.297 -0.961
2#app#app19#app1935/t  -0.195 0.899  -0.070 1.023  0.054 1.148  0.103 1.304  0.103 1.480  0.059 1.638  -0.066 1.623  -0.190 1.499  -0.245 1.345  -0.294 1.189  -0.294 1.013  -0.294 0.837  -0.294 0.661  -0.294 0.485  -0.294 0.309  -0.294 0.133  -0.294 -0.043  -0.294 -0.220  -0.294 -0.396  -0.258 -0.563  -0.195 -0.724  -0.189 -0.899  -0.110 -1.057  0.004 -1.188  0.004 -1.364  0.115 -1.495  0.239 -1.619  0.390 -1.681  0.333 -1.530  0.262 -1.369  0.190 -1.208  0.119 -1.047  0.047 -0.886  -0.024 -0.726  -0.096 -0.565  -0.167 -0.404  -0.239 -0.243  -0.310 -0.082  -0.382 0.079  -0.493 0.154  -0.367 0.204  -0.191 0.204  -0.015 0.204  0.161 0.204  0.337 0.204  0.501 0.255  0.666 0.304  0.842 0.304  1.018 0.304  1.194 0.304
2#app#app19#app1935/.  1.519 -0.759  1.426 -0.759  1.333 -0.759  1.240 -0.759  1.147 -0.759  1.054 -0.759  0.961 -0.759  0.868 -0.759  0.775 -0.759  0.682 -0.759  0.589 -0.759  0.496 -0.759  0.403 -0.759  0.310 -0.759  0.217 -0.759  0.124 -0.759  0.031 -0.759  0.000 -0.697  0.000 -0.604  0.000 -0.511  0.000 -0.418  0.000 -0.325  0.000 -0.232  0.000 -0.139  0.000 -0.046  0.000 0.046  0.000 0.139  0.000 0.232  0.000 0.325  0.000 0.418  0.000 0.511  0.000 0.604  0.000 0.697  -0.031 0.759  -0.124 0.759  -0.217 0.759  -0.310 0.759  -0.403 0.759  -0.496 0.759  -0.589 0.759  -0.682 0.759  -0.775 0.759  -0.868 0.759  -0.961 0.759  -1.054 0.759  -1.147 0.759  -1.240 0.759  -1.333 0.759  -1.426 0.759  -1.519 0.759
