2#apb#apb27#app2737/f  0.992 0.136  1.003 0.294  1.019 0.451  1.031 0.609  1.026 0.767  0.995 0.922  0.962 1.077  0.909 1.223  0.819 1.352  0.679 1.425  0.530 1.418  0.390 1.347  0.263 1.254  0.159 1.135  0.061 1.011  -0.023 0.877  -0.102 0.740  -0.165 0.594  -0.221 0.447  -0.241 0.290  -0.261 0.133  -0.247 -0.025  -0.234 -0.182  -0.211 -0.339  -0.187 -0.495  -0.134 -0.645  -0.090 -0.796  -0.061 -0.952  -0.010 -1.101  0.016 -1.257  -0.026 -1.346  -0.140 -1.253  -0.257 -1.146  -0.373 -1.039  -0.490 -0.932  -0.607 -0.825  -0.723 -0.718  -0.840 -0.611  -0.956 -0.504  -1.092 -0.447  -0.991 -0.440  -0.838 -0.406  -0.691 -0.347  -0.539 -0.301  -0.388 -0.256  -0.233 -0.222  -0.079 -0.185  0.072 -0.173  0.216 -0.215  0.307 -0.345
2#apb#apb27#app2737/v  -0.406 0.406  -0.406 0.548  -0.436 0.526  -0.436 0.579  -0.406 0.603  -0.406 0.589  -0.336 0.654  -0.336 0.704  -0.317 0.704  -0.275 0.704  -0.260 0.707  -0.270 0.704  -0.257 0.731  -0.257 0.796  -0.257 0.802  -0.257 0.808  -0.257 0.833  -0.257 0.767  -0.302 0.591  -0.345 0.412  -0.379 0.230  -0.397 0.046  -0.415 -0.138  -0.434 -0.322  -0.472 -0.503  -0.495 -0.685  -0.495 -0.870  -0.472 -1.052  -0.465 -1.237  -0.465 -1.421  -0.426 -1.592  -0.322 -1.664  -0.184 -1.542  -0.093 -1.381  0.026 -1.240  0.149 -1.103  0.255 -0.952  0.352 -0.795  0.448 -0.637  0.540 -0.476  0.631 -0.316  0.720 -0.154  0.807 0.010  0.894 0.173  0.987 0.333  1.080 0.493  1.158 0.660  1.227 0.831  1.329 0.984  1.384 1.151
2#apb#apb27#app2737/a  -0.382 0.886  -0.396 1.069  -0.329 1.240  -0.177 1.345  -0.008 1.423  0.169 1.469  0.355 1.464  0.530 1.423  0.670 1.301  0.719 1.123  0.719 0.937  0.714 0.752  0.703 0.566  0.682 0.382  0.653 0.199  0.617 0.017  0.562 -0.160  0.510 -0.339  0.465 -0.519  0.443 -0.703  0.419 -0.887  0.467 -0.914  0.563 -0.755  0.589 -0.577  0.589 -0.391  0.515 -0.221  0.404 -0.073  0.258 0.027  0.073 0.042  -0.111 0.069  -0.294 0.078  -0.478 0.050  -0.659 0.008  -0.839 -0.037  -1.017 -0.090  -1.172 -0.186  -1.269 -0.342  -1.288 -0.526  -1.247 -0.707  -1.112 -0.832  -0.946 -0.915  -0.766 -0.958  -0.584 -0.944  -0.403 -0.905  -0.237 -0.822  -0.070 -0.740  0.099 -0.662  0.274 -0.604  0.433 -0.522  0.589 -0.539
2#apb#apb27#app2737/n  -0.250 0.917  -0.274 1.051  -0.371 0.936  -0.445 0.795  -0.521 0.655  -0.591 0.513  -0.653 0.366  -0.709 0.217  -0.764 0.068  -0.847 -0.068  -0.930 -0.203  -0.991 -0.349  -1.049 -0.498  -1.107 -0.646  -1.161 -0.795  -1.228 -0.935  -1.145 -0.874  -1.021 -0.775  -0.900 -0.672  -0.792 -0.554  -0.685 -0.437  -0.563 -0.335  -0.439 -0.235  -0.316 -0.135  -0.204 -0.022  -0.091 0.090  0.021 0.203  0.151 0.294  0.285 0.380  0.418 0.467  0.548 0.559  0.677 0.651  0.814 0.732  0.956 0.803  1.108 0.842  1.247 0.798  1.273 0.647  1.200 0.509  1.126 0.368  1.059 0.224  0.977 0.088  0.903 -0.053  0.837 -0.198  0.772 -0.342  0.705 -0.487  0.627 -0.626  0.572 -0.774  0.556 -0.931  0.546 -1.065  0.668 -1.165
2#apb#apb27#app2737/i  -0.408 0.707  -0.501 0.677  -0.570 0.612  -0.628 0.534  -0.686 0.454  -0.743 0.375  -0.798 0.294  -0.850 0.210  -0.897 0.125  -0.932 0.033  -0.967 -0.059  -1.000 -0.151  -1.037 -0.241  -1.048 -0.337  -1.055 -0.434  -1.061 -0.532  -1.061 -0.626  -1.001 -0.664  -0.911 -0.628  -0.821 -0.590  -0.731 -0.551  -0.641 -0.512  -0.551 -0.473  -0.461 -0.435  -0.371 -0.396  -0.281 -0.357  -0.191 -0.318  -0.101 -0.280  -0.011 -0.241  0.079 -0.202  0.169 -0.163  0.259 -0.124  0.349 -0.086  0.439 -0.047  0.529 -0.008  0.619 0.031  0.709 0.069  0.800 0.108  0.890 0.147  0.980 0.186  1.070 0.224  1.160 0.263  1.250 0.302  1.340 0.341  1.430 0.380  1.520 0.418  1.610 0.457  1.692 0.497  1.682 0.519  1.735 0.494
2#apb#apb27#app2737/z  -0.617 0.712  -0.679 0.818  -0.552 0.910  -0.427 1.022  -0.276 1.079  -0.109 1.105  0.057 1.133  0.225 1.133  0.393 1.120  0.560 1.096  0.713 1.075  0.714 0.935  0.631 0.789  0.520 0.662  0.405 0.539  0.282 0.424  0.158 0.310  0.026 0.205  -0.107 0.101  -0.239 -0.002  -0.375 -0.102  -0.510 -0.202  -0.646 -0.302  -0.788 -0.392  -0.934 -0.477  -1.078 -0.563  -1.221 -0.654  -1.360 -0.748  -1.314 -0.791  -1.148 -0.767  -0.981 -0.741  -0.815 -0.712  -0.649 -0.683  -0.484 -0.653  -0.318 -0.624  -0.153 -0.587  0.011 -0.549  0.173 -0.503  0.332 -0.450  0.495 -0.408  0.661 -0.382  0.817 -0.322  0.949 -0.372  0.957 -0.539  0.957 -0.689  0.957 -0.556  0.979 -0.469  1.120 -0.385  1.265 -0.300  1.423 -0.241
2#apb#apb27#app2737/e  -0.184 0.145  -0.111 0.236  0.024 0.214  0.170 0.214  0.310 0.250  0.436 0.319  0.560 0.394  0.685 0.467  0.766 0.588  0.816 0.724  0.773 0.859  0.701 0.971  0.557 0.989  0.412 0.978  0.269 0.959  0.132 0.913  -0.006 0.867  -0.141 0.814  -0.276 0.759  -0.410 0.704  -0.548 0.659  -0.686 0.616  -0.804 0.537  -0.912 0.440  -1.017 0.340  -1.108 0.229  -1.153 0.092  -1.157 -0.051  -1.145 -0.196  -1.102 -0.333  -1.053 -0.470  -0.951 -0.573  -0.848 -0.675  -0.721 -0.741  -0.586 -0.795  -0.449 -0.839  -0.304 -0.847  -0.159 -0.856  -0.014 -0.860  0.131 -0.860  0.276 -0.860  0.419 -0.843  0.561 -0.813  0.703 -0.783  0.845 -0.752  0.986 -0.719  1.128 -0.685  1.263 -0.633  1.396 -0.575  1.529 -0.517
2#apb#apb27#app2737/d  0.820 1.983  0.723 1.920  0.653 1.807  0.605 1.684  0.561 1.558  0.521 1.432  0.482 1.305  0.449 1.176  0.417 1.047  0.384 0.919  0.350 0.790  0.315 0.662  0.284 0.533  0.262 0.402  0.239 0.271  0.219 0.140  0.200 0.008  0.180 -0.123  0.157 -0.254  0.129 -0.383  0.099 -0.513  0.086 -0.645  0.101 -0.731  0.146 -0.607  0.158 -0.475  0.147 -0.343  0.098 -0.220  0.035 -0.104  -0.049 -0.001  -0.153 0.078  -0.274 0.110  -0.401 0.078  -0.510 0.002  -0.592 -0.101  -0.666 -0.211  -0.726 -0.330  -0.780 -0.451  -0.825 -0.576  -0.846 -0.706  -0.840 -0.836  -0.779 -0.952  -0.679 -1.039  -0.548 -1.059  -0.416 -1.073  -0.283 -1.081  -0.151 -1.073  -0.020 -1.053  0.110 -1.025  0.237 -0.989  0.365 -0.952
2#apb#apb27#app2737/t  1.129 1.503  1.021 1.415  0.944 1.264  0.871 1.112  0.801 0.958  0.732 0.803  0.664 0.649  0.608 0.489  0.553 0.329  0.498 0.169  0.444 0.009  0.391 -0.151  0.341 -0.313  0.297 -0.476  0.254 -0.640  0.210 -0.803  0.165 -0.966  0.127 -1.131  0.096 -1.297  0.127 -1.435  0.284 -1.380  0.193 -1.258  0.082 -1.131  -0.030 -1.004  -0.142 -0.876  -0.253 -0.749  -0.365 -0.622  -0.476 -0.495  -0.588 -0.368  -0.699 -0.241  -0.811 -0.114  -0.923 0.013  -1.034 0.140  -1.146 0.267  -1.257 0.394  -1.354 0.447  -1.217 0.352  -1.049 0.334  -0.881 0.316  -0.713 0.313  -0.544 0.325  -0.375 0.338  -0.207 0.351  -0.039 0.374  0.128 0.398  0.295 0.423  0.463 0.448  0.629 0.477  0.796 0.505  0.963 0.534
2#apb#apb27#app2737/h  0.502 2.132  0.421 2.005  0.341 1.877  0.276 1.741  0.211 1.605  0.146 1.470  0.089 1.330  0.033 1.190  -0.023 1.050  -0.076 0.909  -0.122 0.765  -0.169 0.622  -0.215 0.478  -0.262 0.335  -0.316 0.194  -0.370 0.054  -0.425 -0.087  -0.480 -0.227  -0.531 -0.369  -0.578 -0.512  -0.626 -0.655  -0.674 -0.798  -0.704 -0.946  -0.727 -1.094  -0.657 -1.132  -0.544 -1.032  -0.437 -0.925  -0.331 -0.818  -0.225 -0.711  -0.123 -0.600  -0.022 -0.488  0.080 -0.377  0.187 -0.271  0.296 -0.167  0.405 -0.063  0.508 0.047  0.606 0.161  0.725 0.247  0.673 0.150  0.601 0.018  0.526 -0.113  0.450 -0.243  0.374 -0.373  0.297 -0.503  0.233 -0.640  0.173 -0.778  0.119 -0.919  0.077 -1.063  0.074 -1.210  0.212 -1.266
2#apb#apb27#app2737/e  -0.666 0.082  -0.786 0.013  -0.781 -0.136  -0.664 -0.215  -0.508 -0.226  -0.351 -0.224  -0.200 -0.181  -0.049 -0.138  0.094 -0.078  0.229 0.003  0.363 0.084  0.498 0.165  0.631 0.247  0.765 0.329  0.892 0.421  1.015 0.519  1.134 0.621  1.239 0.735  1.265 0.890  1.146 0.989  0.997 1.029  0.842 1.057  0.687 1.044  0.531 1.023  0.377 0.996  0.234 0.933  0.091 0.869  -0.053 0.805  -0.185 0.722  -0.311 0.628  -0.436 0.534  -0.559 0.437  -0.643 0.305  -0.728 0.172  -0.763 0.023  -0.782 -0.133  -0.800 -0.289  -0.780 -0.443  -0.742 -0.595  -0.703 -0.747  -0.641 -0.891  -0.571 -1.031  -0.501 -1.171  -0.392 -1.284  -0.268 -1.377  -0.125 -1.418  0.023 -1.368  0.169 -1.309  0.311 -1.244  0.454 -1.178
2#apb#apb27#app2737/m  -0.458 1.153  -0.594 0.961  -0.688 0.743  -0.762 0.518  -0.834 0.292  -0.904 0.066  -0.972 -0.161  -1.039 -0.389  -1.104 -0.617  -1.153 -0.848  -1.172 -1.084  -1.076 -0.926  -0.997 -0.703  -0.918 -0.479  -0.838 -0.256  -0.759 -0.032  -0.679 0.191  -0.600 0.415  -0.511 0.592  -0.301 0.701  -0.083 0.793  0.137 0.875  0.296 0.765  0.263 0.531  0.199 0.304  0.109 0.085  -0.002 -0.125  -0.116 -0.332  -0.230 -0.540  -0.318 -0.760  -0.271 -0.724  -0.100 -0.560  0.077 -0.402  0.256 -0.247  0.429 -0.084  0.596 0.083  0.779 0.233  0.975 0.367  1.168 0.504  1.361 0.641  1.547 0.755  1.481 0.533  1.343 0.342  1.204 0.150  1.090 -0.058  0.971 -0.262  0.860 -0.471  0.807 -0.693  0.721 -0.869  0.812 -0.971
2#apb#apb27#app2737/o  0.137 1.053  0.009 1.053  -0.114 1.043  -0.197 0.946  -0.280 0.849  -0.342 0.737  -0.403 0.625  -0.463 0.513  -0.520 0.399  -0.574 0.283  -0.627 0.167  -0.681 0.051  -0.731 -0.067  -0.781 -0.184  -0.832 -0.301  -0.863 -0.423  -0.873 -0.550  -0.883 -0.678  -0.879 -0.804  -0.854 -0.929  -0.829 -1.054  -0.731 -1.135  -0.618 -1.178  -0.491 -1.178  -0.377 -1.126  -0.267 -1.061  -0.157 -0.997  -0.053 -0.923  0.044 -0.841  0.142 -0.758  0.239 -0.676  0.329 -0.586  0.410 -0.487  0.492 -0.389  0.574 -0.291  0.645 -0.185  0.713 -0.078  0.782 0.030  0.823 0.150  0.854 0.273  0.885 0.397  0.916 0.521  0.930 0.648  0.942 0.775  0.946 0.902  0.925 1.028  0.849 1.125  0.729 1.144  0.608 1.119  0.498 1.053
2#apb#apb27#app2737/c  1.124 1.166  1.124 1.259  1.078 1.196  0.988 1.173  0.903 1.136  0.821 1.091  0.740 1.047  0.658 1.002  0.576 0.958  0.493 0.917  0.409 0.875  0.326 0.833  0.243 0.792  0.162 0.746  0.084 0.694  0.007 0.642  -0.071 0.591  -0.148 0.539  -0.222 0.483  -0.288 0.418  -0.354 0.352  -0.420 0.286  -0.486 0.220  -0.539 0.144  -0.589 0.065  -0.638 -0.014  -0.685 -0.094  -0.726 -0.178  -0.768 -0.261  -0.758 -0.353  -0.747 -0.446  -0.737 -0.539  -0.697 -0.621  -0.647 -0.700  -0.598 -0.779  -0.544 -0.855  -0.485 -0.926  -0.425 -0.998  -0.345 -1.032  -0.253 -1.043  -0.160 -1.055  -0.067 -1.052  0.025 -1.044  0.118 -1.036  0.211 -1.029  0.299 -1.004  0.380 -0.959  0.462 -0.915  0.544 -0.870  0.626 -0.825
2#apb#apb27#app2737/k  -0.142 1.838  -0.254 1.700  -0.327 1.533  -0.405 1.367  -0.473 1.199  -0.529 1.024  -0.580 0.849  -0.622 0.671  -0.665 0.494  -0.706 0.316  -0.747 0.138  -0.793 -0.039  -0.840 -0.216  -0.879 -0.394  -0.896 -0.576  -0.906 -0.758  -0.894 -0.940  -0.811 -1.090  -0.671 -1.034  -0.597 -0.867  -0.523 -0.700  -0.450 -0.532  -0.376 -0.365  -0.302 -0.198  -0.265 -0.109  -0.090 -0.058  0.086 -0.009  0.264 0.033  0.436 0.095  0.608 0.157  0.780 0.219  0.951 0.281  1.122 0.348  1.291 0.417  1.404 0.443  1.237 0.370  1.069 0.297  0.902 0.224  0.734 0.151  0.566 0.079  0.399 0.006  0.231 -0.067  0.150 -0.219  0.134 -0.400  0.158 -0.580  0.213 -0.753  0.309 -0.908  0.417 -1.055  0.561 -1.163  0.720 -1.219
2#apb#apb27#app2737/j  -0.005 0.491  0.036 0.617  0.043 0.664  0.038 0.529  0.023 0.396  0.015 0.262  0.005 0.128  -0.008 -0.006  -0.026 -0.140  -0.044 -0.273  -0.071 -0.404  -0.098 -0.536  -0.126 -0.668  -0.153 -0.799  -0.179 -0.931  -0.205 -1.063  -0.237 -1.194  -0.275 -1.322  -0.299 -1.455  -0.374 -1.395  -0.430 -1.273  -0.499 -1.158  -0.565 -1.041  -0.623 -0.920  -0.681 -0.799  -0.757 -0.689  -0.672 -0.696  -0.582 -0.613  -0.504 -0.503  -0.426 -0.394  -0.347 -0.284  -0.269 -0.175  -0.191 -0.065  -0.113 0.044  -0.035 0.154  0.043 0.263  0.121 0.373  0.199 0.482  0.277 0.592  0.355 0.701  0.433 0.811  0.511 0.920  0.589 1.030  0.667 1.139  0.745 1.249  0.823 1.358  0.901 1.468  0.979 1.577  0.990 1.709  1.004 1.843
2#apb#apb27#app2737/u  -0.515 1.052  -0.539 1.155  -0.521 1.061  -0.534 0.944  -0.547 0.827  -0.565 0.710  -0.583 0.593  -0.601 0.477  -0.618 0.360  -0.626 0.242  -0.635 0.124  -0.643 0.007  -0.651 -0.111  -0.651 -0.229  -0.651 -0.347  -0.651 -0.465  -0.642 -0.583  -0.630 -0.700  -0.618 -0.818  -0.593 -0.933  -0.568 -1.049  -0.524 -1.152  -0.430 -1.223  -0.318 -1.225  -0.210 -1.178  -0.102 -1.130  -0.029 -1.038  0.045 -0.946  0.119 -0.854  0.189 -0.759  0.251 -0.658  0.313 -0.558  0.374 -0.457  0.436 -0.357  0.484 -0.249  0.531 -0.140  0.577 -0.032  0.624 0.077  0.669 0.186  0.714 0.295  0.759 0.404  0.804 0.513  0.849 0.622  0.889 0.733  0.907 0.850  0.925 0.966  0.943 1.083  0.954 1.200  0.954 1.318  0.886 1.394
2#apb#apb27#app2737/r  -0.202 1.330  -0.116 1.193  -0.065 1.040  -0.032 0.884  -0.052 0.724  -0.075 0.564  -0.102 0.404  -0.128 0.244  -0.146 0.084  -0.162 -0.077  -0.181 -0.238  -0.201 -0.398  -0.202 -0.560  -0.142 -0.625  -0.111 -0.595  -0.090 -0.608  -0.133 -0.761  -0.153 -0.920  -0.186 -1.078  -0.223 -1.235  -0.237 -1.394  -0.253 -1.552  -0.270 -1.658  -0.158 -1.557  -0.148 -1.404  -0.169 -1.244  -0.190 -1.084  -0.211 -0.923  -0.233 -0.763  -0.254 -0.603  -0.275 -0.442  -0.296 -0.282  -0.317 -0.122  -0.338 0.039  -0.360 0.199  -0.361 0.357  -0.297 0.505  -0.241 0.657  -0.172 0.797  -0.040 0.891  0.100 0.972  0.245 1.042  0.397 1.098  0.548 1.088  0.699 1.031  0.841 1.080  0.992 1.122  1.113 1.023  1.229 0.913  1.362 0.844
2#apb#apb27#app2737/y  -0.515 1.178  -0.454 1.101  -0.452 0.988  -0.474 0.878  -0.495 0.766  -0.515 0.655  -0.515 0.542  -0.531 0.430  -0.488 0.337  -0.376 0.338  -0.270 0.377  -0.168 0.426  -0.079 0.494  0.001 0.574  0.069 0.664  0.134 0.756  0.170 0.864  0.191 0.974  0.190 1.086  0.166 1.196  0.127 1.130  0.124 1.019  0.132 0.906  0.134 0.793  0.134 0.680  0.138 0.567  0.156 0.455  0.174 0.344  0.192 0.232  0.194 0.120  0.187 0.007  0.180 -0.106  0.173 -0.219  0.165 -0.332  0.159 -0.445  0.153 -0.558  0.147 -0.671  0.140 -0.783  0.134 -0.896  0.118 -1.008  0.102 -1.120  0.086 -1.232  0.070 -1.344  0.081 -1.456  0.094 -1.569  0.112 -1.680  0.134 -1.791  0.145 -1.900  0.225 -1.927  0.296 -1.840
