3#app#app25#app2562/F  -0.187 0.674  -0.231 0.487  -0.375 0.400  -0.375 0.170  -0.375 -0.061  -0.395 -0.283  -0.558 -0.446  -0.562 -0.675  -0.562 -0.905  -0.686 -1.011  -0.749 -1.179  -0.773 -1.386  -0.937 -1.453  -0.827 -1.573  -0.726 -1.422  -0.691 -1.194  -0.656 -0.966  -0.621 -0.738  -0.586 -0.511  -0.551 -0.283  -0.516 -0.055  -0.481 0.173  -0.446 0.401  -0.411 0.629  -0.376 0.856  -0.149 0.861  0.081 0.861  0.312 0.861  0.542 0.861  0.773 0.861  0.984 0.909  1.156 1.049  1.387 1.049  1.400 0.980  1.212 0.848  1.023 0.716  0.834 0.584  0.645 0.452  0.456 0.319  0.267 0.187  0.079 0.055  -0.110 -0.077  -0.299 -0.209  -0.241 -0.229  -0.017 -0.173  0.207 -0.117  0.432 -0.075  0.662 -0.075  0.893 -0.075  1.123 -0.075
3#app#app25#app2562/P  0.189 0.677  0.173 0.504  0.045 0.376  -0.082 0.248  -0.124 0.085  -0.227 -0.053  -0.354 -0.180  -0.438 -0.326  -0.524 -0.421  -0.595 -0.531  -0.689 -0.672  -0.752 -0.827  -0.752 -1.007  -0.752 -1.187  -0.908 -1.211  -0.908 -1.392  -0.908 -1.465  -0.908 -1.284  -0.807 -1.205  -0.752 -1.080  -0.689 -0.913  -0.614 -0.750  -0.538 -0.586  -0.463 -0.422  -0.387 -0.258  -0.311 -0.094  -0.236 0.070  -0.160 0.234  -0.084 0.398  -0.009 0.561  0.067 0.725  0.143 0.889  0.258 0.991  0.346 1.083  0.462 1.148  0.643 1.148  0.823 1.148  0.974 1.118  0.974 0.937  1.051 0.834  1.131 0.733  1.131 0.553  1.131 0.372  0.974 0.349  0.935 0.207  0.755 0.207  0.660 0.121  0.550 0.050  0.370 0.050  0.189 0.050
3#app#app25#app2562/E  0.225 1.062  0.067 0.967  0.036 0.747  -0.090 0.621  -0.246 0.434  -0.312 0.210  -0.490 0.032  -0.668 -0.145  -0.846 -0.323  -1.033 -0.405  -1.033 -0.657  -1.190 -0.751  -1.211 -0.982  -1.348 -1.097  -1.138 -1.139  -0.886 -1.139  -0.792 -0.982  -0.540 -0.982  -0.289 -0.982  -0.090 -1.035  0.057 -1.139  0.218 -1.055  0.199 -0.805  0.180 -0.554  0.160 -0.303  0.141 -0.052  0.122 0.199  0.102 0.450  0.083 0.701  0.067 0.952  0.209 1.062  0.461 1.062  0.712 1.062  0.964 1.062  1.216 1.062  1.325 0.920  1.414 0.865  1.197 0.738  0.980 0.611  0.762 0.484  0.545 0.358  0.328 0.231  0.110 0.104  -0.107 -0.023  -0.324 -0.149  -0.245 -0.196  0.007 -0.196  0.101 -0.353  0.353 -0.353  0.539 -0.196
3#app#app25#app2562/C  1.367 0.724  1.367 0.833  1.318 0.893  1.209 0.893  1.100 0.893  0.991 0.893  0.882 0.893  0.773 0.893  0.664 0.893  0.555 0.893  0.446 0.893  0.337 0.893  0.228 0.893  0.139 0.845  0.061 0.768  -0.016 0.691  -0.093 0.614  -0.177 0.555  -0.286 0.555  -0.320 0.480  -0.336 0.387  -0.445 0.387  -0.489 0.322  -0.492 0.214  -0.570 0.137  -0.647 0.060  -0.724 -0.017  -0.801 -0.094  -0.826 -0.193  -0.826 -0.302  -0.826 -0.411  -0.826 -0.520  -0.826 -0.629  -0.826 -0.738  -0.774 -0.794  -0.665 -0.794  -0.556 -0.794  -0.447 -0.794  -0.338 -0.794  -0.320 -0.885  -0.289 -0.963  -0.180 -0.963  -0.071 -0.963  0.038 -0.963  0.147 -0.963  0.256 -0.963  0.365 -0.963  0.474 -0.963  0.583 -0.963  0.692 -0.963
3#app#app25#app2562/T  0.510 0.691  0.682 0.691  0.684 0.522  0.517 0.517  0.510 0.352  0.395 0.228  0.335 0.081  0.251 -0.007  0.103 -0.065  -0.014 -0.188  -0.014 -0.360  -0.015 -0.532  -0.137 -0.653  -0.287 -0.705  -0.363 -0.801  -0.363 -0.973  -0.363 -1.145  -0.452 -1.229  -0.538 -1.315  -0.538 -1.487  -0.538 -1.497  -0.544 -1.325  -0.557 -1.154  -0.570 -0.982  -0.583 -0.811  -0.596 -0.639  -0.610 -0.468  -0.623 -0.296  -0.636 -0.125  -0.649 0.047  -0.662 0.218  -0.676 0.390  -0.689 0.561  -0.702 0.733  -0.674 0.866  -0.502 0.866  -0.330 0.866  -0.189 0.835  -0.160 0.691  0.012 0.691  0.184 0.691  0.356 0.691  0.528 0.691  0.699 0.691  0.871 0.691  1.043 0.691  1.215 0.691  1.387 0.691  1.559 0.691  1.731 0.691
3#app#app25#app2562/E  -0.069 0.868  -0.129 0.693  -0.244 0.573  -0.420 0.513  -0.483 0.342  -0.595 0.219  -0.603 -0.008  -0.818 -0.056  -0.945 -0.238  -1.026 -0.439  -1.120 -0.635  -1.120 -0.870  -1.295 -0.930  -1.189 -1.058  -0.954 -1.058  -0.719 -1.058  -0.484 -1.058  -0.249 -1.058  -0.014 -1.058  0.106 -1.173  0.280 -1.233  0.219 -1.007  0.157 -0.781  0.096 -0.554  0.034 -0.328  -0.028 -0.101  -0.090 0.125  -0.152 0.352  -0.213 0.579  -0.162 0.775  0.034 0.868  0.269 0.868  0.504 0.868  0.739 0.868  0.925 0.986  1.136 1.043  1.371 1.043  1.506 0.944  1.370 0.786  1.169 0.665  0.967 0.544  0.766 0.423  0.565 0.303  0.363 0.182  0.162 0.061  -0.040 -0.060  -0.241 -0.181  -0.014 -0.183  0.221 -0.183  0.456 -0.183
3#app#app25#app2562/D  0.380 1.310  0.221 1.151  0.061 0.992  0.022 0.783  -0.158 0.737  -0.158 0.511  -0.248 0.323  -0.337 0.135  -0.440 -0.048  -0.516 -0.242  -0.516 -0.467  -0.547 -0.662  -0.696 -0.739  -0.696 -0.964  -0.865 -1.020  -0.875 -1.164  -0.836 -0.948  -0.728 -0.750  -0.620 -0.553  -0.512 -0.355  -0.404 -0.157  -0.296 0.041  -0.188 0.239  -0.080 0.437  0.028 0.635  0.136 0.833  0.201 1.041  0.201 1.267  0.383 1.310  0.608 1.310  0.834 1.310  0.918 1.170  0.918 0.944  0.918 0.719  0.918 0.493  0.918 0.268  0.918 0.043  0.859 -0.124  0.739 -0.229  0.739 -0.454  0.542 -0.483  0.380 -0.547  0.302 -0.740  0.119 -0.841  0.022 -0.969  -0.153 -1.020  -0.378 -1.020  -0.516 -1.108  -0.649 -1.200  -0.875 -1.200
3#app#app25#app2562/A  -1.406 -1.202  -1.406 -1.011  -1.230 -0.996  -1.200 -0.835  -1.054 -0.790  -0.901 -0.697  -0.788 -0.553  -0.776 -0.366  -0.641 -0.231  -0.583 -0.065  -0.517 0.099  -0.382 0.234  -0.246 0.370  -0.171 0.529  -0.122 0.700  0.013 0.835  0.035 1.017  0.035 1.208  0.166 1.269  0.357 1.269  0.447 1.370  0.533 1.475  0.653 1.404  0.653 1.213  0.653 1.022  0.653 0.830  0.653 0.639  0.653 0.448  0.653 0.257  0.653 0.066  0.653 -0.125  0.653 -0.316  0.653 -0.507  0.653 -0.698  0.653 -0.890  0.569 -0.996  0.447 -1.066  0.413 -1.159  0.293 -1.010  0.174 -0.861  0.055 -0.712  -0.065 -0.562  -0.184 -0.413  -0.303 -0.264  -0.377 -0.098  -0.317 0.033  -0.126 0.033  0.065 0.033  0.256 0.033  0.447 0.033
3#app#app25#app2562/J  0.502 0.817  0.502 0.660  0.502 0.504  0.502 0.347  0.471 0.222  0.354 0.183  0.354 0.026  0.354 -0.130  0.354 -0.287  0.283 -0.372  0.205 -0.451  0.205 -0.608  0.205 -0.764  0.133 -0.891  0.056 -1.016  -0.000 -1.116  -0.092 -1.180  -0.164 -1.264  -0.321 -1.264  -0.478 -1.264  -0.634 -1.264  -0.687 -1.161  -0.687 -1.004  -0.806 -0.967  -0.835 -0.840  -0.835 -0.683  -0.835 -0.527  -0.685 -0.521  -0.536 -0.511  -0.508 -0.357  -0.480 -0.203  -0.452 -0.049  -0.424 0.105  -0.396 0.259  -0.368 0.413  -0.340 0.567  -0.312 0.721  -0.284 0.875  -0.256 1.029  -0.171 1.114  -0.014 1.114  0.142 1.114  0.299 1.114  0.455 1.114  0.612 1.114  0.768 1.114  0.925 1.114  1.081 1.114  1.097 0.973  1.246 0.965
3#app#app25#app2562/E  0.137 1.081  -0.043 0.993  -0.043 0.726  -0.222 0.639  -0.343 0.422  -0.405 0.181  -0.593 -0.008  -0.761 -0.206  -0.761 -0.473  -0.786 -0.714  -1.020 -0.794  -1.120 -1.020  -1.086 -1.253  -0.819 -1.253  -0.552 -1.253  -0.285 -1.253  -0.018 -1.253  0.137 -1.365  0.313 -1.412  0.275 -1.148  0.238 -0.884  0.200 -0.619  0.162 -0.355  0.124 -0.091  0.087 0.173  0.049 0.438  0.011 0.702  -0.027 0.966  0.108 1.081  0.375 1.081  0.599 1.184  0.835 1.260  0.922 1.081  1.189 1.081  1.341 1.046  1.119 0.898  0.896 0.750  0.674 0.602  0.452 0.454  0.230 0.306  0.008 0.157  -0.214 0.009  -0.436 -0.139  -0.658 -0.287  -0.632 -0.291  -0.393 -0.176  -0.126 -0.176  0.137 -0.180  0.229 -0.355  0.496 -0.355
3#app#app25#app2562/J  0.811 1.074  0.811 0.902  0.802 0.740  0.644 0.727  0.644 0.555  0.622 0.406  0.477 0.380  0.477 0.208  0.477 0.037  0.477 -0.134  0.446 -0.292  0.325 -0.414  0.311 -0.579  0.311 -0.750  0.151 -0.762  0.144 -0.926  0.025 -1.048  -0.023 -1.199  -0.131 -1.263  -0.302 -1.263  -0.474 -1.263  -0.645 -1.263  -0.691 -1.137  -0.821 -1.096  -0.858 -0.961  -0.858 -0.790  -0.858 -0.619  -0.858 -0.448  -0.706 -0.428  -0.534 -0.428  -0.524 -0.589  -0.507 -0.431  -0.490 -0.260  -0.473 -0.090  -0.456 0.080  -0.439 0.251  -0.422 0.421  -0.405 0.592  -0.388 0.762  -0.371 0.933  -0.327 1.074  -0.156 1.074  0.015 1.074  0.186 1.074  0.358 1.074  0.529 1.074  0.700 1.074  0.854 1.031  0.975 0.910  1.145 0.907
3#app#app25#app2562/U  -0.421 1.201  -0.458 1.363  -0.584 1.291  -0.584 1.092  -0.686 0.936  -0.746 0.762  -0.853 0.607  -0.909 0.431  -1.065 0.389  -1.071 0.196  -1.071 -0.003  -1.071 -0.202  -1.071 -0.400  -1.071 -0.599  -1.036 -0.783  -0.890 -0.911  -0.691 -0.911  -0.492 -0.911  -0.421 -0.783  -0.257 -0.747  -0.117 -0.606  0.071 -0.581  0.212 -0.440  0.352 -0.300  0.493 -0.159  0.553 0.015  0.703 0.064  0.733 0.243  0.873 0.384  0.907 0.551  1.041 0.617  1.041 0.816  1.179 0.876  1.041 0.864  0.992 0.714  0.818 0.654  0.678 0.513  0.553 0.366  0.511 0.184  0.363 0.064  0.229 -0.001  0.157 -0.170  0.066 -0.331  0.066 -0.530  0.066 -0.729  0.083 -0.911  0.229 -0.964  0.318 -1.073  0.517 -1.073  0.716 -1.073
3#app#app25#app2562/N  -1.193 -1.318  -1.193 -1.144  -1.193 -0.970  -1.173 -0.815  -1.025 -0.789  -1.002 -0.624  -0.879 -0.501  -0.857 -0.336  -0.751 -0.205  -0.689 -0.057  -0.689 0.118  -0.689 0.292  -0.582 0.359  -0.441 0.440  -0.354 0.577  -0.354 0.752  -0.290 0.863  -0.186 0.932  -0.186 1.107  -0.103 1.198  -0.018 1.109  -0.018 0.935  -0.018 0.760  -0.018 0.586  -0.018 0.412  -0.018 0.238  -0.018 0.063  -0.018 -0.111  -0.018 -0.285  -0.018 -0.459  -0.018 -0.634  -0.018 -0.808  -0.018 -0.982  0.156 -0.983  0.326 -0.974  0.449 -0.850  0.485 -0.691  0.485 -0.517  0.485 -0.342  0.628 -0.312  0.759 -0.206  0.882 -0.082  0.988 0.048  0.988 0.222  1.014 0.386  1.138 0.509  1.156 0.675  1.311 0.695  1.324 0.856  1.491 0.863
3#app#app25#app2562/E  -0.204 0.781  -0.364 0.669  -0.522 0.463  -0.525 0.192  -0.582 -0.022  -0.686 -0.190  -0.686 -0.462  -0.846 -0.573  -0.860 -0.839  -1.007 -1.050  -0.996 -1.295  -0.786 -1.146  -0.514 -1.146  -0.242 -1.146  0.008 -1.197  0.235 -1.306  0.506 -1.306  0.532 -1.140  0.431 -0.887  0.330 -0.635  0.229 -0.383  0.128 -0.131  0.028 0.122  -0.073 0.374  -0.174 0.626  -0.275 0.878  -0.333 1.102  -0.061 1.102  0.210 1.102  0.482 1.102  0.754 1.102  0.920 0.996  1.136 0.941  1.408 0.941  1.444 0.941  1.202 0.827  0.966 0.693  0.730 0.558  0.495 0.423  0.259 0.288  0.023 0.153  -0.213 0.019  -0.449 -0.116  -0.685 -0.251  -0.846 -0.257  -0.649 -0.183  -0.377 -0.183  -0.105 -0.183  0.166 -0.183  0.438 -0.183
