3#apa#apa01#app0104/S  0.340 0.891  0.446 0.916  0.501 1.010  0.449 1.105  0.366 1.187  0.261 1.214  0.144 1.214  0.027 1.214  -0.058 1.138  -0.172 1.133  -0.270 1.088  -0.372 1.052  -0.459 0.980  -0.570 0.961  -0.674 0.909  -0.709 0.814  -0.709 0.697  -0.661 0.601  -0.558 0.568  -0.472 0.493  -0.366 0.467  -0.284 0.385  -0.195 0.311  -0.091 0.259  -0.002 0.184  0.080 0.102  0.162 0.019  0.221 -0.081  0.280 -0.179  0.355 -0.268  0.407 -0.372  0.424 -0.484  0.501 -0.569  0.501 -0.685  0.501 -0.802  0.501 -0.919  0.501 -1.035  0.426 -1.121  0.393 -1.207  0.295 -1.252  0.212 -1.335  0.110 -1.369  -0.007 -1.369  -0.124 -1.369  -0.225 -1.353  -0.225 -1.237  -0.286 -1.146  -0.306 -1.037  -0.306 -0.920  -0.306 -0.804
3#apa#apa01#app0104/d  -0.243 -0.554  -0.407 -0.554  -0.571 -0.554  -0.698 -0.641  -0.841 -0.692  -0.894 -0.830  -0.978 -0.909  -0.978 -1.072  -0.886 -1.197  -0.722 -1.197  -0.558 -1.197  -0.395 -1.197  -0.323 -1.105  -0.184 -1.046  -0.133 -0.903  -0.060 -0.770  -0.032 -0.618  0.032 -0.481  0.032 -0.317  0.032 -0.153  0.107 -0.020  0.124 0.136  0.124 0.300  0.155 0.458  0.207 0.613  0.243 0.773  0.275 0.933  0.307 1.094  0.308 1.257  0.308 1.421  0.308 1.585  0.308 1.737  0.230 1.651  0.216 1.501  0.216 1.338  0.216 1.174  0.216 1.010  0.216 0.847  0.216 0.683  0.216 0.519  0.216 0.356  0.216 0.192  0.216 0.028  0.275 -0.121  0.308 -0.277  0.380 -0.424  0.485 -0.547  0.601 -0.663  0.733 -0.738  0.859 -0.830
3#apa#apa01#app0104/t  -0.015 2.111  -0.031 1.948  -0.106 1.799  -0.147 1.642  -0.147 1.475  -0.147 1.309  -0.147 1.142  -0.147 0.975  -0.147 0.808  -0.147 0.642  -0.147 0.475  -0.147 0.308  -0.147 0.142  -0.147 -0.025  -0.147 -0.192  -0.147 -0.359  -0.147 -0.525  -0.147 -0.692  -0.147 -0.859  -0.147 -1.025  -0.147 -1.192  -0.097 -1.309  0.061 -1.271  0.210 -1.196  0.372 -1.177  0.492 -1.064  0.651 -1.046  0.818 -1.046  0.985 -1.046  0.947 -0.975  0.816 -0.872  0.685 -0.769  0.554 -0.666  0.422 -0.563  0.291 -0.460  0.160 -0.357  0.029 -0.254  -0.102 -0.151  -0.233 -0.048  -0.364 0.055  -0.495 0.158  -0.626 0.261  -0.757 0.364  -0.698 0.401  -0.532 0.401  -0.410 0.446  -0.330 0.533  -0.163 0.533  -0.002 0.546  0.116 0.664
3#apa#apa01#app0104/h  -0.633 1.813  -0.633 1.653  -0.633 1.493  -0.633 1.333  -0.633 1.173  -0.633 1.013  -0.633 0.853  -0.633 0.692  -0.633 0.532  -0.633 0.372  -0.633 0.212  -0.633 0.052  -0.633 -0.108  -0.568 -0.252  -0.504 -0.397  -0.504 -0.557  -0.504 -0.717  -0.504 -0.878  -0.504 -1.038  -0.504 -1.198  -0.452 -1.232  -0.375 -1.103  -0.375 -0.943  -0.375 -0.783  -0.368 -0.625  -0.297 -0.482  -0.225 -0.339  -0.154 -0.196  -0.062 -0.067  0.012 0.062  0.074 0.197  0.206 0.264  0.270 0.360  0.360 0.483  0.503 0.523  0.534 0.652  0.694 0.652  0.786 0.583  0.786 0.423  0.787 0.264  0.915 0.232  0.915 0.072  0.915 -0.088  0.915 -0.248  0.915 -0.408  0.915 -0.568  0.915 -0.728  1.000 -0.853  1.044 -0.995  1.044 -1.155
3#apa#apa01#app0104/e  -0.712 -0.101  -0.712 -0.258  -0.558 -0.261  -0.551 -0.111  -0.404 -0.101  -0.289 0.001  -0.156 0.060  -0.019 0.110  0.092 0.221  0.249 0.221  0.361 0.330  0.497 0.381  0.654 0.381  0.734 0.459  0.808 0.542  0.894 0.613  0.894 0.770  0.831 0.863  0.734 0.924  0.677 1.024  0.573 1.077  0.523 1.184  0.366 1.184  0.209 1.184  0.091 1.144  0.065 0.998  -0.046 0.886  -0.193 0.863  -0.230 0.742  -0.313 0.620  -0.390 0.494  -0.390 0.337  -0.419 0.192  -0.530 0.081  -0.551 -0.068  -0.551 -0.225  -0.551 -0.382  -0.551 -0.539  -0.551 -0.697  -0.551 -0.854  -0.475 -0.980  -0.374 -1.098  -0.303 -1.238  -0.233 -1.379  -0.080 -1.385  0.035 -1.489  0.146 -1.600  0.259 -1.707  0.416 -1.707  0.573 -1.707
3#apa#apa01#app0104/h  -0.525 2.015  -0.525 1.858  -0.525 1.701  -0.525 1.545  -0.525 1.388  -0.525 1.231  -0.525 1.075  -0.525 0.918  -0.525 0.761  -0.525 0.605  -0.525 0.448  -0.470 0.304  -0.418 0.160  -0.418 0.003  -0.418 -0.153  -0.418 -0.310  -0.418 -0.467  -0.418 -0.623  -0.328 -0.743  -0.311 -0.893  -0.311 -1.049  -0.311 -1.166  -0.311 -1.009  -0.311 -0.852  -0.311 -0.696  -0.311 -0.539  -0.271 -0.399  -0.205 -0.270  -0.201 -0.115  -0.090 -0.004  0.009 0.112  0.076 0.201  0.168 0.306  0.257 0.414  0.389 0.475  0.527 0.521  0.673 0.497  0.755 0.374  0.755 0.217  0.755 0.061  0.755 -0.096  0.755 -0.253  0.755 -0.409  0.755 -0.566  0.755 -0.723  0.755 -0.879  0.755 -1.036  0.755 -1.193  0.755 -1.349  0.862 -1.399
3#apa#apa01#app0104/o  0.325 1.161  0.180 1.161  0.035 1.161  -0.025 1.077  -0.079 0.986  -0.217 0.969  -0.319 0.867  -0.441 0.811  -0.575 0.786  -0.678 0.683  -0.725 0.558  -0.725 0.413  -0.725 0.269  -0.725 0.124  -0.725 -0.021  -0.725 -0.166  -0.725 -0.310  -0.725 -0.455  -0.725 -0.600  -0.725 -0.745  -0.598 -0.763  -0.482 -0.831  -0.379 -0.933  -0.375 -1.076  -0.267 -1.113  -0.145 -1.168  -0.042 -1.270  0.095 -1.288  0.240 -1.288  0.367 -1.246  0.469 -1.143  0.572 -1.041  0.674 -0.938  0.675 -0.794  0.675 -0.649  0.675 -0.504  0.675 -0.360  0.675 -0.215  0.675 -0.070  0.675 0.075  0.675 0.219  0.640 0.356  0.575 0.485  0.510 0.615  0.414 0.722  0.325 0.829  0.325 0.974  0.325 1.119  0.252 1.234  0.150 1.336
3#apa#apa01#app0104/m  -1.156 1.357  -1.156 1.134  -1.156 0.911  -1.156 0.688  -1.108 0.484  -1.019 0.298  -1.019 0.075  -1.019 -0.148  -1.019 -0.371  -0.902 -0.546  -0.881 -0.761  -0.878 -0.977  -0.744 -0.809  -0.744 -0.586  -0.744 -0.363  -0.606 -0.277  -0.606 -0.054  -0.474 0.115  -0.414 0.313  -0.256 0.471  -0.098 0.628  -0.030 0.807  0.081 0.695  0.081 0.471  0.081 0.248  0.081 0.025  0.081 -0.198  0.081 -0.421  0.081 -0.645  0.106 -0.842  0.218 -0.731  0.218 -0.508  0.356 -0.422  0.356 -0.199  0.385 0.012  0.543 0.170  0.631 0.357  0.762 0.526  0.844 0.670  0.930 0.807  1.043 0.697  1.043 0.474  1.043 0.251  1.043 0.028  1.043 -0.196  1.043 -0.419  1.181 -0.505  1.197 -0.721  1.318 -0.894  1.318 -1.117
3#apa#apa01#app0104/u  -0.628 1.344  -0.628 1.223  -0.684 1.159  -0.804 1.159  -0.813 1.047  -0.813 0.926  -0.813 0.806  -0.813 0.685  -0.813 0.565  -0.813 0.444  -0.813 0.324  -0.813 0.203  -0.813 0.083  -0.753 -0.013  -0.667 -0.098  -0.628 -0.202  -0.628 -0.322  -0.628 -0.443  -0.578 -0.533  -0.470 -0.586  -0.362 -0.640  -0.258 -0.696  -0.258 -0.817  -0.198 -0.878  -0.078 -0.878  -0.072 -0.993  -0.022 -1.063  0.098 -1.063  0.188 -0.988  0.273 -0.903  0.383 -0.878  0.483 -0.857  0.483 -0.737  0.537 -0.639  0.622 -0.553  0.708 -0.468  0.793 -0.383  0.853 -0.287  0.853 -0.167  0.853 -0.046  0.853 0.074  0.853 0.195  0.853 0.315  0.853 0.436  0.853 0.556  0.853 0.677  0.853 0.797  0.853 0.918  0.853 1.038  0.853 1.159
3#apa#apa01#app0104/n  -0.909 1.016  -0.909 0.869  -0.909 0.723  -0.909 0.577  -0.909 0.431  -0.909 0.285  -0.909 0.139  -0.909 -0.008  -0.909 -0.154  -0.909 -0.300  -0.909 -0.446  -0.909 -0.592  -0.909 -0.739  -0.909 -0.885  -0.909 -1.031  -0.772 -1.040  -0.625 -1.040  -0.513 -0.959  -0.419 -0.849  -0.353 -0.718  -0.288 -0.588  -0.277 -0.444  -0.199 -0.330  -0.119 -0.217  -0.104 -0.077  -0.001 0.026  0.039 0.156  0.039 0.302  0.085 0.429  0.189 0.533  0.198 0.675  0.319 0.699  0.356 0.809  0.454 0.857  0.600 0.857  0.746 0.857  0.892 0.857  0.988 0.807  0.988 0.661  0.988 0.515  0.988 0.369  0.988 0.222  0.988 0.076  0.988 -0.070  0.988 -0.216  0.988 -0.362  1.060 -0.479  1.146 -0.589  1.146 -0.735  1.146 -0.881
3#apa#apa01#app0104/c  0.605 0.884  0.701 0.884  0.748 0.933  0.748 1.029  0.748 1.125  0.696 1.169  0.600 1.169  0.504 1.169  0.424 1.131  0.356 1.063  0.275 1.027  0.179 1.027  0.111 0.960  0.043 0.892  -0.025 0.824  -0.093 0.757  -0.183 0.741  -0.252 0.714  -0.252 0.618  -0.306 0.544  -0.374 0.476  -0.442 0.408  -0.510 0.340  -0.537 0.256  -0.537 0.159  -0.537 0.063  -0.537 -0.033  -0.537 -0.129  -0.537 -0.225  -0.537 -0.321  -0.537 -0.417  -0.537 -0.513  -0.537 -0.609  -0.521 -0.695  -0.435 -0.738  -0.349 -0.781  -0.264 -0.824  -0.252 -0.913  -0.226 -0.998  -0.158 -1.066  -0.083 -1.116  0.013 -1.116  0.101 -1.149  0.187 -1.192  0.273 -1.235  0.364 -1.259  0.460 -1.259  0.556 -1.259  0.652 -1.259  0.748 -1.259
3#apa#apa01#app0104/u  -0.566 1.548  -0.566 1.452  -0.566 1.355  -0.566 1.259  -0.566 1.162  -0.566 1.066  -0.644 1.047  -0.733 1.040  -0.733 0.943  -0.733 0.847  -0.733 0.750  -0.733 0.654  -0.733 0.558  -0.733 0.461  -0.723 0.369  -0.654 0.301  -0.586 0.233  -0.566 0.144  -0.566 0.048  -0.524 -0.039  -0.481 -0.125  -0.438 -0.211  -0.389 -0.289  -0.293 -0.289  -0.232 -0.324  -0.232 -0.421  -0.188 -0.499  -0.120 -0.567  -0.065 -0.641  -0.065 -0.738  -0.021 -0.790  0.076 -0.790  0.172 -0.790  0.269 -0.790  0.365 -0.790  0.462 -0.790  0.558 -0.790  0.655 -0.790  0.751 -0.790  0.825 -0.735  0.893 -0.666  0.961 -0.598  1.029 -0.530  1.098 -0.462  1.104 -0.368  1.116 -0.276  1.184 -0.208  1.252 -0.140  1.271 -0.051  1.271 0.045
3#apa#apa01#app0104/l  0.005 1.768  0.005 1.688  -0.017 1.614  -0.053 1.542  -0.088 1.471  -0.105 1.395  -0.105 1.315  -0.105 1.235  -0.105 1.156  -0.105 1.076  -0.105 0.996  -0.105 0.916  -0.105 0.836  -0.119 0.762  -0.175 0.706  -0.216 0.642  -0.216 0.563  -0.216 0.483  -0.216 0.403  -0.216 0.323  -0.216 0.243  -0.216 0.164  -0.216 0.084  -0.216 0.004  -0.216 -0.076  -0.216 -0.156  -0.210 -0.235  -0.184 -0.310  -0.159 -0.386  -0.134 -0.462  -0.109 -0.538  -0.105 -0.617  -0.105 -0.697  -0.099 -0.774  -0.043 -0.831  0.005 -0.891  0.005 -0.970  0.005 -1.050  0.027 -1.121  0.083 -1.177  0.150 -1.209  0.230 -1.209  0.310 -1.209  0.374 -1.172  0.430 -1.115  0.503 -1.099  0.575 -1.080  0.632 -1.024  0.697 -0.989  0.777 -0.989
3#apa#apa01#app0104/u  -0.371 1.731  -0.371 1.635  -0.371 1.539  -0.371 1.443  -0.371 1.348  -0.371 1.252  -0.371 1.156  -0.397 1.086  -0.492 1.086  -0.532 1.029  -0.532 0.934  -0.532 0.838  -0.532 0.742  -0.532 0.646  -0.532 0.550  -0.532 0.454  -0.473 0.383  -0.406 0.315  -0.371 0.234  -0.371 0.138  -0.371 0.042  -0.371 -0.054  -0.371 -0.150  -0.352 -0.241  -0.309 -0.327  -0.266 -0.413  -0.223 -0.499  -0.164 -0.572  -0.096 -0.640  -0.048 -0.716  -0.048 -0.812  0.011 -0.849  0.107 -0.849  0.113 -0.938  0.137 -1.010  0.233 -1.010  0.329 -1.010  0.425 -1.010  0.496 -0.950  0.563 -0.883  0.645 -0.849  0.741 -0.849  0.793 -0.779  0.836 -0.693  0.879 -0.607  0.924 -0.522  0.991 -0.455  1.059 -0.387  1.081 -0.300  1.081 -0.204
3#apa#apa01#app0104/s  0.391 1.404  0.275 1.404  0.160 1.404  0.044 1.404  -0.071 1.404  -0.187 1.404  -0.302 1.404  -0.377 1.363  -0.377 1.247  -0.377 1.132  -0.377 1.016  -0.377 0.901  -0.335 0.827  -0.220 0.827  -0.128 0.770  -0.046 0.688  0.025 0.599  0.077 0.496  0.128 0.392  0.180 0.289  0.199 0.178  0.199 0.063  0.278 -0.020  0.360 -0.102  0.391 -0.204  0.391 -0.320  0.502 -0.325  0.583 -0.359  0.583 -0.474  0.583 -0.590  0.583 -0.706  0.583 -0.821  0.547 -0.901  0.431 -0.901  0.391 -0.976  0.391 -1.091  0.277 -1.093  0.161 -1.093  0.046 -1.093  -0.070 -1.093  -0.185 -1.093  -0.267 -1.011  -0.349 -0.929  -0.452 -0.901  -0.568 -0.901  -0.569 -0.787  -0.607 -0.709  -0.722 -0.709  -0.838 -0.709  -0.953 -0.709
3#apa#apa01#app0104/.  0.391 1.404  0.275 1.404  0.160 1.404  0.044 1.404  -0.071 1.404  -0.187 1.404  -0.302 1.404  -0.377 1.363  -0.377 1.247  -0.377 1.132  -0.377 1.016  -0.377 0.901  -0.335 0.827  -0.220 0.827  -0.128 0.770  -0.046 0.688  0.025 0.599  0.077 0.496  0.128 0.392  0.180 0.289  0.199 0.178  0.199 0.063  0.278 -0.020  0.360 -0.102  0.391 -0.204  0.391 -0.320  0.502 -0.325  0.583 -0.359  0.583 -0.474  0.583 -0.590  0.583 -0.706  0.583 -0.821  0.547 -0.901  0.431 -0.901  0.391 -0.976  0.391 -1.091  0.277 -1.093  0.161 -1.093  0.046 -1.093  -0.070 -1.093  -0.185 -1.093  -0.267 -1.011  -0.349 -0.929  -0.452 -0.901  -0.568 -0.901  -0.569 -0.787  -0.607 -0.709  -0.722 -0.709  -0.838 -0.709  -0.953 -0.709
