3#apa#apa13#app1397/A  -0.083 1.238  0.002 1.372  0.002 1.082  -0.104 0.814  -0.168 0.531  -0.202 0.251  -0.338 0.002  -0.383 -0.275  -0.508 -0.527  -0.553 -0.807  -0.678 -1.068  -0.737 -1.345  -0.763 -1.629  -0.721 -1.561  -0.654 -1.279  -0.586 -0.996  -0.519 -0.714  -0.452 -0.431  -0.385 -0.148  -0.317 0.134  -0.250 0.417  -0.183 0.699  -0.116 0.982  -0.048 1.264  0.019 1.547  0.086 1.830  0.087 1.546  0.172 1.275  0.291 1.034  0.395 0.771  0.498 0.501  0.594 0.228  0.722 -0.033  0.852 -0.293  0.877 -0.573  1.022 -0.803  1.031 -0.933  0.774 -0.798  0.517 -0.664  0.260 -0.529  0.002 -0.394  -0.255 -0.259  -0.512 -0.124  -0.605 -0.111  -0.375 -0.256  -0.099 -0.293  0.171 -0.208  0.461 -0.208  0.736 -0.138  1.022 -0.123
3#apa#apa13#app1397/n  -1.133 0.719  -1.133 0.596  -1.133 0.473  -1.133 0.350  -1.133 0.227  -1.133 0.103  -1.133 -0.020  -1.098 -0.129  -1.043 -0.229  -1.043 -0.352  -1.029 -0.469  -0.937 -0.546  -0.828 -0.512  -0.772 -0.412  -0.718 -0.311  -0.631 -0.224  -0.544 -0.137  -0.500 -0.032  -0.497 0.090  -0.410 0.177  -0.355 0.287  -0.288 0.389  -0.194 0.466  -0.084 0.521  -0.011 0.614  0.045 0.723  0.133 0.810  0.256 0.810  0.379 0.810  0.403 0.711  0.403 0.587  0.403 0.464  0.403 0.341  0.403 0.218  0.403 0.095  0.414 -0.026  0.469 -0.136  0.524 -0.246  0.579 -0.356  0.664 -0.445  0.771 -0.504  0.885 -0.546  1.008 -0.546  1.121 -0.588  1.233 -0.636  1.356 -0.636  1.479 -0.636  1.602 -0.636  1.726 -0.636  1.849 -0.636
3#apa#apa13#app1397/a  0.553 1.086  0.382 1.086  0.211 1.086  0.039 1.086  -0.132 1.086  -0.302 1.082  -0.423 0.961  -0.575 0.915  -0.715 0.839  -0.836 0.718  -0.957 0.597  -1.078 0.476  -1.150 0.335  -1.150 0.164  -1.150 -0.008  -1.150 -0.179  -1.150 -0.350  -1.150 -0.521  -1.097 -0.671  -0.974 -0.788  -0.805 -0.792  -0.684 -0.913  -0.531 -0.958  -0.360 -0.958  -0.189 -0.958  -0.029 -0.909  0.124 -0.832  0.285 -0.788  0.435 -0.736  0.556 -0.615  0.677 -0.494  0.798 -0.373  0.929 -0.277  1.064 -0.240  1.064 -0.069  1.064 0.102  1.036 0.262  0.915 0.383  0.753 0.404  0.582 0.404  0.452 0.505  0.383 0.502  0.383 0.330  0.383 0.159  0.383 -0.012  0.417 -0.175  0.494 -0.328  0.587 -0.464  0.741 -0.541  0.894 -0.618
3#apa#apa13#app1397/n  -1.060 0.442  -1.060 0.282  -1.060 0.123  -1.060 -0.036  -1.060 -0.196  -1.053 -0.352  -0.940 -0.465  -0.863 -0.592  -0.863 -0.751  -0.863 -0.911  -0.727 -0.934  -0.667 -0.835  -0.605 -0.738  -0.470 -0.713  -0.470 -0.554  -0.367 -0.437  -0.274 -0.317  -0.274 -0.157  -0.274 0.002  -0.194 0.128  -0.082 0.241  -0.077 0.399  -0.077 0.558  -0.021 0.694  0.091 0.807  0.173 0.942  0.244 1.084  0.315 1.227  0.316 1.386  0.437 1.424  0.512 1.340  0.512 1.181  0.512 1.022  0.512 0.862  0.512 0.703  0.512 0.544  0.512 0.385  0.512 0.225  0.512 0.066  0.512 -0.093  0.512 -0.253  0.512 -0.412  0.512 -0.571  0.512 -0.731  0.620 -0.845  0.742 -0.934  0.902 -0.934  1.015 -1.044  1.139 -1.131  1.298 -1.131
3#apa#apa13#app1397/d  -0.129 2.006  -0.023 1.895  0.031 1.795  0.082 1.692  0.150 1.554  0.188 1.409  0.272 1.289  0.293 1.144  0.293 0.990  0.293 0.835  0.293 0.681  0.293 0.527  0.293 0.373  0.293 0.218  0.293 0.064  0.334 -0.080  0.399 -0.219  0.399 -0.374  0.399 -0.528  0.450 -0.631  0.504 -0.530  0.504 -0.376  0.504 -0.222  0.441 -0.083  0.356 0.044  0.293 0.172  0.180 0.213  0.025 0.213  -0.129 0.213  -0.278 0.191  -0.416 0.122  -0.531 0.022  -0.640 -0.087  -0.774 -0.162  -0.867 -0.259  -0.867 -0.413  -0.867 -0.568  -0.867 -0.722  -0.867 -0.876  -0.808 -1.006  -0.673 -1.053  -0.519 -1.053  -0.365 -1.053  -0.211 -1.053  -0.056 -1.053  0.098 -1.053  0.252 -1.053  0.406 -1.053  0.561 -1.053  0.715 -1.053
3#apa#apa13#app1397/h  -0.535 1.928  -0.535 1.781  -0.535 1.634  -0.535 1.487  -0.535 1.340  -0.535 1.193  -0.535 1.046  -0.535 0.899  -0.535 0.753  -0.581 0.613  -0.627 0.474  -0.642 0.329  -0.642 0.182  -0.642 0.035  -0.642 -0.111  -0.642 -0.258  -0.642 -0.405  -0.552 -0.515  -0.535 -0.655  -0.535 -0.802  -0.535 -0.949  -0.440 -1.056  -0.321 -1.045  -0.258 -0.961  -0.141 -0.888  -0.107 -0.755  -0.009 -0.649  0.000 -0.506  0.048 -0.379  0.127 -0.260  0.173 -0.120  0.214 0.020  0.214 0.167  0.283 0.285  0.321 0.416  0.415 0.524  0.551 0.521  0.642 0.412  0.642 0.265  0.642 0.119  0.686 -0.021  0.732 -0.161  0.749 -0.305  0.761 -0.449  0.826 -0.580  0.856 -0.720  0.941 -0.832  1.045 -0.936  1.149 -1.040  1.284 -1.068
3#apa#apa13#app1397/i  0.197 -0.942  0.197 -1.018  0.213 -1.090  0.247 -1.158  0.281 -1.227  0.314 -1.295  0.314 -1.371  0.306 -1.373  0.289 -1.299  0.273 -1.224  0.256 -1.150  0.240 -1.076  0.223 -1.001  0.207 -0.927  0.190 -0.853  0.174 -0.778  0.157 -0.704  0.141 -0.630  0.124 -0.555  0.108 -0.481  0.091 -0.407  0.075 -0.332  0.058 -0.258  0.042 -0.183  0.025 -0.109  0.009 -0.035  -0.008 0.040  -0.024 0.114  -0.041 0.188  -0.058 0.263  -0.074 0.337  -0.091 0.411  -0.107 0.486  -0.124 0.560  -0.140 0.635  -0.157 0.709  -0.173 0.783  -0.190 0.858  -0.206 0.932  -0.223 1.006  -0.239 1.081  -0.256 1.155  -0.272 1.229  -0.289 1.304  -0.305 1.378  -0.322 1.453  -0.338 1.527  -0.355 1.601  -0.372 1.676  -0.388 1.750
3#apa#apa13#app1397/d  0.366 2.026  0.366 1.866  0.366 1.705  0.366 1.544  0.366 1.384  0.366 1.223  0.366 1.062  0.366 0.901  0.366 0.741  0.366 0.580  0.366 0.419  0.366 0.259  0.366 0.098  0.408 -0.053  0.476 -0.197  0.476 -0.358  0.553 -0.487  0.587 -0.634  0.587 -0.691  0.587 -0.530  0.558 -0.381  0.476 -0.254  0.409 -0.122  0.311 0.004  0.222 0.138  0.125 0.264  -0.019 0.336  -0.172 0.365  -0.333 0.365  -0.494 0.365  -0.654 0.365  -0.794 0.313  -0.907 0.200  -1.000 0.071  -1.072 -0.073  -1.074 -0.233  -1.074 -0.394  -1.051 -0.545  -0.937 -0.658  -0.823 -0.772  -0.701 -0.874  -0.557 -0.946  -0.401 -0.964  -0.246 -0.990  -0.103 -1.062  0.055 -1.075  0.216 -1.075  0.376 -1.075  0.537 -1.075  0.698 -1.075
3#apa#apa13#app1397/e  -0.049 -0.313  0.086 -0.313  0.220 -0.313  0.325 -0.243  0.420 -0.148  0.515 -0.053  0.610 0.042  0.705 0.136  0.713 0.267  0.787 0.371  0.866 0.473  0.866 0.607  0.866 0.741  0.866 0.876  0.866 1.010  0.780 1.059  0.646 1.059  0.511 1.059  0.377 1.059  0.243 1.059  0.108 1.059  -0.026 1.059  -0.148 1.009  -0.268 0.949  -0.371 0.871  -0.431 0.751  -0.491 0.631  -0.577 0.530  -0.664 0.430  -0.707 0.302  -0.749 0.175  -0.792 0.048  -0.810 -0.084  -0.810 -0.218  -0.810 -0.352  -0.810 -0.486  -0.810 -0.621  -0.810 -0.755  -0.726 -0.854  -0.631 -0.949  -0.536 -1.044  -0.414 -1.074  -0.280 -1.074  -0.162 -1.113  -0.067 -1.208  0.060 -1.227  0.194 -1.227  0.321 -1.259  0.441 -1.319  0.561 -1.379
3#apa#apa13#app1397/o  -1.374 0.004  -1.374 -0.108  -1.374 -0.220  -1.328 -0.321  -1.278 -0.421  -1.209 -0.508  -1.127 -0.583  -1.027 -0.633  -0.927 -0.683  -0.816 -0.690  -0.704 -0.690  -0.593 -0.690  -0.481 -0.690  -0.369 -0.690  -0.257 -0.690  -0.145 -0.690  -0.036 -0.668  0.070 -0.633  0.176 -0.598  0.284 -0.575  0.396 -0.575  0.505 -0.560  0.605 -0.510  0.705 -0.460  0.785 -0.382  0.864 -0.303  0.945 -0.227  1.055 -0.226  1.055 -0.114  1.055 -0.002  1.055 0.110  1.055 0.222  0.985 0.305  0.906 0.384  0.827 0.464  0.747 0.543  0.668 0.622  0.588 0.700  0.488 0.750  0.388 0.800  0.303 0.871  0.215 0.929  0.103 0.929  -0.009 0.929  -0.121 0.929  -0.233 0.929  -0.344 0.929  -0.456 0.929  -0.568 0.929  -0.680 0.929
3#apa#apa13#app1397/u  -1.186 1.023  -1.186 0.860  -1.186 0.697  -1.186 0.534  -1.186 0.371  -1.186 0.208  -1.186 0.045  -1.186 -0.118  -1.142 -0.263  -1.030 -0.380  -1.021 -0.539  -0.906 -0.654  -0.875 -0.805  -0.748 -0.840  -0.585 -0.840  -0.421 -0.840  -0.258 -0.840  -0.096 -0.838  0.019 -0.723  0.166 -0.685  0.295 -0.602  0.410 -0.487  0.526 -0.372  0.641 -0.256  0.756 -0.141  0.834 -0.010  0.834 0.153  0.834 0.316  0.834 0.479  0.834 0.642  0.834 0.805  0.834 0.968  0.757 1.100  0.627 1.179  0.481 1.137  0.368 1.021  0.360 0.861  0.245 0.745  0.212 0.596  0.212 0.433  0.212 0.270  0.212 0.107  0.278 -0.041  0.351 -0.187  0.424 -0.332  0.497 -0.478  0.523 -0.635  0.603 -0.765  0.718 -0.881  0.834 -0.996
3#apa#apa13#app1397/s  -0.110 0.947  -0.245 0.947  -0.380 0.947  -0.515 0.947  -0.649 0.947  -0.784 0.947  -0.919 0.947  -1.054 0.947  -0.937 0.947  -0.802 0.947  -0.667 0.947  -0.548 0.908  -0.453 0.813  -0.339 0.744  -0.218 0.683  -0.096 0.629  0.039 0.629  0.160 0.573  0.281 0.513  0.394 0.442  0.489 0.347  0.585 0.252  0.680 0.156  0.776 0.061  0.871 -0.034  0.966 -0.130  1.002 -0.250  1.002 -0.385  1.002 -0.520  1.002 -0.654  1.002 -0.789  1.002 -0.924  0.902 -0.959  0.767 -0.959  0.632 -0.959  0.497 -0.959  0.362 -0.959  0.227 -0.959  0.093 -0.959  -0.016 -0.895  -0.111 -0.800  -0.246 -0.800  -0.381 -0.800  -0.507 -0.761  -0.627 -0.700  -0.745 -0.639  -0.745 -0.504  -0.826 -0.402  -0.904 -0.300  -0.904 -0.165
3#apa#apa13#app1397/l  -0.041 1.684  -0.041 1.611  -0.068 1.545  -0.101 1.481  -0.133 1.416  -0.166 1.351  -0.198 1.286  -0.206 1.215  -0.206 1.143  -0.206 1.070  -0.206 0.997  -0.206 0.925  -0.206 0.852  -0.206 0.780  -0.206 0.707  -0.206 0.635  -0.206 0.562  -0.206 0.490  -0.195 0.420  -0.162 0.355  -0.130 0.290  -0.123 0.219  -0.123 0.146  -0.123 0.074  -0.111 0.004  -0.078 -0.061  -0.046 -0.126  -0.041 -0.197  -0.041 -0.270  -0.041 -0.342  -0.041 -0.415  -0.041 -0.487  -0.034 -0.557  0.017 -0.608  0.051 -0.669  0.069 -0.740  0.086 -0.810  0.104 -0.881  0.122 -0.951  0.167 -1.006  0.214 -1.060  0.247 -1.125  0.279 -1.190  0.291 -1.260  0.317 -1.321  0.368 -1.373  0.438 -1.378  0.495 -1.417  0.539 -1.471  0.539 -1.544
3#apa#apa13#app1397/y  1.557 0.729  1.417 0.677  1.277 0.624  1.155 0.520  1.021 0.430  0.882 0.347  0.744 0.266  0.629 0.152  0.543 0.017  0.442 -0.102  0.308 -0.192  0.205 -0.309  0.120 -0.445  0.006 -0.559  -0.109 -0.674  -0.214 -0.795  -0.286 -0.939  -0.401 -1.053  -0.495 -1.182  -0.549 -1.331  -0.631 -1.459  -0.720 -1.524  -0.696 -1.364  -0.671 -1.204  -0.647 -1.044  -0.623 -0.884  -0.599 -0.724  -0.575 -0.564  -0.550 -0.405  -0.526 -0.245  -0.502 -0.085  -0.478 0.075  -0.453 0.235  -0.429 0.395  -0.405 0.555  -0.381 0.715  -0.357 0.874  -0.332 1.034  -0.308 1.194  -0.275 1.343  -0.198 1.259  -0.110 1.133  -0.033 1.003  0.081 0.889  0.153 0.757  0.186 0.609  0.300 0.495  0.414 0.380  0.520 0.259  0.592 0.115
