1c#apb#apb02#app0255/h  -0.723 1.188  -0.723 1.330  -0.738 1.470  -0.723 1.611  -0.741 1.531  -0.727 1.390  -0.705 1.250  -0.675 1.111  -0.644 0.972  -0.613 0.834  -0.581 0.695  -0.550 0.556  -0.526 0.417  -0.508 0.276  -0.490 0.135  -0.466 -0.005  -0.438 -0.144  -0.410 -0.284  -0.387 -0.424  -0.365 -0.564  -0.344 -0.705  -0.324 -0.845  -0.283 -0.980  -0.223 -1.077  -0.179 -0.943  -0.154 -0.803  -0.115 -0.666  -0.073 -0.531  -0.030 -0.395  0.012 -0.260  0.064 -0.128  0.127 -0.001  0.189 0.127  0.248 0.257  0.331 0.371  0.467 0.388  0.572 0.293  0.653 0.177  0.710 0.049  0.752 -0.087  0.792 -0.224  0.831 -0.360  0.853 -0.500  0.876 -0.641  0.904 -0.780  0.935 -0.919  0.988 -1.049  1.053 -1.164  1.067 -1.043  1.036 -0.904
1c#apb#apb02#app0255/n  -0.866 0.200  -0.932 0.335  -0.963 0.433  -0.963 0.443  -0.950 0.292  -0.922 0.144  -0.878 -0.002  -0.848 -0.150  -0.823 -0.300  -0.794 -0.449  -0.764 -0.598  -0.731 -0.747  -0.673 -0.886  -0.614 -1.025  -0.562 -1.012  -0.543 -0.861  -0.529 -0.710  -0.528 -0.558  -0.522 -0.407  -0.482 -0.261  -0.447 -0.113  -0.422 0.037  -0.394 0.186  -0.361 0.334  -0.320 0.481  -0.253 0.616  -0.179 0.749  -0.104 0.881  -0.009 0.999  0.104 1.096  0.245 1.142  0.397 1.142  0.502 1.041  0.591 0.918  0.664 0.785  0.723 0.645  0.780 0.505  0.825 0.359  0.870 0.214  0.914 0.069  0.959 -0.076  0.988 -0.225  1.011 -0.375  1.038 -0.524  1.068 -0.673  1.110 -0.819  1.145 -0.966  1.183 -0.917  1.141 -0.771  1.116 -0.622
1c#apb#apb02#app0255/s  0.219 0.839  0.335 0.935  0.473 0.989  0.585 1.090  0.603 1.092  0.453 1.092  0.302 1.088  0.162 1.032  0.020 0.981  -0.124 0.938  -0.268 0.891  -0.403 0.828  -0.527 0.742  -0.656 0.665  -0.791 0.598  -0.916 0.514  -1.031 0.416  -0.994 0.300  -0.853 0.247  -0.703 0.241  -0.552 0.241  -0.402 0.239  -0.251 0.223  -0.101 0.207  0.048 0.189  0.197 0.163  0.345 0.137  0.489 0.093  0.630 0.039  0.773 -0.010  0.917 -0.053  0.974 -0.187  1.000 -0.333  0.974 -0.480  0.922 -0.620  0.821 -0.733  0.713 -0.835  0.580 -0.907  0.446 -0.976  0.309 -1.039  0.170 -1.098  0.024 -1.135  -0.123 -1.165  -0.274 -1.180  -0.424 -1.173  -0.574 -1.157  -0.717 -1.109  -0.852 -1.044  -0.973 -0.956  -0.976 -0.862
1c#apb#apb02#app0255/o  -0.140 0.199  -0.066 0.331  -0.067 0.480  -0.148 0.609  -0.289 0.643  -0.430 0.596  -0.563 0.523  -0.693 0.444  -0.807 0.351  -0.886 0.221  -0.981 0.103  -1.044 -0.033  -1.087 -0.179  -1.127 -0.325  -1.116 -0.476  -1.066 -0.618  -0.980 -0.738  -0.860 -0.831  -0.731 -0.911  -0.601 -0.988  -0.450 -1.006  -0.299 -1.024  -0.147 -1.019  0.005 -1.010  0.155 -0.986  0.303 -0.954  0.436 -0.881  0.565 -0.800  0.686 -0.710  0.797 -0.607  0.909 -0.503  0.988 -0.373  1.066 -0.243  1.101 -0.097  1.121 0.053  1.125 0.205  1.125 0.357  1.073 0.497  1.005 0.633  0.903 0.743  0.789 0.842  0.640 0.874  0.491 0.905  0.341 0.914  0.189 0.903  0.041 0.871  -0.104 0.827  -0.251 0.786  -0.393 0.734  -0.529 0.666
1c#apb#apb02#app0255/n  -1.146 0.341  -1.189 0.449  -1.175 0.535  -1.100 0.423  -1.037 0.306  -0.987 0.181  -0.938 0.056  -0.890 -0.070  -0.832 -0.190  -0.762 -0.305  -0.719 -0.431  -0.693 -0.562  -0.678 -0.696  -0.652 -0.827  -0.602 -0.950  -0.546 -0.882  -0.541 -0.748  -0.536 -0.614  -0.517 -0.481  -0.497 -0.348  -0.463 -0.219  -0.428 -0.089  -0.394 0.041  -0.362 0.172  -0.322 0.300  -0.276 0.426  -0.208 0.540  -0.126 0.647  -0.024 0.734  0.084 0.813  0.199 0.882  0.331 0.908  0.454 0.894  0.566 0.820  0.671 0.736  0.772 0.647  0.837 0.530  0.901 0.412  0.947 0.287  0.979 0.156  1.012 0.026  1.049 -0.103  1.085 -0.232  1.114 -0.364  1.136 -0.496  1.167 -0.626  1.224 -0.746  1.294 -0.847  1.392 -0.783  1.425 -0.653
1c#apb#apb02#app0255/o  -0.096 0.162  0.002 0.290  0.065 0.438  -0.005 0.578  -0.135 0.645  -0.284 0.688  -0.437 0.631  -0.563 0.531  -0.678 0.416  -0.787 0.294  -0.887 0.166  -0.971 0.025  -1.035 -0.124  -1.087 -0.279  -1.099 -0.440  -1.089 -0.601  -1.023 -0.750  -0.912 -0.865  -0.782 -0.963  -0.626 -1.011  -0.470 -1.056  -0.306 -1.056  -0.143 -1.056  0.019 -1.041  0.177 -1.003  0.336 -0.966  0.475 -0.883  0.611 -0.792  0.742 -0.695  0.852 -0.575  0.963 -0.455  1.063 -0.326  1.157 -0.192  1.202 -0.037  1.239 0.122  1.213 0.282  1.160 0.434  1.076 0.574  0.953 0.675  0.813 0.759  0.654 0.793  0.494 0.827  0.332 0.816  0.169 0.798  0.007 0.781  -0.154 0.755  -0.315 0.730  -0.475 0.697  -0.630 0.645  -0.788 0.616
1c#apb#apb02#app0255/r  -0.440 0.248  -0.519 0.458  -0.574 0.669  -0.666 0.552  -0.703 0.330  -0.703 0.104  -0.703 -0.122  -0.689 -0.346  -0.657 -0.570  -0.615 -0.792  -0.565 -1.012  -0.493 -1.226  -0.482 -1.049  -0.507 -0.825  -0.526 -0.600  -0.544 -0.374  -0.574 -0.151  -0.584 0.072  -0.553 0.293  -0.522 0.506  -0.471 0.726  -0.385 0.934  -0.225 1.094  -0.065 1.253  0.109 1.396  0.314 1.474  0.522 1.409  0.714 1.291  0.813 1.093  0.873 0.876  0.887 0.654  0.810 0.449  0.676 0.267  0.528 0.098  0.353 -0.045  0.156 -0.152  -0.064 -0.194  -0.288 -0.174  -0.466 -0.116  -0.339 -0.299  -0.179 -0.459  0.016 -0.573  0.214 -0.682  0.416 -0.783  0.622 -0.875  0.831 -0.962  1.050 -1.017  1.268 -1.076  1.453 -0.994  1.477 -0.776
1c#apb#apb02#app0255/k  -0.650 0.993  -0.608 1.201  -0.650 1.407  -0.673 1.617  -0.692 1.699  -0.692 1.486  -0.664 1.276  -0.620 1.068  -0.579 0.859  -0.539 0.650  -0.500 0.441  -0.462 0.231  -0.417 0.023  -0.363 -0.183  -0.317 -0.390  -0.280 -0.600  -0.215 -0.802  -0.146 -1.003  -0.106 -1.208  -0.168 -1.057  -0.185 -0.846  -0.084 -0.659  0.017 -0.471  0.118 -0.284  0.219 -0.096  0.320 0.091  0.421 0.278  0.522 0.466  0.623 0.653  0.732 0.835  0.691 0.865  0.566 0.693  0.420 0.539  0.264 0.395  0.125 0.234  -0.013 0.071  -0.149 -0.093  -0.309 -0.231  -0.475 -0.364  -0.407 -0.420  -0.248 -0.561  -0.079 -0.689  0.099 -0.807  0.284 -0.912  0.474 -1.007  0.680 -1.055  0.890 -1.085  1.103 -1.085  1.315 -1.103  1.406 -1.064
1c#apb#apb02#app0255/i  -0.148 -0.309  -0.129 -0.174  -0.121 -0.038  -0.108 0.097  -0.069 0.226  -0.011 0.346  -0.066 0.381  -0.066 0.245  -0.075 0.108  -0.085 -0.028  -0.094 -0.164  -0.103 -0.300  -0.111 -0.436  -0.120 -0.573  -0.121 -0.709  -0.121 -0.846  -0.121 -0.982  -0.107 -1.118  -0.088 -1.252  -0.027 -1.374  0.060 -1.478  0.166 -1.540  0.209 -1.477  0.209 -1.340  0.201 -1.204  0.188 -1.068  0.176 -0.932  0.164 -0.796  0.152 -0.660  0.140 -0.524  0.128 -0.388  0.116 -0.253  0.104 -0.117  0.092 0.019  0.080 0.155  0.068 0.291  0.056 0.427  0.044 0.563  0.032 0.699  0.020 0.835  0.008 0.971  -0.005 1.107  -0.017 1.243  -0.029 1.379  -0.041 1.515  -0.053 1.651  -0.065 1.787  -0.077 1.923  -0.089 2.059  -0.148 2.052
1c#apb#apb02#app0255/m  -1.298 0.498  -1.166 0.516  -1.124 0.333  -1.113 0.145  -1.113 -0.043  -1.113 -0.232  -1.089 -0.419  -1.055 -0.605  -1.020 -0.790  -0.974 -0.871  -0.969 -0.683  -0.940 -0.497  -0.906 -0.311  -0.876 -0.125  -0.847 0.062  -0.785 0.240  -0.722 0.418  -0.638 0.587  -0.523 0.735  -0.414 0.889  -0.228 0.893  -0.099 0.760  0.008 0.605  0.077 0.431  0.138 0.253  0.217 0.081  0.287 -0.094  0.353 -0.271  0.423 -0.447  0.494 -0.621  0.551 -0.634  0.511 -0.450  0.456 -0.273  0.394 -0.098  0.322 0.075  0.267 0.255  0.318 0.432  0.413 0.595  0.578 0.642  0.749 0.576  0.895 0.457  0.998 0.303  1.081 0.133  1.159 -0.039  1.217 -0.218  1.282 -0.396  1.348 -0.572  1.414 -0.745  1.506 -0.827  1.558 -0.652
1c#apb#apb02#app0255/m  -1.436 0.144  -1.386 0.317  -1.325 0.484  -1.255 0.364  -1.198 0.194  -1.167 0.017  -1.125 -0.157  -1.050 -0.321  -0.989 -0.490  -0.902 -0.646  -0.854 -0.669  -0.855 -0.490  -0.837 -0.311  -0.804 -0.134  -0.766 0.043  -0.725 0.218  -0.673 0.390  -0.605 0.556  -0.505 0.701  -0.345 0.731  -0.222 0.599  -0.114 0.455  -0.039 0.292  0.029 0.125  0.099 -0.041  0.177 -0.202  0.225 -0.375  0.296 -0.540  0.319 -0.717  0.319 -0.799  0.312 -0.619  0.306 -0.440  0.326 -0.261  0.352 -0.082  0.385 0.095  0.442 0.265  0.508 0.433  0.598 0.586  0.699 0.734  0.852 0.735  0.963 0.600  1.053 0.444  1.140 0.287  1.211 0.121  1.288 -0.041  1.363 -0.205  1.431 -0.372  1.482 -0.545  1.520 -0.720  1.482 -0.753
1c#apb#apb02#app0255/e  -0.864 -0.092  -0.878 -0.092  -0.713 -0.113  -0.552 -0.154  -0.392 -0.150  -0.230 -0.114  -0.065 -0.090  0.098 -0.057  0.259 -0.016  0.416 0.036  0.531 0.152  0.650 0.266  0.777 0.368  0.845 0.519  0.842 0.684  0.793 0.841  0.699 0.978  0.591 1.104  0.452 1.183  0.290 1.217  0.125 1.233  -0.032 1.190  -0.186 1.128  -0.329 1.042  -0.466 0.951  -0.553 0.809  -0.640 0.668  -0.716 0.521  -0.786 0.370  -0.847 0.216  -0.884 0.054  -0.916 -0.109  -0.901 -0.274  -0.876 -0.438  -0.829 -0.597  -0.734 -0.726  -0.606 -0.830  -0.452 -0.894  -0.299 -0.958  -0.134 -0.979  0.031 -0.998  0.196 -1.009  0.359 -0.980  0.523 -0.951  0.686 -0.918  0.847 -0.878  1.008 -0.838  1.170 -0.797  1.332 -0.760  1.361 -0.716
1c#apb#apb02#app0255/r  -0.735 0.537  -0.707 0.670  -0.734 0.804  -0.759 0.747  -0.745 0.610  -0.728 0.474  -0.701 0.340  -0.674 0.205  -0.631 0.075  -0.588 -0.055  -0.549 -0.186  -0.526 -0.322  -0.504 -0.457  -0.462 -0.586  -0.406 -0.711  -0.349 -0.836  -0.313 -0.968  -0.275 -1.099  -0.190 -1.206  -0.114 -1.320  -0.047 -1.440  -0.042 -1.385  -0.053 -1.249  -0.067 -1.112  -0.079 -0.976  -0.089 -0.839  -0.100 -0.702  -0.117 -0.566  -0.136 -0.430  -0.156 -0.294  -0.148 -0.159  -0.125 -0.024  -0.103 0.112  -0.102 0.249  -0.079 0.381  -0.025 0.507  0.062 0.611  0.159 0.708  0.279 0.773  0.402 0.834  0.537 0.857  0.672 0.878  0.808 0.899  0.945 0.911  1.081 0.923  1.213 0.898  1.341 0.850  1.461 0.785  1.553 0.689  1.644 0.597
